@RELATION C0002456_C0001457

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20063588,"New whitening/bleaching report issued by <e>ADA</e> Council on Scientific Affairs.",M1
19797542,"The <e>ADA</e> and health care reform.",M1
19648692,"For the <e>ADA</e> sesquicentennial: a special salute.",M1
19561587,"American Dental Association evidence-based dentistry website.In March 2009, the American Dental Association (<e>ADA</e>) launched a new evidence-based dentistry (EBD) website (ebd.ada.org). The site has been established to provide the dental profession with access to evidence from high-quality systematic reviews and is supported by a grant from the National Library of Medicine and the National Institute for Dental and Craniofacial Research(Grant Number G08 LM008956).",M1
19537654,"Our candidate Dr. Ray Gist answers your questions about the <e>ADA</e>.",M1
19405820,"Update on the changing numbers and distribution of periodontists.A review of the 2006 and past American Dental Association (<e>ADA</e>) studies on the distribution of dentists provides information on the evolving number of periodontists. Despite an overall increase in the number of periodontists, major differences continue in practitioner/population ratios in different geographic areas. As in past reviews, suggestions are offered for efforts by the ADA and/or the American Academy of Periodontology to draw attention to the limited numbers of periodontists in particular regions and states; to increase efforts to educate the public on the need and value of periodontal services; and to increase the profession's awareness of the growing diversity in the nation's population and the need to modify and adjust its efforts to attract underserved populations with different familial, cultural, and educational backgrounds.",M1
19180823,"New <e>ADA</e> workforce model: Community Dental Health Coordinator.",M1
20415093,"Insurance companies and McCarran-Ferguson Act--the <e>ADA</e> position.",M1
19047674,"Updated recommendations for managing the care of patients receiving oral bisphosphonate therapy: an advisory statement from the American Dental Association Council on Scientific Affairs.BACKGROUND: and Overview. In 2005, the American Dental Association (<e>ADA</e>) Council on Scientific Affairs convened an expert panel to develop clinical recommendations for dentists treating patients who are receiving oral bisphosphonate therapy. The Journal of the American Dental Association published the resulting report in 2006. This 2008 advisory statement is the first of projected periodic updates of the 2006 clinical recommendations. CONCLUSION: This 2008 advisory statement concludes, on the basis of a review of the current literature, that for patients receiving bisphosphonate therapy, the risk of developing bisphosphonate-associated osteonecrosis (BON) of the jaw apparently remains low. It also newly concludes that current screening and diagnostic tests are unreliable for predicting a patient's risk of developing the condition. This statement updates the 2006 recommendations regarding general dentistry, management of periodontal diseases, implant placement and maintenance, oral and maxillofacial surgery, endodontics, restorative dentistry and prosthodontics, and orthodontics.",M1
19024759,"The updated <e>ADA</e> CDT manual.",M1
18777889,"Dental students persuade the Michigan Dental Association to strengthen its codes of ethics: do actions speak louder than words?This is a case study of how four different groups viewed proposed language in professional ethics codes regarding personal relationships with patients. The <e>ADA</e> Council on Ethics, Bylaws, and Judicial Affairs; the House of Delegates of the Michigan State Dental Association; and first-year students at the University of Michigan School of Dentistry favored a strongly worded statement in their codes, while the House of Delegates of the ADA passed a statement that was more  advisory  in nature. Support material concerning the statement on personal relationships is presented as an ethics case, and suggestions are presented regarding the ethical principles underlying positions on the issue.",M1
18756717,"<e>ADA</e> board examines tooth whitening by non-professionals.",M1
18686661,"<e>ADA</e> seeks clarification on FDA dental amalgam statement: recent FDA settlement of moms against mercury lawsuit spurs response.",M1
18488297,"The <e>ADA</e> guidelines on oral malodor products.For over 130 years the ADA has been an important information source on the safety and effectiveness of dental products. The Council has recently completed the development of Acceptance Program Guidelines for products used in the management of oral malodor. The ADA Seal Program will ensure that professional and consumer dental products meet rigorous ADA criteria for safety and effectiveness",M1
18451364,"A message from <e>ADA</e> president Feldman.",M1
18330050,"<e>ADA</e> advertising standards.",M1
18269096,"A new dentist's visit to the <e>ADA</e> House.",M1
17900214,"<e>ADA</e> sedation-anesthesia guidelines revisions deserve our support.",M1
17672203,"Usefulness of <e>ADA</e> recommendations for control of cross-contamination between patients.",M1
17612212,"<e>ADA</e>: fewer heart patients need antibiotics before procedures.",M1
17539228,"What guides professional behavior of dentists?The purpose of this paper is to explore the question of what guides professional behavior in the hope that those who read it will reflect on how they conduct their relationships with patients, business associates, and employees. I propose that the <e>ADA</e> Principles of Ethics and Code of Professional Conduct are only a portion of what guides dentists' ethical behavior. The Principles and Code are founded on basic personal ethics and societal standards, and in the U.S. they are in turn the foundation for the state dental practice acts.",M1
17441523,"Overview of new <e>ADA</e> CDT 2007-2008 codes.",M1
17378486,"Kathy Kell's report from the <e>ADA</e> Annual Session (Northwest Dentistry, November-December 2006, pages 6 and 42).",M1
17217212,"Toothbrush selection: a dilemma?The toothbrush is a fundamental tool used for accomplishing plaque control. Various types of toothbrushes available in the market keep the buyer in a state of dilemma as to which one to choose, due to lack of information about the  quality  of it. This study has been designed to understand whether all the products available in the market adhere to the specifications laid down by the <e>ADA</e>, which is universally accepted in standardization of a tooth brush. 95% of the brushes surveyed contain less number of bristles per tuft than specified and a large percentage deviate from the standard prescribed value for their bristle diameter and other dimensions. Few brushes labeled as  Soft  were  Medium  and labeled  Medium  were  Hard . The study will bring to light the quality of toothbrushes available in India for a rationalised selection of appropriate toothbrush by the community at large.",M1
17139916,"Health and wellness for women in the profession.Regardless of gender, dentists can and do experience illness and other problems that may disrupt or impair dental practice, including substance abuse involving alcohol and/or other drugs. As part of the ethical obligation to maintain public confidence through responsible and effective self-governance, the American Dental Association (<e>ADA</e>) and state dental components offer health and wellness resources to members through programs such as CDAD-Dentist Well-Being Committee. Though the percentage of women entering the dental profession has consistently increased, utilization of CDAD resources by female dentists remains low. In order for the profession to fully address the needs of its changing membership, dentists need to understand gender differences associated with risk for abuse of alcohol and other substances; related physical, emotional, and professional effects; and other aspects of professional health and wellness. As more information on substance abuse in female and male dentists emerges, CDAD is prepared to support, educate, and advocate for the health and wellness of all colleagues in the dental profession.",M1
17138418,"Interest and responsibility of <e>ADA</e> in dental licensure.Initial licensure is a critical milestone and point of entry to the profession; it should go without saying that the organization that represents more than 70% of professionally active dentists would care deeply about the process that determines the character of its future and defines its image in the eyes of the public. The American Dental Association's (ADA) documented history of activity and leadership on licensure issues and the organization's guiding documents (Strategic Plan, Current Policies, Principles of Ethics and Code of Professional Conduct and Constitution and Bylaws) all lend credence to the Association's role in the licensure process. ADA members, other dental organizations, private and governmental agencies, and the public recognize the ADA as an authority on matters relating to dentistry. These circumstances comprise the best available evidence supporting the important role of the ADA in facilitating communication, collaboration and consensus-building in the continuous enhancement of the licensure process to meet the needs of all stakeholders.",M1
17138410,"The <e>ADA</e> perspective.BACKGROUND: The American Dental Association (ADA) has long relied on available scientific evidence in its commitment to use credible scientific data and analyses in policy-making, and its communications with the dental profession and the public. OVERVIEW: The evidence-based dentistry (EBD) process is a systematic approach that reviews and publishes the evidence relevant to specific clinical questions. The goal of this process is to help practitioners provide patients with quality oral health care. The ADA has developed a strategic plan of EBD initiatives and activities in order to increase the knowledge base and improve educational programs; to encourage significant collaboration on EBD-related issues from interested organizations, specialty groups, and various outside agencies; and to increasingly derive the best scientific evidence for use in clinical practice in concert with professional judgment and patient treatment preferences. CONCLUSION: The ADA endeavors to provide relevant information that can assist dentists in translating systematic-review findings and implementing an evidence-based approach in everyday clinical practice. This supports the Association's goal to continue supporting the best available evidence to assist health care teams in the provision of quality patient care and preventive techniques that improve oral health care outcomes.",M1
17106035,"Reaction to universal patient acceptance: The perspective of a private practice dentist.The purpose of this article is to respond to the theories of Acceptance and Universal Patient Acceptance and their relationship to the American Dental Association's Principles of Ethics and Code of Professional Conduct (<e>ADA</e> Code). Universal Patient Acceptance (UPA) requires the dentist to communicate in some fashion with each patient who attempts to enter his or her practice to determine needs, desires, and financial ability to access dental care. The dentist must then help the patient gain entry into his or her practice or make appropriate referrals based on the patient's desires, needs, and financial status. The theory of UPA proposes that this action will alleviate some portion of the access problem. This article explores the notion of access as articulated in the ADA Code. The theory of UPA is explored from the view of the practicing dentist, noting the difficulties encountered when incorporating this theory into private practice. The conclusion is that the ADA Code offers appropriate guidance for ADA members regarding the ethical treatment of the underserved. Without further study, the inclusion of UPA in the ADA Code is not desirable. The author also concludes that support systems for the practicing dentist are necessary before UPA could be considered a reasonable way to practice dentistry.",M1
17099661,"An audit improves the quality of water within the dental unit water lines of three separate facilities of a United Kingdom NHS Trust.OBJECTIVE: To improve the quality of water emanating from dental unit waterlines (DUWLs). DESIGN: A prospective clinical audit. SETTING: Three geographically separate district dental facilities of a United Kingdom NHS Trust, involving two community clinics and one hospital orthodontic department, which were evaluated between 2002 and 2004. METHODS: Samples of water discharged from the DUWLs were collected prior to the start and midway through a morning session. These were tested microbiologically at a United Kingdom Accreditation Service testing laboratory within six hours of sampling. INTERVENTIONS: One of the clinics followed the contemporaneous BDA advice of flushing water through its DUWLs while the other two clinics used separate intermittent disinfection purging regimes instead. One of them used a two stage protocol of Ethylene Diamine Tetra-Acetic acid followed by hydrogen peroxide, while the other used Bio 2000 as a single agent, which was subsequently superseded by the continuous use of super-oxidised water (Sterilox). MAIN OUTCOME MEASURE: To assess whether the samples either met the American Dental Association's guideline on the quality of DUWL water, or the more stringent European Union standards for potable (drinking) water. RESULTS: The two units which used a disinfection regime both complied with the <e>ADA</e> guideline and the EU potable water standard. However, the unit which only flushed through its DUWLs without using a disinfectant failed to comply with either of them. After all three dental facilities subsequently standardised their DUWL disinfection regimes by using Bio 2000, the colony counts from all of the water samples thereafter remained well below the EU recommended level. The unit which progressed to using Sterilox as a continuous disinfectant achieved and maintained zero readings from its water samples. CONCLUSIONS: Clinical audit can result in the improvement of the quality of water that is discharged through DUWLs, thereby minimising both the risk of cross infection to vulnerable patients, as well as to dental staff chronically exposed to contaminated aerosols.",M1
17082267,"Kudos to <e>ADA</e>.",M1
