@RELATION C0002463_C0003243

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20052889,"<e>ANA</e> calls for comprehensive protections against influenza.",M1
19935161,"Open letter from the <e>ANA</e>.",M1
19862998,"<e>ANA</e> responds to concerns about healthcare reform and nursing.",M1
19731570,"<e>ANA</e> joins President Obama at White House in call for health care reform.",M1
19544724,"<e>ANA</e> program goes mobile to keep nurses safe from chemical substances.",M1
19441741,"To sustain life, or not? <e>ANA</e>, nurse experts promote planning for care through advance directives.",M1
19331301,"Practical use of the nursing code of ethics: part I.The Code (<e>ANA</e>, 2001) provides the nurse guidance for legal and ethical responsibilities to patients and, in the broader sense, to society. The first provision calls for honoring the human dignity in all patients and colleagues. It lays the groundwork for the importance of the essential ethical principle of autonomy, the right to self-determination. The second provision describes the importance of interdisciplinary collaboration and significance of appropriate nurse-patient boundaries. The importance of privacy and confidentiality in the nurse-patient relationship is the focus of the third provision. Without the nurse's honoring of privacy, the patient would be hesitant to share important information necessary to design an effective plan of care. The fourth provision primarily focuses on the importance of accountability for personal actions and for the actions of those to whom the nurse has delegated. By meeting these obligations, the nurse will remain the most trusted health care professional.",M1
19258853,"The role of the American Nurses Association Code in ethical decision making.Ethical decision making is complex and difficult. For this reason, many professions compose ethical codes to aid their practitioners, to aid those in the profession in dealing with perplexing situations that inevitably arise. The American Nurses Association (<e>ANA</e>) Code of Ethics is of course one such code. It outlines the important general values, duties, and responsibilities that flow from the specific role of being a nurse. The relationship of the individual practitioner to the code, however, is an aspect of professional moral life that requires interpretation and may not always be well understood. A historical and theoretical analysis of the ANA Code can provide for an understanding as to how it is to be used not as a substitute for moral thinking but as an aid to moral thinking.",M1
19241725,"Education, workplace trends among issues by <e>ANA</e> nurse group.",M1
19241724,"On the road to Healthy People 2020. <e>ANA</e>, other nursing groups offer their input as nation's health agenda begins to form.",M1
19218836,"Defining nursing practice: the <e>ANA</e> Social Policy Statement, 1980-1983.This article examines the initial development of the American Nurses Association's Social Policy Statement (SPS). The methodology used is the Social History of Technology. This approach provided the means to treat the SPS as an information practice or tool that resides within a technological system composed of skills, tools, and knowledge. The data for analysis include archive material and secondary sources. This study concludes that development of the SPS was inherently a local exercise in prioritizing, organizing, and promoting certain skills, tools, and knowledge associated with nursing practice, an exercise that integrated contextual influences with local realities. The study also provides a means to reflect on the development of contemporary information practices.",M1
19051557,"Tranbarger honored by <e>ANA</e> with 1st Luther Christman Award.",M1
18756169,"Not business as usual in the 'House of nursing'. Report from the 2008 <e>ANA</e> House of Delegates.",M1
18705593,"<e>ANA</e> changes--what could this mean to SCNA.",M1
18705243,"Turning the page: MNA withdraws from <e>ANA</e>.",M1
18496915,"A case for safe staffing. <e>ANA</e> brings together RNs, other stakeholders for summit.",M1
18477377,"The Precautionary Principle, public health, and public health nursing.The Precautionary Principle posits that, in the absence of certainty, the appropriate course of action is to err on the side of caution. The Principle has been applied to decision making and policy development related to environmental health issues both internationally and in the United States. The American Public Health Association and the American Nurses Association (<e>ANA</e>) have issued policy statements that invoke the Precautionary Principle, and the Principle has been incorporated into statements that describe the practice of public health nursing. Nursing has always recognized the relationship of the environment with the health of humans--individuals, families, populations, and communities (ANA). The increasing attention to the Precautionary Principle comes at a time of redefinition of the field of public health, environmental public health, and the practice of public health nursing. Thus, it is crucial that practicing public health nurses understand the Precautionary Principle and its relevance to the practice of public health, public health nursing, and the current and future health individuals, families, populations, and communities.",M1
18389825,"American Nurses Association's best practices in seasonal influenza immunization campaign.The American Nurses Association (<e>ANA</e>) is concerned about the unacceptably low rates of seasonal influenza vaccination among registered nurses and other health care personnel. Despite well-documented evidence of the importance and benefits of influenza immunization of health care personnel, seasonal influenza vaccination rates remain below 50%. In response, ANA developed the 2006-2007 Best Practices in Seasonal Influenza Immunization Campaign to assist health care organizations in conducting successful seasonal influenza immunization programs. Best practices in the top recognized programs have been compiled to represent the successful elements in seasonal influenza vaccination programs that result in increased vaccination acceptance and accessibility among health care professionals. ANA developed a brochure, articles, and other tools reflecting the best practices to assist other organizations nationwide in planning their seasonal influenza immunization programs.",M1
18323139,"PNEGers in Portland.Continuing education and academic and staff development educators participated in an annual American Nurses Association (<e>ANA</e>) Council on Continuing Education conference for many years. When ANA eliminated its councils, the conference was continued by the Professional Nurse Educators Group (PNEG). Each fall, PNEG hosts a conference targeting educators in academia, continuing education, and staff development roles. It is the only conference where common issues can be discussed. This column focuses on the value of participating in PNEG as a way to connect with other educators.",M1
18050747,"<e>ANA</e> BACKGROUNDERS: influenza season 2007-2008.",M1
17821886,"<e>ANA</e>-PAC advances pro-nursing agenda.",M1
17821883,"Getting a lift. <e>ANA</e>, CMA and RN efforts continue to build momentum for safe patient handling movement.",M1
17557702,"Assuring patient safety: registered nurses' responsibility in all roles and settings to guard against working when fatigued.Education: 6. Schools of nursing should address decision-making within their curriculum related to the impact that fatigue and the habitual The American Nurses Association (<e>ANA</e>) takes the position that, regardless of the number of hours worked, all registered nurses have an ethical responsibility to carefully consider their level of fatigue when deciding whether to accept any assignment extending beyond their regularly scheduled work day or week, including a mandatory or voluntary overtime assignment.",M1
17477076,"Holistic nursing achieves <e>ANA</e> specialty status.",M1
17152562,"Pandemic or seasonal.... <e>ANA</e> and others take action to keep the public, themselves safe from influenza.",M1
17068992,"The <e>ANA</e> delegate experience.",M1
17063904,"<e>ANA</e> House of Delegates affirms professions of nursing practice.",M1
16954747,"The <e>ANA</e> and AJN.",M1
16905941,"Hazardous conditions: the <e>ANA</e>, nurses work to inform colleagues about safer drug handling.",M1
16773911,"<e>ANA</e> code of ethics and duplicate publication.",M1
16728839,"Treating illegal immigrants: the <e>ANA</e> aims to protect nurses against potential criminal penalties.",M1
16639259,"The <e>ANA</e> seeks investment in nursing workforce development: safe patient handling and staffing at the forefront.",M1
16619973,"<e>ANA</e> works to promote influenza vaccination among RNs.",M1
16481789,"A window of opportunity: <e>ANA</e>, CMAs work to ensure RNs' voices are heard in health care reform.",M1
16443965,"Policy perspectives of major nursing organizations. Interview by David M. Keepnews.Understanding the roles of interest groups is an important element of examining policy change. There are a number of interest groups that affect the policy environment for nursing and that shape the profession's impact on health policy. This article is the first of a series featuring interviews with executive directors/chief executive officers of three major nursing organizations, focusing on their policy priorities and how these priorities are determined. The three organizations featured in this article are the American Nurses Association (<e>ANA</e>), the American Association of Colleges of Nursing (AACN) and the National Council of State Boards of Nursing (NCSBN).",M1
