@RELATION C0014563_C0001625

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20117671,"Hypoglycemia during acute illness in children with classic congenital <e>adrenal</e> hyperplasia.Congenital adrenal hyperplasia (CAH) describes a group of genetic, autosomal recessive conditions, where there is a block in cortisol biosynthesis. Approximately 95 percent of cases are due to 21-hydroxylase deficiency, which is discussed in this article. Patients with the severe or classic form of CAH have epinephrine deficiency in addition to cortisol deficiency. Both epinephrine and cortisol are important counterregulatory hormones and help prevent hypoglycemia during physical stress. This is the first prospective study to evaluate the incidence of hypoglycemia during acute illness in children with classic CAH. Our objective was to examine blood glucose levels and symptoms of these children during the physical stressor of a typical acute illness managed at home. Twenty patients, ages 3 to 10 years with classic CAH participated. Parents were instructed regarding management of illnesses, home blood glucose monitoring and questionnaire completion. Over 29 months, 20 patients completed questionnaires and 6 patients performed home blood glucose monitoring. A blood glucose of &lt;60 mg/dL was documented in 3 out of 8 monitored acute illness episodes, and in 2 out of 6 of monitored children. The acute illness episodes with documented blood glucose &lt;60 mg/dL were not associated with vomiting. Our data suggest that children with classic CAH may experience lowering of blood glucose during illnesses, and patient education regarding the management of common childhood illness should include glucose supplementation.",M1
20065506,"Relation of adrenergic receptors, which have roles in gastroprotective and anti-inflammatory effect of <e>adrenal</e> gland hormones, with cyclooxygenase enzyme levels in rats.BACKGROUND AND AIMS: COX-2 enzyme inhibition is responsible for the anti-inflammatory effects of NSAIDs, COX-1 for their effects upon the gastrointestinal system (GIS), along with other side effects. We investigated the relationship between COX levels and those adrenergic receptors known to play a role in gastroprotection and anti-inflammatory activity. METHOD: The effects of adrenaline and prednisolone on gastric COX-1 and COX-2 levels in both intact and adrenalectomized rats treated with doxazosin, yohimbine, propranolol, and metoprolol were determined. RESULTS: We found that adrenaline increases COX-1 levels in the gastric tissue of both intact and adrenalectomized rats by stimulating alpha-2 receptors. Adrenaline decreases COX-2 levels by stimulating beta-2 adrenergic receptors. Prednisolone inhibits both COX-1 and COX-2 in the gastric tissue of intact rats. In adrenalectomized rats, prednisolone increases gastric COX-1 by stimulating alpha-2 receptors, and decreases COX-2 levels by stimulating beta-2 receptors. CONCLUSION: Prednisolone cannot bind to a adrenergic receptors in the presence of adrenaline (intact rats) but, in its absence (adrenalectomy), binds to alpha-2 receptors, and stimulates them more effectively than adrenaline, suggesting a direct relationship between alpha-2 adrenergic receptors and COX-1 levels, whereas beta-2 receptors are directly related to COX-2 levels.",M1
19928051,"[Stress-protective activity of the CH3CO-Lys-Lys-Arg-Arg-NH2 synthetic peptide (protektin)]The CH3CO-Lys-Lys-Arg-Arg-NH2 peptide (the author has named it protectin) was synthesized, and its activity was studied during different stress actions. Protectin was found to normalize the content of corticosterone and adrenalin in <e>adrenal</e> glands and blood after its intranasal administration to rats one day before a cold or heat shock, or hypobaric hypoxia at doses of 1-10 microg/animal and after its intravenous administration just after acute hemorrhage at doses of 0.5-2 microg/animal. The intranasal administration of protectin at doses of 1-10 microg/rat one day before the heat or cold shock was also shown to prevent a change in the content of free histamine and the activity of diamine oxidase in myocardium, which was induced by the dramatic change in the activity of the enzyme after the temperature actions.",M1
19844121,"Evaluation of adrenomedullary function in patients with congenital <e>adrenal</e> hyperplasia.BACKGROUND/AIMS: Congenital adrenal hyperplasia (CAH) is characterized by adrenal insufficiency with or without salt wasting. It is also accompanied by adrenomedullary hypofunction. The aim of the present study was to investigate adrenomedullary function in patients with CAH due to 21-hydroxylase and 11beta-hydroxylase deficiencies and in age-matched normal subjects. METHODS: We measured plasma catecholamines (epinephrine and norepinephrine) and urine metanephrine in 44 patients with CAH, 32 due to 21-hydroxylase deficiency (17 patients with the salt-wasting form and 15 patients with the simple virilizing form), and 12 due to 11beta-hydroxylase deficiency, and in 25 healthy controls. RESULTS: Plasma epinephrine and urine metanephrine levels were significantly higher in the controls than in patients with CAH (p = 0.02 and p &lt; 0.001, respectively). Plasma norepinephrine levels were significantly lower in the controls than in patients with CAH (p &lt; 0.001). Interestingly, patients with the salt-wasting form had lower norepinephrine levels in comparison to the other subgroups of CAH. CONCLUSION: Despite the fact that CAH patients have insufficient epinephrine secretion, these patients have the ability to increase compensatory norepinephrine. However, this increase is much lower in patients with the salt-wasting form. These findings need to be confirmed by other studies.",M1
19691814,"Epinephrine kinetics in septic shock--a means to understand variable catecholamine efficiency?It is well-established that the hemodynamic response to infusing catecholamines, the most frequently applied drugs for circulatory support during shock states, may vary markedly within and between individuals. In this context it is striking that only scarce data are available on the pharmacokinetics of catecholamines in critically ill patients. Furthermore, the existing literature comprises fairly equivocal observations. Abboud and colleagues now report that, in patients with septic shock, epinephrine kinetics are linear and its clearance directly depends on body weight and is inversely related to the severity of the disease. The authors conclude that the endogenous <e>adrenal</e> axis hormones do not assume any additional importance.",M1
19663191,"[Neurohumoral regulation of blood pressure in rheumatic patients]AIM: To study characteristics of neurohumoral regulation of blood pressure (BP) in patients with systemic diseases of the connective tissue and hemorrhagic vasculitis (HV). MATERIAL AND METHODS: The trial included 45 patients with systemic lupus erythematosus (SLE), 25 patients with scleroderma systematica (SS), 30 HV patients and 30 healthy controls. The following parameters were estimated: activity of plasmic renin, aldosteron concentration in plasma, catecholamines (noradrenaline and adrenalin), serum level of endotheline-1, number of desquamated endotheliocytes by J. Hladovec (1978) with use of Goryaev's camera. A BP 24-h profile was obtained by the standard method with the device Kardiotekhnika 4000 AD. Renal function was assessed by blood creatinine (Reberg's test). RESULTS: Contribution of different factors to pathogenesis of arterial hypertension (AH) in rheumatic conditions was different. SLE activity enhancement was associated with renal dysfunction and growth of plasmic renin leading to AH resultant from activation of the renin-angiotensin-aldosteron system (RAAS), sympathico-<e>adrenal</e> system (SAS) and suspended by endothelial dysfunction. AH in SS patients presented with SAS activation, endothelial dysfunction and moderate pathology of the kidneys. HV activation provoked renal and endothelial dysfunction, SAS activation leading to development of AH. CONCLUSION: In rheumatic diseases AH develops with activation of SAS, RAAS, endothelial and renal dysfunction.",M1
19615391,"Surplus dietary tryptophan inhibits stress hormone kinetics and induces insulin resistance in pigs.Recently we have shown that surplus dietary tryptophan (TRP) reduced the plasma concentrations of cortisol and noradrenaline in pigs. Stress hormones are known to affect insulin sensitivity and metabolism. We now investigated the long-term effects of surplus dietary TRP on 1) plasma and urinary stress hormone kinetics, 2) insulin sensitivity for glucose and amino acid clearance, and 3) whole body nitrogen balance. Pigs were fed for 3weeks a high (13.2%) vs normal (3.4%) TRP to large neutral amino acids (LNAA) diet, leading to reduced fasting (14 h) plasma cortisol (17.1+/-3.0 vs 28.9+/-4.3 ng/mL, p&lt;0.05) and noradrenaline (138+/-14 vs 225+/-21 pg/mL, p&lt;0.005) concentrations, lower daily urinary noradrenaline (313+/-32 vs 674+/-102 ng/kg day, p&lt;0.001) and adrenaline (124+/-13 vs 297+/-42 ng/kg day, p&lt;0.001) but higher dopamine (5.8+/-0.5 vs 1.5+/-0.2 microg/kg day, p&lt;0.001) excretions, respectively. Insulin sensitivities for both glucose and amino acid clearance, (as measured by the intraportal hyperinsulinaemic (1 mU/kg min) euglycaemic euaminoacidaemic clamp technique), were lower by 22% in pigs on the high vs normal TRP/LNAA diet (14.8+/-1.4 vs 18.9+/-0.9, p&lt;0.05 and 69.7+/-4.3 vs 89.7+/-6.8 mL/kg min, p&lt;0.05, respectively) without affecting urinary nitrogen excretion (35.5+/-1.0 vs 36.6+/-1.0% of dietary nitrogen intake, p=ns). In conclusion, long-term feeding of surplus dietary TRP inhibits both baseline adrenocortical and sympathetic nervous system activity, it induces insulin resistance for both glucose and amino acid clearance but it does not affect whole body protein catabolism. This indicates that the bioactive amino acid TRP contributes to homeostasis in neuroendocrinology and insulin action and that low baseline adrenocortical and sympatho-<e>adrenal</e> axis activity are associated with insulin resistance.",M1
19576859,"Sound stress-induced long-term enhancement of mechanical hyperalgesia in rats is maintained by sympathoadrenal catecholamines.Although stress plays an important role in chronic widespread pain syndromes, such as fibromyalgia, the underlying mechanism has remained elusive. We have recently demonstrated, in a model of chronic widespread pain, that prolonged enhancement of immune mediator hyperalgesia, induced by unpredictable sound stress, requires a contribution of both the sympathoadrenal (epinephrine) and the hypothalamic-pituitary <e>adrenal</e> (corticosterone) neuroendocrine stress axes. Because this stress protocol produced sustained elevation of plasma epinephrine, in the current study we tested the hypothesis that the sympathoadrenal axis also plays a role in maintenance of symptoms in this model of chronic widespread pain. After establishment, adrenal medullectomy abolished the enhancement of epinephrine-induced cutaneous and muscle hyperalgesia. Administration of stress levels of epinephrine to adrenal medullectomized rats reconstituted the pain phenotype. These observations suggest that the sympathoadrenal stress axis plays a major role in the induction as well as maintenance of stress-induced enhancement of mechanical hyperalgesia, mediated by prolonged elevation of circulating epinephrine. PERSPECTIVE: We present data showing mechanical hyperalgesia persisting for up to 28 days after exposure to sound stress, with evidence that the sympathoadrenal axis mediator epinephrine plays a major role. These findings could have clinical implications with regard to novel potential treatments for chronic widespread pain syndromes, such as fibromyalgia.",M1
19503019,"Glucocorticoid treatment--effect on <e>adrenal</e> medullary catecholamine production.Glucocorticoid and epinephrine are important stress hormones secreted from the adrenal gland during critical illness. Adrenal glucocorticoid stimulates phenylethanolamine N-methyltransferase (PNMT) to convert norepinephrine to epinephrine in the adrenal medulla. Glucocorticoid is sometimes used in catecholamine-resistant septic shock in critically ill patients. By suppressing adrenal glucocorticoid production, glucocorticoid therapy might also reduce the secretion of epinephrine during stress. To investigate this, we used a mouse model subjected to glucocorticoid therapy under basal conditions (experiment 1) and during stress (experiment 2). In experiment 1, pellets containing 0% to 8% dexamethasone were implanted subcutaneously in mice for 4 weeks. In experiment 2, animals received 14 days of intraperitoneal injections of normal saline, low- or high-dose dexamethasone, followed by 2 h of restraint. We found that in experiment 1, adrenal corticosterone did not differ with dexamethasone treatment. Phenylethanolamine N-methyltransferase messenger RNA levels and adrenal catecholamines were highest in the 8% dexamethasone group. Compared with experiment 1, restrained control mice in experiment 2 had high adrenal corticosterone, which decreased with dexamethasone. Phenylethanolamine N-methyltransferase messenger RNA content doubled with restraint but decreased with dexamethasone treatment. As in experiment 1, adrenal catecholamine content increased significantly with dexamethasone treatment. We conclude that without stress, when adrenocorticotropic hormone is low, high doses of exogenous dexamethasone stimulate PNMT and catecholamine synthesis, likely independently of adrenal corticosterone concentration. After stress, adrenocorticotropic hormone levels are elevated, and exogenous dexamethasone suppresses endogenous corticosterone and PNMT production. Nonetheless, catecholamines increase, possibly due to direct neural stimulation, which may override the hormonal regulation of epinephrine synthesis during stress.",M1
19502771,"Relationship between stress hormones and immune response during high-altitude exposure in women.We previously confirmed that high altitude (HA) exposure can modify the number and function of immune cells, leading to a disruption in the homeostatic regulation of T helper1 (Th1)/T helper2 (Th2) immune responses. Our aim was to evaluate possible relationships between the stress response and immunological parameters during HA exposure. Thirteen healthy women spent 21 days at 5050 m. Before (SL1), the first and the 21st day at HA (HA1 and HA2, respectively), and the day after returning at sea level (SL2), we collected blood samples for immunologic parameters, and 24-h urine samples for norepinephrine, epinephrine, and cortisol. Norepinephrine and cortisol significantly increased (p&lt;0.01) at HA1 and HA2 compared to SL1, while epinephrine did not change. At HA1, CD3+ T-cell fell significantly (p&lt;0.001) with respect to SL1, owing to a significant (p&lt;0.001) CD4+ T-cell reduction, while CD16+ and CD56+ increased (p&lt;0.001) at HA2 compared to SL1. The expression of interferon-gamma (IFN-gamma) decreased (p&lt;0.0005) at HA1 and HA2 with respect to SL1. At HA1 different lymphocyte subset (CD3+, CD4+, CD19+) were well correlated with epinephrine (p&lt;0.05), whereas in analyzing the combined data (SL1-HA1-HA2-SL2), CD3+ (r=-0.310), CD4+ (r=-0.332), CD16+ (r=0.404), and CD56+ (r=0.373) demonstrated moderate but significant correlations (p&lt;0.05) with norepinephrine. Moreover, norepinephrine levels were inversely correlated (r=-0.591; p&lt;0.001) with IFN-gamma expression, a typical Th1 cytokine. We suggest that the sympatho-<e>adrenal</e> axis may have a role on the immunologic adaptations observed during HA exposure, and specifically on the observed impairment of the Th1/Th2 immune balance.",M1
