@RELATION C0684204_C0225984

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19340793,"Amplatzer vascular plug for arteriovenous hemodialysis access occlusion: initial experience.PURPOSE: The Amplatzer Vascular Plug (AVP; AGA Medical, Golden Valley, MN) is a recently developed self-expanding metallic device indicated for peripheral vascular embolizations. Herein, we describe use of this device in the treatment of vascular complications related to arteriovenous hemodialysis fistulas and grafts. MATERIALS AND METHODS: This HIPAA compliant retrospective study was approved by the institutional review board with informed consent waived. Six patients with problematic arteriovenous access underwent access occlusion using the AVP. Procedure indications included vascular steal syndrome in five patients, and enlarging vascular aneurysms in one patient. Contraindications for surgical correction were determined by the referring surgeon. AVP embolizations were performed using devices oversized by 50% introduced through vascular sheaths positioned within vein segments just beyond the <e>arteriovenous anastomoses</e>. Noninvasive evaluation of the involved extremity was performed pre- and post-embolization in addition to clinical follow-up examinations. Measured outcomes included success of angiographic occlusion, improvement in distal arterial flow, AVP number, AVP diameter, time to access occlusion, and clinical symptomatic improvement. RESULTS: Technical success was 100%, with complete arteriovenous access occlusion accomplished in all cases, with an average of 1.5 AVPs used per patient. Mean time to access occlusion was 19.3 minutes. Angiographic improvement in distal arterial flow was immediately evident and resolution of clinical symptoms occurred in all patients, with mean long-term follow-up of 16 months. No procedure-related complications were encountered. CONCLUSION: The Amplatzer Vascular Plug provides a minimally invasive and efficacious method for embolization of problematic arteriovenous hemodialysis access.",M1
17585214,"Effects of isoflurane and sevoflurane anesthesia on arteriovenous shunt flow in the lower limb of diabetic patients without autonomic neuropathy.BACKGROUND: Failure of sympathetic nerve control caused by diabetic neuropathy results in vasodilation of arteriovenous shunts. The aim of this study was to test the hypothesis that the function of <e>arteriovenous anastomoses</e> was disordered in mild diabetic patients without apparent neuropathy, and that volatile anesthetics opened arteriovenous shunts more greatly in nondiabetic patients than diabetic patients. METHODS: Autonomic system function was assessed by cardiovascular reflex tests. Arterial-venous oxygen content difference (A-VDeltaO2) and partial oxygen pressure index (Pvo2/Pao2, the ratio of oxygen tension in femoral vein blood to that in femoral artery blood) were measured before and during isoflurane or sevoflurane anesthesia in 16 diabetic and 22 nondiabetic patients. Skin temperatures of the foot and leg were measured in 14 diabetic and 15 nondiabetic patients using thermography before and during anesthesia. RESULTS: Pvo2/Pao2 before anesthesia was significantly higher in diabetic patients. In nondiabetics, venous oxygen content significantly increased and A-VDeltaO2 markedly decreased during anesthesia, but these parameters were unchanged in diabetics. Foot temperatures were higher in diabetics before anesthesia, and increased gradually and significantly in both groups during anesthesia, but with a greater increase in nondiabetic patients. Induction of anesthesia caused a larger decrease in leg temperature in diabetics than in nondiabetics. CONCLUSIONS: Diabetic patients have a higher Pvo2/Pao2 and a small core-to-peripheral temperature gradient before anesthesia, suggesting latent dysfunction of the autonomic nerve system, even in the absence of autonomic neuropathy. Volatile anesthesia opens the arteriovenous shunt in nondiabetics to a greater extent than in diabetic patients.",M1
17128380,"[Does interventional therapy prolong the patency of hemodialysis fistulas and grafts?]PURPOSE: To retrospectively evaluate procedural success and patency after endovascular treatment of acute dysfunctional hemodialysis fistulas and grafts in a non-preselected patient cohort. MATERIALS AND METHODS: 185 angiographies of hemodialysis fistulas and grafts on the upper extremities were analyzed for 120 patients (53 male, 67 female; mean-age 63.1 +/- 11.4, range 24 - 91). 70 % (n = 130) were native arteriovenous fistulas, 17 % (n = 31) were prosthetic grafts, and 13 % (n = 24) were non-specific. In total, 278 lesions requiring endovascular treatment were detected. 13 % (n = 35) of the lesions were located in the arterial inflow, 18 % (n = 49) in native <e>arteriovenous anastomoses</e>, 7 % (n = 19) in prosthetic grafts and 62 % (n = 171) in the venous outflow. The primary, secondary and cumulative patency after endovascular treatment was calculated. RESULTS: In 51 % (n = 94) of the cases endovascular treatment could be performed, in 8 % (n = 14) no lesion requiring treatment was detected, and in 42 % (n = 77) intervention was not considered possible. In 45 % (n = 124) of the detected lesions endovascular treatment was successful, in 18 % (n = 51) the intervention failed, and in 37 % (n = 103) intervention was not considered possible. The complication rate was 5 % (n = 10). The primary, secondary, and cumulative patency rates for 50 % of the hemodialysis fistulas and grafts after endovascular treatment were 65, 191, and 370 days, respectively. The results differed significantly from each other with p &lt; 0.05 in the log rank test and log rank trend test. CONCLUSION: Endovascular treatment of acute dysfunctional hemodialysis fistulas and grafts is effective in restoring the patency for hemodialysis.",M1
16716612,"A modified technique of delayed basilic transposition - initial results.The radiocephalic wrist fistula remains the  gold standard  for primary vascular access placement according to NKF -DOQI guidelines. However, liberal inclusion criteria for dialysis therapy, as well as increasing longevity and prevalence of diabetes, have led to an increased number of patients with distal vessels unsuitable for vascular access creation. Another available location, and one used with increasing frequency, is the anterior cubital fossa. <e>Arteriovenous anastomoses</e> in this location leads to the development of two possible vascular accesses: cephalic and basilic. The basilic vein needs to be transposed to the anterior aspect of the arm. However, this procedure is technically difficult and carries a high risk of complications, often associated with axial torsion or kinking of the transposed vein during placement in the subcutaneous tunnel. The authors propose a simple technical modification which minimizes the risk of these complications. The main advantage is the prevention of axial torsion and kinking, as well as avoiding venous stenosis by transecting the vein at its widest point.",M1
12566978,"Perivascular endothelial implants inhibit intimal hyperplasia in a model of arteriovenous fistulae: a safety and efficacy study in the pig.Vascular access complications are a major problem in hemodialysis patients. Native arteriovenous fistulae, historically the preferred mode of access, have a patency rate of only 60% at 1 year. The most common mode of failure is due to progressive stenosis at the anastomotic site. We have previously demonstrated that perivascular endothelial cell implants inhibit intimal thickening following acute balloon injury in pigs and now seek to determine if these implants provide a similar benefit in the chronic and more complex injury model of <e>arteriovenous anastomoses</e>. Side-to-side femoral artery-femoral vein anastomoses were created in 24 domestic swine and the toxicological, biological and immunological responses to allogeneic endothelial cell implants were investigated 3 days and 1 and 2 months postoperatively. The anastomoses were wrapped with polymer matrices containing confluent porcine aortic endothelial cells (PAE; n = 14) or control matrices without cells (n = 10). PAE implants significantly reduced intimal hyperplasia at the anastomotic sites compared to controls by 68% (p &lt; 0.05) at 2 months. The beneficial effects of the PAE implants were not due to differences in the rates of reendothelialization between the groups. No significant immunological response to the allogeneic endothelial cells that impacted on efficacy was detected in any of the pigs. No apparent toxicity was observed in any of the animals treated with endothelial implants. These data suggest that perivascular endothelial cell implants are safe and reduce early intimal hyperplasia in a porcine model of arteriovenous anastomoses.",M1
12185224,"Elbow fistulas using autogeneous vein: patency rates and results of revision.BACKGROUND: The provision and maintenance of vascular access remains a major cost to end stage renal failure programmes. There are few reports regarding the surgical revision of the failing native elbow arteriovenous fistula (AVF). PATIENTS AND METHODS: A retrospective case note review was performed on all patients identified from the hospital vascular access database as having undergone construction of an autogeneous vein elbow AVF. Over a seven year period 282 autogeneous vein AVFs were fashioned in 232 patients using the brachial artery as the in-flow conduit. Of these 208 were brachiocephalic fistulas, or a variant thereof, and 74 were fashioned using the transposed autologous basilic vein (136 male: 96 female; median age 60 years, range 14-94 years). RESULTS: Of 282 elbow fistulas 197 were successfully used for dialysis (70%). Cumulative primary patency of elbow fistulas using autogeneous vein in this series was 68%, 54%, and 44% at one, two, and three years respectively. A further 34 revision procedures were performed on 28 fistulas to maintain fistula function, and cumulative secondary patency after surgical revision was 75%, 60%, and 46% at one, two, and three years. Overall 21 out of 34 procedures (62%) successfully restored fistula function and cumulative primary patency of the revised fistulas was 56% at one year. Eighteen AVFs (brachiocephalic, n=12; autologous basilar vein, n=6) required revision for access dysfunction secondary to a short stenoses within 4 cm of the <e>arteriovenous anastomoses</e>. Of these 18 AVFs eight were revised by excision of the stenosed segment and either primary anastomoses of the two cut ends of arterialised vein or reanastomoses of the proximal venous limb proximally on the brachial artery. In another nine fistulas the excised segment was replaced with a short interposition graft (polytetrafluoroethylene, n=7; native basilic vein, n=1; bovine carotid artery, n=1). One fistula with postanastomotic stenoses and a more proximal needle site stenoses was revised using two vein patches. Overall 100% were patent at 24 hours, 13 provided successful dialysis (72%), and cumulative primary patency was 67% and 50% at six months and one year respectively. CONCLUSIONS: Successful surgical revision of failing native elbow fistulas can restore patency and improve cumulative secondary patency with potential benefits in terms of patient morbidity and mortality. These results compare favourably to published patency rates after fistula salvage using interventional radiological techniques.",M1
12022036,"Different types of <e>arteriovenous anastomoses</e> between femoral artery and vein distal to the island groin flap.An experimental study was done in rats in which the animals were randomly divided into four groups. Each group included bilateral standard island groin flaps. The right side flap was used as control. On the left side, after elevation of the flap, different types of arteriovenous connections were constructed distal to the pedicle between the femoral artery and vein. The connection type was a type-C (end-to-end) anastomosis in Group 1; a type-X (side-to-side) anastomosis in Group 2; a type-T a (artery-end-to-vein-side) anastomosis in Group 3; and a type-Tv (vein-end-to-artery-side) anastomosis in Group 4. Flow values in the flaps were measured externally and repeatedly using a laser Doppler flowmeter. Extremity changes, signs of congestive heart failure, flap weights (measured at the end of the study), thrombosis at the anastomosis or distal to it, edema in the flaps, subcutaneous venous stasis, and aneurysm formation in the anastomoses were observed. Histopathologic evaluations were also done. Only the side-to-side anastomosis group showed any aneurysm formation in the distal vein, as well as extremity changes and signs of congestive heart failure in some of the animals. Only the artery-end-to-vein-side group showed distal thromboembolism in some animals. All flaps survived, but there was prominent edema in the flaps of Group 2 and Group 4 animals in decreasing order. All the study flaps demonstrated subcutaneous venous stasis and capsule formation. The authors concluded that although any arteriovenous communication located distal to the pedicle of an island skin flap that connects the arterial to the venous system, bypassing microcirculation, may have some beneficial effects, it is not devoid of some possibly hazardous developments, including edema formation and venous stasis.",M1
10081319,"[Aneurysm as a complication of <e>arteriovenous anastomoses</e> for hemodialysis]Angioaccess procedures for hemodialysis over a 12-year period were retrospectively reviewed to ascertain the frequency of aneurysm complications. A total of 571 angioaccess procedures were performed including 88 polytetrafluoroethylene grafts. 1.24% autogenous fistulae and 5.7% ePTFE grafts had uncomplicated aneurysm. Complicated (thrombosis, bleeding, infection) aneurysm occurred in 5.2% autogenous fistulae and in 5.7% PTFE grafts. The authors recommend a surgical repair of all angioaccess-associated aneurysms in the time of uncomplicated occurrence. If the aneurysm is complicated, the risk of the function lose of the av shunt by surgical therapy increase.",M1
9461110,"Surgical salvage of failed radiocephalic arteriovenous fistulae: techniques and results in 29 patients.From August 1987 through February 1995 we performed 42 surgical procedures in 29 patients with occluded or stenotic radiocephalic arteriovenous fistulae. Operations were designed to preserve native veins for cannulation (Group I) or to preserve access in the same forearm, bypassing the failed fistula (Group II). For 27 procedures in 22 Group I patients, cumulative primary patency was 70%, 57%, and 47% at 6, 12, and 18 months, respectively. A subgroup of patients was identified, however, in whom excellent results could be reliably predicted. Among 19 hemodynamically stable patients with mature fistulae amendable to more proximal <e>arteriovenous anastomoses</e>, cumulative primary patency was 100%, 81%, and 67% at 6, 12, and 18 months, respectively. Secondary patency for 17 such patients was 100%, 89% and 89% for these same intervals. In Group II only two of ten patients required use of other access sites (9 1/2, 18 1/2 months). We believe that all occluded or stenotic radiocephalic arteriovenous fistulae should be considered for surgical salvage. Excellent results can be predicted for (1) hemodynamically stable patients with (2) mature fistulae that (3) fail near the arterial anastomosis and are (4) amendable to new more proximal arteriovenous anastomoses.",M1
8768966,"[Personal experience with establishment of <e>arteriovenous anastomoses</e> for dialysis using blood vessels in the cubital fossa]The authors use, when establishing secondary arteriovenous anastomoses for haemodialysis, the blood vessels of the cubital fossa. If it is possible from the anatomical and functional aspect, they connect the superficial venous vessels to the arterial ones by means of a perforating vein. If the blood vessels of the forearm are of poor quality, they use this procedure as the primary approach. After two years the group of 38 established fistulas comprises 87% which can be completely used and none of them had to be modified.",M1
