@RELATION C0039277_C0330845

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19685104,"Locomotor evolution of Mesopithecus (Primates: Colobinae) from Greece: evidence from selected astragalar characters.This paper reports our investigations into functional aspects of the <e>astragalus</e> of four samples of the genus Mesopithecus from Greece. More particularly, it aims to infer substrate preferences of M. delsoni/pentelicus from the Middle Turolian site of Perivolaki (central Greece), M. pentelicus from the late Middle Turolian site of Pikermi (southern Greece), and M. cf. pentelicus and M. cf. monspessulanus from the Late Turolian site of Dytiko (northern Greece). For these purposes, selected astragalar functional features, such as trochlea wedging, proximal facet curvature, and head rotation were expressed as linear measurements on both fossil and selected extant colobines. The size-adjusted measurements were used for univariate comparisons as well as a multivariate principal components analysis. Both approaches revealed that the selected characters were able to discriminate between extant arboreal and semiterrestrial colobines, but all fossil forms presented mosaic morphology. Thus, the oldest representative, M. delsoni/pentelicus was reconstructed as mainly semiterrestrial. On the other hand, the astragalus of M. pentelicus appeared to reflect semiterrestrial habits with a moderate adaptation to arboreality. Similar habitus reconstruction was allocated to the more recent M. cf. pentelicus, whereas the sympatric and synchronous M. cf. monspessulanus showed semiterrestrial adaptations with a slight preference of terrestrial substrates. The results mainly conform to paleoenvironmental reconstructions of the fossiliferous localities and denote that Mesopithecus was mainly a semiterrestrial radiation throughout its evolutionary history, with differential rates of use between arboreal and terrestrial substrates. These adaptations could have promoted the dispersal of the genus throughout Eurasia during the latest Miocene and Early Pliocene.",M1
16421891,"Evolution and homology of the <e>astragalus</e> in early amniotes: new fossils, new perspectives.The reorganization of the ankle in basal amniotes has long been considered a key innovation allowing the evolution of more terrestrial and cursorial behavior. Understanding how this key innovation arose is a complex problem that largely concerns the homologizing of the amniote astragalus with the various ossifications in the anamniote tarsus. Over the last century, several hypotheses have been advanced homologizing the amniote astragalus with the many ossifications in the ankle of amphibian-grade tetrapods. There is an emerging consensus that the amniote astragalus is a complex structure emerging via the co-ossification of several originally separate elements, but the identities of these elements remain unclear. Here we present new fossil evidence bearing on this contentious question. A poorly ossified, juvenile astragalus of the large captorhinid Moradisaurus grandis shows clear evidence of four ossification centers, rather than of three centers or one center as posited in previous models of astragalus homology. Comparative material of the captorhinid Captorhinikos chozaensis is also interpretable as demonstrating four ossification centers. A new, four-center model for the homology of the amniote astragalus is advanced, and is discussed in the context of the phylogeny of the Captorhinidae in an attempt to identify the developmental transitions responsible for the observed pattern of ossification within this clade. Lastly, the broader implications for amniote phylogeny are discussed, concluding that the neomorphic pattern of astragalus ossification seen in all extant reptiles (including turtles) arose within the clade Diapsida.",M1
15382588,"Post-traumatic infected necrosis of the <e>astragalus</e> treated by tibiotalocalcaneal arthrodesis: description of a clinical case.",M1
12025102,"Our experience in the treatment of fractures of the <e>astragalus</e>.The authors evaluate the results of a series of cases treated by surgery for fractures of the astragalus at the IInd Orthopaedic Division of the University of Pisa between 1978 and 1998. Treatment consisted in reduction and stabilization of the fractures by percutaneous route or by anterolateral approach. Prognosis for fractures of the neck worsens as the Hawkins radiographic classification of degrees increases. Based on the Hawkins clinical evaluation form, excellent and good results were obtained in 56% of cases. Radiographic evaluation confirmed the effectiveness of the Hawkins sign for the prediction of necrosis of the body; this necrosis occurred in 37.5% of cases; arthrosis of the astragalus developed in about half of the patients, which was, however, not always associated with stiffness of this joint. A stiff astragalus was the most fastidious complication, after necrosis of the astragalar body.",M1
11782110,"Astragalar morphology of late Eocene anthropoids from the Fayum Depression (Egypt) and the origin of catarrhine primates.The phylogenetic relationships of the late Eocene anthropoids Catopithecus browni and Proteopithecus sylviae are currently a matter of debate, with opinion divided as to whether these taxa are stem or crown anthropoids. The phylogenetic position of Catopithecus is of particular interest, for, unlike the highly generalized genus Proteopithecus, this taxon shares apomorphic dental and postcranial features with more derived undoubted catarrhines that appear in the same region 1-2 Ma later. If these apomorphies are homologous and Catopithecus is a stem catarrhine, the unique combination of plesiomorphic and apomorphic features preserved in this anthropoid would have important implications for our understanding of the crown anthropoid morphotype and the pattern of morphological character transformations that occurred during the early phases of stem catarrhine evolution.Well-preserved astragali referrable to Proteopithecus, Catopithecus, and the undoubted early Oligocene stem catarrhine Aegyptopithecus have provided additional morphological evidence that allows us to further evaluate competing hypotheses of interrelationships among Eocene-Oligocene Afro-Arabian anthropoids. Qualitative observations and multivariate morphometric analyses reveal that the astragalar morphology of Proteopithecus is very similar to that of early Oligocene parapithecids and living and extinct small-bodied platyrrhines, and strengthens the hypothesis that the morphological pattern shared by these taxa is primitive within crown Anthropoidea. In contrast, Catopithecus departs markedly from the predicted crown anthropoid astragalar morphotype and shares a number of apomorphic features (e.g., deep cotylar fossa, laterally projecting fibular facet, trochlear asymmetry, mediolaterally wide astragalar head) with Aegyptopithecus and Miocene-Recent catarrhines. The evidence from the <e>astragalus</e> complements other independent data from the dentition, humerus and femur of Catopithecus that support this taxon's stem catarrhine status, and we continue to maintain that oligopithecines are stem catarrhines that constitute the sister group of a clade containing propliopithecines and Miocene-Recent catarrhines.",M1
9666597,"[Osteomyelitis of the <e>astragalus</e> caused by Kingella kingae]",M1
9611281,"[False positive with Tl-201 in the study of Ewing's sarcoma of the <e>astragalus</e> caused by reflex sympathetic dystrophy]We describe a 14 year old male, diagnosed of Ewing sarcoma in left astragalus. We performed two 201-Thallium scan for evaluating the response to chemotherapy (before and after the treatment). The scan performed after chemotherapy showed patchy uptake in astragalus, calcaneus and some joints of the foot. The following radiology and scintigraphy diagnosed a reflex sympathetic dystrophy in the left foot due to disuse of the limb. The 201-Thallium overestimated viability of the tumour for this reason. We must discard the presence of this kind of associated pathology in order that they could be cause of false positives.",M1
9110804,"Aviator's <e>astragalus</e>. Calcaneal fracture.",M1
8924540,"[Chronic monoarthritis caused by a juxta-articular osteoid osteoma of the <e>astragalus</e>]",M1
1887665,"Toward the locomotion of two contemporaneous Adapis species.The morphological differences between the limb bones of two Adapis species from two localities in Southern France are analyzed for their functional significance. The study focuses on the distal humerus, proximal femur, <e>astragalus</e> and calcaneum. The Escamps species Adapis aff. betillei shows more extreme flexion at the elbow, lateral mobility at the hip, and more rotation at the calcaneocuboid joint than in the other species. The species from Rosières 2 A. cf. parisiensis shows increased emphasis on parasagittal movements, restrictions of lateral mobility in the hindlimb, enhanced capacity for rapid flexion and powerful extension of the thigh, and powerful rapid foot extension. The Rosières species probably engaged in more frequent branch walking and running, and the Escamps species probably included more climbing in its locomotor repertoire. In the general Adapis genus morphology, the large tuber calcanei, short astragalus, and the presence of a calcaneal  pressure facet  are similarities shared with living cercopithecids. Along with other characters, these suggest that horizontal running was possibly an important means of locomotion in the Adapis and adapine morphotypes, and may even indicate a degree of terrestraility. Contrary to the most common view, the euprimate morphotype was probably not a specialized leaper.",M1
1980531,"[Reconstructive surgery of malunited joint fractures of the foot]Innovative diagnostic methods such as the CT scan, MRI and 3rd-dimensional models of the foot and free-flap surgery to improve the soft tissues in the foot have all introduced new dimensions in reconstructive foot surgery. Of the foot bones only intra-articular fractures of the <e>astragalus</e> should be corrected because of its key position and the involvement of three joints. In double and triple arthrodesis, the axes and lengths of the medial and lateral columns should be corrected to prevent arthritis at the higher or lower joint level. Pan-talar arthrodesis can be worse than a well-done amputation below the knee. Cannulated 6.5 cancellous screws in double and triple arthrodesis and 3.5 corticalis screws in Lisfranc fusions allow stable fixation and function early after treatment.",M1
3447823,"[Fractures of the <e>astragalus</e> and their surgical treatment]",M1
3671867,"[Osteolysis of the <e>astragalus</e> and retractile opacity of the right lung]",M1
3616006,"[Long-term development of tibio-<e>astragalus</e> arthrodesis]Twenty-eight arthrodeses of the ankle have been reviewed with a mean follow-up of nine-and-a-half years. The arthrodeses were all carried out using the same technique of osteotomy of the lateral malleolus and fixation with a Charnley compression device. The main indication for fusion was post-traumatic arthritis. The number of complications, most of them benign, was not negligible and amounted to 42 per cent, including superficial infections, skin necroses and lesions of the posterior tibial nerve. Revision operations were needed in 17.5 per cent of cases during the year after operation, most of them for malposition. The clinical results were satisfactory in three-quarters of the cases and poor in one-quarter. Radiological changes in the joints distal to the fusion were relatively marked in the subtaloid joint and slightly less in the midtarsal joint. Theses changes are a source of concern for the future because of their pre-arthritic appearance and their progressive nature. Adaptive hypermobility of the midtarsal joint was seen in only one-third of the cases. The changes were greater when the hindfoot was in equinus, a position which was often aimed for in this series. The author advises internal fixation with screws and discusses the future potential for arthroplasty.",M1
3742687,"[Fractures of the <e>astragalus</e>. The results of surgical treatment]After some short anatomo-physiologic notes, the Authors study the methods of treatment of talus fractures, and determine the different indications thereof. The Authors conclude both the conservative and surgical treatment supply concrete chances of recovery, provided, depending on type and place of fracture, they ensure the articular firmness and vascularization of bone.",M1
3453634,"[2 cases of osteoid osteoma of the <e>astragalus</e>]",M1
2931935,"[Pathology of the talus in sports traumatology: osteochondritis dissecans of the <e>astragalus</e>]",M1
6240331,"[Biological activities of <e>Astragalus</e> polysaccharides]",M1
6100224,"[Effects of <e>Astragalus</e> saponin 1 on cAMP and cGMP levels in plasma and DNA synthesis in the regenerating liver]",M1
6231619,"[An unusual case of bilateral fatigue fracture of the <e>astragalus</e>. New data on fatigue fractures]",M1
6532084,"[Fractures and luxations of the <e>astragalus</e>]",M1
6879076,"[Fractures of the <e>astragalus</e>]",M1
6832662,"Total astragaloplasty.Four cases are presented of astragular arthrosis treated with substitution of the entire <e>astragalus</e> with a prosthesis identical in form to that bone. The four cases were due to severe fracture, avascular necrosis, and degenerative joint disease. One patient died of a heart attack 6 months after the operation, the other three cases, one of them with a 6-year follow-up, present a good result. The presentation is made to illustrate the clinical progress of treatment of talar arthroses.",M1
6666572,"[Serious injuries of the <e>astragalus</e>. Fracture dislocations, comminuted fractures and total dislocations]",M1
6666571,"[Dome-shaped <e>astragalus</e>]",M1
6666570,"[Fractures and dislocations of the <e>astragalus</e>. Review of 359 cases]",M1
6666569,"[Vascularization of the <e>astragalus</e>]",M1
6925364,"[Fractures of the <e>astragalus</e>. Treatment, post-therapeutic monitoring, late complications]",M1
6925362,"[Fractures of the <e>astragalus</e>. Anatomic and physiologic review. Different types of fractures. Initial examination of the patient]",M1
6183923,"[Effect of <e>Astragalus</e> polysaccharides on ribonucleic acid metabolism of spleen and liver cells of mice]",M1
7339379,"[Fractures of the ankle joint and the <e>astragalus</e>. New aspects in diagnosis and treatment (author's transl)]Five separate problems are discussed: additional lesions of the ankle joint in lower-leg fractures; posterior plate fixation of short oblique distal fibula fracture; reversed lag-screw fixation of small avulsed fragment of the medial malleolus; reduction of smaller posterior tibia lip fragment through the lateral malleolus; primary tibiotalar fusion in the most severe astragalar fractures.",M1
6879076,"[Fractures of the <e>astragalus</e>]",M1
7005739,"[Aseptic osseous necrosis after renal transplantation]Of 165 renal Transplantated patients, 12 developed aseptic bone necrosis in the femoral head (6 patients), in the femoral condyle (5 patients), in the <e>astragalus</e> (1 patient). The onset of symptoms was 6 to 23 months after transplantation. 99mTc-O4-MDP bone scintigraphy and radiological examination associated with clinical signs confirmed the diagnosis. Unresolved hyperparathyroidism, phosforus depletion, ponderal increase, total i.v. prednisolone-boluses and trauma represented conditions which might predispose to the development of lesion. 8 patients were managed with conservative treatment. 4 patients required a total of 8 operations: head replacement arthroplasty and articular cartilage reimplant in two patients with disease involving femoral head; articular cartilage reimplant and condyle replacement arthroplasty in two patients with disease involving femoral condyle.",M1
608404,"[Tibio-tarsal and <e>astragalus</e> resection-reconstruction using Papineau's arthrodesis]",M1
1021362,"[Case of benign osteoblastoma of the <e>astragalus</e>]",M1
1017143,"[Fracture-dislocations of the <e>astragalus</e>. Apropos of 5 cases]",M1
1227667,"[Intra-osseous vascularization of the <e>astragalus</e>]Using micro-angiography and Spalteholz's technic on twenty cadaveric feet. The arterial vascularisation of talus is described. They emphasize the importance of the internal arterial pedicle coming from the arteria tibialis posterior and entering the corpus tali through its internal wall.",M1
1140034,"[Primary Ewing's sarcoma of the <e>astragalus</e>]",M1
