@RELATION C2004493_C0023434

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19779717,"High endoplasmic reticulum activity renders multiple myeloma cells hypersensitive to mitochondrial inhibitors.Multiple myeloma (MM) cells continuously secrete large amounts of immunoglobulins that are folded in the endoplasmic reticulum (ER) whose function depend on the Ca(2+) concentration inside its lumen. Recently, it was shown that the ER membrane leaks Ca(2+) that is captured and delivered back by mitochondria in order to prevent its loss. Thus, we hypothesized that the highly active and abundant ER in MM cells results in greater Ca(2+)-regulation by mitochondria which would render them sensitive to mitochondrial inhibitors. Here, we indeed find that Ca(2+) leak is greater in 3 MM, when compared to 2 <e>B-cell leukemia</e> cell lines. Moreover, this greater leak in MM cells is associated with hypersensitivity to various mitochondrial inhibitors, including CCCP. Consistent with our hypothesis, CCCP is more potent in inducing the unfolded protein response marker, CHOP/GADD153 in MM versus B-cell leukemia lines. Additionally, MM cells are found to be significantly more sensitive to clinically used fenofibrate and troglitazone, both of which were recently shown to have inhibitory effects on mitochondrial function. Overall, our results demonstrate that the unusually high ER activity in MM cells may be exploited for therapeutic benefit through the use of mitochondrial inhibitors including troglitazone and fenofibrate.",M1
19285627,"Induction of graft-versus-leukemia (GVL) effect without graft-versus-host disease (GVHD) by pretransplant donor treatment with immunomodulators.Pretransplant donor treatment with immunomodulators such as complete Freund's adjuvant (CFA) or oligodeoxynucleotide sequences expressing CpG motifs (CpG), was applied in sublethally irradiated host mice inoculated with murine models of mammary carcinoma (4T1) or <e>B cell leukemia</e> (BCL1). Spleen cells or IL-2 activated splenocytes (lymphokine activated killer [LAK]) derived from donor mice treated with CpG emulsified in incomplete Freund's adjuvant (IFA), (CpG + IFA) did not cause graft-versus-host disease (GVHD), but were not efficient enough to induce a significant graft-versus-tumor (GVT) response against 4T1 cells. In contrast, an efficient graft-versus-leukemia (GVL) effect was evident in BCL1-bearing mice inoculated with spleen cells from donors pretreated with CFA or CpG + IFA. Pretransplant donor treatment with CFA prolonged survival to a median of 62 days with 3 of 27 mice remaining GVHD- and leukemia-free for &gt;200 days, compared to GVHD-related death of all mice inoculated with naïve cells (median 17 days), or leukemia-related death of all mice inoculated with leukemia cells (median of 27 days). Pretransplant donor treatment with CpG + IFA exerted a more efficient GVL effect with reduced GVHD resulting in 12 of 26 GVHD- and leukemia-free survivors for &gt;200 days. Our results suggest that it may be possible to prevent GVHD while sparing an efficient GVL effect by using pretransplant donor treatment with immunomodulators prior to allogeneic stem cell transplantation and/or donor lymphocyte infusions in hematologic malignancies.",M1
19035318,"Impact of antigen-unloaded immature dendritic cells on antileukemic T-cell cytotoxicity.BACKGROUND: Immature dendritic cells (iDC) loaded with antigens are able to induce tolerance in antigen-specific T-cells. The potential of antigen-unloaded iDC to regulate the antileukemic cytotoxicity of autologous T-cells was determined. MATERIALS AND METHODS: iDC generated with 50 U/ml granulocyte-macrophage colony-stimulating factor (GM-CSF) and very immature DC (viDC) generated with 10 U/ml GM-CSF from the bone marrow of Balb/c mice were used for T-cell co-culture. RESULTS: The measurement of cellular cytotoxicity against the syngeneic murine <e>B-cell leukemia</e> line A20 revealed that T-cells without co-culture or after co-culture with iDC exerted a similar cytotoxicity, whereas T-cells co-incubated with viDC showed a significantly diminished lysis of A20 cells (p&lt;0.05). CONCLUSION: Antigen-unloaded iDC in contrast to antigen-loaded iDC may not affect antileukemic T-cell cytotoxicity, whereas antigen-unloaded DC cultures generated with a low dose of GM-CSF are able to impair the T-cell-mediated cytolysis of leukemic cells.",M1
18591383,"Toll-like receptors: lessons to learn from normal and malignant human B cells.The humoral immune system senses microbes via recognition of specific microbial molecular motifs by Toll-like receptors (TLRs). These encounters promote plasma cell differentiation and antibody production. Recent studies have demonstrated the importance of the TLR system in enhancing antibody-mediated defense against infections and maintaining memory B cells. These results have led the way to the design of vaccines that target B cells by engaging TLRs. In hematologic malignancies, cells often retain B cell-specific receptors and associated functions. Among these, TLRs are currently exploited to target different subclasses of <e>B-cell leukemia</e>, and TLR agonists are currently being evaluated in clinical trials. However, accumulating evidence suggests that endogenous TLR ligands or chronic infections promote tumor growth, thus providing a need for further investigations to decipher the exact function of TLRs in the B-cell lineage and in neoplastic B cells. The aim of this review is to present and discuss the latest advances with regard to the expression and function of TLRs in both healthy and malignant B cells. Special attention will be focused on the growth-promoting effects of TLR ligands on leukemic B cells and their potential clinical impact.",M1
18510704,"U-2973, a novel B-cell line established from a patient with a mature <e>B-cell leukemia</e> displaying concurrent t(14;18) and MYC translocation to a non-IG gene partner.B-cell lymphomas/leukemias with simultaneous t(14;18)(q32;q21) and MYC rearrangements have recently been shown to constitute a separate diagnostic entity, presenting with a rapid clinical course and a very poor prognosis. We describe the establishment of an Epstein-Barr virus negative cell line, designated U-2973, from a male patient with a de novo aggressive B-cell lymphoma/leukemia and very high peripheral blast cell count. Flow cytometry of bone marrow cells and U-2973 displayed a mature B-cell phenotype, and immunostaining showed expression of MYC and BCL2. IG gene rearrangement data were consistent with a lymphoid neoplasm of germinal centre derivation. Cytogenetic studies using conventional G-banding, fluorescent in situ hybridization, spectral karyotyping and single nucleotide polymorphism array demonstrated a complex karyotype with both a t(14;18) and double translocations between MYC and a non-IG gene partner located at chromosome 12p12.1.",M1
18428432,"The role of hematopoietic stem cell transplantation with relapsed or primary refractory childhood B-cell non-Hodgkin lymphoma and mature <e>B-cell leukemia</e>: a retrospective analysis of enrolled cases in Japan.BACKGROUND: There have been excellent treatment results for children with B-cell non-Hodgkin lymphoma (B-NHL) and mature B-cell leukemia (B-ALL) in the last few decades. However, a small subset of relapsed or refractory patients, after first-line therapy, still have a poor prognosis. PROCEDURE: Thirty-three patients with relapsed or primary refractory B-NHL/B-ALL among 327 newly diagnosed patients between 1996 and 2004 were analyzed retrospectively. RESULTS: After salvage therapy, 18 patients were chemotherapy-sensitive and 15 patients suffered from progression. Among 18 patients who had a chemotherapy-sensitive disease, 4 of 5 patients who underwent hematopoietic stem cell transplantation (HSCT) during remission survived without progression, while 3 of 12 patients who did not receive HSCT were alive without disease progression. Fifteen patients never sensitive to salvage therapy died. CONCLUSIONS: Patients with relapsed/primary refractory B-NHL/B-ALL have a poor prognosis with current treatment approaches, while the patients sensitive to salvage therapy have a respectable chance to achieve a sustained complete second remission with HSCT.",M1
18231927,"Interphase FISH using a BCL3 probe to diagnose the t(14;19)(q32;q13)-positive small <e>B-cell leukemia</e>.",M1
17768389,"The effect of high-dose thiotepa, alone or in combination with other chemotherapeutic agents, on a murine <e>B-cell leukemia</e> model simulating autologous stem cell transplantation.The use of thiotepa (TH) is increasing, especially in stem cell transplantation, mainly due to its safety and blood-brain barrier penetration. We evaluated the use of TH in a murine model simulating autologous stem cell transplantation, with or without additional agents. Between 1 and 11 days following inoculation of BALB/c mice with 10(5)-10(8) B-cell leukemia (BCL1) cells (simulating pre-transplant leukemia loads), each group received an 'induction-like' irradiation and/or cytotoxic regimen. Animals were either followed without treatment, or an adoptive transfer (AT) was performed to untreated BALB/c mice. Administered alone without AT, high-dose TH did not change the time to appearance of leukemia. Nevertheless, in the AT experiments, TH as a single agent showed better antileukemic activity than busulfan (BU). Cyclophosphamide (CY)-containing regimens were the most effective, and the TH-CY combination was as effective as the commonly used BU-CY combination, and more effective than the BU-TH combination. Moreover, a synergistic effect was seen in the TH-CY combination (none of the animals developed leukemia, whereas 4/10 animals in the CY-TBI group developed leukemia (P=0.029)). In conclusion, although TH produced only a moderate effect against BCL1 leukemia when used alone, its combination with CY is promising and should be tested further in allogeneic murine models and clinical studies.",M1
17704792,"Interleukin-7 induced facilitation of immunological reconstitution of sublethally irradiated mice following treatment with alloreactive spleen cells in a murine model of <e>B-cell leukemia</e>/lymphoma (BCL1).Interleukin-7 (IL-7) plays a key role in maturation and function of both T and B cells. We investigate the potential use of recombinant human IL-7 for facilitation of graft-versus-leukemia (GVL) effects mediated by T cells following transplantation in a murine model. Administration of IL-7 in vivo to allogeneic-transplanted mice improved disease-free survival: 67% of mice treated with IL-7 remained alive and disease free for more than 60 days, in comparison to 17% of the controls (P&lt;0.05). Similar results were obtained when C57BL/6 spleen cells sensitized against irradiated B-cell leukemia (BCL(1)) cells in the presence of IL-7 were transplanted to F(1) mice, followed by IL-7 treatment in vivo. Of the BALB/c mice that received spleen cells from F(1) mice treated with IL-7 following transplantation of C57BL/6 spleen cells sensitized with irradiated BCL(1) in the presence of IL-7, only 29% developed leukemia, as compared to 79% in the control group (P&lt;0.05). Mice treated with IL-7 showed increased splenic and thymic cellularity and improved T cell-dependent proliferative responses compared to the controls (P&lt;0.05). IL-7 may provide a novel tool to enhance immune reconstitution following transplantation of mismatched stem cells and for enhancement of GVL effects mediated by alloreactive lymphocytes.",M1
17189229,"Combined use of dendritic cells enhances specific antileukemia immunity by leukemia cell-derived heat shock protein 70 in a mouse model with minimal residual leukemia cells.We have reported that immunotherapy using leukemia cell-derived heat shock proteins (HSPs) is effective against minimal residual disease (MRD) after syngeneic stem cell transplantation (SCT) in mice. However, leukemia patients after SCT are usually immunocompromised and immunologically tolerant to leukemia cells. We investigated whether the use of dendritic cells (DCs) in combination with HSP70 enhances cytotoxicity against <e>B-cell leukemia</e> cell line A20 in mice after syngeneic SCT. All unimmunized mice died of leukemia early after A20 cell inoculation, whereas mice immunized with HSP70 or HSP70-pulsed DCs survived significantly longer. Although only 60% of the HSP70-immunized mice survived, all mice immunized with HSP70-pulsed DCs survived without MRD. In addition, the cytotoxicities against A20 cells for splenocytes from mice immunized with HSP70-pulsed DCs were significantly higher than those of HSP70-immunized mice, and the cytotoxicities against A20 cells were significantly blocked by anti-CD8 antibody and by major histocompatibility complex class I antibody, but not by anti-CD4 antibody. Moreover, abnormalities were detected in neither the biochemical data nor the histopathologic findings. These findings indicate that the combined use of DCs and leukemia cell-derived HSP70 enhances the antileukemia effect by inducing the specific cytotoxicities of CD8+ cytotoxic T-cells, thereby eradicating MRD effectively and safely, even in an immunocompromised state after syngeneic SCT. This approach may thus be useful for further application of HSP in leukemia patients after autologous SCT.",M1
