@RELATION C0006298_C0008139

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20410479,"Inhibition of brown adipose tissue thermogenesis by neurons in the ventrolateral medulla and in the nucleus tractus solitarius.Neurons in the ventrolateral medulla (VLM) and in the nucleus tractus solitarius (NTS) play important roles in the regulation of cardiovascular and other autonomic functions. In the present study, we demonstrate an inhibition of brown adipose tissue (<e>BAT</e>) thermogenesis evoked by activation of neurons in the VLM, as well as by neurons in the intermediate NTS, of chloralose/urethane-anesthetized, artificially ventilated rats. Activation of neurons in either rostral VLM or caudal VLM with N-methyl-d-aspartate (12 nmol) reversed the cold-evoked increase in BAT sympathetic nerve activity (SNA), BAT temperature, and end-expired CO(2). Disinhibition of neurons in either VLM or NTS with the GABA(A) receptor antagonist, bicuculline (30 pmol), reversed the increases in BAT SNA, BAT temperature, and end-expired CO(2) that were elicited 1) by cold defense; 2) during the febrile model of nanoinjection of prostaglandin E(2) into the medial preoptic area; 3) by activation of neurons in the dorsomedial hypothalamus or in the rostral raphe pallidus (rRPa); or 4) by the micro-opioid receptor agonist fentanyl. Combined, but not separate, inhibitions of neurons in the VLM and in the NTS, with the GABA(A) receptor agonist, muscimol (120 pmol/site), produced increases in BAT SNA, BAT temperature, and expired CO(2), which were reversed by nanoinjection of glycine (30 nmol) into the rRPa. These findings suggest that VLM and NTS contain neurons whose activation inhibits BAT thermogenesis, that these neurons receive GABAergic inputs that are active under these experimental conditions, and that neurons in both sites contribute to the tonic inhibition of sympathetic premotor neuronal activity in the rRPa that maintains a low level of BAT thermogenesis in normothermic conditions.",M1
20393157,"Basal adrenergic tone is required for maximal stimulation of rat brown adipose tissue UCP1 expression by chronic PPAR-gamma activation.We investigated the involvement of basal sympathetic tone in brown adipose tissue (<e>BAT</e>) recruitment and gene expression profile induced by peroxisome proliferator-activated receptor-gamma (PPAR-gamma) activation. Innervated and surgically denervated BAT pads of rats treated or not with rosiglitazone (15 mg.kg(-1).day(-1), 7 days) were evaluated for weight, triacylglycerol (TAG) and DNA content, mitochondrial mass, and gene expression. Rosiglitazone induced BAT recruitment (increased mass, TAG and DNA content) and mRNA levels of lipolytic (adipose tissue triglyceride lipase and CGI58) and lipogenic (lipoprotein lipase, phosphoenolpyruvate carboxykinase, fatty acid binding protein 4, and diacylglycerol acyltransferase 1) proteins independently of tissue innervation status. Mitochondrial mass and mRNA levels of its regulators peroxisome proliferator-activated receptor coactivator-alpha and CCAAT/enhancer binding protein-beta were not affected by rosiglitazone, while being significantly reduced by denervation. By contrast, maximal stimulation of uncoupling protein 1 (UCP1) (thermogenesis), cell death-inducing DNA fragmentation factor-45-like effector A (inhibitor of UCP1 activity), monoacylglycerol lipase (lipolysis), small heterodimer partner (transcription), and glycerokinase (TAG synthesis) by rosiglitazone depended on the presence of intact BAT innervation. Cold exposure (5 degrees C, 24 h) significantly increased UCP1 mRNA levels in innervated BAT pads of untreated rats, without affecting the already high BAT UCP1 levels of rosiglitazone-treated animals. A similar pattern of response was found in denervated pads, but with markedly lower UCP1 expression than that in innervated BAT. In conclusion, whereas the mass (hyperplasia and hypertrophy), lipogenic, and lipolytic components of BAT recruitment induced by rosiglitazone occur independently of tissue sympathetic innervation, maximal UCP1 expression induced by PPAR-gamma in vivo depends on the presence of basal BAT adrenergic tone. The residual sympathetic tone found under rosiglitazone treatment is, therefore, involved in the modulation of a subset of major components of PPAR-gamma-mediated BAT recruitment.",M1
20357363,"Impact of age on the relationships of brown adipose tissue with sex and adiposity in humans.OBJECTIVE: Brown adipose tissue (<e>BAT</e>) regulates energy homeostasis and fat mass in mammals and newborns and, most likely, in adult humans. Because BAT activity and BAT mass decline with age in humans, the impact of BAT on adiposity may decrease with aging. In the present study we addressed this hypothesis and further investigated the effect of age on the sex differences in BAT activity and BAT mass. RESEARCH DESIGN AND METHODS: Data from 260 subjects (98 with BAT and 162 study date-matched control subjects) who underwent (18)F-fluorodeoxyglucose positron emission tomography/computed tomography ((18)F-FDG PET/CT) under thermoneutral conditions were analyzed. BAT activity and BAT mass were determined in the upper body. RESULTS: BAT activity and BAT mass were higher in female (1.59 +/- 0.10 and 32 +/- 5 g vs. 1.02 +/- 0.10 and 18 +/- 4 g, both P &lt; or = 0.0006) than in male subjects. In multivariate analyses, sex (P &lt; 0.0001), age (P &lt; 0.0001), and BMI (P = 0.0018) were associated independently with BAT activity. Interestingly, only in male subjects was there an interaction between BMI and age in determining BAT activity (P = 0.008) and BAT mass (P = 0.0002); BMI decreased with increasing BAT activity and BAT mass in the lowest age tertile (Spearman rank correlation coefficient r(s) = -0.38, P = 0.015 and r(s) = -0.37, P = 0.017, respectively), not in the higher age tertiles. Furthermore, BAT activity and mass differed between female and male subjects only in the upper two age tertiles (all P &lt; or = 0.09). CONCLUSIONS: Our data corroborate that, in general, BAT activity and BAT mass are elevated in female subjects and in younger people. Importantly, we provide novel evidence that the impact of BAT activity and BAT mass on adiposity appears to decline with aging only in male subjects. Furthermore, while BAT activity and BAT mass only moderately decline with increasing age in female subjects, a much stronger effect is found in male subjects.",M1
20160646,"Brown fat as a therapy for obesity and diabetes.PURPOSE OF REVIEW: Human fat consists of white and brown adipose tissue (WAT and <e>BAT</e>). Though most fat is energy-storing WAT, the thermogenic capacity of even small amounts of BAT makes it an attractive therapeutic target for inducing weight loss through energy expenditure. This review evaluates the recent discoveries regarding the identification of functional BAT in adult humans and its potential as a therapy for obesity and diabetes. RECENT FINDINGS: Over the past year, several independent research teams used a combination of positron-emission tomography and computed tomography (PET/CT) imaging, immunohistochemistry, and gene and protein expression assays to prove conclusively that adult humans have functional BAT. This has occurred against a backdrop of basic studies defining the origins of BAT, new components of its transcriptional regulation, and the role of hormones in stimulation of BAT growth and differentiation. SUMMARY: Adult humans have functional BAT, a new target for antiobesity and antidiabetes therapies focusing on increasing energy expenditure. Future studies will refine the methodologies used to measure BAT mass and activity, expand our knowledge of critical-control points in BAT regulation, and focus on testing pharmacological agents that increase BAT thermogenesis and help achieve long-lasting weight loss and an improved metabolic profile.",M1
20133456,"Adenosine 5'-monophosphate-activated protein kinase-mammalian target of rapamycin cross talk regulates brown adipocyte differentiation.Brown adipose tissue (<e>BAT</e>) is considered of metabolic significance in mammalian physiology, because it plays an important role in regulating energy balance. Alterations in this tissue have been associated with obesity and type 2 diabetes. The molecular mechanisms modulating brown adipocyte differentiation are not fully understood. Using a murine brown preadipocyte cell line, primary cultures, and 3T3-L1 cells, we analyzed the contribution of various intracellular signaling pathways to adipogenic and thermogenic programs. Sequential activation of p38MAPK and LKB1-AMPK-tuberous sclerosis complex 2 (TSC2) as well as significant attenuation of ERK1/2 and mammalian target of rapamycin (mTOR)-p70 S6 kinase 1 (p70S6K1) activation was observed through the brown differentiation process. This study demonstrates a critical role for AMPK in controlling the mTOR-p70S6K1 signaling cascade in brown but not in 3T3-L1 adipocytes. We observed that mTOR activity is essential in the first stages of differentiation. Nevertheless, subsequent inhibition of this cascade by AMPK activation is also necessary at later stages. An in vivo study showed that prolonged 5-aminoimidazole-4-carboxamide ribonucleoside (AICAR)-induced AMPK activation increases uncoupling protein 1 expression and induces an accumulation of brown adipocytes in white adipose tissue (WAT), as revealed by immunohistology. Moreover, the induction of brown adipogenesis in areas of white fat partially correlates with the body weight reduction detected in response to treatment with AICAR. Taken together, our study reveals that differentiation of brown adipocytes employs different signaling pathways from white adipocytes, with AMPK-mTOR cross talk a central mediator of this process. Promotion of BAT development in WAT by pharmacological activation of AMPK may have potential in treating obesity by acting on energy dissipation.",M1
20124047,"CT Hounsfield units of brown adipose tissue increase with activation: preclinical and clinical studies.Brown adipose tissue (<e>BAT</e>) densities assessed as CT Hounsfield units (HUs) were evaluated in a rodent model and in patients to determine whether HUs changed in relation to BAT activity. METHODS: Serial (18)F-FDG PET/CT was performed on rats under both room temperature control conditions and after 4 h of cold-stimulation, which is known to activate BAT. The maximum standardized uptake values and CT HUs of BAT were measured, and tissues were examined in the laboratory. Image records from cancer patients who underwent PET/CT were reviewed, and 23 patients were identified who displayed both high and low (18)F-FDG uptake into BAT on serial (18)F-FDG PET/CT scans. The maximum standardized uptake values and CT HUs of BAT were compared in these scans. RESULTS: The mean (+/-SD) CT HUs of cold-activated BAT (-12.4 +/- 22.4) were significantly higher than those (-27.9 +/- 9.6) of the controls in the rat model. The CT HUs of BAT (-71.6 +/- 18.0) in the patients with high (18)F-FDG uptake were significantly higher than those (-104.4 +/- 16.8) of the patients with low (18)F-FDG uptake . A decrease in relative lipid content is seen in activated BAT in rats on histology. CONCLUSION: The CT HUs of BAT increased in activated conditions in both animals and patients, likely because of lipid consumption by activated BAT.",M1
20111017,"Adipose depots possess unique developmental gene signatures.We have previously demonstrated that subcutaneous and intra-abdominal adipose tissue show different patterns of expression for developmental genes (Shox2, En1, Tbx15 Hoxa5, Hoxc8, and Hoxc9), and that the expression level of Tbx15 and Hoxa5 in humans correlated with the level of obesity and fat distribution. To further explore the role of these developmental genes in adipose tissue, we have characterized their expression in different adipose depots in mice, and studied their regulation in obesity and by fasting. Developmental and adipogenic gene expression was compared in two subcutaneous and three intra-abdominal white adipose tissue (WAT) depots as well as brown adipose tissue (<e>BAT</e>) from lean or obese mice in a fed or fasting state. Each of these six adipose depots display a unique pattern of developmental gene expression, whereas expression of adipogenic transcription factors PPARgamma2 C/EBPalpha, beta, and Delta showed constant expression levels in all depots. Expression levels of developmental genes were similar in obese (ob/ob and high-fat diet (HFD)) and lean mice in most depots. Fasting systematically decreased expression of Hoxc8, PPARgamma2, and increased C/EBPDelta in both lean and ob/ob mice, but produced only variable changes in the expression of other developmental and adipogenic genes. These data indicate that each fat depot has a unique developmental gene expression signature, which is largely independent of nutritional state. This finding further supports a fundamental role of developmental genes in fat distribution and the development and/or function of specific adipose tissue depots.",M1
20071609,"Endogenous activation of spinal 5-hydroxytryptamine (5-HT) receptors contributes to the thermoregulatory activation of brown adipose tissue.Neurons in the rostral raphe pallidus (RPa) play an essential role in the regulation of sympathetically mediated metabolism and thermogenesis in brown adipose tissue (<e>BAT</e>). The presence of serotonergic neurons in the RPa that are retrogradely labeled following pseudorabies virus injections into BAT suggests that these neurons play a role in the regulation of BAT. In urethane/chloralose-anesthetized rats, whole body cooling decreased skin (-5.7 +/- 2.3 degrees C) and core (-1.3 +/- 0.2 degrees C) temperatures and resulted in an increase in BAT sympathetic nerve activity (SNA; +1,026 +/- 344% of baseline activity). Serial microinjections of the 5-hydroxytryptamine (5-HT) receptor antagonist, methysergide (1.2 nmol/site), but not saline vehicle, into the intermediolateral cell column (IML) in spinal segments T2-T5 markedly attenuated the cooling-evoked increase in BAT SNA (remaining area under the curve, AUC: 36 +/- 9% of naive cooling response). Microinjections of the 5-HT(1A) receptor antagonist, WAY-100635 (1.2 nmol/site), or the 5-HT(7) receptor antagonist, SB-269970 (1.2 nmol/site), into the T2-T5 IML also attenuated the cold-evoked increase in BAT SNA (remaining activity at peak inhibition: 47 +/- 8% and 39 +/- 12% of the initial cold-evoked response, respectively). The increases in BAT SNA evoked by microinjection of N-methyl-d-aspartate (NMDA) (12 pmol) or bicuculline (30 pmol) into the RPa were attenuated following microinjections of methysergide, but not saline vehicle, into the T2-T5 IML (NMDA remaining AUC, 64 +/- 13% of naive response; bicuculline remaining AUC, 52 +/- 5% of naive response). These results are consistent with our earlier demonstration of a potentiating effect of 5-HT within the IML on BAT SNA and indicate that activation of 5-HT(1A) and 5-HT(7) receptors in the spinal cord contributes to increases in BAT SNA and thermogenesis.",M1
20068229,"Cyclic nucleotides converge on brown adipose tissue differentiation.Brown adipose tissue (<e>BAT</e>) is rich in mitochondria and can uncouple oxidative phosphorylation to produce heat as a by-product of fatty acid metabolism. This thermogenic effect helps to maintain body temperature and also plays a critical role in energy homeostasis and the regulation of body weight. Both cyclic adenosine monophosphate and cyclic guanosine monophosphate (cGMP) contribute to the intracellular regulation of mitochondrial biogenesis and the differentiation of BAT. New evidence has defined the essential role of the cGMP-dependent protein kinase I in a pathway that modulates the RhoA-ROCK pathway and insulin receptor signaling to elicit BAT differentiation and stimulate thermogenesis.",M1
19996183,"Hypothalamic actions of tumor necrosis factor alpha provide the thermogenic core for the wastage syndrome in cachexia.TNFalpha is an important mediator of catabolism in cachexia. Most of its effects have been characterized in peripheral tissues, such as skeletal muscle and fat. However, by acting directly in the hypothalamus, TNFalpha can activate thermogenesis and modulate food intake. Here we show that high concentration TNFalpha in the hypothalamus leads to increased O(2) consumption/CO(2) production, increased body temperature, and reduced caloric intake, resulting in loss of body mass. Most of the thermogenic response is produced by beta 3-adrenergic signaling to the brown adipose tissue (<e>BAT</e>), leading to increased BAT relative mass, reduction in BAT lipid quantity, and increased BAT mitochondria density. The expression of proteins involved in BAT thermogenesis, such as beta 3-adrenergic receptor, peroxisomal proliferator-activated receptor-gamma coactivator-1 alpha, and uncoupling protein-1, are increased. In the hypothalamus, TNFalpha produces reductions in neuropeptide Y, agouti gene-related peptide, proopiomelanocortin, and melanin-concentrating hormone, and increases CRH and TRH. The activity of the AMP-activated protein kinase signaling pathway is also decreased in the hypothalamus of TNFalpha-treated rats. Upon intracerebroventricular infliximab treatment, tumor-bearing and septic rats present a significantly increased survival. In addition, the systemic inhibition of beta 3-adrenergic signaling results in a reduced body mass loss and increased survival in septic rats. These data suggest hypothalamic TNFalpha action to be important mediator of the wastage syndrome in cachexia.",M1
