@RELATION C0006137_C0006222

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20066953,"Mass mortality associated with a frog virus 3-like Ranavirus infection in farmed tadpoles Rana catesbeiana from Brazil.Ranaviruses (Iridoviridae) are increasingly associated with mortality events in amphibians, fish, and reptiles. They have been recently associated with mass mortality events in Brazilian farmed tadpoles of the American bullfrog Rana catesbeiana Shaw, 1802. The objectives of the present study were to further characterize the virus isolated from sick R. catesbeiana tadpoles and confirm the etiology in these outbreaks. Sick tadpoles were collected in 3 farms located in Goiás State, Brazil, from 2003 to 2005 and processed for virus isolation and characterization, microbiology, histopathology, and parasitology. The phylogenetic relationships of Rana catesbeiana ranavirus (RCV-<e>BR</e>) with other genus members was investigated by PCR with primers specific for the major capsid protein gene (MCP) and the RNA polymerase DNA-dependent gene (Pol II). Sequence analysis and multiple alignments for MCP products showed &gt;99% amino acid identity with other ranaviruses, while Pol II products showed 100% identity. Further diagnostics of the pathology including histology and transmission electron microscopy confirmed the viral etiology of these mass deaths. As far as we know, this is the first report of a ranaviral infection affecting aquatic organisms in Brazil. Additionally, our results suggest that American bullfrogs may have served as a vector of transmission of this virus, which highlights the potential threat of amphibian translocation in the world distribution of pathogens.",M1
19936460,"Vaccination against the influenza virus and mortality due to cardiovascular diseases in the city of Sao Paulo.BACKGROUND: The effect of vaccination against the influenza virus on the mortality due to cardiovascular diseases (CVD) remains controversial. OBJECTIVE: To analyze the mortality by CVD before and after the start of the vaccination against the Influenza virus in the city of Sao Paulo, Brazil. METHODS: We analyzed the mortality due to ischemic heart diseases (IHD), cerebrovascular diseases (CbVD) and external causes (EC) in the population of the metropolitan region of the city of Sao Paulo, Brazil, aged &gt; or = 60 years, before and after the start of the vaccination program against Influenza. The population estimates and mortality data were obtained, respectively, from the Brazilian Institute of Geography and Statistics (IBGE; www.ibge.gov.<e>br</e>) and from the Brazilian Ministry of Health (www.datasus.gov.br) for the period between 1980 and 2006. The risk of death was adjusted by the direct method, using the 1960 world standard population. RESULTS: The comparisons between the inclinations of the regression lines were similar for CbVD (p = 0.931) and EC (p = 0.941); however, for IHD (p = 0.022), a significant decrease was observed in the regression line of the post-vaccination period, when compared to the pre-vaccination period. A change in the tendency towards mortality after 1996 was significant only for the IHD (p = 0.022), remaining unaltered for the CbVD (p = 0.931) and EC (p = 0.941). CONCLUSION: The vaccination against the Influenza virus was associated with a significant decrease in the mortality due to IHD.",M1
19848087,"Molecular characterization of Brazilian infectious bursal disease virus isolated from 1997 to 2005.This retrospective study concerned 41 infectious bursal disease virus (IBDV) isolates obtained from Brazilian broiler and layers flocks by reverse transcription-polymerase chain reaction. Twenty-five of them were identified as very virulent (vv) by restriction enzyme analysis and by further nucleotide and phylogenetic analysis. All of them had the typical amino acid residues, and all clustered in a phylogenetic tree with the vvIBDV strains. Four amino acid substitutions, at positions D213N, G254D, S317R, and D323E, were common to 3 vv isolates, <e>Br</e>/03/DB, Br/03/CK, and Br/04/CR, and differed from other vv isolates and strains. These isolates came from the same locale, but were collected in different years, indicating that the vvIBDVs circulating on Brazilian farms are undergoing slight but continuous exchanges.",M1
19820814,"Portuguese-language version of the Epworth sleepiness scale: validation for use in Brazil.OBJECTIVE: The aim of this study was to develop a Portuguese-language version of the Epworth sleepiness scale (ESS) for use in Brazil. METHODS: The steps involved in creating the ESS in Brazilian Portuguese (ESS-<e>BR</e>) were as follows: translation; back-translation; comparison (by a committee) between the translation and the back-translation; and testing in bilingual individuals. The ESS-BR was applied to a group of patients who were submitted to overnight polysomnography in order to identify obstructive sleep apnea-hypopnea syndrome (OSAHS), insomnia and primary snoring. A control group was composed of subjects with a history of normal sleep habits, without reported snoring. RESULTS: A total of 114 patients and 21 controls were included. The 8-item scores of the ESS-BR had an overall reliability coefficient of 0.83. The study group was composed of 59 patients with OSAHS, 34 patients with primary snoring and 21 patients with insomnia. One-way ANOVA demonstrated significant differences in ESS-BR scores among the four diagnostic groups (p &lt; 0.001). Post-hoc tests between groups showed that the ESS-BR scores of the patients with insomnia did not differ from those of the controls (p &gt; 0.05). The ESS-BR scores were significantly higher for OSAHS patients and for primary snorers than for controls (p &lt; 0.05). In addition, the scores for OSAHS patients were significantly higher than were those for primary snorers (p &lt; 0.05). CONCLUSIONS: The results of the present study demonstrate that the ESS-BR is a valid and reliable instrument for the assessment of daytime sleepiness, equivalent to its original version when applied to individuals who speak Brazilian Portuguese.",M1
19750383,"[Predictors of subjective burden for families of psychiatric patients treated in the public health care system in Belo Horizonte, Minas Gerais State, Brazil]This study investigated the predictors of subjective burden for families of psychiatric patients. We interviewed 150 relatives of patients randomly selected in four mental health care services in Belo Horizonte, Minas Gerais State, Brazil. Subjects were interviewed with the Family Burden Interview Schedule (FBIS-<e>BR</e>) and a standardized socio-demographic questionnaire. Variables were grouped into thematic categories and separately analyzed to determine the relative importance of predictive factors. The results showed that subjective burden is influenced by objective burden and by factors related to the patient's clinical condition, the caregiver's and patient's living and health conditions and financial status, and increased demand for information on mental illness. Subjective burden was less when the caregiver practiced leisure and religious activities, publicly admitted to being the caregiver of a psychiatric patient, and had positive feelings toward the patient. The findings highlight the need to include family follow-up in the community model for psychiatric care.",M1
19721970,"Pharmaceutical services evaluation in Brazil: broadening the results of a WHO methodology.The objective of this paper is to explore and analyze the results of the Diagnosis of the Pharmaceutical Situation in Brazil (DiagAF-<e>Br</e>) from a regional perspective. The study made use of an exploratory approach of multiple cases based on the DiagAF-Br data collected in five Brazilian states. A descriptive analysis of selected indicators was performed in each of the Brazilian states in three pharmaceutical dimensions: access, quality, and rational use of medicines. The mainly results concerning the percentage of completed prescriptions varied from 1.1% in the State of Goiás to 98.6% in Espírito Santo; the percentage of patients who know how to take their medicines varied from 60.4% in Sergipe to 93.3% in Rio Grande do Sul. Educational level showed to be an important predictor of knowledge on how to use medicines, especially relevant when prescription is completed. The average number of prescribed medicines, approximately 2.1, did not show any difference between the visited sites. Different levels of management capacity and services organization were identified, suggesting the need for more adequate strategies to improve access, quality and mainly rational use of medicines in Brazil.",M1
19708026,"Mutagenicity of blue rayon extracts of fish bile as a biomarker in a field study.Blue rayon (<e>BR</e>) in combination with the Salmonella/microsome assay was used to evaluate the mutagenicity of fish bile samples. Specimens of Mugil curema from two sites were collected over a 1-year period. Piaçaguera channel contains high concentrations of total polycyclic aromatic hydrocarbons (PAHs) and other contaminants, while Bertioga channel was considered the reference sites in this study. Bile was extracted with BR and tested with TA98, TA100, and YG1041 strains with and without S9 in dose response experiments. PAH metabolite equivalents were analyzed using reverse-phase high performance liquid chromatography /fluorescence. Higher mutagenic responses were observed for the contaminated site; YG1041 with S9 was the most sensitive strain/condition. Mutagenicity ranged from 3,900 to 14,000 rev./mg at the contaminated site and from 1,200 to 2,500 rev./mg of BR at the reference site. The responses of YG1041 were much higher in comparison with the TA98 indicating the presence of polycyclic compounds from the aromatic amine class that cause frameshift mutation. TA100 showed a positive mutagenic response that was enhanced following S9 treatment at both sites suggesting the presence of polycyclic compounds that require metabolic activation. benzo(a)pyrene, naphthalene, and phenanthrene metabolite equivalents were also higher in the bile of fish collected at the contaminated site. It was not possible to correlate the PAH metabolite quantities with the mutagenic potency. Thus, a combination of the Salmonella/microsome assay with YG1041 with S9 from BR bile extract seems to be an acceptable biomarker for monitoring the exposure of fish to mutagenic polycyclic compounds.",M1
19701711,"Complete genome analysis of a rabies virus isolate from Brazilian wild fox.The complete genome sequence of wild-type rabies virus (RABV) isolated from a wild Brazilian hoary fox (Dusicyon sp.), the <e>BR</e>-Pfx1 isolate, was determined and compared with fixed RABV strains. The genome structure and organization of the BR-Pfx1 isolate were composed of 11,924 nt and included the five standard genes of rhabdoviruses. Sequences of mRNA start and stop signals for transcription were highly conserved among all structural protein genes of the BR-Pfx1 isolate. All amino acid residues in the glycoprotein (G) gene associated with pathogenicity were retained in the BR-Pfx1 isolate, while unique amino acid substitutions were found in antigenic region I of the nucleoprotein gene and III of G. These results suggest that although the standard genome structure and organization of the RABV isolate are common between the BR-Pfx1 isolate and fixed RABV strains, the unique amino acid substitutions in functional sites of the BR-Pfx1 isolate may result in different biological characteristics from fixed RABV strains.",M1
19669062,"User satisfaction with psychosocial healthcare services, Southern Brazil.OBJECTIVE: To evaluate user satisfaction with psychosocial healthcare services. METHODS: Qualitative and quantitative study conducted in psychosocial healthcare services in the states of Paraná, Santa Catarina and Rio Grande do Sul, Southern Brazil, in 2006. The study combined quantitative and qualitative methods. Quantitative epidemiological data from a cross-sectional study including 1,162 users of 30 psychosocial healthcare services was used. The instrument used to evaluate users' satisfaction was the Brazilian version of the WHO Users' Satisfaction Scale (SATIS-<e>BR</e>), a 1 to 5-point scale. Qualitative data was collected from five case studies using a fourth generation approach. Information was obtained from field observations and interviews (between ten and 13 users in each field, totaling 57 users) and presented to users in validation and negotiation workshops. RESULTS: The SATIS-BR scale showed that users positively evaluated all items, overall mean 4.4 (SD=0.4). Communication and relationship with psychosocial healthcare services staff had mean 4.5 (SD=0.5), and access to information through staff had mean 4.8. Satisfaction with care service was the lowest, mean 4.1, and general service infrastructure had mean 3.9. The qualitative study revealed that, according to users, the quality of treatment provided was good and the outcome was satisfactory. Their new status, better access to services, ending of their physical and social isolation, response to their demands and helping them reorganize their lives - all contributed to users' satisfaction. CONCLUSIONS: The complementary results of both study approaches showed that users are satisfied with care provided at the psychosocial healthcare services studied.",M1
19660430,"Leishmania sp. isolated from human cases of cutaneous leishmaniasis in Brazil characterized as Leishmania major-like.The identification and characterization of Leishmania are relevant to diagnosis, treatment, eco-epidemiology studies, prophylactic measures and control of the disease. Two strains of Leishmania (MHOM/<e>BR</e>/1971/BH49 and MHOM/BR/1971/BH121), isolated from human cutaneous leishmaniasis, were studied using biological and molecular characteristics, in comparison with WHO reference strains. These studies are important because both strains were incorporated in a vaccine against American cutaneous leishmaniasis, and one of these strains has been used to prepare specific and sensitive antigen for serodiagnosis of visceral leishmaniasis in Brazil. Studies were made on the growth rates of promastigotes in Grace's insect medium, infectivity to C57BL/6 and BALB/c mice, electrophoresic mobility patterns of isoenzymes, random amplification of polymorphic DNA (RAPD), simple sequence repeat-anchored PCR amplification (SSR-PCR) and DNA fingerprinting profiles, infectivity to murine macrophages and cellular immune response. Infections of mice and macrophages were significantly different among the strains studied. Attempts to infect mice with culture promastigotes were unsuccessful with BH121, but BH49 infected BALB/c and C57BL/6 mice. Isoenzyme electrophoretic mobility patterns, RAPD and SSR-PCR using DNA amplified by polymerase chain reaction (PCR) with nine arbitrary primers, as well as DNA fingerprinting studies with a biotin-labeled 33.15 fingerprinting probe showed similar profiles to those of the Leishmania major WHO reference strain.",M1
