@RELATION C0024198_C0006033

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20509909,"Prevalence of <e>Borrelia</e> burgdorferi sensu lato in rodents from Gansu, northwestern China.BACKGROUND: Lyme disease is a multi-organ infection disease caused by Borrelia burgdorferi sensu lato. Lyme disease was first documented in north-east China in 1986. Since then more than 20 provinces in China were confirmed the existence of nature foci of Lyme disease. In the present study, a molecular epidemiological survey was conducted to investigate the presence of Borrelia burgdorferi sensu lato in rodents from Gansu Province for the first time. RESULT: A total of 140 rodents of 7 species were examined for Borrelia burgdorferi sensu lato. by nested-PCR and culture isolation. The overall infection rate was 22.86%. Two rodent species most frequently trapped were responsible for all positive. 3 strains were isolated from Apodemus agrarius, which belonged to B. garinii, 1 strain isolated from Rattus losea was identified as B. afzelii. CONCLUSION: The study firstly showed the role of rodents in maintaining the pathogen of Lyme disease in the environment from Gansu Province and there existed at least two genotypes of Lyme disease spirochaetes in rodents.",M1
20507740,"Evolution of northeastern and midwestern <e>Borrelia</e> burgdorferi, United States.The per capita incidence of human Lyme disease in the northeastern United States is more than twice that in the Midwest. However, the prevalence of Borrelia burgdorferi, the bacterium that causes Lyme disease, in the tick vector is nearly identical in the 2 regions. The disparity in human Lyme disease incidence may result from a disparity in the human invasiveness of the bacteria in the Northeast and Midwest caused by fundamentally different evolutionary histories. B. burgdorferi populations in the Northeast and Midwest are geographically isolated, enabling evolutionary divergence in human invasiveness. However, we found that B. burgdorferi populations in the Northeast and Midwest shared a recent common ancestor, which suggests that substantial evolutionary divergence in human invasiveness has not occurred. We propose that differences in either animal ecology or human behavior are the root cause of the differences in human incidence between the 2 regions.",M1
20496594,"Forest and surface water as predictors of <e>Borrelia</e> burgdorferi and its vector Ixodes scapularis (Acari: Ixodidae) in Indiana.The objective of this study was to assess whether the distribution of Borrelia burgdorferi, the causative agent of Lyme disease, and its vector tick Ixodes scapularis Say (Acari: Ixodidae) across Indiana is influenced by large-scale landscape features, specifically the proportion of forest within the surrounding landscape and the distance to water features such as lakes and major streams. Hunter-killed deer were checked for ticks in designated check-stations in the opening firearm hunting season between 2005 and 2007. Hunting locations for approximately 3,600 deer were used in ArcGIS (ESRI, Redlands, CA) to examine the influence of forest and water features in the surrounding area on the occurrence of the tick and bacteria. In total, 82 of the 92 (89%) Indiana counties were sampled from 2005 to 2007. The proportion of tick-infested deer was 13.6, 15.8, and 25.5% in these years, respectively. There was a significant nonlinear response for I. scapularis to forest cover in 1 yr that indicated a greater probability of this tick presence at intermediate levels of forest area. Infested does were harvested in significantly more forested areas than bucks. No significant correlation was found neither between levels of forest area and B. burgdorferi nor between water bodies and both organisms.",M1
20483726,"Invariant NKT cell development requires a full complement of functional CD3 zeta immunoreceptor tyrosine-based activation motifs.Invariant NKT (iNKT) cells regulate early immune responses to infections, in part because of their rapid release of IFN-gamma and IL-4. iNKT cells are proposed to reduce the severity of Lyme disease following <e>Borrelia</e> burgdorferi infection. Unlike conventional T cells, iNKT cells express an invariant alphabeta TCR that recognizes lipids bound to the MHC class I-like molecule, CD1d. Furthermore, these cells are positively selected following TCR interactions with glycolipid/CD1d complexes expressed on CD4+CD8+ thymocytes. Whereas conventional T cell development can proceed with as few as 4/10 CD3 immunoreceptor tyrosine-based activation motifs (ITAMs), little is known about the ITAM requirements for iNKT cell selection and expansion. We analyzed iNKT cell development in CD3 zeta transgenic lines with various tyrosine-to-phenylalanine substitutions (YF) that eliminated the functions of the first (YF1,2), third (YF5,6), or all three (YF1-6) CD3 zeta ITAMs. iNKT cell numbers were significantly reduced in the thymus, spleen, and liver of all YF mice compared with wild type mice. The reduced numbers of iNKT cells resulted from significant reductions in the expression of the early growth response 2 and promyelocytic leukemia zinc finger transcription factors. In the mice with few to no iNKT cells, there was no difference in the severity of Lyme arthritis compared with wild type controls, following infections with the spirochete B. burgdorferi. These findings indicate that a full complement of functional CD3 zeta ITAMs is required for effective iNKT cell development.",M1
20441518,"Recognition of <e>Borrelia</e> burgdorferi by NOD2 is central for the induction of an inflammatory reaction.Toll-like receptor 2 (TLR2) plays an important role in the recognition of Borrelia bacteria, the causative agent of Lyme disease, but the existence and importance of additional receptors in this process has been hypothesized. In the present study, we confirmed the role played by TLR2 in the recognition of Borrelia bacteria but also demonstrated a crucial role for the intracellular peptidoglycan receptor NOD2 for sensing the spirochete. Cells from individuals who were homozygous for the loss-of-function mutation 3020insC in the NOD2 gene were defective with respect to cytokine release after stimulation with Borrelia species, and this was confirmed in peritoneal macrophages from mice lacking RICK, the adaptor molecule used by NOD2. In contrast, NOD1 played no major role in the recognition of Borrelia spirochetes. This raises the intriguing possibility that recognition of Borrelia spirochetes is exerted by TLR2 in combination with NOD2 and that both receptors are necessary for an effective induction of cytokines by Borrelia species. The interplay between TLR2 and NOD2 might not only be necessary for the induction of a proper immune response but may also contribute to inflammatory-induced pathology.",M1
20437826,"Our experience with examination of antibodies against antigens of <e>Borrelia</e> burgdorferi in patients with suspected lyme disease.BACKGROUND: Lyme borreliosis is a multisystemic disease which affects several organs such as skin, nervous system, joints and the heart. The presented study focused on patients with persisting symptoms of the disease, which could be in correlation with Lyme disease but antiborrelial antibodies were not confirmed by screening tests. MATERIAL AND METHODS: 32 patients with anamnestic data and suspected clinical signs of lyme borreliosis were tested for the presence of antiborrelia antibodies by using ELISA and westernblot analysis and the state of cellular and humoral immunity. RESULTS: All patients had specific antiborrelial antibodies confirmed by using the westernblot in spite of negative ELISA. Immunological investigations revealed a deficiency of cellular immunity in all patients and in a part of them (15.6%) a deficiency of humoral immunity was also found. The presence of different types of autoantibodies was detected in 17 (53.1%) patients. CONCLUSION: In patients with persisting difficulties that could be associated with Lyme disease, it is necessary to use the westernblot test which could prove the presence of specific antibodies. It is probably due to the very low production of specific antibodies caused also by the status of immune deficiency detected in all our patients (Tab. 1, Ref. 11).",M1
20421380,"Role of the surface lipoprotein BBA07 in the enzootic cycle of <e>Borrelia</e> burgdorferi.Borrelia burgdorferi, the Lyme disease pathogen, dramatically alters its protein profile when it is transmitted between ticks and mammals. Several differentially expressed proteins have been shown to be critical for the enzootic cycle of B. burgdorferi. In this study, we demonstrated that expression of the surface lipoprotein-encoding gene bba07 is induced by an elevated temperature and a reduced pH during in vitro cultivation, as well as during nymphal tick feeding. Expression of bba07 is regulated by the Rrp2-RpoN-RpoS pathway, a central regulatory network that is activated during nymphal feeding. By generating a bba07 mutant of an infectious strain of B. burgdorferi, we demonstrated that although BBA07-deficient spirochetes were capable of infecting mice via needle inoculation and surviving in ticks, they were defective in infection of mammals via tick transmission. Complementation of the bba07 mutant with a wild-type copy of bba07 partially restored the transmission defect of the bba07 mutant. Based on these findings, we concluded that the surface lipoprotein BBA07 is produced during tick feeding and facilitates optimal transmission of B. burgdorferi from the tick vector to a mammalian host.",M1
20404081,"The Lyme disease spirochete <e>Borrelia</e> burgdorferi utilizes multiple ligands, including RNA, for interferon regulatory factor 3-dependent induction of type I interferon-responsive genes.We recently discovered a critical role for type I interferon (IFN) in the development of murine Lyme arthritis. Borrelia burgdorferi-mediated induction of IFN-responsive genes by bone marrow-derived macrophages (BMDMs) was dependent upon a functional type I IFN receptor but independent of Toll-like receptor 2 (TLR2), TLR4, TLR9, and the adapter molecule MyD88. We now demonstrate that induction of the IFN transcriptional profile in B. burgdorferi-stimulated BMDMs occurs independently of the adapter TRIF and of the cytoplasmic sensor NOD2. In contrast, B. burgdorferi-induced transcription of these genes was dependent upon a rapid STAT1 feedback amplification pathway. IFN profile gene transcription was IRF3 dependent but did not utilize B. burgdorferi-derived DNA or DNase-sensitive ligands. Instead, IFN-responsive gene expression could be induced by B. burgdorferi-derived RNA. Interferon regulatory factor 3 (IRF3)-dependent IFN profile gene transcription was also induced by sonicated bacteria, by the lipoprotein OspA, and by factors released into the BSKII medium during culture of B. burgdorferi. The IFN-stimulatory activity of B. burgdorferi culture supernatants was not destroyed by nuclease treatment. Nuclease digestion also had no effect on IFN profile induction mediated by sonicated B. burgdorferi. Thus, B. burgdorferi-derived RNA, OspA, and non-nucleic acid ligands present in both sonicated bacteria and B. burgdorferi culture medium contribute to type I IFN-responsive gene induction. These findings suggest that B. burgdorferi invasion of joint tissue and the resultant type I IFN induction associated with Lyme arthritis development may involve multiple triggering ligands.",M1
20380218,"Community ecology and disease risk: lizards, squirrels, and the Lyme disease spirochete in California, USA.Vector-borne zoonotic diseases are often maintained in complex transmission cycles involving multiple vertebrate hosts and their arthropod vectors. In the state of California, U.S.A., the spirochete <e>Borrelia</e> burgdorferi, which causes Lyme disease, is transmitted between vertebrate hosts by the western black-legged tick, Ixodes pacificus. Several mammalian species serve as reservoir hosts of the spirochete, but levels of tick infestation, reservoir competence, and Borrelia-infection prevalence vary widely among such hosts. Here, we model the host (lizards, Peromyscus mice, Californian meadow voles, dusky-footed wood rats, and western gray squirrels), vector, and pathogen community of oak woodlands in northwestern California to determine the relative importance of different tick hosts. Observed infection prevalence of B. burgdorferi in host-seeking I. pacificus nymphs was 1.8-5.3%, and our host-community model estimated an infection prevalence of 1.6-2.2%. The western gray squirrel (Sciurus griseus) was the only source of infected nymphs. Lizards, which are refractory to Borrelia infection, are important in feeding subadult ticks but reduce disease risk (nymphal infection prevalence). Species identity is therefore critical in understanding and determining the local disease ecology.",M1
20377044,"Direct detection of <e>Borrelia</e> burgdorferi spirochetes in patients with early disseminated Lyme borreliosis.The detection of spirochetes in 15 patients with clinically documented early disseminated LB has been analysed when using cultivation method of the plasma or the cerebrospinal fluid, electron microscopy, commercial Western blot and detecting the DNA of the pathogen in vitro cultures by PCR-RFLP. Spirochetes were isolated in eight blood and one cerebrospinal fluid culture samples. In seven cases (47%), previous serodiagnostic laboratory tests were negative. Borrelial DNA was detected by PCR in 67% patients (9 blood samples and 1 CSF sample). Using Msel restriction fragments of PCR products of the amplified rrf-rrl region, we identified Borrelia garinii (80%), one B. afzelii isolate and one B. burgdorferi s.s.",M1
