@RELATION C0302363_C0006304

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
18763048,"Seroprevalence of brucellosis in yaks (Poephagus grunniens) in India and evaluation of protective immunity to S19 vaccine.The present study was carried out to explore the seroprevalence of brucellosis in yaks of North-Eastern hilly yak tracts of Arunachal Pradesh, India. Of 374 animals tested, 23.79, 21.11 and 18.98% were found positive for brucellosis using avidin-biotin ELISA (AB-ELISA), Rose-Bengal plate test (RBPT) and standard tube-agglutination test (STAT), respectively. The relative sensitivity and specificity for STAT were 79.77 and 100%, respectively and the same for RBPT were 88.76 and 100%, respectively in comparison to AB-ELISA. The alarming prevalence as recorded was highest among the yak cows (31.42%) followed by heifers (23.85%) and bulls (8.88%). The immune response in yaks following standard dose of calfhood vaccination with <e>Brucella abortus</e> strain 19 vaccine showed that protective antibody level persisted up to 210 days. This is the first report from India on prevalence of brucellosis and immunization with B abortus strain 19 vaccine in yaks. The present investigation would be a valuable guideline for future control measure and eradication programme of brucellosis in yaks.",M1
18440660,"Evaluation of surveillance strategies for bovine brucellosis in Japan using a simulation model.Bovine brucellosis is caused by <e>Brucella abortus</e> and induces abortions in female cattle, with other cattle at risk of infection from the aborted fetus or contaminated placenta. In Japan, the number of cases has dramatically reduced due to national surveillance and eradication strategies. Bovine brucellosis is now believed to be eradicated in Japan. Here, we examine the surveillance strategies currently in place for early detection of infected cattle in the event of a future reintroduction of the disease. We compared current serological surveillance for the dairy population with bulk-milk surveillance and abortion surveillance, and used time to detection as the main criterion of surveillance efficacy. A stochastic individual-based model (IBM) was developed to simulate disease transmission within and between farms. Using outputs from the transmission model, a comparison of surveillance strategies was simulated. For evaluation of the robustness of the parameter values used in the transmission model, a sensitivity analysis was conducted. For the purpose of evaluating the direct costs of each surveillance strategy, the annual number of samples to be tested and the annual number of farms to be visited were estimated. Our results indicated that current serological surveillance with 60-month test intervals is not effective enough for rapid detection of a brucellosis outbreak. Bulk-milk surveillance appeared the most effective method based on the early detection of infected cows and a reduced number of samples required. The time to detection for abortion surveillance was greater than that of bulk-milk surveillance but varied widely depending on the reported ratio of abortions. Results from the surveillance model were consistent when alternative scenarios were applied to the transmission model. Although our model cannot exactly replicate an actual brucellosis outbreak, or the results of surveillance, our results may help decision-makers to choose the most effective surveillance strategy.",M1
18338729,"Investigations into the prevalence of bovine brucellosis and the risk factors that predispose humans to infection among urban dairy and non-dairy farming households in Dagoretti Division, Nairobi, Kenya.OBJECTIVE: To explore the knowledge, attitudes and practices of dairy and non-dairy farming households in Dagoretti in regard to the risk posed by bovine brucellosis and determine the prevalence of the disease in urban dairy cattle. DESIGN: A cross sectional study. SETTING: Urban and Peri-urban dairy farming and non dairy farming households in Dagoretti division, Nairobi. SUBJECTS: Two hundred ninety nine dairy farming and 149 non dairy farming households. INTERVENTION: Segregated focus group discussions, administration of a household questionnaire and collection of unboiled milk from dairy and non dairy farming households were the instruments used to gather data on the practices, attitudes, perceptions and prevalence of bovine brucellosis. RESULTS: Three hundred and ninety three milk samples were collected and analysed for the presence of antibodies to <e>Brucella abortus</e> in an indirect ELISA. The apparent prevalence of bovine brucellosis from milk was estimated at 1% for the samples collected while in dairy farming households the prevalence was 1.1% [0.2, 3.4%] and 0.7% [0.4%] in non dairy farming households.. Thirty percent (90/296) of dairy respondents and 22% (32/147) of non-dairy respondents knew of the existence of brucellosis. Risk of contracting brucellosis was very low considering that milk is boiled together with other ingredients used in making tea and porridge. However, 31% (93/296) and 22% (31/143) of dairy and non dairy farming households respectively made traditionally fermented milk without first boiling the milk. This practice may predispose this group to brucellosis. CONCLUSION: The low prevalence of bovine brucellosis requires constant surveillance in case the prevalence rates do change. Education of dairy farming households who are more at risk of contracting brucellosis on the transmission pathways and risk factors is required in order to lower further the prevalence of bovine brucellosis in Dagoretti.",M1
18207262,"Risk associated with animals moved from herds infected with brucellosis in Northern Ireland.The movement of cattle from herds infected with <e>Brucella abortus</e> was investigated in order to assess the control measures for eradication of brucellosis from the cattle population of Northern Ireland. Using recorded cattle movement data, a historical cohort study was designed and carried out to quantify the risk of seropositivity in bovine animals moved from herds infected with brucellosis. The study found that 3.1% of animals, moved in the 6-month period prior to disclosure of infection in the source herd and subsequently tested, were interpreted as seropositive in their destination herds. The odds of seropositivity were approximately 19 (95% confidence interval: 7.8-46.4) times higher in this cohort compared with animals from herds with no history of infection. A multivariate logistic regression model was constructed to examine factors influencing the risk of seropositivity in the exposed cohort of animals, identifying maternal status (whether the dam had been a brucellosis reactor) and age at leaving the infected herd as the main risk factors.",M1
17904229,"Killing of Brucella antigen-sensitized macrophages by T lymphocytes in bovine brucellosis.The present study was an investigation into the role of T lymphocytes in the killing of antigen-sensitized macrophages (M Phi) in bovine brucellosis. Following confirmation of bovine T lymphocyte cell lines derived from <e>Brucella abortus</e> Strain 19 vaccinated steers as antigen-specific in proliferation studies using various antigens, we adapted an apoptosis assay for evaluation of cytotoxicity by these bovine T cells against autologous monocyte-derived macrophages (MDM Phi) as target cells. Various B. abortus antigen preparations were tested including whole gamma-irradiated B. abortus bacteria (gamma BA), a soluble cytosolic protein fraction and a membrane-associated protein fraction. Both polyclonal and cloned T lymphocyte cell lines exhibited cytotoxicity against MDM Phi targets in an antigen-specific fashion. Polyclonal and cloned T lymphocyte cell lines demonstrated cytotoxic responses to varying degrees against B. abortus antigens regardless of whether the antigen used was whole nonviable bacteria, a soluble protein extract or a membrane-associated fraction of extracted bacteria. To further develop correlation of these responses to an in vivo host defense mechanism, cytotoxicity was evaluated using target cells that had been infected with live B. abortus S19 or B. abortus Strain 2308. Cytotoxic responses were also demonstrated consistently against infected targets with either strain of B. abortus although in most cases, cytotoxicity was higher against target cells sensitized with gamma BA compared to those infected with live bacteria. Cloned T lymphocyte cell lines were all CD4+, CD8(-) cells indicating that the observed cytotoxic responses were most likely due to an inflammatory Th1 response and may represent an important host defense mechanism induced by vaccination with live attenuated strains of B. abortus in cattle.",M1
16600408,"Likelihood ratio estimation without a gold standard: a case study evaluating a brucellosis c-ELISA in cattle and water buffalo of Trinidad.The likelihood ratio (LR) is a measure of association that quantifies how many more times likely a particular test result is from an infected animal compared to one that is uninfected. They are ratios of conditional probabilities and cannot be interpreted at the individual animal level without information concerning pretest probabilities. Their usefulness is that they can be used to update the prior belief that the individual has the outcome of interest through a modification of Bayes' theorem. Bayesian analytic techniques can be used for the evaluation of diagnostic tests and estimation of LRs when information concerning a gold standard is not available. As an example, these techniques were applied to the estimation of LRs for a competitive ELISA (c-ELISA) for diagnosis of <e>Brucella abortus</e> infection in cattle and water buffalo in Trinidad. Sera from four herds of cattle (n=391) and four herds of water buffalo (n=381) in Trinidad were evaluated for Brucella-specific antibodies using a c-ELISA. On the basis of previous serologic (agglutination) test results in the same animals, iterative simulation modeling was used to classify animals as positive or negative for Brucella infection. LRs were calculated for six categories of the c-ELISA proportion inhibition (PI) results pooled for cattle and water buffalo and yielded the following estimations (95% probability intervals): &lt;0.10 PI, 0.05 (0-0.13); 0.10-0.249 PI, 0.11 (0.04-0.20); 0.25-0.349 PI, 0.77 (0.23-1.63); 0.35-0.499 PI, 3.22 (1.39-6.84); 0.50-0.749 PI, 17.9 (6.39-77.4); &gt; or =0.75 PI, 423 (129-infinity). LRs are important for calculation of post-test probabilities and maintaining the quantitative nature of diagnostic test results.",M1
15642999,"Efficacy of several serological tests and antigens for diagnosis of bovine brucellosis in the presence of false-positive serological results due to Yersinia enterocolitica O:9.Yersinia enterocolitica O:9 bears a smooth lipopolysaccharide (S-LPS) of Brucella sp. O-chain A+C/Y epitopic structure and is a cause of false-positive serological reactions (FPSR) in standard tests for cattle brucellosis. Brucella S-LPS, cross-reacting S-LPSs representing several O-chain epitope combinations, Brucella core lipid A epitopes (rough LPS), <e>Brucella abortus</e> S-LPS-derived polysaccharide, native hapten polysaccharide, rough LPS group 3 outer membrane protein complexes, recombinant BP26, and cytosolic proteins were tested in enzyme-linked immunosorbent assays (ELISA) and precipitation tests to detect cattle brucellosis (sensitivity) and to differentiate it from FPSR (specificity). No single serological test and antigen combination showed 100% sensitivity and specificity simultaneously. Immunoprecipitation tests with native hapten polysaccharide, counterimmunoelectrophoresis with cytosolic proteins, and a chaotropic ELISA with Brucella S-LPS were 100% specific but less sensitive than the Rose Bengal test, complement fixation, and indirect ELISA with Brucella S-LPSs and native hapten or S-LPS-derived polysaccharides. A competitive ELISA with Brucella S-LPS and M84 C/Y-specific monoclonal antibody was not 100% specific and was less sensitive than other tests. ELISA with Brucella suis bv. 2 S-LPS (deficient in C epitopes), Escherichia hermannii S-LPSs [lacking the contiguous alpha-(1-2)-linked perosamine residues characteristic of Y. enterocolitica S-LPS], BP26 recombinant protein, and Brucella cytosolic fractions did not provide adequate sensitivity/specificity ratios. Although no serological test and antigen combination fully resolved the diagnosis of bovine brucellosis in the presence of FPSR, some are simple and practical alternatives to the brucellin skin test currently recommended for differential diagnosis.",M1
15099717,"A simulation model of brucellosis spread in British cattle under several testing regimes.Brucellosis is a widespread, economically devastating and highly infectious zoonosis. In cattle, infection predominantly is caused by <e>Brucella abortus</e>, and is usually detected in pregnant females through abortions. Great Britain (GB) has been declared free from brucellosis (officially brucellosis free (OBF)) since 1993 and as such is required by European Union (EU) regulations to test &gt; or =20% of both beef and dairy cattle &gt;24 months old routinely. Currently, however, GB serologically tests more cattle than required and the issue of reducing the level of testing has come under consideration. We developed a simulation model to determine the rate of spread of brucellosis under a variety of testing regimes. For dairy herds, we found that reducing the level of testing would have a major effect on the rate of spread of infection, should it be imported. For beef herds, reducing the level of testing would have much less effect. We also found that abortion notification is a very-important additional means of surveillance. As a result of our predictions, policy-makers decided not to reduce the level of testing and actively to promote abortion notification.",M1
12853409,"Enzyme-linked immunosorbent assay to differentiate the antibody responses of animals infected with Brucella species from those of animals infected with Yersinia enterocolitica O9.Enzyme-linked immunosorbent assays using antigens extracted from <e>Brucella abortus</e> with n-lauroylsarcosine differentiated natural Brucella-infected animals from Brucella-vaccinated or Yersinia enterocolitica O9-infected animals. A field trial in Mongolia showed cattle, sheep, goat, reindeer, camel, and human sera without infection could be distinguished from Brucella-infected animals by conventional serological tests.",M1
12414165,"How to substantiate eradication of bovine brucellosis when aspecific serological reactions occur in the course of brucellosis testing.Collaborative work was financed by the EU to develop and assess new diagnostic tools that can differentiate between bovine brucellosis and bovine infections due to Yersinia enterocolitica O:9 either in conjunction with, or as an alternative to, the classical serological, bacteriological or allergic skin tests. Sixteen heifers were experimentally infected with <e>Brucella abortus</e> biovar 1 (five heifers), Brucella suis biovar 2 (two heifers), Y. enterocolitica O:9 (six heifers) and Y. enterocolitica O:3 (three heifers). Four heifers, naturally infected with Y. enterocolitica O:9 that presented aspecific brucellosis serological reactions were also included in the experiment. A self-limited infection was induced in cattle by B. suis biovar 2. All the brucellosis serological tests used, i.e. the slow agglutination test (SAW), the Rose Bengal test (RB), the complement fixation test (CFT), indirect and competitive ELISA's, lacked specificity when used to analyze sera from Y. enterocolitica O:9 infected animals. A Yersinia outer membrane proteins (YOPs)-ELISA was also used and although the test is able to detect a Yersinia group infection, it provided no evidence of whether or not there is a possible brucellosis infection when dual infections are present. The brucellergen IFN-gamma test showed a lack of specificity also. The only test that was proven to be specific is the brucellergen skin test. All brucellosis serological tests, except the indirect ELISA, were limited in their ability to detect B. abortus persistently infected animals. Based on these experimental studies, a strategy was implemented as part of the year 2001 Belgian Brucellosis Eradication Program to substantiate the eradication of bovine brucellosis. Epidemiological inquiries have identified risk factors associated with aspecific serological reactions, possible transmission and infection of cattle by B. suis biovar 2 from infected wild boars; and both legal and administrative measures taken by the veterinary services. No cases of bovine brucellosis have been confirmed in Belgium since March 2000.",M1
