@RELATION C0008115_C0039021

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20381125,"Summer fluxes of atmospheric greenhouse gases N2O, CH4 and CO2 from mangrove soil in South China.The atmospheric fluxes of N(2)O, <e>CH</e>(4) and CO(2) from the soil in four mangrove swamps in Shenzhen and Hong Kong, South China were investigated in the summer of 2008. The fluxes ranged from 0.14 to 23.83 micromol m(-2)h(-1), 11.9 to 5168.6 micromol m(-2)h(-1) and 0.69 to 20.56 mmol m(-2)h(-1) for N(2)O, CH(4) and CO(2), respectively. Futian mangrove swamp in Shenzhen had the highest greenhouse gas fluxes, followed by Mai Po mangrove in Hong Kong. Sha Kong Tsuen and Yung Shue O mangroves in Hong Kong had similar, low fluxes. The differences in both N(2)O and CH(4) fluxes among different tidal positions, the landward, seaward and bare mudflat, in each swamp were insignificant. The N(2)O and CO(2) fluxes were positively correlated with the soil organic carbon, total nitrogen, total phosphate, total iron and NH(4)(+)-N contents, as well as the soil porosity. However, only soil NH(4)(+)-N concentration had significant effects on CH(4) fluxes.",M1
20201616,"Analysis of the gene 3 region sequences of Chinese field strains of Transmissible gastroenteritis virus.The genome of Transmissible gastroenteritis virus (TGEV) displays genetic diversity especially in gene 3 region. Sequence and comparative analysis of 3a and 3b genes of eight Chinese field strains with reference TGEV strains indicated that these strains shared 87.0-100% and 51.5%-100% identities at the nucleotide level, respectively, and 86.1%-100% and 66.2%-100% identities at the amino acid level, respectively. Moreover, in one of the strains (<e>CH</e>/SDQ/08), a 51 nt deletion in the gene 3 region was found. Phylogenetic analysis showed that the eight Chinese strains were more closely related to TGEV strains H165, H16, Miller M6, Miller M60, TS, and CHV than to other reference strains. In addition, this study indicated the presence of different TGEV strains within the same pig herds in China.",M1
19955641,"Similar evolution in delta 13CH4 and model-predicted relative rate of aceticlastic methanogenesis during mesophilic methanization of municipal solid wastes.Similar evolution was obtained for the stable carbon isotope signatures delta (13)<e>CH</e>(4) and the model-predicted relative rate of aceticlastic methanogenesis during mesophilic methanization of municipal solid wastes. In batch incubations, the importance of aceticlastic and hydrogenotrophic methanogenesis changes in time. Initially, hydrogenotrophic methanogenesis dominated, but increasing population of Methanosarcina sp. enhances aceticlastic methanogenesis. Later, hydrogenotrophic methanogenesis intensified again. A mathematical model was developed to evaluate the relative contribution of hydrogenotrophic and aceticlastic pathways of methane generation during mesophilic batch anaerobic biodegradation of the French and the Chinese Municipal Solid Wastes (FMSW and CMSW). Taking into account molecular biology analysis reported earlier three groups of methanogens including strictly hydrogenotrophic methanogens, strictly aceticlastic methanogens (Methanosaeta sp.) and Methanosarcina sp., consuming both acetate and H(2)/H(2)CO(3) were considered in the model. The total organic and inorganic carbon concentrations, methane production volume, methane and carbon dioxide partial pressures values were used for the model calibration and validation. Methane isotopic composition (delta (13)CH(4)) evolution during the incubations was used to independently validate the model results. The model demonstrated that only the putrescible solid waste was totally converted to methane.",M1
19930936,"[Textual research on the Chinese names of three medicinal plants from Chaenomeles Lindl]Mugua was commonly used Chinese Materia Medica in past generations, the original plant of that is the same as the Chenomeles speciosa (Sweet) Nakai from the Rosaceae family; Mingzha in ancient times was misunderstood as and mixed with Mugua used as a herb, which comes from <e>Ch</e>. sinensis (Thouin) Kochne; Tiegenghaitang was used, as an ornamental flower before the Qing dynasty, the original plant of that corresponds with Ch. japonica (Thunb.) Lindl. In the attached images of Zhiwumingshitukao of the Qing dynasty, the name of Mugua was transposed. It has affected Japanese and some Chinese scholars in succession, which lead to the confused situation that mistook Mugua as the Chinese name of Ch. sinensis (Thouin) Kochne as well as Tiegenghaitang as the Chinese name of Ch. speciosa (Sweet) Nakai in current literature. It is proposed that it be decided to change the Chinese name of Ch. sinensis (Thouin)Koehne to Mugua, Ch. sinensis (Thouin) Koehne to Mingzha as well as Ch. japonica (Thunb.) Lindl. to Tiegenghaitang.",M1
19760096,"Two novel SNPs in the coding region of the bovine PRDM16 gene and its associations with growth traits.As a zinc-finger protein, PR domain containing 16 (PRDM16) controls brown fat determination by stimulating brown fat-selective genes expression while suppressing the expression of genes selective for white fat cells, whose mutations were associated with myelodysplastic syndrome (MDS) and leukemogenesis in human and murine model of leukemia. To date, no polymorphisms of PRDM16 gene in bovine had been reported. Herein, PCR-SSCP and DNA sequencing methods were employed to screen the genetic variation within PRDM16 gene in 1031 Chinese indigenous bovine. The results revealed two novel silent mutations: XM_001788152: m.1641T&gt;C (547aa), 1881G&gt;A (627aa). Hence, we described the PvuII and HaeIII forced PCR-RFLP methods for detecting these mutations, respectively. In the forced PCR-RFLP analysis with PvuII, the frequencies of bovine PRDM16-C allele varied from 0.044 to 0.506 in four Chinese native breeds. In the forced PCR-RFLP analysis with HaeIII, the frequencies of bovine PRDM16-G allele were 0.474, 0.494, 0.576 and 0.906 for Jiaxian (JX), Nanyang (NY), Qinchuan (QC) and Chinese Holstein (<e>CH</e>) population. Significant statistical differences between genotypic frequencies implied that both of the polymorphic loci were significantly associated with cattle breeds by the chi square test (chi2 = 190.058, P &lt; 0.001 and chi2 = 118.239, P &lt; 0.001 for PvuII; chi2 = 209.842, P &lt; 0.001 and chi2 = 108.711, P &lt; 0.001 for HaeIII). The associations of the PvuII and HaeIII forced PCR-RFLPs of bovine PRDM16 loci with growth traits were analyzed in Nanyang breed. The two SNPs were associated with body weight and average daily gain in Nanyang aged 12 months, individuals with genotype TT and AA showed significantly better body weight (P &lt; 0.05) and average daily gain (P &lt; 0.01) at 12 months, respectively.",M1
19718537,"Neonatal screening for congenital hypothyroidism and phenylketonuria in China.BACKGROUND: Neonatal screening is helpful to prevent serious disability and sufferings caused by congenital or inherited disease. This study was to review the status of neonatal screening for congenital hypothyroidism (<e>CH</e>) and phenylketonuria (PKU) in China. METHODS: We analyzed data of neonatal screening for CH and PKU in the past two decades which were obtained from the national network of neonatal screening centers collected by the National Center for Clinical Laboratory. RESULTS: Of 18.8 million newborns screened from 1985 to 2007, 9198 were identified with CH, giving a prevalence of 1/2047. In 19.0 million newborns screened in the same period, 1638 had PKU, with a prevalence of 1/11 572. An increasing number of neonates have been subjected to neonatal screening in China annually during this period. Data from Zhejiang Neonatal Screening Center showed that the recall rate of neonates suspected with CH and PKU was 95.52% in 2007. Confirmatory tests were performed and treatments were initiated in most of the neonates with CH and PKU within a month after birth. CONCLUSIONS: More governmental support at different levels is needed to make neonatal screening more efficient. The screening should be improved with a satisfactory control system including shorter time of report and a higher recall rate.",M1
19544648,"[Antibody detection and sequencing analysis of hepatitis E virus in human population, swine and chicken in Sichuan region in China]OBJECTIVE: To investigate the seroprevalence of HEV infection and genotype. METHODS: ELISA were used for detecting anti-HEV IgG of the serum samples, the nested reverse transcriptase PCR (RT-nPCR) was used for detecting HEV RNA in patient serum and swine bile samples. All samples were collected in 2005-2007 in some districts in Sichuan province. The primers used for genotyping were the ORF2 region of HEV genome. RESULTS: The anti-HEV IgG was detected positive in childrens 6.10% (41/672), adults 42.26% (280/ 661), swines 88.89% (32/36), chickens negative (0/59). 1 case of 15 serum samples of anti-HEV IgM positive and 3 of 54 swine bile samples were positive for HEV RNA by RT-PCR.Sequence analysis of 4 isolates has 92.1% to 98.6% nucleotide sequence homology. These isolates from human and swine were identified closely related to <e>Ch</e>-T21 strain 90.1%-96.9% sequence homology, which belonged to HEV genotype 4B. CONCLUSIONS: The swine were the risk factors in the spread of hepatitis E virus.",M1
19515201,"Diversity and activity of methanotrophs in alkaline soil from a Chinese coal mine.Culture-independent molecular biological techniques, including 16S rRNA gene and functional gene clone libraries and microarray analyses using pmoA (encoding a key subunit of particulate methane monooxygenase), were applied to investigate the methanotroph community structure in alkaline soil from a Chinese coal mine. This environment contained a high diversity of methanotrophs, including the type II methanotrophs Methylosinus/Methylocystis, type I methanotrophs related to Methylobacter/Methylosoma and Methylococcus, and a number of as yet uncultivated methanotrophs. In order to identify the metabolically active methane-oxidizing bacteria from this alkaline environment, DNA stable isotope probing (DNA-SIP) experiments using (13)<e>CH</e>(4) were carried out. This showed that both type I and type II methanotrophs were active, together with methanotrophs related to Methylocella, which had previously been found only in acidic environments. Methylotrophs, including Methylopila and Hyphomicrobium, were also detected in soil DNA and after DNA-SIP experiments. DNA sequence information on the most abundant, active methanotrophs in this alkaline soil will facilitate the design of oligonucleotide probes to monitor enrichment cultures when isolating key alkaliphilic methanotrophs from such environments.",M1
19470539,"Life-cycle assessment of the municipal solid waste management system in Hangzhou, China (EASEWASTE).With the purpose of assessing the environmental impacts and benefits of the current municipal solid waste management system and two modified systems, EASEWASTE, a life-cycle-based model, was used to evaluate the waste system of Hangzhou city in China. An integrated model was established, including waste generation, collection, transportation, treatment, disposal and accompanying external processes. The results showed that <e>CH</e>(4) released from landfilling was the primary pollutant contributing to global warming, and HCl and NH(3) from incineration contributed most to acidification. Material recycling and incineration with energy recovery were important because of the induced savings in material production based on virgin materials and in energy production based on coal combustion. A modified system in which waste is transported to the nearest incinerators would be relatively better than the current system, mainly due to the decrease of pollution from landfilled waste and the increase in energy production from waste avoiding energy production by traditional power plants. A ban on free plastic bags for shopping was shown to reduce most environmental impacts due to saved oil resources and other materials used in producing the plastic bags. Sensitivity analysis confirmed the robustness of the results. LCA methodology and a model like EASEWASTE are very suitable for evaluating the overall environmental consequences, and can be used for decision support and strategic planning in developing countries such as China where pollution control has become increasingly important with the rapid increase of waste generation as well as the increasing public awareness of environmental protection.",M1
19457167,"Comparison of the distribution patterns of BK polyomavirus lineages among China, Korea and Japan: implications for human migrations in northeast Asia.BKV is widespread among humans, infecting children asymptomatically and then persisting in renal tissue. Based on the serological or phylogenetic method, BKV isolates worldwide are classified into four subtypes (I-IV), with subtypes I and IV further divided into several genetically-distinct subgroups. Since, similarly to JCV, a close relationship exists between BKV lineages and human populations, BKV should be useful as a marker to trace human migrations. To elucidate ancient human migrations in northeast Asia, urine samples were collected from immunocompetent elderly patients in Shanghai, China; Anyang, South Korea; and various locations in Japan. Partial and complete BKV genomes from these samples were amplified and sequenced using PCR, and the determined sequences were classified into subtypes and subgroups by phylogenetic and SNP analyses. In addition, based on an SNP analysis, the major subtype I subgroup (I/c) was classified into two subdivisions, I/c/<e>Ch</e> and I/c/KJ. The distribution patterns of BKV subgroups and subdivisions among the three regions were compared. Some aspects of the subgroup and subdivision distribution were more similar between Korea and Japan, but others were more similar between China and Korea or between China and Japan. Based on these findings, we inferred various northeast Asian migrations. Most of the JCV-based inferences of northeastern Asian migrations were consistent with those based on BKV, but the previously suggested migration route from the Asian continent to the Japanese archipelago seemed to need revision.",M1
