@RELATION C0007099_C0162854

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20217874,"Genomic profiling of gastric carcinoma in situ and adenomas by array-based comparative genomic hybridization.Although genomic copy number aberrations (CNAs) of gastric carcinoma at the advanced stage have already been extensively characterized by array comparative genomic hybridization (array CGH) analysis, those of gastric carcinoma in situ (<e>CIS</e>) are still poorly understood. Furthermore, no reports have demonstrated correlations between CNAs and histopathological features of gastric adenoma. In this study, we investigated CNAs of 20 gastric CISs (Vienna category 4.2) and 20 adenomas including seven low-grade adenomas (LGA; Vienna category 3) and 13 high-grade adenomas (HGA; Vienna category 4.1), using oligonucleotide-based array CGH. The most frequent aberrations in CIS were gains at 8q (85%) and 20q (50%), and losses at 5q (50%) and 17p (50%), suggesting that these CNAs are involved in the development of CIS. We found that the pattern of CNAs in HGA was quite different from that in LGA. The most frequent CNAs in HGA were gains at 8q (62%) and 7pq (54%), whereas those in LGA were gain at 7q21.3-q22.1 (57%) and loss at 5q (43%). Interestingly, gains at 8q and 7pq, both of which occurred most frequently in HGA, were not detected in any cases of LGA. Of note, 8q gain was detected most frequently in both HGA and CIS but was undetected in LGA. Since HGA is believed to have a higher risk of progression to invasive carcinoma than LGA, these data suggest that 8q gain is important for the malignant transformation of gastric adenoma. Copyright (c) 2010 Pathological Society of Great Britain and Ireland. Published by John Wiley &amp; Sons, Ltd.",M1
20172431,"Early diagnosis of lung cancer.Early detection and surgical resection is essential for the treatment of lung cancer. Although the introduction of low-dose spiral computed tomography (CT) is considered to be one of the most promising clinical research developments, CT screening is used for detecting small peripheral lesions. Tumors arising in the central airways require other techniques for early detection. Centrally arising squamous cell carcinoma of the airway, especially in heavy smokers, is thought to develop through multiple stages from squamous metaplasia to dysplasia, followed by carcinoma in situ (<e>CIS</e>), progressing to invasive cancer. It would be ideal to be able to detect and treat preinvasive bronchial lesions defined as dysplasia and CIS before progressing to invasive cancer. Great efforts have been made to develop new mucosal imaging techniques. Bronchoscopic imaging techniques capable of detecting preinvasive lesions and currently available in clinical practice include autofluorescence bronchoscopy (AFB), high magnification ronchovideoscope, and narrow band imaging (NBI). For a more precise evaluation of newly detected preinvasive lesions, endobronchial ultrasound (EBUS) and optical coherence tomography (OCT) can be used.",M1
20164538,"Taurine - a possible fingerprint biomarker in non-muscle invasive bladder cancer: A pilot study by 1H NMR spectroscopy.Urinary bladder cancer is a major epidemiological problem that continues to grow each year. It opens avenues for investigative research for the identification of new disease markers and diagnostic techniques. In this pilot study, utility of non-invasive (1)H NMR spectroscopy has been evaluated for probing the metabolic perturbations occurring in non-muscle invasive urinary bladder cancer. (1)H NMR spectra of urine of bladder cancer patients and controls (healthy and urinary tract infection/bladder stone) (n = 103) were acquired at 400MHz. The non-overlapping resonances of citrate, dimethylamine, phenylalanine, taurine and hippurate were first identified and then quantitated by (1)H NMR spectra, with respect to an external reference sodium-3-trimethylsilylpropionate (TSP). The concentrations of these metabolites were then statistically analyzed. The cancer patients showed significant (p &lt; 0.05) variations in concentration of hippurate and citrate as compared with healthy controls and benign controls. The significant elevation in concentration of taurine was observed in urine of bladder cancer patients, which was below the sensitivity limit of 400MHz in control cases. However, stages Ta, T1 and carcinoma in situ (<e>CIS</e>) cannot be differentiated on the basis of altered metabolite indices but their composition may reflect the biochemical alterations in metabolism of cancer cells.",M1
20120722,"[EORTC risk tables--a new diagnostic tool in urology]75-85% newly diagnosed bladder cancers are lesions that are not invading the muscle layer of bladder. Patients treated for bladder cancer in this stage are characterized that part of them will develop recurrent bladder cancer and it may progress. Depending on a patient's characteristics, after transurethral resection (TUR), the probability of recurrence at one year ranges from about 15% to 70% and the probability of progression at five years ranges from about 7% to 40%. Non-muscle invasive bladder cancer is a heterogeneous group of tumors with completely different oncological outcome. Taking into consideration the risk of recurrence and progression, many researchers attempted to define risk factors for bladder cancer. After many test and researches had been conducted in different research and development centres a few risk factors were detected such as: number of tumors, tumor size, recurrence rate, staging (7T), grading (G), presence of carcinoma in situ (<e>CIS</e>). Basing on those factors patients with non-muscle invasive bladder cancer were divided into three risk groups. Low risk group - single, diameter &lt; 3 cm, TaG1 tumors, high risk group - multiple, diameter &gt; 3 cm, frequently recurrent, T1G3 tumors with concomitant CIS, intermediate risk group - the rest of tumors not mentioned in prior two groups. When using this division into three risk groups there is no possible to predict the probability of bladder cancer recurrence and progression separately Although prognostic factors may indicate a high risk for recurrence, the risk for progression may still be low and other tumors may have a high risk of both recurrence and progression. In order to separately predict the short-term and long-term risks of both recurrence and progression in individual patients, the EORTC developed a scoring system and risk tables (EORTC nomograms).",M1
20116818,"Prognostic relevance of ductal margins in operative resection of bile duct cancer.BACKGROUND: The clinical relevance of the ductal margins in operative resection of bile duct carcinoma has not been well established. The purpose of this study was to assess the prognostic significance of ductal margins in patients with bile duct carcinoma. METHOD: A total of 256 patients with bile duct carcinoma were analyzed retrospectively. We compared clinicopathologic features, outcomes, and recurrences among patients who underwent curative resections with free margins (D-FRE: n = 185), noncurative resections only resulting from the involvement of ductal margins with carcinoma in situ (D-<e>CIS</e>: n = 13), noncurative resections only caused by the involvement of ductal margins with invasive foci of carcinoma (D-INV: n = 17), and noncurative resections resulting from any other margin state and/or distant metastases (OTH: n = 41). RESULTS: Histologic grades, node involvements, T classifications, and JSBS staging were significantly associated with the ductal margin state. The 5-year survival rate by Kaplan-Meier analysis was 54.7%, 52.4%, 17.6%, and 16.7% for patients with D-FRE, D-CIS, D-INV, and OTH, respectively. A multivariate analysis by the Cox proportional hazards model has shown that, in addition to lymph node involvement (P = 6.6 x 10(-4)) and venous invasion (P = 2 x 10(-5)), D-FRE versus D-INV and D-FRE versus OTH, but not D-FRE versus D-CIS, were independently associated with survival with P values of 8 x 10(-4) and 1.4 x 10(-5), respectively. Taken together along with the difference in the recurrence rates, patients with D-CIS seem to have outcomes similar to D-FRE but different from D-INV or OTH. CONCLUSION: Compared with free ductal margins, the ductal margins with invasive foci of carcinoma may involve a significant disadvantage in terms of patients' outcomes in surgical resection for bile duct carcinoma, unlike those with carcinoma in situ.",M1
20051162,"[Guideline on urothelial carcinoma of the bladder]Urothelial carcinoma of the bladder is diagnosed predominantly in people over 60 years of age. The most common symptom is haematuria. Smoking is an important risk factor (relative risk 2.5 to 3). Cystoscopy is performed whenever bladder carcinoma is suspected. The recurrence rate of a non-muscle invasive urothelial carcinoma is high (31-78% within 5 years). A single intravesical instillation with a chemotherapeutic agent within 24 hours of transurethral resection (TUR) reduces the risk of recurrence. Carcinoma in situ (<e>CIS</e>) should be treated as high-grade urothelial carcinoma. Standard treatment for patients with non-metastasized muscle-invasive urothelial carcinoma is cystectomy in combination with extensive lymph node dissection. There are several possibilities for urinary diversion following cystectomy, none of which are any better than the others. Bladder-sparing brachytherapy may be used in patients with solitary T1 - T2 urothelial carcinoma &lt; 5 cm. Neoadjuvant cisplatin-containing chemotherapy prior to cystectomy in muscle-invasive carcinoma only slightly improves survival. Cisplatin-containing combination chemotherapy is the standard treatment for metastasized urothelial carcinoma.",M1
19969558,"Differential developmental expression of transcription factors GATA-4 and GATA-6, their cofactor FOG-2 and downstream target genes in testicular carcinoma in situ and germ cell tumors.OBJECTIVE: Testicular germ cell cancer is the most common malignancy among young males. The pre-invasive precursor, carcinoma in situ testis (<e>CIS</e>), presumably originates from arrested and transformed fetal gonocytes. Given that GATA transcription factors have essential roles in embryonic and testicular development, we explored the expression of GATA-4, GATA-6, cofactor friend of GATA (FOG)-2, and downstream target genes during human testis development and addressed the question whether changes in this pathway may contribute to germ cell neoplasms. METHODS: Fetal testis, testicular CIS, and overt tumor samples were analyzed by immunohistochemistry for GATA-4, GATA-6, FOG-2, steroidogenic factor 1 (NR5A1/SF1), anti-Müllerian hormone/Müllerian-inhibiting substance (AMH), and inhibin-alpha (INHalpha). RESULTS: GATA-4 was not expressed in normal germ cells, except for a subset of gonocytes at the 15th gestational week. The CIS cells expressed GATA-4 and GATA-6 heterogeneously, whereas most of the CIS cells expressed GATA-4 cofactor FOG-2. GATA target gene SF-1 was expressed heterogeneously in CIS cells, whereas INHalpha and AMH were mostly negative. Seminomas and yolk sac tumors were positive for GATA-4 and GATA-6, but mostly negative for FOG-2 and the GATA target genes. In contrast, pluripotent embryonal carcinomas and choriocarcinomas were GATA-4 and GATA-6 negative. CONCLUSIONS: Differential expression of the GATA-4 target genes suggested cell-specific functions of GATA-4 in the germ and somatic cells. The GATA-4 expression in early fetal gonocytes, CIS, and seminoma cells but the absence in more mature germ cells is consistent with the early fetal origin of CIS cells and suggests that GATA-4 is involved in early germ cell differentiation.",M1
19958071,"Diagnostic random bladder biopsies: reflections from a population-based cohort of 538 patients.OBJECTIVE: To assess whether diagnostic random bladder biopsies and the detection of concomitant carcinoma in situ (<e>CIS</e>) have an impact on the frequency of intravesical bacille Calmette-Guérin (BCG) instillations or radical cystectomy; and whether this affects the cancer-specific survival in patients with pTaG3 or pT1G1-G3 transitional cell carcinoma of the urinary bladder. MATERIAL AND METHODS: A population-based cohort of 538 patients with newly diagnosed bladder cancer was prospectively registered in the Stockholm County during 1995 and 1996 and followed for more than 5 years. RESULTS: Random biopsies were recommended in all patients but the decision to take biopsies was made by the treating urologist and hence performed in 326 out of 538 patients (61%), which revealed concomitant CIS in 47 patients(14%). Sixty out of 103 (58%) patients with pTaG3 or pT1G1-G3 tumours, in whom random biopsies were performed, received intravesical BCG compared with five out of 22 patients (23%) where random biopsies were not taken (p = 0.004). Moreover, 23 out of 103 patients (22%) with pTaG3 or pT1G1-G3 tumours in whom random biopsies were performed underwent radical cystectomy compared with none out of 22 patients (0%) without random biopsies (p = 0.013). The Cox proportional hazard ratio for death due to bladder cancer in patients with pTaG3 or pT1G1-G3 tumours among patients not having versus having undergone random biopsies was 2.5 (95% confidence interval 1.1-5.6). CONCLUSION: Patients diagnosed in Stockholm in 1995 or 1996 with pTaG3 or pT1G1-G3 bladder tumours having undergone random bladder biopsies more frequently underwent BCG treatment and radical cystectomy and had higher cancer-specific survival than patients who did not undergo random biopsies.",M1
19910186,"Telomere lengths in the oral epithelia with and without carcinoma.Aging appears to be intrinsically related to carcinogenesis. Genomic instability due to telomere shortening plays an important role in carcinoma development. In order to clarify telomere dysfunction in carcinoma development, we examined the uninvolved epithelium adjacent to carcinoma in situ (<e>CIS</e>), i.e. background of CIS, and CIS itself, compared to control without carcinoma, using an improved quantitative fluorescence in situ hybridization (Q-FISH) method. We also estimated anaphase bridge (AB), which is inferred to be related to chromosomal instability. In all cell types (basal, parabasal, and suprabasal), mean telomere lengths were significantly shorter in the background than in the control. We also demonstrated increased incidences of AB, not only in CIS, but also in the background and control epithelia with excessively shortened telomeres. Thus we have conclusively demonstrated that CIS arises from epithelium with short telomeres.",M1
19818448,"A review of bovine urothelial tumours and tumour-like lesions of the urinary bladder.Four hundred bovine urothelial tumours and tumour-like lesions were classified in accordance with the 2004 World Health Organization (WHO) morphological classification for human urothelial tumours. The spectrum of neoplastic lesions of the urinary bladder of cattle is becoming wider and bovine urothelial tumours share striking morphological features with their human counterparts. A classification system based on the WHO scheme would also be appropriate for the classification of bovine bladder tumours. Bovine urothelial tumours are most often multiple. Four distinct growth patterns of bovine urothelial tumours and tumour-like lesions are recognized: flat, exophytic or papillary, endophytic and invasive. Carcinoma in situ (<e>CIS</e>) is the most common flat urothelial lesion, accounting for approximately 4% of urothelial tumours. CIS is detected adjacent to papillary and invasive tumours in 80-90% of cases. Approximately 3% of papillary lesions are papillomas and approximately 5% are 'papillary urothelial neoplasms of low malignant potential' (PUNLMP). Low-grade carcinoma is the most common urothelial tumour of cattle. High-grade carcinomas, and low and high-grade invasive tumours, are less commonly seen. Bovine papillomavirus (BPV) infection and ingestion of bracken fern both play a central role in carcinogenesis of these lesions.",M1
