@RELATION C0006675_C0006754_C0019564_C0006823

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2, M3, M4}

@DATA
20592201,"A novel postsynaptic mechanism for heterosynaptic sharing of short-term plasticity.Postsynaptic release of <e>Ca</e>(2+) from intracellular stores is an important means of cellular signaling that mediates numerous forms of synaptic plasticity. Previous studies have identified a postsynaptic intracellular Ca(2+) requirement for a form of short-term plasticity, post-tetanic potentiation (PTP) at sensory neuron (SN)-motor neuron synapses in Aplysia. Here, we show that postsynaptic IP(3)-mediated Ca(2+) release in response to a presynaptic tetanus in an SN that induces PTP can confer transient plasticity onto a neighboring SN synapse receiving subthreshold activation. This heterosynaptic sharing of plasticity represents a dynamic, short-term synaptic enhancement of synaptic inputs onto a common postsynaptic target. Heterosynaptic sharing is blocked by postsynaptic disruption of Ca(2+)- and IP(3)-mediated signaling, and, conversely, it is mimicked by postsynaptic injection of nonhydrolyzable IP(3), and by photolysis of caged IP(3) in the MN. The molecular mechanism for heterosynaptic sharing involves metabotropic glutamate receptors and Homer-dependent interactions, indicating that Homer can facilitate the integration of Ca(2+)-dependent plasticity at neighboring postsynaptic sites and provides a postsynaptic mechanism for the spread of plasticity induced by presynaptic activation. Our results support a model in which postsynaptic summation of IP(3) signals from suprathreshold and subthreshold inputs results in molecular coincidence detection that gives rise to a novel form of heterosynaptic plasticity.",M1
20578150,"Bid agonist regulates murine hepatocyte proliferation by controlling endoplasmic reticulum calcium homeostasis.BH3-interacting domain death agonist (Bid), a BH3-only B cell lymphoma 2 family molecule, is generally known for its importance in activating the mitochondrial apoptosis pathway after death receptor engagement, particularly in hepatocytes. However, Bid also promotes hepatocyte proliferation during liver regeneration and carcinogenesis. This study was designed to examine the hypothesis that Bid regulates endoplasmic reticulum calcium concentration ([<e>Ca</e>(2+)](ER)) homeostasis to affect hepatocyte proliferation. We found that serum-stimulated hepatocyte proliferation was dependent on calcium, and the depletion of calcium with thapsigargin or ethylene glycol tetraacetic acid (EGTA) inhibited the proliferation. Subcellular fractionation showed that a portion of Bid was inserted into the endoplasmic reticulum (ER)-enriched membranes, and single-cell calcium imaging indicated that Bid was important for maintaining the [Ca(2+)](ER) level. Bid-deficient hepatocytes manifested delayed and reduced serum-stimulated proliferation, which was corrected by ionomycin or reconstitution of Bid, particularly an ER-targeted Bid. Finally, B cell lymphoma 2-associated X protein (Bax) could also be found in the ER-enriched membranes, and Bax deficiency caused the same proliferation defect. However, Bid/Bax double deletion in hepatocytes did not further augment the defect, which suggested that Bid and Bax worked by the same regulatory mechanism in [Ca(2+)](ER) control. CONCLUSION: Bid regulates hepatocyte proliferation by positively affecting [Ca(2+)](ER) homeostasis, and this could be important for liver regeneration and carcinogenesis.",M1
20578149,"Regulation of multidrug resistance-associated protein 2 by calcium signaling in mouse liver.Multidrug resistance associated protein 2 (Mrp2) is a canalicular transporter responsible for organic anion secretion into bile. Mrp2 activity is regulated by insertion into the plasma membrane; however, the factors that control this are not understood. Calcium (<e>Ca</e>(2+)) signaling regulates exocytosis of vesicles in most cell types, and the type II inositol 1,4,5-triphosphate receptor (InsP(3)R2) regulates Ca(2+) release in the canalicular region of hepatocytes. However, the role of InsP(3)R2 and of Ca(2+) signals in canalicular insertion and function of Mrp2 is not known. The aim of this study was to determine the role of InsP(3)R2-mediated Ca(2+) signals in targeting Mrp2 to the canalicular membrane. Livers, isolated hepatocytes, and hepatocytes in collagen sandwich culture from wild-type (WT) and InsP(3)R2 knockout (KO) mice were used for western blots, confocal immunofluorescence, and time-lapse imaging of Ca(2+) signals and of secretion of a fluorescent organic anion. Plasma membrane insertion of green fluorescent protein (GFP)-Mrp2 expressed in HepG2 cells was monitored by total internal reflection microscopy. InsP(3)R2 was concentrated in the canalicular region of WT mice but absent in InsP(3)R2 KO livers, whereas expression and localization of InsP(3)R1 was preserved, and InsP(3)R3 was absent from both WT and KO livers. Ca(2+) signals induced by either adenosine triphosphate (ATP) or vasopressin were impaired in hepatocytes lacking InsP(3)R2. Canalicular secretion of the organic anion 5-chloromethylfluorescein diacetate (CMFDA) was reduced in KO hepatocytes, as well as in WT hepatocytes treated with 1,2-bis(o-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid (BAPTA). Moreover, the choleretic effect of tauroursodeoxycholic acid (TUDCA) was impaired in InsP(3)R2 KO mice. Finally, ATP increased GFP-Mrp2 fluorescence in the plasma membrane of HepG2 cells, and this also was reduced by BAPTA. CONCLUSION: InsP(3)R2-mediated Ca(2+) signals enhance organic anion secretion into bile by targeting Mrp2 to the canalicular membrane.",M1
20574912,"Interactions between pH, potassium, calcium, bromide, and phenol and their effects on the bioluminescence of Vibrio fischeri.Little attention has been paid to how the light produced by the bacterium Vibrio fischeri in the Microtox assay is dependent on the concentration of essential ions such as sodium and potassium, and whether the concentrations of these ions affect the sensitivity of the test system to toxic chemicals. Five selected factors, pH, potassium (K(+)), calcium (<e>Ca</e>(2+)), bromide (Br(-)), and phenol (Phe), were simultaneously varied over a set of systematically planned experiments according to a D-optimal design that supported the estimation of a model with linear, quadratic, and two-factor interatcions of the studied factors. The bacterial light production represented by the gamma values in the Microtox assay for the 24 selected combinations of factors was measured at 5 and 15 min. The gamma values varied from negative to positive values greater than 1, indicating stimulation and inhibition of bacterial light production, respectively. The relationship between the gamma values and the factor settings was investigated with multiple linear regression. After 5 min of exposure, the light production was significantly affected by linear and quadratic terms for K(+), pH, and Phe and an interaction between pH and Phe. The situation was more complex after 15 min of exposure, since in addition significant interactions were found for K x Phe and Ca x pH. The tolerance of V. fischeri to Phe was enhanced by increasing the K and Ca concentrations. Data indicate that the ion composition and pH of the sample, as well as the diluents, need to be considered when the toxicity of salts, water samples, and extracts of sediments and soils are tested using commercially certified toxicity test kits.",M1
20573885,"Functional anatomical evidence for respiratory rhythmogenic function of endogenous bursters in rat medulla.Endogenous burster neurons (EBs) have been found at the level of the facial nucleus (VIIn), and 500 mum caudally, within the pre-Bötzinger complex (preBötC). They have been proposed as either causal to or playing no role in respiratory rhythmogenesis. Little is known about their broader distribution in ventrolateral medulla. Here, a <e>Ca</e>(2+) indicator was used to record respiratory network activity in ventrolateral medulla, and, following synaptic blockade, to identify EBs active at perfusate K(+) concentrations ([K(+)](o)) of 3, 6, and 9 mm. Recordings were made along the respiratory column, extending 300 mum rostrally, and 1100 mum caudally from the caudal pole of VIIn (VIIc), in the in vitro tilted sagittal slab preparation, isolated from neonate male and female Sprague Dawley rats. Activity under matching [K(+)](o) in the intact respiratory network was subsequently investigated. Respiratory neurons (n = 401) formed statistically significant clusters at the VIIc, within the preBötC, and 100 mum caudal to the preBötC. EBs (n = 693) formed statistically significant clusters that overlapped with respiratory clusters at the VIIc and preBötC. EB activity increased significantly as [K(+)](o) was increased, as did neurons that remained coupled following synaptic blockade. The overlap between respiratory and EB clusters in regions of ventrolateral medulla identified as rhythmogenic supports the hypothesis that EBs are constituents of rhythmogenic networks. In addition, the observation of truncated inspiratory bursts and ectopic bursting in respiratory neurons when [K(+)](o) was elevated in the intact network is consistent with a causal role for EBs in respiratory rhythmogenesis.",M1
20567212,"Techniques for imaging Ca2+ signaling in human sperm.Fluorescence microscopy of cells loaded with fluorescent, <e>Ca</e>(2+)-sensitive dyes is used for measurement of spatial and temporal aspects of Ca(2+) signaling in live cells. Here we describe the method used in our laboratories for loading suspensions of human sperm with Ca(2+)-reporting dyes and measuring the fluorescence signal during physiological stimulation. Motile cells are isolated by direct swim-up and incubated under capacitating conditions for 0-24 h, depending upon the experiment. The cell-permeant AM (acetoxy methyl ester) ester form of the Ca(2+)-reporting dye is then added to a cell aliquot and a period of 1 h is allowed for loading of the dye into the cytoplasm. We use visible wavelength dyes to minimize photo-damage to the cells, but this means that ratiometric recording is not possible. Advantages and disadvantages of this approach are discussed. During the loading period cells are introduced into an imaging chamber and allowed to adhere to a poly-D-lysine coated coverslip. At the end of the loading period excess dye and loose cells are removed by connection of the chamber to the perfusion apparatus. The chamber is perfused continuously, stimuli and modified salines are then added to the perfusion header. Experiments are recorded by time-lapse acquisition of fluorescence images and analyzed in detail offline, by manually drawing regions of interest. Data are normalized to pre-stimulus levels such that, for each cell (or part of a cell), a graph showing the Ca(2+) response as % change in fluorescence is obtained.",M1
20558836,"Soluble uric acid increases intracellular calcium through an angiotensin II-dependent mechanism in immortalized human mesangial cells.Hyperuricemia is associated with increases in cardiovascular risk and renal disease. Mesangial cells regulate glomerular filtration rates through the release of hormones and vasoactive substances. This study evaluates the signaling pathway of uric acid (UA) in immortalized human mesangial cells (ihMCs). To evaluate cell proliferation, ihMCs were exposed to UA (6-10 mg/dL) for 24-144 h. In further experiments, ihMCs were treated with UA (6-10 mg/dL) for 12 and 24 h simultaneously with losartan (10(-7) mmol/L). Angiotensin II (AII) and endothelin-1 (ET-1) were assessed using the enzyme-linked immunosorbent assay (ELISA) technique. Pre-pro-ET mRNA was evaluated by the real-time PCR technique. It was observed that soluble UA (8 and 10 mg/dL) stimulated cellular proliferation. UA (10 mg/dL) for 12 h significantly increased AII protein synthesis and ET-1 expression and protein production was increased after 24 h. Furthermore, UA increased [<e>Ca</e>(2+)](i), and this effect was significantly blocked when ihMCs were preincubated with losartan. Our results suggested that UA triggers reactions including AII and ET-1 production in mesangial cells. In addition, UA can potentially affect glomerular function due to UA-induced proliferation and contraction of mesangial cells. The latter mechanism could be related to the long-term effects of UA on renal function and chronic kidney disease.",M1
20539176,"Mitochondrial peptides are potent immune activators that activate human neutrophils via FPR-1.BACKGROUND: Tissue injury from mechanical trauma modulates innate immunity. The resultant systemic inflammatory response syndrome (SIRS) closely mimics clinical sepsis, and bacterial n-formyl peptides are septic mediators. Similar formyl peptides exist in mitochondria but little is known about their actions on human neutrophils (PMN). METHODS: Mitochondria were isolated from rat heptocytes and disrupted. Soluble mitochondrial degradation products (MDP) were used to stimulate human PMN. Cytosolic calcium ([<e>Ca</e>]i) responses to MDP were assayed with and without antibody blockade of formyl peptide receptor 1 (FPR-1) or formyl peptide receptor like-1 (FPRL-1). Chemotaxis toward MDP was assessed in trans-wells. Oxidative burst to MDP was assessed using carboxycarboxy-2', 7'-dichlorodihydrofluorescein diacetate. RESULTS: MDP caused [Ca]i responses similar to those caused by formyl-Met-Leu-Phe. [Ca]i responses were completely blocked by anti-FPR-1 antibodies, showing activation occurred via the high-affinity, G-protein-coupled FPR-1 receptor. MDP acted on FPR-1 to give chemotactic responses similar to 10 nM formyl-Met-Leu-Phe. MDP also caused dose-dependent oxidative burst. CONCLUSION: Formylated mitochondrial proteins are potent immune activators. Acting through the FPR-1 receptor on professional phagocytes, MDP elicits [Ca]i release responses and Ca entry via G-protein-coupled pathways. MDP activates chemotaxis and respiratory burst. Our findings suggest a novel paradigm wherein one root cause of SIRS after trauma may be the release of mitochondrial fragments from mechanically damaged tissues. In this paradigm, mitochondrial debris  alarmins  alter host PMN phenotype, activating or suppressing immunity, predisposing to SIRS, sepsis or organ failure.",M1
20530430,"Inhibition of MAPK/ERK, PKC and CaMKII signaling blocks cytolysin-induced human glioma cell death.BACKGROUND: Cytolysins are pore-forming toxins that show anticancer activity by a mechanism hitherto poorly investigated. MATERIALS AND METHODS: To investigate how cytolysins are cytotoxic to resistant cancer cells, proliferation and cell death were evaluated on U87 glioblastoma cells treated with toxin Bc2 or equinatoxin-II (EqTx-II). RESULTS: Toxins Bc2 and EqTx-II decreased cell viability and increased lactate dehydrogenase (LDH) release in a concentration-dependent manner. Swollen, dead or dying cells were negative for TUNEL staining. The pre-treatment with inhibitors of mitogen-activated/extracellular regulated kinase (MEK1), protein kinase C (PKC) or <e>Ca</e>(2+)/calmodulin-dependent kinase II (CaMKII) blocked the toxic effects of toxin Bc2 and EqTx-II, suggesting that calcium entry, activation of MEK1, PKC and CaMKII pathways are involved in the cytotoxicity induced by these cytolysins. CONCLUSION: Cytolysins were shown to be toxic to glioblastoma cells by activating several intracellular signaling pathways and resulting in necrosis-like cell death.",M1
20529602,"[CIP and CAP fragments of parathormone and selected parameters of calcium-phosphate balance in patients with chronic kidney disease treated with repeated haemodialysis]INTRODUCTION: Chronic kidney disease (CKD) leads to bone and mineral complications, which are manifested, among others, by hyperparathyroidism, calcium-phosphate and vitamin D balance disturbances. The results of investigation assessing the usefulness of CAP/CIP ratio, (cyclase activating PTH/cyclase inactive PTH) as a marker of bone turnover and bone disturbances in this group of patients are contradictory. AIM OF THE STUDY: was to estimate the concentration of CAP and CIP of parathormone, connection with selected calcium-phosphate balance parameters and usefulness of CAP/CIP ratio to differentiate bone mineral density in patients with CKD treated with repeated haemodialysis. MATERIAL AND METHODS: The study included 31 children aged 5 to 18 years. Group I - 15 haemodialysed children. Group II - 16 healthy children. The patients underwent the following serum measurements: calcium concentration (<e>Ca</e>), inorganic phosphate (P), 1.25-dihydroxyvitamin D, parathormone (intact PTH), and CAP, CIP were evaluated with Scantibodies Laboratory Inc test. In group I the densitometric examination was done using the Lunar DPX-L system, performing the overall bone measurement. RESULTS: In children from group I the average values of iPTH concentration and both CIP and CAP components were significantly elevated (p&lt;0.05) as compared to group II. CAP/CIP ratio in group I was &lt;1; in healthy children &gt;1. Average concentrations of Ca and 1.25(OH)2D in serum of group I were lowered, although without statistical significance in comparison with group II. CAP/CIP ratio does not differentiate the children with bone disturbances. Densitometric examination revealed osteopenic changes in 3 children and osteoporosis in 2 children. There were no statistically significant correlations between the examined parameters. CONCLUSIONS: 1. The CIP/CAP ratio does not differentiate the bone mineral density status and it is not associated with biochemical parameters of calcium-phosphate metabolism. 2. This indicates its poor diagnostic utility with reference to mineralization disturbances in children with chronic kidney disease.",M1
