@RELATION C0006767_C0376154

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20367417,"Teriparatide improves early <e>callus</e> formation in distal radial fractures.BACKGROUND: Teriparatide (parathyreoid hormone; PTH 1-34) increases skeletal mass in humans and improves fracture healing in animals. A recent randomized multicenter trial of nonoperated distal radial fractures showed a moderate shortening of the time to restoration of cortical continuity by treatment with 20 microg (low-dose) teriparatide per day, but not with 40 microg (high-dose). As radiographic cortical continuity appears late in the healing process, perhaps too late for clinical relevance, we studied the qualitative appearance of the callus 5 weeks after fracture. METHODS: One third of the patients of the international trial were treated at Linköping University Hospital. The multicenter trial did not evaluate early callus formation. We therefore made a blinded qualitative scoring of the callus at 5 weeks in our 27 patients. Callus formation was arbitrarily classified as rich, intermediate, or poor. RESULTS: 9 patients were classified as rich (none had received placebo, 3 low-dose teriparatide, and 6 high-dose teriparatide). 9 patients were classified as intermediate (1 had received placebo, 5 low-dose, and 3 high-dose). 9 patients were classified as poor (7 had received placebo, 1 low-dose, and 1 high-dose) (p &lt; 0.001). INTERPRETATION: This is a post hoc subgroup analysis of an outcome variable, which was not in the official protocol. The results must therefore be interpreted with caution. However, in combination with the results of the larger trial, the data suggest that radiographic quality at an early time point might be a sensitive variable, perhaps better than time to cortical continuity. Moreover, teriparatide appeared to improve early callus formation in distal radial fractures.",M1
20358338,"Effect of low-intensity pulsed ultrasound on fracture <e>callus</e> mineral density and flexural strength in rabbit tibial fresh fracture.BACKGROUND: Low-intensity ultrasound is a biophysical intervention on a fracture repair process. However, the effect of low-intensity ultrasound therapy on fracture healing is controversial. The aim of the present study was to evaluate the effect of low-intensity pulsed ultrasound (LIPUS) therapy on the fracture healing process, including mineral density and strength of callus using a rabbit model. METHODS: A total of 30 rabbits underwent unilateral, transverse, and mid-tibia open osteotomies that were stabilized with external fixators. Then, the animals were divided into two study groups composed of 15 rabbits each: the case group (US), which were exposed to low-intensity pulsed ultrasound with 30 mW/cm(2) intensity and 1.5 MHz sine waves; and the control group (C), which underwent sham ultrasound treatment. Callus development and mineral density were evaluated using multidetector computed tomography at 2, 5, and 8 weeks, after which the animals were killed. Three-point bending tests of both healed and intact bones were assessed and compared. RESULTS: The results demonstrated that the callus mineral density in the US group was higher than in the C group (1202.20 +/- 81.30 vs. 940.66 +/- 151.58 HU; P = 0.001) at the end of the 8th week. The mean recorded three-point bending test score of healed bones in the US group was not significantly different from that of the C group (359.35 +/- 173.39 vs. 311.02 +/- 80.58 N; P = 0.114). CONCLUSIONS: The present study showed that low-intensity pulsed ultrasound enhanced callus mineral density with an insignificant increase in the strength of the fractured bone.",M1
20182251,"Locked plating of distal femur fractures leads to inconsistent and asymmetric <e>callus</e> formation.OBJECTIVES: Locked plating constructs may be too stiff to reliably promote secondary bone healing. This study used a novel imaging technique to quantify periosteal callus formation of distal femur fractures stabilized with locking plates. It investigated the effects of cortex-to-plate distance, bridging span, and implant material on periosteal callus formation. DESIGN: Retrospective cohort study. SETTING: One Level I and one Level II trauma center. PATIENTS: Sixty-four consecutive patients with distal femur fractures (AO types 32A, 33A-C) stabilized with periarticular locking plates. INTERVENTION: Osteosynthesis using indirect reduction and bridge plating with periarticular locking plates. MAIN OUTCOME MEASUREMENT: Periosteal callus size on lateral and anteroposterior radiographs. RESULTS: Callus size varied from 0 to 650 mm2. Deficient callus (20 mm2 or less) formed in 52%, 47%, and 37% of fractures at 6, 12, and 24 weeks postsurgery, respectively. Callus formation was asymmetric, whereby the medial cortex had on average 64% more callus (P=0.001) than the anterior or posterior cortices. A longer bridge span correlated minimally with an increased callus size at Week 6 (P=0.02), but no correlation was found at Weeks 12 and 24 postsurgery. Compared with stainless steel plates, titanium plates had 76%, 71%, and 56% more callus at Week 6 (P=0.04), Week 12 (P=0.03), and Week 24 (P=0.09), respectively. CONCLUSIONS: Stabilization of distal femur fractures with periarticular locking plates can cause inconsistent and asymmetric formation of periosteal callus. A larger bridge span only minimally improves callus formation. The more flexible titanium plates enhanced callus formation compared with stainless steel plates.",M1
20169393,"The effect of zoledronate during bone healing.BACKGROUND: Bisphosphonates have become the treatment of choice for a variety of bone diseases in which excessive osteoclastic activity is an important pathologic feature. However, inhibition of osteoclastic activity could lead to inhibition of remodeling during bone healing or repair. The objective of this study is to investigate the effect of zoledronate (the most potent bisphosphonate) in the biological process of bone healing. METHODS: Thirty immature male rabbits were divided into two groups (control and experimental) of 15 animals each. Both groups were submitted to fibular osteotomy. Only in the experimental group a single dose of zoledronate was administered. After 1, 2, and 4 weeks, animals of both groups were euthanized and the osteotomy site was histomorphometrically evaluated. The associated parameters analyzed were tissue volume (TV), fractional trabecular bone volume (BV/TV), fractional woven bone volume (WoV/TV), fractional periosteal fibrous volume (FbV/TV), and medullary fibrous volume (MaV/TV). RESULTS: The first week of healing was characterized by small <e>callus</e> area (experimental group) and less periosteal fibrosis. The second week was characterized by a large quantity of woven bone and marked decrease in periosteal fibrosis in the two groups. In the control group there was also a significant increase in trabecular bone. The fourth week was characterized by increased amount of woven bone and trabecular bone in the experimental group; there was increased medullary fibrosis in the two groups, while there continued to be significantly less periosteal fibrosis in the experimental group. CONCLUSIONS: Zoledronate does not prevent bone healing. However, the effect of zoledronate was characterized by accentuated stimulation of primary bone production and probably inhibition of remodeling, leading to retention of trabecular bone.",M1
20108320,"Rejuvenation of the inflammatory system stimulates fracture repair in aged mice.Age significantly reduces the regenerative capacity of the skeleton, but the underlying causes are unknown. Here, we tested whether the functional status of inflammatory cells contributes to delayed healing in aged animals. We created chimeric mice by bone marrow transplantation after lethal irradiation. In this model, chondrocytes and osteoblasts in the regenerate are derived exclusively from host cells while inflammatory cells are derived from the donor. Using this model, the inflammatory system of middle-aged mice (12 month old) was replaced by transplanted bone marrow from juvenile mice (4 weeks old), or age-matched controls. We found that the middle-aged mice receiving juvenile bone marrow had larger calluses and more bone formation during early stages and faster <e>callus</e> remodeling at late stages of fracture healing, indicating that inflammatory cells derived from the juvenile bone marrow accelerated bone repair in the middle-aged animals. In contrast, transplanting bone marrow from middle-aged mice to juvenile mice did not alter the process of fracture healing in juvenile mice. Thus, the roles of inflammatory cells in fracture healing may be age-related, suggesting the possibility of enhancing fracture healing in aged animals by manipulating the inflammatory system.",M1
20063384,"Inhibition of STAT1 accelerates bone fracture healing.Skeletal fracture healing involves a variety of cellular and molecular events; however, the mechanisms behind these processes are not fully understood. In the current study, we investigated the potential involvement of the signal transducer and activator of transcription 1 (STAT1), a critical regulator for both osteoclastogenesis and osteoblast differentiation, in skeletal fracture healing. We used a fracture model and a cortical defect model in mice, and found that fracture <e>callus</e> remodeling and membranous ossification are highly accelerated in STAT1-deficient mice. Additionally, we found that STAT1 suppresses Osterix transcript levels and Osterix promoter activity in vitro, indicating the suppression of Osterix transcription as one of the mechanisms behind the inhibitory effect of STAT1 on osteoblast differentiation. Furthermore, we found that fludarabine, a potent STAT1 inhibitor, significantly increases bone formation in a heterotopic ossification model. These results reveal previously unknown functions of STAT1 in skeletal homeostasis and may have important clinical implications for the treatment of skeletal bone fracture.",M1
20063381,"Modulation of Wnt signaling influences fracture repair.While the importance of Wnt signaling in skeletal development and homeostasis is well documented, little is known regarding its function in fracture repair. We hypothesized that activation and inactivation of Wnt signaling would enhance and impair fracture repair, respectively. Femoral fractures were generated in Lrp5 knockout mice (Lrp5-/-) and wild-type littermates (Lrp5+/+), as well as C57BL/6 mice. Lrp5-/- and Lrp5+/+ mice were untreated, while C57BL/6 mice were treated 2x/week with vehicle or anti-Dkk1 antibodies (Dkk1 Ab) initiated immediately postoperatively (Day 0) or 4 days postoperatively (Day 4). Fractures were radiographed weekly until sacrifice at day 28, followed by DXA, pQCT, and biomechanical analyses. Lrp5-/- mice showed impaired repair compared to Lrp5+/+ mice, as evidenced by reduced <e>callus</e> area, BMC, BMD, and biomechanical properties. The effects of Dkk1 Ab treatment depended on the timing of initiation. Day 0 initiation enhanced repair, with significant gains seen for callus area, BMC, BMD, and biomechanical properties, whereas Day 4 initiation had no effect. These results validated our hypothesis that Wnt signaling influences fracture repair, with prompt activation enhancing repair and inactivation impairing it. Furthermore, these data suggest that activation of Wnt signaling during fracture repair may have clinical utility in facilitating fracture repair.",M1
20036345,"bFGF-Modified BMMSCs enhance bone regeneration following distraction osteogenesis in rabbits.Distraction osteogenesis (DO), which induces new bone formation along the vector of pull without requiring the use of bone graft, has become a valuable surgical method for patients with limb discrepancy or craniofacial microsomia. However, the long treatment period and possible fibrous union or nonunion hampers its further clinical application. Bone marrow mesenchymal stem cells (BMMSCs) have been widely used as a source of cell therapy or a vector for gene transfer. Basic fibroblast growth factor (bFGF) has high potential for promotion of bone regeneration. However, bFGF has a short half value period in vivo. In this study, osteodistraction was applied in craniofacial bone of rabbit to observe the effects of BMMSCs with or without bFGF gene transfected on bone regeneration in the distracted zone. Mandibular lengthening (10 mm) was performed in 42 New Zealand white rabbits using a rapid distraction rate (2 mm/day). The animals were then randomly divided into group A, group B and group C (n=14 for each group). At the end of distraction, physiological saline, autologous BMMSCs and BMMSCs transfected with bFGF were injected into the distraction gaps in groups A, B, and C, respectively. Eight weeks after DO, the rabbits were sacrificed, and the distracted mandibles were harvested and processed for radiography, dual energy x-ray absorptiometry (DXA), micro-CT, histology and three-point bend testing. Under a rapid distraction, immature or poor bone healing was observed in the distracted <e>callus</e> from group A. However, better bone formation and higher bone mineral density (BMD) and bone mineral content (BMC) in the distracted callus were observed in group B and group C, the latter showed excellent bone formation and highest BMD and BMC. Such finding was confirmed by histological and micro-CT examinations. The values of BT/TV in group C were highest and the micro-architecture presented more mature characteristics. The mechanical strength in group C was 1.63-fold and 1.28-fold greater than that in group A and B by three-point bending testing. The results of this study suggest that BMMSCs transplantation can promote bone formation in DO, and bFGF-modified BMMSCs were more effective in this enhancement.",M1
20026440,"Comparison of effects of alfacalcidol and alendronate on mechanical properties and bone collagen cross-links of <e>callus</e> in the fracture repair rat model.Both bone density and quality are important determinants of bone strength. Bone quality is prescribed by matrix characteristic including collagen cross-linking and bone structural characteristics and is important in reinforcement of bone strength. We investigated the effects of alfacalcidol (ALF), a prodrug of calcitriol, and alendronate (ALN), a bisphosphanate, on the mechanical properties and content of enzymatic cross-links in femoral bone using a fracture repair rat model. Forty 3-month-old female Wistar-Imamichi rats were randomized into 4 groups: SHAM (sham-operated+vehicle), OVX (ovariectomy+vehicle), ALF (ovariectomy+ALF, 0.1 microg/kg/d, p.o.) and ALN (ovariectomy+ALN, 10 microg/kg/d, s.c.). Treatment began immediately after SHAM or OVX surgery. Three weeks later, all animals underwent transverse osteotomies at the midshaft of the left femur. Treatment was continued and rats were sacrificed at 12 weeks post-fracture for evaluation by X-ray radiography, micro-CT, pQCT, biomechanical testing and bone histomorphometry. In the ALN group, no new cortical shell appeared and the callus diameter was significantly larger than in the OVX group (p&lt;0.05). Stiffness of fractured callus in the ALF group, but not in the ALN group, was significantly higher than in the OVX group. Young's modulus in the ALN group was significantly decreased compared to the OVX group. Moreover, micro-CT analysis showed that ALN treatment increased the lowly mineralized bone in the callus by, resulting in the highest content of woven bone area and lowest content of lamellar bone. The total amount of enzymatic cross-links in both the ALF and ALN groups was significantly higher than in the OVX control group. Of particular interest, the Pyr-to-Dpyr ratio was significantly decreased by ALF administration, suggesting that ALF but not ALN normalized the enzymatic cross-link patterns in fractured bone to the control level. In conclusion, ALN and ALF treatment increased bone strength via the distinctive effect on bone mass and quality. ALN formed larger calluses and increased enzymatic cross-links despite delayed woven bone remodeling into lamellar bone, whereas ALF treatment induced lamellar bone formation coincided with increasing in the enzymatic cross-linking and normalizing the cross-link pattern in callus to native bone pattern.",M1
19995322,"Parathyroid hormone PTH(1-34) increases the volume, mineral content, and mechanical properties of regenerated mineralizing tissue after distraction osteogenesis in rabbits.BACKGROUND AND PURPOSE: Parathyroid hormone (PTH) has attracted considerable interest as a bone anabolic agent. Recently, it has been suggested that PTH can also enhance bone repair after fracture and distraction osteogenesis. We analyzed bone density and strength of the newly regenerated mineralized tissue after intermittent treatment with PTH in rabbits, which undergo Haversian bone remodeling similar to that in humans. METHODS: 72 New Zealand White rabbits underwent tibial mid-diaphyseal osteotomy and the <e>callus</e> was distracted 1 mm/day for 10 days. The rabbits were divided into 3 groups, which received injections of PTH 25 microg/kg/day for 30 days, saline for 10 days and PTH 25 microg/kg/day for 20 days, or saline for 30 days. At the end of the study, the rabbits were killed and the bone density was evaluated with DEXA. The mechanical bone strength was determined by use of a 3-point bending test. RESULTS: In the 2 PTH-treated groups the regenerate callus ultimate load was 33% and 30% higher, absorbed energy was 100% and 65% higher, BMC was 61% and 60% higher, and callus tissue volume was 179% and 197% higher than for the control group. INTERPRETATION: We found that treatment with PTH during distraction osteogenesis resulted in substantially higher mineralized tissue volume, mineral content, and bending strength. This suggests that treatment with PTH may benefit new bone formation during distraction osteogenesis and could form a basis for clinical application of this therapy in humans.",M1
