@RELATION C0037189_C0030163

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20228256,"A novel quantitative explanation for the autonomic modulation of <e>cardiac pacemaker</e> cell automaticity via a dynamic system of sarcolemmal and intracellular proteins.Classical numerical models have attributed the regulation of normal cardiac automaticity in sinoatrial node cells (SANCs) largely to G protein-coupled receptor (GPCR) modulation of sarcolemmal ion currents. More recent experimental evidence, however, has indicated that GPCR modulation of SANCs automaticity involves spontaneous, rhythmic, local Ca(2+) releases (LCRs) from the sarcoplasmic reticulum (SR). We explored the GPCR rate modulation of SANCs using a unique and novel numerical model of SANCs in which Ca(2+)-release characteristics are graded by variations in the SR Ca(2+) pumping capability, mimicking the modulation by phospholamban regulated by cAMP-mediated, PKA-activated signaling. The model faithfully predicted the entire range of physiological chronotropic modulation of SANCs by the activation of beta-adrenergic receptors or cholinergic receptors only when experimentally documented changes of sarcolemmal ion channels are combined with a simultaneous increase/decrease in SR Ca(2+) pumping capability. The novel numerical mechanism of GPCR rate modulation is based on numerous complex synergistic interactions between sarcolemmal and intracellular processes via membrane voltage and Ca(2+). Major interactions include changes of diastolic Na(+)/Ca(2+) exchanger current that couple earlier/later diastolic Ca(2+) releases (predicting the experimentally defined LCR period shift) of increased/decreased amplitude (predicting changes in LCR signal mass, i.e., the product of LCR spatial size, amplitude, and number per cycle) to the diastolic depolarization and ultimately to the spontaneous action potential firing rate. Concomitantly, larger/smaller and more/less frequent activation of L-type Ca(2+) current shifts the cellular Ca(2+) balance to support the respective Ca(2+) cycling changes. In conclusion, our model simulations corroborate recent experimental results in rabbit SANCs pointing to a new paradigm for GPCR heart rate modulation by a complex system of dynamically coupled sarcolemmal and intracellular proteins.",M1
20203315,"A coupled SYSTEM of intracellular Ca2+ clocks and surface membrane voltage clocks controls the timekeeping mechanism of the heart's pacemaker.Ion channels on the surface membrane of sinoatrial nodal pacemaker cells (SANCs) are the proximal cause of an action potential. Each individual channel type has been thoroughly characterized under voltage clamp, and the ensemble of the ion channel currents reconstructed in silico generates rhythmic action potentials. Thus, this ensemble can be envisioned as a surface  membrane clock  (M clock). Localized subsarcolemmal Ca(2+) releases are generated by the sarcoplasmic reticulum via ryanodine receptors during late diastolic depolarization and are referred to as an intracellular  Ca(2+) clock,  because their spontaneous occurrence is periodic during voltage clamp or in detergent-permeabilized SANCs, and in silico as well. In spontaneously firing SANCs, the M and Ca(2+) clocks do not operate in isolation but work together via numerous interactions modulated by membrane voltage, subsarcolemmal Ca(2+), and protein kinase A and CaMKII-dependent protein phosphorylation. Through these interactions, the 2 subsystem clocks become mutually entrained to form a robust, stable, coupled-clock system that drives normal <e>cardiac pacemaker</e> cell automaticity. G protein-coupled receptors signaling creates pacemaker flexibility, ie, effects changes in the rhythmic action potential firing rate, by impacting on these very same factors that regulate robust basal coupled-clock system function. This review examines evidence that forms the basis of this coupled-clock system concept in cardiac SANCs.",M1
20133911,"Mapping <e>cardiac pacemaker</e> circuits: methodological puzzles of the sinoatrial node optical mapping.Historically, milestones in science are usually associated with methodological breakthroughs. Likewise, the advent of electrocardiography, microelectrode recordings and more recently optical mapping have ushered in new periods of significance of advancement in elucidating basic mechanisms in cardiac electrophysiology. As with any novel technique, however, data interpretation is challenging and should be approached with caution, as it cannot be simply extrapolated from previously used methodologies and with experience and time eventually becomes validated. A good example of this is the use of optical mapping in the sinoatrial node (SAN): when microelectrode and optical recordings are obtained from the same site in myocardium, significantly different results may be noted with respect to signal morphology and as a result have to be interpreted by a different set of principles. Given the rapid spread of the use of optical mapping, careful evaluation must be made in terms of methodology with respect to interpretation of data gathered by optical sensors from fluorescent potential-sensitive dyes. Different interpretations of experimental data may lead to different mechanistic conclusions. This review attempts to address the origin and interpretation of the  double component  morphology in the optical action potentials obtained from the SAN region. One view is that these 2 components represent distinctive signals from the SAN and atrial cells and can be fully separated with signal processing. A second view is that the first component preceding the phase 0 activation represents the membrane currents and intracellular calcium transients induced diastolic depolarization from the SAN. Although the consensus from both groups is that ionic mechanisms, namely the joint action of the membrane and calcium automaticity, are important in the SAN function, it is unresolved whether the double-component originates from the recording methodology or represents the underlying physiology. This overview aims to advance a common understanding of the basic principles of optical mapping in complex 3D anatomic structures.",M1
19837079,"Mesoangioblasts from ventricular vessels can differentiate in vitro into cardiac myocytes with sinoatrial-like properties.Cardiac mesoangioblasts (MABs) are a class of vessel-associated clonogenic, self-renewing progenitor cells, recently identified in the post-natal murine heart and committed to cardiac differentiation. Cardiomyocytes generated during cardiogenesis from progenitor cells acquire several distinct phenotypes, corresponding to different functional properties in diverse structures of the adult heart. Given the special functional relevance to rhythm generation and rate control of sinoatrial cells, and in view of their prospective use in therapeutical applications, we sought to determine if, and to what extent, cardiac mesoangioblasts could also differentiate into myocytes with properties typical of mature pacemaker myocytes. We report here that a subpopulation of cardiac mesoangioblasts, induced to differentiate in vitro into cardiomyocytes, do acquire a phenotype with specific mature pacemaker myocytes properties. These include expression of the HCN4 isoform of pacemaker ( funny , f-) channels and connexin 45 (Cx45), as well as reduced expression of inwardly-rectifying potassium channels. Furthermore, MAB-derived myocytes form agglomerates of pacing cells displaying stable rhythmic activity, and as in native <e>cardiac pacemaker</e> cells, f-channel modulation by autonomic transmitters contributes to control of spontaneous rate in differentiated mesoangioblasts. These data represent the first evidence for in vitro generation of pacemaker-like myocytes from proliferating non-embryonic stem/progenitor cells.",M1
19591835,"The <e>cardiac pacemaker</e> current.In mammals cardiac rate is determined by the duration of the diastolic depolarization of sinoatrial node (SAN) cells which is mainly determined by the pacemaker I(f) current. f-channels are encoded by four members of the hyperpolarization-activated cyclic nucleotide-gated gene (HCN1-4) family. HCN4 is the most abundant isoform in the SAN, and its relevance to pacemaking has been further supported by the discovery of four loss-of-function mutations in patients with mild or severe forms of cardiac rate disturbances. Due to its selective contribution to pacemaking, the I(f) current is also the pharmacological target of a selective heart rate-reducing agent (ivabradine) currently used in the clinical practice. Albeit to a minor extent, the I(f) current is also present in other spontaneously active myocytes of the cardiac conduction system (atrioventricular node and Purkinje fibres). In working atrial and ventricular myocytes f-channels are expressed at a very low level and do not play any physiological role; however in certain pathological conditions over-expression of HCN proteins may represent an arrhythmogenic mechanism. In this review some of the most recent findings on f/HCN channels contribution to pacemaking are described.",M1
19573534,"Regulation of basal and reserve <e>cardiac pacemaker</e> function by interactions of cAMP-mediated PKA-dependent Ca2+ cycling with surface membrane channels.Decades of intensive research of primary cardiac pacemaker, the sinoatrial node, have established potential roles of specific membrane channels in the generation of the diastolic depolarization, the major mechanism allowing sinoatrial node cells to generate spontaneous beating. During the last three decades, multiple studies made either in the isolated sinoatrial node or sinoatrial node cells have demonstrated a pivotal role of Ca(2+) and, specifically Ca(2+) release from sarcoplasmic reticulum, for spontaneous beating of cardiac pacemaker. Recently, spontaneous, rhythmic local subsarcolemmal Ca(2+) releases from ryanodine receptors during late half of the diastolic depolarization have been implicated as a vital factor in the generation of sinoatrial node cell spontaneous firing. Local Ca(2+) releases are driven by a unique combination of high basal cAMP production by adenylyl cyclases, high basal cAMP degradation by phosphodiesterases and a high level of cAMP-mediated PKA-dependent phosphorylation. These local Ca(2+) releases activate an inward Na(+)-Ca(2+) exchange current which accelerates the terminal diastolic depolarization rate and, thus, controls the spontaneous pacemaker firing. Both the basal primary pacemaker beating rate and its modulation via beta-adrenergic receptor stimulation appear to be critically dependent upon intact RyR function and local subsarcolemmal sarcoplasmic reticulum generated Ca(2+) releases. This review aspires to integrate the traditional viewpoint that has emphasized the supremacy of the ensemble of surface membrane ion channels in spontaneous firing of the primary cardiac pacemaker, and these novel perspectives of cAMP-mediated PKA-dependent Ca(2+) cycling in regulation of the heart pacemaker clock, both in the basal state and during beta-adrenergic receptor stimulation.",M1
19477969,"The <e>cardiac pacemaker</e>-specific channel Hcn4 is a direct transcriptional target of MEF2.AIMS: Hcn4, which encodes the hyperpolarization-activated, cyclic nucleotide-sensitive channel (I(h)), is a well-established marker of the cardiac sino-atrial node. We aimed to identify cis-elements in the genomic locus of the Hcn4 gene that regulate the transcription of Hcn4. METHODS AND RESULTS: We screened evolutionarily conserved non-coding sequences (CNSs) that are often involved in the regulation of gene expression. The VISTA Enhancer Browser identified 16 regions, termed CNS 1-16, within the Hcn4 locus. Using the luciferase reporter assay in primary neonatal rat cardiomyocytes, we found that CNS13 conferred a prominent enhancer activity (more than 30-fold) on the Hcn4 promoter. Subsequent mutation analysis revealed that the Hcn4 enhancer function was dependent on myocyte enhancer factor-2 (MEF2) and activator protein-1 (AP1) binding sequences located in CNS13. Electrophoretic mobility shift assay and chromatin immunoprecipitation confirmed that MEF2 and AP1 proteins bound CNS13. Furthermore, overexpression of a dominant negative MEF2 mutant inhibited the enhancer activity of CNS13, decreased Hcn4 mRNA expression and also decreased the amplitude of I(h) current in myocytes isolated from the inflow tract of embryonic heart. CONCLUSION: These results suggest that the novel enhancer CNS13 and MEF2 may play a critical role in the transcription of Hcn4 in the heart.",M1
19376127,"Functional role of CLC-2 chloride inward rectifier channels in cardiac sinoatrial nodal pacemaker cells.A novel Cl(-) inward rectifier channel (Cl,ir) encoded by ClC-2, a member of the ClC voltage-gated Cl(-) channel gene superfamily, has been recently discovered in cardiac myocytes of several species. However, the physiological role of Cl,ir channels in the heart remains unknown. In this study we tested the hypothesis that Cl,ir channels may play an important role in <e>cardiac pacemaker</e> activity. In isolated guinea-pig sinoatrial node (SAN) cells, Cl,ir current was activated by hyperpolarization and hypotonic cell swelling. RT-PCR and immunohistological analyses confirmed the molecular expression of ClC-2 in guinea-pig SAN cells. Hypotonic stress increased the diastolic depolarization slope and decreased the maximum diastolic potential, action potential amplitude, APD(50), APD(90), and the cycle-length of the SAN cells. These effects were largely reversed by intracellular dialysis of anti-ClC-2 antibody, which significantly inhibited Cl,ir current but not other pacemaker currents, including the hyperpolarization-activated non-selective cationic  funny  current (I(f)), the L-type Ca(2+) currents (I(Ca,L)), the slowly-activating delayed rectifier I(Ks) and the volume-regulated outwardly-rectifying Cl(-) current (I(Cl,vol)). Telemetry electrocardiograph studies in conscious ClC-2 knockout (Clcn2(-/-)) mice revealed a decreased chronotropic response to acute exercise stress when compared to their age-matched Clcn2(+/+) and Clcn2(+/-) littermates. Targeted inactivation of ClC-2 does not alter intrinsic heart rate but prevented the positive chronotropic effect of acute exercise stress through a sympathetic regulation of ClC-2 channels. These results provide compelling evidence that ClC-2-encoded endogenous Cl,ir channels may play an important role in the regulation of cardiac pacemaker activity, which may become more prominent under stressed or pathological conditions.",M1
19289639,"Molecular architecture of the human sinus node: insights into the function of the <e>cardiac pacemaker</e>.BACKGROUND: Although we know much about the molecular makeup of the sinus node (SN) in small mammals, little is known about it in humans. The aims of the present study were to investigate the expression of ion channels in the human SN and to use the data to predict electrical activity. METHODS AND RESULTS: Quantitative polymerase chain reaction, in situ hybridization, and immunofluorescence were used to analyze 6 human tissue samples. Messenger RNA (mRNA) for 120 ion channels (and some related proteins) was measured in the SN, a novel paranodal area, and the right atrium (RA). The results showed, for example, that in the SN compared with the RA, there was a lower expression of Na(v)1.5, K(v)4.3, K(v)1.5, ERG, K(ir)2.1, K(ir)6.2, RyR2, SERCA2a, Cx40, and Cx43 mRNAs but a higher expression of Ca(v)1.3, Ca(v)3.1, HCN1, and HCN4 mRNAs. The expression pattern of many ion channels in the paranodal area was intermediate between that of the SN and RA; however, compared with the SN and RA, the paranodal area showed greater expression of K(v)4.2, K(ir)6.1, TASK1, SK2, and MiRP2. Expression of ion channel proteins was in agreement with expression of the corresponding mRNAs. The levels of mRNA in the SN, as a percentage of those in the RA, were used to estimate conductances of key ionic currents as a percentage of those in a mathematical model of human atrial action potential. The resulting SN model successfully produced pacemaking. CONCLUSIONS: Ion channels show a complex and heterogeneous pattern of expression in the SN, paranodal area, and RA in humans, and the expression pattern is appropriate to explain pacemaking.",M1
19181406,"Pacemaker activity of the human sinoatrial node: role of the hyperpolarization-activated current, I(f).The mechanism of primary, spontaneous <e>cardiac pacemaker</e> activity of the sinoatrial node (SAN) has extensively been studied in several animal species, but is virtually unexplored in man. Understanding the mechanisms of human SAN pacemaker activity is important for developing new therapeutic approaches for controlling the heart rate in the sick sinus syndrome and in diseased myocardium. Here we review the functional role of the hyperpolarization-activated 'funny' current, I(f), in human SAN pacemaker activity. Despite the many animal studies performed over the years, the contribution of I(f) to pacemaker activity is still controversial and not fully established. However, recent clinical data on mutations in the I(f) encoding HCN4 gene, which is thought to be the most abundant isoform of the HCN gene family in SAN, suggest a functional role of I(f) in human pacemaker activity. These clinical findings are supported by recent experimental data from single isolated human SAN cells that provide direct evidence that I(f) contributes to human SAN pacemaker activity. Therefore, controlling heart rate in clinical practice via I(f) blockers offers a valuable approach to lowering heart rate and provides an attractive alternative to conventional treatment for a wide range of patients with confirmed stable angina, while upregulation or artificial expression of I(f) may relieve disease-causing bradycardias.",M1
