@RELATION C0007634_C1136359

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20501947,"Uric acid promotes an acute inflammatory response to sterile <e>cell</e> death in mice.Necrosis stimulates inflammation, and this response is medically relevant because it contributes to the pathogenesis of a number of diseases. It is thought that necrosis stimulates inflammation because dying cells release proinflammatory molecules that are recognized by the immune system. However, relatively little is known about the molecular identity of these molecules and their contribution to responses in vivo. Here, we investigated the role of uric acid in the inflammatory response to necrotic cells in mice. We found that dead cells not only released intracellular stores of uric acid but also produced it in large amounts postmortem as nucleic acids were degraded. Using newly developed Tg mice that have reduced levels of uric acid either intracellularly and/or extracellularly, we found that uric acid depletion substantially reduces the cell death-induced inflammatory response. Similar results were obtained with pharmacological treatments that reduced uric acid levels either by blocking its synthesis or hydrolyzing it in the extracellular fluids. Importantly, uric acid depletion selectively inhibited the inflammatory response to dying cells but not to microbial molecules or sterile irritant particles. Collectively, our data identify uric acid as a proinflammatory molecule released from dying cells that contributes significantly to the cell death-induced inflammatory responses in vivo.",M1
20499615,"Omnis fibra ex fibra: fibre economies in Bonnet's and Diderot's models of organic order.In a long-term transformation, that begins in Antiquity but takes a crucial turn in the Renaissance anatomies, the  fibre  becomes from around 1750 the operative building block and at the same time the first unifying principle of function-structure-complexes of organic bodies. It occupies the role that the <e>cell</e> takes up in the cell economies of the second third of the nineteenth century. In this paper, I will first discuss some key notions, technical analogies, and images that are related to  fibre -concepts from Andreas Vesalius to Albrecht von Haller and then focus on Charles Bonnet's and Denis Diderot's fibre ceconomies. In Bonnet's and Diderot's fibre economies, the self-active, regulating properties of fibre-agents and their material structures, that reach from fibre bundles, tissues and membranes to apparati of organs, are united within the concrete whole of individual organized  systems  or  networks. ",M1
20495554,"RhoL controls invasion and Rap1 localization during immune <e>cell</e> transmigration in Drosophila.Human immune cells have to penetrate an endothelial barrier during their beneficial pursuit of infection and their destructive infiltration of tissues in autoimmune diseases. This transmigration requires Rap1 GTPase to activate integrin affinity. We define a new model system for this process by demonstrating, with live imaging and genetics, that during embryonic development Drosophila melanogaster immune cells penetrate an epithelial, Drosophila E-cadherin (DE-cadherin)-based tissue barrier. A mutant in RhoL, a GTPase homologue that is specifically expressed in haemocytes, blocks this invasive step but not other aspects of guided migration. RhoL mediates integrin adhesion caused by Drosophila Rap1 overexpression and moves Rap1 away from a concentration in the cytoplasm to the leading edge during invasive migration. These findings indicate that a programmed migratory step during Drosophila development bears striking molecular similarities to vertebrate immune cell transmigration during inflammation, and identify RhoL as a new regulator of invasion, adhesion and Rap1 localization. Our work establishes the utility of Drosophila for identifying novel components of immune cell transmigration and for understanding the in vivo interplay of immune cells with the barriers they penetrate.",M1
20494133,"Fluorescence and single molecule analysis in <e>cell</e> biology.An overview is presented which describes the development of fluorescence spectroscopy at the cellular level from its beginning as a quantitative tool to determine the content of cellular components to its present use. Analysis of individual biomolecules, their transport and kinetics within a single cell is now possible.",M1
20484820,"PET probes for distinct metabolic pathways have different <e>cell</e> specificities during immune responses in mice.Clinical tools that measure changes in immune cell metabolism would improve the diagnosis and treatment of immune dysfunction. PET, utilizing probes for specific metabolic processes, detects regions of immune activation in vivo. In this study we investigated the immune cell specificity of PET probes for two different metabolic pathways: [18F]-2-fluorodeoxyglucose ([18F]-FDG) for glycolysis and [18F]-2-fluoro-D-(arabinofuranosyl)cytosine ([18F]-FAC) for deoxycytidine salvage. We isolated innate and adaptive immune cells from tissues of mice challenged with a retrovirus-induced sarcoma and measured their ability to accumulate FDG and FAC. We determined that the two probes had distinct patterns of accumulation: FDG accumulated to the highest levels in innate immune cells, while FAC accumulated predominantly in CD8+ T cells in a manner that correlated with cellular proliferation. This study demonstrates that innate and adaptive cell types differ in glycolytic and deoxycytidine salvage demands during an immune response and that these differential metabolic requirements can be detected with specific PET probes. Our findings have implications for the interpretation of clinical PET scans that use [18F]-FDG or [18F]-FAC to assess immune function in vivo and suggest potential applications of metabolic PET to monitor the effects of targeted immune modulation.",M1
20478246,"Cellular heterogeneity: do differences make a difference?A central challenge of biology is to understand how individual <e>cells</e> process information and respond to perturbations. Much of our knowledge is based on ensemble measurements. However, cell-to-cell differences are always present to some degree in any cell population, and the ensemble behaviors of a population may not represent the behaviors of any individual cell. Here, we discuss examples of when heterogeneity cannot be ignored and describe practical strategies for analyzing and interpreting cellular heterogeneity.",M1
20458142,"Shank-interacting protein-like 1 promotes tumorigenesis via PTEN inhibition in human tumor <e>cells</e>.Inactivation of phosphatase and tensin homolog (PTEN) is a critical step during tumorigenesis, and PTEN inactivation by genetic and epigenetic means has been well studied. There is also evidence suggesting that PTEN negative regulators (PTEN-NRs) have a role in PTEN inactivation during tumorigenesis, but their identity has remained elusive. Here we have identified shank-interacting protein-like 1 (SIPL1) as a PTEN-NR in human tumor cell lines and human primary cervical cancer cells. Ectopic SIPL1 expression protected human U87 glioma cells from PTEN-mediated growth inhibition and promoted the formation of HeLa cell-derived xenograft tumors in immunocompromised mice. Conversely, siRNA-mediated knockdown of SIPL1 expression inhibited the growth of both HeLa cells and DU145 human prostate carcinoma cells in vitro and in vivo in a xenograft tumor model. These inhibitions were reversed by concomitant knockdown of PTEN, demonstrating that SIPL1 affects tumorigenesis via inhibition of PTEN function. Mechanistically, SIPL1 was found to interact with PTEN through its ubiquitin-like domain (UBL), inhibiting the phosphatidylinositol 3,4,5-trisphosphate (PIP3) phosphatase activity of PTEN. Furthermore, SIPL1 expression correlated with loss of PTEN function in PTEN-positive human primary cervical cancer tissue. Taken together, these observations indicate that SIPL1 is a PTEN-NR and that it facilitates tumorigenesis, at least in part, through its PTEN inhibitory function.",M1
20458138,"Paracrine signaling by glial <e>cell</e>-derived triiodothyronine activates neuronal gene expression in the rodent brain and human cells.Hypothyroidism in humans is characterized by severe neurological consequences that are often irreversible, highlighting the critical role of thyroid hormone (TH) in the brain. Despite this, not much is known about the signaling pathways that control TH action in the brain. What is known is that the prohormone thyroxine (T4) is converted to the active hormone triiodothyronine (T3) by type 2 deiodinase (D2) and that this occurs in astrocytes, while TH receptors and type 3 deiodinase (D3), which inactivates T3, are found in adjacent neurons. Here, we modeled TH action in the brain using an in vitro coculture system of D2-expressing H4 human glioma cells and D3-expressing SK-N-AS human neuroblastoma cells. We found that glial cell D2 activity resulted in increased T3 production, which acted in a paracrine fashion to induce T3-responsive genes, including ectonucleotide pyrophosphatase/phosphodiesterase 2 (ENPP2), in the cocultured neurons. D3 activity in the neurons modulated these effects. Furthermore, this paracrine pathway was regulated by signals such as hypoxia, hedgehog signaling, and LPS-induced inflammation, as evidenced both in the in vitro coculture system and in in vivo rat models of brain ischemia and mouse models of inflammation. This study therefore presents what we believe to be the first direct evidence for a paracrine loop linking glial D2 activity to TH receptors in neurons, thereby identifying deiodinases as potential control points for the regulation of TH signaling in the brain during health and disease.",M1
20417633,"Identification of residues critical for the <e>cell</e>-membrane-penetrating activity of zebrafish neuroglobin.Neuroglobin (Ngb) is a globin found in the vertebrate brain. Recently, we found that zebrafish Ngb can translocate into cells and clarified that module M1 of zebrafish Ngb is important for protein transduction. In the present study, we used site-directed mutagenesis to identify residues of module M1 that are important for protein transduction. We show that Lys7, Lys9, Lys21, and Lys23 of zebrafish Ngb are crucial for its activity. Since these residues are conserved among fishes, but not among mammals, birds, or amphibians, the ability to penetrate cell membranes may be a unique characteristic of fish Ngb proteins.",M1
20384223,"<e>Cell</e> microencapsulation.In the past several decades, many attempts have been made to prevent the rejection of transplanted cells by the immune system. Cell encapsulation is primary machinery for cell transplantation and new materials and approaches were developed to encapsulate various types of cells to treat a wide range of diseases. This technology involves placing the transplanted cells within a biocompatible membrane in attempt to isolate the cells from the host immune attack and enhance or prolong their function in vivo. In this chapter, we will review the situation of cell microencapsulation field and discuss its potentials and challenges for cell therapy and regeneration of tissue function.",M1
