@RELATION C1706094_C0011343

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20527500,"Considerations for the selection of a luting <e>cement</e>.Selection of a luting material for optimal cementation of indirect restorations requires the consideration of several factors relating to the properties of both the cement and of the restoration. Contemporary restorations (for example, dentine-bonded crowns or resin-retained bridges) often rely on bonding, and advances in dental materials science have resulted in simplified resin systems. Their ease of use and other favourable properties also offer advantages when used for more conventional restorations. Traditional luting cements remain commonplace and their benefits and shortcomings are discussed in terms of handling and clinical performance. Developments and trends in adhesive dentistry are explored. CLINICAL RELEVANCE: Luting cement selection and application is integral to the optimal performance of indirect restorations.",M1
20499492,"In vitro evaluation of microleakage of various types of dental <e>cements</e>.INTRODUCTION: Microleakage is defined as the clinically undetectable seepage of oral fluids containing bacteria and debris between cement layer and tooth restoration. OBJECTIVE: This in vitro study investigated the effect of different dental cements (zinc-phosphate, polycarboxylate, glass-ionomer and resin cement) on microleakage in different ceramic crown systems (metal ceramic crown, metal ceramic crown with a porcelain margin, Empress 2 and in Ceram all-ceramic crowns) fixed on extracted human teeth. METHODS: One hundred and sixty intact human premolars were randomized to four groups of forty teeth each, according to the different ceramic crown systems. They were prepared in a standardized manner for metal-ceramic and all-ceramic crowns. Crowns were made following a standard laboratory technique, and each group of crowns were divided into four groups according to the different cement agents and cemented on their respective abutments. The specimens were subjected to thermocycling, placed in methylene blue solutions, embedded in resin blocks and vertically cut in the bucco-oral and meso-distal direction. The microleakage in the area of tooth-cement interface was defined as linear penetration of methylene blue and was determined with a microscope to assign microleakage scores using a five-point scale. RESULTS: A significant association was found between a cement type and degree of microleakage (p = 0.001). No statistically significant differences were found among the different ceramic crown systems luted with the same dental cement. The smallest degree of microleakage was observed in specimens luted with resin cement (X = 1.73), followed by glass-ionomer cement (X=2.45) and polycarboxylate cement (X = 3.20). The greatest degree of microleakage was detected in the crowns fixed with zincphosphate cement (X = 3.33). CONCLUSION: The investigated dental cements revealed different sealing abilities. The use of resin cement resulted in the percentage of 0 microleakage scores. Due to this feature, the resin cement is to be recommended in everyday clinical practice.",M1
20437727,"Push-out strength of modified Portland <e>cements</e> and resins.PURPOSE: Modified calcium-silicate cements derived from white Portland cement (PC) were formulated to test their push-out strength from radicular dentin after immersion for 1 month. METHODS: Slabs obtained from 42 single-rooted extracted teeth were prepared with 0.6 mm diameter holes, then enlarged with rotary instruments. After immersion in EDTA and NaOC1, the holes were filled with modified PCs or ProRoot MTA, Vitrebond and Clearfil SE. Different concentrations of phyllosilicate (montmorillonite-MMT) were added to experimental cements. ProRoot MTA was also included as reference material. Vitrebond and Clearfil SE were included as controls. Each group was tested after 1 month of immersion in water or PBS. A thin-slice push-out test on a universal testing machine served to test the push-out strength of materials. Results were statistically analyzed using the least squares means (LSM) method. RESULTS: The modified PCs had push-out strengths of 3-9.5 MPa after 1 month of immersion in water, while ProRoot MTA had 4.8 MPa. The push-out strength of PC fell after incubation in PBS for 1 month, while the push-out strength of ProRoot MTA increased. There were no significant changes in Clearfil SE Bond or Vitrebond after water or PBS storage.",M1
20416445,"Apexogenesis treatment with a new endodontic <e>cement</e>: a case report.INTRODUCTION: This article describes an apexogenesis report of an 8-year old boy referred to our clinic 4 weeks after an impact trauma to the maxillary left central incisor that caused a complicated crown fracture and pulpal exposure. METHODS: In the radiographic examination, the tooth was observed to be immature. After access cavity preparation, cervical pulpotomy was performed, and the remaining pulp was capped with calcium enriched mixture (CEM) cement. The crown was restored by using the fractured incisal segment on the next day. RESULTS: The radiographic and clinical examinations on the 6-month and 12-month follow-ups showed that the tooth remained functional, root development was completed, and the apex was formed. A calcified bridge was produced underneath the capping material. No further endodontic intervention was necessary. CONCLUSIONS: Considering the healing potential of traumatized immature vital pulp, the use of CEM cement for apexogenesis might be an applicable choice; however, further clinical studies with longer follow-up periods are recommended.",M1
20416442,"Effect of mineral trioxide aggregates and Portland <e>cements</e> on inflammatory cells.INTRODUCTION: Recently, some studies have compared mineral trioxide aggregate (MTA) with Portland cements, concluding that the principal ingredients of Portland cements are similar to those of MTA. The purpose of the present study was to evaluate the effect of gray MTA, white MTA, and gray and white Portland cements on inflammatory cells in rats. METHODS: Fresh mixtures mixed with distilled water were placed in polyethylene tubes, which were implanted in the dorsal subcutaneous connective tissue of 60 Sprague-Dawley rats along with empty tubes as controls. Tissue specimens were collected after the rats were sacrificed after 7, 15, 30, 60, and 90 days. The specimens were fixed, stained, processed, and histologically evaluated under a light microscope. Inflammatory reactions were classified as grade 0: without inflammatory cells, grade I: sporadic infiltration of inflammatory cells, grade II: moderate infiltration (&lt;25 cells), grade III: dense and severe infiltration (25-125 cells), and grade IV: very dense and severe infiltration (&gt;125 cells). Data were analyzed with the nonparametric (two factor) analysis of variance and Kruskal-Wallis H-test. RESULTS: All the groups showed grade III inflammation after 7 and 15 days; there was a decrease in the inflammatory process after 30, 60, and 90 days. After 90 days, gray MTA, white MTA, and control groups had grade 0 inflammatory process, but gray Portland cement and white Portland cement groups showed grade 0 to grade I inflammatory processes. CONCLUSION: MTAs were more biocompatible; however, more studies are required.",M1
20416432,"Environmental scanning electron microscopy connected with energy dispersive x-ray analysis and Raman techniques to study ProRoot mineral trioxide aggregate and calcium silicate <e>cements</e> in wet conditions and in real time.INTRODUCTION: ProRoot mineral trioxide aggregate (MTA) and calcium silicate cements are able to set in a moist environment. The aim of the study was to examine the surface structure and composition of a cement paste under wet conditions and in real time during setting by environmental scanning electron microscopy connected with energy dispersive x-ray analysis (ESEM-EDX) and micro-Raman techniques. METHODS: White ProRoot MTA and experimental white tetrasilicate cement (wTC) and wTC containing bismuth oxide (wTC-Bi) were studied. Cement disks were analyzed 10 minutes after powder-liquid mixing (freshly prepared samples) and after immersion in Dulbecco phosphate-buffered saline at 37 degrees C for 24 hours (24-hour-aged samples). RESULTS: Freshly prepared wet cements at ESEM-EDX exposed an irregular surface (displaying calcium, silicon, aluminum, chlorine reflexes, and bismuth traces in MTA and wTC-Bi) with needle-like and cubic-hexagonal shaped crystals. Aggregates of spheroidal Ca-P-rich crystals (spherulites) appeared on the surface of 24-hour-aged samples. The starting unhydrated powders displayed the typical Raman bands of Portland cement components: alite, belite, and calcium sulfate (only as anhydrite in MTA and as both anhydrite and gypsum in wTC and wTC-Bi). MTA powder showed higher amount of calcium carbonate and lower quantities of anhydrite and higher crystallinity of the silicate component, leading to a slower hydration reaction. Products/markers of hydration reactions were present on fresh samples; ettringite formed on the surface of all the cements; calcium hydroxide (portlandite) was detected only on the surface of wTC, but no conclusion can be drawn on wTC-Bi and MTA because of the interference of bismuth oxide. Calcium phosphate and calcite/aragonite bands were detected on all 24-hour-aged cements; portlandite was no longer detected on wTC. CONCLUSIONS: ESEM and micro-Raman are powerful and suitable techniques to investigate endodontic calcium silicate hydrated cements in real time and in their humid state without inducing artifacts by sample preparation. The formation of apatite spherulites on calcium silicate cements might have clinical relevance.",M1
20416429,"Periradicular regeneration after endodontic surgery with calcium-enriched mixture <e>cement</e> in dogs.INTRODUCTION: The aim of this in vivo study was to compare the response of periradicular tissues to mineral trioxide aggregate (MTA) and calcium-enriched mixture (CEM) cement as root-end fillings and to analyze hard tissue healing after periradicular surgery. METHODS: Intentional periradicular lesions were induced in 32 premolar teeth in 4 beagle dogs. The root canals were prepared, dried, and obturated with laterally condensed gutta-percha with sealer, and the coronal access cavities were filled with amalgam. After surgical exposure of the apices, 2-3 mm of the apical root was resected, and root-end cavities were ultrasonically prepared. The root-end cavities were randomly filled with MTA or CEM cement. After 2 months, the animals were killed; tissue blocks were removed and prepared for histologic examination. Hard tissue healing including cementum and new bone formation in addition to concentration and extent of inflammation were evaluated. RESULTS: Eight samples were excluded. The major finding was the cementum deposition adjacent to MTA in 11 of 12 samples and CEM cement in 10 of 12 samples. With one-way analysis of variance, no significant difference was observed between the periradicular tissue response to tested materials. CONCLUSIONS: CEM cement and MTA were associated with regenerative periapical tissue response when used as root-end filling biomaterials.",M1
20416413,"A descriptive study of the radiographic density of implant restorative <e>cements</e>.STATEMENT OF PROBLEM: Cementation of implant prostheses is a common practice. Excess cement in the gingival sulcus may harm the periodontal tissues. Identification of the excess cement may be possible with the use of radiographs if the cement has sufficient radiopacity. PURPOSE: The purpose of this study was to compare the radiographic density of different cements used for implant prostheses. MATERIAL AND METHODS: Eight different cements were compared: TempBond Original (TBO), TempBond NE (TBN), Fleck's (FL), Dycal (DY), RelyX Unicem (RXU), RelyX Luting (RXL), Improv (IM), and Premier Implant Cement (PIC). Specimen disks, 2 mm in thickness, were radiographed. Images were made using photostimulable phosphor (PSP) plates with standardized exposure values. The average grey level of the central area of each specimen disk was selected and measured in pixels using a software analysis program, ImageTool, providing an average grey level value representative of radiodensity for each of the 8 cements. The radiodensity was determined using the grey level values of the test materials, which were recorded and compared to a standard aluminum step wedge. An equivalent thickness of aluminum in millimeters was calculated using best straight line fit estimates. To assess contrast effects by varying the exposure settings, a second experiment using 1-mm-thick cement specimens radiographed at both 60 kVp and 70 kVp was conducted. The PSP plates with specimens were measured for a grey level value comparison to the standard aluminum step wedge, using the same software program. RESULTS: The highest grey level values were recorded for the zinc cements (TBO, TBN, and FL), with the 1-mm specimen detectable at both 60- and 70-kVp settings. A lower grey level was recorded for DY, indicative of a lower radiodensity compared to the zinc cements, but higher than RXL and RXU. The implant-specific cements had the lowest grey level values. IM could only be detected in 2-mm-thick sections with a lower aluminum equivalence value than the previously mentioned cements. PIC could not be detected radiographically for either the 1-mm or 2-mm thicknesses at either of the kVp settings. CONCLUSIONS: Some types of cement commonly used for the cementation of implant-supported prostheses have poor radiodensity and may not be detectable following radiographic examination.",M1
20379684,"Effect of light-curing units in shear bond strength of metallic brackets: an in vitro study.OBJECTIVES: To determine the influence of the light curing units on the shear bond strength of orthodontic brackets. MATERIAL AND METHODS: Seventy-two premolars were divided into six groups (n=12): Group I: brackets bonded with Transbond and polymerization with halogen light; Group II: Transbond and LED; Group III: Fuji Ortho and halogen light; Group IV: Fuji Ortho and LED; Group V: Fuji Ortho, without acid and halogen light; Group VI: Fuji Ortho, without acid and LED. The groups were tested to shear strength in a universal testing machine at a crosshead speed of 0.5 mm/min. Data were analyzed statistically by ANOVA and Tukey's test. RESULTS: The composite resin presented higher shear bond strength than the resin-modified glass ionomer <e>cement</e> (p&lt;0.05). The halogen light and LED sources produced similar shear bond strength (p&gt;0.05). CONCLUSION: The shear bond strength was influenced by the material but not by the light-curing unit. The use of LED reduced the experimental time by approximately 60%, with the same curing efficiency.",M1
20379679,"Effect of temporary <e>cements</e> on the shear bond strength of luting cements.OBJECTIVE: The purpose of this study was to evaluate, by shear bond strength (SBS) testing, the influence of different types of temporary cements on the final cementation using conventional and self-etching resin-based luting cements. MATERIAL AND METHODS: Forty human teeth divided in two halves were assigned to 8 groups (n=10): I and V (no temporary cementation); II and VI: Ca(OH)2-based cement; III and VII: zinc oxide (ZO)-based cement; IV and VIII: ZO-eugenol (ZOE)-based cement. Final cementation was done with RelyX ARC cement (groups I to IV) and RelyX Unicem cement (groups V to VIII). Data were analyzed statistically by ANOVA and Tukey's test at 5% significance level. RESULTS: Means were (MPa): I - 3.80 (+/-1.481); II - 5.24 (+/-2.297); III - 6.98 (+/-1.885); IV - 6.54 (+/-1.459); V - 5.22 (+/-2.465); VI - 4.48 (+/-1.705); VII - 6.29 (+/-2.280); VIII - 2.47 (+/-2.076). Comparison of the groups that had the same temporary cementation (Groups II and VI; III and VII; IV and VIII) showed statistically significant difference (p&lt;0.001) only between Groups IV and VIII, in which ZOE-based cements were used. The use of either Ca(OH)2-based (Groups II and VI) or ZO-based (Groups III and VII) cements showed no statistically significant difference (p&gt;0.05) for the different luting cements (RelyX ARC and RelyX Unicem). The groups that had no temporary cementation (Groups I and V) did not differ significantly from each other either (p&gt;0.05). CONCLUSION: When temporary cementation was done with ZO- or ZOE-based cements and final cementation was done with RelyX ARC, there was an increase in the SBS compared to the control. In the groups cemented with RelyX Unicem, however, the use of a ZOE-based temporary cement affected negatively the SBS of the luting agent used for final cementation.",M1
