@RELATION C0008354_C0008359

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20503645,"[A predicted epidemic. The appearance of <e>cholera</e> in 1832 in southwest France]In 1832 the epidemic cholera provoked the fear of a new plague on the banks of the Garonne and the administrative measures to struggle against the illness as the sprawling epidemic could be delimited in three departments. The author describes the clinical pictures of the illness and underlines the prophylactic measures which followed from epidemics of previous centuries and lasted until pasteurism, the increasing hygiene and the apparition of chemical treatments.",M1
20468095,"[Serotyping and genotypic characteristic of Vibrio cholerae non-O1/non-O139 serogroups isolated from water of surface basins and sewages of Rostov-on-Don city in 2003 - 2008]AIM: Determination of serogroup and PCR-genotyping of Vibrio cholerae non-O1/non-O139 strains isolated from surface basins and sewages of Rostov-on-Don city in 2003 - 2008. MATERIALS AND METHODS: Seven hundred strains of V. cholerae non-O1/non-O139 serogroups were studied in reaction of slide-agglutination with array of 80 diagnostic sera for non-O1/non-O139 serogroups. Selective screening of strains representing dominating serogroups was performed for extended number of genetic determinants of pathogenicity factors. RESULTS: It was established that V. cholerae belonging to serogroups O53, O67, O75, and O76 are dominating in water ecosystems of Rostov-on-Don city at this time. All studied strains were characterized by lack of <e>cholera</e> toxin genes and toxin-coregulated pili but had different combinations of genes of additional virulence factors. There was no correlation between genotypic characteristics and serogroup. CONCLUSION: The study showed that change of serologic landscape of V. cholerae non-O1/non-O139 occurred in water objects in studied area during last decades. Necessity of dynamic surveillance for circulation of V. cholerae non-O1/non-O139 in aquatic environment with widening of studied spectrum of their biological features was demonstrated.",M1
20439970,"A <e>cholera</e> outbreak of the Vibrio cholerae O1 El Tor variant carrying classical CtxB in northeastern Thailand in 2007.Cholera outbreaks occurred in Thailand in 2007. Isolates from the northeastern regions were analyzed. Interestingly, the outbreak strain was identified as biotype El Tor; serotype Ogawa with cholera toxin B subunit gene (ctxB) of the classical type and CTX prophage repressor gene of the El Tor type. The clone was genetically closely related to pulsotype H, which is predominantly found in India. It was probably introduced into Thailand recently.",M1
20417206,"Molecular basis of <e>cholera</e> blood-group dependence and implications for a world characterized by climate change.Climate change has the potential to increase the threat of water-borne diseases, through rises in temperature and sea-level, and precipitation variability. Cholera poses a particular threat, and the need to develop better intervention tools is imminent. Cholera infections are particularly severe for blood group O individuals, who are less protected by the current vaccines. Here we derive a hypothesis as to the molecular origins of blood-group dependence of this disease, based on relevant epidemiological, clinical and molecular data, and give suggestions on how to plan prevention strategies, and develop novel and improved pharmaceuticals.",M1
20350415,"<e>Cholera</e> outbreak, Laos, 2007.",M1
20336507,"Virulence profile and clonal relationship among the Vibrio cholerae isolates from ground and surface water in a <e>cholera</e> endemic area during rainy season.All the V. cholerae non-O1, non-O139 isolates from ground and surface water samples collected during the rainy season (rainfall contributes significantly in the spread of cholera) contained ompW and a regulatory toxR gene, while many others possessed accessory cholera toxin (ace), hemolysin (hlyA) and outer membrane protein (ompU) genes. All the isolates lacked ctxAB, tcp, zot, rfbO1 and rfbO139 genes. The strains could be grouped into two main clusters colligating the isolates from ground water and surface water samples. The results suggest that surface water harbors various virulent V. cholerae strains that contaminate the ground water due to rain or poor hygienic practices, and result in the emergence of new toxigenic strains for cholera.",M1
20301065,"Health impact of the 2004 Andaman Nicobar earthquake and tsunami in Indonesia.BACKGROUND: The human impact of the tsunami that occurred on 26 December 2004 was enormous, with Indonesia bearing a huge proportion of the losses. The aftermath brought predictions of communicable disease outbreaks and widespread fear of epidemics. However, evidence from previous disasters due to natural hazards does not support all of these predictions. The objectives of this study were to: (1) describe the relative importance of infectious diseases and injuries as a consequence of a disaster due to natural hazards; and (2) identify key recommendations for the improvement of control and surveillance of these diseases during and after disasters. METHODS: A team from the Center for Research on the Epidemiology of Disasters visited Jakarta and Banda Aceh from 11-23 January 2005, and collected data from the Central and Provincial Ministries of Health (MOH), the World Health Organization (WHO), and a field hospital from the International Committee of the Red Cross in Banda Aceh. The epidemiological profiles of diseases before and after the tsunami were compared. <e>Cholera</e>, tetanus, wounds and wound infections, acute respiratory infections, malaria, and dengue were included in this analysis. RESULTS: Certain diseases (e.g., cholera, malaria, dengue) are not always an immediate priority post-disaster. Rates of disaster-related health conditions requiring emergency response fell by half, and became negligible around four weeks after the precipitating events. Some conditions, such as aspiration pneumonia and tetanus, which normally are rare, require special preparedness for emergency personnel. In addition, resistant and rare pathogens are associated with disasters due to natural hazards in the tropics and require specialized knowledge for the rapid and successful treatment of related infections. CONCLUSIONS: Within the first four weeks of a disaster, international humanitarian agencies in the health sector should start working with the MOH. The WHO surveillance system established immediately after the tsunami offers lessons for developing a prototype for future emergencies. Guidelines for tetanus and aspiration pneumonia should be included in disaster medicine handbooks, and humanitarian aid groups should be prepared to provide emergency obstetrics and post-natal services. Relief funding after naturally occurring disasters should consider funding sustainability. Donors should know when to stop providing emergency relief funds and transition to recovery/development strategies.",M1
20300569,"Informal urban settlements and <e>cholera</e> risk in Dar es Salaam, Tanzania.BACKGROUND: As a result of poor economic opportunities and an increasing shortage of affordable housing, much of the spatial growth in many of the world's fastest-growing cities is a result of the expansion of informal settlements where residents live without security of tenure and with limited access to basic infrastructure. Although inadequate water and sanitation facilities, crowding and other poor living conditions can have a significant impact on the spread of infectious diseases, analyses relating these diseases to ongoing global urbanization, especially at the neighborhood and household level in informal settlements, have been infrequent. To begin to address this deficiency, we analyzed urban environmental data and the burden of cholera in Dar es Salaam, Tanzania. METHODOLOGY/PRINCIPAL FINDINGS: Cholera incidence was examined in relation to the percentage of a ward's residents who were informal, the percentage of a ward's informal residents without an improved water source, the percentage of a ward's informal residents without improved sanitation, distance to the nearest cholera treatment facility, population density, median asset index score in informal areas, and presence or absence of major roads. We found that cholera incidence was most closely associated with informal housing, population density, and the income level of informal residents. Using data available in this study, our model would suggest nearly a one percent increase in cholera incidence for every percentage point increase in informal residents, approximately a two percent increase in cholera incidence for every increase in population density of 1000 people per km(2) in Dar es Salaam in 2006, and close to a fifty percent decrease in cholera incidence in wards where informal residents had minimally improved income levels, as measured by ownership of a radio or CD player on average, in comparison to wards where informal residents did not own any items about which they were asked. In this study, the range of access to improved sanitation and improved water sources was quite narrow at the ward level, limiting our ability to discern relationships between these variables and cholera incidence. Analysis at the individual household level for these variables would be of interest. CONCLUSIONS/SIGNIFICANCE: Our results suggest that ongoing global urbanization coupled with urban poverty will be associated with increased risks for certain infectious diseases, such as cholera, underscoring the need for improved infrastructure and planning as the world's urban population continues to expand.",M1
20299504,"Multilocus variable-number tandem repeat analysis of Vibrio cholerae O1 El Tor strains harbouring classical toxin B.Atypical Vibrio cholerae O1 strains - hybrid strains (strains that cannot be classified either as El Tor or classical biotype) and altered strains (El Tor biotype strains that produce classical <e>cholera</e> toxin) - are currently prevalent in Asia and Africa. A total of 74 hybrid and altered strains that harboured classical cholera toxin were investigated by multilocus variable-number tandem repeat analysis (MLVA). The results showed that the hybrid/altered strains could be categorized into three groups and that they were distant from the El Tor strain responsible for the seventh cholera pandemic. Hybrid/altered strains with a tandem repeat of the classical CTX prophage on the small chromosome were divided into two MLVA groups (group I: Mozambique/Bangladesh group; group III: Vietnam group), and altered strains with the RS1-CTX prophage containing the El Tor type rstR and classical ctxB on the large chromosome were placed in two MLVA groups (group II: India/Bangladesh group; group III: India/Vietnam group).",M1
20233893,"Diarrhoeal disease through enterocyte secretion: a doctrine untroubled by proof.For almost 40 years, one of the principal causes of diarrhoeal disease has been thought to be fluid secretion emanating from the epithelial cells of the small and large intestine. Given the extremely large fluid losses seen in <e>cholera</e>, where secretion can be up to several litres per day, this seems a plausible hypothesis. The enterocyte (epithelial cell) secretion hypothesis rapidly displaced all other alternatives, such as vasodilatation coupled with enhanced paracellular permeability. An essential mechanism underlying enterocyte secretion has always been assumed to be electrogenic chloride secretion, leading to a localized osmotic imbalance at the mucosal surface of the enterocytes that causes fluid entry into the lumen by osmosis. The chloride secretion basis for enterotoxin-deranged secretion is assumed to be measurable by changes in electrical currents and by altered transport of chloride ion. These can be detected after the small intestine is exposed to a heat-stable enterotoxin (STa) produced by Escherichia coli. However, in vivo, when the recovered volume technique is used, STa is found not to be secretory. The heat-stable enterotoxin is therefore a test case toxin, because the complex techniques used to demonstrate enterocyte secretion after STa exposure show apparent secretion, while the simplest technique based on fluid recovery and genuinely measuring the mass transport of fluid does not. This review scrutinizes the nature of the evidence put forward for enterocyte secretion and reaches the conclusion that there is no evidence for it. Debilitating secretion undoubtedly does take place in severe diarrhoeal disease, but secretion from enterocytes is unlikely to be the cause.",M1
