@RELATION C0008778_C0015422

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20592197,"Retinal degeneration and failure of photoreceptor outer segment formation in mice with targeted deletion of the Joubert syndrome gene, Ahi1.Vertebrate photoreceptors have a modified cilium composed of a basal body, axoneme and outer segment. The outer segment includes stacked membrane discs, containing opsin and the signal transduction apparatus mediating phototransduction. In photoreceptors, two distinct classes of vesicles are trafficked. Synaptic vesicles are transported down the axon to the synapse, whereas opsin-containing vesicles are transported to the outer segment. The continuous replacement of the outer segments imposes a significant biosynthetic and trafficking burden on the photoreceptors. Here, we show that Ahi1, a gene that when mutated results in the neurodevelopmental disorder, Joubert syndrome (JBTS), is required for photoreceptor sensory <e>cilia</e> formation and the development of photoreceptor outer segments. In mice with a targeted deletion of Ahi1, photoreceptors undergo early degeneration. Whereas synaptic proteins are correctly trafficked, photoreceptor outer segment proteins fail to be transported appropriately or are significantly reduced in their expression levels (i.e., transducin and Rom1) in Ahi1(-/-) mice. We show that vesicular targeting defects in Ahi1(-/-) mice are cilium specific, and our evidence suggests that the defects are caused by a decrease in expression of the small GTPase Rab8a, a protein required for accurate polarized vesicular trafficking. Thus, our results suggest that Ahi1 plays a role in stabilizing the outer segment proteins, transducin and Rom1, and that Ahi1 is an important component of Rab8a-mediated vesicular trafficking in photoreceptors. The retinal degeneration observed in Ahi1(-/-) mice recapitulates aspects of the retinal phenotype observed in patients with JBTS and suggests the importance of Ahi1 in photoreceptor function.",M1
20530210,"The small GTPases ARL-13 and ARL-3 coordinate intraflagellar transport and ciliogenesis.Intraflagellar transport (IFT) machinery mediates the bidirectional movement of cargos that are required for the assembly and maintenance of <e>cilia</e>. However, little is known about how IFT is regulated in vivo. In this study, we show that the small guanosine triphosphatase (GTPase) adenosine diphosphate ribosylation factor-like protein 13 (ARL-13) encoded by the Caenorhabditis elegans homologue of the human Joubert syndrome causal gene ARL13B, localizes exclusively to the doublet segment of the cilium. arl-13 mutants have shortened cilia with various ultrastructural deformities and a disrupted association between IFT subcomplexes A and B. Intriguingly, depletion of ARL-3, another ciliary small GTPase, partially suppresses ciliogenesis defects in arl-13 mutants by indirectly restoring binding between IFT subcomplexes A and B. Rescue of arl-13 mutants by ARL-3 depletion is mediated by an HDAC6 deacetylase-dependent pathway. Thus, we propose that two conserved small GTPases, ARL-13 and ARL-3, coordinate to regulate IFT and that perturbing this balance results in cilia deformation.",M1
20526328,"Ciliary entry of the kinesin-2 motor KIF17 is regulated by importin-beta2 and RanGTP.The biogenesis, maintenance and function of primary <e>cilia</e> are controlled through intraflagellar transport (IFT) driven by two kinesin-2 family members, the heterotrimeric KIF3A/KIF3B/KAP complex and the homodimeric KIF17 motor. How these motors and their cargoes gain access to the ciliary compartment is poorly understood. Here, we identify a ciliary localization signal (CLS) in the KIF17 tail domain that is necessary and sufficient for ciliary targeting. Similarities between the CLS and classic nuclear localization signals (NLSs) suggest that similar mechanisms regulate nuclear and ciliary import. We hypothesize that ciliary targeting of KIF17 is regulated by a ciliary-cytoplasmic gradient of the small GTPase Ran, with high levels of GTP-bound Ran (RanGTP) in the cilium. Consistent with this, cytoplasmic expression of GTP-locked Ran(G19V) disrupts the gradient and abolishes ciliary entry of KIF17. Furthermore, KIF17 interacts with the nuclear import protein importin-beta2 in a manner dependent on the CLS and inhibited by RanGTP. We propose that Ran has a global role in regulating cellular compartmentalization by controlling the shuttling of cytoplasmic proteins into nuclear and ciliary compartments.",M1
20526327,"Nuclear transport receptor goes moonlighting.The importin-beta-like transport receptors and RanGTP govern selective transport of proteins into the nucleus. It has now been shown that importin-beta2 (alternatively called transportin1) also selectively targets the motor protein Kif17 to primary <e>cilia</e>. In analogy to the nucleus, RanGTP in the intraciliary compartment mediates dissociation of Kif17 from its transport receptor and thereby completes import.",M1
20512148,"DYRK1B-dependent autocrine-to-paracrine shift of Hedgehog signaling by mutant RAS.Synergism between the RAS and Hedgehog (HH) pathways has been suggested for carcinogenesis in the pancreas, lung and colon. We investigated the molecular cross-talk between RAS and HH signaling and found that, although mutant RAS induces or enhances SHH expression and favors paracrine HH signaling, it antagonizes autocrine HH signal transduction. Activated RAS can be found in primary <e>cilia</e>, the central organelle of HH signal transduction, but functions in a cilium-independent manner and interferes with Gli2 function and Gli3 processing. In addition, the cell-autonomous negative regulation of HH signal transduction involves the RAS effector molecule dual specificity tyrosine phosphorylated and regulated kinase 1B (DYRK1B). In line with a redirection of autocrine toward paracrine HH signaling by a KRAS-DYRK1B network, we find high levels of GLI1 expression restricted to the stromal compartment and not to SHH-expressing tumor cells in human pancreatic adenocarcinoma.",M1
20498683,"<e>Cilia</e> in the brain: going with the flow.",M1
20498083,"Regulation of a heterodimeric kinesin-2 through an unprocessive motor domain that is turned processive by its partner.<e>Cilia</e> are microtubule-based protrusions of the plasma membrane found on most eukaryotic cells. Their assembly is mediated through the conserved intraflagellar transport mechanism. One class of motor proteins involved in intraflagellar transport, kinesin-2, is unique among kinesin motors in that some of its members are composed of two distinct polypeptides. However, the biological reason for heterodimerization has remained elusive. Here we provide several interdependent reasons for the heterodimerization of the kinesin-2 motor KLP11/KLP20 of Caenorhabditis elegans cilia. One motor domain is unprocessive as a homodimer, but heterodimerization with a processive partner generates processivity. The  unprocessive  subunit is kept in this partnership as it mediates an asymmetric autoregulation of the motor activity. Finally, heterodimerization is necessary to bind KAP1, the in vivo link between motor and cargo.",M1
20498047,"Tubulin polyglutamylation is essential for airway ciliary function through the regulation of beating asymmetry.Airway epithelial <e>cilia</e> protect the mammalian respiratory system from harmful inhaled materials by providing the force necessary for effective mucociliary clearance. Ciliary beating is asymmetric, composed of clearly distinguished effective and recovery strokes. Neither the importance of nor the essential components responsible for the beating asymmetry has been directly elucidated. We report here that the beating asymmetry is crucial for ciliary function and requires tubulin glutamylation, a unique posttranslational modification that is highly abundant in cilia. WT murine tracheal cilia have an axoneme-intrinsic structural curvature that points in the direction of effective strokes. The axonemal curvature was lost in tracheal cilia from mice with knockout of a tubulin glutamylation-performing enzyme, tubulin tyrosine ligase-like protein 1. Along with the loss of axonemal curvature, the axonemes and tracheal epithelial cilia from these knockout (KO) mice lost beating asymmetry. The loss of beating asymmetry resulted in a reduction of cilia-generated fluid flow in trachea from the KO mice. The KO mice displayed a significant accumulation of mucus in the nasal cavity, and also emitted frequent coughing- or sneezing-like noises. Thus, the beating asymmetry is important for airway ciliary function. Our findings provide evidence that tubulin glutamylation is essential for ciliary function through the regulation of beating asymmetry, and provides insight into the molecular basis underlying the beating asymmetry.",M1
20479231,"Primary <e>cilia</e> regulate Gli/Hedgehog activation in pancreas.Previous studies have suggested that defects in pancreatic epithelium caused by activation of the Hedgehog (Hh) signaling pathway are secondary to changes in the differentiation state of the surrounding mesenchyme. However, recent results describe a role of the pathway in pancreatic epithelium, both during development and in adult tissue during neoplastic transformation. To determine the consequences of epithelial Hh activation during pancreas development, we employed a transgenic mouse model in which an activated version of GLI2, a transcriptional mediator of the pathway, is overexpressed specifically in the pancreatic epithelium. Surprisingly, efficient Hh activation was not observed in these transgenic mice, indicating the presence of physiological mechanisms within pancreas epithelium that prevent full Hh activation. Additional studies revealed that primary cilia regulate the level of Hh activation, and that ablation of these cellular organelles is sufficient to cause significant up-regulation of the Hh pathway in pancreata of mice overexpressing GLI2. As a consequence of overt Hh activation, we observe profound morphological changes in both the exocrine and endocrine pancreas. Increased Hh activity also induced the expansion of an undifferentiated cell population expressing progenitor markers. Thus, our findings suggest that Hh signaling plays a critical role in regulating pancreatic epithelial plasticity.",M1
20473291,"Lack of cadherins Celsr2 and Celsr3 impairs ependymal ciliogenesis, leading to fatal hydrocephalus.Ependymal cells form the epithelial lining of cerebral ventricles. Their apical surface is covered by <e>cilia</e> that beat in a coordinated fashion to facilitate circulation of the cerebrospinal fluid (CSF). The genetic factors that govern the development and function of ependymal cilia remain poorly understood. We found that the planar cell polarity cadherins Celsr2 and Celsr3 control these processes. In Celsr2-deficient mice, the development and planar organization of ependymal cilia are compromised, leading to defective CSF dynamics and hydrocephalus. In Celsr2 and Celsr3 double mutant ependyma, ciliogenesis is markedly impaired, resulting in lethal hydrocephalus. The membrane distribution of Vangl2 and Fzd3, two key planar cell polarity proteins, was disturbed in Celsr2 mutants, and even more so in Celsr2 and Celsr3 double mutants. Our findings suggest that planar cell polarity signaling is involved in ependymal cilia development and in the pathophysiology of hydrocephalus, with possible implications in other ciliopathies.",M1
