@RELATION C0085952_C0009237

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20213576,"Methodological evaluation of 2-DE to study root proteomics during nematode infection in cotton and <e>coffee</e> plants.The identification of plant proteins expressed in response to phytopathogens is a remaining challenge to proteome methodology. Proteomic methods, such as electrophoresis and mass spectrometry have been extensively used for protein differential expression studies in several plants including Arabidopsis thaliana, rice, and wheat. However, in coffee (Coffea canephora) and cotton (Gossypium hirsutum), bidimensional electrophoresis (2-DE) analysis has been rarely employed. Moreover, global protein expression in both agricultural plants in response to biotic stress conditions had not been reported until now. In this study, Meloidogyne paranaensis and M. incognita, two devastating phytonematodes for numerous crop cultures, were used to infect resistant genotypes of coffee and cotton plants. The protein expression of infected- and non-infected roots were evaluated by 2-DE following in silico experiments. Additionally, gels were stained with silver nitrate and/or Coomassie brilliant blue in order to obtain an optimized method for proteomic analysis of plant-nematode interaction. The 2-DE analysis revealed an enhanced number of protein spots, as well as differentially expressed proteins, when Coomassie brilliant blue was used. The results obtained here could be extended to other plant species, providing valuable information to root-nematode interactions.",M1
20208063,"Stress metabolism in green <e>coffee</e> beans (Coffea arabica L.): expression of dehydrins and accumulation of GABA during drying.In order to produce tradeable standard green coffee, processed beans must be dried. The drying procedure affects the abundance of relevant aroma substances, e.g. carbohydrates. Using molecular tools, the corresponding metabolic basis is analyzed. A decrease in water potential of the still living coffee seeds induces massive drought stress responses. As a marker for these stress reactions, accumulation of a general stress metabolite, GABA (gamma-aminobutyric acid), and associated gene expression of drought stress-associated dehydrins were monitored. The results of this study indicate that metabolism in drying coffee beans is quite complex since several events trigger accumulation of GABA. The first peak of GABA accumulation during drying is correlated with expression of isocitrate lyase and thus with ongoing germination processes in coffee seeds. Two subsequent peaks of GABA accumulation correspond to maxima of dehydrin gene expression and are thought to be induced directly by drought stress in the embryo and endosperm tissue, respectively. Apart from the significance for understanding basic seed physiology, metabolic changes in coffee seeds during processing provide valuable information for understanding the role and effect of the steps of green coffee processing on the quality of the resulting coffee.",M1
20175515,"Transcriptional profile of genes involved in the biosynthesis of phytate and ferritin in Coffea.The present work aimed to study the control of the biosynthesis of the antinutritional factor phytate and its associated Fe-rich protein family, ferritin, in <e>coffee</e>. Phytate has the ability to chelate Fe, making it unavailable to human absorption. The Coffea genome databases were queried for genes associated with phytate metabolism and ferritin genes. The genetic framework for phytate biosynthesis and its reverse pathway was identified in silico analyses and indicate that Coffea phosphatidyl inositol kinase and monophosphatase families play nonredundant roles in phytate metabolism. The transcriptional profiles of phytate biosynthesis key-genes MYO-INOSITOL(3)P1 SYNTHASE, two genes coding for PHOSPHATIDYL INOSITOL KINASE, and three FERRITIN genes were temporally evaluated by qPCR in coffee seeds from two crop locations, Adamantina-SP and Ouro-Fino-MG, the last one traditionally associated with high-quality coffee beverage grain. A targeted metabolome profile of phytic acid contents throughout three fruit maturation stages in association with the transcriptional analysis was also obtained. Taken together, our data indicate that the investigated local conditions did not cause significant alterations in phytate biosynthesis. Futhermore, the temporal transcriptional profiling revealed that candidate gene expression is regulated independently of phytate accumulation. In contrast, the expression profile of ferritin-unit genes is affected by environmental conditions and genetic background. The roles of the investigated genes are discussed concerning the quality of coffee beverage.",M1
20098931,"[Diversity of Hemiptera Auchenorrhyncha in citrus, <e>coffee</e> and a fragment of native forest of the state of São Paulo]The population of Hemiptera Auchenorrhyncha was studied in sweet citrus groves (Citrus sinensis), coffee plantations (Coffea arabica) and a semi-deciduous seasonal forest with shrub physiognomy in Bebedouro, SP, to evaluate the influence of the natural ecosystem on the species composition of the agroecosystems. Monitoring was carried out by using yellow stick cards, which were replaced every 15 days and all Auchenorrhyncha collected were counted and identified. Seven families, 11 subfamilies and 98 species were collected, with Cicadellidae being the most abundant. The native forest presented larger wealth, diversity and equitability of Auchenorrhyncha species, demonstrating to be more stable than the other habitats. The high values of similarities obtained between the agroecosystems and the forest demonstrated that great part of Auchenorrhyncha species occurring in the agricultural habitats was also occurring at the forest, indicating that the last may serve as reservoir of species. The abundance of the taxonomic groups of Auchenorrhyncha collected varied with the evaluated habitats, with Proconiini being the most abundant in the coffee plantation next to the forest, Athysanini, Scaphytopiini, Neocoelidiinae and Coelidiinae in the orange orchard and coffee plantation distant from the forest; Cicadellinae and Agalliinae were not related to any of the habitats. The presence of vector insects and possible vectors of plant diseases in the appraised habitats indicate the need of the implementation of strategies for landscape management.",M1
20036052,"Removal of Malachite Green from aqueous solution using degreased <e>coffee</e> bean.This study reports on the feasibility of employing degreased coffee beans (DCB) as adsorbent for Malachite Green (MG) removal in dyeing wastewater. The iodine value (IV), specific surface area (SSA) and porosity of the raw coffee beans (RCB) used in the study increased after the degreasing process, resulting in significant increase in the adsorption of MG onto DCB. Employing a batch experimental set-up, optimum conditions for complete color removal and adsorption of MG by DCB was studied considering parameters such as effect of degreasing process, adsorbent dosage, initial dye concentration, reaction temperature and pH. Adsorbed amount of MG by DCB increased with increasing DCB dosage and initial MG concentration. The rate of the adsorption reaction followed the pseudo second-order kinetics with the sorption isotherm well fitted to the Freundlich and the Langmuir isotherm models. Thermodynamic studies revealed that the adsorption processes is spontaneous and endothermic in nature. DCB has potentials for application as adsorbent for the removal of MG from dyeing process wastewater.",M1
19949670,"Removal of alpha-Gal epitopes from porcine aortic valve and pericardium using recombinant human alpha galactosidase A.It has been reported that the immune response due to alpha-Gal epitopes is an important factor in tissue valve failure. The elimination of the interaction between the natural anti-Gal antibodies and alpha-gal epitopes on the xenografts is a prerequisite to the success of xenografts in humans. Previously, we reported that the green <e>coffee</e> bean alpha-galactosidase could remove all alpha-Gal epitopes from cell surface of porcine aortic valve and pericardial tissue, but it has limitations on cost effectiveness. In this study we wanted to know whether the recently produced recombinant human alpha-galactosidase A has the same effective enzymatic activity as green coffee bean alpha-galactosidase in removing alpha-Gal epitopes from the same tissues. After treating fresh porcine aortic valve and pericardial tissue with recombinant alpha-galactosidase A, each sample was stained with Griffonia simplicifolia type I isolectin B4 indirect immunoperoxidase avidin-biotin technique. We then examined whether the alpha-Gal epitopes were reduced or abolished in each consecutive concentration of recombinant alpha-galactosidase A by comparing the degree of the Griffonia simplicifolia isolectin B4 staining. As a result, the recombinant alpha-galactosidase A could remove cell surface alpha-Gals on porcine aortic valve and pericardial tissue as effectively as green coffee bean alpha-galactosidase.",M1
19939498,"Biochemical and molecular characterization of the antioxidative system of Coffea sp. under cold conditions in genotypes with contrasting tolerance.Low positive temperature (chilling) is frequently linked to the promotion of oxidative stress conditions, and is of particular importance in the <e>coffee</e> plant due to its severe impact on growth, development, photosynthesis and production. Nevertheless, some acclimation ability has been reported within the Coffea genus, and is possibly related to oxidative stress control. Using an integrated biochemical and molecular approach, the characterization of the antioxidative system of genotypes with different cold acclimation abilities was performed. Experiments were carried out using 1.5-year-old coffee seedlings of Coffea canephora cv. Apoatã, C. arabica cv. Catuaí, C. dewevrei and 2 hybrids, Icatu (C. arabicaxC. canephora) and Piatã (C. dewevreixC. arabica) subjected to a gradual cold treatment and a recovery period. Icatu showed the greatest ability to control oxidative stress, as reflected by the enhancement of several antioxidative components (Cu,Zn-SOD and APX activities; ascorbate, alpha-tocopherol and chlorogenic acids (CGAs) contents) and lower reactive oxygen species contents (H(2)O(2) and OH). Gene expression studies show that GRed, DHAR and class III and IV chitinases might also be involved in the cold acclimation ability of Icatu. Catuaí showed intermediate acclimation ability through the reinforcement of some antioxidative molecules, usually to a lesser extent than that observed in Icatu. On the other hand, C. dewevrei showed the poorest response in terms of antioxidant accumulation, and also showed the greatest increase in OH values. The difference in the triggering of antioxidative traits supports the hypothesis of its importance to cold (and photoinhibition) tolerance in Coffea sp. and could provide a useful probe to identify tolerant genotypes.",M1
19938339,"<e>Coffee</e> growers feel the heat.",M1
19933976,"Medical records documentation of constipation preceding Parkinson disease: A case-control study.OBJECTIVE: Parkinson disease (PD) may affect the autonomic nervous system and may cause constipation; however, few studies have explored constipation preceding the motor onset of PD. We investigated constipation preceding PD using a case-control study design in a population-based sample. METHODS: Using the medical records-linkage system of the Rochester Epidemiology Project, we identified 196 subjects who developed PD in Olmsted County, MN, from 1976 through 1995. Each incident case was matched by age (+/-1 year) and sex to a general population control. We reviewed the complete medical records of cases and controls in the medical records-linkage system to ascertain the occurrence of constipation preceding the onset of PD (or index year). RESULTS: Constipation preceding PD or the index year was more common in cases than in controls (odds ratio [OR] 2.48; 95% confidence interval [CI] 1.49 to 4.11; p = 0.0005). This association remained significant after adjusting for smoking and <e>coffee</e> consumption (ever vs never), and after excluding constipation possibly induced by drugs. In addition, the association remained significant in analyses restricted to constipation documented 20 or more years before the onset of motor symptoms of PD. Although the association was stronger in women than in men and in patients with PD with rest tremor compared with patients with PD without rest tremor, these differences were not significant. CONCLUSIONS: Our findings suggest that constipation occurring as early as 20 or more years before the onset of motor symptoms is associated with an increased risk of Parkinson disease.",M1
19928990,"Evaluation of kahweol and cafestol in <e>coffee</e> tissues and roasted coffee by a new high-performance liquid chromatography methodology.A reverse phase high-performance liquid chromatography (HPLC) method was developed for the simultaneous quantification of kahweol and cafestol in tissues of fresh fruits, leaves, and roasted coffee beans. The best resolution was obtained with isocratic elution of acetonitrile/water (55/45% v/v) and UV detection. A single sample preparation method carried out by direct saponification and extraction with organic solvent was standardized for all matrices. Good recovery (average of 99% for kahweol and 94% for cafestol), repeatability, and linearity were obtained. Detection limits of 2.3 and 3.0 mg/100 g were observed for kahweol and cafestol. The HPLC method was effective in quantifying these diterpenes in the different coffee matrices. The endosperm and perisperm of Coffea arabica cv. IAPAR 59 showed elevated amounts of kahweol as compared to the pericarp and leaves. On the other hand, cafestol was detected in all samples except in leaves from Coffea canephora cv. Apoat�?.",M1
