@RELATION C0009264_C0024117_C0009443

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2, M3}

@DATA
20572396,"[Analysis of the changes in the cellular populations of the pancreatic pseudocyst in an experiment]The purpose of the research was to study, using the quantitative methods, the cellular populations of neutrophilic granulocytes, macrophages, fibroblasts and lymphocytes in the connective tissue of the wall of the pancreatic pseudocyst. Local <e>cold</e> application to the pancreas of albino rat with the help of KCH 3A/B cryosurgical complex was used for the modeling of the pseudocyst. General decrease in the cell content in wall of the pseudocyst was detected together with the changes of predominant cell populations during the study. At days 14-21 of the experiment, the neutrophilic granulocytes were found to dominate, by day 30 the dominating cells were the macrophages, which were substituted by fibroblasts at day 45. The progressive increase of the number of lymphocytes was found throughout the the experiment.",M1
20568385,"Efficacy and tolerability of second- and third-generation antihistamines in the treatment of acquired <e>cold</e> urticaria: a meta-analysis.BACKGROUND: Acquired cold urticaria (ACU) is a form of physical urticaria that has been treated with first-generation antihistamines; there is a paucity of data regarding second- and third-generation antihistamines for the treatment of ACU. OBJECTIVE: To perform a systematic review of the literature to determine the efficacy of second- and third-generation antihistamines in the treatment of ACU. METHODS: Data were extracted via a MEDLINE search of the literature between 1950 and May 2009. We included double-blind, randomized, placebo-controlled studies comparing the treatment of patients with ACU with second- and third-generation antihistamine medications vs placebo. RESULTS: Overall, 98 patients were identified from 4 included studies. Two trials indicated that second- and third-generation antihistamines significantly eliminated the presence of wheals after treatment vs placebo (odds ratio [OR], 8.88; 95% confidence interval [CI], 4.35 to 18.13). Two trials demonstrated a reduction in wheal area after treatment with a second- or third-generation antihistamine compared with placebo (mean difference, -347.99 mm2; 95% CI, -489.43 to -206.54 mm2). Two trials demonstrated significant elimination of pruritus with second- or third-generation antihistamine treatment vs placebo (OR, 10.44; 95% CI, 4.39 to 24.84). All 4 studies assessed the tolerability of a second- or third-generation antihistamine vs placebo and found an increased rate of adverse events (OR, 3.04; 95% CI, 1.53 to 6.06), although the complaints were mild. CONCLUSIONS: The newer, less-sedating antihistamines seem to be effective in the treatment of ACU in terms of their ability to significantly reduce the presence of wheals and pruritus after cold exposure. These medications are usually well tolerated, with only mild adverse effects.",M1
20527297,"Changes in landing mechanics after <e>cold</e>-water immersion.The purpose of this study was to investigate the influence of cold-water immersion on kinematics and kinetics during a drop-landing task. On four separate occasions, 9 men performed drop-landings from a 0.6-m platform to a force platform following 30-min immersion to the hip-joint in thermoneutral water (control; 34 degrees C) and in cold water (20 degrees C) to the ankle (low level), knee (medium level), and hip (high level) joints. Sagittal plane kinematics and kinetics were determined. One-way repeated measures multivariate analysis of variance was used for statistical analysis. Compared to the control, the low-level condition had similar joint mechanics, the medium level showed 26% less ankle mechanical work (p = .003), and the high level showed 9% less vertical ground reaction force (p = .025) and 23% less ankle mechanical work (p = .023) with 18% greater trunk flexion (p = .024). In summary, the low-level cold-water immersion had no effect on landing mechanics. The medium- and high-level cold-water immersion resulted in a reduction in impact absorption at the ankle joint during landing. The increased trunk flexion after high-level immersion helped dissipate landing impact.",M1
20524441,"A randomized controlled trial for perioperative morbidity in microdebrider versus <e>cold</e> instrument dissection tonsillectomy.BACKGROUND: Tonsillectomy is a common procedure in children. It could produce moderate to severe post operative pain and morbidity. Preserving tonsillar capsule attached to pharyngeal constrictor muscle by microdebrider technique may reduce pain when compared to conventional cold dissection technique. OBJECTIVE: To compare the postoperative pain, perioperative, and postoperative morbidity between the microdebrider-assisted intracapsular tonsillectomy (MT) and cold instrument dissection tonsillectomy (CT). MATERIAL AND METHOD: Forty children with ages between 3-14 years old in Songklanagarind Hospital with tonsillar hypertrophy were randomly assigned to have MT and CT in each group. Data of perioperative morbidity, time to start taking food, LOS, treatment satisfaction, post operative pain, and amount of analgesia were recorded for 7 days. Post operative complication was also followed-up. RESULTS: There were no statistical significantly differences between groups in operation time, time to start taking food, LOS, and amount of postoperative analgesia and treatment satisfaction score. The MT had significantly more blood loss during operation (54.3 +/- 35.45 mL) than the CT (14.78 +/- 18.71 mL) (p &lt; 0.001). The MT had significantly less post operative pain score on postoperative day 2 (2.50 +/- 1.15 and 1.05 +/- 0.83) and 3 (1.70 +/- 0.80 and 1.05 +/- 0.76) (p &lt; 0.05) but no difference on day 0, 1, 4, 5, 6. Pain score after analgesia was significantly better in the MT on day 0 (2.45 +/- 0.94 and 3.40 +/- 1.47) (p = 0.024) but no difference on day 1-6. There were no significant differences in fentanyl use for break through pain, immediate and delayed complications between the groups. CONCLUSION: MT is an effective alternative procedure for children with tonsillar hypertrophy and results in improved postoperative pain but have more intraoperative blood loss.",M1
20526617,"Identification and fine mapping of a major quantitative trait locus originating from wild rice, controlling <e>cold</e> tolerance at the seedling stage.Cold tolerance at the seedling stage (CTSS) is an important trait affecting stable rice production in temperate climates and areas of high elevation. In this study, 331 single nucleotide polymorphism (SNP) markers were developed and used along with phenotypic evaluation to identify quantitative trait loci (QTLs) associated with CTSS from a mapping population of 184 F(2) plants derived from a cold tolerant wild rice, W1943 (Oryza rufipogon), and a sensitive indica cultivar, Guang-lu-ai 4 (GLA4). Three QTLs were detected on chromosomes 3, 10 and 11. A major locus, qCtss11 (QTL for cold tolerance at seedling stage), was located on the long arm of chromosome 11 explaining about 40% of the phenotypic variation. Introduction of the W1943 allele of qCtss11 to the GLA4 genetic background increased CTSS. Based on the phenotypic and genotypic assessment of advanced backcross progenies, qCtss11 was dissected as a single Mendelian factor. A high-resolution genetic map was constructed using 23 markers across the qCtss11 locus. As a result, qCtss11 was fine mapped to a 60-kb candidate region defined by marker AK24 and GP0030 on chromosome 11, in which six genes were annotated. Expression and resequence analyses of the six candidates supported the hypothesis that Os11g0615600 and/or Os11g0615900 are causal gene(s) of the CTSS.",M1
20519530,"Grueneberg ganglion neurons are finely tuned <e>cold</e> sensors.The Grueneberg ganglion is a newly appreciated nasal subsystem with neural connections to the olfactory forebrain, but its functional role has not been well defined. Here, we assess whether Grueneberg ganglion neurons (GGNs) function as thermosensors. By investigating the effect of acute temperature changes on the cytosolic Ca(2+) concentration of genetically labeled mouse GGNs (either gender), we demonstrate that GGNs are thermosensory neurons specialized to detect a temperature decline within a given temperature window. Furthermore, GGNs comprise a relatively homogeneous cell population with respect to temperature sensitivity. GGNs do not respond to ligands of the temperature-sensitive TRP channels TRPM8 and TRPA1, suggesting a novel mechanism for temperature sensing. One possibility is a cGMP-mediated mechanism, as GGNs express the receptor guanylyl cyclase GC-G, the cGMP-sensitive phosphodiesterase PDE2 and the cGMP-sensitive channel CNGA3. Surprisingly, Cnga3-null mice show normal cooling-induced Ca(2+) responses although cGMP-dependent Ca(2+) increases are absent in these mice. Rather, the cooling-induced Ca(2+) response of GGNs depends critically on the activity of a tetrodotoxin-sensitive voltage-gated sodium channel whereas the cGMP-dependent Ca(2+) signal does not. These findings establish the Grueneberg ganglion as a sensory organ mediating cold-evoked neural responses, possibly in conjunction with the sensing of other stress- or fear-related chemical social cues.",M1
20518169,"[Frozen shoulder due to <e>cold</e> damp treated with acupuncture and moxibustion on tender points]OBJECTIVE: To search for a better method for frozen shoulder due to cold damp. METHODS: Sixty cases of frozen shoulder were randomly divided into an acupuncture-moxibustion group (32 cases) and an acupuncture group (28 cases). Acupuncture was applied mainly at Jianyu (LI 15), Jianliao (TE 14) and Jianzhen (SI 9) in either group. In acupuncture-moxibustion group, moxibustion on tender points was supplemented. RESULTS: In acupuncture-moxibustion group, 7 cases were cured, 15 cases markedly effective, 9 cases improved and 1 case failed. The cured and markedly effective rate was 68.8% and the effective rate was 96.9%. In acupuncture group, 2 cases were cured, 9 cases markedly effective, 13 cases improved and 4 cases failed. The cured and markedly effective rate was 39.3% and the effective rate was 85.7%. The cured and markedly effective rate in acupuncture-moxibustion group was superior to that in acupuncture group (P &lt; 0.05) and there was no significant difference in the effective rate statistically between two groups (P &gt; 0.05). CONCLUSION: The clinical efficacy of acupuncture combined with moxibustion on tender points is superior to that of simple acupuncture on frozen shoulder due to cold damp.",M1
20516198,"Break-induced replication requires all essential DNA replication factors except those specific for pre-RC assembly.Break-induced replication (BIR) is an efficient homologous recombination (HR) pathway employed to repair a DNA double-strand break (DSB) when homology is restricted to one end. All three major replicative DNA polymerases are required for BIR, including the otherwise nonessential Pol32 subunit. Here we show that BIR requires the replicative DNA helicase (Cdc45, the GINS, and Mcm2-7 proteins) as well as Cdt1. In contrast, both subunits of origin recognition complex (ORC) and Cdc6, which are required to create a prereplication complex (pre-RC), are dispensable. The Cdc7 kinase, required for both initiation of DNA replication and post-replication repair (PRR), is also required for BIR. Ubiquitination and sumoylation of the DNA processivity clamp PCNA play modest roles; in contrast, PCNA alleles that suppress pol32Delta's <e>cold</e> sensitivity fail to suppress its role in BIR, and are by themselves dominant inhibitors of BIR. These results suggest that origin-independent BIR involves cross-talk between normal DNA replication factors and PRR.",M1
20501441,"Bifidobacterium bifidum improves intestinal integrity in a rat model of necrotizing enterocolitis.Neonatal necrotizing enterocolitis (NEC) is a major cause of morbidity and mortality in premature infants. Oral administration of probiotics has been suggested as a promising strategy for prevention of NEC. However, little is known about the mechanism(s) of probiotic-mediated protection against NEC. The aim of this study was to evaluate the effects of Bifidobacterium bifidum treatment on development of NEC, cytokine regulation, and intestinal integrity in a rat model of NEC. Premature rats were divided into three groups: dam fed (DF), hand fed with formula (NEC), or hand fed with formula supplemented with 5 x 10(6) CFU B. bifidum per day (B. bifidum). All groups were exposed to asphyxia and <e>cold</e> stress to develop NEC. Intestinal injury, mucin and trefoil factor 3 (Tff3) production, cytokine levels, and composition of tight junction (TJ) and adherens junction (AJ) proteins were evaluated in the terminal ileum. B. bifidum decreased the incidence of NEC from 57 to 17%. Increased levels of IL-6, mucin-3, and Tff3 in the ileum of NEC rats was normalized in B. bifidum treated rats. Reduced mucin-2 production in the NEC rats was not affected by B. bifidum. Administration of B. bifidum normalized the expression and localization of TJ and AJ proteins in the ileum compared with animals with NEC. In conclusion, administration of B. bifidum protects against NEC in the neonatal rat model. This protective effect is associated with reduction of inflammatory reaction in the ileum, regulation of main components of mucus layer, and improvement of intestinal integrity.",M1
20501041,"Contemporary formulation and distribution practices for <e>cold</e>-filled acid products: Australian industry survey and modeling of published pathogen inactivation data.A survey of 12 Australian manufacturers indicated that mild-tasting acids and preservatives are used to partially replace acetic acid in cold-filled acid dressings and sauces. In contrast to traditional ambient temperature distribution practices, some manufacturers indicated that they supply the food service sector with cold-filled acid products prechilled for incorporation into ready-to-eat foods. The Comité des Industries des Mayonnaises et Sauces Condimentaires de la Communauté Economique Européenne (CIMSCEE) Code, a formulation guideline used by the industry to predict the safety of cold-filled acid formulations with respect to Salmonella enterica and Escherichia coli, does not extend to the use of acids and preservatives other than acetic acid nor does it consider the effects of chill distribution. We found insufficient data in the published literature to comprehensively model the response of S. enterica and E. coli to all of the predictor variables (i.e., pH, acetic acid, NaCl, sugars, other acids, preservatives, and storage temperature) of relevance for contemporary cold-filled acid products in Australia. In particular, we noted a lack of inactivation data for S. enterica at aqueous-phase NaCl concentrations of &gt;3% (wt/wt). However, our simple models clearly identified pH and 1/absolute temperature of storage as the most important variables generally determining inactivation. To develop robust models to predict the effect of contemporary formulation and storage variables on product safety, additional empirical data are required. Until such models are available, our results support challenge testing of cold-filled acid products to ascertain their safety, as suggested by the CIMSCEE, but suggest consideration of challenging with both E. coli and S. enterica at incubation temperatures relevant to intended product distribution temperatures.",M1
20496861,"Effects of dietary energy intake and <e>cold</e> exposure on kinetics of plasma phenylalanine, tyrosine and protein synthesis in sheep.An isotope dilution method of [2H5]phenylalanine (Phe) and [2H2]tyrosine (Tyr) was used to determine the effects of metabolisable energy (ME) intake and cold exposure on plasma Phe and Tyr turnover rates in sheep. Whole body protein synthesis (WBPS) was calculated with the [2H5]Phe model. Eight adult sheep were assigned to two dietary treatments receiving the same amount of crude protein and either 515 or 828 kJ x kg BW(-0.75) x d(-1) of ME (Me-ME diet and Hi-ME diet, respectively) with a crossover design for two 28 d periods. The sheep were exposed from a thermoneutral environment (23 +/- 1 degrees C) to a cold environment (2 +/- 1 to 4 +/- 1 degrees C) for 6 d for each dietary treatment. The primed-continuous infusion method of isotope dilution was conducted in both environmental temperatures. Plasma Phe turnover rate (PheTR) tended to be greater and plasma Tyr turnover rate (TyrTR) was greater (p = 0.03) for the Hi-ME diet compared with the Me-ME diet. Plasma PheTR increased (p = 0.04) and plasma TyrTR tended to increase during cold exposure. Whole body protein synthesis tended to be greater for the Hi-ME diet compared with the Me-ME diet and increased (p = 0.03) during cold exposure compared to the thermoneutral environment, but no interaction was detected. It was concluded that in sheep, plasma PheTR and WBPS (as determined by the [2H5]Phe model) tended to be influenced by and plasma TyrTR was influenced by ME intake. Further, plasma PheTR and WBPS increased and plasma TyrTR tended to increase during cold exposure.",M1
20491301,"Hot or <e>cold</e>? The basics of tempered water.",M1
20463235,"Functional characterization of alpha9-containing cholinergic nicotinic receptors in the rat adrenal medulla: implication in stress-induced functional plasticity.An increase in circulating adrenal catecholamine levels constitutes one of the mechanisms whereby organisms cope with stress. Accordingly, stimulus-secretion coupling within the stressed adrenal medullary tissue undergoes persistent remodeling. In particular, cholinergic synaptic neurotransmission between splanchnic nerve terminals and chromaffin cells is upregulated in stressed rats. Since synaptic transmission is mainly supported by activation of postsynaptic neuronal acetylcholine nicotinic receptors (nAChRs), we focused our study on the role of alpha9-containing nAChRs, which have been recently described in chromaffin cells. Taking advantage of their specific blockade by the alpha-conotoxin RgIA (alpha-RgIA), we unveil novel functional roles for these receptors in the stimulus-secretion coupling of the medulla. First, we show that in rat acute adrenal slices, alpha9-containing nAChRs codistribute with synaptophysin and significantly contribute to EPSCs. Second, we show that these receptors are involved in the tonic inhibitory control exerted by cholinergic activity on gap junctional coupling between chromaffin cells, as evidenced by an increased Lucifer yellow diffusion within the medulla in alpha-RgIA-treated slices. Third, we unexpectedly found that alpha9-containing nAChRs dominantly (&gt;70%) contribute to acetylcholine-induced current in <e>cold</e>-stressed rats, whereas alpha3 nAChRs are the main contributing channels in unstressed animals. Consistently, expression levels of alpha9 nAChR transcript and protein are overexpressed in cold-stressed rats. As a functional relevance, we propose that upregulation of alpha9-containing nAChR channels and ensuing dominant contribution in cholinergic signaling may be one of the mechanisms whereby adrenal medullary tissue appropriately adapts to increased splanchnic nerve electrical discharges occurring in stressful situations.",M1
20462418,"Self-reported <e>cold</e> sensitivity in normal subjects and in patients with traumatic hand injuries or hand-arm vibration syndrome.BACKGROUND: Cold sensitivity is a common and disabling complaint following hand injuries. The main purpose of this study was to describe self-reported consequences of cold sensitivity and the association with disability and health-related quality of life in patients with hand injuries or hand-arm vibration syndrome (HAVS) and in normal subjects. METHODS: Responses to the Cold Intolerance Symptom Severity (CISS) questionnaire, Potential Work Exposure Scale (PWES), Disability of the Arm, Shoulder and Hand (DASH) and Short-Form 36 questionnaire (SF-36) were investigated in normal subjects (n = 94), hand injured patients (amputation and nerve injuries, n = 88) and patients with HAVS (n = 30). The results are presented as median (range), percent and mean deviation from norms. The Kruskal Wallis Test or Mann-Whitney U-Test were used to identify significant differences between multiple groups or subgroups. The Spearman rank correlation was used to study the relationship between cold sensitivity and disability. RESULTS: Abnormal cold sensitivity (CISS score &gt; 50) was seen in 75% and 45% of patients with HAVS and a traumatic hand injury, respectively. Patients were significantly more exposed to cold in their work environment than the normal population, with a consequently negative effect on work ability due to cold sensitivity. Patients with abnormal cold sensitivity were more seriously disabled and had a poorer health-related quality of life than patients with normal cold sensitivity [higher DASH scores and e.g. significantly larger mean deviation from norms in the subscales Role Physical and Bodily Pain (SF-36)]. CONCLUSION: Severe and abnormal cold sensitivity may have a profound impact on work capacity, leisure, disability and health-related quality of life. It is frequently seen in patients with traumatic hand injuries and particularly apparent in patients with HAVS.",M1
20453914,"Comparison of effectiveness of wood decay fungi maintained by annual subculture on agar and stored in sterile water for 18 years.Fourteen isolates of basidiomycete decay fungi (12 species) were maintained for 18 years on agar slants transferred annually and also stored as mycelium-agar cores under <e>cold</e> sterile water without subculture. Isolates stored by each method were evaluated for decay effectiveness using a standard laboratory accelerated soil-block decay test. Effectiveness was measured by mean percent mass loss of wood blocks. There was no significant difference (p &lt; or = 0.05) in decay effectiveness between storage methods for 12 of the fungus isolates tested. For the 2 fungi that showed a significant difference in the amount of decay with respect to storage method, 1 fungus (Fomitopsis lilacinogilva) produced more decay by the strain maintained as an agar slant, while the other fungus (Trametes versicolor) produced more decay by the strain stored in sterile water. Results suggested that storage under sterile water is an easy and effective method to store isolates of decay fungi for long periods, but as with any microbial storage method, careful monitoring of isolates upon revival is necessary.",M1
20436476,"Transient <e>cold</e> shock enhances zinc-finger nuclease-mediated gene disruption.Zinc-finger nucleases (ZFNs) are powerful tools for editing the genomes of cell lines and model organisms. Given the breadth of their potential application, simple methods that increase ZFN activity, thus ensuring genome modification, are highly attractive. Here we show that transient hypothermia generally and robustly increased the level of stable, ZFN-induced gene disruption, thereby providing a simple technique to enhance the experimental efficacy of ZFNs.",M1
20436470,"Substitutions in woolly mammoth hemoglobin confer biochemical properties adaptive for <e>cold</e> tolerance.We have genetically retrieved, resurrected and performed detailed structure-function analyses on authentic woolly mammoth hemoglobin to reveal for the first time both the evolutionary origins and the structural underpinnings of a key adaptive physiochemical trait in an extinct species. Hemoglobin binds and carries O(2); however, its ability to offload O(2) to respiring cells is hampered at low temperatures, as heme deoxygenation is inherently endothermic (that is, hemoglobin-O(2) affinity increases as temperature decreases). We identify amino acid substitutions with large phenotypic effect on the chimeric beta/delta-globin subunit of mammoth hemoglobin that provide a unique solution to this problem and thereby minimize energetically costly heat loss. This biochemical specialization may have been involved in the exploitation of high-latitude environments by this African-derived elephantid lineage during the Pleistocene period. This powerful new approach to directly analyze the genetic and structural basis of physiological adaptations in an extinct species adds an important new dimension to the study of natural selection.",M1
20427717,"The molecular basis of aerobic metabolic remodeling differs between oxidative muscle and liver of threespine sticklebacks in response to <e>cold</e> acclimation.We sought to determine the molecular basis of elevations in aerobic metabolic capacity in the oxidative muscle and liver of Gasterosteus aculeatus in response to cold acclimation. Fishes were cold- or warm-acclimated for 9 wk and harvested on days 1, 2, and 3 and weeks 1, 4, and 9 of cold acclimation at 8 degrees C, and on day 1 and week 9 of warm acclimation at 20 degrees C. Mitochondrial volume density was quantified using transmission electron microscopy and stereological techniques in warm- and cold-acclimated fishes harvested after 9 wk at 20 or 8 degrees C. Changes in aerobic metabolic capacity were assessed by measuring the maximal activity of citrate synthase (CS) and cytochrome-c oxidase (COX) in fishes harvested throughout the acclimation period. Transcript levels of the aerobic metabolic genes CS, COXIII, and COXIV, and known regulators of mitochondrial biogenesis, including peroxisome proliferator-activated receptor-gamma coactivators-1alpha and -1beta (PGC-1alpha and PGC-1beta), nuclear respiratory factor-1 (NRF-1), and mitochondrial transcription factor-A were measured in fishes harvested throughout the acclimation period using quantitative real-time PCR. The maximal activities of CS and COX increased in response to cold acclimation in both tissues, but mitochondrial volume density only increased in oxidative muscle (P &lt; 0.05). The time course for changes in aerobic metabolic capacity differed between liver and muscle. The expression of CS increased within 1 wk of cold acclimation in liver and was correlated with an increase in mRNA levels of NRF-1 and PGC-1beta. Transcript levels of aerobic metabolic genes increased later in oxidative muscle, between weeks 4 and 9 of cold acclimation and were correlated with an increase in mRNA levels of NRF-1 and PGC-1alpha. These results show that aerobic metabolic remodeling differs between liver and muscle in response to cold acclimation and may be triggered by different stimuli.",M1
20417398,"Synthesis of cyclopropane fatty acids in Lactobacillus helveticus and Lactobacillus sanfranciscensis and their cellular fatty acids changes following short term acid and <e>cold</e> stresses.An implemented GC method to separate and quantify the cell cyclopropane fatty acids lactobacillic (C19cyc11) and dehydrosterculic (C19cyc9) was used to study the adaptive response to sublethal acid and cold stresses in Lactobacillus helveticus and Lactobacillus sanfranciscensis. The comparison of the composition of cellular fatty acids of the two strains and their changes after 2 h of stress exposure under micro-aerobic and anaerobic conditions indicated that the aerobic biosynthetic pathway for unsaturated fatty acids is prevalent in L. sanfranciscensis, while the anaerobic pathway is prevalent in L. helveticus. Indeed in the latter strain, in the presence of a source of oleic acid and under micro-aerobic conditions, C18:1n11 and its post-synthetic derivative C19cyc11 accounted for overall proportion ranging from 52 to 28% of the total FAs. On the other hand L. sanfranciscensis synthesizes by aerobic pathway C18:1n9 and transforms it to C19cyc9. However in this species the cumulative level of these two FAs did not exceed 30%. The relevant proportion of dodecanoic acid in the latter species suggests that carbon chain shortening is the principal strategy of L. sanfranciscensis to modulate fluidity or chemico-physical properties of the membranes.",M1
20410663,"Profiling of mitochondrial transcriptome in germinating wheat embryos and seedlings subjected to <e>cold</e>, salinity and osmotic stresses.Mitochondrial functions are potential targets of abiotic stresses that are major environmental factors limiting plant development and productivity. To evaluate mitochondrial responses to abiotic stresses we studied mitochondrial transcriptome profiles at the early stages of wheat development after imbibition under normal and induced stress conditions. Three stresses given were low temperature (4 degrees C), high salinity (0.2 M NaCl) and high osmotic potential (0.3 M mannitol). All these stresses greatly reduced growth but dramatically increased respiration both via the cytochrome and alternative pathways. Macroarray analysis of the mitochondrial transcriptome revealed that most of the changes in transcript levels were stress specific but groups of genes responded commonly to different stresses. Under 3-days continuous stresses, 13 genes showed low temperature specific responses with either up- or down-regulation, while 14 and 23 genes showed responses specific to high salinity and high osmotic potential, respectively. On the other hand, 13 genes showed common responses, among which cob and ccmFn increased their transcript levels while transcripts of the other genes including nad6, atp4 and atp9 decreased. The differential profiles of mitochondrial transcriptome revealed by the macroarray analysis were verified by the quantitative reverse transcriptase PCR analysis. Taken together, three among five nuclear-encoded mitochondria-targeted genes included in the array showed decreases under the stresses, while MnSOD and AOX increased their transcript amounts. Our results indicated the existence of common and different regulatory mechanisms that can sense different abiotic stresses and modulate both nuclear and mitochondrial gene expression in germinating wheat embryos and seedlings.",M1
20410479,"Inhibition of brown adipose tissue thermogenesis by neurons in the ventrolateral medulla and in the nucleus tractus solitarius.Neurons in the ventrolateral medulla (VLM) and in the nucleus tractus solitarius (NTS) play important roles in the regulation of cardiovascular and other autonomic functions. In the present study, we demonstrate an inhibition of brown adipose tissue (BAT) thermogenesis evoked by activation of neurons in the VLM, as well as by neurons in the intermediate NTS, of chloralose/urethane-anesthetized, artificially ventilated rats. Activation of neurons in either rostral VLM or caudal VLM with N-methyl-d-aspartate (12 nmol) reversed the <e>cold</e>-evoked increase in BAT sympathetic nerve activity (SNA), BAT temperature, and end-expired CO(2). Disinhibition of neurons in either VLM or NTS with the GABA(A) receptor antagonist, bicuculline (30 pmol), reversed the increases in BAT SNA, BAT temperature, and end-expired CO(2) that were elicited 1) by cold defense; 2) during the febrile model of nanoinjection of prostaglandin E(2) into the medial preoptic area; 3) by activation of neurons in the dorsomedial hypothalamus or in the rostral raphe pallidus (rRPa); or 4) by the micro-opioid receptor agonist fentanyl. Combined, but not separate, inhibitions of neurons in the VLM and in the NTS, with the GABA(A) receptor agonist, muscimol (120 pmol/site), produced increases in BAT SNA, BAT temperature, and expired CO(2), which were reversed by nanoinjection of glycine (30 nmol) into the rRPa. These findings suggest that VLM and NTS contain neurons whose activation inhibits BAT thermogenesis, that these neurons receive GABAergic inputs that are active under these experimental conditions, and that neurons in both sites contribute to the tonic inhibition of sympathetic premotor neuronal activity in the rRPa that maintains a low level of BAT thermogenesis in normothermic conditions.",M1
20410473,"Decreased temperature as a signal for regulation of heat shock protein expression in anoxic brain and heart: focus on  Expression of heat shock proteins in anoxic crucian carp (Carassius carassius): support for <e>cold</e> as a preparatory cue for anoxia .",M1
20409274,"Seasonal and developmental timing of flowering.The coordination of the timing of flowering with seasonal and development cues is a critical life-history trait that has been shaped by evolution to maximize reproductive success. Decades of studying many plant species have revealed several of the fascinating systems that plants have evolved to control flowering time: such as the perception of day length in leaves, which leads to the production of a mobile signal, florigen, that promotes flowering at the shoot apical meristem; the vernalization process in which exposure to prolonged <e>cold</e> results in meristem competence to flower; and the juvenile to adult phase transition. Arabidopsis research has contributed greatly to understanding these systems at a molecular level.",M1
20393269,"Acute pressure block of the sciatic nerve relieves clinical pain but not <e>cold</e> pressor pain.OBJECTIVES: Acute pressure applied to the sciatic nerve has been recently reported to offer immediate short-term pain relief in patients with various diseases. This study examined the analgesic effect of this novel method on cold pressor pain compared with clinical pain. METHODS: We conducted 2 randomized, parallel, group studies. The cold pressor study involved 152 undergraduate students and the clinical study included 22 cancer patients. Acute pressure of 11 to 20 kg was simultaneously applied to the sciatic nerves at the back of both thighs for 2 minutes. The placebo intervention was pressure applied to parallel regions on the fronts of the thighs. Next, patients rated pain attributable to their diseases and the students evaluated pain after their hands were submerged in cold water. RESULTS: Acute pressure applied to the sciatic nerve produced immediate clinical pain relief, but did not alleviate cold pressor pain. DISCUSSION: Our study indicated that cold pressor pain and clinical pain responded differently to acute pressure blockade of the sciatic nerve. Our findings indicate that caution should be exercised when attempting to extrapolate cold pressor pain findings to clinical pain.",M1
