@RELATION C0009563_C1321605

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20551758,"Rectoanal reflexes and sensorimotor response in rectal hyposensitivity.PURPOSE: Rectal hyposensitivity commonly causes anorectal disorders, but its underlying mechanism is unknown. We hypothesized that subjects with rectal hyposensitivity have altered rectoanal reflexes and/or sensorimotor response. METHODS: We performed stepwise graded balloon distensions of the rectum in 30 subjects with constipation and rectal hyposensitivity and in 23 healthy controls. Thresholds for first sensation, desire, and urgency to defecate were assessed. The lowest balloon volume that evoked rectoanal inhibitory reflex, rectoanal contractile reflex, and sensorimotor response and manometric characteristics and rectal <e>compliance</e> were examined. RESULTS: Reflex responses were present in all subjects. The balloon volumes were higher in subjects with rectal hyposensitivity for inducing rectoanal inhibitory reflex (P = .008) and contractile reflex (P = .001) compared with controls. All controls showed a sensorimotor response, but in 13 hyposensitive subjects (43%) the onset of sensorimotor response was associated with absent sensation and in 17 (57%), with a transient rectal sensation. Thresholds for eliciting sensorimotor response were similar between patients and controls, but the amplitude, duration, and magnitude of response were higher (P &lt; .05) in patients. Rectal compliance was similar between controls and hyposensitive subjects with transient sensation but higher (P = .001) in subjects with absent sensation. CONCLUSIONS: Constipated subjects with rectal hyposensitivity demonstrate higher thresholds for inducing rectoanal reflexes and abnormal characteristics of sensorimotor response. These findings suggest either disruption of afferent gut-brain pathways or rectal wall dysfunction. These altered features may play a role in the pathogenesis of bowel dysfunction in rectal hyposensitivity.",M1
20514984,"Reduced arterial <e>compliance</e> associated with metabolic syndrome in Chinese children and adolescents.OBJECTIVE: To explore the metabolic syndrome and its association with arterial compliance in Chinese children and adolescents. METHODS: 337 participants aged 6 to 18 years with males accounted for 55.8% were grouped according to their traits of metablic syndrome. Anthropometry, blood pressure, fasting plasma glucose, insulin and serum lipid profile were measured. Homeostasis model was assessed and insulin resistance (HOMA-IR) index was measured and calculated for estimating individual insulin resistance. Arterial compliance was also measured using digital pulse wave analyzing method (Micro medical, London), and stiffness index was calculated. RESULTS: The stiffness index in participants with metablic syndrome was significant higher than that in participants with no riskof metablic syndrome [(7.69 +/- 1.63) vs (6.25 +/- 0.86) m/s, P &lt; 0.01] and stiffness index and HOMA-IR were progressively increased with the increase of traits of metablic syndrom (P for linear trend &lt; 0.001). After gender, age, and pubertal development were adjusted, both traits of metablic syndrome and HOMA-IR were correlated positively with stiffness index (both P &lt; 0.05). CONCLUSION: The clustering of metablic syndrome was closely associated with risk at increased arterial stiffness in Chinese children and adolescents. It was suggested that arterial compliance assessment of children and adolescents might be an important measure for prevention of cardiovascular diseases.",M1
20452485,"Effects of magnesium on central arterial <e>compliance</e> in preeclampsia.OBJECTIVE: The objective of the study was to investigate the effect of MgSO4 infusion on central arterial compliance, using radial artery applanation tonometry in women with preeclampsia. STUDY DESIGN: Seventy women with preeclampsia were prospectively recruited. Radial pulse waveforms were obtained and the aortic waveforms constructed. The arterial compliance surrogates, augmentation pressure (AP) and augmentation index (AIx-75), were derived from the aortic waveform and then compared: prior to MgSO4 (t1), 1 hour after MgSO4 bolus (t2), 4 hours after MgSO4 infusion (t3), and 24 hours after MgSO4 cessation (t4). Statistical analysis was performed using differences of least squared means with Tukey Kramer adjustments. RESULTS: The AP and AIx-75 at t2-t4 were significantly lower compared with t1, with the greatest decrease in arterial stiffness at t3 (P&lt;.05). CONCLUSION: In preeclampsia, MgSO4 improved central arterial compliance. This effect was most exaggerated after 4 hours of infusion and remained 24 hours following MgSO4 completion, suggesting either a sustained arterial compliance effect or resolution of the vasoconstrictive effect of preeclampsia.",M1
20421337,"Cardiovascular risk factors and arterial rigidity are similar in asymptomatic normocalcemic and hypercalcemic primary hyperparathyroidism.OBJECTIVE: It is still uncertain whether mild primary hyperparathyroidism (PHPT) carries the same risk for increased cardiovascular (CV) morbidity as the more severe symptomatic form. In recent years, the even more subtle normocalcemic (NC) variant is being increasingly recognized. We sought to compare the prevalence of CV risk factors in patients with NC- and hypercalcemic (HC)-PHPT, and to examine whether they differ on a battery of non-invasive vascular parameters. DESIGN/SUBJECTS/METHODS: A retrospective study of two cohorts of patients with PHPT in a referral center: 32 subjects with NC-PHPT and 81 subjects with HC-PHPT, compared for the presence of clinical and biochemical risk factors, and CV morbidity. Non-invasive parameters of arterial stiffness (augmentation index; pulse wave velocity; and vascular <e>compliance</e> indices, C1 and C2) were extracted from the data of gender- and age-matched subsets of these patients, and were related to those of a group of matched control subjects. RESULTS: Despite a similar prevalence of hypertension (approximately 62%), hyperlipidemia (approximately 30%), and impaired glucose metabolism in both PHPT groups, CV or cerebrovascular disease was more common in the HC-PHPT group (24.7 vs 3.1%, P=0.007). Arterial stiffness parameters did not differ in the three groups, and were unrelated to serum calcium or parathyroid hormone concentration. CONCLUSIONS: NC-PHPT and HC-PHPT subjects exhibit similar high rates of traditional CV risk factors, and have comparable indices of arterial stiffness. The lower clinical CV morbidity observed with NC-PHPT remains unexplained, and requires confirmation. Until then, the CV risk associated with NC-PHPT should not be underestimated.",M1
20415700,"Pulse wave velocity and augmentation index, but not intima-media thickness, are early indicators of vascular damage in hypercholesterolemic children.BACKGROUND: Arterial stiffness is an important determinant of cardiovascular risk. It is associated with several cardiovascular risk factors, including hypertension, diabetes and cigarette smoking. However, there are conflicting data about the relationship between arterial stiffness and hypercholesterolemia. Furthermore, augmentation index (AIx), a measure of systemic arterial stiffness, has not been previously investigated in hypercholesterolemic (HCh) children. Aim of our study was to evaluate local and systemic arterial stiffness as well as carotid intima-media thickness (IMT) in HCh children and also to investigate the relation between serum cholesterol levels and arterial stiffness. MATERIALS AND METHODS: We determined lipid profile, body mass index, blood pressure, heart rate, carotid IMT and several arterial stiffness parameters, as beta-index, elastic modulus (E(p)), arterial <e>compliance</e> (AC), pulse wave velocity (PWV) and AIx, in 44 untreated HCh children (mean age 10.7 +/- 2.8 years; 18 with familial hypercholesterolemia, FH, and 26 with primary hypercholesterolemia, PHC) and 18 age- and sex-matched controls. HCh children never received any medication, including antihypertensive and lipid lowering drugs. RESULTS: Respect to controls and to PHC, FH had significantly higher (P &lt; 0.001) beta-index (5.22 +/- 1.13 vs. 3.13 +/- 0.74 and 3.60 +/- 1.02), PWV (4.72 +/- 0.72 m s(-1) vs. 3.66 +/- 0.55 m s(-1) and 4.10 +/- 0.67 m s(-1)), AIx (3.55 +/- 3.97% vs. -4.43 +/- 4.09% and 0.61 +/- 2.39%) and E(p) (64.4 +/- 19.6 kPa vs. 36.2 +/- 11.3 kPa and 42.9 +/- 13.1), whereas AC (1.25 +/- 0.48 mm(2) kPa(-1) vs. 1.9 +/- 0.43 mm(2) kPa(-1) and 1.62 +/- 0.43 mm(2) kPa(-1)) was lower (P &lt; 0.001). There was no significant difference in carotid IMT and blood pressure values between the groups. The multiple regression analysis showed a significant association of arterial stiffness values with plasma cholesterol levels (P &lt; 0.0001). CONCLUSION: Our findings show that local and systemic arterial stiffness are increased in asymptomatic, normotensive HCh children, suggesting that HCh plays a key role in arterial mechanical impairment since the paediatric age.",M1
20400137,"Detrusor <e>compliance</e> changes after bladder neck sling without augmentation in children with neurogenic urinary incontinence.PURPOSE: We reviewed preoperative, and initial and final postoperative urodynamic testing in consecutive children undergoing bladder neck sling without augmentation for neurogenic urinary incontinence to determine if progressive loss of compliance occurs. MATERIALS AND METHODS: We assessed consecutive patients with neurogenic outlet incompetence who underwent 360-degree tight fascial wrap around the bladder neck with appendicovesicostomy but no augmentation. This population comprised all patients undergoing outlet surgery between 2002 and 2007. Inclusion criteria were initial urodynamic test within 1 year postoperatively and final urodynamic test at least 18 months postoperatively. RESULTS: A total of 26 patients met inclusion criteria. Most patients (73%) had an acontractile bladder with detrusor pressures less than 25 cm H(2)O preoperatively. Initial postoperative urodynamic test at a mean of 7 months was most predictive of subsequent urodynamic findings. Eight patients (31%) had increased detrusor pressures and/or uninhibited contractions postoperatively. Six patients increased anticholinergic therapy dose. At a mean of 39 months urodynamic patterns were either stable or improved in all patients. CONCLUSIONS: Progressive compliance loss was not observed after bladder neck sling without augmentation. Postoperative increases in detrusor pressure and/or uninhibited contractions within 1 year postoperatively should prompt review of anticholinergic therapy rather than enterocystoplasty.",M1
20368218,"Elastic properties and structure of the radial artery in patients with type 2 diabetes.Alterations of elastic properties may contribute to the accelerated atherosclerosis in patients with T2D. Little is known, however, about radial artery distensibility in this patient group. A total of 19 patients with T2D and 19 controls were investigated.An echotracking system coupled to a plethysmograph was used to assess the morphologic and elastic properties of radial artery. Distensibility and <e>compliance</e> were evaluated using Langewouters' equations. Distensibility and compliance did not differ significantly in patients with diabetes compared with controls. In contrast, radial IMT and WCSA were significantly higher in patients with T2D than in controls. Multiple regression analyses revealed a significant association between SBP and IMT (r(2) = 0.40, p&lt;0.001) as well as WCSA (r = 0.54; r(2) = 0.30; p&lt;0.001 ) in individuals with diabetes. In conclusion, distensibility and compliance of the radial artery are not reduced in patients with T2D. In contrast, radial IMT and WCSA are significantly higher in patients with T2D than in controls.These modifications are chiefly and positively related to SBP.",M1
20363422,"Endoscopic balloon dilation for obstructive colorectal cancer: a basic study on morphologic and pathologic features associated with perforation.BACKGROUND: The use of endoscopic dilation and a self-expandable stent for colorectal cancer (CRC) presenting with a stricture or obstruction, either prior to surgery or as a palliative measure (an alternative to colostomy), causes perforation with relative high incidence (1%-17%). OBJECTIVE: To experimentally investigate risk factors associated with perforation in excised CRC specimens. DESIGN: Experimental study. SETTING: Ex vivo experiment on freshly excised human colon cancer specimens at an academic hospital. PATIENTS: This study involved 47 patients with strictured CRCs of &lt;15 mm in internal diameter as assessed by a preoperative contrast enema. INTERVENTION: Immediately after surgical resection, a balloon with a diameter of 18 mm was placed in the stricture. The balloon was inflated slowly with hydrostatic pressure over 1 minute and kept at the maximum diameter for 1 minute. MAIN OUTCOME MEASUREMENTS: Correlations between macroscopic perforation and 20 items, including morphological and histopathological characteristics. RESULTS: Perforation occurred in 8 of 47 (17.0%) CRC specimens. Four items showed statistically significant (P &lt; .05) correlations with perforation: peritumoral proliferation of collagen fibers (relative area &gt; or =23.9% in the visual field), annularity of the tumor, severe stricture (&lt;7.9 mm), and fewer residual smooth muscle cells in the muscularis propria, reflecting tumor encroachment. The best predictor of perforation was a combination of severe stricture and pronounced peritumoral proliferation of collagen fibers. LIMITATIONS: An uncontrolled study with a small number of patients. CONCLUSION: Histopathological and morphological items associated with a decrease in elastic <e>compliance</e> were more important as predictors of perforation than dilation procedure parameters, such as balloon pressure.",M1
20331827,"Venous elastography: validation of a novel high-resolution ultrasound method for measuring vein <e>compliance</e> using finite element analysis.Ultrasonography for the noninvasive assessment of tissue properties has enjoyed widespread success. With the growing emphasis in recent years on arteriovenous fistulae (AVFs) for dialysis vascular access in patients with end-stage renal disease, and on reducing AVF failures, there is increasing interest in ultrasound for the preoperative evaluation of the mechanical and elastic properties of arteries and veins. This study used high-resolution ultrasound with phase-sensitive speckle tracking to obtain in vivo vein elasticity measurements during dilation. The results of this novel ultrasound technique were then compared to a computer model of venous strain. The computer model and ultrasound analysis of the vessel wall demonstrated internally consistent positive and negative longitudinal strain values as the vein wall underwent dilation. These results support further investigation of the use of phase-sensitive speckle tracking for ultrasound venous mapping for preoperative vascular access evaluation.",M1
20206806,"Gender and ethnic differences in arterial <e>compliance</e> in patients with intermittent claudication.OBJECTIVE: To assess the gender and ethnic differences in arterial compliance in patients with intermittent claudication. METHODS: A total of 114 patients participated, including 38 Caucasian men, 32 Caucasian women, 16 African American men, and 28 African American women. Patients were assessed on large artery elasticity index (LAEI), small artery elasticity index (SAEI), age, weight, body mass index, ankle-brachial index (ABI), smoking status, and metabolic syndrome components. RESULTS: Group differences were found for LAEI (P = .042), SAEI (P = .019), body mass index (P = .020), prevalence of elevated fasting glucose (P = .001), and prevalence of abdominal obesity (P = .025). Significant covariates for LAEI included age (P = .0002) and elevated triglycerides (P = .0719). LAEI (units = 10 mL x mm Hg) adjusted for age and triglycerides was 39% lower (P = .0005) in African Americans (11.4 +/- .90; mean +/- SE) than in Caucasians (15.8 +/- 0.72), whereas no significant difference (P = .7904) existed between men (13.8 +/- 0.81) and women (13.5 +/- 0.79). Significant covariates for SAEI included age (P = .0001), abdominal obesity (P = .0030), and elevated blood pressure (P = .0067). SAEI (units = 100 mL x mm Hg) adjusted for age, abdominal obesity, and elevated blood pressure was 32% lower (P = .0007) in African-Americans (2.8 +/- 0.3) than in Caucasians 4.1 +/- 0.2), and was 18% lower (P = .0442) in women (3.1 +/- 0.2) than in men (3.8 +/- 0.2). CONCLUSION: African American patients with intermittent claudication have more impaired macrovascular and microvascular function than Caucasian patients, and women have more impaired microvascular function than men. These ethnic and gender differences in arterial compliance are evident even though ABI was similar among groups, suggesting that arterial compliance provides unique information to quantify vascular impairment in patients with intermittent claudication.",M1
