@RELATION C0007776_C0001614

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20554885,"Neuroelectromagnetic correlates of perceptual closure processes.Perceptual closure refers to the coherent perception of an object under circumstances when the visual information is incomplete. Although the perceptual closure index observed in electroencephalography reflects that an object has been recognized, the full spatiotemporal dynamics of cortical source activity underlying perceptual closure processing remain unknown so far. To address this question, we recorded magnetoencephalographic activity in 15 subjects (11 females) during a visual closure task and performed beamforming over a sequence of successive short time windows to localize high-frequency gamma-band activity (60-100 Hz). Two-tone images of human faces (Mooney faces) were used to examine perceptual closure. Event-related fields exhibited a magnetic closure index between 250 and 325 ms. Time-frequency analyses revealed sustained high-frequency gamma-band activity associated with the processing of Mooney stimuli; closure-related gamma-band activity was observed between 200 and 300 ms over occipitotemporal channels. Time-resolved source reconstruction revealed an early (0-200 ms) coactivation of caudal inferior temporal gyrus (cITG) and regions in posterior parietal <e>cortex</e> (PPC). At the time of perceptual closure (200-400 ms), the activation in cITG extended to the fusiform gyrus, if a face was perceived. Our data provide the first electrophysiological evidence that perceptual closure for Mooney faces starts with an interaction between areas related to processing of three-dimensional structure from shading cues (cITG) and areas associated with the activation of long-term memory templates (PPC). Later, at the moment of perceptual closure, inferior temporal cortex areas specialized for the perceived object are activated, i.e., the fusiform gyrus related to face processing for Mooney stimuli.",M1
20536943,"How spinalized rats can walk: biomechanics, <e>cortex</e>, and hindlimb muscle scaling--implications for rehabilitation.Neonatal spinalized (NST) rats can achieve autonomous weight-supported locomotion never seen after adult injury. Mechanisms that support function in NST rats include increased importance of cortical trunk control and altered biomechanical control strategies for stance and locomotion. Hindlimbs are isolated from perturbations in quiet stance and act in opposition to forelimbs in locomotion in NST rats. Control of roll and yaw of the hindlimbs is crucial in their locomotion. The biomechanics of the hind limbs of NST rats are also likely crucial. We present new data showing the whole leg musculature scales proportional to normal rat musculature in NST rats, regardless of function. This scaling is a prerequisite for the NST rats to most effectively use pattern generation mechanisms and motor patterns that are similar to those present in intact rats. Pattern generation may be built into the lumbar spinal cord by evolution and matched to the limb biomechanics, so preserved muscle scaling may be essential to the NST function observed.",M1
20534523,"Alterations of cortical pyramidal neurons in mice lacking high-affinity nicotinic receptors.The neuronal nicotinic acetylcholine receptors (nAChRs) are allosteric membrane proteins involved in multiple cognitive processes, including attention, learning, and memory. The most abundant form of heterooligomeric nAChRs in the brain contains the beta2- and alpha4- subunits and binds nicotinic agonists with high affinity. In the present study, we investigated in the mouse the consequences of the deletion of one of the nAChR components: the beta2-subunit (beta2(-/-)) on the microanatomy of cortical pyramidal cells. Using an intracellular injection method, complete basal dendritic arbors of 650 layer III pyramidal neurons were sampled from seven cortical fields, including primary sensory, motor, and associational areas, in both beta2(-/-) and WT animals. We observed that the pyramidal cell phenotype shows significant quantitative differences among different cortical areas in mutant and WT mice. In WT mice, the density of dendritic spines was rather similar in all cortical fields, except in the prelimbic/infralimbic <e>cortex</e>, where it was significantly higher. In the absence of the beta2-subunit, the most significant reduction in the density of spines took place in this high-order associational field. Our data suggest that the beta2-subunit is involved in the dendritic morphogenesis of pyramidal neurons and, in particular, in the circuits that contribute to the high-order functional connectivity of the cerebral cortex.",M1
20522870,"The neuropsychological impact of insular <e>cortex</e> lesions.Influential models based on an increasing body of neuroimaging evidence propose that insular cortex integrates cognitive, affective, sensory and autonomic information to create a consciously perceived, 'feeling state.' To appraise these models and evaluate interpretations of neuroimaging findings, the authors review evidence pertaining to the psychological and behavioural consequences of insula lesions. The authors focus on the emotional, perceptual, sensorimotor symptoms and disorders of body awareness associated with insula damage. This comprehensive review is intended to inform existing neuropsychological models of insula function in order to guide future research.",M1
20519520,"Reduced cortical BDNF expression and aberrant memory in Carf knock-out mice.Transcription factors are a key point of convergence between the cell-intrinsic and extracellular signals that guide synaptic development and brain plasticity. Calcium-response factor (CaRF) is a unique transcription factor first identified as a binding protein for a calcium-response element in the gene encoding brain-derived neurotrophic factor (Bdnf). We have now generated Carf knock-out (KO) mice to characterize the function of this factor in vivo. Intriguingly, Carf KO mice have selectively reduced expression of Bdnf exon IV-containing mRNA transcripts and BDNF protein in the cerebral <e>cortex</e>, whereas BDNF levels in the hippocampus and striatum remain unchanged, implicating CaRF as a brain region-selective regulator of BDNF expression. At the cellular level, Carf KO mice show altered expression of GABAergic proteins at striatal synapses, raising the possibility that CaRF may contribute to aspects of inhibitory synapse development. Carf KO mice show normal spatial learning in the Morris water maze and normal context-dependent fear conditioning. However they have an enhanced ability to find a new platform location on the first day of reversal training in the water maze and they extinguish conditioned fear more slowly than their wild-type littermates. Finally, Carf KO mice show normal short-term (STM) and long-term memory (LTM) in a novel object recognition task, but exhibit impairments during the remote memory phase of testing. Together, these data reveal novel roles for CaRF in the organization and/or function of neural circuits that underlie essential aspects of learning and memory.",M1
20514993,"Protective role of salidroside against aging in a mouse model induced by D-galactose.OBJECTIVE: To investigate the protective effects of putative AGEs (advanced glycation endproducts) inhibitor salidroside against aging in an accelerated mouse aging model induced by D-galactose. METHODS: A group of 5-month-old C57BL/6J mice were treated daily with D-galactose, D-galactose combined with salidroside, salidroside alone, and control buffer for 8 weeks. At the end of the treatment, serum AGEs levels, neurological activities, expression of glial fibrillary acidic protein (GFAP) and neurotrophin-3 (NT-3) in the cerebral <e>cortex</e>, as well as lymphocyte proliferation and IL-2 production were determined. RESULTS: D-galactose induced mouse aging model was developed as described before. As expected, salidroside blocked D-galactose induced increase of serum AGEs levels. It also reversed D-galactose induced aging effects in neural and immune system, as evidenced by improving motor activity, increasing memory latency time, and enhancing lymphocyte mitogenesis and interleukin-2 (IL-2) production. Furthermore, elevated expression of GFAP and NT-3 in the aged model mice was also reduced upon salidroside treatment. CONCLUSION: Salidroside inhibits AGEs formation in vivo, which at least partially contributes to its anti-aging effect in D-galactose induced aging model.",M1
20511283,"Heterogeneous neuronal firing patterns during interictal epileptiform discharges in the human <e>cortex</e>.Epileptic cortex is characterized by paroxysmal electrical discharges. Analysis of these interictal discharges typically manifests as spike-wave complexes on electroencephalography, and plays a critical role in diagnosing and treating epilepsy. Despite their fundamental importance, little is known about the neurophysiological mechanisms generating these events in human focal epilepsy. Using three different systems of microelectrodes, we recorded local field potentials and single-unit action potentials during interictal discharges in patients with medically intractable focal epilepsy undergoing diagnostic workup for localization of seizure foci. We studied 336 single units in 20 patients. Ten different cortical areas and the hippocampus, including regions both inside and outside the seizure focus, were sampled. In three of these patients, high density microelectrode arrays simultaneously recorded between 43 and 166 single units from a small (4 mm x 4 mm) patch of cortex. We examined how the firing rates of individual neurons changed during interictal discharges by determining whether the firing rate during the event was the same, above or below a median baseline firing rate estimated from interictal discharge-free periods (Kruskal-Wallis one-way analysis, P&lt;0.05). Only 48% of the recorded units showed such a modulation in firing rate within 500 ms of the discharge. Units modulated during the discharge exhibited significantly higher baseline firing and bursting rates than unmodulated units. As expected, many units (27% of the modulated population) showed an increase in firing rate during the fast segment of the discharge (+ or - 35 ms from the peak of the discharge), while 50% showed a decrease during the slow wave. Notably, in direct contrast to predictions based on models of a pure paroxysmal depolarizing shift, 7.7% of modulated units recorded in or near the seizure focus showed a decrease in activity well ahead (0-300 ms) of the discharge onset, while 12.2% of units increased in activity in this period. No such pre-discharge changes were seen in regions well outside the seizure focus. In many recordings there was also a decrease in broadband field potential activity during this same pre-discharge period. The different patterns of interictal discharge-modulated firing were classified into more than 15 different categories. This heterogeneity in single unit activity was present within small cortical regions as well as inside and outside the seizure onset zone, suggesting that interictal epileptiform activity in patients with epilepsy is not a simple paroxysm of hypersynchronous excitatory activity, but rather represents an interplay of multiple distinct neuronal types within complex neuronal networks.",M1
20511130,"The effects of 17beta-estradiol and vitamin E treatments on oxidative stress and antioxidant levels in brain <e>cortex</e> of diabetic ovariectomized rats.We investigated the effects of 17beta-estradiol (E 2 ) and vitamin E on lipid peroxidation and antioxidant levels in brain cortex of diabetic ovariectomized (OVX) rats. Forty-two rats were equally divided into seven groups: Control; OVX; OVX+E 2 ; OVX+E 2 +vitamin E; OVX+diabetic; OVX+diabetic+E 2 and OVX+diabetic+E 2 +vitamin E. Then, E 2 (40 microg kg -1 /day) and vitamin E (100 mg kg -1 /day) were given. Glutathione peroxidase (GSH-Px), catalase (CAT), superoxide dismutase (SOD), glutathione (GSH), vitamin A and beta-carotene in brain were decreased (p&lt;0.05) when compared with control in OVX but MDA in brain and glucose in plasma were elevated (p&lt;0.05). The antioxidant levels in brain (p&lt;0.05) increased although MDA (p&lt;0.05) in brain and glucose (p&lt;0.05, p&lt;0.01) in plasma decreased in OVX after E 2 and E 2 +vitamin E supplementation. The activities of GSH-Px (p&lt;0.001, p&lt;0.01), CAT (p&lt;005, p&lt;0.001) and SOD (p&lt;0.001) and the levels of GSH (p&lt;0.001), vitamin A (p&lt;0.05) and beta-carotene (p&lt;0.001, p&lt;0.05) were lower in the brain of OVX diabetic rats, while MDA in the brain and glucose in the plasma were higher (p&lt;0.001). The antioxidant enzymes (p&lt;0.05, p&lt;0.01), GSH, vitamin A and beta-carotene (p&lt;0.01, p&lt;0.001) in brain increased while MDA in brain and glucose in plasma decreased (p&lt;0.01, p&lt;0.001) in diabetic OVX after treatments. Finally, the E 2 and E 2 +vitamin E supplementation to diabetic OVX and OVX rats may strengthen the antioxidant system by reducing lipid peroxidation.",M1
20510860,"Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.Neurons propagate information through circuits by integrating thousands of synaptic inputs to generate an action potential output. Inputs from different origins are often targeted to distinct regions of a neuron's dendritic tree, with synapses on more distal dendrites normally having a weaker influence on cellular output compared to synapses on more proximal dendrites. Here, we report that hippocampal CA2 pyramidal neurons, whose function has remained obscure for 75 years, have a reversed synaptic strength rule. Thus, CA2 neurons are strongly excited by their distal dendritic inputs from entorhinal <e>cortex</e> but only weakly activated by their more proximal dendritic inputs from hippocampal CA3 neurons. CA2 neurons in turn make strong excitatory synaptic contacts with CA1 neurons. In this manner, CA2 neurons form the nexus of a highly plastic disynaptic circuit linking the cortical input to the hippocampus to its CA1 neuronal output. This circuit is likely to mediate key aspects of hippocampal-dependent spatial memory.",M1
20510857,"Cux1 and Cux2 regulate dendritic branching, spine morphology, and synapses of the upper layer neurons of the <e>cortex</e>.Dendrite branching and spine formation determines the function of morphologically distinct and specialized neuronal subclasses. However, little is known about the programs instructing specific branching patterns in vertebrate neurons and whether such programs influence dendritic spines and synapses. Using knockout and knockdown studies combined with morphological, molecular, and electrophysiological analysis, we show that the homeobox Cux1 and Cux2 are intrinsic and complementary regulators of dendrite branching, spine development, and synapse formation in layer II-III neurons of the cerebral cortex. Cux genes control the number and maturation of dendritic spines partly through direct regulation of the expression of Xlr3b and Xlr4b, chromatin remodeling genes previously implicated in cognitive defects. Accordingly, abnormal dendrites and synapses in Cux2(-/-) mice correlate with reduced synaptic function and defects in working memory. These demonstrate critical roles of Cux in dendritogenesis and highlight subclass-specific mechanisms of synapse regulation that contribute to the establishment of cognitive circuits.",M1
