@RELATION C0022655_C0007776_C0001613

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2, M3}

@DATA
20448442,"[Examination of operative method for renal <e>cortical</e> tumors less than or equal to 4 cm and risk of chronic kidney disease]We retrospectively studied 63 patients undergoing partial or radical nephrectomy for solitary, renal cortical tumor (&lt; or =4 cm) between 1997 and 2008. Analysis was undertaken, with chronic kidney disease defined as glomerular filtration rate (GFR) lower than 60 ml/min per 1.73 m(2). Multivariable analysis showed that radical nephrectomy remained an independent risk factor for patients developing new onset of GFR lower than 60 ml/min per 1.73 m(2) (hazard ratio 3.158 [95% CI 1.335-7.473]). Radical nephrectomy is a significant risk factor for the development of chronic kidney disease.",M1
20432437,"Adaptation to alkalosis induces cell cycle delay and apoptosis in <e>cortical</e> collecting duct cells: role of Aquaporin-2.Collecting ducts (CD) not only constitute the final site for regulating urine concentration by increasing apical membrane Aquaporin-2 (AQP2) expression, but are also essential for the control of acid-base status. The aim of this work was to examine, in renal cells, the effects of chronic alkalosis on cell growth/death as well as to define whether AQP2 expression plays any role during this adaptation. Two CD cell lines were used: WT- (not expressing AQPs) and AQP2-RCCD(1) (expressing apical AQP2). Our results showed that AQP2 expression per se accelerates cell proliferation by an increase in cell cycle progression. Chronic alkalosis induced, in both cells lines, a time-dependent reduction in cell growth. Even more, cell cycle movement, assessed by 5-bromodeoxyuridine pulse-chase and propidium iodide analyses, revealed a G2/M phase cell accumulation associated with longer S- and G2/M-transit times. This G2/M arrest is paralleled with changes consistent with apoptosis. All these effects appeared 24 h before and were always more pronounced in cells expressing AQP2. Moreover, in AQP2-expressing cells, part of the observed alkalosis cell growth decrease is explained by AQP2 protein down-regulation. We conclude that in CD cells alkalosis causes a reduction in cell growth by cell cycle delay that triggers apoptosis as an adaptive reaction to this environment stress. Since cell volume changes are prerequisite for the initiation of cell proliferation or apoptosis, we propose that AQP2 expression facilitates cell swelling or shrinkage leading to the activation of channels necessary to the control of these processes.",M1
20404220,"Upregulation of renal sodium transporters in D5 dopamine receptor-deficient mice.D(5) dopamine receptor (D(5)R)-deficient (D(5)(-/-)) mice have hypertension that is aggravated by an increase in sodium intake. The present experiments were designed to test the hypothesis that a dysregulation of renal sodium transporters is related to the salt sensitivity in D(5)(-/-) mice. D(5)R was expressed in the renal proximal tubule, thick ascending limb, distal convoluted tubule, and <e>cortical</e> and outer medullary collecting ducts in D(5)(+/+) mice. On a control Na(+) diet, renal protein expressions of NKCC2 (sodium-potassium-2 chloride cotransporter), sodium chloride cotransporter, and alpha and gamma subunits of the epithelial sodium channel were greater in D(5)(-/-) than in D(5)(+/+) mice. Renal renin abundance and urine aldosterone levels were similar but renal angiotensin II type 1 receptor (AT(1)R) protein expression was increased in D(5)(-/-) mice. An elevated Na(+) diet increased further the elevated blood pressure of D(5)(-/-) mice but did not affect the normal blood pressure of D(5)(+/+) mice. The increased levels of NKCC2, sodium chloride cotransporter, and alpha and gamma subunits of the epithelial sodium channel persisted with the elevated Na(+) diet and unaffected by chronic AT(1)R blockade (losartan) in D(5)(-/-) mice. The expressions of proximal sodium transporters NHE3 (sodium hydrogen exchanger type 3) and NaPi2 (sodium phosphate cotransporter type 2) were increased by the elevated Na(+) diet in D(5)(-/-) mice; the increased expression of NHE3 but not NaPi2 was abolished by AT(1)R blockade. Our findings suggest that the increased protein expression of sodium transporters/channels in distal nephron segments may be the direct consequence of the disruption of D(5)R, independent of the renin-angiotensin aldosterone system.",M1
20404214,"Role of renal perfusion pressure versus angiotensin II on renal oxidative stress in angiotensin II-induced hypertensive rats.Renal oxidative stress is thought to contribute to both the etiology and the associated renal injury in angiotensin (Ang) II-dependent hypertension. The contribution of Ang II versus elevated renal perfusion pressure (RPP) on albuminuria and renal oxidative stress in this model of hypertension was explored in the present study by chronically servocontrolling RPP to the left kidney and comparing responses with the right uncontrolled kidney and the left kidney of sham rats. Hypertension was produced in Sprague-Dawley rats fed a 4% NaCl diet by chronic IV infusion of Ang II (25 ng/kg per minute). The RPP to the left kidney was servocontrolled to mean daily pressures averaging approximately 120 mm Hg, whereas the uncontrolled kidneys averaged approximately 170 mm Hg over 14 days of Ang II infusion. Ang II infusion resulted in a 2.4-fold increase in albuminuria, which was RPP dependent. Kidneys exposed to both elevated RPP and Ang II (uncontrolled kidneys) displayed a 3.5-fold increase in malondialdehyde excretion and a 37% and 27% increase in renal <e>cortical</e> and outer medullary superoxide production, respectively. Elevated RPP significantly contributed to global renal oxidative stress (70% increase in malondialdehyde excretion) and outer medullary superoxide production. Elevated circulating levels of Ang II, per se, were responsible for a 1.5-fold and 2.0-fold increase in renal cortical and outer medullary NADPH oxidase activity, respectively. In summary, this study demonstrates that elevated RPP is directly responsible for the excess albuminuria in Ang II-infused rats, whereas both elevated RPP and Ang II directly contribute to the observed renal oxidative stress.",M1
20357031,"Decrease in dietary K intake stimulates the generation of superoxide anions in the kidney and inhibits K secretory channels in the CCD.We previously demonstrated that K depletion inhibited ROMK-like small-conductance K channels (SK) in the <e>cortical</e> collecting duct (CCD) and that the effect was mediated by superoxide anions that stimulated Src family protein tyrosine kinase (PTK) and mitogen-activated protein kinase (MAPK) (51). However, because animals on a K-deficient diet had a severe hypokalemia, superoxide-dependent signaling may not regulate ROMK channels under physiological conditions with a normal plasma K concentration. In the present study, we used the patch-clamp technique and Western blot to examine the effect of a moderate K restriction on ROMK-like SK channels and the role of PTK and MAPK in regulating apical K channels in the CCD of animals on a low-K diet (LK; 0.1% K). Rats and mice fed a LK diet for 7 days had a normal plasma K concentration. However, a LK intake increased the expression of angiotensin II type 1 receptor in the kidney. Moreover, patch-clamp experiments demonstrated that LK intake decreased the probability finding SK channels and channel activity defined by NP(o) (a product of channel number and open probability) in the CCD of both rat and mouse kidneys. Also, LK intake significantly stimulated the production of superoxide anions in the renal cortex and outer medulla in both rats and mice and increased superoxide level in the rat CCD. Moreover, LK intake augments the phosphorylation of p38 and ERK MAPK, the expression of c-Src and tyrosine phosphorylation of ROMK channels. However, treatment of animals with tempol abolished the effect of LK intake on MAPK and c-Src and increased ROMK channel activity in comparing with those of nontreated rats on a LK diet. Inhibiting p38 and ERK with SB202190 and PD98059 significantly stimulated SK in the CCD in rats on a LK diet. In addition, inhibition of PTK with herbimycin A activated SK channels in the CCD from rats on a LK diet. We conclude that LK intake stimulates the generation of superoxide anion and related products and that MAPK and Src family PTK play a physiological role in inhibiting apical K channels in the principal cells in response to LK intake.",M1
20308608,"Effect of sodium loading/depletion on renal oxygenation in young normotensive and hypertensive men.The goal of this study was to investigate the effect of sodium intake on renal tissue oxygenation in humans. To this purpose, we measured renal hemodynamics, renal sodium handling, and renal oxygenation in normotensive (NT) and hypertensive (HT) subjects after 1 week of a high-sodium and 1 week of a low-sodium diet. Renal oxygenation was measured using blood oxygen level-dependent magnetic resonance. Tissue oxygenation was determined by the measurement of R2* maps on 4 coronal slices covering both kidneys. The mean R2* values in the medulla and cortex were calculated, with a low R2* indicating a high tissue oxygenation. Ten male NT (mean age: 26.5+/-7.4 years) and 8 matched HT subjects (mean age: 28.8+/-5.7 years) were studied. <e>Cortical</e> R2* was not different under the 2 conditions of salt intake. Medullary R2* was significantly lower under low sodium than high sodium in both NT and HT subjects (28.1+/-0.8 versus 31.3+/-0.6 s(-1); P&lt;0.05 in NT; and 27.9+/-1.5 versus 30.3+/-0.8 s(-1); P&lt;0.05, in HT), indicating higher medullary oxygenation under low-sodium conditions. In NT subjects, medullary oxygenation was positively correlated with proximal reabsorption of sodium and negatively with absolute distal sodium reabsorption, but not with renal plasma flow. In HT subjects, medullary oxygenation correlated with the 24-hour sodium excretion but not with proximal or with the distal handling of sodium. These data demonstrate that dietary sodium intake influences renal tissue oxygenation, low sodium intake leading to an increased renal medullary oxygenation both in normotensive and young hypertensive subjects.",M1
20231442,"Mouse cystic fibrosis transmembrane conductance regulator forms cAMP-PKA-regulated apical chloride channels in <e>cortical</e> collecting duct.The cystic fibrosis transmembrane conductance regulator (CFTR) is expressed in many segments of the mammalian nephron, where it may interact with and modulate the activity of a variety of apical membrane proteins, including the renal outer medullary potassium (ROMK) K(+) channel. However, the expression of CFTR in apical cell membranes or its function as a Cl(-) channel in native renal epithelia has not been demonstrated. Here, we establish that CFTR forms protein kinase A (PKA)-activated Cl(-) channels in the apical membrane of principal cells from the cortical collecting duct obtained from mice. These Cl(-) channels were observed in cell-attached apical patches of principal cells after stimulation by forskolin/3-isobutyl-1-methylxanthine. Quiescent Cl(-) channels were present in patches excised from untreated tubules because they could be activated after exposure to Mg-ATP and the catalytic subunit of PKA. The single-channel conductance, kinetics, and anion selectivity of these Cl(-) channels were the same as those of recombinant mouse CFTR channels expressed in Xenopus laevis oocytes. The CFTR-specific closed-channel blocker CFTR(inh)-172 abolished apical Cl(-) channel activity in excised patches. Moreover, apical Cl(-) channel activity was completely absent in principal cells from transgenic mice expressing the DeltaF508 CFTR mutation but was present and unaltered in ROMK-null mice. We discuss the physiologic implications of open CFTR Cl(-) channels on salt handling by the collecting duct and on the functional CFTR-ROMK interactions in modulating the metabolic ATP-sensing of ROMK.",M1
20219825,"Proteomic analysis of brush-border membrane vesicles isolated from purified proximal convoluted tubules.The renal proximal convoluted tubule is the primary site of water, electrolyte and nutrient reabsorption and of active secretion of selected molecules. Proteins in the apical brush-border membrane facilitate these functions and initiate some of the cellular responses to altered renal physiology. The current study uses two-dimensional liquid chromatography/mass spectrometry to compare brush border membrane vesicles isolated from rat renal cortex (BBMV(CTX)) and from purified proximal convoluted tubules (BBMV(PCT)). Both proteomic data and Western blot analysis indicate that the BBMV(CTX) contain apical membrane proteins from <e>cortical</e> cells other than the proximal tubule. This heterogeneity was greatly reduced in the BBMV(PCT). Proteomic analysis identified 193 proteins common to both samples, 21 proteins unique to BBMV(CTX), and 57 proteins unique to BBMV(PCT). Spectral counts were used to quantify relative differences in protein abundance. This analysis identified 42 and 50 proteins that are significantly enriched (p values &lt;or=0.001) in the BBMV(CTX) and BBMV(PCT), respectively. These data were validated by measurement of gamma-glutamyltranspeptidase activity and by Western blot analysis. The combined results establish that BBMV(PCT) are primarily derived from the proximal convoluted tubule (S1 and S2 segments), whereas BBMV(CTX) include proteins from the proximal straight tubule (S3 segment). Analysis of functional annotations indicated that BBMV(PCT) are enriched in mitochondrial proteins and enzymes involved in glucose and organic acid metabolism. Thus the current study reports a detailed proteomic analysis of the brush-border membrane of the rat renal proximal convoluted tubule and provides a database for future hypothesis-driven research.",M1
20170908,"Association between As and Cu renal cortex accumulation and physiological and histological alterations after chronic arsenic intake.Arsenic (As) is one of the most abundant hazards in the environment and it is a human carcinogen. Related to excretory functions, the kidneys in humans, animal models or naturally exposed fauna, are target organs for As accumulation and deleterious effects. Previous studies carried out using X-ray fluorescence spectrometry by synchrotron radiation (SR-microXRF) showed a high concentration of As in the renal cortex of chronically exposed rats, suggesting that this is a suitable model for studies on renal As accumulation. This accumulation was accompanied by a significant increase in copper (Cu) concentration. The present study focused on the localization of these elements in the renal cortex and their correlation with physiological and histological As-related renal effects. Experiments were performed on nine male Wistar rats, divided into three experimental groups. Two groups received 100 microg/ml sodium arsenite in drinking water for 60 and 120 consecutive days, respectively. The control group received water without sodium arsenite (&lt; 50 ppb As). For histological analysis, 5-mum-thick sections of kidneys were stained with hematoxylin and eosin. Biochemical analyses were used to determine concentrations of plasma urea and creatinine. The As and Cu mapping were carried out by SR-microXRF using a collimated white synchrotron spectrum (300 microm x 300 microm) on kidney slices (2 mm thick) showing As and Cu co-distribution in the renal cortex. Then, renal <e>cortical</e> slices (100 microm thick) were scanned with a focused white synchrotron spectrum (30 microm x 30 microm). Peri-glomerular accumulation of As and Cu at 60 and 120 days was found. The effects of 60 days of arsenic consumption were seen in a decreased Bowman's space as well as a decreased plasma blood urea nitrogen (BUN)/creatinine ratio. Major deleterious effects; however, were seen on tubules at 120 days of exposition. This study supports the hypothesis that tubular accumulation of As-Cu may have some bearing on the arsenic-associated nephrotoxicological process.",M1
20096887,"Predictive factors for acute renal <e>cortical</e> scintigraphic lesion and ultimate scar formation in children with first febrile urinary tract infection.PURPOSE: We assessed predictive factors for acute renal cortical scintigraphic lesion and ultimate scar formation in children with a first febrile urinary tract infection. MATERIALS AND METHODS: A total of 89 girls and 138 boys with a first febrile urinary tract infection were included in the study. We analyzed radiological (ultrasound, dimercapto-succinic acid scintigraphy, voiding cystourethrogram), clinical (age, gender, peak fever, therapeutic delay time) and laboratory (complete blood count with differential count, absolute neutrophil count, blood urea nitrogen, creatinine, urinalysis, Gram's stain, culture, C-reactive protein, erythrocyte sedimentation rate) variables. Dimercapto-succinic acid scintigraphy was performed within 5 days and at 6 months after diagnosis of urinary tract infection. Voiding cystourethrogram was performed after the acute phase of the urinary tract infection. Predictive factors for acute scintigraphic lesion and ultimate scar formation were assessed using logistic regression analysis. RESULTS: Of 227 patients enrolled 140 had a refluxing and 87 a nonrefluxing urinary tract infection. On logistic regression analysis therapeutic delay time (p = 0.001) and presence of reflux (p = 0.011) were predictive of acute scintigraphic lesion and ultimate scar formation (p = 0.001 and p = 0.0001, respectively) in children with a first febrile urinary tract infection. CONCLUSIONS: Since vesicoureteral reflux is the common risk factor for acute scintigraphic lesion and ultimate scar formation, voiding cystourethrogram must be considered as an initial study in patients with acute febrile urinary tract infection.",M1
