@RELATION C0226993_C0010384

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20483017,"Taurodontism in children with hypodontia and supernumerary teeth: a case control study.PURPOSE: The aim of the present investigation was to compare the prevalence of taurodontism in the permanent mandibular first molars of nonsyndromic children with hypodontia and supernumerary teeth with age- and gender-matched controls. METHODS: The <e>crown</e>-body root ratios of the permanent first molars were determined from orthopantomograms of 83 children with hypodontia (&gt; or =1 missing teeth) and 37 children with supernumerary teeth (&gt; or =1 extra teeth) compared with normal case controls. RESULTS: In children with hypodontia, only girls showed a significantly higher tendency for taurodontism compared to case controls (P=.003), while boys with hypodontia showed a similar prevalence of taurodontism as controls (P=.83). Children with multiple missing teeth were significantly more susceptible to taurodontism than children with a single missing tooth (P=.004). By contrast, the prevalence of taurodontism in children with supernumerary teeth was not significantly different from that of controls. CONCLUSIONS: Compared to normal case controls, children with nonsyndromic hypodontia are more likely to show taurodontism of the permanent first molar teeth whereas children with nonsyndromic supernumerary teeth are not.",M1
20451784,"Effective en-masse retraction design with orthodontic mini-implant anchorage: a finite element analysis.INTRODUCTION: The strategic design of an appliance for correcting a bialveolar protrusion by using orthodontic mini-implant anchorage and sliding mechanics must take into account the position and height of the mini-implant, the height of the anterior retraction hook and compensating curve, and midline vertical traction. In this study, we used finite element analysis to examine effective en-masse retraction with orthodontic mini-implant anchorage and sought to identify a better combination of the above factors. METHODS: Base models were constructed from a dental study model. Models with labially and lingually inclined incisors were also constructed. The center of resistance for the 6 anterior teeth in the base model was 9 mm superiorly and 13.5 mm posteriorly from the midpoint of the labial splinting wire. The working archwires were assumed to be 0.019 x 0.025-in or 0.016 x 0.022-in stainless steel. The amount of tooth displacement after finite element analysis was magnified 400 times and compared with central and lateral incisor and canine axis graphs. RESULTS AND CONCLUSIONS: The tooth displacement tendencies were similar in all 3 models. The height of the anterior retraction hook and the placement of the compensating curve had limited effects on the labial <e>crown</e> torque of the central incisors for en-masse retraction. The 0.016 x 0.022-in stainless steel archwire showed more tipping of teeth compared with the 0.019 x 0.025-in archwire. For high mini-implant traction and 8-mm anterior retraction hook condition, the retraction force vector was applied above the center of resistance for the 6 anterior teeth, but no bodily retraction of the 6 anterior teeth occurred. For high mini-implant traction, 2-mm anterior retraction hook, and 100-g midline vertical traction condition, the 6 anterior teeth were intruded and tipped slightly labially.",M1
20416523,"A holistic approach to management of fractured teeth fragments: a case report.Fracture of anterior teeth is a relatively common outcome of trauma to the teeth. If the fractured teeth fragments are recovered by the patient and brought to the dental office within reasonable time, the fragments may be reattached to the tooth structure. This article presents a case of a 20-year-old man with fractured maxillary central incisors and left maxillary lateral incisor. The fracture involved two-thirds of the <e>crown</e>, compromising the pulp. The procedure used was reattachment of the fractured fragment with bonding system and dual-cure composite resin cement. The techniques described in this case report for reattachment of the fractured fragments are reasonably simple, while restoring providing long-lasting esthetics, improved function, positive psychologic response with a very conservative approach.",M1
20377563,"Use of a natural tooth <e>crown</e> as a pontic following cervical root fracture: a case report.The loss of anterior teeth can be psychologically and socially damaging to the patient. Despite a wide range of treatment options available, traumatised teeth may be inevitably lost on certain occasions. This paper describes the immediate replacement of a right central incisor using a fibre-composite resin with the natural tooth crown as a pontic. The abutment teeth can be conserved with minimal or no preparation, thus keeping the technique reversible, and can be completed at chair side thereby avoiding laboratory costs. It can be used as an interim measure or a definitive prosthesis.",M1
20362910,"Prediction of the mesiodistal width of unerupted permanent canines and premolars: a statistical approach.INTRODUCTION: Prediction of the mesiodistal width of unerupted permanent canines and premolars is of major interest for orthodontic diagnosis and treatment planning. METHODS: To improve the accuracy of the prediction, we looked for the best combination of independent variables with multiple linear regression. RESULTS: The most accurate prediction was obtained for the combination of the mandibular right first molar and lateral incisor, and the maxillary left central incisor. Adding to the regression equation 1 erupted canine or premolar improved the accuracy of the prediction considerably. Because of the variable character of the eruption sequence during the second transitional period, a separate regression model for every canine or premolar was necessary. The precision of our new method and other methods from the literature was tested in a separate study group. CONCLUSIONS: The results of this study show that our prediction method of the mesiodistal <e>crown</e> diameters of unerupted canines and premolars during the dental transition is accurate. A computer program was developed for user-friendly clinical application.",M1
20359429,"Coronal pulp dimensions in noncarious and restored deciduous second molars: a radiovisiographic study.PURPOSE: The purpose of this study was to measure the coronal pulp dimensions in primary maxillary and mandibular second molars and to evaluate the influence on restorative procedures on them. METHODS: Included in this study were 80 4-7 year-old male and female patients with occlusal or proximal restorations on primary maxillary or mandibular second molars and with noncarious antimeres. Radiovisiographic images were captured utilizing standard bitewing radiographs via the parallel cone technique. Morphometric analysis was performed using Dexis and AutoCAD 2000 software, and data was analyzed using student's t test (unpaired). RESULTS: A significant difference was found in <e>crown</e> and coronal pulp dimensions in noncarious (sound) primary maxillary and mandibular second molars, even though no significant reductions were found in restored primary second molars. CONCLUSIONS: Crown and coronal pulp dimensions were significantly greater in noncarious primary mandibular second molars than in maxillary second molars. The mesiodistal crown width of maxillary molars was greater in males than in females. Nonsignificant reductions were observed in amalgam restored primary maxillary and mandibular second molars over a period of six months. No significant difference in pulpal dimensions was observed when Class I restorations were compared with Class II restorations in either arch.",M1
20215670,"Treatment of <e>crown</e> dilaceration: an interdisciplinary approach.Trauma to primary teeth can result in a wide range of disturbances to the underlying permanent teeth, such as dilaceration. Root dilacerations occur more commonly than crown dilacerations. This paper is a report of an 11-year-old girl with a missing maxillary left anterior tooth. Past history revealed premature loss of primary maxillary anterior teeth due to trauma. Radiographic examination revealed crown dilaceration of permanent maxillary left central incisor. An interdisciplinary approach in the management of this child is presented herewith.",M1
20197165,"Evaluation of distances between the mandibular teeth and the alveolar process in Brazilians with normal occlusion.INTRODUCTION: The aims of this study were to evaluate the distances between the mandibular permanent teeth and the alveolar process in Brazilians with normal occlusion and to compare them with normal American values. METHODS: We used 59 mandibular casts from untreated subjects who had permanent dentition and the 6 keys to normal occlusion. A computer program was used to calculate the distances between the dental reference points and the alveolar process for each tooth. The mean values were then compared to the normal values by applying the Student t test at a significance level of 0.05. RESULTS: The results showed a progressive increase of these distances from the anterior region (incisors) to the posterior region (molars), from 0.00 to 2.49 mm. All measurements had statistically significant differences from the American sample, except for the values for canines and first premolars. CONCLUSIONS: Brazilians with normal occlusion have more lingual <e>crown</e> positions for the incisors, second premolars, and molars compared with Americans with normal occlusion. Although these findings were statistically significant, they are unlikely to be clinically significant.",M1
20189701,"Morphologic and bony structural changes in the mandible after a unilateral injection of botulinum neurotoxin in adult rats.PURPOSE: Previous animal experiments showed how reduced masticatory function plays an important role in the craniofacial and mandibular regions in the growing period. However, articles focusing on the effects of reduced masticatory function in adult animals are quite scarce. The purpose of this study was to evaluate the effects of reduced masticatory muscle activity on the jaw bones of adult rats. MATERIALS AND METHODS: Botulinum neurotoxin type A (BTX-A) was injected into the left masseter muscle to reduce masticatory muscle function, and sequential changes in the jaw bones were investigated. Ten male 60-day-old Sprague-Dawley rats with a mean body weight of about 300 g were used. The following procedures were performed on each sample: 25 U/mL (0.3 mL) of BTX-A was injected into the left masseter muscle, whereas the right masseter muscle received an equal amount of sterilized saline solution. Ninety days after the procedure, the rats were sacrificed, and the weights of the masseter muscles were recorded. Meanwhile, direct anthropometric measurements were taken, and the cortical thickness, trabecular thickness, and bone mineral content of the skull and mandible were measured. All measurements were evaluated with statistical software. RESULTS: There were significant differences in all measurements on the BTX-A side compared with those on the control side. The differences included a decreased ramus height, increased gonial angle, and increased <e>crown</e> height of the posterior teeth on the injection side. Significant decreases in the muscle weight, bone mineral content, cortical thickness, and trabecular thickness were also seen on the paralyzed side compared with the non-injection side. CONCLUSIONS: We found that reduced masticatory function in adult rats affected the weight of the masseter muscle and the bony structure and dentition.",M1
20156664,"A novel surgical approach to impacted mandibular third molars to reduce the risk of paresthesia: a case series.PURPOSE: Extraction of impacted mandibular third molars (M3s) may cause temporary or permanent neurosensorial disturbances of the inferior alveolar nerve (IAN). Although the incidence of this complication is low, a great range of variability has been reported in the literature. Several methods to reduce or eliminate this complication have been proposed, such as orthodontic-assisted extraction, extraction of the second molar, or intentional odontoectomy. The purpose of this series of cases is to present a novel approach for a riskless extraction of impacted mandibular M3s in contact with the IAN. MATERIALS AND METHODS: Nine consecutive patients (4 male and 5 female; mean age 24.9 years, range 18-43 years) required the extraction of 10 horizontally or mesioangular impacted mandibular M3s. In all cases the M3 was in contact with the IAN with a high risk of nerve injury. A staged approached was proposed and accepted by the patients. This approach consisted in the surgical removal of the mesial portion of the anatomic <e>crown</e> to create adequate space for mesial M3 migration. After the migration of the M3 had taken place, the extraction could then be accomplished in a second surgical session minimizing neurological risks. RESULTS: All M3s moved mesially within 6 months (mean 174.1 days, range 92-354 days) and could be successfully removed without any neurological consequences. CONCLUSION: This technique may be considered as an alternative approach to the extraction of horizontally or mesioangular impacted M3s in proximity to the IAN.",M1
20129896,"Interdisciplinary approach to traumatized permanent anterior teeth: case report and 10-year follow-up.This article presents a case report (including the 10-year follow-up) of a 10-year-old patient who suffered displacement of the maxillary right central incisor, intrusion of the maxillary left central incisor, and <e>crown</e> fractures to the mesial angles of these teeth as a result of dental trauma. Treatment involved an interdisciplinary approach that utilized a pediatric dentist, an endodontist, and an orthodontist.",M1
20098389,"Dental aesthetics as an expression of culture and ritual.Intentional mutilation or modifications to human teeth hold anthropological and social significance. Studying them helps to understand past and present human behaviour from a geographic, cultural, religious and aesthetic perspective. Presented herein is the case of the skull of a male aged 20-25 years from Madurai (Tamil Nadu, India) with aesthetic dental mutilation on the two upper central incisors, originating from the Skull Collection of the Museum of Forensic Anthropology, Paleopathology and Criminal Studies of the School of Legal Medicine of Madrid. The mutilation consists of both an alteration of the contour of the <e>crown</e> and the inclusion of decorative elements on the labial surface of both teeth. Performed in this study is a radiographic analysis of the dental modifications as well as a paleopathological study of the mutilated teeth.",M1
20089068,"Multidisciplinary approach to the treatment of an oblique <e>crown</e>-root fracture.This case report describes the management of an oblique crown-root fracture of the buccal cusp of the upper right first premolar. After removal of the fractured cusp, a provisional restorative build-up in this area was carried out, in order to carry out an endodontic treatment in a sterile environment. A glass fibre post and core were then constructed and over a 90-day period the tooth was extruded orthodontically by 4 mm. The periodontal fibres associated with this tooth were cut with a tiny surgical blade to help to prevent reintrusion of the tooth and achieve fine contouring of the gingival margins. The new tooth position was maintained with a retainer for a further 60 days and after a period with a provisional acrylic crown, a porcelain bonded crown was fitted. This case report demonstrates that such a multidisciplinary treatment approach to an oblique subgingival fracture is a reliable and predictable manner in which to save a tooth that would have otherwise been difficult, if not impossible, to restore with a resultant good long-term prognosis.",M1
