@RELATION C0011198_C0017480

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
18807297,"Award-winning program slashes sepsis mortalities.ED leaders at Christiana Care Health Services of Wilmington, <e>DE</e>, say a successful sepsis treatment program should bring the same urgency and attention to detailed protocols as you would to victims of heart attack or stroke. Such an approach enabled them to reduce the mortality rate for patients with severe sepsis from 61.7% to 30.2%. Educate your nurses and physicians to recognize the main SIRS (Systemic Inflammatory Response Syndrome) criteria. Standardized care will lead to earlier, more effective treatment and help eliminate potential complications. The term  golden hour  should not be limited to stroke and myocardial infarction victims. Create a sense of time urgency in your staff.",M1
18522108,"Validation of reactive model assumptions with isotope data: application to the Dover case.This paper presents a new approach to compare simulations from reactive transport models. We show that where several compounds follow a reaction chain and can be degraded under different redox conditions, two models with significantly different parameters can lead to similar species distributions. The studied case is the aquifer contamination at Dover, <e>DE</e> U.S., where well characterized plumes of PCE, TCE, cDCE, and VC have been simulated both with RT3D and by a semianalytical procedure proposed here. In order to validate the models, we use isotope data of PCE and TCE that where also measured on that site. A simple calculation, validated against a geochemical model, allows us to simulate the spatial distribution of the isotopic ratio. Despite the similar spatial distribution of contaminant concentrations, simulated isotopic ratios are completely different. Field data correspond to a very localized degradation of PCE and TCE compounds. The presence of a small degradation zone has important consequences on the future evolution of the plume and on the potential remediation techniques.",M1
18260519,"Comparison of light traps, gravid traps, and resting boxes for West Nile virus surveillance.West Nile virus surveillance was conducted at five sites in New Castle County, <e>DE</e>, and one site in Salem County, NJ, from June through September, 2004, using dry ice-baited Centers for Disease Control miniature light traps, infusion-baited gravid traps, and resting boxes. All trap types were simultaneously placed at each site every two weeks and run overnight. Collected mosquitoes were identified to species, pooled, and analyzed for virus using a real-time reverse transcriptase polymerase chain reaction test. In total, 47,972 mosquitoes in 29 species or species groups were analyzed. Light traps collected 60,201 mosquitoes in 28 species or species groups. Gravid traps collected 3,195 mosquitoes in 19 species or species groups. Resting boxes collected 99 mosquitoes in nine species or species groups. In total, 1,500 mosquito pools were tested for WNV resulting in ten positive pools. All positive pools consisted of Culex pipiens, Culex restuans, or Culex salinarius. Seven positive pools were from gravid traps and three were from light traps despite testing almost 14 times as many pools from light traps. The overall infection rate from gravid traps was nearly 33 times greater than the infection rate from light traps, 2.29 and 0.07 infected mosquitoes per 1,000, respectively. The results demonstrate the advantage of using gravid traps for West Nile virus surveillance over light traps or resting boxes.",M1
18069452,"A method of assessing air toxics concentrations in urban areas using mobile platform measurements.The objective of this paper is to demonstrate an approach to characterize the spatial variability in ambient air concentrations using mobile platform measurements. This approach may be useful for air toxics assessments in Environmental Justice applications, epidemiological studies, and environmental health risk assessments. In this study, we developed and applied a method to characterize air toxics concentrations in urban areas using results of the recently conducted field study in Wilmington, <e>DE</e>. Mobile measurements were collected over a 4- x 4-km area of downtown Wilmington for three components: formaldehyde (representative of volatile organic compounds and also photochemically reactive pollutants), aerosol size distribution (representing fine particulate matter), and water-soluble hexavalent chromium (representative of toxic metals). These measurements were,used to construct spatial and temporal distributions of air toxics in the area that show a very strong temporal variability, both diurnally and seasonally. An analysis of spatial variability indicates that all pollutants varied significantly by location, which suggests potential impact of local sources. From the comparison with measurements at the central monitoring site, we conclude that formaldehyde and fine particulates show a positive correlation with temperature, which could also be the reason that photochemically generated formaldehyde and fine particulates over the study area correlate well with the fine particulate matter measured at the central site.",M1
17312580,"<e>DE</e>: C5-C7 comp claim six years post-accident: denial of benefits to nurse upheld by courts. Tenaglia-Evans v. St. Francis Hospital, No.230, 2006 (Del. 12/11/2006) N.E.2d -DE.",M1
16933503,"Breastfeeding continuation factors in a cohort of Delaware mothers.PURPOSE: To determine whether maternal age, race, or income, is the primary determinant of breastfeeding continuation rates. METHODS: Using the Delaware modified-PRAMS 2000 <e>de</e>-identified data set, multivariate modeling of age, income, race, weight, health status, and other breastfeeding continuation factors were analyzed. RESULTS: Breastfeeding continuation at 12 weeks of age was predicted by maternal age independent of race or income. Mothers greater than the mean age were 86% more likely to continue to breastfeed than younger mothers (OR 1.861 95% CI 1.234-2.805). Maternal BMI &gt; or = 26, nipple soreness, and breastfeeding difficulty were associated with lower breastfeeding continuation. DISCUSSION: Maternal age, not race or income, are driving factors in breastfeeding continuation. Physiologic variables, such as maternal obesity, breastfeeding difficulty, and nipple soreness have an adverse influence on duration of breastfeeding. Investment into processes that lengthen breastfeeding duration among mothers, especially younger mothers, who chose to initiate breastfeeding, may have individual and community benefits.",M1
16704062,"Effects of sediment-bound zinc contamination on early life stages of the mummichog (Fundulus heteroclitus L.) in the Christina watershed, Delaware, U.S.A.During the last century, the Christina River, the major estuarine river system in New Castle County (<e>DE</e>, USA), has received loadings of organic and inorganic chemicals, primarily from manufacturing facilities. Among the most abundant chemicals is zinc, which has accumulated in sediments at concentrations as high as 5,440 mg/kg. We studied the possible effects of zinc on early life stages of the mummichog (Fundulus heteroclitus), a resident species in the river and watershed. We conducted three different types of exposures. The first was a 96-h median lethal concentration (LC50) test with larvae exposed to waterborne zinc. The second was a larval exposure with zinc-spiked sediments (obtained from the relatively uncontaminated Magothy River in Anne Arundel County, MD, USA). The third was an embryo-larval exposure with Christina River sediments having a gradient of zinc concentrations. The average 96-h LC50 with newly hatched yolk sac larvae was 970 lig/L. In the larval tests, the average 7- and 21-d LC50s were 1154 and 1012 mg/kg, respectively. In the embryo-larval test, no significant difference was found in survival at concentrations between 38.8 and 1098 mg/kg. However, significant reductions were observed in condition factor at concentrations of 582, 799, and 1098 mg/kg. We calculated an average no-observed-effects concentration of 579 mg/kg and an average lowest-observed-effects concentration of 849 mg/kg for larval survival. Based on these results, we suggest that zinc in the Christina River may be affecting early life stages of the mummichog.",M1
16334608,"Community outreach. Gift of Life campaign in Delaware targets potential organ donors.The Gift of Life Donor Program in Philadelphia is a long-established organ donor organization working with 150 hospitals in Pennsylvania, New Jersey and Delaware. This campaign by Aloysius Butler Clark of Wilmington, <e>DE</e>, is designed to inform drivers in the state of Delaware about a new online program that enables them to pledge as organ donors. It is scheduled for launch at the end of September by Delaware Governor Ruth Ann Minner.",M1
15754902,"The nurse's role in determining testamentary capacity. Case on point: In re. purported last will of Patton, 2004 WL 3030543 N.E.2d--<e>DE</e>.",M1
15749541,"Atmospheric nitrogen inputs to the Delaware Inland Bays: the role of ammonia.A previous assessment of nitrogen loading to the Delaware Inland Bays indicates that atmospheric deposition provides 15-25% of the total, annual N input to these estuaries. A large and increasing fraction of the atmospheric wet flux is NH(4)(+), which for most aquatic organisms represents the most readily assimilated form of this nutrient. Particularly noteworthy is a 60% increase in the precipitation NH(4)(+) concentration at Lewes, <e>DE</e> over the past 20 years, which parallels the increase in poultry production on the Delmarva Peninsula over this period (currently standing at nearly 585 million birds annually). To further examine the relationship between local NH(3) emissions and deposition, biweekly-integrated gaseous NH(3) concentrations were determined using Ogawa passive samplers deployed at 13 sampling sites throughout the Inland Bays watershed over a one-year period. Annual mean concentrations at the 13 sites ranged from &lt;0.5 microg NH(3)m(-3) to &gt;6 microg NH(3)m(-3), with a mean of 1.6+/-1.0 microg NH(3)m(-3). At most sites, highest NH(3) concentrations were evident during spring and summer, when fertilizer application and poultry house ventilation rates are greatest, and seasonally elevated temperatures induce increased rates of microbial activity and volatilization from soils and animal wastes. The observed north-to-south concentration gradient across the watershed is consistent with the spatial distribution of poultry houses, as revealed by a GIS analysis of aerial photographs. Based on the average measured NH(3) concentration and published NH(3) deposition rates to water surfaces (5-8 mm s(-1)), the direct atmospheric deposition of gaseous NH(3) to the Inland Bays is 3.0-4.8 kg ha(-1)yr(-1). This input, not accounted for in previous assessments of atmospheric loading to the Inland Bays, would effectively double the estimated direct dry deposition rate, and is on par with the NO(3)(-) and NH(4)(+) wet fluxes. A second component of this study examined spatial differences in NO(3)(-) and NH(4)(+) wet deposition within the Inland Bays watershed. In a pilot study, precipitation composition at the Lewes NADP-AIRMoN site (DE 02) was compared with that at a satellite site established at Riverdale on the Indian River Estuary, approximately 21 km southwest. While the volume-weighted mean precipitation NO(3)(-) concentrations did not differ significantly between sites, the NH(4)(+) concentration observed at Riverdale (26.3 micromoles L(-1)) was 73% greater than at Lewes (15.2 micromoles L(-1)). More recently, a NADP site was established at Trap Pond, DE (DE 99), which was intentionally located within the region of intense poultry production. A comparison of the initial two years (6/2001-5/2003) of precipitation chemistry data from Trap Pond with other nearby NADP-AIRMoN sites (Lewes and Smith Island) reveals fairly homogeneous NO(3)(-) wet deposition, but significant spatial differences ( approximately 60%) in the NH(4)(+) wet flux. Overall, these results suggest that local emissions and below-cloud scavenging provide a significant contribution to regional atmospheric N deposition.",M1
