@RELATION C0028652_C0012020

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19024426,"Assuming the mantle of leadership: issues and challenges for directors of nursing.This ethnographic study investigated leadership from the perspective of directors of nursing (<e>DONs</e>) in proprietary nursing homes. Data from interviews and extensive participant observation with 10 DONs were analyzed using open coding and content analysis. The study drew on a priori concepts from transformational leadership theory to describe the role, DON approaches to leadership, and factors that facilitate or impede leadership in nursing homes. This article reports findings from a larger study related to conditions existing when participants entered the DON position. Antecedent conditions influenced organizational expectations of incoming DONs and shaped participants' leadership experiences. DONs filling long-standing vacancies had to reestablish the influence and authority of the role. Those replacing unsuccessful DONs confronted serious regulatory, care, and morale issues. In contrast, DONs with successful predecessors experienced organizational support and had confidence in their abilities to lead.",M1
16350901,"Who will care for the caregivers?Research shows that stable leadership provided by a nursing home's director of nursing (<e>DON</e>) is the foundation of good quality. Conversely, a high DON turnover often results in a quality meltdown at all levels. A recent study, seeking to uncover the root causes of DON turnover, looked at 103 DONs working in Virginia nursing homes. Although DONs overwhelming affirmed their role and agreed that they were overall satisfied, a majority said they would not choose to be a DON again or recommend the role to others. Not surprisingly, low staff retention rates, mounting administrative responsibilities, growing regulatory and legal constraints, and unrealistic time commitments were the leading causes of frustration. Given less time to spend on the responsibilities that lie at the very heart of their mission-direct-care and clinical issues, quality improvement, family relations, staff mentoring and professional development-DONS are likely to experience burnout unless long-term care owners and managers reconfigure their role.",M1
15890300,"Barriers to providing osteoporosis care in skilled nursing facilities: perceptions of medical directors and directors of nursing.OBJECTIVES: The objectives of this study were to identify the barriers to osteoporosis clinical practice guideline use perceived by Medical Directors (MED DIR) and Directors of Nursing (<e>DON</e>) in skilled nursing facilities; and to describe differences in the perceptions of MED DIRs and DONs. DESIGN: The authors conducted a cross-sectional national survey. PARTICIPANTS: This study consisted of a random national sample of MED DIRs (n = 1300) and DONs (n = 1300) belonging to the American Medical Directors Association or the National Association of Directors of Nursing Administration in Long-term Care. MEASUREMENTS: A 24-item survey using a five-point Likert scale was developed. The survey measured agreement to questions in four domains (provider factors, guideline characteristics, patient factors, environmental factors) and 10 content areas (problem acknowledgment, patient/family concern, patient/family compliance, testing availability, safety, reimbursement, regulatory oversight, staff knowledge/time/ability, belief in guidelines, and malpractice liability). Response distributions to each item were plotted and differences between MED DIRs and DONs were tested. RESULTS: Survey response rates were 40% for MED DIRs and 48% for DONs. Respondents strongly agreed that fractures are a problem in their facilities and that osteoporosis guidelines are useful and cost-beneficial (mean responses &gt; or = 4.0). A large proportion of respondents (at least 40% of the sample) identified multiple patient comorbidities, reimbursement issues, length of stay, and regulatory oversight as barriers to providing osteoporosis care. Respondents did not believe that patient and family acceptance, testing availability, staff time, staff self-efficacy, or concerns about bisphosphonate safety were barriers to osteoporosis care. DONs were more likely than MED DIRs to believe that patients and families are concerned about fractures, whereas MED DIRs were more likely to endorse length of stay, staffing issues, and regulatory oversight as influencing treatment decisions. Years of practice and facility size, but not formal geriatrics training, significantly influenced responses. CONCLUSION: Perceived barriers to implementing osteoporosis guidelines differ between facilities and between MED DIRs and DONs. Identification of these barriers could facilitate quality improvement initiatives and improve the quality of osteoporosis care.",M1
15714778,"Another <e>DON</e> bites the dust!",M1
15127499,"<e>Don</e>'t go!Director of nursing (DON) turnover can be high, particularly in rural areas. To address it at your facility, learn the conditions that influence DON turnover.",M1
11780005,"Transferring dying nursing home residents to the hospital: <e>DON</e> perspectives on the nurse's role in transfer decisions.This qualitative study elicits factors that influence decision-making by nurses about transferring a dying resident from the nursing home to the hospital. Focus groups with directors of nursing (DONs) from long-term care facilities revealed those decisions are influenced by knowledge (or lack thereof) of resident or family preferences, nurse interactions with physicians, nursing home technological and personnel resources, and nurse concerns about institutional liability. DONs can improve transfer decisions by communicating with all parties, clarifying nursing home processes for end-of-life care, and scheduling early and thorough conversations with residents and families about end-of-life care. DONs can implement improvements through staff education on communication issues, rigorous evaluation and performance outcome measures related to patient transfer, and conveyance to staff of the institution's mission and the nursing service's values.",M1
11143080,"Day in the life of a <e>DON</e>.",M1
10765883,"Preferences for an influences on oral health prevention: perceptions of directors of nursing.Directors of Nursing (<e>DONs</e>) from 196 of 206 Nebraska long-term-care (LTC) facilities were sent a pre-tested questionnaire. The aim was to assess available on-site dental services, existing oral health education and prevention programs as well as future needs/preferences, and the influence of 10 factors in assessing and maintaining residents' oral health. Of the 196 DONs contacted, 126 (64%) participated. Only 36% of DON responders reported having on-site dental services. DONs indicated a preference for nursing staff (NS) oral health inservice training over other educational and/or programmatic proposals. When asked to select the five most influential factors in assessing and maintaining residents' oral health in their respective facilities, DONs selected resident factors (mean, 2.8) more often than NS factors (mean, 2.2). DONs most often identified residents' (R') ability to perform oral hygiene (n = 99), R' cooperation with OH assistance (n = 98), R' interest in their oral health (n = 83), NS interest in R' dental health (n = 70), and NS time constraints (n = 69).",M1
10703338,"So you want to be a Director of Nursing ... now what!The authors believe that even an experienced <e>DON</e> might need at least two months to adequately adjust and/or professionally realign problematic areas of concern in a new position. This opinion is in direct contrast with Maun (1998). Maun states  If a DON is moving to this job from another similar position, the overall program may take a week, not including any other corporate or facility specific orientations. If a person is taking a DON job for the first time, the process could take two weeks to allow for identifying areas of deficiency.  The position of Director of Nursing is dynamic and fluid; it is challenging and exciting. The key to success is communication, forward planning, flexibility and the willingness to grow with the demanding changes in the arena of long term care.",M1
9852661,"Recruitment barriers in rural community hospitals: a comparison of nursing and nonnursing factors.Despite encouraging signs suggesting that many rural hospitals are experiencing less severe staff shortages, the challenge of successfully recruiting nurses to rural practice settings continues to be a major obstacle. Based on a 1993 survey of 164 directors of nursing (<e>DONs</e>) practicing in rural community hospitals, exploratory factor analysis (EFA) was used to cluster 21 DON-rated recruitment barriers into factors associated with nursing delivery, local community, and professional interaction. DONs, most notably those practicing in the smallest rural facilities (&lt; or = 25 beds), reported community-related barriers such as spouse's employment as the most severe obstacles to successful registered nurse (RN) recruitment. However, upon examination conducted by using multiple regression analyses, only those factors related to nursing delivery and professional interaction were found to be statistically significant predictors of existing staff RN full-time equivalency vacancy rates. Given that barriers related to individual nursing staffs are likely to be far more amenable to change than those associated with rural environments, these findings offer encouragement to nursing administrators who are faced with the difficulties of attracting RNs to rural practice settings.",M1
