@RELATION C0012240_C0012238

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20396765,"Time course of morphophysiological status of the broilers during the postnatal ontogeny with consideration for biogeochemical characteristics of the Chuvash Volga Region.Experiments proved that treatment with Suvar and Combiolax under biogeochemical conditions of the Chuvash Volga ecological subregion significantly stimulates growth and development of broilers, hematological, biochemical, and immunological profiles, structure and function of the <e>digestive</e> organs, hemopoiesis, and immune defense at different stages of postnatal ontogeny.",M1
20385249,"Metallothioneins and trace elements in <e>digestive</e> gland, gills, kidney and gonads of Octopus vulgaris.Metallothionein-like proteins (MT) and V, Cr, Co, Ni, Zn, Cu, As and Cd were determined in digestive gland, gills, kidney and gonads of Octopus vulgaris, from the Portuguese coast. To our knowledge these are the first data on MT in octopus. High concentrations (microgg(-1), dry mass) of Zn (48050) and Cd (555) were found in digestive gland, and MT reached levels one order of magnitude above the ones registered in wild bivalves. Significantly higher levels of MT in digestive gland and gills of specimens from A and B were in line with elevated Cd concentrations. Principal component analyses (PCA) point to MT-Cd and MT-Cr associations in digestive gland and gills. Despite the high levels of Zn in specimens from B, association with Zn was not obtained. Due to the affinity of MT to various elements, it should not be excluded the possibility of Cd replacing Zn in Zn-MT. Kidney presented higher levels of Cd, Co, Ni and As than gills and gonads, and in the case of As surpassing the levels in digestive gland, but PCA showed no relation with MT. Likewise the MT levels in gonads had no correspondence to the metal concentration variation.",M1
20385075,"Effectiveness of a  cold dessert , with or without the addition of a mixture of <e>digestive</e> herbs, in subjects with  functional dyspepsia . Functional dyspepsia  represents a clinical condition of pain and/or persistent or recurrent discomfort that concerns a large portion of the healthy population. It has already been shown that some herbs (Melissa Officinalis, Cynara scolymus) can have favorable effects on digestion. The principal aim of this study is to determine whether the ingestion of  Gran Soleil  dessert, with or without herbs, after meals can be beneficial to health in subjects suffering from functional dyspepsia. For this purpose, thirty subjects with functional dyspepsia were enrolled and were asked to consume  Gran Soleil  with or without herbs; these subjects reported the course of their symptoms on VAS scale, during the basal period and after the ingestion  Gran Soleil  with and without herbs. It has been shown that the ingestion of  Gran Soleil  without herbs can induce a reduction both in the number of events connected to a dyspeptic syndrome and in their intensity; moreover the assumption of  Gran Soleil  with the addition of herbs helped to intensify this effect.",M1
20380005,"Expression of nesfatin-1/NUCB2 in rodent <e>digestive</e> system.AIM: To observe the regional distributions and morphological features of nesfatin-1/nucleobindin-2 (NUCB2) immunoreactive (IR) cells in the rodent digestive system. METHODS: Paraffin-embedded sections of seven organs (pancreas, stomach, duodenum, esophagus, liver, small intestine and colon) dissected from sprague-dawley (SD) rats and imprinting-control-region (ICR) mice were prepared. The regional distributions of nesfatin-1/NUCB2 IR cells were observed by immunohistochemical staining. The morphological features of the nesfatin-1/NUCB2 IR cells were evaluated by hematoxylin and eosin (HE) staining. Fresh tissues of the seven organs were prepared for Western blotting to analyze the relative protein levels of NUCB2 in each organ. RESULTS: Immunohistochemical staining showed that the nesfatin-1/NUCB2 IR cells were localized in the central part of the pancreatic islets, the lower third and middle portion of the gastric mucosal gland, and the submucous layer of the duodenum in SD rats and ICR mice. HE staining revealed that the morphological features of nesfatin-1/NUCB2 IR cells were mainly islet cells in the pancreas, endocrine cells in the stomach, and Brunner's glands in the duodenum. Western blotting revealed that NUCB2 protein expression was higher in the pancreas, stomach and duodenum than in the esophagus, liver, small intestine and colon (P = 0.000). CONCLUSION: Nesfatin-1/NUCB2 IR cells are expressed in the pancreas, stomach and duodenum in rodents. These cells may play an important role in the physiological regulation of carbohydrate metabolism, gastrointestinal function and nutrient absorption.",M1
20308398,"Histopathology, immunohistochemistry, in situ apoptosis, and ultrastructure characterization of the <e>digestive</e> and lymphoid organs of new type gosling viral enteritis virus experimentally infected gosling.Here, for the first time, to colocalize new type gosling viral enteritis virus (NGVEV) with histological lesions and in situ apoptosis in the digestive organs (esophagus, proventriculus, gizzard, small intestine, cecum, rectum, liver, and pancreas) and the lymphoid organs (bursa of Fabricius, thymus, Harderian gland, and spleen) of experimentally infected goslings, portions of tissues were collected at sequential infection time points and examined by histopathology for histological lesions, immunohistochemical staining for viral antigens, ultrastructural observation by transmission electron microscope (TEM) for virus particles and apoptotic cells, and terminal deoxynucleotidyl transferase-mediated deoxyuridine triphosphate nick end labeling assay for in situ apoptosis. The hyperemia, hemorrhage, infiltration of lymphocytes, progressive lymphoid depletion, apoptosis, and necrosis were readily observed in the lymphoid organs and intestine tract by histopathological examination. The NGVEV particles and viral antigens widely appeared in the small intestine and bursa of Fabricius as early as 2 d postinfection (PI) by TEM and immunohistochemical staining, and the presence and quantity of it reached a maximum during 6 to 12 d PI. The principal sites for NGVEV were endothelial cells, epithelia, mucosal cells, glandular cells, fibrocytes, macrophages, and lymphocytes. A series of apoptotic morphological changes including chromatin condensation and margination, cytoplasmic shrinkage, and formation of apoptotic body were observed by TEM, and the number of apoptotic cells was largely increased from 4 d PI and peaked at 9 d PI by terminal deoxynucleotidyl transferase-mediated deoxyuridine triphosphate nick end labeling analysis. The histological organ lesions and apoptosis in vivo were generally associated with sites of NGVEV localization, which can be regarded as the cause of death. This work may shed light on the pathogenesis of new type gosling viral enteritis and put new insight into the pathogenesis of goose adenovirus.",M1
20201646,"Impact of UV-B radiation on the <e>digestive</e> enzymes and immune system of larvae of Indian major carp Catla catla.PURPOSE: Ultraviolet radiation is a potent threat to the aquatic animals. Exposure to such stressor affects metabolic and immunological processes. The present investigation aims to study the effect of UV-B radiation on digestive enzymes and immunity of larvae of Catla catla. MATERIALS AND METHODS: Larvae were exposed to ultraviolet-B (UV-B, 280-320 nm) radiation (145 microW/cm(2)) for three different exposure times of 5, 10 and 15 min on every other day. After 55 days, important digestive enzymes were assayed. For immunological study, lysozyme, glutamate oxaloacetate transaminase (GOT) and glutamate pyruvate transaminase (GPT) levels were measured. Then the fish were kept for one month without radiation and lysozyme level was measured. RESULTS: Protein concentration varied directly with the duration of exposure and was highest among fish that had received the 15 min UV-B irradiation. Significantly higher amylase, protease, trypsin and chymotrypsin activities were found in 5 min exposed fish compared to others. Lysozyme level was significantly higher in control group compared to the UV-B treated fish. The lysozyme level decreased with the increasing duration of UV-B radiation. When fish were kept without UV-B radiation for one month, lysozyme level was brought to the normal level in all treatments, except 15 min exposed fish. The GOT and GPT levels were significantly higher in the 15 min exposed group than others. CONCLUSIONS: The effects of UV-B radiation on the digestive physiology and immune system of catla have been clearly observed in the present study. The decreased enzyme activities in UV-B radiated fish results into improper digestion and poor growth.",M1
20162372,"Seasonal variation of pollution biomarkers to assess the impact on the health status of juvenile Pacific oysters Crassostrea gigas exposed in situ.BACKGROUND, AIM, AND SCOPE: In this study, a suite of sublethal stress biomarkers were analyzed in juveniles of the sentinel species, the Pacific oyster Crassostrea gigas, with a view to using them as pollution monitoring tools. The aim of this work was (1) to study baseline seasonal variations of biomarkers in different body compartments of C. gigas in the reference site and, after selecting biomarkers presenting no seasonal variations, (2) to compare responses of these biomarkers between contaminated and reference sites. MATERIALS AND METHODS: Juvenile oysters were transplanted from Bouin (France), a reference site, to three different sites in Marennes-Oleron Bay (France), located in another water body and next to different contamination sources. Animals were exposed in situ for 3 months in summer, autumn, and winter. The following biomarkers were measured: superoxide dismutase (SOD) and glutathione peroxidase (GPx) in gills and <e>digestive</e> gland and lysozyme and phenoloxidase (PO) in plasma. RESULTS: No significant seasonal variations for SOD in gills and digestive gland, GPx in gills, and PO in plasma were observed in the reference site. Significant differences in enzyme activity were observed between contaminated and reference sites for SOD in gills and digestive gland and PO in plasma, depending on the body compartment, the season, and/or the site. CONCLUSIONS: In conclusion, these data suggest the potential application of these biomarkers in C. gigas to provide ecologically relevant information and, therefore, to be used as biomarkers in coastal pollution monitoring.",M1
20131411,"The American Gastroenterlogical Association (AGA) Institute and <e>Digestive</e> Disease Week, May 29- Jun 4, 2009, Chicago, Illinois, USA. Abstracts.",M1
20116440,"<e>Digestive</e> physiology and hindgut bacterial community of the young rabbit (Oryctolagus cuniculus): effects of age and short-term intake limitation.The digestive response of the young rabbit to a short-term (28-53 days) limitation of its voluntary intake (25%) was analysed according to age and in relation to the incidence of digestive troubles. Several physico-chemical parameters of the caecal biotope were studied in relation to the caecal bacterial community structure and diversity, and with other physiological criteria (stomach pH, ileum morphometry and maltase activity). The morphometry of the ileum was significantly affected by age (36 vs. 52 days) but not by the intake level, while the relative maltase activity remained unchanged. In the stomach, the pH of antrum and fundus increased by approximately 1/3 between 36 and 52 days, and was 31% (P=0.003) and 79% (P&lt;0.001) higher for restricted compared to ad libitum rabbits respectively. However the caecal pH remained unchanged (mean: 5.83). The caecal redox potential increased slightly, by 8 units (P=0.02), when intake was limited, but did not change between 36 and 52 days. The caecal bacterial diversity increased with age (4.8 vs. 5.2, P=0.014) while bacterial structure was modified. Limiting the intake for 16 days did not modify the structure or the diversity of the bacterial community.",M1
20045204,"Effects of Alexandrium minutum exposure upon physiological and hematological variables of diploid and triploid oysters, Crassostrea gigas.The effects of an artificial bloom of the toxin-producing dinoflagellate, Alexandrium minutum, upon physiological parameters of the Pacific oyster, Crassostrea gigas, were assessed. Diploid and triploid oysters were exposed to cultured A. minutum and compared to control diploid and triploid oysters fed T. Isochrysis. Experiments were repeated twice, in April and mid-May 2007, to investigate effects of maturation stage on oyster responses to A. minutum exposure. Oyster maturation stage, Paralytic Shellfish Toxin (PST) accumulation, as well as several <e>digestive</e> gland and hematological variables, were assessed at the ends of the exposures. In both experiments, triploid oysters accumulated more PSTs (approximately twice) than diploid oysters. Significant differences, in terms of phenoloxidase activity (PO) and reactive oxygen species (ROS) production of hemocytes, were observed between A. minutum-exposed and non-exposed oysters. PO in hemocytes was lower in oysters exposed to A. minutum than in control oysters in an early maturation stage (diploids and triploids in April experiment and triploids in May experiment), but this contrast was reversed in ripe oysters (diploids in May experiment). In the April experiment, granulocytes of oysters exposed to A. minutum produced more ROS than those of control oysters; however, in the May experiment, ROS production of granulocytes was lower in A. minutum-exposed oysters. Moreover, significant decreases in free fatty acid, monoacylglycerol, and diacylglycerol contents in digestive glands of oysters exposed to A. minutum were observed. Concurrently, the ratio of reserve lipids (triacylglycerol, ether glycerides and sterol esters) to structural lipids (sterols) decreased upon A. minutum exposure in both experiments. Also, several physiological responses to A. minutum exposure appeared to be modulated by maturation stage as well as ploidy of the oysters.",M1
