@RELATION C0029974_C0013710

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20480891,"Determination of allergenic <e>egg</e> proteins in food by protein-, mass spectrometry-, and DNA-based methods.Egg allergy is one of the most common food allergies in both adults and children, and foods including eggs and their byproducts should be declared under food allergen labeling policies in industrial countries. Therefore, to develop and validate a sensitive and specific method to detect hidden egg allergens in foods, we compared immunochemical, DNA-based, and proteomic methods for detecting egg allergens in foods using egg allergen standards such as egg whole protein, egg white protein, egg yolk protein, ovomucoid, ovalbumin, ovotransferrin, lysozyme, and alpha-livetin. Protein-based immunochemical methods, including ELISA as an initial screening quantitative analysis and immunoblotting as a final confirmatory qualitative analysis, were very sensitive and specific in detecting potentially allergenic egg residues in processed foods in trace amounts. In contrast, the proteomics-based, matrix-assisted laser desorption/ionization time-of-flight MS and LC-tandem quadrupole time-of-flight MS methods were not able to detect some egg allergens, such as ovomucoid, because of its nondenaturing property under urea and trypsin. The DNA-based PCR method could not distinguish between egg and chicken meat because it is tissue-nonspecific. In further studies for the feasibility of these immunochemical methods on 100 real raw dietary samples, four food samples without listed egg ingredients produced a positive response by ELISA, but exhibited negative results by immunoblotting.",M1
20480889,"Validation procedures for quantitative food allergen ELISA methods: community guidance and best practices.This document provides supplemental guidance on specifications for the development and implementation of studies to validate the performance characteristics of quantitative ELISA methods for the determination of food allergens. It is intended as a companion document to other existing publications on method validation. The guidance is divided into two sections: information to be provided by the method developer on various characteristics of the method, and implementation of a multilaboratory validation study. Certain criteria included in the guidance are allergen-specific. Two food allergens, <e>egg</e> and milk, are used to demonstrate the criteria guidance. These recommendations will be the basis of the harmonized validation protocol for any food allergen ELISA method, whether proprietary or nonproprietary, that will be submitted to AOAC and/or regulatory authorities or other bodies for status recognition. Regulatory authorities may have their own particular requirements for data packages in addition to the guidance in this document. Future work planned for the implementation and validation of this guidance will include guidance specific to other priority allergens.",M1
20460670,"Influence of <e>egg</e> storage time and preincubation warming profile on embryonic development, hatchability, and chick quality.When eggs are stored beyond 7 d, hatchability and chick quality decrease. The cause of the negative effects of prolonged egg storage is not clear. The negative effects may be caused by a decrease in embryo viability due to an increase in cell death. The optimal time and curve of preincubation warming (the preincubation warming profile) may be different for eggs stored over short and long periods of time because embryo viability is dependent on egg storage time. The aim of this study was to investigate whether preincubation warming profiles affect embryonic development, hatchability, and chick quality when eggs are stored for a short or prolonged time. Two experiments were conducted. In both experiments, a 2x2 completely randomized design was used with 2 storage times (4 and 14 d at 17 degrees C in experiment I and 4 and 13 d at 19 degrees C in experiment II) and 2 preincubation warming profiles (within 4 or 24 h from storage temperature to 37.8 degrees C). In experiment I, results suggested that the effect of preincubation warming profile on hatchability was dependent on storage time. However, because a low number of eggs were used in this experiment, these differences were not significant. In experiment II, the interaction between storage time and preincubation warming profile was observed for embryonic mortality during the first 2 d of incubation and hatchability (P=0.006 and P=0.01, respectively). When storage time was 13 d, embryonic mortality during the first 2 d of incubation decreased by 4.4% and hatchability increased by 5.7% when the 24-h preincubation warming profile was used instead of the 4-h preincubation warming profile. However, no effect of preincubation warming profile was observed when storage time was 4 d. In both experiments, chick quality decreased when storage time increased but was not affected by preincubation warming profile. We concluded that a slow preincubation warming profile is beneficial for hatchability when storage time is prolonged but does not affect chick quality.",M1
20450000,"The effects of condensed tannins extracted from different plant species on <e>egg</e> hatching and larval development of Teladorsagia circumcincta (Nematoda: Trichostrongylidae).The effects of condensed tannins (CTs) extracted from five species of plants on egg hatching and larval development of Teladorsagia circumcincta (Stadelmann, 1894) (syn. Ostertagia circumcincta) were evaluated using in vitro bioassays. The extracts of CTs were obtained from Lotus pedunculatus (LP), Lotus corniculatus (LC), Dorycnium pentaphyllum (DP), Dorycnium rectum (DR) and Rumex obtusifolius (RO). The results of egg hatching assay showed that about 53%, 68%, 51%, 60% and 46% of the eggs hatched when in vitro incubations contained 900 microg/ml of CTs from LP, LC, DP, DR and RO, respectively (P &lt; 0.001 relative to control incubation), while in control incubations (no CT added) 87% of the eggs hatched. In the larval development assay, development was allowed to proceed for 7 days, by which time 89% of the hatched larvae in control wells (no CTs) had reached the infective third stage (L3). In incubations containing 200 microg CT from LP, LC, DP, DR and RO/ml, about 8%, 15%, 14%, 8% and 4% of the eggs attained full development to L3 larvae, respectively (P &lt; 0.001 relative to control incubation). Only 1% of the eggs were able to develop to L3 larvae in incubations containing 400 microg CT extracted from LC/ml, whilst in the incubations containing the same concentration of other CTs the eggs were not able to develop to L3 larvae. It seems that CTs are not only slowing down the larval development but also kill the undeveloped larvae. At 400 microg/ml, for example, CT from LP, LC, DP, DR and RO killed 67%, 48%, 68%, 93% and 91% of first-stage (L1) and second-stage (L2) larvae, respectively. This study shows that CTs are able to disrupt the life cycle of nematodes.",M1
20421497,"Visual modeling shows that avian host parents use multiple visual cues in rejecting parasitic <e>eggs</e>.One of the most striking outcomes of coevolution between species is egg mimicry by brood parasitic birds, resulting from rejection behavior by discriminating host parents. Yet, how exactly does a host detect a parasitic egg? Brood parasitism and egg rejection behavior provide a model system for exploring the relative importance of different visual cues used in a behavioral task. Although hosts are discriminating, we do not know exactly what cues they use, and to answer this it is crucial to account for the receiver's visual perception. Color, luminance ( perceived lightness ) and pattern information have never been simultaneously quantified and experimentally tested through a bird's eye. The cuckoo finch Anomalospiza imberbis and its hosts show spectacular polymorphisms in egg appearance, providing a good opportunity for investigating visual discrimination owing to the large range of patterns and colors involved. Here we combine field experiments in Africa with modeling of avian color vision and pattern discrimination to identify the specific visual cues used by hosts in making rejection decisions. We found that disparity between host and foreign eggs in both color and several aspects of pattern (dispersion, principal marking size, and variability in marking size) were important predictors of rejection, especially color. These cues correspond exactly to the principal differences between host and parasitic eggs, showing that hosts use the most reliable available cues in making rejection decisions, and select for parasitic eggs that are increasingly mimetic in a range of visual attributes.",M1
20417310,"Effects of in ovo exposure to 2,3,7,8-tetrachlorodibenzo-p-dioxin on hepatic AHR/ARNT-CYP1A signaling pathways in common cormorants (Phalacrocorax carbo).Our previous studies have isolated multiple isoforms of aryl hydrocarbon receptors (AHRs) and AHR nuclear translocators (ARNTs) in avian species. However, roles of such genes on cytochrome P450 1A (CYP1A) expression are not fully understood. To investigate the effects of dioxins on the hepatic expression profiles of AHR1, AHR2, ARNT1 and ARNT2 in avian species, and whether the expression levels of AHRs and ARNTs affect the transcriptions of CYP1A4 and CYP1A5 genes, the <e>eggs</e> of common (great) cormorants (Phalacrocorax carbo) collected from Lake Biwa, Japan, were in ovo administrated with 0, 1500 and 4500pg/g egg of 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD), and the hepatic expression levels of AHRs, ARNTs and CYP1As in embryos were monitored with two-step real-time RT-PCR. In young and adult cormorants collected from the same location, the hepatic expressions of these genes were also measured to understand the effects of growth stage. The residue levels of TCDD and other chlorinated dioxin-like congeners (DLCs) in the body of cormorants were quantified with high-resolution gas chromatography equipped with mass-spectrometry. There was no observable effect of in ovo TCDD treatment even at the highest dosage on mortality, body weight and morphology of the liver, heart, spleen, kidney and lung in the embryos. The mRNA expression of ARNT2 was slightly suppressed by the treatment with TCDD, while no alteration was observed for the expression of AHR1, AHR2 and ARNT1. Expressions of CYP1A4 and CYP1A5 were dose-dependently enhanced by TCDD, but CYP1A4 mRNA level increased more prominently than CYP1A5, indicating the difference in induction efficiency between the CYP1A isozymes. Comparison of hepatic mRNA levels of these genes among embryonic, young and adult cormorants revealed that young and adult cormorants had greater CYP1A5 expression levels than embryos, independently of the accumulation levels of DLCs. These results suggest that the hepatic induction of each CYP1A by DLCs in cormorants occurs in an isoform-specific manner and CYP1A5 expression, at least partially, depends on the factors related to the growth of cormorants, but the transcriptional processes of CYP1As are not related to the expression levels of AHRs and ARNTs. This study yielded results supporting our previous observations that in reality, high accumulation of DLCs induces hepatic CYP1A4 and 1A5 expressions in the wild cormorant population.",M1
20377352,"Polymorphism in resting <e>egg</e> size and hatching strategy in the rotifer Brachionus calyciflorus pallas.This study examined polymorphism in the resting egg size, hatching pattern, morphotype, and starvation tolerance of stem females in a local population of the freshwater rotifer Brachionus calyciflorus. Fifteen rotifer families were cultured under laboratory conditions to induce the production of inbred, homozygous resting eggs. Each family of resting eggs was measured for size and aliquots were then incubated at 10 degrees C or 20 degrees C to test the phenotypic plasticity of hatching dynamics in this population. The distribution of resting egg size was approximately normal in each family, and the sizes of the resting egg shell and embyro showed significant differences among families, ranging from 6.4-8.9 (x 10(5) microm(3)) and 3.7-5.2 (x 10(5) microm(3)), respectively. Hatching rates also varied greatly among families at each temperature, with average values ranging from 10.0-51.5% at 10 degrees C and 3.1- 67.2% at 20 degrees C. Hatching temperature clearly affected the hatching pattern. Resting eggs of most families hatched synchronously at 20 degrees C, whereas they were likely to hatch more sporadically at 10 degrees C. We observed no correlation between size of resting egg and subsequent hatching variability. This was the first time to find a large diversity in morphotype of B. calyciflorus stem females among different families. In some families, most stem females lacked posterolateral spines, but in other families, they had two short posterolateral spines. There was a considerable variation in survival time of stem females that had undergone starvation, and survival time was positively correlated with resting egg size. The divergence in these life history traits may have important implications for understanding the rotifer's adaptive strategy and life history evolution.",M1
20377351,"Morph-specific fecundity and <e>egg</e> size in the female-dimorphic damselfly Ischnura senegalensis.Females of coenagrionid damselflies exhibit color dimorphism, consisting of an andromorph and a gynomorph. This study compared reproductive traits between the female morphs in both field-captured and laboratory-reared females of the female-dimorphic damselfly Ischnura senegalensis. No difference was found in the onset of egg development between the morphs. The andromorphs developed significantly smaller mature eggs and had significantly more immature eggs than the gynomorphs. These results suggest that the andromorphs are r-strategists (high fecundity with small eggs), whereas the gynomorphs are K-strategists (low fecundity with large eggs). Fecundity and egg size might determine the quantity and quality of the offspring, respectively, indicating that morph-specific reproductive traits would contribute to the overall fitness of each female morph, and consequently be key factors affecting morph frequency in a population.",M1
20377310,"Birth defects in wildlife: the role of environmental contaminants as inducers of reproductive and developmental dysfunction.The etiology of adverse pregnancy outcomes is not well understood. Wildlife observations provide considerable evidence that environmental contaminants can play a critical role in reproductive and developmental dysfunction. Early evidence leading to a widespread awareness of the impact of environmental chemicals on surrounding wildlife was observed in the Laurentian Great Lakes. A suite of reproductive and congenital defects was identified in birds, reptiles, and mammals alike that were attributed to high concentrations of organochlorine pesticides and industrial chemicals. Due to the ubiquitous and persistent nature of many anthropogenic chemicals, these defects, including thyroid dysfunction, hatching success, <e>egg</e> shell thinning, and gross birth deformities, have since been identified in numerous wildlife populations across the world. Certain wildlife taxa such as amphibians are especially vulnerable to chemical perturbation and are suffering alarming population declines. Amphibian field studies have found severe hindlimb and other developmental abnormalities and it has been demonstrated that the greater the agricultural intensity, the greater the number and severity of defects in toad populations. Alligators living in contaminated lakes have shown a significant reduction in penis size and fish exposed to tributyltin have shown tail deformities and abnormal eye development. Physiological and molecular responses to chemical insult are often conserved across vertebrates, alerting scientists and medical professionals alike that greater attention needs to be paid to the roles environmental contaminants play in the etiology of congenital disorders in both humans and wildlife.",M1
20362323,"Maternal transfer of chlorinated contaminants in the leatherback turtles, Dermochelys coriacea, nesting in French Guiana.We examined the maternal transfer of organochlorine contaminants (OCs), pesticides (DDTS and HCHs) and polychlorinated biphenyls (PCBs), and the temporal variation of blood and <e>eggs</e> concentrations from 38 leatherback turtles (Dermochelys coriacea) nesting in French Guiana. PCBs were found to be the dominant OCs with respective mean concentrations of 55.14 ng g(-1) lipid-mass for egg and 1.26 ng mL(-1) wet-mass for blood. OC concentrations were lower than concentrations measured in other marine turtles which might be due to the lower trophic position (diet based on gelatinous zooplankton) and to the location of their foraging and nesting grounds. All OCs detected in leatherback blood were detected in eggs, suggesting a maternal transfer of OCs. This transfer was shown to depend on female blood concentration for SigmaDDTs and for the most prevalent PCB congeners, since significant relationships were found between paired blood-egg concentrations. During the nesting season, OC concentrations in eggs and the percentage of lipid in eggs were found to decline in successive clutches, highlighting a process of offloading from females to their eggs and a decreasing investment of lipid from females into their clutches. OCs in eggs tended to be higher in females spending 3 years in the foraging grounds between two nesting seasons than in those spending 2 years, suggesting an impact of time spacing two breeding seasons, called remigration interval, and of location of the foraging grounds.",M1
