@RELATION C0015230_C1533692

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}
@DATA
20345198,"A case of recurrent herpes zoster leg paresis without rash.Acute herpes zoster neuralgia is a benign infection affecting the sensory part of the nervous system with a painful vesicular <e>eruption</e>. The authors report a case of a 48-year-old woman patient with right leg paresis followed by herpetic rash. Needle electromyography revealed pathologic findings while lumbar magnetic resonance imaging (MRI) revealed no pathologic findings. The patient was managed with strengthening exercises as well as pain relief for neuralgia. The potential role of antiviral pharmacotherapy in such a case is discussed. The authors describe this case because zoster paresis should be one of the differential diagnoses of girdle muscle weakness and because the rash followed the leg paresis. The clinical implications of the case are discussed, since the patient presented from time to time with relapses of the disease without prominent rash.",M1
20233573,"Letter: Adult measles with a butterfly rash-like appearance.Butterfly rash is characterized by symmetrical erythema and erythematous papules and plaques grouped on the bilateral cheeks and nose, commonly found in lupus erythematosus. Measles is a highly contagious viral disease, characterized by high fever, cough, coryza, conjunctivitis, and Koplik spots, which precede generalized maculo-papular rashes. We report an adult case of measles, accompanied by butterfly rash. A 20-year-old woman came to our hospital with a butterfly rash-like <e>eruption</e> on the face, high fever, and arthralgia. The eruption had appeared on the nose and both cheeks three days before admission. The oral mucosa was not involved. On the basis of the three criteria for a diagnosis of lupus eruthematosus, we first made a tentative diagnosis of lupus eruthematosus and performed blood tests. However, anti-DNA antibodies, scl-70, anti-Ro and La, anti-Sm and rheumatoid factor were all negative. Two days after admission, a Koplik macule appeared along with multiple erythematous macules and papules that were scattered through the trunk. Laboratory tests were positive for anti-measles immunoglobulin M and G. Therefore, we reached a diagnosis of measles. Within a week, all of the clinical symptoms disappeared. Physicians should be aware that, in rare cases, measles may present with a butterfly-like rash.",M1
20082895,"Polymorphous light <e>eruption</e>-like skin lesions in welders caused by ultraviolet C light.",M1
19893836,"A purpuric rash.Kelly is 28 years of age and a recreational sea swimmer and surfer. He presented with a rash on both arms of 6 months duration. Kelly said a similar <e>eruption</e> occurred 12 months previously and resolved in a few weeks with 1% hydrocortisone cream. He has no significant past history, is not on any medication, and there is no recent history of trauma or contact with insects or animals. Physical examination revealed multiple, flat, nonblanching dark red lesions on the medial aspect of both arms (Figure 1, 2). The rest of the physical examination was unremarkable. Full blood examination revealed normal levels of haemoglobin, white cells and platelets, and coagulation studies are normal.",M1
19807701,"Vesicular <e>eruption</e> located on sunburned areas in an 8-year-old girl.",M1
19780771,"Usefulness of skin testing in cutaneous drug <e>eruptions</e> in routine practice.BACKGROUND: Cutaneous drug eruptions are common side-effects. The imputation score combining intrinsic (chronology, clinical and paraclinical signs) and extrinsic criteria used in Pharmacovigilance Centres is insufficient alone to identify with certainty a responsible drug. OBJECTIVE: To evaluate the imputation score before and after performing skin testing in patients with cutaneous drug eruptions. PATIENTS/METHODS: A single-centre retrospective study was performed on 339 patients tested between 2001-2006. Imputation scores were calculated before and after skin tests for each cutaneous drug eruption according to the clinical type of skin eruption and the type of drug. RESULTS: Among 121 patients meeting inclusion criteria, 46% showed an increase of the imputation score as shown by 25/41 cases of maculo-papular exanthema, 4/11 cases of acute generalized exanthematous pustulosis and 17/41 cases of urticaria/anaphylaxis. The imputation score increased in 25/70 cases of the tested antibiotic drugs, in 14/56 cases of cardiovascular drugs, and it increased in 19 patients (34%) with I1 or I2 imputation scores before skin testing and in 29 (52%) with an I3 imputation score before skin testing. CONCLUSIONS: Drug skin testing appeared useful in investigating cutaneous drug eruptions in routine practice, including not only drugs with a high imputation score (I3) but also those with a lower score (I1, I2). Drug skin testing should lead to oral rechallenge of drugs with negative tests in order to determine which drugs may be used safely.",M1
19691231,"What's your assessment? Fixed drug <e>eruption</e>.",M1
19689519,"Blueberry muffin rash as the presenting sign of Aicardi-Goutières syndrome.A 36-week gestation singleton male infant was born with hypoglycemia, thrombocytopenia, transaminitis, microcephaly, and a generalized <e>eruption</e> of bluish-red nonblanching macules and papules. Head computed tomography showed intracranial calcifications and enlarged ventricles. Skin biopsy was consistent with extramedullary hematopoiesis, with no evidence of neoplastic infiltrate. Family history was notable for parental consanguinity and twin sisters with the diagnosis of Aicardi-Goutières syndrome, a rare autosomal recessive progressive encephalopathy. Although the infant's clinical presentation at birth suggested an infectious etiology, extensive testing for infection, including TORCH titers, was negative. Cerebrospinal fluid analysis revealed persistent lymphocytosis and an elevated interferon alpha level, consistent with the diagnosis of Aicardi-Goutières syndrome. Although there have been no reported cases of a blueberry muffin rash in Aicardi-Goutières syndrome, it is biologically plausible for this cutaneous manifestation to occur in the setting of a genetic condition that mimics the clinical phenotype of a congenital viral infection. As the capacity to test for different infectious etiologies and genetic syndromes increases, so must the differential diagnosis of a neonatal blueberry muffin rash. It is important to identify these rare syndromes because of their prognostic implications, risk of recurrence with future pregnancies and need for prompt genetic counseling.",M1
19514925,"Severe cutaneous reaction to cetuximab with possible association with the use of over-the-counter skin care products in a patient with oropharyngeal cancer.BACKGROUND: The management of locally advanced head and neck cancer remains a challenge to most oncologists and their patients. Treatment with epithelial growth factor receptor inhibitors (EGFRIs) is associated with a good response. Cetuximab, a chimeric monoclonal antibody directed against epithelial growth factor receptor (EGFR), in combination with radiation therapy is indicated for the treatment of locally advanced squamous cell carcinoma of the head and neck. Although a mild acneiform skin rash (Grade 1, 2) is very common in these patients, severe rash (Grade 3) is uncommon. CASE REPORT: A 61-year-old African American man with locally advanced oropharyngeal cancer was treated with cetuximab and radiation. He developed a sudden flare-up of a skin rash after the 5th cycle of cetuximab following use of over-the-counter (OTC) skin care remedies. The rash manifested with severe maculopapular <e>eruption</e> and erythematous rash, along with desquamation and exfoliation of the skin, mainly on the face and neck area. The patient denied any extraordinary sun exposure. Cetuximab and radiation therapy were held for 1 week and the rash was treated with doxycycline, diphenhydramine, and continued use of natural emollient (Vaseline petroleum jelly). After 1 week, a dramatic improvement of the facial rash was noticed. DISCUSSION: Our report describes a sudden flare-up of a skin rash (Grade 3) after the 5th cycle of cetuximab following use of OTC skin care remedies, which was unusual for this patient, suggesting a possible relation to the therapy. Skin crucially depends on EGFR for its normal function and becomes extremely sensitive during cetuximab therapy. Topical OTC acne and dry skin remedies can suddenly change the mild acneiform rash into severe skin toxicity associated with marked desquamation and exfoliation. Avoidance of further skin damage caused by topical applications and the use of doxycycline and diphenhydramine show a significant success in the management of skin toxicity.",M1
19502983,"An update on pityriasis rosea and other similar childhood exanthems.PURPOSE OF REVIEW: Pityriasis rosea is a common skin condition seen in children and adults. Whereas pityriasis rosea is a benign condition, it is important to distinguish it from other childhood exanthems. RECENT FINDINGS: Pityriasis rosea can present in a variety of manners. Most often a herald patch precedes the generalized <e>eruption</e>, although this is not always the case. Pityriasis rosea may lead to undesirable outcomes when affecting pregnant women. Guttate psoriasis, secondary syphilis, cutaneous lupus erythematosus, capillaritis, pityriasis versicolor, nummular eczema, and cutaneous T-cell lymphoma are important to consider in the differential diagnosis of pityriasis rosea. SUMMARY: Pityriasis rosea is self-limiting, usually lasting 1-3 months. Treatment may be considered in certain cases, although there is a paucity of medical studies supporting any definitive treatment. However, treatment may be warranted for other conditions that mimic pityriasis rosea.",M1
19453777,"Doripenem-induced intertriginous drug <e>eruption</e> as a mild form of AGEP.",M1
