@RELATION C0677644_C0013671

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19933352,"Iron sources used by the nonpathogenic lactic acid bacterium Lactobacillus sakei as revealed by electron energy loss spectroscopy and secondary-ion mass spectrometry.Lactobacillus sakei is a lactic acid bacterium naturally found on meat. Although it is generally acknowledged that lactic acid bacteria are rare species in the microbial world which do not have iron requirements, the genome sequence of L. sakei 23K has revealed quite complete genetic equipment dedicated to transport and use of this metal. Here, we aimed to investigate which iron sources could be used by this species as well as their role in the bacterium's physiology. Therefore, we developed a microscopy approach based on electron energy loss spectroscopy (<e>EELS</e>) analysis and nano-scale secondary-ion mass spectrometry (SIMS) in order to analyze the iron content of L. sakei cells. This revealed that L. sakei can use iron sources found in its natural ecosystem, myoglobin, hemoglobin, hematin, and transferrin, to ensure long-term survival during stationary phase. This study reveals that analytical image methods (EELS and SIMS) are powerful complementary tools for investigation of metal utilization by bacteria.",M1
19589997,"Dynamics of chemical bonding mapped by energy-resolved 4D electron microscopy.Chemical bonding dynamics are fundamental to the understanding of properties and behavior of materials and molecules. Here, we demonstrate the potential of time-resolved, femtosecond electron energy loss spectroscopy (<e>EELS</e>) for mapping electronic structural changes in the course of nuclear motions. For graphite, it is found that changes of milli-electron volts in the energy range of up to 50 electron volts reveal the compression and expansion of layers on the subpicometer scale (for surface and bulk atoms). These nonequilibrium structural features are correlated with the direction of change from sp2 [two-dimensional (2D) graphene] to sp3 (3D-diamond) electronic hybridization, and the results are compared with theoretical charge-density calculations. The reported femtosecond time resolution of four-dimensional (4D) electron microscopy represents an advance of 10 orders of magnitude over that of conventional EELS methods.",M1
19284893,"A transmission electron microscopy study of Fe-Co alloy nanoparticles in silica aerogel matrix using HREM, EDX, and <e>EELS</e>.Magnetic nanocomposite materials consisting of 5.5 wt% Fe-Co alloy nanoparticles in a silica aerogel matrix, with compositions Fe(x)Co(1-x) of x = 0.50 and 0.67, have been synthesized by the sol-gel method. The high-resolution transmission electron microscopy images show nanoparticles consisting of single crystal grains of body-centered cubic Fe-Co alloy, with typical crystal grain diameters of approximately 4 and 7 nm for Fe(0.5)Co(0.5) and Fe(0.67)Co(0.33) samples, respectively. The energy dispersive X-ray (EDX) spectra summed over areas of the samples gave compositions Fe(x)C(o1-x) with x = 0.48 +/- 0.06 and 0.68 +/- 0.05. The EDX spectra obtained with the 1.5 nm probe positioned at the centers of approximately 20 nanoparticles gave slightly lower concentrations of Fe, with means of x = 0.43 +/- 0.01 and x = 0.64 +/- 0.02, respectively. The Fe(0.5)Co(0.50) sample was studied using electron energy loss spectroscopy (EELS), and EELS spectra summed over whole nanoparticles gave x = 0.47 +/- 0.06. The EELS spectra from analysis profiles of nanoparticles show a distribution of Fe and Co that is homogeneous, i.e., x = 0.5, within a precision of at best +/-0.05 in x and +/-0.4 nm in position. The present microscopy results have not shown the presence of a thin layer of iron oxide, but this might be at the limit of detectability of the methods.",M1
19157888,"Focused ion beam milling and ultramicrotomy of mineralised ivory dentine for analytical transmission electron microscopy.The use of focused ion beam (FIB) milling for preparation of sections of mineralised ivory dentine for transmission electron microscopy (TEM) is investigated. Ivory dentine is essentially composed of fibrillar type-I collagen and apatite crystals. The aim of this project is to gain a clearer understanding of the relationship between the organic and inorganic components of ivory dentine using analytical TEM, in order to utilise these analytical techniques in the context of common skeletal diseases such as osteoporosis and arthritis. TEM sections were prepared in both single and dual beam FIB instruments, using two standard lift-out techniques, in situ and ex situ. The FIB sections were systematically compared with sections prepared by ultramicrotomy, the traditional preparation route in biological systems, in terms of structural and chemical differences. A clear advantage of FIB milling over ultramicrotomy is that dehydration, embedding and section flotation can be eliminated, so that partial mineral loss due to dissolution is avoided. The characteristic banding of collagen fibrils was clearly seen in FIB milled sections without the need for any chemical staining, as is commonly employed in ultramicrotomy. The FIB milling technique was able to produce high-quality TEM sections of ivory dentine, which are suitable for further investigation using electron energy-loss spectroscopy (<e>EELS</e>) and energy-filtering TEM (EFTEM) to probe the collagen/apatite interface.",M1
18638188,"Application of elemental microanalysis to elucidate the role of spherites in the digestive gland of the helicid snail Chilostoma lefeburiana.In this case study we present an application of different analytical electron microscopic methods in biology, to elucidate their usefulness in such investigations. Using analytical electron microscopy, spherites in the digestive gland cells of the helicid snail Chilostoma lefeburiana were examined at three stages: just before the non-feeding period of over-wintering in November, in the middle of over-wintering in February and at its end in March. A detailed characterization of changes in the elemental composition of the spherites was characterized by a combination of transmission electron microscopy (TEM), energy dispersive x-ray spectroscopy (EDXS), electron energy-loss spectroscopy (<e>EELS</e>) and energy filtering TEM (EFTEM). During over-wintering, the spherites passed the following changes. Before over-wintering in November, they consisted of striking concentric layers of electron-dense and electron-lucent zones, while in February and March they showed clear empty zones between materials of different electron density. In November spherites, C, O, Ca, P, Cl, Fe, Si, Na, K, Mg and S were detected, whereas in February ones C, O, N, Cl, Si and S were found and only C, O, N, Si and Cl were detected in March spherites. It is suggested that the elements missing in February and March were used in different physiological processes during over-wintering, like (1) the maintenance of the appropriate elemental composition of the internal environment, (2) accumulation of non-toxic waste materials that cannot be metabolized and (3) avoiding potential intoxication by contamination with toxic metals.",M1
18454473,"Thickness measurements with electron energy loss spectroscopy.Measurements of thickness using electron energy loss spectroscopy (<e>EELS</e>) are revised. Absolute thickness values can be quickly and accurately determined with the Kramers-Kronig sum method. The EELS data analysis is even much easier with the log-ratio method, however, absolute calibration of this method requires knowledge of the mean free path of inelastic electron scattering lambda. The latter has been measured here in a wide range of solids and a scaling law lambda approximately rho(-0.3) versus mass density rho has been revealed. EELS measurements critically depend on the excitation and collection angles. This dependence has been studied experimentally and theoretically and an efficient model has been formulated.",M1
18322296,"The development and characteristics of a high-speed <e>EELS</e> mapping system for a dedicated STEM.A new EELS (electron energy loss spectroscopy) real-time elemental mapping system has been developed for a dedicated scanning transmission electron microscope (STEM). The previous two-window-based jump-ratio system has been improved by a three-window-based system. It is shown here that the three-window imaging method has less artificial intensity in elemental maps than the two-window-based method. Using the new three-window system, the dependence of spatial resolution on the energy window width was studied experimentally and also compared with TEM-based EELS. Here it is shown experimentally that the spatial resolution of STEM-based EELS is independent of the energy window width in a range from 10 eV to 60 eV.",M1
18166483,"Development of electron energy-loss spectroscopy for nanoscience.Electron energy-loss spectroscopy (<e>EELS</e>) has been well established in providing the composition and chemical bonding information of materials, particularly for light elements. Its potential for structural determination has long been known but has yet to be fully explored. With the convergence of rapid development in computing power and improvement in the efficiency of the material specific electronic structure simulation, plus the recent breakthrough in the development of C(s)-corrected electron microscopy, the reconstruction of the local three dimensional structure of nanomaterial using EELS in conjunction with advanced structural imaging and diffraction techniques is becoming increasingly feasible. In this paper, we will review from our own examples the progress in EELS instrumentation, methods and simulation to illustrate the progress that has been made. They include the density-function-theory-based ab initio spectroscopic simulation for standard-less fingerprint applications for metastable polymorph identification, magic angle electron energy-loss spectroscopy as well as recent results from the dual-detectors EELS system which allows the energy instability of the spectrometer to be analyzed in real-time and eventually compensated on-line.",M1
18155913,"Local crystal anisotropy obtained in the small probe geometry.A brief review of the scattering mechanisms of spatially resolved <e>EELS</e> is given. This discussion shows that the sensitivity of EELS to scattering angle and to the symmetry or parity of a specimen excitation is closely related to spatial resolution. In the past, large probe, angle resolved experiments have been used to show that EELS can be used to obtain specimen anisotropy. It is pointed out here that under certain conditions, a small probe experiment can also be used for this purpose. This suggestion is illustrated with an analysis of EXELFS scattering in graphite in the small probe geometry.",M1
18096395,"Dose-limited spectroscopic imaging of soft materials by low-loss <e>EELS</e> in the scanning transmission electron microscope.Spectroscopic imaging in the scanning transmission electron microscope (STEM) using spatially resolved electron energy-loss spectroscopy (EELS) provides one of the few ways to quantitatively measure the real-space nanoscale morphology of soft materials such as polymers and biological tissue. This paper describes the basic principles of this technique and outlines some of the important attributes that define the achievable spatial resolution. Many soft materials can be differentiated from each other as well as from solvents based on their EELS fingerprints. Applying a multiple least squares (MLS) fitting algorithm using such spectral fingerprints to analyze spatially resolved spectrum datasets enables the quantitative mapping of the different components in a specimen. However, in contrast to TEM studies of many inorganic materials where the spatial resolution is limited principally by the spherical aberration of the objective lens, the spatial resolution associated with the imaging of radiation-sensitive soft materials is limited by the total electron dose to which they can be exposed before suffering irrevocable chemical or structural damage. The Rose criterion provides a simple guide to enhance the so-called dose-limited spatial resolution relevant to soft-materials imaging. By using the low-loss portion of an EELS spectrum where the inelastic scattering cross-sections are highest together with improvements in data-collection efficiency and post-acquisition data processing, the dose-limited resolution in spectrum images of solvated polymers has moved into the sub 10nm regime. This resolution is sufficient to solve important applications-oriented problems associated with hetero interfaces, nanoscale mixing, and nanophase separation.",M1
18082411,"High-resolution Z-contrast imaging and <e>EELS</e> study of functional oxide materials.Functional complex-oxide materials show a wide variety of properties and behaviors that cannot be found in any other class of materials, including high-temperature superconductivity and colossal magneto resistance. Consequently, this group of oxide materials has become the focus of many experimental as well as theoretical studies, aiming at understanding the fundamental mechanisms and properties that govern these complex structures. Here, we will review our high-resolution Z-contrast imaging and electron energy-loss studies of two complex-oxide materials systems, more specifically low-angle tilt grain-boundaries in YBa(2)Cu(3)O(7) (YBCO), and the spin-state transition in LaCoO(3). It will be shown that the O K-edge pre-peak can be used to quantify the hole-concentration in the vicinity of the dislocation core in YBCO, as well as to determine the Co(3+) spin-state in LaCoO(3).",M1
18042390,"Comparison of the electronic structure of a thermoelectric skutterudite before and after adding rattlers: an electron energy loss study.Skutterudites, with rattler atoms introduced in voids in the crystal unit cell, are promising thermoelectric materials. We modify the binary skutterudite with atomic content Co(8)P(24) in the cubic crystal unit cell by adding La as rattlers in all available voids and replacing Co by Fe to maintain charge balance, resulting in La(2)Fe(8)P(24). The intention is to leave the electronic structure unaltered while decreasing the thermal conductivity due to the presence of the rattlers. We compare the electronic structure of these two compounds by studying the L-edges of P and of the transition elements Co and Fe using electron energy loss spectroscopy (<e>EELS</e>). Our studies of the transition metal white lines show that the 3d electron count is similar for Co and Fe in these compounds. As elemental Fe has one electron less than Co, this supports the notion that each La atom donates three electrons. The L-edges of P in these two skutterudites are quite similar, signalling only minor differences in electronic structure. This is in reasonable agreement with density functional theory (DFT) calculations, and with our multiple scattering FEFF calculations of the near edge structure. However, our experimental plasmon energies and dielectric functions deviate considerably from predictions based on DFT calculations.",M1
18037305,"Quantitative electron energy-loss spectroscopy (<e>EELS</e>) analyses of lead zirconate titanate.Electron energy-loss spectroscopy (EELS) analyses have been performed on a sol-gel deposited lead zirconate titanate film, showing that EELS can be used for heavy as well as light element analysis. The elemental distributions within the sol-gel layers are profiled using the Pb N(6,7)-edges, Zr M-edges, Ti L-edges and O K-edge. A multiple linear least squares fitting procedure was used to extract the Zr signal which overlaps with the Pb signal. Excellent qualitative information has been obtained on the distribution of the four elements. The non-uniform and complementary distributions of Ti and Zr within each sol-gel deposited layer are observed. The metal:oxygen elemental ratios are quantified using experimental standards of PbTiO(3), PbZrO(3), ZrO(2) and TiO(2) to provide relevant cross-section ratios. The quantitative results obtained for Ti/O and Pb/O are very good but the Zr/O results are less accurate. Methods of further improving the results are discussed.",M1
17936361,"Sub-cellular localization of manganese in the basal ganglia of normal and manganese-treated rats An electron spectroscopy imaging and electron energy-loss spectroscopy study.We have studied at the ultrastructural level the presence of manganese (Mn) in rat basal ganglia, which are target regions of the brain for Mn toxicity. The rats underwent a moderate level of Mn exposure induced per os for 13 weeks. Mn was detected by means of electron spectroscopy imaging (ESI) and electron energy-loss spectroscopy (<e>EELS</e>) analyses on perfusion fixed samples embedded in resin. While no significant contamination by exogenous Mn occurred during the processing procedures, less than 50% of endogenous Mn was lost during fixation and dehydration of the brain samples. The residual Mn ions in the samples appeared as discrete particles, localized in selected sub-cellular organelles in a cell, suggesting that no significant translocation had occurred in the surrounding area. In control rats, the Mn sub-cellular localization and relative content were the same in neurons and astrocytes of rat striatum and globus pallidus: the Mn level was highest in the heterochromatin and in the nucleolus, intermediate in the cytoplasm, and lowest in the mitochondria (p&lt;0.001). After chronic Mn treatment, while no ultrastructural damage was detected in the neurons and glial cells, the largest rate of Mn increase was noted in the mitochondria of astrocytes (+700%), an intermediate rate in the mitochondria of neurons (+200%), and the lowest rate in the nuclei (+100%) of neurons and astrocytes; the Mn level in the cytoplasm appeared unchanged. EELS analysis detected the specific spectra of Mn L(2,3) (peak at DeltaE = 665 eV) in such organelles, confirming the findings of ESI. Although a consistent loss of Mn occurred during the processing of tissue samples, ESI and EELS can be useful methods for localization of endogenous Mn in embedded tissues. The high rate of Mn sequestration in the mitochondria of astrocytes in vivo may partly explain the outstanding capacity of astrocytes to accumulate Mn, and their early dysfunction in Mn neurotoxicity. The high level of Mn in the heterochromatin and nucleoli of neurons and astrocytes in basal conditions and its further increase after Mn overload should provide insight into new avenues of investigating the role of Mn in the normal brain and a baseline for future Mn toxicity studies.",M1
17656763,"Electron energy-loss spectroscopy as a tool for elemental analysis in biological specimens.A transmission electron microscope (TEM) accessory, the energy filter, enables the establishment of a method for elemental microanalysis, the electron energy-loss spectroscopy (<e>EELS</e>). In conventional TEM, unscattered, elastic, and inelastic scattered electrons contribute to image information. Energy-filtering TEM (EFTEM) allows elemental analysis at the ultrastructural level by using selected inelastic scattered electrons. EELS is an excellent method for elemental microanalysis and nanoanalysis with good sensitivity and accuracy. However, it is a complex method whose potential is seldom completely exploited, especially for biological specimens. In addition to spectral analysis, parallel-EELS, we present two different imaging techniques in this chapter, namely electron spectroscopic imaging (ESI) and image-EELS. We aim to introduce these techniques in this chapter with the elemental microanalysis of titanium. Ultrafine, 22-nm titanium dioxide particles are used in an inhalation study in rats to investigate the distribution of nanoparticles in lung tissue.",M1
17481348,"Electron energy loss spectroscopy (<e>EELS</e>) of iron Fischer-Tropsch catalysts.Electron energy loss spectroscopy (EELS), X-ray photoelectron spectroscopy (XPS), and transmission electron microscopy have been used to study iron catalysts for Fischer-Tropsch synthesis. When silica-containing iron oxide precursors are activated in flowing CO, the iron phase segregates into iron carbide crystallites, leaving behind some unreduced iron oxide in an amorphous state coexisting with the silica binder. The iron carbide crystallites are found covered by characteristic amorphous carbonaceous surface layers. These amorphous species are difficult to analyze by traditional catalyst characterization techniques, which lack spatial resolution. Even a surface-sensitive technique such as XPS shows only broad carbon or iron peaks in these catalysts. As we show in this work, EELS allows us to distinguish three different carbonaceous species: reactive amorphous carbon, graphitic carbon, and carbidic carbon in the bulk of the iron carbide particles. The carbidic carbon K edge shows an intense  pi*  peak with an edge shift of about 1 eV to higher energy loss compared to that of the pi* of amorphous carbon film or graphitic carbon. EELS analysis of the oxygen K edge allows us to distinguish the amorphous unreduced iron phase from the silica binder, indicating these are two separate phases. These results shed light onto the complex phase transformations that accompany the activation of iron catalysts for Fischer-Tropsch synthesis.",M1
17450797,"Synthesis of carbon-nitrogen nanostructures by hot isostatic pressure apparatus and their field emission properties.Carbon-nitrogen (CN) nanofibers were synthesized in argon-nitrogen gas mixture at 75 MPa by high isostatic pressure (HIP) apparatus using a graphite resistive heater. The CN nanofibers were grown in random with the diameter of about 200 nm and the length over 5 microm. The structures obtained can be divided bamboo-like, spring-like, and bead necklace-like CN nanofibers. The nitrogen content of up to 8.4% was found in CN nanofibers by <e>EELS</e> analysis. Field emission results showed that the density of field emitters and the field enhancement factors changed by surface treatments and that CN nanofibers contained glass frit. The screen-printed CN nanofiber had a turn-on field of 2 V/microm.",M1
17279511,"New developments in electron energy loss spectroscopy.In the electron microscope, spectroscopic signals such as the characteristic X-rays or the energy loss of the incident beam can provide an analysis of the local composition or electronic structure. Recent improvements in the energy resolution and sensitivity of electron spectrometers have improved the quality of spectra that can be obtained. Concurrently, the calculations used to simulate and interpret spectra have made major advances. These developments will be briefly reviewed. In recent years, the focus of analytical electron microscopy has moved away from single spectrum acquisition to mapping and imaging. In particular, the use of spectrum imaging (SI), where a full spectrum is acquired and stored at each pixel in the image is becoming widespread. A challenge for the application of spectrum imaging is the processing of such large datasets in order to extract the significant information. When we go beyond the mapping of composition and look to map bonding and electronic structure this becomes both more important and more difficult. Approaches to processing spectrum imaging data sets acquired using electron energy loss spectroscopy (<e>EELS</e>) will be explored in this paper.",M1
17163552,"Structural characterization of modern and fossilized charcoal produced in natural fires as determined by using electron energy loss spectroscopy.Charcoal produced in natural fires is widespread, but surprisingly little is known about its structure and stability. TEM and electron energy loss spectroscopy (<e>EELS</e>) were used to characterize the organized graphite-like microcrystallites and amorphous nonorganized phases of modern charcoal that had been produced in natural fires. In addition, a semiordered structure was identified in two modern charcoal samples. Fossilized charcoal contains fewer graphite-like microcrystallites than modern samples. EELS spectra confirmed that the dominant structure in fossilized charcoal is amorphous carbon. EELS measurements also revealed that only the nonorganized phase contains oxygen, which indicates that the degradation of the fossilized charcoal structure occurs mainly through oxidation processes. The few graphite-like microcrystallites found in fossilized charcoal were composed of onion-like structures that are probably less prone to oxidation owing to their rounded structures.",M1
16800688,"Selective protein adsorption on a phase-separated solvent-cast polymer blend.Polymer-based biomedical devices are growing increasingly sophisticated as compositions evolve toward copolymers and blends in order to satisfy complex design criteria. Such polymers afford opportunities for both micro- and macrophase separation at nano- and micro-length scales and raise questions concerning the role of heterogeneous surface morphology on protein adsorption. Adsorbed protein layers play a critical role in mediating the interaction of cells with polymer surfaces, and both understanding and controlling protein adsorption is assuming greater significance in the development of surfaces with enhanced physiological compatibility. Here we study the short-time adsorption of ferritin, a model protein highly resistant to denaturation and easily imaged in the transmission electron microscope (TEM), onto a phase-separated homopolymer blend of polycaprolactone (PCL) and a polycarbonate derived from desaminotyrosyl-tyrosine dodecyl ester (PDTD). At physiological pH, ferritin selectively adsorbs onto the PDTD phase at a surface density approximately three times greater than that on the PCL phase. By decreasing the pH below ferritin's isoelectric point so its average charge becomes positive, the selective adsorption disappears and the surface density of adsorbed ferritin becomes independent of the phase separation. We attribute the selectivity to the electrostatic repulsion between ferritin and hydrolytically charged PCL, both of which will have a net negative charge at physiological pH. To perform these experiments, we solvent-cast ultrathin polymer films onto dissolvable salt substrates, and we characterize the morphology by TEM imaging and quantitative spatially resolved electron energy-loss spectroscopy (<e>EELS</e>). We find that the film morphology depends strongly on such processing-related variables as the solvent evaporation rate and the nature of the surface in contact with the polymer film during casting. The adsorption of ferritin depends on whether the film is phase-separated as well as to which surface of the film the protein solution is exposed, and these findings suggest that seemingly small variations in polymer processing that influence both the bulk and surface morphology can have a profound effect on the short-time protein adsorption.",M1
16704252,"Diffuse polymer interfaces in lobed nanoemulsions preserved in aqueous media.Using valence electron energy loss spectroscopy (<e>EELS</e>) in the cryo-scanning transmission electron microscopy (STEM), we found that the polymer-polymer interface in two-phase nanocolloids of polydimethyl siloxane (PDMS) and copolymer (methyl acrylate (MA)-methyl methacrylate (MMA)-vinyl acetate (VA)) preserved in water was diffuse despite the fact that equilibrium thermodynamics indicates it should only be on the order of a few nanometers. The diffuse interface is a result of the kinetic trapping of the copolymer within the PDMS phase, and this finding suggests new nonequilibrium pathways to control interfaces during the synthesis of multicomponent polymeric nanostructures.",M1
16376553,"Analysis of element accumulation in cell wall attached and intracellular particles of snow algae by <e>EELS</e> and ESI.Snow algae frequently occur in alpine and polar permanent snow ecosystems and have developed adaptations to their harsh environment, where extreme temperature regimes high irradiation and low nutrient levels prevail. They live in a unique microhabitat, namely the liquid water between snow crystals. The predominant form appears as 'red snow' and in polar environment also 'green snow' frequently occurs. Light microscopy showed that most cells are densely covered by non-biotic particles of so far unknown composition. As snow normally contains very low amounts of nutrients, introduced mainly airborne like dust and precipitation, the inorganic particles at the surface of the snow algae may be important for their survival. By using electron energy loss spectroscopy (EELS) and electron spectroscopic imaging (ESI), we investigated element distribution in ultrathin sections of snow algae from different polar (Svalbard, 5 m a.s.l., 79 degrees N and maritime Antarctic, King George Island, 10 m a.s.l., 62 degrees S) and alpine habitats (2400-3100 m a.s.l. Tyrol) for the present study. It turned out that the main elements of the cell wall attached particles are Si, Al, Fe and O independently from the origin of the snow algae. Interestingly, the same elements were also found in vacuolar compartments inside the cells. These vacuoles contain electron dense granules or crystals and are frequently found to be connected to the cortical cytoplasm. This finding suggests an uptake mechanism of the respective elements by pinocytosis. Co-transport of toxic aluminium together with silicon may be unavoidable as the inorganic nutrient uptake of the snow algae is limited to the thin water layer between the ice crystals. However, formation of insoluble aluminium silicates may serve as detoxification mechanism.",M1
16309839,"Probing the population of the spin-orbit split levels in the actinide 5f states.Spin-orbit interaction in the 5f states is believed to strongly influence exotic behaviors observed in actinide metals and compounds. Understanding these interactions and how they relate to the actinide series is of considerable importance. To address this issue, the branching ratio of the white-line peaks of the N4,5 edge for the light actinide metals, alpha-Th, alpha-U, and alpha-Pu were recorded using electron energy-loss spectroscopy (<e>EELS</e>) in a transmission electron microscope (TEM) and synchrotron-radiation-based X-ray absorption spectroscopy (XAS). Using the spin-orbit sum rule and the branching ratios from both experimental spectra and many-electron atomic spectral calculations, accurate values of the spin-orbit interaction, and thus the relative occupation of the j = 5/2 and 7/2 levels, are determined for the actinide 5f states. Results show that the spin-orbit sum rule works very well with both EELS and XAS spectra, needing little or no correction. This is important, since the high spatial resolution of a TEM can be used to overcome the problems of single-crystal growth often encountered with actinide metals, allowing acquisition of EELS spectra, and subsequent spin-orbit analysis, from nm-sized regions. The relative occupation numbers obtained by our method have been compared with recent theoretical results and they show a good agreement in their trend.",M1
16112165,"Coagulation of humic substances and dissolved organic matter with a ferric salt: an electron energy loss spectroscopy investigation.Transmission electron microscopy (TEM) coupled with electron energy loss spectroscopy (<e>EELS</e>) and energy dispersive X-ray spectroscopy (EDXS) was used to investigate the coagulation of natural organic matter with a ferric salt. Jar-test experiments were first conducted with a reconstituted water containing either synthetic or natural extracts of humic substances, and then with a raw water from Moselle River (France). The characterization of the freeze-dried coagulated sediment by EELS in the 250-450 eV range, showed that Fe-coagulant species predominantly associate with the carboxylic groups of organic matter, and that this interaction is accompanied by a release of previously complexed calcium ions. The variation of Fe/C elemental ratio with iron concentration provides insightful information into the coagulation mechanism of humic substances. At acid pH, Fe/C remains close to 3 over the whole range of iron concentrations investigated, while a much lower atomic ratio is expected from the value of optimal coagulant dosage. This suggests that a charge neutralization/complexation mechanism is responsible for the removal of humic colloids, the aggregates being formed with both iron-coagulated and proton-neutralized organic compounds. At pH 8, the decrease in Fe/C around optimal coagulant concentration is interpreted as a bridging of stretched humic macromolecules by Fe-hydrolyzed species. Aggregation would then result from a competition between reconformation of humic chains around coagulant species and collision of destabilized humic material. EELS also enabled a fingerpriting of natural organic substances contained in the iron-coagulated surface water, N/C elemental analyses revealing that humic colloids are removed prior to proteinic compounds.",M1
