@RELATION C0014792_C0014772

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20572373,"Lipid peroxidation and antioxidant enzyme activities in <e>erythrocytes</e> of type 2 diabetic patients.BACKGROUND AND OBJECTIVE: Although diabetes mellitus (DM) patients are claimed to be under oxidative stress because of prolonged exposure to hyperglycemia, the influence of glycemic control and cardiovascular complication in diabetes on oxidative stress parameters has not been fully studied. The present study aimed to investigate lipid peroxidation end product (malondialdehyde, MDA) and antioxidant enzymes in fairly controlled type 2 DM (fasting plasma glucose [FPG] &lt; or = 180 mg/dl) or type 2 DM complicated with coronary heart disease (CHD) and poorly controlled type 2 DM (FPG &gt; 180 mg/dl) in comparison to a normal healthy group (FPG &lt; 110 mg/dl). MATERIAL AND METHOD: MDA and antioxidant enzymes such as superoxide dismutase (SOD), glutathione peroxidase (GPx) and catalase (CAT) were determined in the red cell of 19 subjects with poorly controlled type 2 DM, 26 subjects with fairly controlled type 2 DM and 20 subjects with type 2 DM complicated with CHD who were matched for age and gender. Twenty healthy subjects with normal plasma glucose level and matched for age and gender were served as a control group. In all groups of DM these oxidative stress parameters were compared to a control group by one-way ANOVA test. Pearson rank correlation coefficient was used to compare the relationship between FPG and oxidative stress status in type 2 DM and normal controls. RESULTS: The red cell MDA levels were significantly higher in all types of diabetes compared to age-matched normal controls. The mean of red cell MDA level was highest in type 2 DM complicated with CHD. Red cell antioxidant enzyme activities were also significantly increased except for SOD and GPx activities in fairly controlled type 2 DM. The significant positive correlation between oxidative stress status (as MDA and CAT) and FPG was found in poorly controlled type 2 DM and type 2 DM complicated with CHD whereas in fairly controlled type 2 DM the significant positive correlation between CAT and FPG was only observed. CONCLUSION: These findings strongly confirmed the evidence that diabetic patients were susceptible to oxidative stress and higher blood glucose level had an association with free radical-mediated lipid peroxidation. The highest level of MDA in type 2 DM complicated with CHD suggested that oxidative stress played an important role in the pathogenesis of cardiovascular complication. The results also showed the increase in antioxidant enzymes. These could probably be due to adaptive response to pro-oxidant in diabetic state. Hence, there seems to be imbalance between oxidant and antioxidant systems in type 2 diabetic patients.",M1
20518653,"Gamma-tocotrienol protects hematopoietic stem and progenitor cells in mice after total-body irradiation.We analyzed the radioprotective effects of gamma-tocotrienol (GT3) on hematopoietic stem cells (HSCs) and progenitor cells (HPCs) in sublethally irradiated mice. Flow cytometry analysis indicated that radiation depleted HPCs (c-Kit(+), Lin(-)) to 40% at days 2 and 4 after total-body irradiation (TBI) in all treatment groups. The HPC numbers in GT3-treated mice recovered almost completely (90%) at day 7 but remained depleted in vehicle-treated mice (30%) even at day 13 after TBI. An in vitro colony-forming assay on sorted HSCs (Lin(-), Sca1(+), c-Kit(+)) indicated that TBI reduced the number of colonies to 40% and 50% at day 17 and 60, respectively, in vehicle-treated groups compared to unirradiated controls (naïve). GT3-treated irradiated mice maintained higher numbers of colonies (86% and 80% compared to naïve mice), thereby preserving the self-renewable capacity of HSCs. Histopathology of sternal bone marrow indicated more regenerative microfoci for myeloid cells and megakaryocytes and higher overall cellularity in GT3-treated mice compared to vehicle controls at days 7 and 13 after TBI. GT3 treatment also reduced the frequency of micronucleated <e>erythrocytes</e> significantly in irradiated mice. Our results demonstrate that GT3 protected hematopoietic tissue by preserving the HSCs and HPCs and by preventing persistent DNA damage.",M1
20511673,"Polyphenols enhance total oxidant-scavenging capacities of human blood by binding to red blood cells.The present study offers a new look at the role of <e>erythrocytes</e> and of erythrocytes-polyphenol complexes as potent 'sinks' for reactive oxygen species. We hereby show that human erythrocytes have the capacity not only to carry oxygen, but also to bind avidly to their surfaces a large variety of polyphenol antioxidants, which endows upon such complexes enhanced total oxidant-scavenging capacities (TOSC). This was proven by using confocal microscopy, 2,2-diphenyl-1-picrylhydrazyl radical, Folin-Ciocalteu's reagent, cyclic voltammetry and chemiluminescence techniques. The results presented suggest that the true TOSC of blood is the sum of intracellular antioxidants of red blood cells and other blood cells (mainly due to catalase), the polyphenols bound to their surfaces and the antioxidant agents present in plasma. Since erythrocytes can avidly bind and rapidly remove circulating polyphenols, the rule of the thumb to quantify antioxidants in health and disease processes exclusively in plasma as customary in clinical settings, does not represent the true TOSC of whole blood. We also postulate that circulating erythrocytes and possibly also other blood cells might be constantly coated by polyphenols from supplemented nutrients, which act as antioxidant depots and can thus act as protectors against the harmful consequences of oxidative stress. Further studies are needed to determine the faith of polyphenols in the circulation and their sequestration in the spleen.",M1
20491333,"[Role of hemoglobin affinity to oxygen in adaptation to hypoxemia]One of the basic mechanisms of adapting to hypoxemia is a decrease in the affinity of hemoglobin for oxygen. This process occurs mainly due to the increased synthesis of 2,3-diphosphoglycerate (2,3-DPG) in the <e>erythrocytes</e>, as well as through the Bohr effect. Hemoglobin with decreased affinity for oxygen increases the oxygenation of tissues, because it gives up oxygen more easily during microcirculation. In foetal circulation, however, at a partial oxygen pressure (pO2) of 25 mmHg in the umbilical vein, the oxygen carrier is type F hemoglobin which has a high oxygen affinity. The commonly accepted role for hemoglobin F is limited to facilitating diffusion through the placenta. Is fetal life the only moment when haemoglobin F is useful? THE AIM OF STUDY was to create a mathematical model, which would answer the question at what conditions an increase, rather than a decrease, in haemoglobin oxygen affinity is of benefit to the body. MATERIAL AND METHODS: Using the kinetics of dissociation of oxygen from hemoglobin described by the Hill equation as the basis for further discussion, we created a mathematical model describing the pO2 value in the microcirculatory system and its dependence on arterial blood pO2. The calculations were performed for hemoglobin with low oxygen affinity (adult type) and high-affinity hemoglobin (fetal type). The modelling took into account both physiological and pathological ranges of acid-base equilibrium and tissue oxygen extraction parameters. RESULTS: It was shown that for the physiological range of acid-base equilibrium and the resting level of tissue oxygen extraction parameters, with an arterial blood pO2 of 26.8 mmHg, the higher-affinity hemoglobin becomes the more effective oxygen carrier. It was also demonstrated that the arterial blood pO2, below which the high-affinity hemoglobin becomes the more effective carrier, is dependent on blood pH and the difference between the arterial and venous oxygen saturation levels. Simulations performed for the pathological states showed that acidosis and increased tissue oxygen demand lead to a broadened arterial blood pO2 range, in which the high-affinity hemoglobin is more efficient. CONCLUSIONS: Contrary to the widely held view that the only response to hypoxemia is a decrease in haemoglobin oxygen affinity, it was shown that under extreme hypoxemic conditions, an increased haemoglobin oxygen affinity improves the oxygenation of tissues. It was also shown that the dominance of hemoglobin with a high oxygen affinity rapidly exceeds hemoglobin with low oxygen affinity in the case of acidosis with its accompanying high tissue oxygen extraction. In cases of extreme disruptions of the acid-base equilibrium, the dominance of high-oxygen-affinity hemoglobin spans over the entire possible range of pO2 in arterial blood.",M1
20480813,"[Influence of copper ions on hematological and cytogenetic parameters of fresh-water fishes Carassius auratus gibelio]Influence of copper ions on white blood cells parameters in Carassius auratus gibelio was investigated. Changes in cytogenetic parameters and instability in <e>erythrocytes</e> and epithelial cells of gills were estimated in reply to influence of copper solutions. The frequency of epithelial gill cells at a stage of apoptosis was investigated. The opportunity to use the hematological parameters and cytogenetic instability set for xenobiotics effects in fishes was shown.",M1
20472854,"Diagnosis of iron deficiency in patients undergoing hemodialysis.To diagnose iron deficiency in patients undergoing hemodialysis, the percentage of hypochromic RBCs (with cellular hemoglobin concentration &lt;280 g/L [HYPO%]) and mean reticulocyte hemoglobin content (CHret) provided by the Siemens ADVIA 120 and 2120 analyzers (Siemens Diagnostic Solutions, Tarrytown, NY) were proposed as alternatives to biochemical tests. Sysmex, with its XE-5000 analyzer (Sysmex, Kobe, Japan), also proposed the percentage of <e>erythrocytes</e> with cellular hemoglobin content lower than 17 pg (%Hypo-He) and equivalent of the mean reticulocyte hemoglobin content (Ret-He) with similar clinical applications. Our aim was to verify the clinical usefulness of the biochemical and cellular parameters as predictors of iron deficiency in patients undergoing long-term hemodialysis. We studied 69 patients undergoing hemodialysis 3 times weekly. The baseline values of serum ferritin and percentage of transferrin saturation were poor predictors of iron responsiveness. Better ability was demonstrated by reticulocyte indices (area under the curve [AUC], 0.74 for CHret and 0.72 for Ret-He; best cutoff values, 31.2 and 30.6 pg, respectively) and erythrocyte parameters (AUC, 0.72 for HYPO% and 0.68 for %Hypo-He; best cutoff values, 5.8 and 2.7, respectively). The newly proposed Ret-He and %Hypo-He can provide clinicians with information equivalent to CHret and HYPO%.",M1
20471364,"Ultraviolet irradiation induces autofluorescence enhancement via production of reactive oxygen species and photodecomposition in <e>erythrocytes</e>.Ultraviolet (UV) light has a significant influence on human health. In this study, human erythrocytes were exposed to UV light to investigate the effects of UV irradiation (UVI) on autofluorescence. Our results showed that high-dose continuous UVI enhanced erythrocyte autofluorescence, whereas low-dose pulsed UVI alone did not have this effect. Further, we found that H(2)O(2), one type of reactive oxygen species (ROS), accelerated autofluorescence enhancement under both continuous and pulsed UVI. In contrast, continuous and pulsed visible light did not result in erythrocyte autofluorescence enhancement in the presence or absence of H(2)O(2). Moreover, NAD(P)H had little effect on UVI-induced autofluorescence enhancement. From these studies, we conclude that UVI-induced erythrocyte autofluorescence enhancement via both UVI-dependent ROS production and photodecomposition. Finally, we present a theoretical study of this autofluorescence enhancement using a rate equation model. Notably, the results of this theoretical simulation agree well with the experimental data further supporting our conclusion that UVI plays two roles in the autofluorescence enhancement process.",M1
20469640,"Genotoxic effect of epirubicin in mouse bone marrow in vivo.The genotoxic effect of epirubicin, a semisynthetic anthracycline antibiotic which has been used as an anticancer drug, was investigated in vivo on bone marrow cells of Swiss albino mice using the micronucleus test. To determine the incidence of micronuclei, mice were injected intraperitoneally with the drug at single doses of 4, 6, 8, and 10 mg/kg body weight. Then, bone marrow was sampled 18, 24, 36, and 48 h after the treatment. Polychromatic and normochromatic <e>erythrocytes</e> were examined for the presence of micronuclei. Epirubicin significantly increased the frequency of micronucleated polychromatic erythrocytes (MNPCEs) for all treatment periods compared with the negative control (P &lt; 0.001). The frequency of MNPCEs increased with the dose, but at the highest dose used (which is considered to be quite toxic), the frequency of MNPCEs was rather lower. Epirubicin also decreased the ratio of polychromatic to normochromatic erythrocytes (PCE/NCE) for all sampling intervals, which is indicative of bone marrow cytotoxicity. It can be concluded from the present study that the anticancer drug epirubicin has genotoxic effects on mouse bone marrow cells.",M1
20466936,"A plant-like kinase in Plasmodium falciparum regulates parasite egress from <e>erythrocytes</e>.Clinical malaria is associated with the proliferation of Plasmodium parasites in human erythrocytes. The coordinated processes of parasite egress from and invasion into erythrocytes are rapid and tightly regulated. We have found that the plant-like calcium-dependent protein kinase PfCDPK5, which is expressed in invasive merozoite forms of Plasmodium falciparum, was critical for egress. Parasites deficient in PfCDPK5 arrested as mature schizonts with intact membranes, despite normal maturation of egress proteases and invasion ligands. Merozoites physically released from stalled schizonts were capable of invading new erythrocytes, separating the pathways of egress and invasion. The arrest was downstream of cyclic guanosine monophosphate-dependent protein kinase (PfPKG) function and independent of protease processing. Thus, PfCDPK5 plays an essential role during the blood stage of malaria replication.",M1
20457837,"Functional NMDA receptors in rat <e>erythrocytes</e>.N-methyl-d-aspartate (NMDA) receptors are ligand-gated nonselective cation channels mediating fast neuronal transmission and long-term potentiation in the central nervous system. These channels have a 10-fold higher permeability for Ca(2+) compared with Na(+) or K(+) and binding of the agonists (glutamate, homocysteine, homocysteic acid, NMDA) triggers Ca(2+) uptake. The present study demonstrates the presence of NMDA receptors in rat erythrocytes. The receptors are most abundant in both erythroid precursor cells and immature red blood cells, reticulocytes. Treatment of erythrocytes with NMDA receptor agonists leads to a rapid increase in intracellular Ca(2+) resulting in a transient shrinkage via Gardos channel activation. Additionally, the exposure of erythrocytes to NMDA receptor agonists causes activation of the nitric oxide (NO) synthase facilitating either NO production in l-arginine-containing medium or superoxide anion (O(2)(.-)) generation in the absence of l-arginine. Conversely, treatment with an NMDA receptor antagonist MK-80, or the removal of Ca(2+) from the incubation medium causes suppression of Ca(2+) accumulation and prevents attendant changes in cell volume and NO/O(2)(.-) production. These results suggest that the NMDA receptor activity in circulating erythrocytes is regulated by the plasma concentrations of homocysteine and homocysteic acid. Moreover, receptor hyperactivation may contribute to an increased incidence of thrombosis during hyperhomocysteinemia.",M1
