@RELATION C0452240_C0015259

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20465854,"Effect of neck strength training on health-related quality of life in females with chronic neck pain: a randomized controlled 1-year follow-up study.BACKGROUND: Chronic neck pain is a common condition associated not only with a decrease in neck muscle strength, but also with decrease in health-related quality of life (HRQoL). While neck strength training has been shown to be effective in improving neck muscle strength and reducing neck pain, HRQoL among patients with neck pain has been reported as an outcome in only two short-term exercise intervention studies. Thus, reports on the influence of a long-term neck strength training intervention on HRQoL among patients with chronic neck pain have been lacking. This study reports the effect of one-year neck strength training on HRQoL in females with chronic neck pain. METHODS: One hundred eighty female office workers, 25 to 53 years of age, with chronic neck pain were randomized to a strength training group (STG, n = 60), endurance training group (ETG, n = 60) or control group (CG, n = 60). The STG performed high-intensity isometric neck strengthening <e>exercises</e> with an elastic band while the ETG performed lighter dynamic neck muscle training. The CG received a single session of guidance on stretching exercises. HRQoL was assessed using the generic 15D questionnaire at baseline and after 12 months. Statistical comparisons among the groups were performed using bootstrap-type analysis of covariance (ANCOVA) with baseline values as covariates. Effect sizes were calculated using the Cohen method for paired samples. RESULTS: Training led to statistically significant improvement in the 15D total scores for both training groups, whereas no changes occurred for the control group (P = 0.012, between groups). The STG improved significantly in five of 15 dimensions, while the ETG improved significantly in two dimensions. Effect size (and 95% confidence intervals) for the 15D total score was 0.39 (0.13 to 0.72) for the STG, 0.37 (0.08 to 0.67) for the ETG, and -0.06 (-0.25 to 0.15) for the CG. CONCLUSIONS: One year of either strength or endurance training seemed to moderately enhance the HRQoL. Neck and upper body training can be recommended to improve HRQoL of females with neck pain if they are motivated for long-term regular exercise. TRIAL REGISTRATION: ClinicalTrials.gov NCT01057836.",M1
20464755,"Balance training (proprioceptive training) for patients with rheumatoid arthritis.BACKGROUND: Patients with rheumatoid arthritis may have an increased risk of falls due to impairments in lower-extremity joints, which may result in either mobility, or postural stability problems. There is evidence in the literature suggesting that balance, agility and coordination training techniques can induce changes in lower-extremity muscle activity patterns that result in improvement in dynamic joint stability.The mechanoreceptors present in and around the joints are responsible for maintaining postural control and joint position sense. These receptors are integrated to compose the somatosensorial system. In combination with visual and auditory inputs, which improve our spatial perception even further, the systems are able to maintain a stable body posture.However, there is a lack of information on the efficacy of balance training alone in patients with rheumatoid arthritis. OBJECTIVES: To assess the effectiveness and safety of balance training (proprioceptive training) to improve functional capacity in patients with rheumatoid arthritis. SEARCH STRATEGY: We searched the Cochrane Central Register of Controlled Trials (CENTRAL) (The Cochrane Library 2008, Issue 4), MEDLINE via PubMed (January 1966 to December 2008), EMBASE (January 1980 to December 2008), LILACS (January 1982 to December 2008), CINAHL (January 1982 to December 2008), PEDro and Scirus (inception to 2008). We also handsearched conference abstracts. SELECTION CRITERIA: All eligible randomised controlled trials (RCT) or controlled clinical trials (CCT) comparing balance training (proprioceptive training) with any other intervention or with no intervention. DATA COLLECTION AND ANALYSIS: Two review authors independently assessed titles or abstracts, or both, for inclusion criteria. MAIN RESULTS: The electronic search identified 864 studies. From this search, 17 studies described general <e>exercises</e> in rheumatoid arthritis patients as the main topic. After analysing them, we observed that the main interventions were exercises to improve muscle strength, endurance, and dynamic exercises (swimming, walking, etc). As we did not find any studies investigating the effects of balance training alone or in combination with other therapies in patients with rheumatoid arthritis, it was not possible to include any data regarding the chosen topic in this systematic review. AUTHORS' CONCLUSIONS: There is no research available examining the efficacy of balance training alone in patients with rheumatoid arthritis. The effectiveness and safety of balance training to improve functional capacity of these patients remains unclear. We suggest that future research should give more importance to balance training by either increasing the number and duration of sessions or investigating its efficacy alone.",M1
20451791,"Brodie bite with an extracted mandibular first molar in a young adult: a case report.Total buccal crossbites are rare, but, when they occur, they can be extremely difficult to correct, even with surgery and orthodontics. In most patients with in-locking crossbites, the maxillary teeth erupt past their mandibular antagonists, creating severe occlusal difficulties. This article presents an adult patient with scissors-bite or partial telescoping bite bilaterally in the posterior region and an extracted mandibular first molar on the right side. She was treated with expansion of the mandibular arch, and the subsequent open bite was closed with the help of masticatory muscle <e>exercises</e> and high-pull headgear. The second and third molars were uprighted and moved mesially to close the extraction spaces.",M1
20420957,"The impact of home-based physiotherapy interventions on breathlessness during activities of daily living in severe COPD: a systematic review.OBJECTIVES: To conduct a systematic review and meta-analysis to determine the impact of home-based physiotherapy interventions on breathlessness during activities of daily living (ADL) in severe chronic obstructive disease (COPD). DATA SOURCES: The electronic databases AMED, CINAHL, Cochrane Central Register of Controlled Trials, Embase, Medline and Physiotherapy Evidence Database (PEDro) were searched from their inception to Week 20 2008. Bibliographies of all potentially relevant retrieved studies, identified relevant systematic reviews and international guidelines were searched by hand. REVIEW METHODS: Inclusion criteria consisted of individuals over 18 years of age with severe COPD (defined as forced expiratory volume in 1 second &lt; or = 50% predicted) without cardiovascular co-morbidities, home-based interventions and valid, reliable breathlessness ADL outcome measures. The PEDro scale assessed methodological quality. Data extraction included baseline characteristics, treatment intervention, frequency of training, level of supervision, breathlessness ADL outcome measure and results. Where possible, a random-effects meta-analysis was applied to appropriate trial data to produce overall quantitative results. RESULTS: Seven studies, providing nine data sets, met the inclusion criteria. Trial PEDro scores ranged from 4 to 7 out of 10. Studies were homogenous at baseline regarding age and COPD severity, although subjects were predominantly male. Five studies investigated inspiratory or expiratory muscle training, and two studies investigated <e>exercises</e>. Statistically significant breathlessness ADL outcome improvements were reported for all interventions except expiratory muscle training. Five studies demonstrated clinical significance (four for inspiratory muscle training and one for exercise). However, due to heterogeneity among study interventions and outcomes, meta-analysis was only considered clinically appropriate on one occasion to pool three inspiratory muscle training studies in relation to breathlessness score. The random-effects meta-analysis indicated that, on average, inspiratory muscle training improved the breathlessness score significantly by 2.36 (95% confidence interval 0.76 to 3.96) compared with controls. CONCLUSION: Inspiratory muscle training and exercise are home-based physiotherapy interventions that may improve breathlessness during ADL in severe COPD. Administration can only be advocated tentatively in outpatient services and primary care at this stage because further higher quality, more homogeneous research with larger sample sizes is required to substantiate the current findings.",M1
20411224,"Upper limb spasticity reduction following active training: a robot-mediated study in patients with chronic hemiparesis.OBJECTIVE: To compare the effects on spasticity of 2 robot-mediated therapies in patients with chronic hemiparesis. DESIGN: Groups comparison. SUBJECTS: Thirty-four patients, divided into 2 homogeneous groups. METHODS: Outcome measures were: motor status score, Modified Ashworth scale, and range of motion. A pattern of reaching <e>exercises</e> was implemented, in which the direction and length of the movements were modified with the aim of reducing activity of the flexor muscles and improving extension of the arm. A 3-month follow-up was performed. RESULTS: Statistically significant improvements were found in both groups after treatment. Some differences were found in elbow motor improvement between the 2 groups. CONCLUSION: Comparison between groups confirms that active movement training does not result in increased hypertonia, but results in spasticity reduction in antagonist muscles by activating the reciprocal inhibition mechanism. Furthermore, robot-mediated therapy contributes to a decrease in motor impairment of the upper limbs in subjects with chronic hemiparesis, resulting in a reduction in shoulder pain.",M1
20397759,"Postpartum sexual function of women and the effects of early pelvic floor muscle <e>exercises</e>.OBJECTIVE: To evaluate the effects of early pelvic floor muscle training after vaginal delivery on sexual function. DESIGN: Prospective randomized study. SETTINGS: Urogynecology clinic of a tertiary medical center in Istanbul, Turkey. POPULATION: Total of 75 primiparous women. METHODS: Pelvic floor-muscle strength was assessed during rest and straining in primiparous women in their 4th postpartum month, after which the women were randomized into training (n = 37) and control (n = 38) groups. Patients were re-evaluated in the 7th postpartum month. MAIN OUTCOME MEASURES: Female sexual function and pelvic muscle strength scores. RESULTS: Desire, pain and total female sexual index scores were significantly higher in the 7th month compared to 4th month in both groups (p &lt; 0.05). However, sexual arousal, lubrication, orgasm, and satisfaction scores were improved in the 7th month in the training group (paired t-test, p &lt; 0.001), but not significantly in the control group (p &gt; 0.05). All domains except satisfaction were significantly higher in the training group compared with the controls. Pelvic floor-muscle strength was found to be increased in the 7th month in the training group (Wilcoxon rank test, Z = 4.123, p &lt; 0.001), whereas there was no significant difference between the 4th and 7th month measurements in the controls (p &gt; 0.05). CONCLUSION: Pelvic floor-muscle training improves pelvic floor-muscle function, and starting after the puerperal period, exercise appears to have positive effects on female sexual function.",M1
20390664,"Urinary incontinence and sport: first and preliminary experience with a combined pelvic floor rehabilitation program in three female athletes.A relationship between sport or fitness activities and urinary incontinence (UI) previously has been described in women. We report our preliminary experience with the use of a complete pelvic floor rehabilitation program in three female athletes affected by UI. The athletes were submitted to a combined pelvic floor rehabilitation program, including biofeedback, functional electrical stimulation, pelvic floor muscle <e>exercises</e>, and vaginal cones. After the scheduled rehabilitation scheme, none of the patients reported incontinence, nor referred to urine leakage during sport or during daily life. We therefore conclude that UI that affects female agonistic athletes may be effectively treated with this combined approach.",M1
20383229,"Evaluation of exercise and potassium chloride supplementation on blood pressure and nociceptive threshold in hypertensive rats.Hypertensive subjects present an increased nociceptive threshold, and the lack or delay of pain perception may impede detection of angina and myocardial infarction. Nutritional interventions, like potassium chloride (KCl) diet supplementation, and <e>exercises</e> are common nonpharmacological indications for treating hypertension. Spontaneous hypertensive rats (SHR) and normotensive male Wistar rats were submitted to a combination of exercise and KCl diet supplementation. Exercise reduced the nociceptive threshold in SHR; however, this effect was inhibited by KCl supplementation. Exercise and KCl supplementation did not alter systolic blood pressure. Reduction of the nociceptive threshold by exercise may be important for the detection of angina and myocardial infarction in hypertensive individuals.",M1
20382286,"Scapular muscle activity in overhead athletes with symptoms of secondary shoulder impingement during closed chain <e>exercises</e>.OBJECTIVE: To determine the amount of muscle activation in 4 scapular muscles in overhead athletes with and without a history of secondary shoulder impingement, during 3 upper extremity closed chain exercises. DESIGN: One-between (group), one-within (exercise) repeated measures. SETTING: Controlled laboratory study. PARTICIPANTS: Overhead athletes (n=15; mean age +/- SD, 21.0+/-2.5 y; mean height +/- SD, 176.0+/-7.8 cm; mean weight +/- SD, 76.1+/-13.4 kg) demonstrating with symptoms of shoulder impingement and overhead athletes (n=15; mean age +/- SD, 20.4+/-3.8 y; mean height +/- SD, 174.1+/-9.7 cm; mean weight +/- SD, 73.3+/-11.7 kg) with no shoulder pathologies. INTERVENTIONS: Subjects completed 5 individual trials of a standard push-up, a push-up on an unstable surface, and a revolution on a shoulder rehabilitation device while electromyography (EMG) recorded muscle activity of the serratus anterior, upper trapezius, middle trapezius, and lower trapezius. MAIN OUTCOME MEASURES: The mean EMG data for the 4 muscles from the standard push-up, push-up on an unstable surface, and shoulder rehabilitation device trials were normalized as a percentage of a maximum voluntary isometric contraction for each muscle. RESULTS: There was a statistically significant interaction for the middle trapezius (F(2,56)=3.856; P=.027). The shoulder impingement push-up on an unstable surface (33.76%+/-26.45%) had significantly greater activation compared with the shoulder impingement standard push-up (25.88%+/-13.76%), the shoulder impingement shoulder rehabilitation device (9.40%+/-5.86%), and the nonpathology push-up on an unstable surface (19.49%+/-7.73%). The shoulder impingement standard push-up had significantly greater activation compared with the shoulder impingement shoulder rehabilitation device and nonpathology standard push-up (17.99%+/-7.31%). The nonpathology standard push-up and nonpathology push-up on an unstable surface had significantly greater activation compared with the nonpathology shoulder rehabilitation device (7.95%+/-4.30%). CONCLUSIONS: These results suggest that the muscle activation of the middle trapezius differs in overhead athletes with a history of secondary shoulder impingement compared with those who lack this history during closed chain exercise, as well as within the 3 closed chain exercises. The levels of muscle activation of the serratus anterior and upper trapezius during these closed chain exercises were similar between the 2 groups. These results support the use of closed chain exercises in the rehabilitation process of overhead athletes with secondary shoulder impingement. However, clinicians should consider the muscle(s) of interest when selecting an exercise.",M1
20382279,"Effects of combining electric stimulation with active ankle dorsiflexion while standing on a rocker board: a pilot study for subjects with spastic foot after stroke.OBJECTIVE: To investigate the therapeutic effects of combining electric stimulation (ES) with active ankle dorsiflexion while standing on a rocker board in subjects with plantarflexor spasticity after stroke. DESIGN: Randomized controlled trial. SETTING: A rehabilitation medical center. PARTICIPANTS: Subjects (N=15) with spastic foot after stroke. INTERVENTIONS: Subjects were randomly assigned to an experimental or a control group. The experimental group received ES of ankle dorsiflexors in concert with a motor training paradigm that required the subject to dorsiflex the ankles in response to a cue while standing on a rocker board. After 30 minutes of this exercise, subjects received ambulation training focusing on ankle control for 15 minutes. The control group received general range of motion and strength <e>exercises</e> for 30 minutes, followed by 15 minutes of ambulation training focusing on ankle control. Sessions occurred 3 times a week for 4 weeks. MAIN OUTCOME MEASURES: Dynamic spasticity of plantarflexors, dorsiflexor muscle strength, balance performance, gait kinematics, and functional gait performance as assessed by the Emory Functional Ambulation Profile (EFAP) were used as outcome measurements. RESULTS: The experimental group demonstrated a greater decrease in dynamic ankle spasticity at a comfortable gait speed (P=.049), a greater improvement in spatial gait symmetry (P=.015), and a greater improvement in functional gait ability as indicated by the EFAP (P=.015) than the control group. CONCLUSIONS: Our results suggest that repeated ES with volitional ankle movements can decrease dynamic ankle spasticity in subjects with stroke. Furthermore, such improvement parallels better gait symmetry and functional gait performance.",M1
