@RELATION C0041713_C0206682

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20058373,"Scott &amp; White proceeds. <e>FTC</e> mum on reported orders to try to sell facility.",M1
20050236,"Not so fast. <e>FTC</e> decided deal bad for competition: Scott &amp; White.",M1
19998572,"Dietary supplement labeling and advertising claims: are clinical studies on the full product required?Whether labeling and advertising claims for multi-ingredient dietary supplements may be based on the testing of individual, key ingredients--rather than the actual product--has caused a good deal of confusion. This confusion stems from the dearth of case law and the open-endedness of Federal Trade Commission (<e>FTC</e>) and Food and Drug Administration (FDA) guidance on this issue. Nevertheless, the relevant regulatory guidance, case law and self-regulatory case law--when assessed together--indicate that the law allows and even protects  key ingredient claims  (i.e., claims based on efficacy testing of key ingredients in the absence of full product testing). This article provides an overview of the relevant substantiation requirements for dietary supplement claims and then reviews FTC's and FDA's guidance on key ingredient claims; relevant case law; use of key ingredient claims in the advertising of other consumer products; and the National Advertising Division of the Better Business Bureau, Inc.'s (NAD's) approach to evaluating key ingredient claims for dietary supplements. This article concludes that key ingredient claims--provided they are presented in a truthful and non-deceptive manner--are permissible, and should be upheld in litigation and cases subject to industry self-regulation. This article further concludes that the NAD's approach to key ingredient claims provides practical guidance for crafting and substantiating dietary supplement key ingredient claims.",M1
19924913,"<e>FTC</e> moves to prosecute misleading environmental claims.",M1
19842264,"Rethinking the rules. <e>FTC</e>, Justice may rewrite guidelines on mergers.",M1
19736733,"The <e>FTC</e> Red Flags Rule: requirements of healthcare providers for compliance.",M1
19419133,"A clearer guide. <e>FTC</e> opinion offers model on clinical integration.",M1
18768461,"Ignoring puff counts: another shortcoming of the Federal Trade Commission cigarette testing programme.OBJECTIVES: To examine reasons behind the failure of the Federal Trade Commission (<e>FTC</e>) to preserve puff count information from standard cigarette testing and to elucidate the importance of puff count to overall tar yields. METHODS: We reviewed industry documents on origins of the FTC test and datasets provided by the Tobacco Institute Testing Laboratory to the tobacco industry and FTC for reporting purposes. RESULTS: The majority of the tobacco industry argued for  dual reporting  of tar yields-both per cigarette and per puff. Despite a request from the Tobacco Institute in 1967 that puff count information be preserved, documents and recent communications with the FTC indicate that puff number data have not been maintained by the government. In contrast, for the cigarette industry, puff count data are a fundamental and routine part of testing and important to cigarette design. A sample of puff counts for cigarettes tested in 1996 (n = 471) shows that on average 100 mm cigarettes have 18% more puffs taken on them than do 85 mm cigarettes in standard tests (7.66 vs 9.03; p&lt;0.01). The 10th percentile puff count is 6.8 and the 90th percentile is 8.8 for king size; the 10th percentile puff count is 8.2 and the 90th percentile is 10.0 for 100 mm cigarettes, indicating that puff counts can vary substantially among brands. CONCLUSIONS: The FTC has failed to seek or preserve puff count information that the industry finds important. Any standard test of tar and nicotine yields should at minimum preserve puff count information.",M1
18717153,"IFTC v. Evanston: antitrust enforcement of hospital mergers receives a shot in the arm.This article examines the Federal Trade Commission's Evanston decision and assesses its future impact on hospital merger analysis. In finding that a consummated merger of two Chicago-area hospitals violated the antitrust laws, the <e>FTC</e> analyzed the merger using a unilateral effects theory of anticompetitive harm. This theory entails examining the competitive impact on third-party payors as a result of the loss of competition between the merging hospitals, rather than the traditional market share and market structure data relied upon in earlier court decisions. After a detailed discussion of the Evanston decision and the history of hospital merger litigation leading up to it, the authors argue that while the Evanston decision indicates that the government will use unilateral effects analysis in challenging future hospital mergers, this analysis is fraught with litigation challenges. The government's next case will not have the benefit of a strong evidentiary record as in Evanston, thereby making it more difficult for the government to prove its unilateral effects theory.",M1
18714446,"<e>FTC</e> lassos Texas victory. Appeals court ruling bolsters antitrust approach.",M1
