@RELATION C0376520_C0302583

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19860985,"Effect of calcium on iron absorption in women with marginal iron status.We measured non-haem <e>Fe</e> absorption with and without added Ca in a short-term feeding study, in thirteen women with marginal Fe status, by the use of a double stable isotope technique. Supplementing 500 mg Ca as calcium carbonate significantly (P = 0.0009) reduced Fe absorption from a single meal from 10.2 % (range 2.2-40.6) to 4.8 % (range 0.7-18.9). A significant inverse correlation in the absence ( - 0.67, P = 0.010) and presence ( - 0.58, P = 0.037) of Ca, respectively, was found between Fe absorption and Fe stores measured by serum ferritin (SF). Wide variation in Fe absorption was observed between individuals in the absence and in the presence of Ca, despite pre-selection of participants within a relatively narrow range of iron stores (SF concentrations). Correction of Fe absorption data based on group mean SF was not found to be useful in reducing the inter-individual variability in iron absorption. It appears that selecting a study group with a narrow initial range of Fe stores does not necessarily reduce the inter-individual variability in Fe bioavailability measurements. These results support the hypothesis that body Fe stores, although an important determinant of dietary Fe absorption, are not the main factor that determines Fe absorption under conditions of identical dietary intake in subjects with low Fe stores.",M1
19709447,"An algorithm to assess intestinal iron availability for use in dietary surveys.In nutritional epidemiology, it is often assumed that nutrient absorption is proportional to nutrient intake. For several nutrients, including non-haem <e>Fe</e>, this assumption may not hold. Depending on the nutrients ingested with non-haem Fe, its availability for absorption varies greatly. Therefore, using Fe intake to examine associations between Fe and health can impact upon the validity of findings. Previous algorithms that adjust Fe intakes for dietary factors known to affect absorption have been found to underestimate Fe absorption and, in the present study, perform poorly on independent dietary data. We have designed a new algorithm to adjust Fe intakes for the effects of ascorbic acid, meat, fish and poultry, phytate, polyphenols and Ca, incorporating not only absorption data from test meals but also current understanding of Fe absorption. In so doing, we have created a robust and universal Fe algorithm with potential for use in large cohorts. The algorithm described aims not to predict Fe absorption but available Fe in the gut, a measure we believe to be of greater use in epidemiological research. Available Fe is Fe available for absorption from the gastrointestinal tract, taking into account enhancing or inhibiting effects of dietary modifiers. Our algorithm successfully estimated average Fe availability in test meal data used to construct the algorithm and, unlike other algorithms tested, also provided plausible predictions when applied to independent dietary data. Future research is needed to evaluate the extent to which this algorithm is useful in epidemiological research to relate Fe to health outcomes.",M1
19706212,"Leaf concentrate as an alternative to iron and folic acid supplements for anaemic adolescent girls: a randomised controlled trial in India.OBJECTIVE: Despite public health campaigns based on <e>Fe</e> and folic acid supplements, Fe-deficiency anaemia remains highly prevalent among women in India. We investigated leaf concentrate as an alternative to Fe and folic acid supplements for treating anaemia in adolescent girls. DESIGN: Randomised controlled two-arm trial over 3 months: one group received daily Fe and folic acid (IFA; 60 mg Fe, 500 microg folic acid); the other daily leaf concentrate (LC; 5 mg Fe, 13 microg folic acid). Hb concentration, mean cell volume, serum Fe, serum ferritin and total Fe-binding capacity were measured pre- and post-intervention. SETTING: Jaipur, India. SUBJECTS: One hundred and two adolescent girls aged 14-18 years. RESULTS: Of the 102 girls randomized to the two arms of the trial, four (3.9 %) were severely anaemic (Hb &lt; 7 g/dl), twenty-eight (27.5 %) were moderately anaemic (Hb &gt; or = 7 g/dl, &lt;10 g/dl) and seventy (68.6 %) were mildly anaemic (Hb &gt; or = 10 g/dl, &lt;12 g/dl). In the IFA group, eleven girls (20.4 %) withdrew due to side-effects, compared with one girl (2.1 %) in the LC group (P = 0.005). Total losses to follow-up were 14/54 in the IFA group and 2/48 in the LC group. At the end of the trial, none of the eighty-six remaining girls were severely anaemic, nine (10.5 %) were moderately anaemic and twenty-six (30.2 %) were mildly anaemic; fifty-one (59.3 %) had normal Hb levels (&gt; or = 12 g/dl). After adjustment for baseline values, LC was as effective as IFA in improving serum Fe parameters and treating anaemia. CONCLUSIONS: Leaf concentrate is an effective, and more palatable, alternative to Fe and folic acid supplements for treating anaemia in adolescent girls.",M1
19680884,"Effect of ion supplementation of a commercial soft drink on tooth enamel erosion.Acidic soft drinks are potentially erosive for dental hard tissues. This in vitro study evaluated the effect of calcium, fluoride, iron and phosphate, supplemented alone or in combination to a commercial citric acid-based carbonated beverage on dental erosion. Ninety enamel samples (4 x 4 x 3 mm) were randomly allocated to nine groups (n = 10): G1-pure beverage (control); G2-with 1 mM Ca; G3-with 0.047 mM F; G4-with 1 mM <e>Fe</e>; G5-with 1 mM P; G6 - with 1 mM Ca and 0.047 mM F; G7-with 1 mM Ca and 1 mM P; G8-with 1 mM Fe and 0.047 mM F; and G9-with 1 mM Ca, 1 mM P, 0.047 mM F and 1.0 mM Fe. The samples were subjected to six pH cycles over a 24-h period. In each cycle, the samples were immersed in pure or modified beverage (1 min) and in artificial saliva (59 min). During the remaining period (18 h), the samples were maintained in artificial saliva. Enamel loss was assessed by profilometry (microm). Data were tested using ANOVA and Tukey's tests (p &lt; 0.05). Highest enamel losses were observed in the control group (G1) and in the groups containing Fe (G4 and G8). The groups containing Ca (G2 and G6) showed significantly less wear compared to control. In conclusion, the modification of an erosive soft drink with low concentrations of Ca with or without F may reduced its erosive potential.",M1
19646048,"Iron, zinc, and protein bioavailability proxy measures of meals prepared with nutritionally enhanced beans and maize.Nutritionally enhanced beans (NEB) with more <e>Fe</e> and Zn than conventional beans (CB) and nutritionally enhanced maize (NEM) with more tryptophan and lysine than conventional maize (CM) were developed as part of a crop-biofortification strategy to improve human nutrition. Proxy measures were used to assess Fe and Zn bioavailability and protein digestibility of a bean recipe (fríjol sancochado) and a maize-milk recipe (mazamorra) prepared with enhanced or conventional crops in Colombia. Fe concentration was similar in the cooked NEB and CB and in NEM and CM (P&gt; or = 0.05); in vitro Fe dialyzability was similar in cooked NEB (9.52%) and CB (9.72%) and greater for NEM (37.01%) than CM (32.24%). Zn concentration was higher in the uncooked and cooked NEB than in the CB (P &lt; 0.05); phytate: Zn molar ratios were high in cooked NEB (36: 1) and CB (47: 1), suggesting low Zn bioavailability, and not different from each other (P = 0.07). There were no differences in Zn concentration or phytate: Zn molar ratio in the maize recipes. Nitrogen, tryptophan, and lysine concentrations were higher in the cooked NEM than CM; nitrogen was higher in the cooked NEB than CB (P &lt; 0.05). In vitro protein digestibility was comparable (82% to 83%) for NEM and CM and higher for NEB (84%) than for CB (82%). The higher nutrient concentrations + similar bioavailability (protein in NEM, Zn in NEB), same nutrient concentrations + higher bioavailability (Fe in NEM) or higher nutrient concentrations + higher bioavailability (protein in NEB) can translate into more nutrients absorbed and utilized by the body.",M1
19579971,"Iron bioavailability of rats fed liver, lentil, spinach and their mixtures.To study the effects of dietary iron source (basal diet-FeSO4 x 7H2O, liver, lentil, spinach, liver + lentil, liver+spinach and lentil+spinach) on iron bioavailability, fifty-six Albino Sprague Dawley derived male 21 days old rats were fed on iron-deficient diet (7.8 mg <e>Fe</e> kg(-1) diet) and the mentioned seven iron containing diets (40 mg Fe kg(-1) diet) for 10 days. Rats fed liver diet showed higher iron apparent absorption (52.1%), hemoglobin (Hb) gain (0.94 g/100 mL), Hb-iron gain (1.2 mg), Hb-regeneration efficiency (HRE%) (50.8%), relative efficiency of HRE% (106.5%), packed cell volume gain (2.22%) and mean corpuscular hemoglobin concentration (0.64 g dL(-1)). Liver resulted in an increase in these parameters when mixed with lentil and spinach diets. However, rats fed iron free diet showed the higher dry matter absorption.",M1
19524686,"Different responses of <e>Fe</e> transporters in Caco-2/HT29-MTX cocultures than in independent Caco-2 cell cultures.The human intestinal epithelium is composed of several cell types, mainly enterocytes and goblet (mucin-secreting) cells. This study compares the cellular response of Fe transporters in Caco-2, HT29-MTX, and Caco-2/HT29-MTX co-culture models for Fe bioavailability. Caco-2 cells in vitro differentiate into enterocyte-like cells and HT29-MTX cell lineage into a mucin-secreting cellular population. Cell cultures were exposed to digests of Fe+3, Fe+3/ascorbic acid, cooked fish (high-available Fe) or white beans (low-available Fe). Cell responses as shown by mRNA expression of the main Fe transporters, DMT1 and DcytB, and cell ferritin formation were monitored. In Caco-2/HT29-MTX co-cultures, the mucin layer lowered the pool of free Fe to diffuse towards the cell brush border membrane of enterocytes, which was accompanied of an upregulation of DMT1 mRNA expression. In contrast, cultures exposed to digests of fish or white beans showed no significant differences in the regulation of Fe transporters.",M1
19476679,"Unexpectedly high early prevalence of anaemia in 6-month-old breast-fed infants in rural Bangladesh.OBJECTIVE: To determine the prevalence of anaemia and maternal and infant factors associated with Hb values in infants at 6 months of age in rural Bangladesh. DESIGN: Infants (born to mothers supplemented with <e>Fe</e>-folic acid from mid-pregnancy) were visited at birth and 6 months of age. Mothers' anthropometric status, and infants' birth weight, gestational age at birth, weight and Hb concentration at 6 months were measured. Household socio-economic and demographic data, infant feeding practices and health status were collected using a pre-tested structured questionnaire. SETTING: Rural Bangladesh. SUBJECTS: Four hundred and two infants. RESULTS: For the total cohort (n 402), the range of anaemia prevalence values was from 30.6 % using a cut-off value of Hb &lt; 95 g/l to 71.9 % using a value of Hb &lt; 110 g/l. Birth weight and month of birth were the only factors positively associated with infant Hb in a linear regression model (P = 0.008 and 0.011, respectively). CONCLUSIONS: There was an unexpectedly high prevalence of anaemia in infants at 6 months of age, before the assumed period of vulnerability. Hb at this age tended to be higher in those with higher birth weight. We also found a season effect on Hb, as it tended to be higher as the study progressed. The high prevalence of anaemia at such an early age needs to be addressed to minimize the disease's long-term consequences.",M1
19402944,"Food and nutrient intakes of 9-month-old infants in Adelaide, Australia.OBJECTIVE: To describe the food and nutrient intakes of 9-month-old infants. DESIGN: A survey undertaken as part of a longitudinal study of child growth and development. Infant diet was characterised through a structured interview in which consumption frequency and portion size of foods were obtained. This method was compared with a 4 d diary and had adequate relative validity. SETTING: Adelaide, Australia. SUBJECTS: Three hundred and forty-one infants for whom dietary data were plausible according to pre-specified criteria. RESULTS: At 9 months of age, the median body weights for 161 girls and 180 boys were 8.8 and 9.6 kg, respectively. Differences in intakes between boys and girls largely reflected differences in size. Median daily energy intake was 3541 kJ and median contributions of protein, fat and carbohydrate to total energy were 13 %, 36 % and 50 %. Using published Estimated Average Requirements, Zn intake was inadequate for &lt;1 % of children not breast-fed at this age while <e>Fe</e> intake was inadequate for 9 %. Infants who were still breast-fed (35 %) had more diversity in the foods that provided additional energy, compared with those not receiving breast milk, and were less likely to consume nutrient-displacing drinks such as juice or cordial. Cow's milk was the main drink for 5 % of infants. CONCLUSIONS: In a group of Australian-born children, an important proportion had weaning diets that were low in Fe. Fat intake of many children was below current recommendations and cow's milk was the main milk source for a small minority.",M1
19344541,"Anaemia and associated factors among under-fives and their mothers in Bushenyi district, Western Uganda.OBJECTIVE: To determine the prevalence of anaemia and associated factors among under-fives and their mothers in a rural area of Western Uganda. DESIGN: A cross-sectional investigation using both qualitative and quantitative methods of data collection. Stratified multistage sampling methods were used to select the study sample. A haemoglobinometer was used to assess Hb levels in the blood. SETTING: A rural district in Western Uganda. SUBJECTS: Children aged 6-59 months and their mothers aged 15-49 years. RESULTS: The overall prevalence of <e>Fe</e>-deficiency anaemia among children and their mothers was 26.2 % and 17.9 %, respectively. There was a significant correlation (r = 0.5, P = 0.008) between the Hb levels of the mothers and their children. Place of birth, age of the child, factors related to complementary foods, and formal education and nutrition knowledge of the mother were major factors that were significantly associated (r = 0.05, P = 0.05) with low Hb levels among the children. The most important factors that were associated with low Hb levels of the mothers were their formal education, nutrition knowledge and health status. CONCLUSIONS: Fe-deficiency anaemia was found to be a major problem in this cohort of children and their mothers. Dietary factors and sociodemographic factors were the major factors associated with high levels of anaemia among the children and their mothers. It is therefore recommended that rural mothers should be sensitized on best practices for prevention of anaemia among both women and children.",M1
