@RELATION C0016163_C0162789

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20577199,"Ecology: <e>Fish</e> in Lévy-flight foraging.",M1
20575365,"Comparison of quantitative RT-PCR with cell culture to detect viral hemorrhagic septicemia virus (VHSV) IVb infections in the Great Lakes.Viral hemorrhagic septicemia virus (VHSV) is an important pathogen of cultured and wild <e>fish</e> in marine and freshwater environments. A new genotype, VHSV IVb, was isolated from a fish collected from the Great Lakes in 2003. Since the first isolation, VHSV IVb has been confirmed in 28 species, signaling the early invasion and continued spread of this Office International des Epizooties-reportable agent. For surveillance of this virus in both wild and experimental settings, we have developed a rapid and sensitive one-step quantitative real-time polymerase chain reaction (qRT-PCR) assay that amplifies a 100-base-pair conserved segment from both the genomic negative strand and the mRNA positive strand of the nucleoprotein (N) gene of VHSV IVb. This assay is linear over seven orders of magnitude, with an analytical capability of detecting a single copy of viral RNA and reproducibility at 100 copies. The assay is approximately linear with RNA input from 50 to 1000 ng per assay and works equally well with RNA prepared from a column-based or phenol-chloroform-based method. In wild-caught fish, 97% of the cases were found to be more than three orders of magnitude more sensitive using qRT-PCR than using cell culture. Of the 1,428 fish from the Great Lakes region tested in 2006 and 2007, 24% were positive by qRT-PCR whereas only 5% were positive by cell culture. All of the fish that were positive by cell culture were also positive by qRT-PCR. Importantly, qRT-PCR sensitivity is comparable to that of cell culture detection when comparing VHSV viral RNA levels with viral titer stocks, confirming that the high qRT-PCR signals obtained with diagnostic samples are due to the accumulation of N gene mRNA by transcriptional attenuation. The qRT-PCR assay is particularly valuable for rapid and high-throughput prescreening of fish before confirmatory testing by cell culture or sequencing tissue-derived amplicons and especially in detecting infection in fish that do not show clinical signs of VHS.",M1
20575364,"Antimicrobial susceptibility of Flavobacterium psychrophilum isolates from Ontario.Flavobacterium psychrophilum is the etiological agent of bacterial coldwater disease (BCWD), an important disease in the Ontario <e>fish</e> farming industry and in finfish aquaculture in temperate waters worldwide. The development of antimicrobial resistance by F. psychrophilum is a concern because management of outbreaks of BCWD often requires the use of antibiotics. Seventy-two isolates of F. psychrophilum collected over a 16-year period from farmed salmonids with clinical signs of BCWD were tested for susceptibility to 10 antimicrobial agents using cation-adjusted Mueller-Hinton broth in custom Trek Sensititre susceptibility plates for aquaculture. The minimum inhibitory concentrations (MICs) for the isolates were determined by means of a broth microdilution antimicrobial susceptibility testing method established by the Clinical and Laboratory Standards Institute. Most of the F. psychrophilum isolates had decreased susceptibility to two of the four antibiotics licensed for use in Ontario (i.e., ormetoprim-sulfadimethoxine [&gt; or =0.5/9.5 .tg/mL for 93% of isolates] and trimethoprim-sulfamethoxazole [&gt; or = 0.25/4.8 microg/mL for 89% of isolates]). High MIC values (&gt; or =2 microg/mL) were obtained for florfenicol and oxytetracycline in 53% and 61% of the isolates, respectively, and 83% of the isolates were relatively susceptible (&lt; or =16 microg/mL) to erythromycin. The MIC values were also high for ampicillin, oxolinic acid, and gentamicin.",M1
20575359,"Susceptibility of three stocks of pacific herring to viral hemorrhagic septicemia.Laboratory challenges using specific-pathogen-free Pacific herring Clupea pallasii from three distinct populations indicated that stock origin had no effect on susceptibility to viral hemorrhagic septicemia (VHS). All of the populations were highly susceptible to the disease upon initial exposure, with significantly greater cumulative mortalities occurring in the exposed treatment groups (56.3-64.3%) than in the unexposed control groups (0.8-9.0%). Interstock differences in cumulative mortality were not significant. The virus loads in the tissues of <e>fish</e> experiencing mortality were 10-10,000 times higher during the acute phase of the epizootics (day 13 postexposure) than during the recovery phase (days 30-42). Survivors of the epizootics were refractory to subsequent VHS, with reexposure of VHS survivors resulting in significantly less cumulative mortality (1.2-4.0%) than among positive controls (38.1-64.4%); interstock differences in susceptibility did not occur after reexposure. These results indicate that data from experiments designed to understand the ecology of VHS virus in a given stock of Pacific herring are broadly applicable to stocks throughout the northeastern Pacific.",M1
20538946,"Regulation of body temperature by some Mesozoic marine reptiles.What the body temperature and thermoregulation processes of extinct vertebrates were are central questions for understanding their ecology and evolution. The thermophysiologic status of the great marine reptiles is still unknown, even though some studies have suggested that thermoregulation may have contributed to their exceptional evolutionary success as apex predators of Mesozoic aquatic ecosystems. We tested the thermal status of ichthyosaurs, plesiosaurs, and mosasaurs by comparing the oxygen isotope compositions of their tooth phosphate to those of coexisting <e>fish</e>. Data distribution reveals that these large marine reptiles were able to maintain a constant and high body temperature in oceanic environments ranging from tropical to cold temperate. Their estimated body temperatures, in the range from 35 degrees +/- 2 degrees C to 39 degrees +/- 2 degrees C, suggest high metabolic rates required for predation and fast swimming over large distances offshore.",M1
20536923,"Functional organization of V2a-related locomotor circuits in the rodent spinal cord.Studies of mammalian locomotion have been greatly facilitated by the use of the isolated rodent spinal cord preparation that retains the locomotor circuits needed to execute the movement. Physiological and molecular genetic experiments in this preparation have started to unravel the basic circuit organization responsible for walking in mammals. Here, we review these experiments with a focus on the functional role of excitatory V2a interneurons in the mammalian locomotor network. With regard to these neurons and other network structures we also discuss similarities and differences between the mammalian walking central pattern generator (CPG) and the <e>fish</e> swimming CPG.",M1
20536817,"Bioaccumulation syndrome: identifying factors that make some stream food webs prone to elevated mercury bioaccumulation.Mercury is a ubiquitous contaminant in aquatic ecosystems, posing a significant health risk to humans and wildlife that eat <e>fish</e>. Mercury accumulates in aquatic food webs as methylmercury (MeHg), a particularly toxic and persistent organic mercury compound. While mercury in the environment originates largely from anthropogenic activities, MeHg accumulation in freshwater aquatic food webs is not a simple function of local or regional mercury pollution inputs. Studies show that even sites with similar mercury inputs can produce fish with mercury concentrations ranging over an order of magnitude. While much of the foundational work to identify the drivers of variation in mercury accumulation has focused on freshwater lakes, mercury contamination in stream ecosystems is emerging as an important research area. Here, we review recent research on mercury accumulation in stream-dwelling organisms. Taking a hierarchical approach, we identify a suite of characteristics of individual consumers, food webs, streams, watersheds, and regions that are consistently associated with elevated MeHg concentrations in stream fish. We delineate a conceptual, mechanistic basis for explaining the ecological processes that underlie this vulnerability to MeHg. Key factors, including suppressed individual growth of consumers, low rates of primary and secondary production, hydrologic connection to methylation sites (e.g., wetlands), heavily forested catchments, and acidification are frequently associated with increased MeHg concentrations in fish across both streams and lakes. Hence, we propose that these interacting factors define a syndrome of characteristics that drive high MeHg production and bioaccumulation rates across these freshwater aquatic ecosystems. Finally, based on an understanding of the ecological drivers of MeHg accumulation, we identify situations when anthropogenic effects and management practices could significantly exacerbate or ameliorate MeHg accumulation in stream fish.",M1
20531470,"Environmental context explains Lévy and Brownian movement patterns of marine predators.An optimal search theory, the so-called Lévy-flight foraging hypothesis, predicts that predators should adopt search strategies known as Lévy flights where prey is sparse and distributed unpredictably, but that Brownian movement is sufficiently efficient for locating abundant prey. Empirical studies have generated controversy because the accuracy of statistical methods that have been used to identify Lévy behaviour has recently been questioned. Consequently, whether foragers exhibit Lévy flights in the wild remains unclear. Crucially, moreover, it has not been tested whether observed movement patterns across natural landscapes having different expected resource distributions conform to the theory's central predictions. Here we use maximum-likelihood methods to test for Lévy patterns in relation to environmental gradients in the largest animal movement data set assembled for this purpose. Strong support was found for Lévy search patterns across 14 species of open-ocean predatory <e>fish</e> (sharks, tuna, billfish and ocean sunfish), with some individuals switching between Lévy and Brownian movement as they traversed different habitat types. We tested the spatial occurrence of these two principal patterns and found Lévy behaviour to be associated with less productive waters (sparser prey) and Brownian movements to be associated with productive shelf or convergence-front habitats (abundant prey). These results are consistent with the Lévy-flight foraging hypothesis, supporting the contention that organism search strategies naturally evolved in such a way that they exploit optimal Lévy patterns.",M1
20527323,"Responding to Pfiesteria piscicida (the <e>fish</e> killer): phantomatic ontologies, indeterminacy, and responsibility in toxic microbiology.Based on an analysis of an ongoing scientific-political controversy over the toxicity of a fish-killing microorganism, this paper explores the relationship between responsibility and nonhuman contributions to agency in experimental practices. Research into the insidious effects of the dinoflagellates Pfiesteria piscicida (the fish killer) that thrive in waters over-enriched with nutrients, has received considerable attention by both the media and government agencies concerned with public and environmental health. After nearly two decades of research, the question of whether Pfiesteria can be regarded the 'causative agent' of massive fish kills in the estuaries of the US mid-Atlantic could not be scientifically settled. In contrast to policymakers, who attribute the absence of a scientific consensus to gaps in scientific knowledge and uncertainties regarding the identity and behavior of the potentially toxic dinoflagellates, I propose that an inseparable entanglement of Pfiesteria's identities and their toxic activities challenges conventional notions of causality that seek to establish a connection between independent events in linear time. Building on Karen Barad's framework of agential realism, I argue for a move from epistemological uncertainties to ontological indeterminacies that follow from Pfiesteria's contributions to agency, as the condition for responsible and objective science. In tracking discrepant experimental enactments of Pfiesteria that have been mobilized as evidence for and against their toxicity, I investigate how criteria for what counts as evidence get built into the experimental apparatuses and suggest that the joint possibilities of causality and responsibility vary with the temporalities of the objects enacted. This discussion seeks to highlight a thorough entanglement of epistemic/ontological concerns with the ecological/political relevance of particular experiments. Finally, I introduce a new kind of scientific object that--borrowing from Derrida--I call phantomatic. Phantoms don't emerge as such, but appear as traces and are associated with specific matters of concern.",M1
20510861,"Multimodal integration in granule cells as a basis for associative plasticity and sensory prediction in a cerebellum-like circuit.The recoding of diverse sensory and motor signals by granule cells (GCs) is probably critical for the function of cerebellar circuits, yet the nature of these transformations and their significance for cerebellar information processing remain poorly understood. In cerebellum-like structures in <e>fish</e>, anti-Hebbian plasticity at parallel fiber synapses generates  negative images  that act to cancel predictable patterns of electrosensory input. Here I test the hypothesis that GCs enhance the capacity of Purkinje-like cells to generate specific negative images by selectively encoding combinations of sensory and motor signals. Using in vivo whole-cell recordings, I show (1) that a subset of GCs integrate sensory and motor signals conveyed by distinct mossy fiber classes and (2) that Purkinje-like cells exhibit plastic changes specific to the combinations of signals that individual GCs encode. Consistent with influential theories of cerebellar function, these findings suggest that selective GC output enhances the capacity of Purkinje-like cells to acquire selectivity through associative plasticity.",M1
