@RELATION C0221971_C0018120

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20473297,"Bcl-2 and accelerated DNA repair mediates resistance of hair <e>follicle</e> bulge stem cells to DNA-damage-induced cell death.Adult stem cells (SCs) are at high risk of accumulating deleterious mutations because they reside and self-renew in adult tissues for extended periods. Little is known about how adult SCs sense and respond to DNA damage within their natural niche. Here, using mouse epidermis as a model, we define the functional consequences and the molecular mechanisms by which adult SCs respond to DNA damage. We show that multipotent hair-follicle-bulge SCs have two important mechanisms for increasing their resistance to DNA-damage-induced cell death: higher expression of the anti-apoptotic gene Bcl-2 and transient stabilization of p53 after DNA damage in bulge SCs. The attenuated p53 activation is the consequence of a faster DNA repair activity, mediated by a higher non-homologous end joining (NHEJ) activity, induced by the key protein DNA-PK. Because NHEJ is an error-prone mechanism, this novel characteristic of adult SCs may have important implications in cancer development and ageing.",M1
20450888,"Melanocyte stem cells express receptors for canonical Wnt-signaling pathway on their surface.It has been reported that melanocytes play important roles in skin and hair pigmentation and are differentiated from melanocyte stem cells (MSCs) residing in the bulge area of hair <e>follicles</e>. Recently, interest has been growing in MSCs because regulation of the upstream of differentiated melanocytes is essential for the determination of skin and hair pigmentation; however, their precise characteristics remain to be elucidated. The aim of this study is to explore cell-surface markers expressed on MSCs in order to understand their characteristics. To explore genes specifically expressed in the bulge region, we classified a hair follicle into four areas, hair bulb, hair bulb to bulge (lower bulge), bulge, and epidermis to bulge (upper bulge), and collected these areas from back skin sections of C57BL/6 mice by laser microdissection. Real-time RT-PCR performed on these areas revealed that Frizzled (Fzd)-4, Fzd7, low density lipoprotein receptor-related protein 5 (Lrp5), and Lrp6, receptors for Wnt molecules, were expressed higher in the bulge area than other areas. Furthermore, FACS analysis showed that populations of Fzd4(+) cells and Fzd7(+) cells were different from those of Kit(+) cells (precursor of melanocytes: melanoblasts). Fzd4(+) and Fzd7(+) cells isolated by FACS required a longer culture period to differentiate into mature melanocytes than Kit(+) cells. Up-regulation of mRNA expressions of melanocyte markers (dopa chrometautomerase: Dct, tyrosinase: Tyr, tyrosinase-related protein 1: Tyrp1) was observed in Fzd4(+) and Fzd7(+) cells following Kit(+) cells during differentiation. These results suggested that Fzd4(+) and Fzd7(+) cells were more immature than melanoblasts, therefore raising the possibility that Fzd4(+) and Fzd7(+) cells are MSCs.",M1
20450009,"Occurrence of demodex spp. (Acari, Demodecidae) in the striped field mouse Apodemus agrarius (Rodentia, Muridae) in Poland.The hair <e>follicle</e> mites (Acari, Demodecidae) are obligatory and specific parasites of mammals, important in human and veterinary medicine. The family is represented by more than 100 species worldwide and 30 in Poland, therein 11 species (and 3 subspecies) were discovered from 10 species of native rodents. Fifty two striped field mice Apodemus agrarius from eastern Pomerania (Poland) were examined in 2006-2007; the presence of mites was confirmed by the standard method of digesting skin fragments (from head, belly, groin, limbs, genital-anal region, neck and back). Two demodectic mites were found: Demodex agrarii and D. arvicolae--specifically the form D. a. apodemi, previously recorded in the wood mouse (Apodemus silvaticus). Demodex spp. were noted in 53.8% of the examined mice; D. arvicolae was the dominant species (prevalence 48.1%, mean intensity 12.5), whereas D. agrarii was found in only a few hosts (prevalence 13.5%, mean intensity 7.6); these mites were more frequently found in males. D. a. apodemi were found mainly in skin of head and very few in skin of genital-anal region. D. agrarii lives in the ducts of the auricular sebaceous gland, in which all its developmental stages have been found; it is precisely the specific habitat of D. agrarii that determines its large size and its strongly elongated shape.",M1
20430743,"Compartmentalized organization: a common and required feature of stem cell niches?A key question in the stem cell field is how to balance the slow cycling of stem cells with active organ growth. Recent studies of the hair <e>follicle</e> stem cell niche have shown that this can be achieved by organizing the stem cell niche into two compartments: one that engages in immediate, rapid new growth and one that contributes later to long-term growth that fuels hair regeneration. Based on these and other recent findings, we propose that several other adult stem cell niches, including those in the blood, intestine and brain, have a similar bi-compartmental organization and that stem cells might work cooperatively with their progeny to sustain tissue regeneration.",M1
20429299,"[Cultivated human hair <e>follicle</e> cells are capable of integrating to skin structure in vivo]In the present study, human keratinocytes and dermal papilla cells were labeled to investigate their behaviour after intradermal transplantation. Cells were transduced by lentiviral vectors that bore marker gene encoding green fluorescent protein (copGFP) or red fluorescent protein (DsRed). A portion of transgene expressing cells was evaluated by flow cytometry. Genetic constructions that we used provided high level (&gt; 95 %) of transduction of hair follicle cells. In vitro transduced cells were injected under the epidermis of human skin fragments, and these fragments were then transplanted under the skin of immunodeficient mice. Injected epidermal keratinocytes were found, mainly, in hair follicles and partially in a zone of interfollicular epidermis, while dermal papilla cells were found in papilla derma. The results of the present research show that the chosen genetic constructions obtained on a basis of human immunodeficiency lentivirs are capable of effective and stable transduction of human skin cells. Injected cells survived and were found in the corresponding structures of the skin.",M1
20412777,"beta-catenin activity in the dermal papilla regulates morphogenesis and regeneration of hair.The activity of keratinocytes in the hair <e>follicle</e> is regulated by signals from a specialized mesenchymal niche, the dermal papilla (DP). Here, mice expressing cre recombinase in the DP were developed to probe the interaction between follicular keratinocytes and the DP in vivo. Inactivation of the beta-catenin gene within DP of fully developed hair follicles results in dramatically reduced proliferation of the progenitors and their progeny that generate the hair shaft, and, subsequently, premature induction of the destructive phase of the hair cycle. It also prevents regeneration of the cycling follicle from stem cells. Gene expression analysis reveals that beta-catenin activity in the DP regulates signaling pathways, including FGF and IGF, that can mediate the DP's inductive effects. This study reveals a signaling loop that employs Wnt/beta-catenin signaling in both epithelial progenitor cells and their mesenchymal niche to govern and coordinate the interactions between these compartments to guide hair morphogenesis.",M1
20411592,"Direct transplantation of uncultured hair-<e>follicle</e> pluripotent stem (hfPS) cells promotes the recovery of peripheral nerve injury.We previously showed that the stem cell marker nestin is expressed in hair follicle stem cells which suggested their pluripotency. We subsequently showed that the nestin-expressing hair-follicle pluripotent stem (hfPS) cells can differentiate in culture to neurons, glial cells, keratinocytes, and other cell types and can promote regeneration of peripheral nerve and spinal cord injuries upon injection to the injured nerve or spinal cord. The location of the hfPS cells has been termed the hfPS cell area (hfPSCA). Previously, hfPS cells were cultured for 1-2 months before transplantation to the injured nerve or spinal cord which would not be optimal for clinical application of these cells for nerve or spinal cord repair, since the patient should be treated soon after injury. In the present study, we addressed this issue by directly using the upper part of the hair follicle containing the hfPSCA, without culture, for injection into the severed sciatic nerve in mice. After injection of hfPSCA, the implanted hfPS cells grew and promoted joining of the severed nerve. The transplanted hfPS cells differentiated mostly to glial cells forming myelin sheaths, which promoted axonal growth and functional recovery of the severed nerve. These results suggest that the direct transplantation of the uncultured upper part of the hair follicle containing the hfPSA is an important method to promote the recovery of peripheral nerve injuries and has significant clinical potential.",M1
20393562,"APCDD1 is a novel Wnt inhibitor mutated in hereditary hypotrichosis simplex.Hereditary hypotrichosis simplex is a rare autosomal dominant form of hair loss characterized by hair <e>follicle</e> miniaturization. Using genetic linkage analysis, we mapped a new locus for the disease to chromosome 18p11.22, and identified a mutation (Leu9Arg) in the adenomatosis polyposis down-regulated 1 (APCDD1) gene in three families. We show that APCDD1 is a membrane-bound glycoprotein that is abundantly expressed in human hair follicles, and can interact in vitro with WNT3A and LRP5-two essential components of Wnt signalling. Functional studies show that APCDD1 inhibits Wnt signalling in a cell-autonomous manner and functions upstream of beta-catenin. Moreover, APCDD1 represses activation of Wnt reporters and target genes, and inhibits the biological effects of Wnt signalling during both the generation of neurons from progenitors in the developing chick nervous system, and axis specification in Xenopus laevis embryos. The mutation Leu9Arg is located in the signal peptide of APCDD1, and perturbs its translational processing from the endoplasmic reticulum to the plasma membrane. APCDD1(L9R) probably functions in a dominant-negative manner to inhibit the stability and membrane localization of the wild-type protein. These findings describe a novel inhibitor of the Wnt signalling pathway with an essential role in human hair growth. As APCDD1 is expressed in a broad repertoire of cell types, our findings indicate that APCDD1 may regulate a diversity of biological processes controlled by Wnt signalling.",M1
20338163,"The hair <e>follicle</e>-a stem cell zoo.Recent studies on stem cells in the adult hair follicle (HF) have uncovered a veritable menagerie of exceptionally diverse and dynamic keratinocytes with stem cell properties located in distinct regions of the HF. Although endowed with specific functions during normal hair follicle maintenance, the majority of these cells can act as multipotent stem cells in stress situations, such as physical injury, which argues for an unanticipated degree of plasticity of these cells. This review provides an overview of the different epithelial stem cell populations, identified in the mouse HF, and their relationships with one another, and envisions possible cellular mechanisms underlying normal HF maintenance and skin regeneration.",M1
20335364,"Abnormal hair <e>follicle</e> development and altered cell fate of follicular keratinocytes in transgenic mice expressing DeltaNp63alpha.The transcription factor p63 plays an essential role in epidermal morphogenesis. Animals lacking p63 fail to form many ectodermal organs, including the skin and hair follicles. Although the indispensable role of p63 in stratified epithelial skin development is well established, relatively little is known about this transcriptional regulator in directing hair follicle morphogenesis. Here, using specific antibodies, we have established the expression pattern of DeltaNp63 in hair follicle development and cycling. DeltaNp63 is expressed in the developing hair placode, whereas in mature hair its expression is restricted to the outer root sheath (ORS), matrix cells and to the stem cells of the hair follicle bulge. To investigate the role of DeltaNp63 in hair follicle morphogenesis and cycling, we have utilized a Tet-inducible mouse model system with targeted expression of this isoform to the ORS of the hair follicle. DeltaNp63 transgenic animals display dramatic defects in hair follicle development and cycling, eventually leading to severe hair loss. Strikingly, expression of DeltaNp63 leads to a switch in cell fate of hair follicle keratinocytes, causing them to adopt an interfollicular epidermal (IFE) cell identity. Moreover, DeltaNp63 transgenic animals exhibit a depleted hair follicle stem-cell niche, which further contributes to the overall cycling defects observed in the mutant animals. Finally, global transcriptome analysis of transgenic skin identified altered expression levels of crucial mediators of hair morphogenesis, including key members of the Wnt/beta-catenin signaling pathway, which, in part, account for these effects. Our data provide evidence supporting a role for DeltaNp63alpha in actively suppressing hair follicle differentiation and directing IFE cell lineage commitment.",M1
