@RELATION C0221971_C0018120

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20437767,"Quantitative PCR of Propionibacterium acnes DNA in samples aspirated from sebaceous <e>follicles</e> on the normal skin of subjects with or without acne.To elucidate whether people with hair follicles containing many Propionibacterium acnes cells are prone to acne, we developed a novel method to count the number of P. acnes in hair follicles. We sampled sebaceous material in hair follicles by aspiration at a constant negative pressure from the nose, forehead, and upper arm of 86 patients with acne vulgaris and 209 control subjects with healthy skin, including 84 subjects age-matched to the patients. Genome-equivalents of P. acnes in samples were estimated by real-time quantitative PCR (TaqMan). Numbers of P. acnes genome-equivalents were extremely low in control subjects less than 10 years of age and generally higher at greater ages, with much variation in subjects in the same decade of life. In men, the median count was highest in controls aged 15-19 years; in women, it peaked twice, in controls aged 15-19 years and again in those aged 40 years or older. P. acnes counts on the forehead and nose were higher in the acne patients aged 10-14 years than in the age-matched controls in both sexes. The counts at three sites were similar in acne patients and controls aged 15 to 29 years in both sexes. The results suggest that people with hair follicles containing many P. acnes cells are not particularly prone to acne, except for younger teenagers. Our aspiration method with estimation by real-time PCR can be used to examine the cutaneous microflora of P. acnes.",M1
20429299,"[Cultivated human hair follicle cells are capable of integrating to skin structure in vivo]In the present study, human keratinocytes and dermal papilla cells were labeled to investigate their behaviour after intradermal transplantation. Cells were transduced by lentiviral vectors that bore marker gene encoding green fluorescent protein (copGFP) or red fluorescent protein (DsRed). A portion of transgene expressing cells was evaluated by flow cytometry. Genetic constructions that we used provided high level (&gt; 95 %) of transduction of hair follicle cells. In vitro transduced cells were injected under the epidermis of human skin fragments, and these fragments were then transplanted under the skin of immunodeficient mice. Injected epidermal keratinocytes were found, mainly, in hair <e>follicles</e> and partially in a zone of interfollicular epidermis, while dermal papilla cells were found in papilla derma. The results of the present research show that the chosen genetic constructions obtained on a basis of human immunodeficiency lentivirs are capable of effective and stable transduction of human skin cells. Injected cells survived and were found in the corresponding structures of the skin.",M1
20417836,"Leucine-rich repeat-containing G-protein-coupled receptors as markers of adult stem cells.Molecular markers are used to characterize and track adult stem cells. Colon cancer research has led to the identification of 2 related receptors, leucine-rich repeat-containing, G-protein-coupled receptors (Lgr)5 and Lgr6, that are expressed by small populations of cells in a variety of adult organs. Genetic mouse models have allowed the visualization, isolation, and genetic marking of Lgr5(+ve) and Lgr6(+ve) cells and provided evidence that they are stem cells. The Lgr5(+ve) cells were found to occupy locations not commonly associated with stem cells in the stomach, small intestine, colon, and hair <e>follicles</e>. A multipotent population of skin stem cells express Lgr6. Single Lgr5(+ve) stem cells from the small intestine and the stomach can be cultured into long-lived organoids. Further studies of these markers might reveal adult stem cell populations in additional tissues. Identification of the ligands for Lgr5 and 6 will help elucidate stem cell functions and modes of intracellular signaling.",M1
20412777,"beta-catenin activity in the dermal papilla regulates morphogenesis and regeneration of hair.The activity of keratinocytes in the hair follicle is regulated by signals from a specialized mesenchymal niche, the dermal papilla (DP). Here, mice expressing cre recombinase in the DP were developed to probe the interaction between follicular keratinocytes and the DP in vivo. Inactivation of the beta-catenin gene within DP of fully developed hair <e>follicles</e> results in dramatically reduced proliferation of the progenitors and their progeny that generate the hair shaft, and, subsequently, premature induction of the destructive phase of the hair cycle. It also prevents regeneration of the cycling follicle from stem cells. Gene expression analysis reveals that beta-catenin activity in the DP regulates signaling pathways, including FGF and IGF, that can mediate the DP's inductive effects. This study reveals a signaling loop that employs Wnt/beta-catenin signaling in both epithelial progenitor cells and their mesenchymal niche to govern and coordinate the interactions between these compartments to guide hair morphogenesis.",M1
20393562,"APCDD1 is a novel Wnt inhibitor mutated in hereditary hypotrichosis simplex.Hereditary hypotrichosis simplex is a rare autosomal dominant form of hair loss characterized by hair follicle miniaturization. Using genetic linkage analysis, we mapped a new locus for the disease to chromosome 18p11.22, and identified a mutation (Leu9Arg) in the adenomatosis polyposis down-regulated 1 (APCDD1) gene in three families. We show that APCDD1 is a membrane-bound glycoprotein that is abundantly expressed in human hair <e>follicles</e>, and can interact in vitro with WNT3A and LRP5-two essential components of Wnt signalling. Functional studies show that APCDD1 inhibits Wnt signalling in a cell-autonomous manner and functions upstream of beta-catenin. Moreover, APCDD1 represses activation of Wnt reporters and target genes, and inhibits the biological effects of Wnt signalling during both the generation of neurons from progenitors in the developing chick nervous system, and axis specification in Xenopus laevis embryos. The mutation Leu9Arg is located in the signal peptide of APCDD1, and perturbs its translational processing from the endoplasmic reticulum to the plasma membrane. APCDD1(L9R) probably functions in a dominant-negative manner to inhibit the stability and membrane localization of the wild-type protein. These findings describe a novel inhibitor of the Wnt signalling pathway with an essential role in human hair growth. As APCDD1 is expressed in a broad repertoire of cell types, our findings indicate that APCDD1 may regulate a diversity of biological processes controlled by Wnt signalling.",M1
20393474,"Human hair <e>follicles</e>:  bulging  with neural crest-like stem cells.Several studies have reported the existence of precursor cells residing within various adult tissues that appear to either retain or recapitulate features of neural crest stem cells (NCSCs). In rodents, unique populations of both epidermal and dermal cells, resident within hair follicles, exhibit such characteristics, although the existence of equivalent NCSC-like cells in human tissues has remained uncertain. In this issue, Yu et al. show that NCSC-like cells also reside within the bulge region of adult human hair follicles.",M1
20335364,"Abnormal hair follicle development and altered cell fate of follicular keratinocytes in transgenic mice expressing DeltaNp63alpha.The transcription factor p63 plays an essential role in epidermal morphogenesis. Animals lacking p63 fail to form many ectodermal organs, including the skin and hair <e>follicles</e>. Although the indispensable role of p63 in stratified epithelial skin development is well established, relatively little is known about this transcriptional regulator in directing hair follicle morphogenesis. Here, using specific antibodies, we have established the expression pattern of DeltaNp63 in hair follicle development and cycling. DeltaNp63 is expressed in the developing hair placode, whereas in mature hair its expression is restricted to the outer root sheath (ORS), matrix cells and to the stem cells of the hair follicle bulge. To investigate the role of DeltaNp63 in hair follicle morphogenesis and cycling, we have utilized a Tet-inducible mouse model system with targeted expression of this isoform to the ORS of the hair follicle. DeltaNp63 transgenic animals display dramatic defects in hair follicle development and cycling, eventually leading to severe hair loss. Strikingly, expression of DeltaNp63 leads to a switch in cell fate of hair follicle keratinocytes, causing them to adopt an interfollicular epidermal (IFE) cell identity. Moreover, DeltaNp63 transgenic animals exhibit a depleted hair follicle stem-cell niche, which further contributes to the overall cycling defects observed in the mutant animals. Finally, global transcriptome analysis of transgenic skin identified altered expression levels of crucial mediators of hair morphogenesis, including key members of the Wnt/beta-catenin signaling pathway, which, in part, account for these effects. Our data provide evidence supporting a role for DeltaNp63alpha in actively suppressing hair follicle differentiation and directing IFE cell lineage commitment.",M1
20302576,"Thyrotropin-releasing hormone and oestrogen differentially regulate prolactin and prolactin receptor expression in female human skin and hair <e>follicles</e> in vitro.BACKGROUND: Human skin and scalp hair follicles are both a nonclassical target and an extrapituitary source of prolactin (PRL), which is a potent hair growth modulator. However, how the expression of PRL and PRL receptor (PRLR) is regulated in human skin is unknown. OBJECTIVES: To investigate whether two key stimulators of pituitary PRL secretion, thyrotropin-releasing hormone (TRH) and oestrogen, also regulate cutaneous PRL and PRLR expression. METHODS: Female scalp skin and/or microdissected hair follicles were treated for 6 days in serum-free organ culture with oestrogen (100 nmol L(-1)), TRH (1-10 ng mL(-1), 3-30 nm) or vehicle control. Quantitative immunohistomorphometry of skin and hair follicle sections was complemented with quantitative polymerase chain reaction for PRL and PRLR in cultured hair follicles and/or female human outer root sheath (ORS) keratinocytes. RESULTS: Oestrogen treatment significantly upregulated PRL and PRLR immunoreactivity in selected skin and hair follicle compartments, at the gene and protein level (P &lt; 0.05). TRH significantly increased PRL immunoreactivity and transcription in hair follicles (P &lt; 0.05); however, while it also increased PRLR transcription in hair follicles, it downregulated PRLR immunoreactivity in the hair follicle ORS (P &lt; 0.05). CONCLUSIONS: Our pilot study shows that two key endocrine controls of pituitary PRL secretion, oestrogen and TRH, also regulate PRL and PRLR expression in human skin. This provides novel insights into the regulation of extrapituitary PRL and PRLR expression, and invites exploration of oestrogen and TRH as novel therapeutic agents in the management of skin and hair diseases characterized by aberrant PRLR-mediated signalling.",M1
20300578,"Cytokines and other mediators in alopecia areata.Alopecia areata, a disease of the hair <e>follicles</e> with multifactorial etiology and a strong component of autoimmune origin, has been extensively studied as far as the role of several cytokines is concerned. So far, IFN-gamma, interleukins, TNF-alpha, are cytokines that are well known to play a major role in the pathogenesis of the disease, while several studies have shown that many more pathways exist. Among them, MIG, IP-10, BAFF, HLA antigens, MIG, as well as stress hormones are implicated in disease onset and activity. Within the scope of this paper, the authors attempt to shed light upon the complexity of alopecia areata underlying mechanisms and indicate pathways that may suggest future treatments.",M1
20229054,"Differential expression of stem cell markers in human follicular bulge and interfollicular epidermal compartments.Although skin contains a number of stem cell repositories, their characterization has been hindered by a lack of specific markers and an unclear in vivo localization. In this study, we whole mounted single human scalp hair <e>follicles</e> and examined their profiles using in situ immunohistochemistry and multicolor immunofluorescence in search of markers to distinguish between stem cells residing in the interfollicular epidermis (IFE) and bulge. Our study revealed that expression of several biomarkers localized uniquely to the basal IFE (CD34 and CD117), bulge region (CD200), or both (CK15, CD49f, and CD29). In addition, we found that both basal IFE and bulge stem cells did not express CD71 or CD24 suggesting their potential utility as negative selection markers. Dermal papilla but not basal IFE or bulge stem cells expressed CD90, making it a potential positive selection marker for dermal hair follicle stem cells. The markers tested in this study may enable pursuit of cell sorting and purification strategies aimed at determining each stem cell population's unique molecular signature.",M1
20226633,"Spatial and temporal control of laminin-511 and -332 expressions during catagen.BACKGROUND: We recently reported that the basement membrane (BM) zone components laminin-511 and -332 precisely regulate hair growth spatially and temporally during the anagen stage of the hair cycle. OBJECTIVE: In this study, we examined the localization and roles of laminin-511 and -332 during catagen in mice. METHODS: Using tissue from C57BL/6 hair depilation model mice, we performed immunohistochemistry, in situ hybridization, western blotting, and quantitative reverse transcriptase polymerase chain reaction (QRT-PCR) studies. RESULTS: Although the distribution of laminin-332 around the BM of lower hair <e>follicles</e> changed during catagen, its total expression was stable throughout catagen stages at both the mRNA and protein levels. In sharp contrast, in situ hybridization, western blotting, and QRT-PCR studies of laminin alpha 5 showed that laminin-511 expression was gradually downregulated. Moreover, while the injection of recombinant laminin-332 at anagen stage VI did not affect catagen progression, injection of a laminin-511-rich A549 cell conditioned media protein extract at anagen stage VI delayed progression of catagen. CONCLUSION: These results indicated that downregulation of laminin-511 is important for hair regression.",M1
20223988,"Lgr6 marks stem cells in the hair follicle that generate all cell lineages of the skin.Mammalian epidermis consists of three self-renewing compartments: the hair follicle, the sebaceous gland, and the interfollicular epidermis. We generated knock-in alleles of murine Lgr6, a close relative of the Lgr5 stem cell gene. Lgr6 was expressed in the earliest embryonic hair placodes. In adult hair <e>follicles</e>, Lgr6+ cells resided in a previously uncharacterized region directly above the follicle bulge. They expressed none of the known bulge stem cell markers. Prenatal Lgr6+ cells established the hair follicle, sebaceous gland, and interfollicular epidermis. Postnatally, Lgr6+ cells generated sebaceous gland and interfollicular epidermis, whereas contribution to hair lineages gradually diminished with age. Adult Lgr6+ cells executed long-term wound repair, including the formation of new hair follicles. We conclude that Lgr6 marks the most primitive epidermal stem cell.",M1
