@RELATION C0017346_C0017973

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19957600,"[Genetic characteristics of HIV-1 CRF01_AE strains in four provinces, southern China]OBJECTIVE: To analyze the genetic characteristics of HIV-1 CRF01_AE strains prevailing in the four provinces of southern China. METHODS: Plasma samples were collected from the newly diagnosed HIV-1 individuals reported in 2006 in Guangdong, Guangxi, Jiangxi and Hunan province. The <e>gag</e> and env gene fragments were amplified from RNA template extracted from plasma using RT and nested PCR methods. CRF01_AE sequences were analyzed by phylogenetic methods and characterized by calculating the genetic distance and Entropy analysis. RESULTS: Two main epidemic clusters were found to exist in the CRF01_AE strains from 210 HIV-1 CRF01_ AE infected individuals collected in the 4 provinces, southern China. It was found that no international reference strain was closely correlated with cluster I, which including 123 samples. The strains in cluster II, consisting 57 cases of samples, were closely related with the strains identified in Vietnam. Genetic distance analysis of gag and env genes showed that the diversity of cluster I was obviously less than that of cluster II. Data on nucleotide polymorphism showed that nucleotides compositions of 42 sites in gag and 40 sites in env were significantly different between the two clusters. When compared with cluster II, the polymorphism decreased at 61 nucleotide sites but increased at 21 sites in cluster I. CONCLUSION: This was the first report describing that two main epidemic clusters were existed in CRF01_AE strains prevailing in the 4 provinces, Southern China. The virus in cluster I was the dominant strain in this region, with shorter period of circulation and higher proportion seen in the HIV-infected population, which might belong to CRF01_AE strain with certain features facilitating the spread of the virus. The virus in cluster II was highly homology with the CRF01_AE strains from Vietnam, and seemed to have had several events of epidemics in populations in border regions of China and Vietnam.",M1
19929694,"Comparative cell-mediated immunogenicity of DNA/DNA, DNA/adenovirus type 5 (Ad5), or Ad5/Ad5 HIV-1 clade B <e>gag</e> vaccine prime-boost regimens.BACKGROUND: We report composite results from the Merck phase I program of near-consensus clade B human immunodeficiency virus (HIV) type 1 gag vaccines. METHODS: Healthy HIV-uninfected adults were enrolled in 6 blinded placebo-controlled studies evaluating the immunogenicity of (1) a 4-dose regimen of a DNA vaccine, (2) a 3-dose priming regimen of the DNA vaccine with a booster dose of an adenovirus type 5 (Ad5)-vectored vaccine, or (3) a 3-dose regimen of the Ad5 vaccine. The DNA plasmid was provided with or without an aluminum phosphate or CRL1005 adjuvant. The primary end point was the unfractionated HIV-1 gag-specific interferon gamma enzyme-linked immunospot (ELISpot) response 4 weeks after the final dose. RESULTS: Overall, 254 (83%) of 307 subjects randomized to the vaccine groups were evaluable. Adjuvants did not enhance immunogenicity of the DNA vaccine. Postboost ELISpot responder frequencies were higher for Ad5-containing regimens than for the DNA/DNA regimen (33%) but were similar for DNA/Ad5 (55%) and Ad5/Ad5 (50%). DNA/DNA elicited mainly a CD4 response, whereas Ad5/Ad5 elicited mainly a CD8 response; DNA/Ad5 generated CD4 and CD8 responses comparable to those of DNA/DNA and Ad5/Ad5, respectively. CONCLUSIONS: The DNA vaccine alone or as a priming regimen for the Ad5 vaccine did not increase unfractionated ELISpot responses compared with the Ad5 vaccine alone. Qualitative T cell responses to different vaccine regimens deserve further study.",M1
19861549,"Imaging the interaction of HIV-1 genomes and <e>Gag</e> during assembly of individual viral particles.The incorporation of viral genomes into particles has never previously been imaged in live infected cells. Thus, for many viruses it is unknown how the recruitment and packaging of genomes into virions is temporally and spatially related to particle assembly. Here, we devised approaches to simultaneously image HIV-1 genomes, as well as the major HIV-1 structural protein, Gag, to reveal their dynamics and functional interactions during the assembly of individual viral particles. In the absence of Gag, HIV-1 RNA was highly dynamic, moving in and out of the proximity of the plasma membrane. Conversely, in the presence of Gag, RNA molecules docked at the membrane where their lateral movement slowed and then ceased as Gag assembled around them and they became irreversibly anchored. Viral genomes were not retained at the membrane when their packaging signals were mutated, nor when expressed with a Gag mutant that was not myristoylated. In the presence of a Gag mutant that retained membrane- and RNA-binding activities but could not assemble into particles, the viral RNA docked at the membrane but continued to drift laterally and then often dissociated from the membrane. These results, which provide visualization of the recruitment and packaging of genomes into individual virus particles, demonstrate that a small number of Gag molecules recruit viral genomes to the plasma membrane where they nucleate the assembly of complete virions.",M1
19845640,"Cellular genes derived from Gypsy/Ty3 retrotransposons in mammalian genomes.Gypsy/Ty3 retrotransposons, a group of long terminal repeat retrotransposons related to vertebrate retroviruses, are found in the genome of many fungi, plants, and animals. Although multiple families of such retroelements are present in fish, active Gypsy/Ty3 retrotransposons have all been eliminated from the lineage leading to mammals at least 180 million years ago. However, over 50 cellular genes related to Gypsy/Ty3 retrotransposons have been identified in mammalian genomes, indicating recurrent  molecular domestication  of these elements by their host during evolution. Most retrotransposon-derived proteins are conserved in divergent mammalian species and show sequence similarity to <e>Gag</e> proteins, major structural proteins for retroelement particle formation. Among the proposed and demonstrated biological functions for gag-derived genes, placenta formation in the mouse requires two gag-derived genes from the same family. Some forms of epigenetic regulation of gag-related genes might derive from host genome defense mechanisms that repelled retrotransposon ancestors. Together, such observations support a major role for transposable elements as a source of new coding sequences allowing important genetic innovations during evolution.",M1
19781770,"The use of PEGylated poly [2-(N,N-dimethylamino) ethyl methacrylate] as a mucosal DNA delivery vector and the activation of innate immunity and improvement of HIV-1-specific immune responses.To minimize the cytotoxicity of poly (2-(dimethylamino) ethyl methacrylate) (PDMAEMA) as a gene delivery vector, we synthesized PEGylated PDMAEMA by atom transfer radical polymerization (ATRP). Here we report its effects on transfection efficiency in vitro delivered with a GFP expression plasmid and immunogenicity in vivo after complexed with a HIV <e>gag</e> gene DNA vaccine. mPEG(113)-b-PDMAEMA(94) was efficient in condensing DNA and formed polyplexes with an average diameter of about 150 nm. The in vitro transfection experiments demonstrated that PEGylation dramatically decreased the cytotoxicity at the N/P ratios above 30, although the transfection efficiency in vitro was reduced. Interestingly, mice in vivo vaccination study clearly showed that PEGylated PDMAEMA used as DNA delivery vector significantly improved the prime effect of DNA vaccine through intranasal administration. Importantly, PEGylated PDMAEMA was further proved its ability to induce cytokines production by murine macrophages. Overall, mPEG-b-PDMAEMA can be used as an efficient DNA vaccine vector which enhances adaptive immune responses by activating innate immunity.",M1
19775717,"Importance of the major splice donor and redefinition of cis-acting sequences of gutless feline foamy virus vectors.Foamy virus vectors are potent alternatives to lenti- and gamma-retroviral vectors for gene therapy. To construct and optimize gutless feline foamy virus (FFV) replication-deficient (RD) vectors, viral elements essential for optimal efficient marker gene transduction were characterized and fine-mapped and packaging clones constructed. For these purposes, new <e>Gag</e> and Pol expression clones which allow efficient expression of packaging proteins and vectors carrying deletions in coding and non-coding regions of the genome were constructed and functionally evaluated. These studies demonstrate that the 5' major splice donor (5' SD) is indispensable for RD vectors while defined mutations introduced to inactivate the gag start codon improve transgene delivery efficiency. Based on these findings, new gutless FFV vectors were generated yielding un-concentrated vector titers above 10(5) transducing units (TU)/ml. By minimizing the second cis-acting sequence in the pol gene, only 3.8 kb viral sequences are maintained in the novel gutless FFV RD vectors.",M1
19759567,"Partial protection against SIV challenge by vaccination of adenovirus and MVA vectors in rhesus monkeys.This study explores the effect of priming rhesus monkeys with an Ad5/35 vector expressing simian immunodeficiency virus (SIV) <e>gag</e> and gp120, and then boosting the animals with an modified vaccinia virus Ankara (MVA) vector encoding the same antigens after a 2-month interval. The animals were intravenously challenged with 100 TCID50 of highly pathogenic SIVmac239 virus 2 months after the booster vaccination. The priming vaccination induced robust SIV-specific cell-mediated and humoral immune responses, and boosting further enhanced the cellular immunity. Vaccination reduced peak and long-term viral loads by 1-2 logs for a period of &gt;6 months, as reflected by a reduction in both the SIV RNA and DNA levels. Of considerable interest, the immunized monkeys did not suffer from loss of CD4 T cells, particularly central memory CD4 T cells. These results demonstrate that prophylactic vaccination with Ad5/35 followed by MVA reduces viral replication and prevents CD4 T-cell loss, and that these effects may decrease the likelihood of disease progression.",M1
19685389,"[Genetics of dystonia]The dystonias comprise a heterogeneous group of movement disorders. In contrast to the frequent sporadic forms, a variety of rare familial forms are caused by genetic mutations with mendelian inheritance. In recent years, significant progress has been made with regard to the identification of genes causing dystonia, and to the molecular pathophysiology underlying dystonic symptoms. Currently, 18 gene loci have been described causing primary dystonia, dystonia-plus syndromes or paroxysmal dystonia. The most frequent form of inherited dystonia, according to current knowledge, is early-onset generalized DYT1 dystonia, caused by a deletion of three basepairs, <e>GAG</e>, in the DYT1 (TOR1A) gene. It is thought that the protein encoded by this gene, torsinA, participates in association of the endoplasmatic reticulum and the nuclear envelope with the cytoskeleton and hereby might influence the reaction of cells to various stresses and/or the development of specific neuronal populations involved in movement control in the brain. Other genes which have only recently been identified include: THAP1, causing adolescent-onset primary dystonia of mixed type (DYT6); ATP1A3, responsible for Rapid-Onset Dystonia-Parkinsonism (RDP, DYT12); PRKRA, causing young-onset dystonia-parkinsonism (DYT16); and SLC2A1, causing paroxysmal exertion-induced dystonia with haemolytic anemia (DYT18). Further, five other loci for primary dystonia (DYT2, DYT4, DYT7, DYT13 and DYT17) have been identified, for which the causative genes remain to be discovered.",M1
19671285,"[Primers of <e>gag</e> gene for HIV-1 subtyping in China and application thereof in practice]OBJECTIVE: To design the appropriate primers of gag gene for HIV-1 subtyping in molecular epidemiology survey based on the genetic characteristics derived from the main HIV-1 strains prevailing in China. METHODS: The gag genes of HIV-1 CRF07_BC, CRF08_BC, and subtype C, together with subtyping reference sequences, were obtained from HIV sequence database. Referring to the alignments and genetic characteristics of HIV-1 full gag sequences, new primers of gag gene for amplification and subtyping were designed. The target fragment was used to construct neighbor-joining phylogenetic tree and evaluate its reliability. The newly designed primers (GUX/GDX) were used to amplify the plasma samples to evaluate their efficiency. RESULTS: The phylogenetic tree of 306/c-gag fragments (positions 836-1507 of HIV-1 strain HXB2) showed that CRF07_BC and subtype C strains formed clusters with low bootstrap values (59% for CRF07_BC and 70% for subtype C), and the phylogenetic tree could not distinguish the sequences of CRF07_BC, CRF08_BC, and subtype C very well. Whereas the sequences of CRF07_BC, CRF08_BC, and subtype C from GUX/GDX (positions 781-1861) were clustered separately with higher bootstrap values (99%, 99%, and 77% respectively). In practice, a very good amplification and sequencing efficiency with over 90% positive results on average were obtained with GUX/GDX. Five clusters of subtype B, C, CRF01_AE, CRF07_BC, and CRF08_BC were formed with higher confidence (Bootstrap values all above 80%). The reliable phylogenetic tree could be constructed based on the fragments sequenced only with antisense primer (GDX). CONCLUSION: Fragments obtained with GUX/GDX primers of gag gene can be used to reconstruct phylogenetic tree with high reliability to distinguish the HIV-1 strains circulating in China, especially for the major BC recombinant and subtype C strains, which provides a useful tool in HIV molecular epidemiologic research.",M1
19655167,"Genetic variants A1826H and D2937Y in <e>GAG</e>-beta domain of versican influence susceptibility to intestinal-type gastric cancer.PURPOSE: Versican regulates adhesion, migration, proliferation, and survival of cells, and plays an important role in cancer development. A case-control association study was performed to test genetic association of versican polymorphisms with susceptibility to gastric cancer. METHODS: In this study, 1,101 unrelated Korean subjects including 612 gastric cancer patients and 489 healthy controls were genotyped for all 21 exonic polymorphisms in the versican gene (VCAN) encoding amino acid changes in versican. Cancer susceptibility associations with the polymorphisms were assessed using multivariate logistic regression analysis with adjustment for age and gender and with control for multiple testing. RESULTS: Two amino acid changes in GAG-beta domain of versican encoded by two almost fully correlated (r (2) = 0.97) nonsynonymous single-nucleotide polymorphisms in VCAN were associated with gastric cancer. The association was evident in intestinal-type but not in diffuse-type gastric cancer. The minor-allele homozygote of rs188703 (G &gt; A, R1826H) or rs160277 (G &gt; T, D2937Y) was significantly associated with a twofold decreased susceptibility to intestinal-type gastric cancer when compared with the other genotypes (adjusted odds ratio = 0.52 or 0.51, P = 0.0098 or 0.0087, respectively). CONCLUSIONS: The intestinal-type gastric cancer susceptibility is associated with two amino acid changes of versican in the GAG-beta domain, which is critical for enhancement of cell proliferation and activation of EGFR signal pathway by versican, and changes from the major to minor alleles may impair the function to decrease susceptibility to cancer.",M1
