@RELATION C0021740_C0021745

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19655276,"Enhancement of human <e>gamma-interferon</e> production in recombinant E. coli using batch cultivation.Development of inexpensive and simple culture media and appropriate induction conditions are always favorable for industry. In this research, chemical composition and stoichiometric data for gamma-interferon production and recombinant Escherichia coli growth were used in order to achieve a simple medium and favorable induction conditions. To achieve this goal, the effects of medium composition and induction conditions on the production of gamma-interferon were investigated in batch culture of E. coli BL21 (DE3) [pET3a-ifngamma]. These conditions were considered as suitable conditions for the production of gamma-interferon: 2.5x M9 medium, supplemented with a mixture of amino acids (milligram per liter), including glutamic acid 215, aspartic acid 250, lysine 160, and phenylalanine 90, and induction at late-log phase (OD(600) = 4.5). Under these conditions, dry cell weight of 6 +/- 0.2 g/l and gamma-interferon concentration of 2.15 +/- 0.1 g/l were obtained. Later, without changing the concentration ratio of amino acids and glucose, the effect of increase in the primary glucose concentration on productivity of gamma-interferon was investigated. It was found that 25 g/l glucose will result in maximum attainable biomass and recombinant human gamma-interferon. At improved conditions, a dry cell weight of 14 +/- 0.2 g/l, concentration and overall productivity of gamma-interferon 4.2 +/- 0.1 g/l and 420 +/- 10 mg/l h, respectively, were obtained.",M1
19335688,"Increased expression of CD208 (DC-LAMP) in epidermal keratinocytes of psoriatic lesions.Psoriasis is a chronic inflammatory skin disease characterized by epidermal hyperproliferation and infiltration of inflammatory leukocytes. The aim of this study was to clarify the role of innate immunity involving dendritic cells (DC) and keratinocytes in psoriasis. We immunohistochemically examined the expression of DC markers such as CD1a, CD83, CD207 (Langerin), CD208 (DC-LAMP) and CD209 (DC-SIGN) in psoriatic skin and <e>gamma-interferon</e> (IFN-gamma)/12-O-tetradecanoylphorbol-13-acetate (TPA)-stimulated keratinocytes in vitro. CD208 was strongly expressed in basal and suprabasal layer keratinocytes in addition to DC in the perivascular lesions of the psoriatic dermis. Furthermore, the enhanced expression of CD208 in the perinuclear lesions of IFN-gamma-/TPA-stimulated keratinocytes was observed in vitro. Because a defect of the granular layer in psoriatic lesions has been recognized, increased expression of lysosome-related CD208 in the basal and suprabasal keratinocytes of psoriatic lesions might represent aberrant epidermal differentiation. Additionally, these CD208-positive keratinocytes possessing putative antigen-processing activity might play a key role as antigen-presenting cells in psoriatic skin.",M1
19165788,"Sensitivity of insulin production from encapsulated islets to endotoxin-stimulated macrophage inflammatory mediators.Chronic inflammation may compromise function of implanted encapsulated islets. Increased purity of alginate used for encapsulation prolongs encapsulated graft function, correlating with decreased presence of impurities like bacterial endotoxin. Limits for endotoxin contamination in biomaterials based on indirect inhibition of function of embedded cells have yet to be established. In a coculture system with RAW 264.7 monocyte/macrophage cells in the presence of 50 ng/mL murine recombinant <e>gamma-interferon</e> (mrIFN-gamma), the insulin response to glucose challenge of both rat and pig unencapsulated islets was prevented by endotoxin (LPS) in the medium down to 0.3 EU/mL (LOEL), but not 0.06 EU/mL (NOEL). Evaluation of nitrite concentrations in supernatants revealed that pig islets were more resistant to LPS-stimulated macrophage mediators than rat islets. Encapsulation in highly purified alginate produced little change in observed inhibitory effects of macrophage-generated nitric oxide (NO) toward islet function. Chemically released NO was much less effective in inhibiting insulin responsiveness to glucose challenge than was coculture of islets with LPS and mrIFN-gamma-stimulated RAW 264.7. These results taken together with other data suggest that an upper limit of 0.3 EU/mL LPS within the encapsulating alginate will not impair the function of implanted encapsulated islets by toxic concentrations of macrophage-mediated inflammatory agents.",M1
18838522,"Porphyromonas gingivalis, <e>gamma interferon</e>, and a proapoptotic fibronectin matrix form a synergistic trio that induces c-Jun N-terminal kinase 1-mediated nitric oxide generation and cell death.During infection and inflammation, bacterial and inflammatory proteases break down extracellular matrices into macromolecular fragments. Fibronectin fragments are associated with disease severity in arthritis and periodontitis. The mechanisms by which these fragments contribute to disease pathogenesis are unclear. One likely mechanism is that fibronectin fragments induce apoptosis of resident cells, which can be further modulated by nitric oxide. Nitric oxide levels are increased at inflammatory sites in periodontitis patients. The aim of this study was to examine whether a proapoptotic fibronectin matrix (AFn) exerts its action by inducing nitric oxide and whether priming by bacterial and inflammatory components exacerbates this mechanism. Our data demonstrate that AFn increased the levels of nitric oxide and inducible nitric oxide synthase (iNOS) dose and time dependently in periodontal ligament (PDL) cells. These effects and apoptosis were inhibited by iNOS suppression and enhanced by iNOS overexpression. Nitric oxide and iNOS induction were paralleled by increased c-Jun N-terminal kinase 1 (JNK-1) phosphorylation. JNK-1 overexpression enhanced the expression of nitric oxide and iNOS, whereas inhibiting JNK-1 by small interfering RNA or a kinase mutant reversed these findings. Priming PDL cells with Porphyromonas gingivalis, its lipopolysaccharide (LPS), or gamma interferon (IFN-gamma) further increased nitric oxide levels and apoptosis. Escherichia coli and Streptococcus mutans induced lesser effects. Gingival fibroblasts and neutrophils responded to a lesser degree to these stimuli, whereas keratinocytes were resistant to apoptosis. Thus, proapoptotic matrices trigger nitric oxide release via JNK-1, promoting further apoptosis in host cells. LPS and IFN-gamma accentuate this mechanism, suggesting that during inflammation, the affected matrices and bacterial and inflammatory components combined exert a greater pathogenic effect on host cells.",M1
18457879,"Characterisation of <e>gamma-interferon</e> responsive promoters in fish.Reporter constructs of three interferon (IFN)-gamma-induced rainbow trout genes were generated to examine specificity to type I or type II IFN. Constructs included gammaIP-10, LMP2 and TAP2 and were used to transfect trout fibroblast cells (RTG-2) which were then exposed to rainbow trout rIFNs. The gammaIP-10 construct showed high reporter activity even in the absence of rIFNs. The LMP2 promoter contained one GAS element and two double ISRE elements, of four constructs made, only those with ISRE elements showed significant reporter activity following rIFN-gamma stimulation. The TAP2 regulatory region contained two GAS, two ISRE and one C/EBP element from which four constructs were made. Reporter expression for the construct containing all five elements showed an 11- and 2-fold increase in response to rIFN-gamma and type I rIFN, respectively. Constructs containing only the GAS elements did not respond to rIFNs. The TAP2 construct with two ISRE and the C/EBP gave the greatest dose-dependent reporter response to rIFN-gamma, with no significant response to type I rIFN. These data suggest that the ISRE elements, or elements nearby, are essential for the induction of type II IFN responsive genes in trout. The TAP2 construct is a candidate to develop a IFN-gamma reporter stable cell line.",M1
17893127,"<e>Gamma interferon</e> confers resistance to infection with Staphylococcus aureus in human vascular endothelial cells by cooperative proinflammatory and enhanced intrinsic antibacterial activities.Vascular endothelium is an exposed target in systemic endovascular Staphylococcus aureus infections. We reported earlier that the proinflammatory and procoagulant activities of primary human umbilical vein endothelial cells (ECs) after binding and ingestion of S. aureus organisms provide the cells effective means for leukocyte-mediated bacterial elimination. Expanding on this, we now show that these ECs exhibit a modest intrinsic capacity for eliminating intracellular S. aureus that was influenced by cytokines relevant to S. aureus infections. Using various EC infection assays, we showed that gamma interferon (IFN-gamma), applied to cultures of ECs prior to or after infection with S. aureus, markedly reduced the level of infection, illustrated by lower percentages of S. aureus-infected ECs and less intracellular bacteria per infected cell. IFN-gamma-activated ECs had unaltered abilities to bind S. aureus and processed ingested bacteria by a seemingly conventional phagocytic pathway. IFN-gamma treatment rescued EC monolayers from severe injury by virulent clinical S. aureus strains or excessive bacterial numbers. Mechanistically, IFN-gamma controls S. aureus infection via IFN-gamma receptor, most likely through stimulation of intrinsic endothelial antibacterial mechanisms but independent of processes that deprive bacteria of intracellular L-tryptophan or iron. The antibacterial activity of IFN-gamma-stimulated ECs coincided with sustained or slightly elevated endothelial proinflammatory responses that supported monocyte recruitment. In conclusion, we identify IFN-gamma as a potent regulatory Th1 cytokine possessing exclusive abilities to augment intrinsic antistaphylococcal effector mechanisms in human ECs without ablating the S. aureus-induced proinflammatory EC responses and, as such, coordinating a protective efficacy of ECs against blood-borne S. aureus infection.",M1
17889355,"Induction of autologous graft-versus-host disease: results of a randomized prospective clinical trial in patients with poor risk lymphoma.The results of blood or marrow transplantation in patients with chemorefractory aggressive lymphoma, that is, those not responding to conventional-dose chemotherapy at the time of transplant, have been poor. The relapse rate has been high after autologous bone marrow transplant, whereas allogeneic transplantation has been associated with excessive transplant-related toxicity. Administration of cyclosporine after autologous transplantation can induce an autoreactive syndrome that resembles graft-versus-host disease (GVHD). This syndrome, named autologous graft-versus-host disease, has clear antitumor activity in animal models that can be enhanced by the addition of cytokines such as <e>gamma-interferon</e> and interleukin-2. A randomized, prospective study was conducted to evaluate the antitumor effect of autologous graft-versus-host disease induced with cyclosporine, and augmented by the administration of gamma-interferon and interleukin-2 in patients with chemorefractory Hodgkin and aggressive non-Hodgkin lymphomas. Fifty-one patients were randomized, 24 to the autologous GVHD induction arm, and 27 to the noninduction arm after autologous transplant using mobilized peripheral blood stem cell (PBSC) grafts. There were no differences in treatment-related mortality, overall and event-free survival (OS, EFS) between both groups; however, in the induction arm, GVHD developed only in 4 patients. The administration of oral cyclosporine followed by interleukin-2 and gamma-interferon is generally not well tolerated, and does not appear to be an effective method to induce autologous GVHD in patients receiving autologous PBSC grafts.",M1
17220551,"Neuraminidase inhibitors reduce nitric oxide production in influenza virus-infected and <e>gamma interferon</e>-activated RAW 264.7 macrophages.The influenza virus (influenza) infection causes an intense infiltration of pulmonary tissues by macrophages, which abundantly generate a free radical, nitric oxide (NO) resulting in lung damage. Neuraminidase inhibitors (NIs) restrict influenza virus replication but whether they can suppress NO production within macrophages is unknown. RAW 264.7 macrophages were exposed to interferon-gamma (IFN-gamma), live influenza (A/PR/8/34) or a combination of both and were treated with NIs (oseltamivir or zanamivir). Results revealed that the drugs reduced a synergy between influenza and IFN-gamma in NO synthesis within the cells at all of the used concentrations (0.01, 0.1, 1 microg/ml). In contrast to zanamivir, this effect occurred in a concentration-dependent manner with oseltamivir treatment. On the other hand, all concentrations of zanamivir significantly suppressed NO production in comparison to that upon the combined exposure only (p &lt; 0.05). Both compounds also considerably decreased NO generation in the IFN-gamma-stimulated macrophages, and zanamivir in the influenza-infected cells as well. However, neither of the drugs inhibited iNOS mRNA expression in the cells containing these stimulants. Additionally, the data indicate that a prodrug oseltamivir can be activated in vitro within the macrophage cultures. These findings are important for designing treatment approaches to limit pulmonary inflammation during influenza infection.",M1
17166912,"Pseudotyped single-cycle simian immunodeficiency viruses expressing <e>gamma interferon</e> augment T-cell priming responses in vitro.To increase the safety and efficacy of human immunodeficiency virus vaccines, several groups have conducted studies using the macaque model with single-cycle replicating simian immunodeficiency viruses (SIVs). However, these constructs had poor or diminished efficacy compared to live attenuated vaccines. We previously showed that immunization of macaques with live attenuated SIV with a deletion in the nef gene and expressing gamma interferon (IFN-gamma) results in significantly enhanced safety and efficacy. To further enhance safety, we constructed and characterized single-cycle SIVs, pseudotyped with the glycoprotein of vesicular stomatitis virus, expressing different levels of macaque IFN-gamma. Expression of IFN-gamma did not alter the infectivity or antigenicity of pseudotyped SIV. The transduction of dendritic cells (DCs) by IFN-gamma-expressing particles resulted in the up-regulation of costimulatory and major histocompatibility complex molecules. Furthermore, T cells primed with DCs transduced by SIV particles expressing high levels of IFN-gamma and then stimulated with SIV induced significantly higher numbers of spot-forming cells in an enzyme-linked immunospot assay than did T cells primed with DCs transduced with SIV particles lacking the cytokine. In conclusion, we demonstrated that the transduction of DCs in vitro with pseudotyped single-cycle SIVs expressing IFN-gamma increased DC activation and augmented T-cell priming activity.",M1
16928759,"The unique C termini of orthopoxvirus <e>gamma interferon</e> binding proteins are essential for ligand binding.The orthopoxviruses ectromelia virus (ECTV) and vaccinia virus (VACV) express secreted gamma interferon binding proteins (IFN-gammaBPs) with homology to the ligand binding domains of the host's IFN-gamma receptor (IFN-gammaR1). Homology between these proteins is limited to the extracellular portions of the IFN-gammaR1 and the first approximately 200 amino acids of the IFN-gammaBPs. The remaining 60 amino acids at the C termini of the IFN-gammaBPs contain a single cysteine residue shown to be important in covalent dimerization of the secreted proteins. The function of the remaining C-terminal domain (CTD) has remained elusive, yet this region is conserved within all orthopoxvirus IFN-gammaBPs. Using a series of C-terminal deletion constructs, we have determined that the CTD is essential for IFN-gamma binding despite having no predicted homology to the IFN-gammaR1. Truncation of the ECTV IFN-gammaBP by more than two amino acid residues results in a complete loss of binding activity for both murine IFN-gamma and human IFN-gamma (hIFN-gamma), as measured by surface plasmon resonance (SPR) and bioassay. Equivalent truncation of the VACV IFN-gammaBP resulted in comparable loss of hIFN-gamma binding activity by SPR. Full-length IFN-gammaBPs were observed to form higher-ordered structures larger than the previously reported dimers. Mutants that were unable to bind IFN-gamma with high affinity in SPR experiments failed to assemble into these higher-ordered structures and migrated as dimers. We conclude that the unique CTD of orthopoxvirus IFN-gammaBPs is important for the assembly of covalent homodimers as well as the assembly of higher-ordered structures essential for IFN-gamma binding.",M1
