@RELATION C0017067_C1258666

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20066549,"Pituitary adenylate cyclase-activating polypeptide type 1 (PAC1) receptor is expressed during embryonic development of the earthworm.Pituitary adenylate cyclase activating polypeptide (PACAP)-like molecules have been shown to be present in cocoon albumin and in Eisenia fetida embryos at an early developmental stage (E1) by immunocytochemistry and radioimmunoassay. Here, we focus on detecting the stage at which PAC1 receptor (PAC1R)-like immunoreactivity first appears in germinal layers and structures, e.g., various parts of the central nervous system (CNS), in developing earthworm embryos. PAC1R-like immunoreactivity was revealed by Western blot and Far Western blot as early as the E2 developmental stage, occurring in the ectoderm and later in specific neurons of the developing CNS. Labeled CNS neurons were first seen in the supraesophageal <e>ganglion</e> (brain) and subsequently in the subesophageal and ventral nerve cord ganglia. Ultrastructurally, PAC1Rs were located mainly on plasma membranes and intracellular membranes, especially on cisternae of the endoplasmic reticulum. Therefore, PACAP-like compounds probably influence the differentiation of germinal layers (at least the ectoderm) and of some neurons and might act as signaling molecules during earthworm embryonic development.",M1
20014097,"The formation of the superior and jugular ganglia: insights into the generation of sensory neurons by the neural crest.The superior and jugular ganglia (S/JG) are the proximal ganglia of the IXth and Xth cranial nerves and the sensory neurons of these ganglia are neural crest derived. However, it has been unclear the extent to which their differentiation resembles that of the Dorsal Root Ganglia (DRGs). In the DRGs, neural crest cells undergo neuronal differentiation just after the onset of migration and there is evidence suggesting that these cells are pre-specified towards a sensory fate. We have analysed sensory neuronal differentiation in the S/JG. We show, in keeping with previous studies, that neuronal differentiation initiates long after the cessation of neural crest migration. We also find no evidence for the existence of migratory neural crest cells pre-specified towards a sensory phenotype prior to <e>ganglion</e> formation. Rather our results suggest that sensory neuronal differentiation in the S/JG is the result of localised spatiotemporal cues.",M1
20010445,"Evidence of a gustatory-vestibular pathway for protein transport.OBJECTIVE: To demonstrate anatomically a pathway for protein transport from the palate to the vestibular system. METHOD: The vestibulofacial anastomosis and associated <e>ganglion</e> cells were identified in a collection of 160 horizontally sectioned human temporal bones that had been stained with hematoxylin and eosin. Wheat germ agglutinin-horseradish peroxidase (HRP) was applied to the greater superficial petrosal nerve in 4 Sprague-Dawley rats. After 30 hours, the rats were killed by intracardiac perfusion, and the seventh and eighth nerves with adjacent brainstem removed. Frozen sections cut at 30 mum through this block were then reacted for HRP, counterstained with neutral red, and mounted on slides for examination in the light microscope. RESULTS: Thirty-two of the 160 human temporal bones contained sections through the vestibulofacial anastomosis and its ganglion. In all cases, the ganglion was incorporated into the vestibular ganglion (VG) adjacent to the nervus intermedius. In all 4 experimental rats, HRP reaction product labeled a small number of ganglion cells in the VG adjacent to the nervus intermedius and facial nerve. CONCLUSION: These observations support the presence of a pathway from receptors in the palate to the VG.",M1
19936227,"Disorganized innervation and neuronal loss in the inner ear of Slitrk6-deficient mice.Slitrks are type I transmembrane proteins that share conserved leucine-rich repeat domains similar to those in the secreted axonal guidance molecule Slit. They also show similarities to Ntrk neurotrophin receptors in their carboxy-termini, sharing a conserved tyrosine residue. Among 6 Slitrk family genes in mammals, Slitrk6 has a unique expression pattern, with strong expression in the sensory epithelia of the inner ear. We generated Slitrk6-knockout mice and investigated the development of their auditory and vestibular sensory organs. Slitrk6-deficient mice showed pronounced reduction in the cochlear innervation. In the vestibule, the innervation to the posterior crista was often lost, reduced, or sometimes misguided. These defects were accompanied by the loss of neurons in the spiral and vestibular ganglia. Cochlear sensory epithelia from Slitrk6-knockout mice have reduced ability in promoting neurite outgrowth of spiral <e>ganglion</e> neurons. Indeed the Slitrk6-deficient inner ear showed a mild but significant decrease in the expression of Bdnf and Ntf3, both of which are essential for the innervation and survival of sensory neurons. In addition, the expression of Ntrk receptors, including their phosphorylated forms was decreased in Slitrk6-knockout cochlea. These results suggest that Slitrk6 promotes innervation and survival of inner ear sensory neurons by regulating the expression of trophic and/or tropic factors including neurotrophins from sensory epithelia.",M1
19896979,"Neuronal elasticity as measured by atomic force microscopy.A cell's form and function is determined to a great extent by its cellular membrane and the underlying cytoskeleton. Understanding changes in the cellular membrane and cytoskeleton can provide insight into aging and disease of the cell. The atomic force microscope (AFM) allows unparalled resolution for the imaging of these cellular components and the ability to probe their mechanical properties. This report describes our progress toward the use of AFM as a tool in neuroscience applications. Elasticity measurements are reported on living chick embryo dorsal root <e>ganglion</e> and sympathetic neurons in vitro. The neuronal cellular body and growth cones regions are examined for variations in cellular maturity. In addition, cellular changes due to exposure to various environmental conditions and neurotoxins are investigated. This report includes data obtained on different AFM systems, using various AFM techniques and thus also provides knowledge of AFM instruments and methodology.",M1
19864207,"Neurotensin receptor 1 immunoreactivity in the peripheral ganglia and carotid body.In the present study we investigated, through immunohistochemistry, the presence and location of neurotensin receptor 1 (NTR1) in the peripheral ganglia and carotid body of 16 humans and 5 rats. In both humans and rats, NTR1 immunostained <e>ganglion</e> cells were found in superior cervical ganglia (57.4+/-11.6% and 72.4+/-11.4%, respectively, p0.05), enteric ganglia (51.9+/-10.4% and 64.6+/-6.1, p&lt;0.05), sensory ganglia (69.2+/-10.7% and 73.0+/-13.1%, p&gt;0.05) and parasympathetic ganglia (52.1+/-14.1% and 59.4+/-14.0%, p&gt;0.05), supporting a modulatory role for NT in these ganglia. Positivity was also detected in 45.6+/-9.2% and 50.8+/-6.8% of human and rat type I glomic cells, respectively, whereas type II cells were negative. Our findings suggest that NT produced by type I cells acts in an autocrine or paracrine way on the same cell type, playing a modulatory role on chemoception.",M1
19780868,"Nerve injury-related erectile dysfunction following nerve-sparing radical prostatectomy: a novel experimental dissection model.OBJECTIVES: To establish a new experimental rat model in order to define the mechanisms of erectile dysfunction (ED) and to evaluate the changes of neuronal nitric oxide synthase (nNOS) in the pelvic ganglia following nerve-sparing radical prostatectomy. METHODS: Sprague-Dawley rats were randomized to sham operation, bilateral cavernous nerve dissection (BCND) and bilateral cavernous nerve resection (BCNR) groups. In the BCND group, the cavernous nerves were only dissected bilaterally from the major pelvic <e>ganglion</e> (MPG) to the apex of the prostate without crushing or cutting. At 1, 2, 4 and 8 weeks after surgery, we examined intracavernous pressure along with arterial pressure (ICP/AP), retrograde dye tracing using Fluorogold (FG) and expression of nNOS in the MPG. RESULTS: Intracavernous pressure and arterial pressure in the BCND group was significantly decreased at 2 and 4 weeks after surgery compared with the sham group, and improved at 8 weeks. The number of FG-positive cells in the MPG also recovered at 8 weeks. ICP/AP and FG-positive cells in the BCNR group were greatly decreased until 8 weeks. The percentage of nNOS-positive cells per total cells was not different between the sham and BCND groups during the experimental period, whereas that in the BCNR group gradually decreased with time. CONCLUSIONS: We established a novel rat model, in which cavernous nerve dissection alone caused nerve injury-related ED. We believe that this cavernous nerve dissection model might help clarify the mechanism of nerve injury-related ED and the recovery from ED after nerve-sparing radical prostatectomy.",M1
19703967,"Multifunctional rapidly adapting mechanosensitive enteric neurons (RAMEN) in the myenteric plexus of the guinea pig ileum.An important feature of the enteric nervous system (ENS) is its capability to respond to mechanical stimulation which, as currently suggested for the guinea-pig ileum, is encoded by specialized intrinsic primary afferent neurons (IPANs). We used von Frey hairs or intraganglionic volume injections to mimic <e>ganglion</e> deformation as observed in freely contracting preparations. Using fast voltage-sensitive dye imaging we identified rapidly adapting mechanosensitive enteric neurons (RAMEN, 25% of all neurons) in the myenteric plexus of the guinea pig ileum. RAMEN responded with phasic spike discharge to dynamic changes during ganglion deformation. This response was reproducible and increased with increasing forces. Deformation-evoked spike discharge was not changed by synaptic blockade with hexamethonium, omega-conotoxin or low Ca(2+)/high Mg(2+), defunctionalization of extrinsic afferents with capsaicin or muscle paralysis with nifedipine, suggesting direct activation of RAMEN. All RAMEN received hexamethonium-sensitive fast EPSPs, which were blocked by omega-conotoxin and low Ca(2+)/high Mg(2+). Seventy-two per cent of RAMEN were cholinergic, 22% nitrergic, and 44% were calbindin and NeuN negative, markers used to identify IPANs. Mechanosensitivity was observed in 31% and 47% of retrogradely traced interneurons and motor neurons, respectively. RAMEN belong to a new population of mechanosensitive neurons which differ from IPANs. We provided evidence for multifunctionality of RAMEN which may fulfil sensory, integrative and motor functions. In light of previously identified mechanosensitive neuron populations, mechanosensitivity appears to be a property of many more enteric neurons than generally assumed. The findings call for a revision of current concepts on sensory transmission within the ENS.",M1
19670860,"Observation of cellular cholesterol efflux at microcavity electrodes.Cholesterol oxidase modified platinum microcavity electrodes are used to measure cholesterol efflux from the plasma membrane surface of a single neuron in the buccal <e>ganglion</e> of Aplysia at room temperature. A background subtraction analog chronocoulometry method is used to measure hydrogen peroxide accumulation in the microcavity volume resulting from cellular cholesterol efflux and enzymatic oxidation. The data are consistent with the aqueous diffusion model for cellular cholesterol efflux where plasma membrane cholesterol undergoes exchange with solution phase cholesterol.",M1
19553444,"Neuroligin 2 controls the maturation of GABAergic synapses and information processing in the retina.In the present study, we investigated the role of Neuroligin 2 (NL2) in synaptic transmission and network function using the mouse retina as a model circuit. We show that NL2 is preferentially located at GABAergic rather than glycinergic or glutamatergic postsynapses. The absence of NL2 from the retina resulted in a severe reduction of GABA(A) receptor clustering, and in subtle alterations of the retinal circuitry. Light processing was impaired accordingly, and retinal <e>ganglion</e> cells, the output neurons of the retina, showed increased basal activity and altered coding of visual information. Together, our data indicate that NL2 is essential for the functional integrity of GABAergic signaling and as a consequence, for information processing in the retina.",M1
