@RELATION C0017110_C0016204

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20520712,"The key nickel enzyme of methanogenesis catalyses the anaerobic oxidation of methane.Large amounts (estimates range from 70 Tg per year to 300 Tg per year) of the potent greenhouse <e>gas</e> methane are oxidized to carbon dioxide in marine sediments by communities of methanotrophic archaea and sulphate-reducing bacteria, and thus are prevented from escaping into the atmosphere. Indirect evidence indicates that the anaerobic oxidation of methane might proceed as the reverse of archaeal methanogenesis from carbon dioxide with the nickel-containing methyl-coenzyme M reductase (MCR) as the methane-activating enzyme. However, experiments showing that MCR can catalyse the endergonic back reaction have been lacking. Here we report that purified MCR from Methanothermobacter marburgensis converts methane into methyl-coenzyme M under equilibrium conditions with apparent V(max) (maximum rate) and K(m) (Michaelis constant) values consistent with the observed in vivo kinetics of the anaerobic oxidation of methane with sulphate. This result supports the hypothesis of 'reverse methanogenesis' and is paramount to understanding the still-unknown mechanism of the last step of methanogenesis. The ability of MCR to cleave the particularly strong C-H bond of methane without the involvement of highly reactive oxygen-derived intermediates is directly relevant to catalytic C-H activation, currently an area of great interest in chemistry.",M1
20491298,"Build a stronger <e>gas</e> detection program.",M1
20480860,"Reclamation of elemental sulfur from flue <e>gas</e> biodesulfurization waste sludge.Perchloroethylene (PCE) extraction was used to reclaim elemental sulfur from flue gas biodesulfurization sludge. The sludge was generated from a biodesulfurization system that concurrently treated the flue gas scrubbing solution and wastewater of citric acid production. The sludge contained approximately 40-60% elemental sulfur; other components included flue gas dust, biomass, inorganic salts, and flocculants. The sulfur was extracted with PCE at 80 degrees C, and then separated from the sludge by hot filtration. The elemental sulfur was then recovered from the PCE solution by recrystallization and centrifugation. When the dried sludge with particle size less than 0.2 mm was used in the PCE extraction, more than 90% of the elemental sulfur in the sludge could be recovered with a contact time of 15 min and a PCE-to-sludge ratio of 5 mL PCE/g sludge. The recovered sulfur generally had purities of 98-99.9% and could be directly used in many industries. Reuse of the PCE solvent in the extraction protocol through four cycles did not adversely influence the sulfur recovery efficiency. The results indicated that the PCE extraction was an effective method for the sulfur recovery from the biodesulfurization sludge.",M1
20471599,"Computational fluid dynamics modeling of <e>gas</e> dispersion in multi impeller bioreactor.In the present study, experiments have been carried out to identify various flow regimes in a dual Rushton turbines stirred bioreactor for different gas flow rates and impeller speeds. The hydrodynamic parameters like fractional gas hold-up, power consumption and mixing time have been measured. A two fluid model along with MUSIG model to handle polydispersed gas flow has been implemented to predict the various flow regimes and hydrodynamic parameters in the dual turbines stirred bioreactor. The computational model has been mapped on commercial solver ANSYS CFX. The flow regimes predicted by numerical simulations are validated with the experimental results. The present model has successfully captured the flow regimes as observed during experiments. The measured gross flow characteristics like fractional gas hold-up, and mixing time have been compared with numerical simulations. Also the effect of gas flow rate and impeller speed on gas hold-up and power consumption have been investigated.",M1
20443485,"Monitoring of hemodynamic changes induced in the healthy breast through inspired <e>gas</e> stimuli with MR-guided diffuse optical imaging.PURPOSE: The modulation of tissue hemodynamics has important clinical value in medicine for both tumor diagnosis and therapy. As an oncological tool, increasing tissue oxygenation via modulation of inspired gas has been proposed as a method to improve cancer therapy and determine radiation sensitivity. As a radiological tool, inducing changes in tissue total hemoglobin may provide a means to detect and characterize malignant tumors by providing information about tissue vascular function. The ability to change and measure tissue hemoglobin and oxygenation concentrations in the healthy breast during administration of three different types of modulated gas stimuli (oxygen/ carbogen, air/carbogen, and air/oxygen) was investigated. METHODS: Subjects breathed combinations of gases which were modulated in time. MR-guided diffuse optical tomography measured total hemoglobin and oxygen saturation in the breast every 30 s during the 16 min breathing stimulus. Metrics of maximum correlation and phase lag were calculated by cross correlating the measured hemodynamics with the stimulus. These results were compared to an air/air control to determine the hemodynamic changes compared to the baseline physiology. RESULTS: This study demonstrated that a gas stimulus consisting of alternating oxygen/carbogen induced the largest and most robust hemodynamic response in healthy breast parenchyma relative to the changes that occurred during the breathing of room air. This stimulus caused increases in total hemoglobin and oxygen saturation during the carbogen phase of gas inhalation, and decreases during the oxygen phase. These findings are consistent with the theory that oxygen acts as a vasoconstrictor, while carbogen acts as a vasodilator. However, difficulties in inducing a consistent change in tissue hemoglobin and oxygenation were observed because of variability in intersubject physiology, especially during the air/oxygen or air/carbogen modulated breathing protocols. CONCLUSIONS: MR-guided diffuse optical imaging is a unique tool that can measure tissue hemodynamics in the breast during modulated breathing. This technique may have utility in determining the therapeutic potential of pretreatment tissue oxygenation or in investigating vascular function. Future gas modulation studies in the breast should use a combination of oxygen and carbogen as the functional stimulus. Additionally, control measures of subject physiology during air breathing are critical for robust measurements.",M1
20437953,"Net mitigation potential of straw return to Chinese cropland: estimation with a full greenhouse <e>gas</e> budget model.Based on the carbon-nitrogen cycles and greenhouse gas (GHG) mitigation and emission processes related to straw return and burning, a compound greenhouse gas budget model, the  Straw Return and Burning Model  (SRBM), was constructed to estimate the net mitigation potential of straw return to the soil in China. As a full GHG budget model, the SRBM addressed the following five processes: (1) soil carbon sequestration, (2) mitigation of synthetic N fertilizer substitution, (3) methane emission from rice paddies, (4) additional fossil fuel use for straw return, and (5) CH4 and N2O emissions from straw burning in the fields. Two comparable scenarios were created to reflect different degrees of implementation for straw return and straw burning. With GHG emissions and mitigation effects of the five processes converted into global warming potential (GWP), the net GHG mitigation was estimated. We concluded that (1) when the full greenhouse gas budget is considered, the net mitigation potential of straw return differs from that when soil carbon sequestration is considered alone; (2) implementation of straw return across a larger area of cropland in 10 provinces (i.e., Shanghai, Jiangsu, Zhejiang, Fujian, Jiangxi, Hubei, Hunan, Guangdong, Guangxi, and Hainan) will increase net GHG emission; (3) if straw return is promoted as a feasible mitigation measure in the remaining provinces, the total net mitigation potential before soil organic carbon (SOC) saturation will be 71.89 Tg CO2 equivalent (eqv)/yr, which is equivalent to 1.733% of the annual carbon emission from fossil fuel use in China in 2003; (4) after SOC saturation, only 13 of 21 provinces retain a relatively small but permanent net mitigation potential, while in the others the net GHG mitigation potential will gradually diminish; and (5) the major obstacle to the feasibility or permanence of straw return as a mitigation measure is the increased CH4 emission from rice paddies. The paper also suggests that comparable scenarios in which all the related carbon-nitrogen cycles are taken into account be created to estimate the mitigation potentials of organic wastes in different utilizations and treatments.",M1
20437781,"Uncertainties associated with the use of optical remote sensing technique to estimate surface emissions in landfill applications.Landfills represent a source of distributed emissions source over an irregular and heterogeneous surface. In the method termed  Other Test Method-10  (OTM-10), the U.S. Environmental Protection Agency (EPA) has proposed a method to quantify emissions from such sources by the use of vertical radial plume mapping (VRPM) techniques combined with measurement of wind speed to determine the average emission flux per unit area per time from nonpoint sources. In such application, the VRPM is used as a tool to estimate the mass of the <e>gas</e> of interest crossing a vertical plane. This estimation is done by fitting the field-measured concentration spatial data to a Gaussian or some other distribution to define a plume crossing the vertical plane. When this technique is applied to landfill surfaces, the VRPM plane may be within the emitting source area itself. The objective of this study was to investigate uncertainties associated with using OTM-10 for landfills. The spatial variability of emission in the emitting domain can lead to uncertainties of -34 to 190% in the measured flux value when idealistic scenarios were simulated. The level of uncertainty might be higher when the number and locations of emitting sources are not known (typical field conditions). The level of uncertainty can be reduced by improving the layout of the VRPM plane in the field in accordance with an initial survey of the emission patterns. The change in wind direction during an OTM-10 testing setup can introduce an uncertainty of 20% of the measured flux value. This study also provides estimates of the area contributing to flux (ACF) to be used in conjunction with OTM-10 procedures. The estimate of ACF is a function of the atmospheric stability class and has an uncertainty of 10-30%.",M1
20429612,"Can the U.S. phase out coal's greenhouse <e>gas</e> emissions by 2030?",M1
20420364,"Laboratory investigation of Hg release from flue <e>gas</e> desulfurization products.Flue gas desulfurization (FGD) is a process applied to remove acid deposition precursors from the coal combustion air stream. This process also removes mercury (Hg) resulting in accumulation of this element in FGD produced solids. This project investigated Hg release from FGD materials to the air and water. Hg concentrations in the synthetic leaching precipitation procedure extracts, designed to simulate rainwater pH conditions, were in general &lt;10 ng L(-1). Unlike coal fly ash, which has been found to adsorb Hg from the air, FGD materials were found to release Hg to the air over time with the addition of water a dominant environmental factor promoting release. The chemistry of the atmosphere to which the FGD materials were exposed (i.e., air Hg concentration and presence of oxidants), as well as that of the material (i.e., salts removed), was found to influence the magnitude of emissions. Although this work showed a component of the Hg captured by the FGD process could be released to the air under laboratory conditions, the potential for release under disposal and beneficial use conditions needs to be determined.",M1
20408537,"Oxidation and stabilization of elemental mercury from coal-fired flue <e>gas</e> by sulfur monobromide.Sulfur monobromide (S(2)Br(2)) was employed as a task-specific oxidant to capture and stabilize elemental mercury from coal-fired flue gas. Its performances on the removal of Hg(0) were investigated with respect to the gas-phase reaction and particle-involved reactions. It was found that the gas-phase reaction between Hg(0) and S(2)Br(2) was rapid, and the determined second-rate constant was about 1.2(+/-0.2) x 10(-17)cm(3) molecules(-1) s(-1) at 373 K, which was about 30 times higher than that with sulfur monochloride. The pilot tests showed that the presence of fly ash in flue gas can accelerate the removal of Hg(0) significantly. It was predicted that about 90% of Hg(0) removal efficiency can be obtained with 0.6 ppmv S(2)Br(2) and 30 g/m(3) fly ash in flue gas, and the unburned carbon in fly ash played an important role for Hg(0) removal. The fates of S(2)Br(2) and mercury in the process were evaluated, and the product analysis and leaching tests indicated that mercuric sulfide was the main product of the converted Hg(0) by the direct reaction and consequent series reactions, which is more stable and less toxic than other mercury species. Also, the surplus S(2)Br(2) in flue gas could be captured and neutralized effectively by the alkali components in fly ash or FGD liquor, and its hydrolysis products (elemental sulfur and sulfide) were also helpful to the stabilization of mercury. The result indicated that S(2)Br(2) is a promising oxidant for elemental mercury (Hg(0)) oxidation and stabilization for mercury emission control.",M1
