@RELATION C0007158_C0017977

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20131034,"Gene expression profiling of the proliferative effect of periplocin on mouse cardiac microvascular endothelial cells.OBJECTIVE: Periplocin is an active digitalis-like component from Cortex Periplocae, which has been widely used in the treatment of heart diseases in China for many years. According to the recommendations on the cardiovascular effect of periplocin from in vivo experiments, subsequent in vitro experiments are greatly needed for the global assessment of periplocin. The objective of this study is to investigate the cell proliferation effect and the mechanism of periplocin on endothelial cells. METHODS: The proliferative activity of periplocin (0.4, 2, 10, 50, 250 micromol/L; 6, 12, 24, 48, 72 h) was investigated by a comparison with the well-reported cardiac <e>glycoside</e>, ouabain, on mouse cardiac microvascular endothelial cells (CMEC). 3-(4,5-dimethylthiazolyl)-2,5-diphenyltetrazolium bromide (MTT), lactate dehydrogenase (LDH) and 5-bromo-2-deoxyuridine (BrdU) assays were used to evaluate cell proliferation and viability. Subsequently, cDNA microarray experiments were performed on periplocin- (50 micromol/L) and ouabain- (50 micromol/L) treated cells, and data was analyzed by ArrayTrack software. RESULTS: Periplocin could increase cell viability to a level lower than ouabain in the MTT analysis, but decrease LDH release simultaneously. The BrdU incorporation assay showed an increase in cell proliferation with 2-50 micromol/L periplocin. Genes related to protein serine/threonine kinase were the most significantly enriched in the 160 genes identified in periplocin versus the control. In the 165 genes regulated by periplocin versus ouabain, GTP-binding was the most altered term. CONCLUSIONS: The results demonstrated the proliferation action of periplocin on CMEC. Meanwhile, its lower cytotoxicity compared to ouabain provides a new insight into the treatment of heart failure.",M1
20016840,"Cardiac <e>glycosides</e> induce cell death in human cells by inhibiting general protein synthesis.BACKGROUND: Cardiac glycosides are Na(+)/K(+)-pump inhibitors widely used to treat heart failure. They are also highly cytotoxic, and studies have suggested specific anti-tumor activity leading to current clinical trials in cancer patients. However, a definitive demonstration of this putative anti-cancer activity and the underlying molecular mechanism has remained elusive. METHODOLOGY/PRINCIPAL FINDINGS: Using an unbiased transcriptomics approach, we found that cardiac glycosides inhibit general protein synthesis. Protein synthesis inhibition and cytotoxicity were not specific for cancer cells as they were observed in both primary and cancer cell lines. These effects were dependent on the Na(+)/K(+)-pump as they were rescued by expression of a cardiac glycoside-resistant Na(+)/K(+)-pump. Unlike human cells, rodent cells are largely resistant to cardiac glycosides in vitro and mice were found to tolerate extremely high levels. CONCLUSIONS/SIGNIFICANCE: The physiological difference between human and mouse explains the previously observed sensitivity of human cancer cells in mouse xenograft experiments. Thus, published mouse xenograft models used to support anti-tumor activity for these drugs require reevaluation. Our finding that cardiac glycosides inhibit protein synthesis provides a mechanism for the cytotoxicity of CGs and raises concerns about ongoing clinical trials to test CGs as anti-cancer agents in humans.",M1
19874809,"2'-epi-2'-O-Acetylthevetin B extracted from seeds of Cerbera manghas L. induces cell cycle arrest and apoptosis in human hepatocellular carcinoma HepG2 cells.2'-epi-2'-O-Acetylthevetin B (GHSC-74) is a cardiac <e>glycoside</e> isolated from the seeds of Cerbera manghas L. We have demonstrated that GHSC-74 reduced the viability of HepG2 cells in a time- and dose-dependent manner. The present study was designed to explore cellular mechanisms whereby GHSC-74 led to cell cycle arrest and apoptosis in HepG2 cells. Cell cycle flow cytometry demonstrated that HepG2 cells treated with GHSC-74 (4microM) resulted in S and G2 phase arrest in a time-dependent manner, as confirmed by mitotic index analysis. G2 phase arrest was accompanied with down-regulation of CDC2 and Cyclin B1 protein. Furthermore, GHSC-74-induced apoptotic killing, as demonstrated by DNA fragmentation, DAPI staining, and flow cytometric detection of sub-G1 DNA content in HepG2 cells. GHSC-74 treatment resulted in a significant increase in reactive oxygen species, activation of caspase-9, dissipation of mitochondrial membrane potential, and translocation of apoptosis-inducing factor (AIF) from the mitochondrion to the nucleus in HepG2 cells. Nevertheless, after GHSC-74 exposure, no significant Fas and FasL up-regulation was observed in HepG2 cells by flow cytometry. In addition, treatment with antioxidant N-acetyl-l-cysteine (NAC) and broad-spectrum caspase inhibitor z-VAD-fmk partially prevented apoptosis but did not abrogate GHSC-74-induced nuclear translocation of AIF. In conclusion, we have demonstrated that GHSC-74 inhibited growth of HepG2 cells by inducing S and G2 phase arrest of the cell cycle and by triggering apoptosis via mitochondrial disruption including both caspase-dependent and -independent pathways, and ROS generation.",M1
19751721,"Isoform specificity of cardiac <e>glycosides</e> binding to human Na+,K+-ATPase alpha1beta1, alpha2beta1 and alpha3beta1.Cardiac glycosides inhibit the Na(+),K(+)-ATPase and are used for the treatment of symptomatic heart failure and atrial fibrillation. In human heart three isoforms of Na(+),K(+)-ATPase are expressed: alpha(1)beta(1), alpha(2)beta(1) and alpha(3)beta(1). It is unknown, if clinically used cardiac glycosides differ in isoform specific affinities, and if the isoforms have specific subcellular localization in human cardiac myocytes. Human Na(+),K(+)-ATPase isoforms alpha(1)beta(1), alpha(2)beta(1) and alpha(3)beta(1) were expressed in yeast which has no endogenous Na(+),K(+)-ATPase. Isoform specific affinities of digoxin, digitoxin, beta-acetyldigoxin, methyldigoxin and ouabain were assessed in [(3)H]-ouabain binding assays in the absence or presence of K(+) (each n=5). The subcellular localizations of the Na(+),K(+)-ATPase isoforms were investigated in isolated human atrial cardiomyocytes by immunohistochemistry. In the absence of K(+), methyldigoxin (alpha(1)&gt;alpha(3)&gt;alpha(2)) and ouabain (alpha(1)=alpha(3)&gt;alpha(2)) showed distinct isoform specific affinities, while for digoxin, digitoxin and beta-acetyldigoxin no differences were found. In the presence of K(+), also digoxin (alpha(2)=alpha(3)&gt;alpha(1)) and beta-acetyldigoxin (alpha(1)&gt;alpha(3)) had isoform specificities. A comparison between the cardiac glycosides demonstrated highly different affinity profiles for the isoforms. Immunohistochemistry showed that all three isoforms are located in the plasma membrane and in intracellular membranes, but only alpha(1)beta(1) and alpha(2)beta(1) are located in the T-tubuli. Cardiac glycosides show distinct isoform specific affinities and different affinity profiles to Na(+),K(+)-ATPase isoforms which have different subcellular localizations in human cardiomyocytes. Thus, in contrast to current notion, different cardiac glycoside agents may significantly differ in their pharmacological profile which could be of hitherto unknown clinical relevance.",M1
19687166,"Sodium-hydrogen exchange inhibition attenuates <e>glycoside</e>-induced hypertrophy in rat ventricular myocytes.AIMS: Cardiac glycosides induce cardiomyocyte hypertrophy via yet to be defined mechanisms. These hypertrophic effects are likely related to changes in intracellular signalling secondary to Na(+)-K(+) ATPase (NKA) inhibition which would produce elevations in intracellular sodium concentrations. Sodium-hydrogen exchanger isoform 1 (NHE-1) also contributes to intracellular sodium regulation. Accordingly, we determined the contribution of NHE-1 to cardiac glycoside-induced hypertrophy. METHODS AND RESULTS: The majority of the experiments were performed on cultured neonatal rat ventricular myocytes exposed to either ouabain (100 microM) or digoxin (40 microM) for 24 h, although additional experiments were also done using adult left ventricular myocytes with 30 microM of either glycoside. Both glycosides increased cell surface area by 30% and atrial natriuretic peptide gene expression by two- to three-fold (P &lt; 0.05 for both). These effects were associated with a significant reduction in the expression of two NKA isoforms, alpha(2) and alpha(3), whereas the alpha(1) isoform was unaffected. Conversely, both glycosides increased NHE-1 expression in cardiomyocytes by approximately two-fold and significantly increased intracellular sodium concentrations by more than 60% (P &lt; 0.05). Both ouabain and digoxin were also found to significantly increase phosphorylation of mitogen-activated protein kinases. All these effect were prevented when identical experiments were carried out in the presence of the NHE-1 inhibitors EMD 87580 or AVE 4890. Identical results were obtained using adult myocytes, although this was associated with downregulation of all three NKA isoforms. Glycoside-induced increase in cell shortening or intracellular Ca(2+) transients was not significantly affected by NHE-1 inhibition. CONCLUSION: When taken together, these studies show that NHE-1 inhibition attenuates the hypertrophic effect of cardiac glycosides without affecting inotropic parameters and suggest a possible approach to limiting glycoside-induced hypertrophic responses while preserving therapeutic, i.e. inotropic, actions.",M1
19679550,"Cardiac <e>glycosides</e> inhibit p53 synthesis by a mechanism relieved by Src or MAPK inhibition.p53 is regulated at multiple levels. We report here that p53, in multiple lines of human cancer cells, is down-regulated by cardiac glycoside drugs digoxin and ouabain, potent inhibitors of Na(+)/K(+)-ATPase. These drugs reduced the basal levels of p53 protein at nanomolar concentrations in a dose-, time-, and cancer cell line-dependent manner, but independent of p53 status of wild-type or mutant. The drugs also reduced the levels of p53 induced by its activators as well as p53 transfected into human cancer cells, regardless of its status. Interestingly, the drugs had no effect on endogenous p53 in two immortalized human cell lines. Mechanistically, p53 reduction occurred not at the mRNA levels but at the protein levels, as a result of reduced protein synthesis rather than enhanced degradation. The cellular sensitivity to drug-induced p53 reduction was not associated with the levels of alphasubunits of Na(+)/K(+)-ATPase in different cell lines. Although lowering extracellular K(+) did not reduce p53 as did ouabain and digoxin, it did potentiate both digoxin- and ouabain-induced p53 reduction in sensitive lines. Finally, p53 reduction seems to be triggered by activation of Src/mitogen-activated protein kinase (MAPK) signaling pathways upon drug binding to the Na(+)/K(+)-ATPase and can be completely blocked by the inhibitors of Src or MAP/ERK kinase. This is the first report that cardiac glycoside drugs, by initiating the Src/MAPK signaling pathways, reduce the p53 levels via inhibition of p53 protein synthesis. The drugs may be useful in the treatment of human cancers with a gain-of-function p53 mutation.",M1
19524689,"2'-Epi-2'-O-acetylthevetin B induces apoptosis partly via Ca(2+)-mediated mitochondrial pathway in human hepatocellular carcinoma HepG2 cells.2'-Epi-2'-O-acetylthevetin B (GHSC-74), a cardiac <e>glycoside</e>, can be isolated from the seeds of Cerbera manghas L. We demonstrated that GHSC-74 reduced the viability of HepG2 cells in a time- and dose-dependent manner, and efficiently induced apoptosis without significantly decreasing the viability of Chang human liver cells and Swiss albino 3T3 fibroblasts, as indicated by annexin-V/PI binding assay and Hoechst 33342 staining. In addition, stimulation of HepG2 cells with GHSC-74 induced a series of intracellular events: (1) loss of mitochondrial membrane potential; (2) sustained elevation of cytosolic [Ca2+]; and (3) downregulation of Bcl-2. BAPTA-AM, a cytosolic Ca2+ chelator, partly suppressed cell death and prevented mitochondrial membrane potential from losing in GHSC-74-treated HepG2 cells. In contrast, EGTA, an extracellular Ca2+ chelator, exhibited a weaker effect as compared to that of BAPTA-AM. Taken together, the Ca(2+)-mediated mitochondrial pathway was found to be involved in GHSC-74-induced HepG2 cell apoptosis.",M1
19487957,"Inhibition of the alpha1beta1 isoform of the Na, K-ATPase by 8-methoxycoumestrol without positive inotropic effect in human myocardium--novel aspects of cardiac <e>glycoside</e> pharmacology.BACKGROUND: The Na,K-ATPase (NKA) is necessary for maintaining the resting membrane potential by transporting Na and K ions across the cell membrane. Although its 3 isoforms expressed in human heart (alpha1beta1, alpha2beta1, and alpha3beta1) possess similar biochemical properties, their specific functions in human tissues remain unknown. In our search for an isoform-specific agent, which can serve to identify isoform-specific functions, we examined 8-methoxycoumestrol in its ability to inhibit the NKA and to produce inotropism in connection with the possibility to identify the NKA isoform-specific functions. METHODS AND RESULTS: In radioligand binding experiments (membrane preparations of yeast expressing isoforms alpha1beta1, alpha2beta1, and alpha3beta1; backdoor phosphorylation; and [H]-ouabain, n = 3), 8-methoxycoumestrol (1-10 microM) produced no or only little inhibition of specific ouabain binding. However, when NKA activity of the alpha1beta1 isoform was measured in membrane preparations from human kidney (reduced form of nicotinamide adenine dinucleotide-coupled assay, n = 3), a concentration-dependent full inhibition of the activity was induced by 8-methoxycoumestrol (IC50: 90 +/- 97 nM), similar to that observed for classical cardiac glycosides digitoxin, digoxin, methyldigoxin, and beta-acetyldigoxin (IC50 = 287 +/- 190 nM, 409 +/- 171 nM, 282 +/- 482 nM, 587 +/- 135 nM, P &gt; 0.05). However, unlike the classical cardiac glycosides, 8-methoxycoumestrol did not increase cardiac contractility of electrically stimulated human right atrial trabeculae. CONCLUSIONS: These results indicate that 8-methoxycoumestrol inhibits the human alpha1beta1 NKA by a mechanism different to that of cardiac glycosides. In addition, the inhibition of the alpha1beta1 NKA activity seems not sufficient to evoke positive inotropy in human trabeculae, indicating that either the positive inotropic effect of cardiac glycosides is not mediated via the alpha1beta1 isoform or the specific glycoside binding to alpha1beta1 is needed for positive inotropy.",M1
19293189,"Inhibition of the sodium potassium adenosine triphosphatase pump sensitizes cancer cells to anoikis and prevents distant tumor formation.Normal epithelial cells undergo apoptosis upon detachment from the extracellular matrix, a process termed  anoikis.  However, malignant epithelial cells with metastatic potential resist anoikis and can survive in an anchorage-independent fashion. Molecules that sensitize resistant cells to anoikis will be useful chemical probes to understand this pathway. To identify novel anoikis sensitizers in anoikis-resistant PPC-1 prostate adenocarcinoma cells, a library of 2,000 off-patent drugs and natural products was screened for their ability to preferentially induce cell death in suspension over adherent culture conditions. This screen identified five members of the family of cardiac <e>glycosides</e> as anoikis sensitizers, including ouabain, peruvoside, digoxin, digitoxin, and strophanthidin. We conducted further studies with ouabain to discern the mechanism of cardiac glycoside-induced anoikis sensitization. Ouabain initiated anoikis through the mitochondrial pathway of caspase activation. In addition, ouabain sensitized cells to anoikis by inhibiting its known target, the Na(+)/K(+) ATPase pump, and inducing hypoosmotic stress. Resistance to anoikis permits cancer cells to survive in the circulation and facilitates their metastasis to distant organs, so we tested the effects of Na(+)/K(+) ATPase inhibition on distant tumor formation in mouse models. In these mouse models, ouabain inhibited tumor metastases but did not alter the growth of subcutaneous tumors. Thus, we have identified a novel mechanism to sensitize resistant cells to anoikis and decrease tumor metastasis. These results suggest a potential mechanism for the observed clinical reduction in metastasis and relapse in breast cancer patients who have undergone treatments with cardiac glycosides.",M1
19196986,"The cardiac <e>glycoside</e> binding site on the Na,K-ATPase alpha2 isoform plays a role in the dynamic regulation of active transport in skeletal muscle.The physiological significance of the cardiac glycoside-binding site on the Na,K-ATPase remains incompletely understood. This study used a gene-targeted mouse (alpha2(R/R)) which expresses a ouabain-insensitive alpha2 isoform of the Na,K-ATPase to investigate whether the cardiac glycoside-binding site plays any physiological role in active Na(+)/K(+) transport in skeletal muscles or in exercise performance. Skeletal muscles express the Na,K-ATPase alpha2 isoform at high abundance and regulate its transport over a wide dynamic range under control of muscle activity. Na,K-ATPase active transport in the isolated extensor digitorum longus (EDL) muscle of alpha2(R/R) mice was lower at rest and significantly enhanced after muscle contraction, compared with WT. During the first 60 s after a 30-s contraction, the EDL of alpha2(R/R) mice transported 70.0 nmol/g.min more (86)Rb than WT. Acute sequestration of endogenous ligand(s) in WT mice infused with Digibind to sequester endogenous cardiac glycoside(s) produced similar effects on both resting and contraction-induced (86)Rb transport. Additionally, the alpha2(R/R) mice exhibit an enhanced ability to perform physical exercise, showing a 2.1- to 2.8-fold lower failure rate than WT within minutes of the onset of moderate-intensity treadmill running. Their enhanced exercise performance is consistent with their enhanced contraction-induced Na,K-ATPase transport in the skeletal muscles. These results demonstrate that the Na,K-ATPase alpha2 isozyme in skeletal muscle is regulated dynamically by a mechanism that utilizes the cardiac glycoside-binding site and an endogenous ligand(s) and that its cardiac glycoside-binding site can play a physiological role in the dynamic adaptations to exercise.",M1
