@RELATION C0023443_C0020259

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20110049,"Cost-effectiveness of pentostatin compared with cladribine in the management of hairy cell leukemia in the United Kingdom.OBJECTIVE: This article assesses the cost-effectiveness of pentostatin compared with cladribine in the management of hairy cell leukemia (<e>HCL</e>) in the United Kingdom. METHODS: A systematic literature search for papers on HCL was performed using MEDLINE, EMBASE, Current Contents, NHS Economic Evaluation Database, and the Cochrane computerized database. Search terms were HCL plus 1 of the following: incidence, prevalence, epidemiology, cladribine, interferon, pentostatin, rituximab, splenectomy, utility, quality of life, cost-effectiveness, cost-utility, resource utilization, economic, or cost. Published clinical outcomes and estimates of health care resource use obtained from 10 consultant hematologists across the United Kingdom were used to construct a 5-year Markov model depicting the current management of HCL in the United Kingdom. Utilities for health states in the model were obtained from the general public using standard gamble, time tradeoff, and visual analog scale techniques. The model was used to consider the decision by a clinician to initially treat an HCL patient with either pentostatin or cladribine and to estimate the relative cost-effectiveness of pentostatin over 5 years (at 2007/2008 prices) from the perspective of the UK's National Health Service (NHS). RESULTS: According to the model, 64% of all pentostatin-treated patients are expected to be in relapse-free remission at 5 years compared with 49% of cladribine-treated patients (P = 0.04). Repeat treatment of initial partial responders, nonresponders, and those who relapse during the 5 years is expected to result in complete remission in 92% of pentostatintreated patients and 90% of cladribine-treated patients at 5 years. Using pentostatin instead of cladribine is expected to lead to a minimal cost increase (from 21,325 pounds to 21,609 pounds) and an improvement in health status (from 3.64 to 3.77 quality-adjusted life-years [QALYs]) over 5 years. Hence, the cost per QALY gained from using pentostatin is expected to be 5000 pounds. Moreover, pentostatin has a 0.90 probability of being cost-effective for a threshold of 20,000 pounds per QALY. Accordingly, using pentostatin as a first-line treatment for patients with HCL is an effective use of NHS resources. CONCLUSION: Based on current practice, this model predicts that pentostatin is a cost-effective treatment compared with cladribine in the management of HCL from the perspective of the UK's NHS.",M1
20056789,"Very long-term eradication of minimal residual disease in patients with hairy cell leukemia after a single course of cladribine.Cladribine induces protracted remissions in patients with hairy cell leukemia (<e>HCL</e>). However, many long-term responders ultimately relapse. We sought to determine whether long-term complete responders subsequent to a single 7-day course of cladribine were without minimal residual disease (MRD) and potentially cured of HCL. From the 358-person Scripps Clinic cladribine database, we identified 19 patients in continuous and complete hematologic response (median age, 75 years; median time from diagnosis, 18 years; and median time from cladribine, 16 years). Nine of 19 (47%) patient samples had no evidence of residual disease; 7 of 19 (37%) samples had MRD; and 3 of 19 (16%) had morphologic evidence of HCL in hematoxylin and eosin-stained bone marrow sections. These results indicate that HCL is potentially curable after cladribine treatment. In addition, patients with MRD and even gross morphologic disease can live many years without manifesting hematologic relapses.",M1
20051682,"Which role for rituximab in hairy cell leukemia? Reflections on six cases.Hairy cell leukemia (<e>HCL</e>) is a rare, chronic, B-cell, lymphoproliferative disorder. Treatment has been revolutionized by the advent of interferon (IFN)-alpha and purine analogs (PA). First-line therapy with PA yields complete response rates of 75-100%, with many long-lasting remissions. In the event of profound neutropenia and/or infectious complications, a short sequence of IFN-alpha may precede PA treatment. Because of the excellent results achieved with PA therapy, the potential role of rituximab (an anti-CD20 monoclonal antibody that is highly effective against most B-cell lymphomas) in HCL has yet to be elucidated. Six HCL cases treated with rituximab are reported herein with a view to elucidating the potential role of the drug in HCL. The indications essentially consist of relapsing or refractory disease, avoiding the cumulative toxicity of PA, consolidation therapy in order to eradicate minimal residual disease, and first-line therapy for patients with contraindications to PA and IFN-alpha.",M1
20001754,"Inherent and iatrogenic immune defects in hairy cell leukemia: revisited.IMPORTANCE OF THE FIELD: T- and NK-cell abnormalities, decreased number and function of monocytes, neutrophils and dendritic cells, decreased production of certain cytokines and increased incidence of certain autoimmune conditions have been identified in untreated hairy cell leukemia (<e>HCL</e>) patients. These alterations are responsible for an increased rate of infections and additional malignancies in HCL. AREAS COVERED IN THIS REVIEW: The authors offer a focused review of the most relevant preclinical and clinical studies exploring the immune abnormalities in both untreated and treated HCL. WHAT THE READER WILL GAIN: The use of potent immunosuppressive agents such as cladribine and pentostatin in HCL therapeutics has generated increasing concerns about the likelihood of additional immune impairments in these patients. While the NK cells, monocytes and neutrophils were shown to recover shortly after complete responses are achieved with these agents, the CD4(+) T-cell counts may require in excess of 2 - 3 years in order to re-enter the normal range. TAKE HOME MESSAGE: Given the advent of new molecular, genetic and immunologic techniques, a comprehensive characterization of the immune abnormalities in untreated and treated HCL represents a reachable goal and could translate into improved outcomes in clinical practice.",M1
20001428,"Risk of additional cancers in untreated and treated hairy cell leukemia patients.IMPORTANCE OF THE FIELD: One of the feared events encountered in hairy cell leukemia (<e>HCL</e>) survivors is the subsequent development of a malignant neoplasm. The increased incidence of second cancers in HCL has been documented in large epidemiologic studies conducted in various locations on the globe. AREAS COVERED IN THIS REVIEW: The authors explore the current clinico-epidemiologic evidence, as well as the immune alterations, that link HCL and its therapies to the development of second cancers. Most relevant publications have been identified through the PubMed/Medline database search. WHAT THE READER WILL GAIN: Although HCL patients could develop both HCL and secondary malignancies because of a shared genetic predisposition, a common environmental carcinogen, or not yet identified infectious agents, multiple immune defects documented in HCL might play an important role in second carcinogenesis. Furthermore, the 'gold standards' of HCL therapy - cladribine and pentostatin - are associated with profound and prolonged suppression of the CD4(+) T-lymphocyte counts, often in excess of 2 - 3 years. And while there is no clear-cut evidence that pentostatin or interferon-alpha play an established role in generation of an excess of second cancers in HCL, the safety of cladribine, the preferred agent by a majority of clinicians worldwide, in this regard is a still largely unsettled issue. TAKE-HOME MESSAGE: Therefore, it remains to be seen if the immune deficiencies induced by the HCL therapies and their consequences can be offset by the benefit conferred by controlling the leukemic process.",M1
19814696,"Approach to the patient after relapse of hairy cell leukemia.The current hairy cell leukemia (<e>HCL</e>) treatment is excellent, but evidence of cure with purine analogs cladribine and pentostatin, is lacking. Significant long-term immune suppression, particularly to CD4+ T-cells, and declining complete remission rates with each course, make the identification of new therapies an important goal. The anti-CD20 monoclonal antibody (Mab) rituximab displays significant activity, and, while causing prolonged normal B-cell depletion, spares T-cells. Recombinant immunotoxins, containing an Fv fragment of a Mab fused to truncated Pseudomonas exotoxin, have shown efficacy in HCL resistant to both purine analogs and rituximab. LMB-2 targets CD25 and can induce remission providing the HCL cells are CD25+. All HCL cells display CD22. Recombinant anti-CD22 immunotoxin BL22, targeting CD22, has shown significant efficacy in phase I and II testing, and avoids prolonged suppression of both normal B- and T-cells. An improved high-affinity version of BL22, termed HA22, is currently undergoing phase I testing.",M1
19814695,"Importance of minimal residual disease in hairy cell leukemia: monoclonal antibodies as a therapeutic strategy.With the use of nucleoside analogs as frontline therapy, the prognosis of hairy cell leukemia (<e>HCL</e>) has improved dramatically. Unfortunately, disease recurrence remains problematic. Eradication of minimal residual disease (MRD) persisting after therapy may further improve outcome. The evolution of available techniques used to assess MRD, and the potential incorporation of novel agents such as monoclonal antibodies (MoAbs) into the treatment armamentarium for HCL mandate that MRD analyses be performed concurrently with routine assessments of disease status. Herein, the available data regarding the prevalence and clinical relevance of MRD after therapy for HCL is reviewed.",M1
19814694,"Long-term follow-up studies in hairy cell leukemia.Enormous progress has been made in the management of patients with hairy cell leukemia (<e>HCL</e>) over the past 50 years since this disease was initially described in 1958. The introduction of the two commonly used purine nucleoside analogs (pentostatin and cladribine, respectively) has independently changed the natural history of this rare malignancy. Both agents are equivalent in terms of response and long-term results. Advances in therapy are being further pursued with inclusion of monoclonal antibodies (e.g. rituximab) and other immunotherapeutic approaches. Patients with this disease now can live a near normal life expectancy, but the disease has not yet been cured. Clinical trials must continue to address the remaining unanswered questions.",M1
19814693,"Combination therapies to improve the long-term outcome in hairy cell leukemia.Since its first description in 1958, hairy cell leukemia (<e>HCL</e>) had a long period of different unsatisfactory treatments till the early 1980s, when interferon-alfa and subsequently purine analogs (PAs) pentostatin or cladribine, or pentostatin were described to determine durable responses. However, second lines of treatments are very often needed in the life span of patients with HCL and a small minority of patients are refractory and with poor prognosis. These disadvantages have led to test the efficacy of additional compounds, mainly monoclonal antibodies, combined with PAs. The objective of this presentation is to review the current knowledge of combination treatments in HCL. Combination treatments have been used or proposed for different purposes in HCL: to reduce acute toxicity, to improve complete remission (CR) rate, to overcome resistance/refractoriness, to prolong disease-free survival, or to prolong overall survival. The type of patients to be selected for the combinations and the perspectives of combinations of PAs with monoclonal antibodies will also be discussed.",M1
19814692,"Cladribine in the treatment of hairy cell leukemia: initial and subsequent results.Hairy cell leukemia (<e>HCL</e>) is a chronic B-cell lymphoproliferative disorder associated with pancytopenia, splenomegaly, and recurrent infections. Although interferon alpha and pentostatin were initially found to be effective in this disease, cladribine has emerged as the preferred initial therapy. Cladribine given as a single continuous intravenous seven-day infusion is the dosing schedule with the most durable complete remissions and evaluated in the greatest number of patients with HCL. Patients who relapse after purine analogue therapy, whether it be cladribine or pentostatin, can be successfully retreated with cladribine. Patients with HCL may develop complications of recurrent infection and second malignancies. Although both complications are postulated to be related to therapy, they may also be due to the duration and burden of the disease. Minimal residual disease detected on bone marrow biopsy is thought to predict for future relapse. We will review the initial and subsequent results of cladribine in the management of HCL.",M1
