@RELATION C0021760_C0062534

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19239705,"Expression profiling and Ingenuity biological function analyses of interleukin-6- versus nerve growth factor-stimulated PC12 cells.BACKGROUND: The major goal of the study was to compare the genetic programs utilized by the neuropoietic cytokine Interleukin-6 (IL-6) and the neurotrophin (NT) Nerve Growth Factor (NGF) for neuronal differentiation. RESULTS: The designer cytokine Hyper-IL-6 in which IL-6 is covalently linked to its soluble receptor s-IL-6R as well as NGF were used to stimulate PC12 cells for 24 hours. Changes in gene expression levels were monitored using Affymetrix GeneChip technology. We found different expression for 130 genes in IL-6- and 102 genes in NGF-treated PC12 cells as compared to unstimulated controls. The gene set shared by both stimuli comprises only 16 genes.A key step is upregulation of growth factors and functionally related external molecules known to play important roles in neuronal differentiation. In particular, IL-6 enhances gene expression of regenerating islet-derived 3 alpha (REG3A; 1084-fold), regenerating islet-derived 3 beta (REG3B/PAPI; 672-fold), growth differentiation factor 15 (GDF15; 80-fold), platelet-derived growth factor alpha (PDGFA; 69-fold), growth hormone releasing hormone (GHRH; 30-fold), adenylate cyclase activating polypeptide (PACAP; 20-fold) and hepatocyte growth factor (<e>HGF</e>; 5-fold). NGF recruits GDF15 (131-fold), transforming growth factor beta 1 (TGFB1; 101-fold) and brain-derived neurotrophic factor (BDNF; 89-fold). Both stimuli activate growth-associated protein 43 (GAP-43) indicating that PC12 cells undergo substantial neuronal differentiation.Moreover, IL-6 activates the transcription factors retinoic acid receptor alpha (RARA; 20-fold) and early growth response 1 (Egr1/Zif268; 3-fold) known to play key roles in neuronal differentiation.Ingenuity biological function analysis revealed that completely different repertoires of molecules are recruited to exert the same biological functions in neuronal differentiation. Major sub-categories include cellular growth and differentiation, cell migration, chemotaxis, cell adhesion, small molecule biochemistry aiming at changing intracellular concentrations of second messengers such as Ca2+ and cAMP as well as expression of enzymes involved in posttranslational modification of proteins. CONCLUSION: The current data provide novel candidate genes involved in neuronal differentiation, notably for the neuropoietic cytokine IL-6. Our findings may also have impact on the clinical treatment of peripheral nerve injury. Local application of a designer cytokine such as H-IL-6 with drastically enhanced bioactivity in combination with NTs may generate a potent reparative microenvironment.",M1
19084961,"[Effect of Porphyromonas gingivalis lipopolysaccharide on induced secretion of inflammatory cytokines by different cell lines]OBJECTIVE: To determine the effect of Porphyromonas gingivalis lipopolysaccharide (LPS) on induced secretion of inflammatory cytokines by different cell lines. METHODS: LPS of P. gingivalis strain ATCC33277 (Pg-LPS) was extracted with phenol-water method, and identified by Limulus test and infrared spectrum analysis. KB, <e>HGF</e>-1 and THP-1 cells were treated with Pg-LPS of different concentrations and time duration, a commercial LPS of E.coli strain O111:B4 (E-LPS) was used as the control. TNF-alpha, IL-1beta, IL-6 and IL-8 levels in culture supernatants were measured by quantitative ELISA. RESULT: The minimal dosages of both Pg-LPS and E-LPS to solidify Limulus agents were 15 ng/ml and their infrared spectrums were similar. With the treatment of Pg-LPS or E-LPS, the TNF-alpha and IL-1beta levels secreted by HGF-1 cells were remarkably increased with a single perk (P&lt;0.01) while a continuous enhancement of secretion by THP-1 cells was observed (P&lt;0.01). Either Pg-LPS or E-LPS stimulated HGF-1 or THP-1 cells to continuously increase the secretion of IL-6 (P&lt;0.01). Both Pg-LPS and E-LPS induced IL-8 secretion by THP-1 cells (P&lt;0.01), but only Pg-LPS showed the similar effect on HGF-1 cells (P&lt;0.01). Neither Pg-LPS nor E-LPS induced KB cells to secrete inflammatory cytokines. CONCLUSION: Pg-LPS can promote target cells to increase their secretion of inflammatory cytokines. KB cells can not be used as the target cell to determine inflammation-causing effect of LPS.",M1
19084916,"Extent of liver resection modulates the activation of transcription factors and the production of cytokines involved in liver regeneration.AIM: To investigate the molecular events involved in liver regeneration following subtotal hepatectomy (SH) as previous studies have largely focused on partial hepatectomy (PH). METHODS: Male Wistar rats were subjected to 70% PH or 90% SH, respectively, and sacrificed at different times after surgery. Untreated and sham-operated animals served as controls. Serum and liver samples were obtained to investigate liver function, apoptosis (TUNEL assay) and transcription factors (NF-kappaB, Stat3; ELISA) or cytokines (<e>HGF</e>, TNF-alpha, IL-6, TGF-alpha, TGF-beta; quantitative RT PCR) involved in liver regeneration. RESULTS: Serum levels of ALT and AST in animals with 70% PH differed significantly from sham-operated and control animals. We found that the peak concentration 12 h after surgery returned to control levels 7 d after surgery. LDH was increased only at 12 h after 70% PH compared to sham. Bilirubin showed no differences between the sham and 70% resection. After PH, early NF-kappaB activation was detected 12 h after surgery (313.21 +/- 17.22 ng/mL), while there was no activation after SH (125.22 +/- 44.36 ng/mL) compared to controls (111.43 +/- 32.68 ng/mL) at this time point. In SH, however, NF-kappaB activation was delayed until 24 h (475.56 +/- 144.29 ng/mL). Stat3 activation was similar in both groups. These findings correlated with suppressed and delayed induction of regenerative genes after SH (i.e. TNF-alpha 24 h postoperatively: 2375 +/- 1220 in 70% and 88 +/- 31 in 90%; IL-6 12 h postoperatively: 2547 +/- 441 in 70% and 173 +/- 82 in 90%). TUNEL staining revealed elevated apoptosis rates in SH (0.44% at 24 h; 0.63% at 7 d) compared to PH (0.27% at 24 h; 0.15% at 7 d). CONCLUSION: The molecular events involved in liver regeneration are significantly influenced by the extent of resection as SH leads to suppression and delay of liver regeneration compared to PH, which is associated with delayed activation of NF-kappaB and suppression of proregenerative cytokines.",M1
19039953,"Chlamydia pneumoniae induces interleukin-6 and interleukin-10 in human gingival fibroblasts.Chlamydia pneumoniae is an obligate intracellular Gram-negative bacterium with a unique biphasic developmental cycle that can cause persistent infections. In humans, Chlamydia causes airway infection and has been implicated in chronic inflammatory diseases, such as asthma and atherosclerosis. In addition, recent studies demonstrated that patients with severe periodontitis can harbor C. pneumoniae, which can increase the risk for a host inflammatory response with weighty clinical sequelae. Previous studies have established that periodontal pathogenic bacteria (i.e. Gram-negative bacteria) can induce the synthesis and release of cytokines and other inflammatory mediators in human gingival fibroblasts. <e>HGF</e> are resident cells of the periodontium that respond to receptor stimulation by producing a variety of substances including cytokines and growth factors. Our results demonstrate that after 48 hr of incubation with viable C. pneumoniae HGF showed a proliferative response, as seen by both colorimetric MTT assay and direct cell count (30% and 35%, respectively). In addition, HGF incubated with viable or UV light-inactivated C. pneumoniae organisms showed an increase in the levels of IL-6 and IL-10, but not IL-4; on the contrary, HGF infected with heat-killed bacteria did not show a significant production of any of the cytokines considered. In conclusion, the present study suggests that C. pneumoniae may modulate the expression of IL-6 and IL-10 by human gingival fibroblasts. Further studies are warranted to clarify the molecular mechanisms of C. pneumoniae in the regulation of cytokine expression by host cells and to elaborate the relevant clinical implications.",M1
18425354,"Autocrine stimulation of human hepatocytes triggers late DNA synthesis and stabilizes long-term differentiation in vitro.Isolated human hepatocytes are of great value in investigating cell transplantation, liver physiology, pathology, and drug metabolism. Though hepatocytes possess a tremendous proliferative capacity in vivo, their ability to grow in culture is severely limited. We postulated that repeated medium change, common to most in vitro systems, may prevent long-term maintenance of hepato-specific functions and growth capacity. To verify our hypotheses we compared the DNA synthesis and differentiation status of isolated human hepatocytes, cultured in medium which was renewed every day or was not changed for 3 weeks ('autocrine' setting). Daily medium change led to rapid hepatocellular de-differentiation without any signs of DNA replication. In contrast, the autocrine setting allowed hepatocytes to become highly differentiated, demonstrated by an elevated ASGPr expression level, and increased albumin and fibrinogen synthesis and release. Cytokeratin 18 filaments were stably expressed, whereas cytokeratin 19 remained undetectable. Hepatocytes growing in an autocrine fashion were activated in the presence of hepatocyte growth factor (<e>HGF</e>), evidenced by c-Met phosphorylation. However, HGF response was not achieved when the culture medium was renewed daily. Furthermore, the autocrine setting evoked a late but strong interleukin 6 release into the culture supernatant, reaching maximum values after a 10-day cultivation period, and intense BrdU incorporation after a further 5-day period. Our data suggest that preservation of the same medium creates environmental conditions which allow hepatocytes to control their differentiation status and DNA synthesis in an autocrine fashion. Further studies are necessary to identify the key mediators involved in autocrine communication and to design the optimal culture configuration for clinical application.",M1
17331441,"[Production of interleukin-11 and interleukin-6 in cultured human gingival fibroblasts with the stimulation of lipopolysaccharides]OBJECTIVE: To observe the effects of Porphyromonas gingivalis (Pg), Actinobacillus actinomycetemcomitans (Aa), Escherichia coli (Ec) lipopolysaccharides (LPS) on the production of IL-11 and IL-6 from healthy human gingival fibroblasts (<e>HGF</e>), and the effects of endogenous prostaglandin on HGF IL-11 and IL-6 production stimulated with the above LPS. METHODS: HGF were stimulated with Pg-, Aa-, Ec-LPS of different concentrations (0.1, 1, 10 mg/L) for 24 h. And HGF were also stimulated with the combinations of 10 mg/L Pg-, Aa-, Ec-LPS and 10(-6) mol/L indomethacin respectively for 24 h. Levels of IL-11 and IL-6 in the supernatants were quantitated by ELISA. RESULTS: LPS from Aa, Ec, at the concentration of 10 mg/L and from Pg at the concentrations 1, 10 mg/L significantly augmented IL-11 production by HGF. IL-6 production was also significantly increased by stimulation with Aa-LPS at concentrations 1, 10 mg/L and with Ec-, Pg-LPS at concentrations 0.1, 1, 10 mg/L. In addition, IL-11 production was lower than IL-6 production by HGF stimulated with LPS. Indomethacin significantly inhibited IL-6 and IL-11 production in LPS-stimulated HGF. CONCLUSIONS: Aa-, Pg-, Ec-LPS may significantly increase IL-11 and IL-6 level in the supernatants of HGF, and endogenous prostaglandin may upregulate IL-11 and IL-6 production in LPS-stimulated HGF.",M1
17255532,"Membrane-type serine protease-1/matriptase induces interleukin-6 and -8 in endothelial cells by activation of protease-activated receptor-2: potential implications in atherosclerosis.OBJECTIVE: The serine protease MT-SP1/matriptase plays an important role in cell migration and matrix degradation. Hepatocyte growth factor (<e>HGF</e>), urokinase-type plasminogen activator (uPA), and protease-activated receptor 2 (PAR-2) have been identified as in vitro substrates of MT-SP1/matriptase. Because PAR-2 is expressed in endothelial cells and contributes to inflammatory processes, we sought to investigate the effects of MT-SP1/matriptase on endothelial cytokine expression and analyzed MT-SP1/matriptase expression in vascular cells and atherosclerotic lesions. METHODS AND RESULTS: In endothelial cells, recombinant MT-SP1/matriptase dose-dependently induced interleukin (IL)-8 and IL-6 mRNA and protein expression dependent on its proteolytic activity. MT-SP1/matriptase time-dependently induced phosphorylation of p38 MAPK and p42/44 MAPK. Inhibitor experiments revealed that p38 MAPK and PKCalpha were necessary for IL-8 induction. PAR-2 downregulation abolished and PAR-2 overexpression augmented MT-SP1/matriptase-induced IL-8 expression as evidence for PAR-2 signaling. In human atherectomies, MT-SP1/matriptase was expressed in blood cells adherent to the endothelium. Concordantly, basal MT-SP1/matriptase expression was detected in isolated monocytes. Coincubation of monocytes and endothelial cells resulted in an increased IL-8 release, which was reduced after downregulation of endothelial PAR-2 and monocytic MT-SP1/matriptase. CONCLUSION: MT-SP1/matriptase induces release of proinflammatory cytokines in endothelial cells through activation of PAR-2. MT-SP1/matriptase is expressed in monocytes, thus, interaction of monocytic MT-SP1/matriptase with endothelial PAR-2 may contribute to atherosclerosis.",M1
17204543,"Iron chelation acutely stimulates fetal human intestinal cell production of IL-6 and VEGF while decreasing <e>HGF</e>: the roles of p38, ERK, and JNK MAPK signaling.Bacteria have developed mechanisms to sequester host iron via chelators such as deferoxamine (DFO). Interestingly, DFO has been shown to stimulate acute intestinal epithelial cell inflammatory cytokine production in the absence of bacteria; however, this mechanism has not been elucidated. Intestinal epithelial cell production of IL-6 and TNF-alpha is elevated in various gastrointestinal pathologies, including acute intestinal ischemia. Similarly, VEGF and HGF are essential to intestinal epithelial cell integrity. Therapeutic strategies that decrease IL-6 and TNF-alpha while increasing VEGF and HGF therefore have theoretical appeal. We hypothesized that 1) fetal human intestinal epithelial cells acutely produce increased IL-6, TNF-alpha, VEGF, and HGF during iron chelation and 2) the MAPK pathway mediates these effects. Fetal human intestinal epithelial cells were stimulated by iron chelation (1 mM DFO) with and without p38 MAPK, ERK, or JNK inhibition. Supernatants were harvested after 24 h of incubation, and IL-6, TNF-alpha, VEGF, and HGF levels were quantified by ELISA. Activation of MAPK pathways was confirmed by Western blot analysis. DFO stimulation resulted in a significant increase in epithelial cell IL-6 and VEGF production while yielding a decrease in HGF production (P&lt;0.05). Unexpectedly, TNF-alpha was not detectable. p38 MAPK, ERK, and JNK inhibition significantly decreased IL-6, VEGF, and HGF production (P&lt;0.05). In conclusion, DFO acutely increases fetal human intestinal epithelial cell IL-6 and VEGF expression while causing an unexpected decrease in HGF expression and no detectable TNF-alpha production. Furthermore, chelator-induced intestinal epithelial cell cytokine expression depends on p38, ERK, and JNK MAPK pathways.",M1
17189976,"Study of interleukin-6 in the spread of colorectal cancer: the diagnostic significance of IL-6.We investigated the diagnostic significance of IL-6 for lymph node metastasis and/or hepatic metastasis from colorectal cancer in 65 patients and evaluated the contributions of 8 factors (IL-6, <e>HGF</e>, IL-1beta, TNF-alpha, TGF-beta1, ELAM-1, ICAM-1, VCAM-1) toward Dukes.s classification of 53 patients. We also examined IL-6 expression in tumor tissue. From the receiver operating characteristic (ROC) curve analysis, an optimal cutoff value of 5.8 pg/ml was determined to classify lymph node and/or hepatic metastasis, and that of 6.3 pg/ml was determined to classify hepatic metastasis. These values indicated sensitivities of 55.0% and 71.4%, and specifi cities of 100% and 88.6%, respectively. IL-6, HGF, and ELAM-1 were very useful for distinguishing among Dukes.s A/B group, C group, and D group. In all cases with high IL-6 values (more than 25.0 pg/ml), immunohistochemical staining was positive for IL-6 in the cytoplasm of cancer cells. IL-6 is strongly suspected to be involved in lymph node and/or hepatic metastasis by promoting it through HGF, and serum IL-6 value (pg/ml) would be useful diagnostically to estimate whether or not there is a high risk of lymph node and/or hepatic metastasis.",M1
16859116,"[Inhibitory effect of xipayi mouth rinse on the secretion of IL-6 from human gingival fibroblast induced by lipopolysaccharide]OBJECTIVE: To observe the effects of xipayi mouth rinse of different concentrations on the activities of interleukin-6 (IL-6) from human gingival fibroblast (<e>HGF</e>) induced by lipopolysaccharide (LPS). METHODS: HGF was stimulated with LPS at 25 g/mL, and the radioimmunoassay (RIA) was used to examine the effect of xipayi mouth rinse at 12.5 approximately 200 g/mL on the secretion of IL-6 in the supernatant of the cell culture. RESULTS: IL-6 secreted by human gingival fibroblast was significantly inhibited by xipayi mouth rinse in a dose dependent manner. CONCLUSION: Xipayi mouth rinse can inhibit the secretion of IL-6 from HGF induced by LPS, suggesting the anti-inflammatory effect of xipayi mouth rinse to treat and prevent periodontal diseases.",M1
