@RELATION C0376526_C0036220

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20462453,"Primary gamma-herpesviral infection in Zambian children.BACKGROUND: <e>HHV-8</e> is closely related to Epstein-Barr virus (EBV), but the clinical presentations of these two infections in early childhood are not well understood. Also, it is not known whether infection by one virus correlates with another. Here, we compare the natural history of infection by these two viruses along with the clinical manifestations and risk factors that are associated with early childhood infection in Zambia, which is an endemic area for HHV-8. METHODS: This study was conducted in a cohort of 12 month old Zambian children (N = 677). Data on socio-economic status and a wide range of clinical manifestations were collected. Logistic regression was used to test for significant associations between the collected variables and HHV-8 or EBV serostatus at 12 months of age. RESULTS: We observed a significantly higher seroprevalence for EBV (58.9%) as compared to HHV-8 (13.4%). HIV-1 infected children had at a significantly higher risk of being infected with HHV-8 (Odds ratio [OR] 3.69, 95% confidence interval [CI] 1.64 - 8.32). HIV-1 infection of the mothers was a significant risk factor for increased acquisition of EBV but not HHV-8 by children (OR 1.86, 05% CI 1.20 - 2.87). Self reported rash was marginally associated with primary infection for HHV-8 and EBV. CONCLUSIONS: These results suggest that there is no correlation between EBV and HHV-8 infections. Infection by one does not increase the susceptibility for the second virus. Primary HHV-8 and EBV infection in early childhood may clinically present as rash but remains largely asymptomatic and may remain undetected in this population. HIV infection in the mother or child are important risk factors that contribute to EBV or HHV-8 infection.",M1
20236530,"Human herpesvirus-8 in northwestern China: epidemiology and characterization among blood donors.BACKGROUND: Human herpes virus 8 (<e>HHV-8</e>) is the etiologic agent associated with development of classical, AIDS-related, iatrogenic, and endemic Kaposi's sarcoma (KS). Several studies provide strong evidence that HHV-8 can be transmitted by blood transfusion. We evaluated the seroprevalence and potential risk factors of HHV-8 infection in blood donors in one region. We surveyed HHV-8 infection among 4461 blood donors in Xinjiang, China, a unique endemic area for HHV-8 and KS. RESULTS: The HHV-8 seroprevalence was higher in local minority groups which comprise most KS cases in China, than in Han people. HHV-8 prevalence was 18.6% in the Han ethnic group, 25.9% in Uygur subjects, 29.2% in Kazak subjects, 36.8% in Mongolian subjects, and 21.9% in other ethnic groups. In several subgroups, the time of donation of whole blood seemed to be a risk factor. In HHV-8-seropositive subjects, a larger fraction of local minorities (23.9%) had high HHV-8 titers than that of Han subjects (9.2%). HHV-8 infection was associated with ethnicity and residence. CONCLUSION: HHV-8 seroprevalence was significantly high among blood donors in Xinjiang, where the prevalence of KS correlates with HHV-8 prevalence and titers in Uygur and Kazak ethnic groups. Blood exposure represented by the frequency of blood donation indicated a possible blood-borne transmission route of HHV-8 in Xinjiang. Detecting anti-HHV-8 antibodies before donation in this region is therefore important.",M1
20203226,"Human herpesvirus type 8 in patients with cirrhosis independent of thrombocytopenia.BACKGROUND: High seroprevalence of human herpesvirus type 8 (<e>HHV-8</e>) in patients with cirrhosis has been reported to be associated with thrombocytopenia. Severe cirrhosis is always complicated with ascites. HHV-8 DNA levels in effusion from patients with primary effusion lymphoma has been reported to be significantly greater than in blood. The status of HHV-8 antibody and DNA in cirrhotic ascites is unclear. AIMS: To assess the status of HHV-8 antibody and DNA in cirrhotic ascites compared to that in cirrhotic plasma. METHODS: Plasma and ascites samples were collected from 85 patients with cirrhosis. HHV-8 antibody and DNA were detected by immunofluorescence assay and PCR, respectively. RESULTS: Male patients seropositive for HHV-8 antibody were significantly younger than seropositive female patients (p=0.0039). The seropositive rate in patients with cirrhosis was not associated with thrombocytopenia (p=0.6860). Both positive rate and titres of antibody in plasma were much greater than in ascites (p&lt;0.0001). More male or Child-Pugh class C than female or class B seropositive patients were positive for ascites. No hepatitis C virus-related ascites were positive for antibody. Neither plasma nor ascites samples from any subject were positive for HHV-8 DNA. CONCLUSIONS: In patients with cirrhosis, the seropositive rate for HHV-8 antibody is independent of thrombocytopenia. The positive rate for HHV-8 antibody in cirrhotic ascites seems to be associated with sex, disease severity and disease aetiology.",M1
20191196,"First survey for detecting the presence of human herpesvirus 8 infection (<e>HHV-8</e>) in Maputo, Mozambique.Human herpesvirus 8 (HHV-8), the etiological agent of Kaposi's sarcoma (KS), is endemic in parts of the sub-Saharan, and KS has increased concomitantly with the HIV/AIDS epidemic. In Mozambique (MZ), no data concerning HHV-8 infection was available, thus the main of this work was to investigate, for the first time, the presence of HHV-8 infection in Maputo, MZ. Latent and lytic HHV-8-specific antibodies were assessed in blood samples from 189 individuals from the Central Hospital of Maputo, MZ, using 'in-house' immunofluorescence assays conducted in São Paulo, Brazil. The results obtained were analyzed according to socio-demographic and clinical variables using the Chi-square test and logistic regression. An HHV-8 seropositivity of 1.8% and 9.7% was detected among 57 medical students and 31 individuals from the staff, respectively, in contrast to 16.4% detected among 67 out-patients. Concerning 34 hospitalized patients from the Dermatology Unit, 47.1% were HHV-8-seropositive overall, while the rate was 85.7% among KS patients. The present survey, conducted in Maputo, MZ, demonstrates great variation in HHV-8 infection frequencies depending on the group analyzed and epidemiological variables. An association between HHV-8 seropositivity and male gender (OR 5.72), the central origin of patients (OR 5.33), blood transfusions (OR 3.25), and KS (OR 24.0) was detected among hospitalized patients, and primary school (OR 7.18) and HIV-1 infection (OR 8.76) among out-patients.",M1
20070702,"HHV-6, HHV-7 and <e>HHV-8</e> in solid organ transplant recipients.",M1
20070702,"HHV-6, HHV-7 and <e>HHV-8</e> in solid organ transplant recipients.",M1
20088840,"Human herpesvirus 8 genomes and seroprevalence in United States blood donors.BACKGROUND: Human herpesvirus 8 (<e>HHV-8</e>) is a gamma-herpesvirus that causes Kaposi's sarcoma. The prevalence of HHV-8 genomes in US blood donors has not been systemically studied. STUDY DESIGN AND METHODS: A sensitive and quantitative real-time polymerase chain reaction (PCR) assay was used to detect HHV-8 DNA from purified CD19+ B lymphocytes from randomly selected US whole blood donors. Cellular target for the GAPDH gene was used to quantify cell-equivalent DNA. HHV-8 PCR was run in duplicate for each donor specimen along with an HHV-8 genomic copy standard. HHV-8 antibodies were detected by an indirect immunofluorescence assay. RESULTS: Specimens were obtained from 962 blood donors. DNA from more than 3 x 10(5) B-cell equivalents were obtained from 684 donors. No HHV-8 DNA was detected from any of the blood donor specimens. For the 684 donors, HHV-8 genomes were not detected in the DNA equivalent of 3 x 10(5) to 6 x 10(5) CD19+ B cells with real-time PCR, which has a detection limit of eight copies (95% confidence interval, 0-3/684). Negative results from the remaining 220 donors were potentially confounded by insufficient input DNA into the PCR procedures. Antibodies to HHV-8 were detected in 7.3% (70/962) of the donors. HHV-8 genomes were not detected from 40 of 70 HHV-8-seropositive donor B-cell DNA samples. CONCLUSION: The results indicate that the prevalence of detectable HHV-8 genomes in healthy blood donors is very low.",M1
20070998,"Orbital involvement in Castleman disease.Castleman disease is a quite uncommon lymphoproliferative disorder usually occurring in the lymph nodes. Rarely, Castleman disease develops in an extranodal anatomic location. We report on the first biopsy-proven case of multicentric plasma cell type of Castleman disease involving the orbital areas in a human herpes virus 8 (<e>HHV-8</e>)-unassociated/ human immunodeficiency virus (HIV)-seronegative 70-year-old man suffering from Parkinson disease. The diagnosis was established on the basis of morphologic, immunophenotypic, and molecular findings of a lymph node and orbital soft tissue biopsy. We additionally provide a review of all previously published cases of Castleman disease with an orbital involvement, discussing the distinctive characteristics and potential associations with regard to their counterparts at other sites. Although Castleman disease involving the orbit is an exceptionally rare occurrence that may present initially with ocular signs and symptoms, this should be included in the complete differential diagnosis of orbital mass lesion.",M1
20029949,"HIV-negative, <e>HHV-8</e>-unrelated primary effusion lymphoma-like lymphoma: report of two cases.",M1
20004457,"Induction of angiogenic chemokine CCL2 by human herpesvirus 8 chemokine receptor.Human herpesvirus 8 (<e>HHV-8</e>) is associated with Kaposi's sarcoma (KS), an endothelial cell lesion believed to be initiated and driven primarily by cytokine dysregulation. Among the viral proteins suspected as contributing to viral pathogenesis is the lytically expressed viral G protein-coupled receptor (vGPCR), which can induce various cellular cytokines. CC ligand-2 (CCL2/MCP-1) is a vGPCR-regulated angiogenic chemokine found at elevated levels in KS lesions and induced by HHV-8 infection of endothelial cells. Here we show that vGPCR induces CCL2 in endothelial cells via activation of C/EBPbeta and that vGPCR and C/EBPbeta are critical components of CCL2 induction by HHV-8 infection of endothelial cultures. To our knowledge, this is the first report of vGPCR-mediated cytokine induction, and its characterization, in the context of virus infection. Our results identify a mechanism by which vGPCR can contribute, in a host cell shutoff-independent manner, to viral pathogenesis.",M1
