@RELATION C0007947_C0018481

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
16581731,"Male circumcision and risk of syphilis, chancroid, and genital herpes: a systematic review and meta-analysis.OBJECTIVES: Male circumcision is associated with reduced risk of HIV infection. This may be partly because of a protective effect of circumcision on other sexually transmitted infections (STI), especially those causing genital ulcers, but evidence for such protection is unclear. Our objective was to conduct a systematic review and meta-analyses of the associations between male circumcision and infection with herpes simplex virus type 2 (HSV-2), Treponema pallidum, or <e>Haemophilus ducreyi</e>. METHODS: Electronic databases (1950-2004) were searched using keywords and text terms for herpes simplex, syphilis, chancroid, ulcerative sexually transmitted diseases, or their causative agents, in conjunction with terms to identify epidemiological studies. References of key articles were hand searched, and data were extracted using standardised forms. Random effects models were used to summarise relative risk (RR) where appropriate. RESULTS: 26 articles met the inclusion criteria. Most syphilis studies reported a substantially reduced risk among circumcised men (summary RR = 0.67, 95% confidence interval (CI) 0.54 to 0.83), although there was significant between study heterogeneity (p = 0.01). The reduced risk of HSV-2 infection was of borderline statistical significance (summary RR = 0.88, 95% CI 0.77 to 1.01). Circumcised men were at lower risk of chancroid in six of seven studies (individual study RRs: 0.12 to 1.11). CONCLUSIONS: This first systematic review of male circumcision and ulcerative STI strongly indicates that circumcised men are at lower risk of chancroid and syphilis. There is less association with HSV-2. Potential male circumcision interventions to reduce HIV in high risk populations may provide additional benefit by protecting against other STI.",M1
15972475,"Trafficking pathways and characterization of CD4 and CD8 cells recruited to the skin of humans experimentally infected with <e>Haemophilus ducreyi</e>.T-cell homing to infected skin is not well studied in humans. We examined sites experimentally infected with Haemophilus ducreyi by immunohistochemistry and flow cytometry for expression of receptors and ligands involved in cutaneous T-cell homing and determined the phenotypes of the T cells that trafficked to skin. Endothelial cells expressed E-selectin in infected but not uninfected skin, while peripheral node addressin (PNAd) was minimally expressed in all samples. CC chemokine ligand 27 (CCL27) was expressed in the epidermis and endothelium of both infected and uninfected skin. Interestingly, CCL21, a chemokine thought to be associated principally with T-cell trafficking in the lymphatic compartment, was highly expressed on the endothelium of infected skin. Few naive cells were present in experimental lesions, emphasizing the combined role of PNAd and CCL21 in trafficking of this subset. Memory cells (CD45RA-) dominated both CD4 and CD8 T-cell populations at the site of infection. Effector memory (CD45RA- CD27-) CD4+ and CD8+ T cells were enriched in lesions. Although the CC chemokine receptor 7-positive (CCR7+) population of both central memory (CD45RA- CD27+) and effector memory cells was not enriched in the skin compared to peripheral blood, CCR7+ cells were not precluded from entering infected skin. Taken together with our previous work (D. Soler, T. L. Humphreys, S. M. Spinola, and J. J. Campbell, Blood 101:1677-1683, 2003), these studies led us to propose a model of memory T-cell trafficking to skin in response to experimental H. ducreyi infection.",M1
15918786,"Treatment of chancroid in resource-poor countries.Chancroid, formerly a major cause of the genital ulcer disease syndrome, remains an important cofactor in both the transmission and acquisition of HIV-1 infection. Those countries with the greatest burden of HIV also have some of the highest prevalence rates of chancroid worldwide. The diagnosis of chancroid, caused by the fastidious bacterium <e>Haemophilus ducreyi</e>, is both expensive and difficult in many resource-poor areas. These areas of the world use syndromic management to treat genital ulcers and such an approach has proven effective in reducing rates of bacterial genital ulcer diseases. There are currently inexpensive and effective single-dose therapies available to treat chancroid. Single-dose regimens, given at first presentation, improve compliance and reduce the risk of sexually transmitted infections. Bacterial resistance to several antimicrobial agents has increased over the years and remains a continued threat to effective antimicrobial therapy. Follow-up of cases, and partner notification and treatment is carried out to limit reinfection and onward transmission of chancroid. Patients with coexistent HIV may be particularly at risk of failing single-dose therapy and should therefore be reviewed wherever possible.",M1
12444138,"Evolution of the cutaneous immune response to experimental <e>Haemophilus ducreyi</e> infection and its relevance to HIV-1 acquisition.Haemophilus ducreyi causes the sexually transmitted disease chancroid, which facilitates HIV-1 transmission. Skin biopsies were obtained from subjects experimentally infected with H. ducreyi to study the evolution of the immune response and immunophenotypes relevant to transmission of HIV-1. Compared with peripheral blood, there was an enrichment of T cells and macrophages after 48 h of infection in the skin. Neutrophils became the predominant cell type by 7-9 days. By immunohistochemistry, macrophage-inflammatory protein-1alpha was not present early in infection, but was abundant at later stages. RANTES was present throughout the papular and pustular stages of experimental infection, but not present in uninfected control skin. Stromal cell-derived factor-1 was present at low levels in all samples examined. Macrophages in lesions had significantly increased expression of CCR5 and CXCR4 compared with peripheral blood cells, and CD4 T cells had significant up-regulation of CCR5. The magnitude of increased expression of these receptors was not replicated when PBMCs were incubated with H. ducreyi or H. ducreyi lipooligosaccharide in vitro. Together with the disruption of mucosal and skin barriers, the presence of cells with up-regulated HIV-1 coreceptors in H. ducreyi-infected lesions may provide an environment that facilitates the acquisition of R5 (CCR5), X4 (CXCR4), and dual-tropic HIV-1 strains.",M1
11584729,"Eradicating chancroid.Genital ulcers are important cofactors of HIV transmission in the countries most severely affected by HIV/AIDS. Chancroid is a common cause of genital ulcer in all 18 countries where adult HIV prevalence surpasses 8% and is rare in countries with low-level HIV epidemics. <e>Haemophilus ducreyi</e>, the causative organism of chancroid, is biologically vulnerable and occupies a precarious epidemiological niche. Both simple, topical hygiene and male circumcision greatly reduce risk of infection and several classes of antibiotics--some of which can be administered in single-dose treatment regimens--provide rapid cure. H. ducreyi depends on sexual networks with high rates of partner change for its survival, thriving in environments characterized by male mobility and intensive commercial sex activity. Elimination of H. ducreyi infection from vulnerable groups results in disappearance of chancroid from the larger community. Once endemic in Europe and North America, chancroid began a steady decline early in the twentieth century, well before the discovery of antibiotics. Social changes--resulting in changing patterns of commercial sex--probably disrupted the conditions needed to sustain chancroid as an endemic disease. Sporadic outbreaks are now easily controlled when effective curative and preventive services are made available to sex workers and their clients. More recently, chancroid prevalence has declined markedly in countries such as the Philippines. Senegal, and Thailand, a development that may contribute to stabilization of the HIV epidemics in these countries. Eradication of chancroid is a feasible public health objective. Protecting sex workers and their clients from exposure to sexually transmitted diseases (STDs) and improving curative services for STDs are among the proven strategies that could be employed.",M1
11317002,"Vitamin A and risk of HIV-1 seroconversion among Kenyan men with genital ulcers.BACKGROUND: Vitamin A is involved in normal immune function and the maintenance of mucosal integrity through complex effects on cellular differentiation. OBJECTIVE: We sought to determine whether serum vitamin A levels were associated with altered susceptibility to primary infection with HIV-1 in men with high-risk sexual behaviour and genital ulcers who presented for treatment at an STD clinic in Nairobi, Kenya. METHODS: HIV-1 seronegative men were prospectively followed. Vitamin A levels at study entry were compared among 38 men who HIV-1 seroconverted versus 94 controls who remained HIV seronegative. RESULTS: Vitamin A deficiency (retinol less than 20 microg/dl) was very common and was present in 50% of HIV-1 seroconverters versus 76% of persistent seronegatives. Seroconversion was independently associated with a retinol level greater than 20 microg/dl (HR 2.43, 95% CI 1.25-4.70, P = 0.009), and a genital ulcer aetiology caused by <e>Haemophilus ducreyi</e> (HR 3.49, 95% CI 1.03-11.67, P = 0.04). Circumcision was independently associated with protection (HR 0.46, 95% CI 0.23-0.93, P = 0.03). CONCLUSION: Vitamin A deficiency was not associated with an increased risk of HIV-1 infection among men with concurrent STD. A decreased risk of HIV-1 seroconversion was independently associated with lower retinol levels. The effects of vitamin A on macrophage and lymphoid cell differentiation may paradoxically increase mucosal susceptibility to HIV-1 in some vulnerable individuals, such as men with genital ulcers. Lack of circumcision and chancroid are confirmed as important co-factors for heterosexual HIV-1 transmission. The role of vitamin A in heterosexual HIV-1 transmission requires further study.",M1
10701208,"[Chronic genital ulcerations and HIV infection: 29 cases]Genital ulcers are common manifestations of infectious disease. The incidence of genital ulcers featuring a chronic course has increased since the beginning of the AIDS epidemic. The purpose of this 18-month cross-sectional study was to determine the main infectious causes of chronic genital ulcers (CGU) and their correlation with HIV infection. A total of 29 patients with CGU defined as an ulcer showing no sign of healing after more than one month were studied. Mean age ranged from 24 to 54 years. The male-to-female sex ratio was 1:5. The etiology was herpes in 19 cases (65.5 p. 100), chancroid in 6 cases (20.6 p. 100), streptococcal infection in 2 cases (6.8 p. 100), Pseudomonas aeruginosa infection in 1 case (3.4 p. 100) and cutaneous amibiasis in 1 case (3.4 p. 100). Twenty-two patients (75.8 p. 100) presented HIV infection including 16 with HIV1 and 6 with HIV1 and HIV2. All patients with herpes were HIV-positive. Eighteen of these patients were in stage C3 of HIV infection. Genital herpes was the main etiology of UGC in patients with HIV infection (p &lt; 0.001). Conversely chancroid was the main etiology in patients without HIV infection (p &lt; 0.05). This finding suggests that herpetic CGU is highly suggestive of AIDS whereas chancroid CGU is not. Although syphilis is widespread in Africa, it was not a cause of CGU in this study. Search for herpes simplex virus or <e>Haemophilus ducreyi</e> in patients with CGU is an important criteria for presumptive diagnosis of AIDS in Africa.",M1
10448361,"Seroprevalence and incidence of genital ulcer infections in a rural Ugandan population.OBJECTIVES: To determine age-sex specific seroprevalence and incidence rates of Treponema pallidum, <e>Haemophilus ducreyi</e>, and HSV-2; to assess the association between HIV-1 status and incidence of these STIs; and HSV-2 serostatus with number of lifetime sexual partners. METHODS: Antibodies against HIV-1, T pallidum, H ducreyi, and HSV-2 infections were tested using approximately 1000 paired (2 year interval) sera collected from a rural adult (15-54 years) population cohort in south west Uganda. RESULTS: Overall HIV-1 prevalence was 4.9%. Prevalence for T pallidum was 12.9% among males and 12.6% among females. The corresponding rates for H ducreyi were 9.8% and 7.3% respectively. HSV-2 prevalence rates were considerably lower in males (36.0%) than in females (71.5%), p &lt; 0.001. Incidence rates for T pallidum per 1000 person years of observation were 8.4 for males and 12.3 for females. The corresponding rates for H ducreyi were 24.6 and 20.0 and for HSV-2 were 73.2 and 122.9 per 1000 person years of observation, respectively. The RR of HSV-2 incidence was 3.69 in HIV seropositive cases versus HIV seronegative after adjusting for age and sex. The corresponding RR for H ducreyi was 3.50 among female HIV positive cases versus negatives with no effect seen in males. Association between HIV-1 prevalence and prevalence of other STIs was significant (Mantel-Haenszel test) for H ducreyi (p = 0.01) and for HSV-2 (p = 0.004) but not for T pallidum (p &gt; 0.4). HSV-2 prevalence was associated with number of lifetime sexual partners (females, p = 0.003; males, p = 0.08). CONCLUSIONS: The results have provided a reliable estimate of the magnitude of the STI problem and demonstrated an association between HIV-1 status and serology of other STIs in a general rural population in sub-Saharan Africa. The study has also highlighted a correlation between HSV-2 seropositivity and number of reported lifetime sexual partners.",M1
10023349,"Comparison of clinically directed, disease specific, and syndromic protocols for the management of genital ulcer disease in Lesotho.OBJECTIVE: To evaluate two protocols for the syndromic management of genital ulcer disease (GUD) in Lesotho, southern Africa and to compare the performance of these protocols with that of a conventional disease specific approach. METHODS: A cross sectional study was conducted among consecutive patients with GUD attending an STD clinic in Maseru, Lesotho. The clinical diagnoses were made by using predefined criteria at the initial visit before the performance of laboratory tests. Attempts were made to detect the specific aetiology of the genital ulcers using PCR assays and syphilis serology. The results of PCR assays and syphilis serology were used as the gold standard against which the performance of the management approaches were applied. RESULTS: Of 100 patients initially recruited into the study, <e>Haemophilus ducreyi</e> infection was detected in 56%, herpes simplex virus in 26%, Treponema pallidum in 23%, and lymphogranuloma venereum in 7%. No pathogens were detected in 6% of patients. 17% of patients had mixed infections. Sensitivity, specificity, positive and negative predictive values of the three management protocols for GUD were compared after applying each to the study population. Theoretically, the lowest correct treatment rate would have been obtained by using the disease specific protocol (62%) compared with more than 90% in both syndromic management protocols. Considerable overtreatment for primary syphilis would occur following application of both syndromic protocols. This would be the result of the overdiagnosis of chancroid, in particular the misdiagnosis of genital herpes as chancroid, which would receive treatment for syphilis unnecessarily. The HIV seroprevalence among these patients was 36%. A significantly higher rate of HIV seropositivity was detected among the patients with herpes simplex virus infection when compared with those patients having other causes of genital ulcer disease (58% v 27%; odds ratio 3.73; 95% CI 1.26-11.26; p = 0.01). CONCLUSIONS: Poor sensitivity, specificity, and predictive values were recorded when the disease specific protocol was applied to the study population. In contrast, the syndromic management protocols provided adequate treatment for more than 90% of patients with GUD. Protocol C, which identified a minority of cases of genital herpes, was found to have an advantage when compared with protocol B (all patients with genital ulcer disease treated for both syphilis and chancroid) in that 29% of genital herpes cases would receive appropriate counselling.",M1
9918324,"The etiology of genital ulcer disease by multiplex polymerase chain reaction and relationship to HIV infection among patients attending sexually transmitted disease clinics in Pune, India.OBJECTIVES: To determine the etiology of genital ulcer disease (GUD) among patients attending sexually transmitted disease (STD) clinics in Pune, India, and to examine the relationship to HIV infection and compare the clinical diagnosis of GUD with the results of a multiplex polymerase chain reaction (M-PCR) assay for Treponema pallidum, herpes simplex virus (HSV), and <e>Hemophilus ducreyi</e> infection. METHODS: Between June 20, 1994, and September 26, 1994, 302 patients with a genital ulcer were evaluated. Clinical etiology of GUD was based on physical appearance and microbiologic evaluations which included darkfield microscopy and serology for syphilis. Swabs of each genital ulcer were tested for HSV antigen by enzyme immunoassay (Herpchek; Dupont, Wilmington, DE) and processed in a multiplex PCR assay (M-PCR; Roche, Branchburg, NJ) for simultaneous detection of HSV, Treponema pallidum, and Hemophilus ducreyi. RESULTS: Two hundred seventy-seven men and 25 women with a median age of 25 were evaluated. The seroprevalence of HIV was 22.2%. The etiology of GUD as determined by M-PCR was HSV (26%), H. ducreyi (23%), T. pallidum (10%), and multiple infections (7%); no etiology was identified in 34%. HIV seroprevalence was higher among those patients positive for HSV compared with other etiologies (OR = 2.1, CI: 1.2-3.7; p = 0.01). When compared with M-PCR, the Herpchek test was 68.5% sensitive and 99.5% specific. Darkfield detection for T. pallidum was 39% sensitive and 82% specific, in contrast to rapid plasma reagin and fluorescent treponemal antibody absorption test, which was 66% sensitive and 90% specific. Clinical diagnosis alone or in combination with basic laboratory tests showed poor agreement with M-PCR.The etiology of genital ulcer disease (GUD) and the relationship between GUD and HIV infection were investigated in 302 patients presenting to a sexually transmitted disease clinic in Pune, India, in a 3-month period in 1994.  Swabs of each genital ulcer were tested for herpes simplex virus (HSV) antigen by enzyme immunoassay and processed in a multiplex polymerase chain reaction (M-PCR) assay for simultaneous detection of HSV, Treponema pallidum, and Haemophilus ducreyi.  The seroprevalence of HIV in this series was 22.2%.  Clinical diagnosis of GUD was undermined when HIV infection was present.  The etiology of GUD according to M-PCR was HSV in 26%, chancroid in 23%, primary syphilis in 10%, and multiple infections in 7%; no etiology could be identified in the remaining 34% of cases.  Attempts to differentiate the etiology of GUD based solely on clinical grounds resulted in many inaccurate diagnoses.  Chancroid was the most common clinical diagnosis (40%), followed by HSV (24%), syphilis (20%), and multiple infections (3%).  HIV seroprevalence was significantly higher in patients with HSV compared with other etiologies (odds ratio, 2.1; 95% confidence interval, 1.2-3.7), presumably as a result of HIV-induced immunosuppression and consequent HSV reactivation.  Until rapid, inexpensive, and sensitive assays become available, syndromic treatment with antibiotics should be provided to patients with GUD in order to reduce the risk of acquiring HIV infection.",M1
