@RELATION C0949851_C0242872

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20388282,"Effects of <e>hemlock</e> woolly adelgid and elongate hemlock scale on eastern hemlock growth and foliar chemistry.In the eastern United States, two invasive specialist insects share a native host plant, Eastern hemlock, Tsuga canadensis. In recent years, much research has focused on the impacts of the hemlock woolly adelgid (Adelges tsugae) because of the detrimental effects it has on hemlock growth and survival. In contrast, the invasive elongate hemlock scale (Fiorinia externa) is thought to have only minor impacts on hemlock. We infested hemlock saplings with each insect and compared them with control (i.e., neither insect herbivore) saplings to assess how early infestations impact Eastern hemlock health (measured using new branch growth, foliar %N, and C:N ratio). Our study showed that, at equal densities, the two insects differed in their effect on Eastern hemlock. F. externa did not impact plant growth or foliar chemistry over the course of the 2-yr experiment. A. tsugae significantly reduced plant growth and caused a reduction of %N in the first year of the experiment. By the end of the experiment, A. tsugae trees had the same %N in their foliage as control and F. externa trees but drastically reduced growth patterns. The most likely explanation for this result is the greater growth in control and F. externa saplings during the second year resulted in the dilution of available foliar N over a larger amount of newly produced plant tissue. For early infestations of both insects, our study suggests that management plans should focus on the more detrimental A. tsugae.",M1
20388273,"Establishment of the <e>hemlock</e> woolly adelgid predator, Laricobius nigrinus (Coleoptera: Derodontidae), in the Eastern United States.The hemlock woolly adelgid, Adelges tsugae Annand (Hemiptera: Adelgidae), native to western North America and Asia, was accidentally introduced from Japan to the eastern United States. To potentially establish biological control of A. tsugae, we released a predator endemic to western North America, Laricobius nigrinus Fender (Coleoptera: Derodontidae), from 2003 to 2005, in 22 localities from Georgia to Massachusetts. Release sites spanned the invasive range of the adelgid across five United States Department of Agriculture plant hardiness zones (5a to 7a). Release sizes were 75, 150, 300, 600, or 1,200 adult L. nigrinus per site in the fall, winter, early spring, or sequentially (i.e., fall or winter and early spring). We monitored establishment by annual sampling for L. nigrinus adults with beat sheets and for L. nigrinus larvae by branch clipping. At the end of 3 yr, L. nigrinus was established in 13 of the 22 sites. The following variables were evaluated for their correlation with the numbers of L. nigrinus larvae and adults recovered and for their effect on establishment (scored as F(3) presence/absence): (1) Minimum winter temperature at the release site, (2) A. tsugae density at the time of release, (3) release size, and (4) release season. Only minimum winter temperature was correlated with larval recoveries and no variables were correlated with adult recoveries. Logistic regression modeling found that establishment was positively related to minimum winter temperature and release size. We recommend smaller release sizes in warm areas where establishment probability was high (i.e., zones 7a, 6b, and 6a) and larger release sizes in cold areas where establishment probability was low (i.e., zones 5b and 5a). Releases during fall-early spring and across the range of A. tsugae densities tested were successful.",M1
19791598,"Community response of insects associated with eastern <e>hemlock</e> to imidacloprid and horticultural oil treatments.The hemlock woolly adelgid, Adelges tsugae Annand, is an invasive species reducing the populations of eastern hemlock, Tsuga canadensis L. Carrière, throughout the eastern United States. Systemic imidacloprid and horticultural oil are the primary chemicals used to control infestations of this invasive pest; however, the impact of these two chemicals on nontarget canopy insects is unknown. This study was initiated in November 2005 to assess the effects of (1) imidacloprid soil drench, (2) imidacloprid soil injection, (3) imidacloprid tree injections, and (4) horticultural oil applications on multiple levels of organization (composition, overall specimen abundance and species richness, guild specimen abundance and species richness, and individual species) within the phytophagous and transient canopy insect community. Community composition differed significantly among treatments based on analysis of similarity. Mean species richness and specimen abundance were significantly reduced by one or more treatments. Soil drench applications significantly reduced species richness for the detritivore and phytophaga guilds. Furthermore, specimen abundance for species in the detritivore, fungivore, phytophaga, scavenger, and transient phytophaga guilds was significantly lower in the soil drench treatment. This trend was consistent in all insect guilds examined, with the exception of the hematophaga guild that was not significantly lower than for species on the control trees. Of the 293 species documented to be associated with eastern hemlocks, 33 species were found to be directly effected by one or more of the chemical treatments.",M1
19613851,"Host plant associations of an entomopathogenic variety of the fungus, Colletotrichum acutatum, recovered from the elongate <e>hemlock</e> scale, Fiorinia externa.A fungal epizootic has been detected in populations of the scale Fiorinia externa Ferris (Hemiptera: Diaspididae) in the eastern hemlock, Tsuga canadensis (L.) Carrière (Pinales: Pinaceae), of several northeastern states. Colletotrichum acutatum Simmonds var. fioriniae Marcelino and Gouli var. nov. inedit (Phyllachorales: Phyllachoraceae), a well-known plant pathogen, was the most commonly recovered fungus from these infected scales. This is the second report of a Colletotrichum sp. infecting scale insects. In Brazil C. gloeosporioides f. sp. ortheziidae recovered from Orthezia praelonga is under development as a biopesticide for citrus production. C. acutatum was detected growing endophytically in 28 species of plants within the epizootic areas. DNA sequences of the High Mobility Box at the MAT 1-2, mating type gene indicate that Colletotrichum sp. isolates recovered from scale insects and plants within epizootic areas were identical. Results from plant bioassays showed that this entomopathogenic Colletotrichum variety grew endophytically in all of the plants tested without causing external symptoms or signs of infection, with the exception of strawberry plants where mild symptoms of infection were observed. The implications of these findings with respect to the use of this fungus as a biological control agent are discussed.",M1
19613442,"Entomopathogenic activity of a variety of the fungus, Colletotrichum acutatum, recovered from the elongate <e>hemlock</e> scale, Fiorinia externa.A fungal epizootic in populations of Fiorinia externa Ferris (Hemiptera: Diaspididae) infesting hemlock trees, Tsuga canadensis (L.) Carrière (Pinales: Pinaceae) in forests of the Northeastern US has been recently detected. The current known distribution of the epizootic spans 36 sites in New York, Pennsylvania, New Jersey and Connecticut. Colletotrichum acutatum Simmonds var. fioriniae Marcelino and Gouli var. nov. inedit. (Phyllachorales: Phyllachoraceae) was the most prevalent fungus recovered from infected scales. Bioassays indicated that this C. acutatum variety is highly pathogenic to F. externa. Mortality rates of &gt;90 and &gt;55% were obtained for F. externa crawlers and settlers, respectively. Significantly lower mortality levels, &lt;or= 22%, were obtained when three other species of insects were assayed. C. gleosporioides has also been shown to have pathogenic activity towards a scale insect. The data suggest that C. acutatum var. fioriniae from F. externa epizootics in the US, and the previously reported C. gloeosporioides f. sp. ortheziidae causing Orthezia praelonga epizootics in Brazil, may constitute distinct biotypes of Colletotrichum that have attained the ability to infect insects in addition to the commonly reported plant hosts.",M1
19610445,"Evaluation of <e>hemlock</e> (Tsuga) species and hybrids for resistance to Adelges tsugae (Hemiptera: Adelgidae) using artificial infestation.Hemlock (Tsuga) species and hybrids were evaluated for resistance to the hemlock woolly adelgid, Adelges tsugae Annand (Hemiptera: Adelgidae). The adelgid was accidentally introduced from Asia to the eastern United States, where it is causing widespread mortality of the native hemlocks, Tsuga canadensis (L.) Carrière and Tsuga caroliniana Engelm. These two native species plus the Asian species Tsuga chinensis (Franch.) E. Pritz and T. dumosa (D.Don) Eichler and Tsuga sieboldii Carrière, and the hybrids T. chinensis x T. caroliniana and T. chinensis x T. sieboldii, were artificially infested with the crawler stage of A. tsugae in the early spring 2006 and 2007. After 8 or 9 wk-when the spring (progrediens) generation would be mature--counts were made of the adelgid. In both years, the density of A. tsugae was highest on T. canadensis, T. caroliniana, and T. sieboldii; lowest on T. chinensis; and intermediate on the hybrids. On T. chinensis and the T. chinensis hybrids, fewer adelgids settled, fewer of the settled adelgids survived, and the surviving adelgids grew slower. Thus, the nature of the host resistance is both nonpreference (antixenosis) and adverse effects on biology (antibiosis). Tree growth (height) was associated with resistance, but no association was found between time of budbreak and resistance that was independent of the taxa. Many of the hybrids grow well, have attractive form, and are promising as resistant landscape alternatives for the native hemlocks.",M1
19508766,"Variation in winter survival of the invasive <e>hemlock</e> woolly adelgid (Hemiptera: Adelgidae) across the eastern United States.The hemlock woolly adelgid (Adelges tsugae Annand) is a small, aphid-like insect native to East Asia and western North America. First documented in the eastern United States in Richmond, VA, in 1951, it has spread to at least 17 states, where it causes increased mortality among both eastern and Carolina hemlocks (Tsuga canadensis Carrière and T. caroliniana Engelmann., respectively). Previous work has suggested low temperatures may limit northward spread of the adelgid. Using recent surveys of A. tsugae mortality across the infested latitudinal gradient of the eastern United States, we show there is a significant positive relationship between minimum winter temperatures and winter survival at the landscape scale. The strength and nature of this relationship, however, varies through time, with absolute minimum winter temperatures explaining almost one half of the tree-level variance in survival in the spring of 2004 but only 9% in 2003. Post hoc analyses of the data suggest the explanatory power of temperature can be improved in ongoing studies by examining seasonal temperature profiles. Previous studies have also suggested adelgid survival may be density dependent, and although these data support this observation, contemporary density is a poor predictor of adelgid survival at the landscape scale. Using landscape estimates of minimum winter temperature, we show two simple methods of estimating landscape-scale adelgid survival rates. Both methods suggest much of the range of T. canadensis in the eastern United States, and the entire range of T. caroliniana falls in areas where winter temperatures will not impose critical limits on A. tsugae populations.",M1
19495859,"Assessing the potential impacts to riparian ecosystems resulting from <e>hemlock</e> mortality in Great Smoky Mountains National Park.Hemlock Woolly Adelgid (Adelges tsugae) is spreading across forests in eastern North America, causing mortality of eastern hemlock (Tsuga canadensis [L.] Carr.) and Carolina hemlock (Tsuga caroliniana Engelm.). The loss of hemlock from riparian forests in Great Smoky Mountains National Park (GSMNP) may result in significant physical, chemical, and biological alterations to stream environments. To assess the influence of riparian hemlock stands on stream conditions and estimate possible impacts from hemlock loss in GSMNP, we paired hardwood- and hemlock-dominated streams to examine differences in water temperature, nitrate concentrations, pH, discharge, and available photosynthetic light. We used a Geographic Information System (GIS) to identify stream pairs that were similar in topography, geology, land use, and disturbance history in order to isolate forest type as a variable. Differences between hemlock- and hardwood-dominated streams could not be explained by dominant forest type alone as forest type yields no consistent signal on measured conditions of headwater streams in GSMNP. The variability in the results indicate that other landscape variables, such as the influence of understory Rhododendron species, may exert more control on stream conditions than canopy composition. The results of this study suggest that the replacement of hemlock overstory with hardwood species will have minimal impact on long-term stream conditions, however disturbance during the transition is likely to have significant impacts. Management of riparian forests undergoing hemlock decline should, therefore, focus on facilitating a faster transition to hardwood-dominated stands to minimize long-term effects on water quality.",M1
19352716,"Distribution of nitrogen-15 tracers applied to the canopy of a mature spruce-<e>hemlock</e> stand, Howland, Maine, USA.In N-limited ecosystems, fertilization by N deposition may enhance plant growth and thus impact C sequestration. In many N deposition-C sequestration experiments, N is added directly to the soil, bypassing canopy processes and potentially favoring N immobilization by the soil. To understand the impact of enhanced N deposition on a low fertility unmanaged forest and better emulate natural N deposition processes, we added 18 kg N ha(-1) year(-1) as dissolved NH(4)NO(3) directly to the canopy of 21 ha of spruce-hemlock forest. In two 0.3-ha subplots, the added N was isotopically labeled as (15)NH(4) (+) or (15)NO(3) (-) (1% final enrichment). Among ecosystem pools, we recovered 38 and 67% of the (15)N added as (15)NH(4) (+) and (15)NO(3) (-), respectively. Of (15)N recoverable in plant biomass, only 3-6% was recovered in live foliage and bole wood. Tree twigs, branches, and bark constituted the most important plant sinks for both NO(3) (-) and NH(4) (+), together accounting for 25-50% of (15)N recovery for these ions, respectively. Forest floor and soil (15)N retention was small compared to previous studies; the litter layer and well-humified O horizon were important sinks for NH(4) (+) (9%) and NO(3) (-) (7%). Retention by canopy elements (surfaces of branches and boles) provided a substantial sink for N that may have been through physico-chemical processes rather than by N assimilation as indicated by poor recoveries in wood tissues. Canopy retention of precipitation-borne N added in this particular manner may thus not become plant-available N for several years. Despite a large canopy N retention potential in this forest, C sequestration into new wood growth as a result of the N addition was only ~16 g C m(-2) year(-1) or about 10% above the current net annual C sequestration for this site.",M1
19201518,"Characteristics of a bioxalate chelating extraction process for removal of chromium, copper and arsenic from treated wood.The disposal of wood waste treated with chromated copper arsenate (CCA) is a problem in many countries. We have proposed a novel chelating extraction technique for CCA-treated wood using bioxalate, a solution of oxalic acid containing sufficient sodium hydroxide to adjust the pH to 3.2, which is an effective way to obtain an extraction efficiency of 90% for chromium, copper, and arsenic. The purpose of the present study was to investigate the characteristics of bioxalate extraction of CCA-treated wood. Extractions of CCA-treated western <e>hemlock</e> chips with solutions of bioxalate, oxalic acid, and sodium hydroxide were carried out. The use of bioxalate was confirmed as the most effective extraction technique for chromium, copper and arsenic, with an efficiency of 90%. Extraction with simple oxalic acid was ineffective for copper (less than 40% extraction efficiency), but effective for chromium and arsenic, with 90% efficiency. Sodium hydroxide showed a similar tendency, being ineffective for chromium and copper (less than 20% extraction efficiency), but relatively effective for arsenic (around 70-80% efficiency). We also discovered an interesting phenomenon whereby the addition of sodium hydroxide to a simple oxalic acid solution during the oxalic acid extraction progress resulted in dramatically increased extraction efficiency for copper, chromium and arsenic, up to 90%. Although oxalic acid was ineffective for copper extraction, the addition of sodium hydroxide during the oxalic acid extraction process rendered it effective.",M1
