@RELATION C0752253_C0626201

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
11160396,"Regulation of neuregulin expression in the injured rat brain and cultured astrocytes.In this report, we investigated whether reactive astrocytes produce neuregulins (glial growth factor 2/<e>heregulin</e>/acetylcholine receptor-inducing activity or neu differentiation factor) and its putative receptors, ErbB2 and ErbB3 tyrosine kinases, in the injured CNS in vivo. Significant immunoreactivities with anti-neuregulin, anti-ErbB2, and anti-ErbB3 antibodies were detected on astrocytes at the injured site 4 d after injury to the adult rat cerebral cortex. To elucidate the mechanisms for the upregulation of neuregulin expression in astrocytes, primary cultured astrocytes were treated with certain reagents, including forskolin, that are known to elevate the intracellular level of cAMP and induce marked morphological changes in astrocytes. Western blot analysis showed that the expression of a 52 kDa membrane-spanning form of a neuregulin protein was enhanced in cultured astrocytes after administration of forskolin. The upregulation of glial fibrillary acidic protein was also observed in astrocytes treated with forskolin. In contrast, inactivation of protein kinase C because of chronic treatment with phorbol ester 12-O-tetradecanoyl phorbol 13-acetate downregulated the expression of the 52 kDa isoform, although other splice variants with apparent molecular sizes of 65 and 60 kDa were upregulated. These results suggest that the enhancement of neuregulin expression at injured sites is induced, at least in part, by elevation in intracellular cAMP levels and/or a protein kinase C signaling pathway. The neuregulin expressed on reactive astrocytes may stimulate their proliferation and support the survival of neurons surrounding cortical brain wounds in vivo.",M1
10376522,"NDF/<e>heregulin</e>-induced cell cycle changes and apoptosis in breast tumour cells: role of PI3 kinase and p38 MAP kinase pathways.Neu differentiation factor (NDF)/heregulin activates ErbB2 via heterodimerization with the NDF receptors ErbB3 and ErbB4. Cells which express normal levels of these receptors are often growth stimulated by NDF, whereas SKBR3, and other ErbB2-overexpressing breast tumour cells are growth inhibited. We demonstrate here that in SKBR3 cells, NDF induces G1 progression but also causes a G2 delay from day 1 and apoptosis from days 2-3. G1 progression was associated with ErbB2 transactivation of ErbB3 and subsequent stimulation of the phosphatidylinositol 3-kinase (PI3K) pathway whereas apoptosis was dependent on p38 MAPK. Inhibition of ERK1/ERK2 had no effect on cell cycle progression or apoptosis. Activation of ErbB3 and PI3K was also seen with betacellulin (BTC) but not epidermal growth factor (EGF) and correlated with the growth effects of these ligands. All three ligands induced short-term activation of p38 MAPK in a c-Src-dependent manner. However, only NDF caused a second, c-Src-independent increase in p38 MAPK activity which was required for apoptosis.",M1
10226586,"Expression of P185erbB-2, P160erbB-3, P180erbB-4, and <e>heregulin</e> alpha in human normal bronchial epithelial and lung cancer cell lines.The receptors erbB-3 and erbB-4 are members of the type 1 tyrosine kinase receptor family which also comprises epidermal growth factor receptor (EGF-R) and erbB-2. ErbB-3 and erbB-4 receptors are known to bind a family of related proteins termed heregulins. In this study, we report differential expression of P185erbB-2, P160erbB-3 and P180erbB-4, and their ligand heregulin alpha, in normal bronchial epithelial, and non-small cell lung carcinoma (NSCLC) cell lines. Expression of P185erbB-2 and P160erbB-3 vary from very low to a high level in NSCLC cell lines and a low level in normal bronchial cells. In contrast, P180erbB-4 was detected only in NSCLC cell lines but not in normal bronchial cells. Heregulin alpha is expressed at intermediate levels in the normal and cancer cell lines studied. Immunoprecipitation, using antibodies to erbB-2, erbB-3 or erbB-4 receptors, coupled to phosphotyrosine Western blot analysis indicates that these three receptors are constitutively tyrosine phosphorylated in lung cancer cell lines, but only erbB-2 and erbB-3 are autophosphorylated in normal cells. These data suggest that constitutive activation of erbB-2, erbB-3 and erbB-4 receptors could be induced by heregulin alpha via an autocrine loop mechanism, and that the active forms of erbB-4 may cooperate with the other members of the EGF-receptor family in human lung carcinogenesis.",M1
10218974,"<e>Heregulins</e> or neu differentiation factors and the interactions between peritubular myoid cells and Sertoli cells.Interactions between (mesenchymal) peritubular myoid cells and (epithelial) Sertoli cells play an important role in the control of Sertoli cell function and spermatogenesis. The factors involved, however, have only partially been identified. Heregulins or neu differentiation factors (NDFs) mediate mesenchymal-epithelial interactions in a variety of tissues, but their role in the testis has not been investigated. Here we demonstrate that recombinant human heregulin-alpha (Her-alpha) and Her-beta stimulate transferrin and androgen-binding protein production by cultured rat Sertoli cells up to 2.5-fold. These effects are more pronounced than those of previously identified growth factors active in this assay, such as insulin-like growth factor I and basic fibroblast growth factor. Combination with these factors results in additive effects and in marked morphological changes in the Sertoli cell cultures, including formation of tubule-like structures. Stimulation of androgen-binding protein secretion is paralleled by increased levels of the corresponding messenger RNA. This parallelism was less consistent for transferrin. Semiquantitative RT-PCR indicates that the expression of NDF-alpha and NDF-beta is more pronounced in peritubular cells than in Leydig or Sertoli cells. Conversely, the main receptors for heregulins/NDFs, HER-3 and HER-4, are predominantly expressed in Sertoli cells. A displacement assay confirms the presence of high-affinity binding sites for [125I]Her-beta on intact Sertoli cells and reveals parallel displacement curves for Her-beta, Her-alpha, and concentrated peritubular cell-conditioned medium (PTCM; estimated ED50 values: 1 ng/ml, 50 ng/ml, and 130 microg protein/ml, respectively), indicating that peritubular cells secrete one or more factors able to compete for heregulin receptors. It is concluded that heregulins/NDFs may play a role in mesenchymal-epithelial interactions in the testis. Estimates of the concentrations of heregulins in PTCM, however, make it unlikely that they contribute significantly to the effects observed with low concentrations of PTCM and ascribed to the putative mediator PModS (peritubular factor that modulates Sertoli cell function). Further investigations will be required to define the exact role of heregulins in the testis.",M1
10214951,"Binding specificities and affinities of egf domains for ErbB receptors.ErbB receptor activation is a complex process and is dependent upon the type and number of receptors expressed on a given cell. Previous studies with defined combinations of ErbB receptors expressed in mammalian cells have helped elucidate specific biological responses for many of the recognized gene products that serve as ligands for these receptors. However, no study has examined the binding of these ligands in a defined experimental system. To address this issue, the relative binding affinities of the egf domains of eleven ErbB ligands were measured on six ErbB receptor combinations using a soluble receptor-ligand binding format. The ErbB2/4 heterodimer was shown to bind all ligands tested with moderate to very high affinity. In contrast, ErbB3 showed much more restrictive ligand binding specificity and measurable binding was observed only with <e>heregulin</e>, neuregulin2beta, epiregulin and the synthetic heregulin/egf chimera, biregulin. These studies also revealed that ErbB2 preferentially enhances ligand binding to ErbB3 or ErbB4 and to a lesser degree to ErbB1.",M1
10077665,"Induction of utrophin gene expression by <e>heregulin</e> in skeletal muscle cells: role of the N-box motif and GA binding protein.The modulation of utrophin gene expression in muscle by the nerve-derived factor agrin plausibly involves the trophic factor ARIA/heregulin. Here we show that heregulin treatment of mouse and human cultured myotubes caused a approximately 2.5-fold increase in utrophin mRNA levels. Transient transfection experiments with utrophin promoter-reporter gene constructs showed that this increase resulted from an enhanced transcription of the utrophin gene. In the case of the nicotinic acetylcholine receptor delta and epsilon subunit genes, heregulin was previously reported to stimulate transcription via a conserved promoter element, the N-box, which binds the multimeric Ets-related transcription factor GA binding protein (GABP). Accordingly, site-directed mutagenesis of a single N-box motif in the utrophin gene promoter abolished the transcriptional response to heregulin. In addition, overexpression of heregulin, or of the two GABP subunits in cultured myotubes, caused an N-box-dependent increase of the utrophin promoter activity. In vivo, direct gene transfer into muscle confirmed that heregulin regulates utrophin gene expression. Finally, electrophoretic mobility shift assays and supershift experiments performed with muscle extracts revealed that the N-box of the utrophin promoter binds GABP. These findings suggest that the subsynaptic activation of transcription by heregulin via the N-box motif and GABP are conserved among genes expressed at the neuromuscular junction. Because utrophin can functionally compensate for the lack of dystrophin, the elucidation of the molecular mechanisms regulating utrophin gene transcription may ultimately lead to therapies based on utrophin expression throughout the muscle fibers of Duchenne muscular dystrophy patients.",M1
10066440,"The solution structure of <e>heregulin</e>-alpha and a N-terminal mutant with suppressed activity.NMR spectroscopy is used to compare the structure of the EGF-like domain of heregulin-alpha and HT1, a mutated form of heregulin-alpha with significantly reduced activity. HT1 is a chimeric protein that has the first seven residues of transforming growth factor-alpha and the sequence of heregulin-alpha from the first cysteine through the next 58 residues. The results demonstrate that both proteins share the same fold, including the triple stranded beta-sheet formed by the N-terminus and the B-loop. Analysis of the chemical shifts indicates that there are perturbations to the side chain packing of the beta-sheet. The observed changes in the chemical shifts show an interesting correspondence to the results from the homologue scan presented in the previous paper. These results indicate that the binding epitope for the native receptor extends across the beta-sheet and includes residues Leu179, Lys181, Leu209, and Lys211.",M1
9858839,"Proliferation of human Schwann cells induced by neu differentiation factor isoforms.Neu differentiation factor (NDF), a 44-kD polypeptide, is a member of the neuregulin family which also includes glial growth factor, <e>heregulin</e> and acetylcholine-receptor-inducing activity. Previous studies have demonstrated that NDF/glial growth factor/heregulin/acetylcholine-receptor-including activity are products of neurons and mediate proliferation, differentiation and gene expression in Schwann cells of experimental animals. In the present study, the efficacy of different isoforms of NDF in stimulating human Schwann cell proliferation is investigated in Schwann-cell-enriched cultures derived from fetal human dorsal root ganglia (15-20 weeks gestation). NDF isoforms examined include alpha1, alpha2, EGF-like domain alpha2 (EGFalpha2), alpha3, beta1, EGFbeta1, EGFbeta, beta2 and beta3. For the assessment of Schwann cell proliferation, double immunostaining using antibodies specific for S-100 protein and bromodeoxyuridine was used. While treatment of Schwann cells with NDF alpha isoforms (alpha1, alpha2, alpha3 and EGFalpha2) had little effect on Schwann cell proliferation, NDF beta isoforms (beta1, beta2, beta3, EGFbeta1 and EGFbeta) induced a greatly enhanced proliferation in Schwann cells. The proliferation index in unstimulated Schwann cells was 1.3 +/- 0.9%, whereas in Schwann cells treated with NDFbeta isoforms the proliferation index was 21.8 +/- 2.2%. The finding that the truncated beta isoforms such as EGFbeta1 and EGFbeta retain a mitogenic activity as potent as full-length beta isoform indicates that the C-terminal portion of the EGF-like domain is responsible for its receptor binding and subsequent biological activity.",M1
9815853,"<e>Heregulin</e> and agonistic anti-p185(c-erbB2) antibodies inhibit proliferation but increase invasiveness of breast cancer cells that overexpress p185(c-erbB2): increased invasiveness may contribute to poor prognosis.Overexpression of p185(c-erbB2) (p185/NEU/HER2) by tumor cells is associated with a poor prognosis in many but not all studies of breast and ovarian cancer. The poor prognosis associated with overexpression of p185(c-erbB2) could result from an increased growth rate or increased invasive potential. The p185(c-erbB2) tyrosine kinase receptor can be activated with agonistic antibodies directed against p185(c-erbB2) or with the ligand heregulin through a combinatorial interaction with erbB3 or erbB4. Consequently, we have asked whether heregulin or agonistic antibodies increase anchorage-independent growth or invasiveness of the SKBr3 breast cancer cell line, which overexpresses p185(c-erbB2). Incubation of SKBr3 breast cancer cells with heregulin inhibited anchorage-independent growth while enhancing tyrosine phosphorylation of p185(c-erbB2). Heregulin treatment also increased adhesion of SKBr3 cells to plastic and increased invasiveness of tumor cells into Matrigel membranes while increasing expression of the CD44 (HCAM) and CD54 (ICAM-1) adhesion molecules. Tumor cell invasion of Matrigel membranes was partially blocked by either anti-CD44 or anti-CD54 antibodies, indicating a role for these adhesion molecules in the invasion process. Compatible with the increased invasiveness, heregulin increased expression of the matrix metalloproteinase 9. In contrast, the agonistic anti-p185(c-erbB2) antibody ID5 induced only a subset of the responses induced by heregulin. ID5 induced tyrosine phosphorylation of p185(c-erbB2), increased invasiveness, and increased expression of CD44. Despite the similarity of effects of ID5 and heregulin on some outcomes, the ID5 antibody failed to increase adhesion to plastic, expression of CD54, or production of matrix metalloproteinase 9. Thus, the ID5 agonistic anti-p185(c-erbB2) antibody mimics rather than antagonizes some but not all of the actions of heregulin. Moreover, the poor prognosis of breast and ovarian cancers that overexpress p185(c-erbB2) could relate in part to enhanced invasiveness rather than to increased proliferative capacity.",M1
9790934,"Homologue scanning mutagenesis of <e>heregulin</e> reveals receptor specific binding epitopes.The EGF domain of heregulin has all the receptor binding characteristics of full-length heregulin and has strong homology to the ligands for erbB-1. Despite this, it does not bind erbB-1 but instead binds erbB-3 and erbB-4. The sequence similarity between HRG and the erbB-1 ligands suggest that a few residues are responsible for receptor binding specificity. To determine the sequences involved in receptor binding, we performed homologue scanning mutagenesis on the EGF domain of HRGalpha using sequences of TGFalpha or EGF. We found three sets of mutations in the N-terminal subdomain that were responsible for receptor binding specificity. Mutations in the C-terminal subdomain affected the binding affinity, but did appear to confer any specificity.",M1
