@RELATION C0022037_C0021487

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19227947,"Staff involvement key to satisfaction gains.One of the keys to achieving and maintaining high levels of patient satisfaction is to actively communicate with and involve your staff in patient safety initiatives, says the ED leadership at Boone County (<e>IA</e>) Hospital. Here are some of the strategies they use: The ED manager share Press Ganey results and comments regularly with the staff, Based on results and patient complaints, the staff determine what safety areas should be addressed for improvement, ED staff nurse will ask every discharged patient if they were pleased with their care, and will immediately address any complaints they raise.",M1
19196591,"Retrospective financial analysis of a herpes zoster vaccination program from an independent community pharmacy perspective.OBJECTIVE: To determine the net financial gain or loss for herpes zoster vaccination services provided to patients from the perspective of an independent community pharmacy. DESIGN: Retrospective review of pharmacy records over the program's initial 11-month period. SETTING: Independent community pharmacy in Iowa City, <e>IA</e>. PARTICIPANTS: Patients received immunization with the herpes zoster vaccine from a certified pharmacist. INTERVENTION: Herpes zoster vaccination services were provided to the patient and documented by the pharmacist. MAIN OUTCOME MEASURE: Net financial gains or losses were calculated for the herpes zoster vaccination program. Sensitivity analyses were based on costs that might be incurred during program start-up. RESULTS: 478 patients received zoster vaccination services over the initial 11-month period. A net financial gain for the herpes zoster vaccination program was achieved, with a net profit of $15.02, or 8.15%, per vaccination. CONCLUSION: Revenues for this vaccination program exceeded its costs from the independent community pharmacy perspective.",M1
18953987,"Performance improvement using methodology: case study.The department of radiology at St. Luke's Regional Medical Center in Sioux City, <e>IA</e> implemented meaningful workflow changes for reducing patient wait times and, at the same time, improved customer and employee satisfaction scores. Lean methodology and the 7 Deadly Wastes, along with small group interaction, was used to evaluate and change the process of a patient waiting for an exam in the radiology department. The most important key to the success of a performance improvement project is the involvement of staff.",M1
18807397,"Flood fails to 'wash out' ED's ability to communicate.When disaster strikes, communication often can be one of the first victims. However, during the recent floods in Iowa the communications in the ED at Mercy Medical Center in Cedar Rapids, <e>IA</e>, continued working flawlessly due to system redundancies and advanced planning. The strategies included: a wireless documentation system that was not dependent on being in a specific room or location; phones using a Voice over Internet Protocol, which enabled them to be plugged into any jack in the building; a statewide radio system that enabled the staff to speak to other hospitals about potential patient transfers.",M1
18047216,"Spatiotemporal investigation of adult mosquito (Diptera: Culicidae) populations in an eastern Iowa county, USA.Landscape and climatic factors regulate distributions of mosquitoes (Diptera: Culicidae) over time and space. The anthropogenic control of mosquito populations is often carried out at a local administrative scale, and it is applied based on the relevant agency's experiential knowledge rather than systematic analysis of spatial and temporal data. To address this shortcoming, a spatial and temporal analysis of landscape and climatic parameters in relation to mosquito populations in Black Hawk County, <e>IA</e>, USA, has been carried out. Adult mosquito sampling took place using CDC light traps from May to August 2003 in representative landscapes. Mosquitoes were identified to species level with Aedes trivittatus (Coquillet) and Aedes vexans (Meigen) dominating the collection totals. The best publicly available spatial data on landscape and demographic attributes were collated and included land cover, human census, soils, floodplain, elevation, wetlands, hydrography, roads, and vegetation indices derived from satellite imagery. Spatial processing was carried out to organize landscape attributes for statistical comparison with abundance data from the potentially important West Nile virus (family Flaviviridae, genus Flavivirus, WNV) vector species Ae. vexans and Ae. trivittatus. Landscape parameters shown to be significantly correlated with mosquito counts included soil hydrological properties, presence in floodplain, wetland areas, and deciduous and bottomland forest cover. Data on temperature and precipitation were used to investigate the climatic influence on the temporal occurrence of mosquito population abundances. Late spring rain provided ample moisture for mosquito development, but low temperatures delayed widespread emergence of Ae. trivittatus and Ae. vexans until June 2003. Landscape and climatic impacts on adult mosquito population distributions were demonstrated, and these results could form the basis for the development of a spatiotemporal modeling framework that would inform anthropogenic mosquito control anld vector-borne disease surveillance. A qualitative discussion concerning Culex pipiens (L.) and Culex restuans Theobald is included.",M1
17969677,"State-level infrastructure and economic effects of switchgrass cofiring with coal in existing power plants for carbon mitigation.This paper presents a linear programming (LP) methodology for estimating the cost of reducing a state's coal-fired power plant carbon dioxide emissions by cofiring switchgrass and coal. LP modeling allows interplay between regionally specific switchgrass production forecasts, coal plant locations, and individual coal plant historic performance data to determine an allocation of switchgrass minimizing cost or maximizing carbon reduction. The LP methodology is applied to two states, Pennsylvania (PA) and Iowa (<e>IA</e>), and results are presented with a discussion of modeling assumptions, techniques, and carbon mitigation policy implications. The LP methodology estimates that, in PA, 4.9 million tons of CO2/year could be mitigated at an average cost of less than $34/ton of CO2 and that, in IA, 7 million tons of CO2/year could be mitigated at an average Cost of Mitigation of $27/ton of CO2. Because the factors determining the cofiring costs vary so much between the two states, results suggest that cofiring costs will also vary considerably between different U.S. regions. A national level analysis could suggest a lowest-cost cofiring region. This paper presents techniques and assumptions that can simplify biomass energy policy analysis with little effect on analysis conclusions.",M1
17061681,"<e>IA</e>: RN's children 'help' mom copy records: court finds no violation of patient confidentiality. Hoffman v. Iowa Board of Nursing, No. 6-542/05-1403 (Iowa App. 08/23/2006) N.W.2nd -IA.",M1
16937912,"RN's expert testimony not 'required'--not 'barred'. Case on point: Davis v. Montgomery Cnty. Mem. Hosp., No. 6-086/05 (Iowa app. 07/12/2006)-<e>IA</e>.",M1
16565029,"Elmer L. DeGowin, MD: blood transfusions in war and peace.Elmer L. DeGowin, MD, like many of the pioneers of American blood banking and transfusion medicine, entered the discipline because of scientific curiosity and a desire to provide efficacious and safe allogeneic transfusions to patients. Much of the early impetus and financial support were fueled by the military needs of World War II. Dr. DeGowin and his colleagues provided important information pertaining to the preservation, storage, transportation, and transfusion of blood. After the war, many of these investigations continued and were applied to civilian practices. The legacy of Dr. DeGowin to provide exemplary service, teaching, and research has been sustained by the physicians and staff of the Elmer L. DeGowin Memorial Blood Center (University of Iowa Hospitals and Clinics, Iowa City, <e>Ia</e>).",M1
16295268,"Evaluating speed differences between passenger vehicles and heavy trucks for transportation-related emissions modeling.Heavy-duty trucks make up only 3% of the on-road vehicle fleet, yet they account for &gt; 7% of vehicle miles traveled in the United States. They also contribute a significant proportion of regulated ambient emissions. Heavy vehicles emit emissions at different rates than passenger vehicles. They may also behave differently on-road, yet may be treated similarly to passenger vehicles in emissions modeling. Input variables to the MOBILE software, such as average vehicle speed, are typically specified the same for heavy trucks as for passenger vehicles. Although not frequently considered in modeling emissions, speed differences between passenger vehicles and heavy trucks may influence emissions, because emission rates are correlated to average speed. Differences were evaluated by collecting average and spot speeds for heavy trucks and passenger vehicles on arterials and spot speeds on freeways in Des Moines, <e>IA</e>, and Minneapolis/St. Paul, MN. Speeds were compared by study site. Space mean speeds for heavy trucks were lower than passenger vehicle speeds for all of the arterials with differences ranging from 0.8 to 19 mph. Spot speeds for heavy trucks were also lower at all of the arterial and freeway locations with differences ranging from 0.8 to 6.1 mph. The impact that differences in on-road speeds had on emissions was also evaluated using MOBILE version 6.2. Misspecification of average truck speed is the most significant at lower and higher speed ranges.",M1
16092517,"The hospital staff and community benefit. An Iowa facility works to involve busy employees in community benefit reporting.Mercy Medical Center-North Iowa (MMC), Mason City, <e>IA</e>, has done much over the years to support the poor and underserved of its community. However, in recent years, the facilities leaders came to see that much of its community benefit activity went unreported. They decided to launch an initiative to improve this reporting. They began, in the summer of 2002, with a campaign to educate staff members about the facility's sponsor, the Sisters of Mercy, and that congregation's foundress, Mother Catherine McAuley. In December, MMC adopted a biannual reporting cycle for community benefit activities. Such reporting was facilitated by putting it online. More recently, MMC has begun publicizing its community benefit activities. As a result, both the facility's staff and the community have gained a clearer idea of the services that MMC provides in north Iowa.",M1
15218927,"Vector competence of Culex tarsalis (Diptera: Culicidae) from Iowa for a sympatric strain of western equine encephalomyelitis (WEE-7738) virus.Experiments were designed to evaluate the vector competence of Culex tarsalis Coquillet from an area (Sioux City) where Cx. tarsalis is most abundant in Iowa for western equine encephalomyelitis virus (WEE-7738). WEE-7738 was isolated from Aedes trivittatus (Coquillet) collected in Ames, <e>IA</e>, in 1977. Infection rate, dissemination rate, multiplication efficiency, and transmission rate were determined for this virus in the SC strain of Cx. tarsalis. SC strain of Cx. tarsalis was as susceptible to WEE-7738 as Californian strains of Cx. tarsalis were to BFS1703 strain of WEE; OID50 of SC Cx. tarsalis was 2.63 log TCID50 per mosquito and OID50 of Californian strains of Cx. tarsalis were 2.0-4.1 log PFU per mosquito. However, transmission of WEE-7738 (4.2%) by the SC strain of Cx. tarsalis was lower than those (10-60%) reported in other studies.",M1
12189894,"Failure to account for 'lost' or 'missing' controlled substance. Case on point: Matthias v. Iowa Board of Nursing, 2002 WL 1429951 N.W.2d-<e>IA</e>.",M1
