@RELATION C0021247_C0021246

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19238702,"Geological history and oceanography of the <e>Indo</e>-Malay Archipelago shape the genetic population structure in the false clown anemonefish (Amphiprion ocellaris).Like many fishes on coral reefs, the false clown anemonefish, Amphiprion ocellaris, has a life history with two different phases: adults are strongly site attached, whereas larvae are planktonic. Therefore, the larvae have the potential to disperse, but the degree of dispersal potential depends primarily on the period of the larval stage, which is only 8-12 days in A. ocellaris. In this study, we investigated the genetic population structure and gene flow in A. ocellaris across the Indo-Malay Archipelago by analysing a fragment of the mitochondrial control region. Population genetic analysis, using AMOVA, revealed a significant and high overall phi(ST)-value of 0.241 (P &lt; 0.001), clearly showing limited gene flow. Haplotype network analysis detected eight distinct clades corresponding mainly to different geographical areas, which were most probably separated during sea level low stands in the Pleistocene. The distribution of the clades among the different populations indicated slow partial re-mixing mainly in the central region of the archipelago. Major surface currents seem to facilitate larval dispersal, indicated by higher connectivity along major surface currents in the region (e.g. Indonesian Throughflow). Four main groups were found by the hierarchical AMOVA within the archipelago. These different genetic lineages should be managed and protected as separate ornamental fishery stocks and resource contributing to the genetic diversity of the area. Regarding the high diversity and the differentiation among areas within the Indo-Malay Archipelago of A. ocellaris populations, the centre-of-origin theory is supported to be the main mechanism by which the high biodiversity evolved in this area.",M1
19216767,"The extent of population genetic subdivision differs among four co-distributed shark species in the <e>Indo</e>-Australian archipelago.BACKGROUND: The territorial fishing zones of Australia and Indonesia are contiguous to the north of Australia in the Timor and Arafura Seas and in the Indian Ocean to the north of Christmas Island. The area surrounding the shared boundary consists of a variety of bio-diverse marine habitats including shallow continental shelf waters, oceanic trenches and numerous offshore islands. Both countries exploit a variety of fisheries species, including whaler (Carcharhinus spp.) and hammerhead sharks (Sphyrna spp.). Despite their differences in social and financial arrangements, the two countries are motivated to develop complementary co-management practices to achieve resource sustainability. An essential starting point is knowledge of the degree of population subdivision, and hence fisheries stock status, in exploited species. RESULTS: Populations of four commercially harvested shark species (Carcharhinus obscurus, Carcharhinus sorrah, Prionace glauca, Sphyrna lewini) were sampled from northern Australia and central Indonesia. Neutral genetic markers (mitochondrial DNA control region sequence and allelic variation at co-dominant microsatellite loci) revealed genetic subdivision between Australian and Indonesian populations of C. sorrah. Further research is needed to address the possibility of genetic subdivision among C. obscurus populations. There was no evidence of genetic subdivision for P. glauca and S. lewini populations, but the sampling represented a relatively small part of their distributional range. For these species, more detailed analyses of population genetic structure is recommended in the future. CONCLUSION: Cooperative management between Australia and Indonesia is the best option at present for P. glauca and S. lewini, while C. sorrah and C. obscurus should be managed independently. On-going research on these and other exploited shark and ray species is strongly recommended. Biological and ecological similarity between species may not be a predictor of population genetic structure, so species-specific studies are recommended to provide new data to assist with sustainable fisheries management.",M1
18850081,"Seasonality of spawning by tropical anguillid eels around Sulawesi Island, Indonesia.Remarkably little is known about the life histories of the many tropical anguillid eels distributed across the <e>Indo</e>-Pacific region, and since the Danish expedition to study eels in the region in 1928 and 1929, research on these eels has only begun again in recent years. Sampling for anguillid leptocephali in the Indonesian Seas has been carried out recently to learn about the spawning ecology and larval distributions of tropical eels there. The leptocephali of Anguilla marmorata, Anguilla bicolor pacifica, Anguilla borneensis, Anguilla interioris, and Anguilla celebesensis were collected around Sulawesi Island both in May 2001 and October of 2002. The development of genetic identification techniques has enabled these leptocephali to be identified to species, and their distributions and sizes during different seasons indicated that there are differing life history patterns among sympatric species in the region. A. celebesensis was found to have been spawning in Tomini Bay of northeastern Sulawesi Island in March and April 2001, but apparently, no spawning had occurred in the late summer and fall of 2002. Studies on anguillid glass eels have suggested that tropical anguillids may spawn throughout much of year, but our research on leptocephali in Tomini Bay and data on the downstream migration of tropical anguillids in the major tributary to Tomini Bay indicate that A. celebesensis may have a distinct seasonal pattern of spawning possibly related to the regional monsoon cycles. This is the first evidence of seasonality of spawning in tropical anguillid eels whose life histories are only just beginning to be revealed.",M1
18559177,"Activity evaluation of cocoa pod borer sex pheromone in cacao fields.The previously identified female sex pheromone of cocoa pod borer, Conopomorpha cramerella, was re-evaluated for its attractive activity in different field conditions. It was found that lures containing 100-mug of synthetic sex pheromone blend, (E,Z,Z)- and (E,E,Z)-4,6,10-hexadecatrienyl acetates, and the corresponding alcohols in a ratio of 40:60:4:6 in a polyethylene vial attracted male C. cramerella moths in Sabah and peninsular Malaysia and in Sumatra and Sulawesi, Indonesia, suggesting that the same pheromone strain existed in a wide stretch of the <e>Indo</e>-Malayan archipelago. Of the three kinds of trap designs tested, the Delta traps were more effective than Pherocon V scale traps. Male captures were not significantly different among traps baited with 100-, 300-, or 1,000-mug doses of sex pheromone. A release rate study of pheromone formulation conducted in the laboratory showed that volatile active ingredients were desorbed from polyethylene vials following first-order kinetics, which indicates a satisfactory  half-life time  of a 100-mug loading is approximately 6 wk under laboratory conditions. A satisfactory attractiveness of the lure with a 100-mug loading was approximately 1-2 mo in the fields.",M1
18198837,"Semisynthetic studies on the manzamine alkaloids.Chemical transformation studies were conducted on (-)-8-hydroxymanzamine A ( 1), (-)-manzamine F ( 2), manzamine A ( 3), and (+)-8-hydroxymanzamine A ( 4), isolated from <e>Indo</e>-Pacific Acanthostrongylophora sponges. Thirteen new semisynthetic manzamine derivatives, including four Delta (34,35) manzamines ( 5, 6, 8, and 9) and the unprecedented manzamine derivative 17, are reported. The potent in vitro activities of the obtained semisynthetic manzamines against activated brain microglia and the AIDS opportunistic infection pathogen Mycobacterium tuberculosis are presented.",M1
17725569,"Molecular signatures of Pleistocene sea-level changes that affected connectivity among freshwater shrimp in <e>Indo</e>-Australian waters.A major paradigm in evolutionary biology asserts that global climate change during the Pleistocene often led to rapid and extensive diversification in numerous taxa. Recent phylogenetic data suggest that past climatic oscillations may have promoted long-distance marine dispersal in some freshwater crustacea from the Indo-Australian Archipelago (IAA). Whether this pattern is common, and whether similar processes are acting on diversification below the species level is unknown. We used nuclear and mitochondrial molecular variation in a freshwater-dependent decapod crustacean (Macrobrachium rosenbergii), sampled widely from the IAA, to assess the impact of Pleistocene sea-level changes on lineage diversification in this species. Fitting of an isolation with migration model enabled us to reject ongoing migration among lineages, and results indicate that isolation among both mainland-mainland and mainland-island lineages arose during the mid-Pleistocene. Our data suggest a scenario of widespread marine dispersal during Pleistocene glacial maxima (in support of the 'Pleistocene marine dispersal hypothesis') when sea levels were low, and geographical distances between fresh watersheds were greatly reduced, followed by increased isolation as sea levels subsequently rose.",M1
17347105,"Systematic placement of an enigmatic Southeast Asian taxon Eupetes macrocerus and implications for the biogeography of a main songbird radiation, the Passerida.Biogeographic connections between Australia and other continents are still poorly understood although the plate tectonics of the <e>Indo</e>-Pacific region is now well described. Eupetes macrocerus is an enigmatic taxon distributed in a small area on the Malay Peninsula and on Sumatra and Borneo. It has generally been associated with Ptilorrhoa in New Guinea on the other side of Wallace's Line, but a relationship with the West African Picathartes has also been suggested. Using three nuclear markers, we demonstrate that Eupetes is the sister taxon of the South African genus Chaetops, and their sister taxon in turn being Picathartes, with a divergence in the Eocene. Thus, this clade is distributed in remote corners of Africa and Asia, which makes the biogeographic history of these birds very intriguing. The most parsimonious explanation would be that they represent a relictual basal group in the Passerida clade established after a long-distance dispersal from the Australo-Papuan region to Africa. Many earlier taxonomic arrangements may have been based on assumptions about relationships with similar-looking forms in the same, or adjacent, biogeographic regions, and revisions with molecular data may uncover such cases of neglect of ancient relictual patterns reflecting past connections between the continents.",M1
16201135,"Indonesian mitochondrial DNA and its opposition to a Pleistocene era origin of proto-Polynesians in island southeast Asia.The origin of modern Polynesians, the route of their expansion into the Pacific Ocean, and the timing of their movements all remain contentious topics in modern anthropology. Numerous studies have used molecular data to elucidate settlement patterns in the <e>Indo</e>-Pacific region, but the same evidence is often interpreted in opposing ways by different researchers. Above all, mitochondrial DNA (mtDNA) diversity has been used to discriminate between competing migration models and has narrowed the probable source of proto-Polynesian peoples to southern China and Taiwan or eastern Indonesia. Richards et al. (1998) used a dating method employing the p statistic to argue for an origin of Polynesian peoples in eastern Indonesia during the Pleistocene (&gt; 10,000 years ago). Here, the time to the most recent common ancestor (TMRCA) is recalculated for a new series of Indonesian mtDNA sequences with Polynesian affinities. These data, which incorporate additional sequences published after 1998, produce dates that cannot rule out the possibility of a common ancestor for these sequences during the Holocene (&lt; 10,000 years ago). This implies that previous estimates of TMRCA dates for Indonesian sequences lacked the statistical robustness necessary for replicability. The extant mtDNA evidence can no longer be viewed as favoring a Polynesian origin in eastern Indonesia, but instead remains consistent with an origin of proto-Polynesian peoples in southern China and Taiwan.",M1
15387674,"Antineoplastic agents. 535. Isolation and structure of plakorstatins 1 and 2 from the <e>Indo</e>-Pacific sponge Plakortis nigra.Two new cancer cell growth inhibiting cyclic peroxides, plakorstatins 1 (1) and 2 (2), were isolated from the Indonesian marine sponge Plakortis nigra. The structures of plakorstatins 1 and 2 including relative configuration were elucidated on the basis of mass and 2D NMR spectroscopic interpretations. These are the first plakortides with an epoxy group in the side chain. Plakorstatin 2 was found to differ from plakorstatin 1 only in the configuration of the epoxide group. Both exhibited moderate cancer cell growth inhibition against the murine P388 lymphocytic leukemia cell line with ED(50) values of 1.1 and 0.91 microg/mL, respectively, for peroxides 1 and 2.",M1
14675592,"Ethnicity in relation to atrial fibrillation and stroke (the West Birmingham Stroke Project).To test the hypothesis that ethnic differences may exist in the epidemiology of atrial fibrillation (AF) and other cardiovascular conditions among patients admitted to the hospital with nonhemorrhagic stroke, we reviewed registry data over a 2-year period of 832 consecutive patients admitted with nonhemorrhagic stroke to our hospital, which serves a multiethnic population. <e>Indo</e>-Asians and Afro-Caribbeans with acute (nonhemorrhagic) stroke had a lower prevalence of AF, despite a greater prevalence of diabetes and hypertension, than whites. AF was an independent predictor of increased mortality after stroke in our multiethnic population as a whole, but AF appears to be a less prominent factor in stroke among Indo-Asians and Afro-Caribbeans than in whites.",M1
