@RELATION C0021069_C0021171

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20308071,"Role of inositol trisphosphate receptors in autophagy in DT40 cells.Previous studies have shown that small interfering RNA knockdown and pharmacological inhibition of inositol 1,4,5-trisphosphate receptors (<e>IP</e>(3)Rs) stimulate autophagy. We have investigated autophagy in chicken DT40 cell lines containing targeted deletions of all three IP(3)R isoforms (triple knock-out (TKO) cells). Using gel shifts of microtubule-associated protein 1 light chain 3 as a marker of autophagy, we find that TKO cells have enhanced basal autophagic flux even under nutrient-replete conditions. Stable DT40 cell lines derived from TKO cells containing the functionally inactive D2550A IP(3)R mutant did not suppress autophagy in the same manner as wild-type receptors. This suggests that the channel function of the receptor is important in its regulatory role in autophagy. There were no marked differences in the phosphorylation state of AMP-activated protein kinase, Akt, or mammalian target of rapamycin between wild-type and TKO cells. The amount of immunoprecipitated complexes of Bcl-2-Beclin-1 and Beclin-1-Vps34 were also not different between the two cell lines. The major difference noted was a substantially decreased mTORC1 kinase activity in TKO cells based on decreased phosphorylation of S6 kinase and 4E-BP1. The discharge of intracellular stores with thapsigargin stimulated mTORC1 activity (measured as S6 kinase phosphorylation) to a greater extent in wild-type than in TKO cells. We suggest that basal autophagic flux may be negatively regulated by IP(3)R-dependent Ca(2+) signals acting to maintain an elevated mTORC1 activity in wild-type cells and that Ca(2+) regulation of this enzyme is defective in TKO cells. The protective effect of a higher autophagic flux in cells lacking IP(3)Rs may play a role in the delayed apoptotic response observed in these cells.",M1
20238270,"Biochemical methods used to study the gene expression and protein complexes in the filamentous fungus Neurospora crassa.Biochemical approaches are powerful tools for investigating mechanisms of biological processes. Here, we describe several biochemical approaches that have been successfully in our laboratory to study the filamentous fungus Neurospora crassa. These approaches include protein extraction and western blot analysis, protein purification using epitope-tagged fusion protein, protein immunoprecipitation (<e>IP</e>) and Chromatin Immunoprecipitation (ChIP) assays. These methods can also be modified for use in other filamentous fungi.",M1
20150148,"Genome-wide analysis of DNA synthesis by BrdU immunoprecipitation on tiling microarrays (BrdU-<e>IP</e>-chip) in Saccharomyces cerevisiae.",M1
20147045,"Analysis of RNA-protein complexes by RNA coimmunoprecipitation and RT-PCR analysis from Caenorhabditis elegans.RNA coimmunoprecipitation (co-<e>IP</e>) experiments are an extension of protein co-IP experiments in which in vivo RNA-protein complexes are investigated. This protocol describes how to perform RNA co-IPs from C. elegans whole-worm extracts. In principle, a protein-specific antibody is used to purify the protein of choice and its associated complex members from worm extract. This may also include RNA molecules associated with other protein components. To identify a specific mRNA molecule, all RNA molecules are first separated from the protein components after immunopurification. The mRNAs are then converted into cDNA by reverse transcription. Candidate mRNAs are detected by sensitive gene-specific amplification via polymerase chain reaction (PCR) in a semiquantitative manner. Since RNA molecules are very prone to degradation, it is crucial to avoid any kind of contamination with RNase activity in this experiment.",M1
20147044,"Analysis of in vivo protein complexes by coimmunoprecipitation from Caenorhabditis elegans.Protein coimmunoprecipitation (co-<e>IP</e>) is a method used to analyze in vivo complex formation of various proteins. Although such an analysis supports the coexistence of proteins in a complex, a direct protein-protein interaction cannot be concluded unless further in vitro data are available. This protocol describes how to perform co-IPs from C. elegans whole-worm extracts using protein-specific antibodies. First, we describe how to culture a large number of worms while maintaining their overall appearance and wild-type fertility rates, which are important factors when analyzing the germline tissue. Next, we present a gentle and effective method to generate worm extracts with high protein concentrations that maintain protein complexes of high quality. Finally, we describe how to purify the protein of choice along with its associated complex members. The precipitated protein complex can be analyzed by either immunoblot analysis or mass spectrometry to identify the copurified protein components. When working with RNA-binding proteins, it is of interest to assess whether RNA molecules, rather than a direct interaction between the proteins, might mediate complex formation. For this purpose, an optional RNase digestion step to degrade the RNA in the extract is described.",M1
20133760,"Streamlined analysis schema for high-throughput identification of endogenous protein complexes.Immunoprecipitation followed by mass spectrometry (<e>IP</e>/MS) has recently emerged as a preferred method in the analysis of protein complex components and cellular protein networks. Targeting endogenous protein complexes of higher eukaryotes, particularly in large-scale efforts, has been challenging due to cellular heterogeneity, high proteome complexity, and, compared to lower organisms, lack of efficient in-locus epitope-tagging techniques. It is further complicated by variability in nonspecific identifications and cross-reactivity of primary antibodies. Still, the study of endogenous human protein networks is highly desired despite its challenges. Here we describe a streamlined IP/MS protocol for the purification and identification of extended endogenous protein complexes. We investigate the sources of nonspecific protein binding and develop semiquantitative specificity filters that are based on peptide spectral count measurements. We also outline logical constraints for the derivation of accurate complex composition from IP/MS data and demonstrate the effectiveness of this approach by presenting our analyses of different transcriptional coregulator complexes. We show consistent purification of novel components for the Integrator complex, analyze the composition of the Mediator complex solely from our data to demonstrate the wide usability of spectral counts, and deconvolute heterogeneous HDAC1/2 networks into core complex modules and several novel subcomplex interactions.",M1
20068007,"Nonmuscle myosin IIA (myosin heavy polypeptide 9): a novel class of signal transducer mediating the activation of G alpha h/phospholipase C-delta 1 pathway.The dimeric Gh protein is comprised of alpha (tissue transglutaminase) and beta (Calreticulin) subunits and known to be associated with FSH-, oxytocin-, or epinephrine-receptors/functions in their respective target cells. After establishing the FSH-induced activation of G alpha h/phospholipase C (PLC)-delta 1 pathway in rat Sertoli cells (SCs), we have attempted to identify a possible G alpha h-coupled novel FSH receptor (FSH-R). Remarkably, a protein with approximately 240-kDa molecular mass was coimmunoprecipitated with G alpha h in the fractionated membrane proteins of rat SCs. The protein was identified as myosin heavy polypeptide 9 (MyH9) by mass spectrometric analysis and immunoblotting. In addition, immunoprecipitation analysis reveals that MyH9 is constitutively associated with classical Gs-coupled FSH-R and inactive GDP-bound G alpha h at resting state of rat SCs, but did not interact with FSH directly as judged by Far-Western analysis. Upon the stimulation of higher levels of extracellular FSH (&gt;1000 IU/liter), classical FSH-R induces the phosphorylation of MyH9, the dissociation of active GTP-bound G alpha h from FSH-R:MyH9 complexes, and the elicitation of G alpha h/PLC-delta 1 pathway-dependent Ca(2+)-influx in rat SCs. Furthermore, the specific inhibition of MyH9 ATPase activity with Blebbistatin dose-dependently suppressed FSH-induced G alpha h/PLC-delta 1 signaling and Ca(2+)-influx, but not intracellular cAMP accumulation in rat SCs, implying that MyH9 mediates FSH-induced activation of G alpha h/PLC-delta 1/<e>IP</e>(3)/Ca(2+)-influx pathway in rat SCs. This is the first to demonstrate that the filament protein MyH9 constitutively forms a ternary complex with FSH-R and inactive GDP-bound G alpha h. At higher FSH levels, this ternary complex executes an alternative signaling of classical Gs-coupled FSH-R through activating a Gs/cAMP-independent, G alpha h/PLC-delta 1 pathway in rat SCs.",M1
20042474,"Anti-Argonaute RIP-Chip shows that miRNA transfections alter global patterns of mRNA recruitment to microribonucleoprotein complexes.MicroRNAs (miRNAs) play key roles in gene expression regulation by guiding Argonaute (AGO)-containing microribonucleoprotein (miRNP) effector complexes to target polynucleotides. There are still uncertainties about how miRNAs interact with mRNAs. Here we employed a biochemical approach to isolate AGO-containing miRNPs from human H4 tumor cells by co-immunoprecipitation (co-<e>IP</e>) with a previously described anti-AGO antibody. Co-immunoprecipitated (co-IPed) RNAs were subjected to downstream Affymetrix Human Gene 1.0 ST microarray analysis. During rigorous validation, the  RIP-Chip  assay identified target mRNAs specifically associated with AGO complexes. RIP-Chip was performed after transfecting brain-enriched miRNAs (miR-107, miR-124, miR-128, and miR-320) and nonphysiologic control miRNA to identify miRNA targets. As expected, the miRNA transfections altered the mRNA content of the miRNPs. Specific mRNA species recruited to miRNPs after miRNA transfections were moderately in agreement with computational target predictions. In addition to recruiting mRNA targets into miRNPs, miR-107 and to a lesser extent miR-128, but not miR-124 or miR-320, caused apparent exclusion of some mRNAs that are normally associated with miRNPs. MiR-107 and miR-128 transfections also result in decreased AGO mRNA and protein levels. However, AGO mRNAs were not recruited to miRNPs after either miR-107 or miR-128 transfection, confirming that miRNAs may alter gene expression without stable association between particular mRNAs and miRNPs. In summary, RIP-Chip assays constitute an optimized, validated, direct, and high-throughput biochemical assay that provides data about specific miRNA:mRNA interactions, as well as global patterns of regulation by miRNAs.",M1
20020444,"Methylation analysis by DNA immunoprecipitation.DNA methylation regulates gene expression primarily through modification of chromatin structure. Global methylation studies have revealed biologically relevant patterns of DNA methylation in the human genome affecting sequences such as gene promoters, gene bodies, and repetitive elements. Disruption of normal methylation patterns and subsequent gene expression changes have been observed in several diseases especially in human cancers. Immunoprecipitation (<e>IP</e>)-based methods to evaluate methylation status of DNA have been instrumental in such genome-wide methylation studies. This review describes techniques commonly used to identify and quantify methylated DNA with emphasis on IP based platforms. In an effort to consolidate the wealth of information and highlight critical aspects of methylated DNA analysis, sample considerations, experimental and bioinformatic approaches for analyzing genome-wide methylation profiles, and the benefit of integrating DNA methylation data with complementary dimensions of genomic data are discussed.",M1
19956082,"A rapid high-throughput method for mapping ribonucleoproteins (RNPs) on human pre-mRNA.Sequencing RNAs that co-immunoprecipitate (co-<e>IP</e>) with RNA binding proteins has increased our understanding of splicing by demonstrating that binding location often influences function of a splicing factor. However, as with any sampling strategy the chance of identifying an RNA bound to a splicing factor is proportional to its cellular abundance. We have developed a novel in vitro approach for surveying binding specificity on otherwise transient pre-mRNA. This approach utilizes a specifically designed oligonucleotide pool that tiles across introns, exons, splice junctions, or other pre-mRNA. The pool is subjected to some kind of molecular selection. Here, we demonstrate the method by separating the oligonucleotide into a bound and unbound fraction and utilize a two color array strategy to record the enrichment of each oligonucleotide in the bound fraction. The array data generates high-resolution maps with the ability to identify sequence-specific and structural determinates of ribonucleoprotein (RNP) binding on pre-mRNA. A unique advantage to this method is its ability to avoid the sampling bias towards mRNA associated with current IP and SELEX techniques, as the pool is specifically designed and synthesized from pre-mRNA sequence. The flexibility of the oligonucleotide pool is another advantage since the experimenter chooses which regions to study and tile across, tailoring the pool to their individual needs. Using this technique, one can assay the effects of polymorphisms or mutations on binding on a large scale or clone the library into a functional splicing reporter and identify oligonucleotides that are enriched in the included fraction. This novel in vitro high-resolution mapping scheme provides a unique way to study RNP interactions with transient pre-mRNA species, whose low abundance makes them difficult to study with current in vivo techniques.",M1
