@RELATION C0025611_C0020746_C0534519

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2, M3}

@DATA
19622171,"Drug use patterns among Thai illicit drug injectors amidst increased police presence.Thailand has traditionally pursued an aggressive enforcement-based anti-illicit drug policy in an effort to make the country  drug-free.  In light of this ongoing approach, we sought to assess impacts of enforcement on drug use behaviors among a cohort of injection drug users (IDU) in Thailand. We examined drug use patterns among IDU participating in a cross-sectional study conducted in Bangkok (n = 252). Participants were asked to provide data regarding patterns of drug use in the previous six months, including types of drugs consumed, method of consumption, frequency of use, and weekly income spent on drugs. We also conducted bivariate analyses to identify a possible effect of a reported increase in police presence on measures of drug use and related risk behaviors among study participants. One hundred fifty-five (61.5%) individuals reported injection heroin use and 132 (52.4%) individuals reported injection midazolam use at least daily in the past six months. Additionally, 86 (34.1%) individuals reported at least daily injection Yaba and <e>Ice</e> (i.e., methamphetamine) use. Participants in our study reported high levels of illicit drug use, including the injection of both illicit and licit drugs. In bivariate analyses, no association between increased police presence and drug use behaviors was observed. These findings demonstrate high ongoing rates of drug injecting in Thailand despite reports of increased levels of strict enforcement and enforcement-related violence, and raise questions regarding the merits of this approach.",M1
19207353,"Impact of US and Canadian precursor regulation on methamphetamine purity in the United States.AIMS: Reducing drug purity is a major, but largely unstudied, goal of drug suppression. This study examines whether US methamphetamine purity was impacted by the suppression policy of US and Canadian precursor chemical regulation. DESIGN: Autoregressive integrated moving average (ARIMA)-intervention time-series analysis. SETTING: Continental United States and Hawaii (1985-May 2005). Interventions US federal regulations targeting precursors, ephedrine and pseudoephedrine, in forms used by large-scale producers were implemented in November 1989, August 1995 and October 1997. US regulations targeting precursors in forms used by small-scale producers (e.g. over-the-counter medications) were implemented in October 1996 and October 2001. Canada implemented federal precursor regulations in January 2003 and July 2003 and an essential chemical (e.g. acetone) regulation in January 2004. MEASUREMENTS: Monthly median methamphetamine purity series. FINDINGS: US regulations targeting large-scale producers were associated with purity declines of 16-67 points; those targeting small-scale producers had little or no impact. Canada's precursor regulations were associated with purity increases of 13-15 points, while its essential chemical regulation was associated with a 13-point decrease. Hawaii's purity was consistently high, and appeared to vary little with the 1990s/2000s regulations. CONCLUSIONS: US precursor regulations targeting large-scale producers were associated with substantial decreases in continental US methamphetamine purity, while regulations targeting over-the-counter medications had little or no impact. Canada's essential chemical regulation was also associated with a decrease in continental US purity. However, Canada's precursor regulations were associated with purity increases: these regulations may have impacted primarily producers of lower-quality methamphetamine, leaving higher-purity methamphetamine on the market by default. Hawaii's well-known preference for '<e>ice</e>' (high-purity methamphetamine) may have helped to constrain purity there to a high, attenuated range, possibly limiting its sensitivity to precursor regulation.",M1
18803173," <e>Ice</e>  use and eating disorders: a report of three cases.OBJECTIVE: To describe the use of crystal methamphetamine hydrochloride  ice,  a powerful, synthetic stimulant drug associated with rapid weight loss. METHOD: We report the first three cases of young women  ice  users requiring admission to a specialized eating disorders unit. RESULTS: Case one had no prior history of an eating disorder and became emaciated following regular use of  ice ; she regarded weight gain positively. Case 2 had polysubstance abuse since early adolescence and commenced binge eating and vomiting in response to weight gain when not using  ice ; she learned to maintain her weight without weight losing behaviors. Case 3 developed anorexia nervosa in early adolescence, required numerous inpatient admissions and commenced using stimulant drugs for weight loss in her late teens; she discharged prematurely. All patients had features of personality disorder on interview and drug abuse had impaired their work and social adjustment. DISCUSSION:  Ice  use may be associated with the onset of disordered eating or used as an efficient weight losing behavior in an established eating disorder.",M1
18707575,"Comparison of crystalline methamphetamine ( <e>ice</e> ) users and other patients with toxicology-related problems presenting to a hospital emergency department.",M1
18368603,"The prevalence of methamphetamine and amphetamine abuse in North America: a review of the indicators, 1992-2007.INTRODUCTION: This paper reviews epidemiological information about methamphetamine production and use in North America. METHODS: Information is drawn from a range of sources, including, but not limited to, historical accounts, peer-reviewed papers, population surveys and large national databases. RESULTS: Methamphetamine and amphetamine use in North America is characterised by geographic variations, with different types of the drug, different routes of administration and different types of users at various times. Unlike some other drug use patterns in North America, the nature of methamphetamine use in Canada, Mexico and the United States has been linked closely in terms of production and supply of the drug. According to their national household surveys, the annual prevalence for 'speed' use in Canada was 0.8% in 2004, 0.3% for 'anfetaminas' and 0.1% for 'metanfetaminas' in Mexico in 2002, and 1.4% for 'stimulants' in the United States in 2006. DISCUSSION: Although the data sources in the three North American countries are not consistent in methodology, terminology or frequency of reporting, all show similar trends. The type of stimulant most used has shifted from non-medical use of pharmaceutical amphetamine to use of powder methamphetamine and then to use of '<e>ice</e>'. The indicators show the problem is greatest in the western parts of the countries and is moving eastward, but the decreased availability of pseudoephedrine may have a significant impact on the nature of the epidemic in the future. Nevertheless, use of methamphetamine poses a number of risks for users and specialised treatment resources for these various populations are needed.",M1
18082974,"A comparison of the physiological, behavioral, neurochemical and microglial effects of methamphetamine and 3,4-methylenedioxymethamphetamine in the mouse.3,4-Methylenedioxymethamphetamine (MDMA) and methamphetamine (METH) are amphetamine analogues with similar persistent neurochemical effects in the mouse which some have described as neurotoxicity. We attempted to identify dose regimens of MDMA and METH with similar effects on behavioral and physiological variables in the mouse, then quantified the effects of these dose regimens on neurochemistry and microglial markers. Four discrete injections of saline, MDMA (10, 20, or 30 mg/kg), or METH (5 or 10 mg/kg) were administered to mice at 2 h intervals. Body weight was quantified immediately before each injection, and 2 h after the last injection, while core temperature and locomotor activity were continuously monitored via radiotelemetry. Mice were killed 72 h after the final injection and brains were rapidly dissected on <e>ice</e>. Dopamine content in various brain regions was quantified via high pressure liquid chromatography (HPLC), and microglial activation was assessed by saturation binding of the peripheral benzodiazepine receptor (PBR) ligand 1-(2-chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinoline carboxamide ([(3)H]PK11195). Specific dose regimens of MDMA and METH induced similar reductions in body weight, depletions of dopamine and its metabolites, and similar hyperthermic and locomotor stimulant effects, but only METH activated microglia in striatum. These results suggest that repeated high doses of MDMA and METH that produce hyperthermia, locomotor stereotypy, weight loss and neurochemical depletion are not consistently accompanied by microglial activation. The finding that METH, but not MDMA, induces microglial effects in the striatum consistent with neurotoxicity might imply different mechanisms of toxic action for these two psychostimulants.",M1
18021044,"Comparison of crystalline methamphetamine ( <e>ice</e> ) users and other patients with toxicology-related problems presenting to a hospital emergency department.OBJECTIVE: To compare demographic and clinical characteristics of methamphetamine users and patients with other toxicology-related problems requiring medical intervention in a hospital emergency department (ED). DESIGN AND SETTING: Prospective observational study of toxicology-related presentations to the ED of St Vincent's Hospital (SVH), Sydney, an inner-city tertiary hospital, between 1 October and 31 December 2006. MAIN OUTCOME MEASURES: Differences between methamphetamine-related and other toxicology-related presentations to the ED in relation to behaviour, mode of arrival, accompaniment, need for scheduling, location of drug use, intravenous drug use history, psychiatric history and demographic characteristics. RESULTS: During the study period there were 10 305 patient presentations to SVH ED; 449 (4%) were toxicology-related presentations, of which 100 (1% of total) were methamphetamine-related. Methamphetamine users were significantly more agitated, violent and aggressive than patients with other toxicology-related presentations and significantly less alert, communicative and cooperative (P &lt; 0.001); 24% of methamphetamine users (24/100) arrived with police accompaniment versus 9% of other toxicology patients (33/349) (P &lt; 0.001). Methamphetamine users were more likely to have a history of intravenous drug use and mental health problems (P &lt; 0.001); 39% of methamphetamine presentations (39/100) required scheduling under the Mental Health Act 1990 (NSW) compared with 19% of other toxicology-related presentations (67/349) (P &lt; 0.001); 43% of methamphetamine-related presentations (43/100) involved drug use on the street compared with 24% of other toxicology-related presentations (83/349) (P &lt; 0.001). Two-thirds of all methamphetamine users were male, and the most common age group for both male and female users was 26-30 years. The mean age and sex distribution of patients with other toxicology-related presentations were not significantly different. Among methamphetamine users, 27% of women (9/33) were in the 21-25-year age group compared with 10% (7/67) of men (P &lt; 0.001). CONCLUSION: There were significant differences between methamphetamine-related and other toxicology-related presentations to SVH ED. Methamphetamine users were more aggressive, violent and dangerous, and thus more likely to pose a risk to health personnel and others. Methamphetamine appeared to be used consistently, rather than as an episodic  party drug .",M1
17934996,"Asian-Pacific Islander adolescent methamphetamine use: does <e>ice</e> increase aggression and sexual risks?Using a probability sample from a 2001 Youth Risk Behavior Survey of Asian-Pacific Islander youths in Guam, this brief study examined the outcomes for methamphetamine use on aggression and risky sexual activities. The results of the study indicated that both male and female adolescents who used methamphetamine were significantly more likely to participate in aggressive behaviors and sexual risks (i.e., numerous sex partners). The inclusion of grade point averages in a logistic regression equation revealed that White adolescents were more likely than other ethnicities to indicate that they had used methamphetamine and the inclusion of student grade point averages reduced male gender to nonsignificance. We also discuss the limitations of the study.",M1
17536161,"Smokable ( <e>ice</e> ,  crystal meth ) and non smokable amphetamine-type stimulants: clinical pharmacological and epidemiological issues, with special reference to the UK. Ice ,  crystal meth , is the smokable form of methamphetamine hydrochloride. This paper will comment on the pharmacological, epidemiological, clinical and social issues related to smoking the drug as opposed to either its injection or ingestion. Furthermore, some data related to amphetamines/methamphetamines consumption, request for treatment, seizures, related offences and deaths in the UK (1990-2002) will be offered here. Peak rates, for most indicators, were reached at the end of the '90s, to fall down in the following years. The only indicator which seemed not to show any declining rates is number of deaths, but this may be related to a more general increase in stimulant death rates recently observed in the UK. It is argued that methamphetamines, and particularly  crystal meth , could reach the same prevalence levels of use in the UK as it is already in the US but recent reclassification of the drug to Class A in the UK could help to better control this emerging issue.",M1
17407427,"<e>Ice</e>: cool drug or real problem?",M1
