@RELATION C0022024_C0022023

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19904826,"Influence of pH on transungual passive and iontophoretic transport.The present study investigated the effects of pH on nail permeability and the transport of <e>ions</e> such as sodium (Na) and chloride (Cl) ions endogenous to nail and hydronium and hydroxide ions present at low and high pH, which might compete with drug transport across hydrated nail plate during iontophoresis. Nail hydration and passive transport of water across the nail at pH 1-13 were assessed. Subsequently, passive and iontophoretic transport experiments were conducted using (22)Na and (36)Cl ions under various pH conditions. Nail hydration was independent of pH under moderate pH conditions and increased significantly under extreme pH conditions (pH &gt;11). Likewise, nail permeability for water was pH independent at pH 1-10 and an order of magnitude higher at pH 13. The results of passive and iontophoretic transport of Na and Cl ions are consistent with the permselective property of nail. Interestingly, extremely acidic conditions (e.g., pH 1) altered nail permselectivity with the effect lasting several days at the higher pH conditions. Hydronium and hydroxide ion competition in iontophoretic transport was generally negligible at pH 3-11 was significant at the extreme pH conditions studied.",M1
19759293,"Selective expression of ligand-gated <e>ion</e> channels in L5 pyramidal cell axons.NMDA receptor (NMDAR)-dependent strengthening of neurotransmitter release has been widely observed, including in layer 5 (L5) pyramidal cells of the visual cortex, and is attributed to the axonal expression of NMDARs. However, we failed to detect NMDAR-mediated depolarizations or Ca(2+) entry in L5 pyramidal cell axons when focally stimulated with NMDAR agonists. This suggests that NMDARs are excluded from the axon. In contrast, local GABA(A) receptor activation alters axonal excitability, indicating that exclusion of ligand-gated ion channels from the axon is not absolute. Because NMDARs are restricted to the dendrite, NMDARs must signal to the axon by an indirect mechanism to alter release. Although subthreshold somatic depolarizations were found to spread electrotonically hundreds of micrometers through the axon, the resulting axonal potential was insufficient to open voltage-sensitive Ca(2+) channels. Therefore, if NMDAR-mediated facilitation of release is cell autonomous, it may depend on voltage signaling but apparently is independent of changes in basal Ca(2+). Alternatively, this facilitation may be even less direct, requiring a cascade of events that are merely triggered by NMDAR activation.",M1
19336905,"In vivo transdermal delivery of diclofenac by <e>ion</e>-exchange iontophoresis with geraniol.A novel iontophoretic system utilizing ion-exchange membranes is effective for selective transdermal delivery of ionized drugs. In the present study, we examined in vivo availability and safety of ion-exchange iontophoresis in the transdermal delivery of anionic diclofenac, a well known anti-inflammatory medication, to rat dorsal skin. While iontophoresis increased the plasma concentration of diclofenac sodium and skin injury was not observed, no anti-inflammatory effect was exerted. To enhance the efficiency of transdermal delivery of diclofenac sodium, iontophoresis was combined with topical application of one of three terpenes (menthol, nerolidol or geraniol) as chemical enhancers. By combining iontophoresis with geraniol, the plasma concentration of diclofenac sodium increased over 20-fold, and suppression of inflammation was achieved. Skin irritation was not seen even after 1.5 h iontophoresis. The enhancing effect of geraniol is attributed to increased penetration of the drug into the stratum corneum as well as enhanced transport across the anion-exchange membrane. Ion-exchange iontophoresis combined with geraniol is a highly effective transdermal delivery system.",M1
19267187,"Effects of ionic strength on passive and iontophoretic transport of cationic permeant across human nail.PURPOSE: Transport across the human nail under hydration can be modeled as hindered transport across aqueous pore pathways. As such, nail permselectivity to charged species can be manipulated by changing the ionic strength of the system in transungual delivery to treat nail diseases. The present study investigated the effects of ionic strength upon transungual passive and iontophoretic transport. METHODS: Transungual passive and anodal iontophoretic transport experiments of tetraethylammonium <e>ion</e> (TEA) were conducted under symmetric conditions in which the donor and receiver had the same ionic strength in vitro. Experiments under asymmetric conditions were performed to mimic the in vivo conditions. Prior to the transport studies, TEA uptake studies were performed to assess the partitioning of TEA into the nail. RESULTS: Permselectivity towards TEA was inversely related to ionic strength in both passive and iontophoretic transport. The permeability and transference number of TEA were higher at lower ionic strengths under the symmetric conditions due to increased partitioning of TEA into the nail. Transference numbers were smaller under the asymmetric conditions compared with their symmetric counterparts. CONCLUSIONS: The results demonstrate significant ionic strength effects upon the partitioning and transport of a cationic permeant in transungual transport, which may be instrumental in the development of transungual delivery systems.",M1
19041698,"<e>Ion</e>-exchange membrane assisted transdermal iontophoretic delivery of salicylate and acyclovir.The presence of endogenous competing counterions is a main reason for the generally low efficiency of transdermal iontophoretic drug delivery. The objective of the present study was to test the hypothesis that the incorporation of an ion-exchange membrane (Ionac) in an iontophoresis system to hinder transdermal transport of these counterions can enhance iontophoretic delivery. The properties of Ionac were characterized in passive and iontophoretic transport experiments. Iontophoretic transport across human epidermal membrane (HEM) and across HEM in series with Ionac was then studied. To assess the effect of HEM electrical resistance upon Ionac-assisted iontophoresis, HEM resistance was reduced in the iontophoresis experiments with alternating current (AC). Salicylate (SA) was the negatively charged permeant first tested in this study. Mannitol was the model permeant to examine the effects of electroosmosis. At the completion of the SA study, experiments were performed with acyclovir (ACV), an antiviral drug with limited water solubility. When Ionac was used to enhance SA transdermal fluxes, higher SA fluxes were observed with HEM of lower resistances in Ionac-assisted iontophoresis. Up to a four-fold flux enhancement was achieved when the electrical resistance of HEM was reduced using an AC iontophoresis method. For ACV, two-fold flux enhancement was observed in Ionac-assisted iontophoresis compared with the conventional iontophoresis baseline. In all experiments, the contribution of electroosmosis to drug transport was less than 10%. The present study has demonstrated the potential of a new approach using a positively charged ion-exchange membrane to enhance transdermal iontophoretic transport of negatively charged drugs.",M1
18719003,"In vitro optimization of dexamethasone phosphate delivery by iontophoresis.BACKGROUND AND PURPOSE: This study was designed to evaluate the effects of competing <e>ions</e> and electroosmosis on the transdermal iontophoresis of dexamethasone phosphate (Dex-Phos) and to identify the optimal conditions for its delivery. METHODS: The experiments were performed using pig skin, in side-by-side diffusion cells (0.78 cm(2)), passing a constant current of 0.3 mA via Ag-AgCl electrodes. Dex-Phos transport was quantified for donor solutions (anodal and cathodal) containing different drug concentrations, with and without background electrolyte. Electrotransport of co-ion, citrate, and counterions Na(+) and K(+) also was quantified. The contribution of electroosmosis was evaluated by measuring the transport of the neutral marker (mannitol). RESULTS: Electromigration was the dominant mechanism of drug iontophoresis, and reduction in electroosmotic flow directed against the cathodic delivery of Dex-Phos did not improve drug delivery. The Dex-Phos flux from the cathode was found to be optimal (transport number of approximately 0.012) when background electrolyte was excluded from the formulation. In this case, transport of the drug is limited principally by the competition with counterions (mainly Na(+) with a transport number of approximately 0.8) and the mobility of the drug in the membrane. DISCUSSION AND CONCLUSION: Dex-Phos must be delivered from the cathode and formulated rationally, excluding mobile co-anions, to achieve optimal iontophoretic delivery.",M1
18321669,"Chemical method to enhance transungual transport and iontophoresis efficiency.Transungual transport is hindered by the inherent small effective pore size of the nail even when it is fully hydrated. The objectives of this study were to determine the effects of chemical enhancers thioglycolic acid (TGA), glycolic acid (GA), and urea (UR) on transungual transport and iontophoresis efficiency. In vitro passive and iontophoretic transport experiments of model permeants mannitol (MA), UR, and tetraethylammonium (TEA) <e>ion</e> across the fully hydrated, enhancer-treated and untreated human nail plates were performed in phosphate-buffered saline. The transport experiments consisted of several stages, alternating between passive and anodal iontophoretic transport at 0.1mA. Nail water uptake experiments were conducted to determine the water content of the enhancer-treated nails. The effects of the enhancers on transungual electroosmosis were also evaluated. Nails treated with GA and UR did not show any transport enhancement. Treatment with TGA at 0.5M enhanced passive and iontophoretic transungual transport of MA, UR, and TEA. Increasing the TGA concentration to 1.8M did not further increase TEA iontophoresis efficiency. The effect of TGA on the nail plates was irreversible. The present study shows the possibility of using a chemical enhancer to reduce transport hindrance in the nail plate and thus enhance passive and iontophoretic transungual transport.",M1
18289555,"Hard modeling of <e>ion</e> chromatography separations on hydroxide-selective stationary phase.In the present paper the development and testing of the computer software for the simulation of the on-column ion chromatography separation processes are presented. The computer algorithm based exclusively on the selectivity coefficients of the tested analytes has been upgraded to cope with the 2:1 and 1:1 ratios of the analyte-to-eluent ion charge. The analytical solution of the cubic equation, which is needed for calculation of chromatograms for doubly charged analytes in the presence of singly charged eluent, is presented. The developed modeling approach was tested on the data sets produced by the system composed of hydroxide-selective stationary phase in combination with on-line electrolytically generated OH(-)-based eluents. Retention behavior of the selected anions on the AS15 (DIONEX, USA) stationary phase was investigated. The study of the dependence of the peak widths on the number of theoretical column segments considered in the calculated chromatograms enabled us to choose the optimal number of column segments. The average error in the retention time of the calculated chromatograms for the data set used in the study, i.e. seven different ions at eight different eluent concentrations was found to be 1.4%. A good match with the experimental chromatograms allows us to use the information of the intermediate states of calculations to get a detailed insight into the time-dependent on-column analyte distribution.",M1
18057755,"A study of the calcium complex of a glucosylceramide, soya-cerebroside II.In order to study calcium <e>ion</e> complex of soya-cerebroside II (1), an ionophoretic glucosylceramide isolated from soybean, C8-cerebroside (3) and 3,3'',6''-trideoxy-C8-cerebroside (4) are designed and synthesized. On the basis of extensive 1H-NMR studies in the presence of Ca2+ and a continuous variation method via (1)H-NMR, soya-cerebroside II is suggested to form a calcium complex with 1/Ca2+ ratio of 1 : 1. Soya-cerebroside II serves as a tridentate chelating ligand for Ca2+; the amide carbonyl, C2'-hydroxy, and C2''-hydroxy oxygens are responsible for the Ca2+ binding. Soya-cerebroside II is structurally analogous to a neural glucosylceramide. Thus, the accumulated neural glucosylceramide inside of endoplasmic reticulum (ER) membrane may serve as an endogenous Ca2+-binding and -transport molecule (ionophore) that result in mobilization of Ca2+ from intracellular calcium stores.",M1
18035848,"Elimination and exchange of trifluoroacetate counter-<e>ion</e> from cationic peptides: a critical evaluation of different approaches.Most synthesized peptides are nowadays produced using solid-phase procedures. Due to cleavage and purification conditions, they are mainly obtained in the presence of trifluoroacetic acid (TFA) and, for cationic peptides, as trifluoroacetate (TF-acetate) salts. However, TF-acetate interferes with physicochemical characterizations using infrared spectroscopy and might significantly affect the in vivo studies. Thus, TF-acetate exchange by another counter-ion is often required. Up to now, the classical procedure has consisted of freeze-drying the peptide several times in the presence of an excess of a stronger acid than TFA (pKa approximately 0): generally HCl (pKa = - 7). This approach means that working at pH &lt; 1 can induce peptide degradation. We therefore tested three different approaches to exchange the tightly bound TF-acetate counter-ion from the dicationic octapeptide lanreotide: (i) reverse-phase HPLC, (ii) ion-exchange resin, and (iii) deprotonation/reprotonation cycle of the amino groups. The first two approaches allow the partial to almost complete exchange of the TF-acetate counter-ion by another ion from an acid weaker than TFA, such as acetic acid (pKa = 4.5), and the third requires a basic solution that permits the complete removal of TF-acetate counter-ion. The efficiency of these three procedures was tested and compared by using different analytical techniques such as 19F-NMR, 1H-NMR and attenuated total reflectance Fourier transformed infrared spectroscopy (ATR FT-IR). We also show that ATR-IR can be used to monitor the TFA removal. The counter-ion exchange procedures described in this study are easy to carry out, fast, harmless and reproducible. Moreover, two of them offer the very interesting possibility of exchanging the initial TF-acetate by any other counter-ion.",M1
