@RELATION C0022077_C1001362

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20507003,"Congenital pupillary-<e>iris</e>-lens membrane with goniodysgenesis: histopathologic findings in an enucleated eye.A 10-year-old boy with clinically confirmed congenital pupillary-iris-lens membrane with goniodysgenesis underwent light microscopic examination of the enucleated eye. The anterior segment changes consisted of the absence of the iridial pupillary sphincter muscle and dilator muscle processes. Endothelialization and descemetization of the anterior chamber angle and the anterior surface of the iris covered the original eccentric pupillary opening (occlusio pupillae), but grew around the fibrotic edges of the surgically created, patent pseudopupil, probably secondary responses to surgery. The anterior chamber findings in this case establish a localized syndrome that includes absence of the pupillary sphincter and dilator muscle processes. Incomplete development of the iris may be partly attributable to an abnormality of stromal development and inductions by the anterior neuroectodermal layer, together with anomalies of the pupillo-iridial vasculature.",M1
20457385,"Managing total aniridia with aphakia using a glued <e>iris</e> prosthesis.",M1
20457382,"Late-onset nontraumatic dislocation of anterior chamber phakic intraocular lens.Long-term stability of the position of phakic intraocular lenses (pIOLs) is important in maintaining visual acuity as well as avoiding injury to the local tissues. We report a case of late nontraumatic dislocation of an <e>iris</e>-fixated pIOL, with subsequent successful repositioning.",M1
20457369,"Objective analysis of toric intraocular lens rotation and centration.PURPOSE: To assess the repeatability of an objective image-analysis technique to determine intraocular lens (IOL) rotation and centration. SETTING: Six European ophthalmology clinics. METHODS: Eyes with an Akreos AO aspheric IOL with orientation marks were imaged. A masked observer rated image quality. The axis of rotation was determined from a line bisecting the IOL orientation marks. This was normalized for rotation of the eye between visits using the axis bisecting 2 consistent conjunctival vessels or <e>iris</e> features. The center of ovals overlaid to circumscribe the IOL optic edge and the pupil or limbus were compared to determine IOL centration. Intrasession repeatability was assessed in a subgroup of eyes and the variability of repeated analysis examined. RESULTS: The SD of intrasession repeatability was +/-0.79 degrees for IOL rotational stability, +/-0.10 mm for horizontal centration, and +/-0.10 mm for vertical centration. The SD of repeated-analysis variability of the same image was +/-0.70 degrees, +/-0.20 mm, and +/-0.31 mm, respectively. The mean eye rotation (absolute) between visits was 2.23 degrees +/- 1.84 (SD) (10% &gt;5 degrees rotation) using 1 set of consistent conjunctival vessels or iris features and 2.03 +/- 1.66 degrees (7%&gt;5 degrees rotation) using the mean of 2 sets (P = .13). Poorer image quality resulted in larger apparent absolute IOL rotation (r = -0.45, P&lt;.001). CONCLUSIONS: Objective analysis of digital retroillumination images allowed sensitive assessment of IOL rotation and centration stability. Eye rotation between images can lead to significant errors if not taken into account. Image quality is important to analysis accuracy.",M1
20431134,"The multiscenario multienvironment BioSecure Multimodal Database (BMDB).A new multimodal biometric database designed and acquired within the framework of the European BioSecure Network of Excellence is presented. It is comprised of more than 600 individuals acquired simultaneously in three scenarios: 1) over the Internet, 2) in an office environment with desktop PC, and 3) in indoor/outdoor environments with mobile portable hardware. The three scenarios include a common part of audio/video data. Also, signature and fingerprint data have been acquired both with desktop PC and mobile portable hardware. Additionally, hand and <e>iris</e> data were acquired in the second scenario using desktop PC. Acquisition has been conducted by 11 European institutions. Additional features of the BioSecure Multimodal Database (BMDB) are: two acquisition sessions, several sensors in certain modalities, balanced gender and age distributions, multimodal realistic scenarios with simple and quick tasks per modality, cross-European diversity, availability of demographic data, and compatibility with other multimodal databases. The novel acquisition conditions of the BMDB allow us to perform new challenging research and evaluation of either monomodal or multimodal biometric systems, as in the recent BioSecure Multimodal Evaluation campaign. A description of this campaign including baseline results of individual modalities from the new database is also given. The database is expected to be available for research purposes through the BioSecure Association during 2008.",M1
20414131,"Pupillary dysfunction in an atypical case of mitochondrial myopathy with tubular aggregates.A 62-year-old man presented with diplopia, ocular ductional deficits, and sluggish pupils. Pupillometry demonstrated large hyporeactive pupils with no evidence of damage to the sympathetic or parasympathetic innervation, indicating a myopathy of the <e>iris</e> musculature. A single large deletion in mitochondrial DNA and characteristic histochemical features on muscle biopsy suggested a mitochondrial cytopathy. However, ultrastructural examination of skeletal muscle fibers showed tubular aggregates (TAs), a finding not reported in mitochondrial cytopathy. The combination of pupillary abnormalities and TAs suggests that mitochondrial dysfunction may not explain the full extent of abnormalities in this case.",M1
20362865,"<e>Iris</e>-fixated phakic intraocular lens implantation for correction of high myopia in microspherophakia.We report the refractive correction of high myopia in a 23-year-old patient with idiopathic microspherophakia using iris-fixated phakic intraocular lenses (pIOLs) (Verisyse/Artisan). Four years after bilateral implantation, the uncorrected distance visual acuity was 20/25 with a correction of 20/20(-1) in both eyes. No intraoperative or postoperative complications occurred. Iris-fixated pIOLs are not recommended for every patient with microspherophakia. However, this procedure may be an option in microspherophakic patients with appropriate anterior chamber depth and no history of lens dislocation who are likely to comply with annual eye examinations. Follow-up should include monitoring the endothelial cell count and biomicroscopy for adequate space between the pIOL, the natural crystalline lens, and the corneal endothelium. Scheimpflug photography can be a valuable tool in such cases.",M1
20358862,"Trans-differentiation of <e>iris</e> pigmented epithelial cells of Euphlyctis cyanophlyctis tadpoles into lens in vitro.Meshed pigmented iris epithelium along with neural retina of tadpoles of the frog Euphlyctis cyanophlyctis were found to undergo dedifferentiation and subsequently transdifferentiate into lens in culture medium. During lag period, depigmentation (dedifferentiation) occurred in many cells. When culture became confluent 3-4 weeks after seeding tiny lens like structures differentiated from foci of cultured pigmented iris epithelium cells. The percentage of lens formation was higher in vitamin A treated cases. The culture system appears to be a suitable for investigating the changes occurred during trans-differentiation of pigmented epithelial cells into lens.",M1
20357839,"Point spread function engineering for <e>iris</e> recognition system design.Undersampling in the detector array degrades the performance of iris-recognition imaging systems. We find that an undersampling of 8 x 8 reduces the iris-recognition performance by nearly a factor of 4 (on CASIA iris database), as measured by the false rejection ratio (FRR) metric. We employ optical point spread function (PSF) engineering via a Zernike phase mask in conjunction with multiple subpixel shifted image measurements (frames) to mitigate the effect of undersampling. A task-specific optimization framework is used to engineer the optical PSF and optimize the postprocessing parameters to minimize the FRR. The optimized Zernike phase enhanced lens (ZPEL) imager design with one frame yields an improvement of nearly 33% relative to a thin observation module by bounded optics (TOMBO) imager with one frame. With four frames the optimized ZPEL imager achieves a FRR equal to that of the conventional imager without undersampling. Further, the ZPEL imager design using 16 frames yields a FRR that is actually 15% lower than that obtained with the conventional imager without undersampling.",M1
20225783,"Clinical outcome of iridotomy with Argon-YAG laser at a tertiary care center in Karachi, Pakistan.OBJECTIVE: To assess the the efficacy and early and late complications of Argon-YAG combined laser iridotomy in the outpatient department of a tertiary care hospital. METHODS: This was a prospective observational study conducted at Aga Khan University Hospital Karachi, Pakistan. After detailed history taking and clinical examination, patients who had goniscopically evident closed angles and a positive provocative test were selected for laser iridotomy. They underwent iridotomy using Argon laser followed by YAG laser. The main outcome measures were patency of iridotomy at 6 months, angle grading at 6 months and early and late complications. RESULTS: Overall 40 eyes of 30 patients underwent iridotomy. Of these 18 (60%) were female. At presentation, 26, 10, 2 and 2 eyes had primary angle closure glaucoma (PACG), prodromal stage of PACG, chronic angle closure glaucoma, and seculusio papillae with <e>iris</e> bombe secondary to uveitis, respectively. All the 40 iridotomies were patent at 6 months follow up. Majority of the eyes with primary acute angle closure glaucoma, and prodromal angle closure glaucoma had their angles opened from Grade 0 and Grade I to Grade III. At 6 months, 30 (75%) eyes had a good control of intraocular pressure (lOP). Intraoperative complication, encountered were microhyphaema in 14 eyes and 2 developed corneal burns. Postoperative complications were transient rise of IOP in 18 eyes and post-laser iritis in 32 eyes, but they responded to recommended treatment. CONCLUSIONS: Iridotomy with Argon laser followed by Nd-YAG laser was associated with good clinical outcome and fewer complications in eyes with PACG.",M1
20202541,"Manual limbal markings versus <e>iris</e>-registration software for correction of myopic astigmatism by laser in situ keratomileusis.PURPOSE: To compare the efficacy and safety of manual limbal markings and wavefront-guided treatment with iris-registration software in laser in situ keratomileusis (LASIK) for myopic astigmatism. SETTING: National Taiwan University Hospital, Taipei, Taiwan. METHODS: Eyes with myopic astigmatism had LASIK with a Technolas 217z laser. Eyes in the limbal-marking group had conventional LASIK (PlanoScan or Zyoptix tissue-saving algorithm) with manual cyclotorsional-error adjustments according to 2 limbal marks. Eyes in the iris-registration group had wavefront-guided ablation (Zyoptix) in which cyclotorsional errors were automatically detected and adjusted. Refraction, corneal topography, and visual acuity data were compared between groups. Vector analysis was by the Alpins method. RESULTS: The mean preoperative spherical equivalent (SE) was -6.64 diopters (D) +/- 1.99 (SD) in the limbal-marking group and -6.72 +/- 1.86 D in the iris-registration group (P = .92). At 6 months, the mean SE was -0.42 +/- 0.63 D and -0.47 +/- 0.62 D, respectively (P = .08). There was no statistically significant difference between groups in the astigmatism correction, success, or flattening index values using 6-month postoperative refractive data. The angle of error was within +/-10 degrees in 73% of eyes in the limbal-marking group and 75% of eyes in the iris-registration group. CONCLUSION: Manual limbal markings and iris-registration software were equally effective and safe in LASIK for myopic astigmatism, showing that checking cyclotorsion by manual limbal markings is a safe alternative when automated systems are not available.",M1
