@RELATION C0031106_C0022341

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
15259918,"Pattern of tooth loss in Nigerian juvenile and plaque-induced chronic periodontitis patients.The aim of this study was to determine the pattern of tooth loss in chronic periodontitis patients and hence help the clinician to plan preventive treatment against the loss of these teeth. Dental record notes of all the subjects, the periapical radiographs and actual intra-oral examinations of the juvenile periodontitis patients were done to determine the number and types of tooth loss. It was observed that the pattern of tooth loss in both groups of chronic periodontitis (plaque Induced periodontitis (PIP) and juvenile periodontitis (<e>JP</e>) was different as the most frequently lost teeth in PIP was incisors and lower incisor in JP while the least lost in PIP was the upper canines and the lower premolars in JP.",M1
15259911,"Juvenile periodontitis--a review of literature.Juvenile Periodontitis (<e>JP</e>), a condition that was previously regarded as a rare disease has of recent come into the fore as a model for the study of inflammatory periodontal disease. It has also been found to be considerably more common in occurrence than previously thought. This article reviews the literature on the epidemiology, aetiology, pathogenesis, clinical features, histopathological and immunological findings, differential diagnosis, treatment and prognosis of JP. The objective of this article is to give the clinician the current opinions of researchers in all aspects of the disease as compared to previous age long views. It is observed that there are contradictory reports on the epidemiology, etiology and treatment of the disease and hence the need for further studies in these areas.",M1
12751566,"The relationship between juvenile and non-juvenile periodontitis, ABO blood groups and haemoglobin types.This study was carried out to investigate the relationship between juvenile and non-juvenile peridontitis (<e>JP</e>, non-JP), ABO blood groups and haemoglobin type. The heamoglobin electrophoresis was determined by routine technique using cellulose acetate paper and tris buffer at pH 8.5. Tile blood grouping was carried out on all specimens. Forty Nigerian adolescent individuals were investigated, twenty of which were diagnosed as having JP while the remaining 20 were diagnosed a having plaque-induced chronic periodontitis (non JP). This latter group was used as the control group. All the JP patients were either of blood group B/AB, rhesus positive while the non-JP subjects had B rhesus positive/negative, O rhesus positive/negative or AB rhesus positive. The differences between the results of the test and the control groups were statistically significant P &lt; 0.05. All the forty subjects (JP and non-JP) had the haemoglobin type A and none of them exhibited the S and C haemoglobin types. There is a need to further investigate the relationship between juvenile periodontitis, ABO blood group and the common haemoglobin types (A, AS, S, C, and SS) at molecular level.",M1
12366854,"Three case reports of aggressive periodontitis associated with Porphyromonas gingivalis in younger patients.The terms 'early onset periodontitis' (EOP) and 'juvenile periodontitis' (<e>JP</e>) were replaced by that of 'aggressive periodontitis' in a recent international workshop for the classification of periodontal diseases and conditions. The chief etiologic agent for aggressive periodontitis is considered to be Actinobacillus actinomycetemcomitans in localized juvenile periodontitis. Porphyromonas gingivalis is also mentioned as the etiologic agent of the aggressive periodontitis, although to date its role remains questionable. This communication describes three cases of aggressive periodontitis found to be associated with P. gingivalis but not A. actinomycetemcomitans by polymerase chain reaction (PCR) and enzyme-linked immunosorbent assay (ELISA). Our findings clarify the role of P. gingivalis as an etiologic agent in this type of periodontitis and confirm its inclusion in the current definition of aggressive periodontitis.",M1
12211498,"Eikenella corrodens in subgingival plaque: relationship to age and periodontal condition.BACKGROUND: The purpose of this study was to determine the prevalence and distribution of Eikenella corrodens (E. corrodens) in subgingival plaque in different age and periodontitis groups and to examine whether its presence is related to periodontal diseases. METHODS: A total of 273 subgingival plaque samples from 213 periodontitis patients and 60 healthy subjects were assessed. Smears from each plaque sample were made and E. corrodens was detected by means of indirect immunofluorescent technique. Mean percentage of E. corrodens per total bacteria (distribution) was calculated in each sample. The prevalence (% of positive samples) and distribution of E. corrodens were statistically analyzed based on age or diagnosis by means of Fisher's exact test and analysis of variance (ANOVA). RESULTS: Prevalence of E. corrodens decreased by age in the healthy control group; however, prevalence did not change in periodontitis groups. Distribution of E. corrodens was highest in juvenile periodontitis (<e>JP</e>) (2.3 +/- 1.5%) followed by post-JP (1.7 +/- 2.1%), prepubertal periodontitis (1.4 +/- 1.1%), rapidly progressive periodontitis (0.8 +/- 0.7%), adult periodontitis (0.7 +/- 0.6%), and healthy subjects (0.3 +/- 0.3%) (ANOVA, P&lt;0.0001). The &lt;20-year-old age group with periodontitis showed the highest distribution of E. corrodens (2.2 +/- 1.6%) compared to the older age groups who were either healthy or had periodontitis (ANOVA, P&lt;0.0001). CONCLUSIONS: Since the distribution of E. corrodens is significantly higher in JP, post-JP, and PP, E. corrodens might play an important role in the occurrence or progression of periodontitis in young patients.",M1
10914802,"Human herpesviruses and Porphyromonas gingivalis are associated with juvenile periodontitis.BACKGROUND: Although herpesviruses have been associated with adult periodontitis, their relationship with juvenile periodontitis (<e>JP</e>) has not been established. This case-control study examined possible associations between JP and pathogenic bacteria, the human cytomegalovirus (HCMV), and the Epstein-Barr type 1 virus (EBV-1). METHODS: Subjects were participants in a larger survey of schoolchildren in North-Central Jamaica. Subgingival plaque samples from 15 subjects with JP, 20 with incipient periodontitis (IP), and 65 randomly-selected healthy controls were assayed for Porphyromonas gingivalis and Actinobacillus actinomycetemcomitans using a 16S rRNA polymerase chain reaction (PCR) identification method, and for HCMV and EBV-1 using nested PCR identification. RESULTS: Strong bivariate associations were found between JP and P. gingivalis (odds ratio [OR] = 12.7; 95% CI = 2.6, 61.4), HCMV (OR = 10.0; 95% CI = 2.7, 36.3), and A. actinomycetemcomitans (OR = 8.0; 95% CI = 2.3, 27.5), but not EBV-1. In multivariate analyses, P. gingivalis remained a significant explanatory variable (OR = 7.8; 95% CI = 1.5, 40.9); however, the associations were marginal for HCMV (OR = 4.6; 95% CI = 0.9, 22.7), and non-significant for A. actinomycetemcomitans (OR = 2.0; 95% CI = 0.4, 9.7). The associations with JP and the extent of attachment loss were even stronger when both P. gingivalis and HCMV were detected together. P. gingivalis (OR = 3.9; 95% CI = 1.3, 12.0) and EBV-1 (OR = 3.3; 95% CI = 1.0, 10.3) were the only significant explanatory variables in the multivariate analysis of IP. CONCLUSIONS: P. gingivalis is the strongest and most stable indicator of periodontitis in Jamaican adolescents. Co-infection with P. gingivalis and HCMV appears to be particularly deleterious to periodontal health.",M1
10872950,"Proximal caries in juvenile periodontitis patients.BACKGROUND: Caries is recognized as the prevalent proximal dental disease in adolescents, while proximal bone loss is minimal to non-existent in this population. Adolescents demonstrating an inverse disease pattern, i.e., minimal caries and active periodontitis, could provide powerful clues with regard to both diseases. However, data are inconsistent. This study was designed to clarify this relationship by comparing proximal caries prevalence in a juvenile periodontitis (<e>JP</e>) group to a matched non-periodontally diseased control group. METHODS: Two groups (cases [JPs] and control patients [CPs]) were matched for age, sex, and race and evaluated for decayed, missing, filled teeth and surfaces (DMFS) by radiographic analysis. Statistical analysis was performed by ANOVA and Student t test. The study consisted of four phases. Phase I was based on data from a previous study that failed to include race in the analysis. Thus, the original 23 JP patients (mostly African-Americans from New York City) were rematched for race as well as sex and age with CPs from Newark, NJ. The effect of water fluoridation (found in NYC) was evaluated in Phase II by matching the 23 original CPs (mostly Caucasian from NYC) with 23 CPs from NJ. Since differences were seen, we rematched our original JPs from NYC with a new set of race-matched CPs from NYC (Phase III). Finally, 13 JP patients from the University of Medicine and Dentistry of New Jersey (UMDNJ) were matched with CPs from NJ (Phase IV). RESULTS: Phase I and III indicated that JP patients had significantly less proximal caries than their matched CPs (P &lt; or =0.05). Phase II confirmed the role of fluoride in caries reduction. Phase IV (NJ sample) supported our previous data and suggested that JP patients had less proximal caries than CPs (P &lt; or =0.05). CONCLUSIONS: JP patients had significantly less proximal caries than their matched CPs when groups were balanced and radiographic evaluations were performed. In-depth studies of JP patients could provide important clues about both caries and periodontal disease etiology and pathogenesis.",M1
9844265,"[Periodontitis--a ubiquitous illness]In recent years, periodontitis has been receiving increasing attention, since it not only impairs the general state of health (loss of the teeth), but also appears to have a relationship with cardiovascular and cerebrovascular illnesses (thrombocyte aggregation, insult). Periodontitis is a very frequent, chronic recurrent, unspecific bacterial inflammation of the periodontium that arises in accumulated plaques on the teeth at the gingiva. It leads to an irreversible destruction of soft tissue followed by loss of bony substance. Three types of periodontitis can be distinguished: 1. adult periodontitis (AP), 2. rapidly progressive periodontitis (RPP) and juvenile periodontitis (<e>JP</e>). Periodontitis appears to have a genetic component. Additional risk factors include juvenile diabetes mellitus and smoking. The diagnosis, prevention and treatment are discussed. The basis for prevention and treatment is individual hygiene and professional dental care.",M1
9722720,"Early-onset periodontitis associated with Down's syndrome--clinical interventional study.Individuals with Down's syndrome (DS) have an increased prevalence of periodontal disease compared with otherwise normal, age-matched control groups and other mentally handicapped patients of similar age distribution. The exaggerated immune-inflammatory response of the tissues cannot be explained by poor oral hygiene alone and might be the result of an impaired cell-mediated and humoral immunity and a deficient phagocytic system. As far as the progression and severity of destruction, the oral manifestations of DS patients are consistent with the juvenile periodontitis (<e>JP</e>) disease pattern. The purpose of the present study was 1) to assess the periodontal clinical and microbiological status of 10 DS patients aged 20 to 31 years (mean: 26.3 years) relative to that of 11 patients with cerebral palsy (CP) aged 23 to 53 years (mean: 36 years) without defective immunological functions, and 2) to determine the effect of supragingival plaque control and oral hygiene instruction in these patient groups. Subsequent to the initial examination and a professional tooth cleaning program, clinical and microbiological parameters were monitored over a period of 12 weeks. The clinical examination included the recording of plaque index (P1), gingival index (GI), probing depth (PD), and clinical attachment level (CAL). Subgingival plaque samples were always obtained from the same pocket with the highest disease activity (deepest bleeding site at baseline examination) in each subject for a morphotype analysis by dark field microscopy and for identification and quantitation of Actinobacillus actinomycetemcomitans, Porphyromonas gingivalis, Prevotella intermedia, Eikenella corrodens, Bacteroides forsythus, Fusobacterium nucleatum, Treponema denticola, and Campylobacter rectus by DNA probes. The results of the baseline examinations demonstrated that DS patients and patients with cerebral palsy had inflamed gingiva associated with a high amount of plaque. The mean probing depth and percentage of sites with probing depth&gt; 4 mm corresponded to age and poor oral hygiene in CP patients. Deep pockets in DS patients demonstrated a high prevalence of periodontal disease compared with age-matched children with mental retardation and non-handicapped patients. Regarding the young age of onset, the severe destruction of periodontal tissues and pathogenesis of periodontitis in DS patients are consistent with the juvenile periodontitis disease pattern. The missing clinical benefit and alteration of the subgingival flora following supragingival plaque control in DS patients underlined the alteration in the immunological response.",M1
9210094,"Evidence of an association between functional abnormalities and defective diacylglycerol kinase activity in peripheral blood neutrophils from patients with localized juvenile periodontitis.Peripheral neutrophils from patients with localized juvenile periodontitis (LJP) show functional abnormalities, such as impaired locomotion and enhanced respiratory burst activity. A defect in intracellular signalling mechanism has been proposed to be responsible for some changes, but direct evidence is lacking. In this study we have determined the activity of diacylglycerol (DAG) kinase, an enzyme controlling the DAG/protein kinase C (PKC) pathway, in crude cytosolic and membrane fractions of neutrophils from 5L <e>JP</e> patients and age and gender-matched normal individuals. No difference was observed in the DAG kinase activity in subcellular fractions from unstimulated cells between the 2 groups. When normal neutrophils were stimulated with N formyl-methionyl-leucyl-phenylalanine (FMLP), the enzyme activity was markedly increased in both subcellular fractions. In contrast, neutrophils from 3 of the 5 LJP patients tested completely failed to rise the DAG kinase activity upon chemoattractant stimulation. These data indicate that in some LJP patients the neutrophil DAG kinase may be defective. To examine whether a decrease in DAG kinase activity could account for some neutrophil abnormalities seen in LJP, normal neutrophils were treated with R59022, a DAG kinase inhibitor, that has been shown to reduce DAG kinase activity in human neutrophils. Upon stimulation with FMLP, R59022-treated normal neutrophils showed significantly reduced chemotactic response and enhanced respiratory burst activity, two typical functional abnormalities featured by LJP cells. It is concluded that a defect in DAG kinase may cause, through an abnormal accumulation of the endogenous PKC activator DAG some of the functional changes observed in neutrophils from LJP patients.",M1
