@RELATION C0022864_C0043227

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20504083,"Continuous monitoring of fetal scalp temperature in <e>labor</e>: a new technology validated in a fetal lamb model.OBJECTIVE: To evaluate a new technical equipment for continuous recording of human fetal scalp temperature in labor. DESIGN: Experimental animal study. METHODS: Two temperature sensors were placed subcutaneously and intracranially on the forehead of 10 fetal lambs and connected to a temperature monitoring system. The system records temperatures simultaneously on-line and stores data to be analyzed off-line. Throughout the experiment, the fetus was oxygenated via the umbilical cord circulation. Asphyxia was induced by intermittent cord compression, as assessed by pH in jugular vein blood. The intracranial (ICT) and subcutaneous (SCT) temperatures were compared with simple and polynomial regression analyses. MAIN OUTCOME MEASURES: Absolute and delta ICT and SCT changes. RESULTS: ICT and SCT were both successfully recorded in all 10 cases. With increasing acidosis, the temperatures decreased. The correlation coefficient between ICT and SCT had a range of 0.76-0.97 (median 0.88) by simple linear regression and 0.80-0.99 (median 0.89) by second grade polynomial regression. After an initial system stabilization period of 10 minutes, the delta temperature values (ICT minus SCT) were less than 1.5 degrees C throughout the experiment in all but one case. CONCLUSIONS: The fetal forehead SCT mirrored the ICT closely, with the ICT being higher.",M1
20502292,"Rapid polymerase chain reaction assay to detect herpes simplex virus in the genital tract of women in <e>labor</e>.OBJECTIVE: To develop a rapid quantitative real-time polymerase chain reaction (PCR) to detect herpes simplex virus (HSV) in the genital secretions of women that may be used in labor. METHODS: Samples of genital secretions from women in labor, swabs of active genital lesions, and swabs of buffer solution were analyzed using a newly developed rapid HSV PCR assay to detect HSV glycoprotein B gene and quantitate virion copy number. A previously validated TaqMan PCR to detect HSV glycoprotein B gene was performed as the comparator gold standard. Positivity determination that optimized sensitivity and specificity was determined with receiver operating characteristic curves. RESULTS: The median time to result for rapid HSV PCR was 2 hours (range 1.5-3.5 hours). A positivity determination rule that required both wells of the rapid test to detect 150 copies or greater of HSV per milliliter maximized specificity (96.7%) without appreciable loss of sensitivity (99.6%). Among positive samples, the correlation between the rapid test and TaqMan for the quantity of HSV isolated was excellent (R=0.96, P&lt;.001). The rapid test had a positive predictive value of 96.7% and a negative predictive value of 99.6% in a population with HSV shedding prevalence of 10.8%, based on the prevalence of genital HSV previously found among HSV-2 seropositive women in labor. CONCLUSION: Rapid HSV PCR provides results with excellent sensitivity and specificity within a timeframe that could inform clinical decision making for identifying neonates at risk of neonatal HSV infection. LEVEL OF EVIDENCE: II.",M1
20486476,"Development and testing of nurses' perceptions of the use of hydrotherapy in <e>labor</e> questionnaire.While effective for labor pain, hydrotherapy is not often used. The purpose of this study was to develop and test an instrument of nurses' perceptions of the barriers to the use of hydrotherapy in labor. Following generation of items and review by content experts, the Nurses' Perceptions of the Use of Hydrotherapy in Labor (NPUHL) questionnaire was administered to 65 intrapartum nurses (phase I) and to 401 nurses (phase II). In phase I, the mean score of the NPUHL was significantly and negatively correlated with the Labor Support Scale (r = -.30, p = .016), indicating that nurses who demonstrated more labor-supportive behaviors also perceived fewer barriers to the use of hydrotherapy in labor. In phase II, exploratory factor analysis revealed five factors: Health Care Environment, Knowledge and Beliefs, Personal Concerns, Effort Required for Hydrotherapy, and Technology. There was a significant negative correlation (r = -.61) between use of hydrotherapy and the total NPUHL score and those of its subscales (r = -.12 to -.61); nurses with access to hydrotherapy tubs perceived fewer barriers to hydrotherapy than nurses without (t = 9.71, df= 387, p &lt; .01). For the revised 30-item NPUHL, Cronbach's alpha was .93, and subscale alphas ranged from .58 to .93. The 30-item NPUHL scale demonstrated evidence of good initial reliability and validity.",M1
20452493,"Human effector/initiator gene sets that regulate myometrial contractility during term and preterm <e>labor</e>.OBJECTIVE: Distinct processes govern transition from quiescence to activation during term (TL) and preterm labor (PTL). We sought gene sets that are responsible for TL and PTL, along with the effector genes that are necessary for labor independent of gestation and underlying trigger. STUDY DESIGN: Expression was analyzed in term and preterm with or without labor (n=6 subjects/group). Gene sets were generated with logic operations. RESULTS: Thirty-four genes were expressed similarly in PTL/TL but were absent from nonlabor samples (effector set); 49 genes were specific to PTL (preterm initiator set), and 174 genes were specific to TL (term initiator set). The gene ontogeny processes that comprise term initiator and effector sets were diverse, although inflammation was represented in 4 of the top 10; inflammation dominated the preterm initiator set. CONCLUSION: TL and PTL differ dramatically in initiator profiles. Although inflammation is part of the term initiator and the effector sets, it is an overwhelming part of PTL that is associated with intraamniotic inflammation.",M1
20452490,"Characterization of the transcriptome of chorioamniotic membranes at the site of rupture in spontaneous <e>labor</e> at term.OBJECTIVE: The purpose of this study was to compare the transcriptome between the site of membrane rupture and the chorioamniotic membranes away from the site of rupture. STUDY DESIGN: The transcriptome of amnion and chorion (n=20 each) from and distal to the site of rupture from women with spontaneous labor and vaginal delivery at term after spontaneous rupture of membranes was profiled with Illumina HumanHT-12 microarrays. Selected genes were validated with the use of quantitative reverse transcription-polymerase chain reaction. RESULTS: Six hundred seventy-seven genes were differentially expressed in the chorion between the rupture and nonrupture sites (false discovery rate&lt;0.1; fold change&gt;1.5). Quantitative reverse transcription-polymerase chain reaction confirmed the differential expression in 10 of 14 genes. Enriched biological processes included anatomic structure development, cell adhesion and signal transduction. Extracellular matrix-receptor interaction was the most impacted signaling pathway. CONCLUSION: The transcriptome of fetal membranes after spontaneous rupture of membranes in term labor is characterized by region- and tissue-specific differential expression of genes that are involved in signature pathways, which include extracellular matrix-receptor interactions.",M1
20437833,"[Progesterone neuroactive metabolites in human pregnancy]OBJECTIVE: Review of the physiological role of neuroactive and neuroprotective steroids in human pregnancy. DESIGN: A review article. SETTING: Gynecological-Obstetrical Clinic, 1st Medical Faculty, Charles University and General Hospital, Prague. CONCLUSION: Human parturition is a multi-factorial process. Various mechanisms related to the onset of <e>labor</e> were suggested. Estrogens show accelerating increase in late pregnancy, which probably reflect the increasing activity of fetal zone of the fetal adrenal. This zone is stimulated by progressive increase of placental CRH resulting in excessive production of conjugated 3beta-hydroxy-5-en-steroids, which are transported by circulation to placenta and further metabolized to active hormones. Some progesterone metabolites probably participate in pregnancy sustaining via modulation of ligand-gated ion channels in the CNS and periphery. In this review, the question was addressed whether the catabolism of pregnancy sustaining progesterone metabolites accelerate like the estrogen formation.",M1
20426604,"Comparison between massage and music therapies to relieve the severity of <e>labor</e> pain.BACKGROUND: During labor, women experience a high level of intense, stressful and steady pain that may negatively affect both mothers and neonates. Painkillers have previously been used for childbearing women, but nowadays, owing to some well-known limitations and serious side effects, nonpharmacologic methods such as massage and music therapies are being broadly recommended. The present clinical trial was conducted to compare the effects of massage and music therapies on the severity of labor pain in the Ilam province of western Iran. MATERIALS &amp; METHODS: Overall, 101 primigravidae who were hospitalized for vaginal delivery were recruited and randomly stratified into two groups of either massage (n = 51) or music (n = 50) therapies. Pain was measured using the visual analog scale and the two groups were compared in terms of pain severity before and after the interventions. RESULTS: Mothers in the massage therapy group had a lower level of pain compared with those in the music therapy group (p = 0.009). A significant difference was observed between the two groups in terms of pain severity after intervention (p = 0.01). Agonizing, or most severe, labor pain was significantly relieved after massage therapy (p = 0.001). CONCLUSION: Massage therapy was an effective method for reducing and relieving labor pain compared with music therapy and can be clinically recommended as an alternative, safe and affordable method of pain relief where using either pharmacological or nonpharmacological methods are optional.",M1
20423281,"Regulation of progesterone receptor A and B expression in human preterm, term, and postterm placental villi.OBJECTIVE: The progesterone receptor (PR)-A/B ratio in the myometrium is reported to be closely related to <e>labor</e> onset. This might represent a potential target for therapeutic interventions for postterm and preterm deliveries, though the mechanisms currently remain unknown. The aim of this study was to investigate the regulation mechanism of PR-A and B expression in human preterm, term, and postterm placental villi. DESIGN: Experimental study. SETTING: People's Hospital of Jiangsu Province, China. POPULATION: Singleton women of preterm (PRNIL, not in labor, n = 10), term (TNIL, not in labor, n = 10; TIL, in labor, n = 10), and postterm (PONIL, not in labor, n = 10) cesarean deliveries. METHODS: The PR-A/PR-B mRNA and protein ratios were analyzed using real-time reverse transcription-polymerase chain reaction and western blots in villi from preterm, term, postterm groups. PONIL and PRNIL villi were incubated with prostaglandin F(2alpha) (PG) and indomethacin for 72 hours, respectively, and the PR-A/PR-B mRNA and protein ratios and p38 signaling pathway were explored. RESULTS: The PR-A/PR-B ratio was highest in TIL, followed by PRNIL, PONIL and TNIL. Indomethacin significantly up-regulated PR-B expression, thereby decreasing the PR-A/PR-B ratio (p &lt; 0.05). Meanwhile, PG reduced the expression of PR-B and increased PR-A, leading to a significant increase in the PR-A/PR-B ratio (p &lt; 0.05). We also determined that the PR-A/PR-B ratio was mediated through the activation of p38 mitogen-activated protein kinase. CONCLUSION: These results demonstrate that the PR-A/PR-B ratio plays a key role in the mechanisms regulating preterm, term, and postterm deliveries.",M1
20418320,"Additional references on the epidemiology of anesthesia complications in <e>labor</e> and delivery.",M1
20410778,"Multidisciplinary team training in a simulation setting for acute obstetric emergencies: a systematic review.OBJECTIVE: To perform a systematic review of the literature on the effectiveness of multidisciplinary teamwork training in a simulation setting for the reduction of medical adverse outcomes in obstetric emergency situations. DATA SOURCES: We searched Medline, Embase, and the Cochrane Library from inception to June 2009. The search strategy contained medical subject heading terms ( patient care team  and  patient simulation  and  obstetrics  or  gynecology  and  education  or  teaching ) and additional text words ( teamwork,   simulation,   training ). METHODS OF STUDY SELECTION: Studies describing and evaluating teamwork training programs with simulation models for <e>labor</e> ward staff in acute obstetric emergencies were selected. The search revealed 97 articles. TABULATION, INTEGRATION, AND RESULTS: All studies were assessed independently by two reviewers for methodological quality using the quality assessment of diagnostic accuracy studies (QUADAS) criteria. Only eight articles assessed the effect of teamwork training in a simulation setting. Four of them were randomized controlled trials and four were cohort studies. The only study that reported on perinatal outcome showed an improvement in terms of 5-minute Apgar score and hypoxic-ischemic encephalopathy. The seven other studies showed that teamwork training in a simulation setting resulted in improvement of knowledge, practical skills, communication, and team performance in acute obstetric situations. Training in a simulation center did not further improve outcome compared with training in a local hospital. CONCLUSION: Introduction of multidisciplinary teamwork training with integrated acute obstetric training interventions in a simulation setting is potentially effective in the prevention of errors, thus improving patient safety in acute obstetric emergencies. Studies on its effectiveness and cost-effectiveness are needed before team training can be implemented on broad scale.",M1
