@RELATION C0022925_C0006147

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20496862,"Effect of late gestation low protein supply to mink (Mustela vison) dams on reproductive performance and metabolism of dam and offspring.Protein malnutrition in utero that induces permanent changes in metabolism has been investigated intensively in various animals in recent years, but to the best of our knowledge, not yet in the mink, a strict carnivore. In the present study, minks were fed either a low-protein (LP) diet, i.e., with a protein:fat:carbohydrate ratio of 14:51:35% of metabolisable energy (ME), or an adequate-protein diet (AP), i.e. 29:56:15% of ME, from when implantation was completed until parturition (17.9 +/- 3.6 days). Respiration and balance experiments were performed during both gestation and <e>lactation</e>. Plasma concentrations of leptin, IGF-1, and insulin were determined by radioimmunoassay; the relative abundances of glucose-6-phosphatase (G-6-Pase), fructose-1,6-bisphosphatase (Fru-1,6-P2ase), phosphoenol-pyruvate carboxykinase (PEPCK), and pyruvate kinase (PKM2) were determined in liver, and abundances of adiponectin and leptin in adipose tissue were determined by real-time quantitative PCR (q PCR). The protein supply only affected quantitative metabolism traits during the period of differentiated feeding. The dietary composition was reflected in the nitrogen metabolism and substrate oxidation, but no effects remained during lactation. The LP dams tended to have a smaller liver mass in relation to body weight than did AP dams (2.5% vs. 2.9%; p = 0.09), significantly less leptin mRNA (p &lt; 0.05), and 30.6% fewer kits per mated female (p = 0.03). Furthermore, F1-generation kits exposed to protein restriction during foetal life (FLP1; 10.3 g) had a lower birth weight (p = 0.004) than did F1-generation kits exposed to adequate protein (FAP1; 11.3 g). Differences remained significant until 21 days of age (120.4 g vs. 127.6 g; p = 0.005). The FLP1 foetuses displayed a lower abundance of Fru-1,6-P2ase mRNA (p = 0.007) and of PKM2 mRNA (p = 0.002) than did FAP1 foetuses. Whether these changes during foetal life cause permanent changes in the glucose homeostasis of the offspring and result in the transmission of epigenetic phenotypic changes, as seen in the rat, needs further investigation.",M1
20460516,"Transforming growth factor-beta regulator SnoN modulates mammary gland branching morphogenesis, postlactational involution, and mammary tumorigenesis.SnoN is an important negative regulator of transforming growth factor-beta (TGF-beta) signaling that was originally identified as a transforming oncogene in chicken embryonic fibroblasts. Both pro-oncogenic and antioncogenic activities of SnoN have been reported, but its function in normal epithelial cells has not been defined. In the mouse mammary gland, SnoN is expressed at relatively low levels, but it is transiently upregulated at late gestation before being downregulated during <e>lactation</e> and early involution. To assess the effects of elevated levels of SnoN, we generated transgenic mice expressing a SnoN fragment under the control of the mouse mammary tumor virus promoter. In this model system, SnoN elevation increased side-branching and lobular-alveolar proliferation in virgin glands, while accelerating involution in postlactation glands. Increased proliferation stimulated by SnoN was insufficient to induce mammary tumorigenesis. In contrast, elevated levels of SnoN cooperated with polyoma middle T antigen to accelerate the formation of aggressive multifocal adenocarcinomas and to increase the formation of pulmonary metastases. Our studies define functions of SnoN in mammary epithelial cell proliferation and involution, and provide the first in vivo evidence of a pro-oncogenic role for SnoN in mammalian tumorigenesis.",M1
20453077,"Neonatal nicotine exposure causes insulin and leptin resistance and inhibits hypothalamic leptin signaling in adult rat offspring.Maternal nicotine (NIC) exposure during <e>lactation</e> leads to overweight, hyperleptinemia, and hypothyroidism in adult rat offspring. In this model, we analyzed adipocyte morphology, glucose homeostasis (serum insulin and adiponectin; liver and muscle glycogen), serum lipid, and the leptin signaling pathway. After birth, osmotic minipumps were implanted in lactating rats, which were divided into the groups NIC (6 mg/kg per day s.c. for 14 days) and control (C, saline). NIC and C offspring were killed at the age of 180 days. Adult NIC rats showed higher total body fat (+10%, P&lt;0.05), visceral fat mass (+12%, P&lt;0.05), and cross-sectional area of adipocytes (epididymal: +12% and inguinal: +43%, P&lt;0.05). Serum lipid profile showed no alteration except for apolipoprotein AI, which was lower. We detected a lower adiponectin:fat mass ratio (-24%, P&lt;0.05) and higher insulinemia (+56%, P&lt;0.05), insulin resistance index (+43%, P&lt;0.05), leptinemia (+113%, P&lt;0.05), and leptin:adiponectin ratio (+98%, P&lt;0.05) in the adult NIC group. These rats presented lower hypothalamic contents of the proteins of the leptin signaling pathway (leptin receptor (OB-R): -61%, janus tyrosine kinase 2: -41%, and p-signal transducer and activator of transcription 3: -56%, P&lt;0.05), but higher suppressor of cytokine signaling 3 (+81%, P&lt;0.05). Therefore, NIC exposure only during lactation programs rats for adipocyte hypertrophy in adult life, as well as for leptin and insulin resistance. Through the effects of NIC, perinatal maternal cigarette smoking may be responsible for the future development of some components of the metabolic syndrome in the offspring.",M1
20449534,"Exposure to flaxseed during <e>lactation</e> does not alter prostate area or epithelium height but changes lipid profile in rats.Flaxseed intake has increased owing to beneficial effects to health and prevention of diseases. Provided that it's an important source of lignan, a phytoestrogen, the present study aimed at evaluating the possible effect of the intake of this seed during lactation upon prostate, sexual hormones and lipidic profile of the offspring in adult life. MATERIAL AND METHODS: 16 female Wistar rats were used. After delivery, they were divided into two different groups to receive one of the following diets during lactation: Control group (CG), with a casein based diet and Flaxseed group (FG), with a flaxseed based diet containing 25% flaxseed. At weaning, male pups received commercial chow until adult life (170 days old), when they were sacrificed. RESULTS: No differences were perceived concerning offspring food intake and body weight at 170 days. There was a reduction in total cholesterol levels (FG = 45.71 +/- 8.96 mg/dL; CG = 63.43 +/- 15.69 mg/dL, p = 0.02) and triglycerides (FG = 54.29 +/- 11.10 mg/dL; CG = 79.86 +/- 25.68 mg/dL, p = 0.03). Also, no alterations were observed in prostatic morphology, testosterone or estradiol levels in the two groups analyzed. CONCLUSION: Flaxseed intake during lactation did not produce histological alterations in prostatic alveolus or in sexual hormones, but programmed to a reduction in lipid profile in adult life with decreased cardiovascular risk.",M1
20445278,"[Secondary osteoporosis UPDATE. Bone metabolic change and osteoporosis during pregnancy and <e>lactation</e>]Calcium transfer from the mother to the infant during pregnancy and lactation plays an extremely important role in the bone health of the mother and neonate. Calcium aids in bone health through all ages but is especially crucial during pregnancy and lactation. Changes in the structure and metabolism of bone during pregnancy and the early stage of postpartum are evaluated by investigating bone mineral density (BMD), bone histomorphometry and bone markers of human or animal models. The bone resorption increased at the end of pregnancy and lactation, and the bone formation increases and the bone structure is almost recovered after cessation of lactating in postpartum. Puerperal BMD remained static over the subsequent 5-10 years. If the women have a low BMD at this stage of their reproductive life, it tends not to improve over this time. Perhaps identification of this at-risk group may lead to effective interventions to reduce fracture risk in later life.",M1
20438505,"Effects of misty-fan cooling and supplemental rbST on rumen function and milk production of crossbred Holstein cattle during early, mid and late <e>lactation</e> in a tropical environment.Two groups of five crossbred 87.5% Holstein cattle were housed in normal shade only (NS) as non-cooled cows and in shaded housing with misty-fan cooling (MF) as cooled cows. The cows were treated with recombinant bovine somatotropin (rbST) in early, mid and late lactation with three consecutive injections of rbST in every 14 days. Ambient temperatures and the temperature humidity index in the NS barn were significantly higher than those of the MF barn, whereas relative humidity in MF was higher than that of NS barn. The DMI of cooled cows were higher than those of non-cooled cows, and cooled cows exhibited more response to rbST treatment. Exogenous rbST significantly increased milk yield throughout lactation. The rbST-treated cows had higher total ruminal fermentation products as volatile fatty acid and ammonia nitrogen than the non-rbST treated cows and associated changes were greater in cooled animals in all stages of lactation. Exogenous rbST increased the concentrations of milk urea nitrogen in both groups. These results suggest that the changes in ruminal fermentation with greater production of total VFA and NH(3)N in response to rbST in crossbred cows whether under misty-fan cooling or not, is in part through an increase in feed intake, thereby making more substrate available to the mammary gland for milk synthesis.",M1
20437475,"Peri- and postnatal rodent development of Hematide, an erythropoiesis-stimulating agent.BACKGROUND: Aperi- and postnatal reproduction toxicity study was conducted in rats treated with Hematide, a synthetic PEGylated peptidic erythropoiesis stimulating agent (ESA). METHODS: Hematide, at IV doses of 0, 0.5, 3, and 15 mg/kg, was administered from implantation through <e>lactation</e> on gestation days (GDs) 5 and 18 and lactation day (LD) 13. RESULTS: Hematide induced pronounced polycythemia in all Hematide-treated dams. On LDs 2 and 21, hemoglobin (Hgb) increases above control levels were 3.1, 5.2, and 5.0 g/dL and 4.1, 5.1, and 5.5 g/dL at the 0.5, 3, and 15 mg/kg/dose, respectively. There were no effects on parturition, lactation, or maternal behavior in the F0 generation female rats. A slight decrease in pup viability on postpartum days 2-4 and lower body weights and/or body weight gain for the F1 generation were associated with pronounced polycythemia and decreases in maternal body weight gain and/or food consumption at &gt; or =3 mg/kg/dose. Hematide fetal exposure was negligible. No Hematide effect, other than on growth and survival, was noted on developmental, functional, mating, and fertility end points in the F1 generation rats, and no effect on litter or fetal parameters was observed in the F2 generation. The maternal no-observed-adverse-effect level (NOAEL) for Hematide was 0.5 mg/kg, and the NOAEL for parturition and maternal behavior was 15 mg/kg. The NOAEL for F1 pup viability and growth was 0.5 mg/kg/dose. CONCLUSIONS: In conclusion, the Hematide-associated adverse findings were attributed to exaggerated erythropoiesis (pronounced and prolonged polycythemia) resulting from administration of an ESA to pregnant animals.",M1
20432709,"[Physical state of mother at the period of pregnancy and sexual maturation of descendants-sons of the water vole (Arvicola terrestris L.)]The role of characteristics of the maternal medium (the mother's physical state at periods of pregnancy and <e>lactation</e>, calendar terms of birth, the number of pups, and the ratio of sexes in the litter) has been elucidated in regulation of growth and the sexual maturation of the water vole male pups. The anogenital distance was used as an indirect supravital evaluation of the mass of testicles. The physical state of females was estimated by a change of the body mass at the period of pregnancy or lactation with aid of parameters characterizing deviation of the female body mass after the end of each reproductive cycle stage from the calculated value found from the empirical regression equation. Sons of the females whose body mass increment for the period of pregnancy exceeded the expected value or was equal to it were growing faster. Results of regression analysis have shown that the the anogenital distance in the 19-week old males is dependent statistically significantly only on the physical state of the mother at the period of their embryonic development.",M1
20413720,"ABCG5/ABCG8-independent biliary cholesterol excretion in lactating rats.<e>Lactation</e> is associated with increased expression of bile acid transporters and an increased size and hydrophobicity of the bile acid pool in rats. ATP-binding cassette (ABC) transporters multidrug resistance protein 2 (Mdr2), Abcb11 [bile salt export pump (Bsep)], and Abcg5/Abcg8 heterodimers are essential for the biliary secretion of phospholipids, bile acids, and cholesterol, respectively. We investigated the expression of these transporters and secretion of their substrates in female control and lactating Sprague Dawley rats and C57BL/6 mice. Expression of Abcg5/Abcg8 mRNA was decreased by 97 and 60% by midlactation in rats and mice, respectively; protein levels of Abcg8 were below detection limits in lactating rats. Mdr2 mRNA expression was decreased in lactating rats and mice by 47 and 59%, respectively. Despite these changes in transporter expression, basal concentrations of cholesterol and phospholipid in bile were unchanged in rats and mice, whereas increased Bsep mRNA expression in early lactation coincided with an increased basal biliary bile acid concentration in lactating mice. Following taurocholate infusion, coupling of phospholipid and taurocholate secretion in bile of lactating mice was significantly impaired relative to control mice, with no significant changes in maximal secretion of cholesterol or bile acids. In rats, taurocholate infusion revealed a significantly impaired coupling of cholesterol to taurocholate secretion in bile in lactating vs. control animals. These data reveal marked utilization of an Abcg5/Abcg8-independent mechanism for basal biliary cholesterol secretion in rats during lactation, but a dependence on Abcg5/g8 for maximal biliary cholesterol secretion.",M1
20402701,"Effects of increasing days of exposure to prepartum diets on the concentration of certain blood metabolites in dairy cows.OBJECTIVE: To evaluate the effect of the number of days exposure to a prepartum transition diet on mineral, energy and protein metabolism in dairy cows. DESIGN: A prospective cohort study. PROCEDURES: The prepartum transition diet consisted of ryegrass pasture, cereal hay, grain, grain by-product, protein meals, BioChlor, rumen modifiers, minerals and vitamins and contained 13.9% crude protein, 10.0 MJ metabolisable energy/kg and a dietary cation anion difference of -35 meq/kg dry matter. Forty cows were bled bi-weekly from their introduction to the prepartum transition diet until day 35 of <e>lactation</e>. Blood samples were submitted for estimation of a range of metabolites. Cubic smoothed splines were fitted to scatterplots of metabolite concentration as a function of day relative to calving and the area under the curve (AUC) was calculated. Linear regression modelling determined the effect of days exposed, age, body condition score (BSC) and calving day on AUC. Results The prepartum AUC of blood phosphorus and beta-hydroxybutyrate increased and the AUC of blood calcium and cholesterol decreased with increasing days exposed to the diet. The postpartum AUC of beta-hydroxybutyrate and non-esterified fatty acids decreased with increasing days exposed but increased with days exposed x age and days exposed x BCS, respectively. The AUC of other metabolites did not vary significantly with number of days exposed. Conclusions Increasing exposure to the prepartum diet significantly altered the AUC of blood metabolites associated with mineral, energy and protein metabolism in ways consistent with improvements in production and reproduction previously reported and the result suggests links between energy, protein and skeletal metabolism.",M1
