@RELATION C0033348_C0023008

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20204875,"Genome-wide mapping of protein-DNA interaction by chromatin immunoprecipitation and DNA microarray hybridization (ChIP-chip). Part B: ChIP-chip data analysis.Genome-wide targets of chromatin-associated factors can be identified by a combination of chromatin-immunoprecipitation and oligonucleotide microarray hybridization. Genome-wide mircoarray data analysis represents a major challenge for the experimental biologist. This chapter introduces ChIPR, a package written in the R statistical programming <e>language</e> that facilitates the analysis of two-color microarrays from Roche-Nimblegen. The workflow of ChIPR is illustrated with sample data from Arabidopsis thaliana. However, ChIPR supports ChIP-chip data preprocessing, target identification, and cross-annotation of any species for which genome annotation data is available in GFF format. This chapter describes how to use ChIPR as a software tool without the requirement for programming skills in the R language.",M1
20199681,"Web GIS in practice VIII: HTML5 and the canvas element for interactive online mapping.HTML5 is being developed as the next major revision of HTML (Hypertext Markup <e>Language</e>), the core markup language of the World Wide Web. It aims at reducing the need for proprietary, plug-in-based rich Internet application (RIA) technologies such as Adobe Flash. The canvas element is part of HTML5 and is used to draw graphics using scripting (e.g., JavaScript). This paper introduces Cartagen, an open-source, vector-based, client-side framework for rendering plug-in-free, offline-capable, interactive maps in native HTML5 on a wide range of Web browsers and mobile phones. Cartagen was developed at MIT Media Lab's Design Ecology group. Potential applications of the technology as an enabler for participatory online mapping include mapping real-time air pollution, citizen reporting, and disaster response, among many other possibilities.",M1
20160294,"PyParse: a semiautomated system for scoring spoken recall data.Studies of human memory often generate data on the sequence and timing of recalled items, but scoring such data using conventional methods is difficult or impossible. We describe a Python-based semiautomated system that greatly simplifies this task. This software, called PyParse, can easily be used in conjunction with many common experiment authoring systems. Scored data is output in a simple ASCII format and can be accessed with the programming <e>language</e> of choice, allowing for the identification of features such as correct responses, prior-list intrusions, extra-list intrusions, and repetitions.",M1
20127693,"jmzML, an open-source Java API for mzML, the PSI standard for MS data.We here present jmzML, a Java API for the Proteomics Standards Initiative mzML data standard. Based on the Java Architecture for XML Binding and XPath-based XML indexer random-access XML parser, jmzML can handle arbitrarily large files in minimal memory, allowing easy and efficient processing of mzML files using the Java programming <e>language</e>. jmzML also automatically resolves internal XML references on-the-fly. The library (which includes a viewer) can be downloaded from http://jmzml.googlecode.com.",M1
19969503,"Genomic Sequence Variation Markup <e>Language</e> (GSVML).OBJECTIVE: With the aim of making good use of internationally accumulated genomic sequence variation data, which is increasing rapidly due to the explosive amount of genomic research at present, the development of an interoperable data exchange format and its international standardization are necessary. Genomic Sequence Variation Markup Language (GSVML) will focus on genomic sequence variation data and human health applications, such as gene based medicine or pharmacogenomics. DESIGN AND METHOD: We developed GSVML through eight steps, based on case analysis and domain investigations. By focusing on the design scope to human health applications and genomic sequence variation, we attempted to eliminate ambiguity and to ensure practicability. We intended to satisfy the requirements derived from the use case analysis of human-based clinical genomic applications. Based on database investigations, we attempted to minimize the redundancy of the data format, while maximizing the data covering range. We also attempted to ensure communication and interface ability with other Markup Languages, for exchange of omics data among various omics researchers or facilities. The interface ability with developing clinical standards, such as the Health Level Seven Genotype Information model, was analyzed. RESULTS: We developed the human health-oriented GSVML comprising variation data, direct annotation, and indirect annotation categories; the variation data category is required, while the direct and indirect annotation categories are optional. The annotation categories contain omics and clinical information, and have internal relationships. For designing, we examined 6 cases for three criteria as human health application and 15 data elements for three criteria as data formats for genomic sequence variation data exchange. The data format of five international SNP databases and six Markup Languages and the interface ability to the Health Level Seven Genotype Model in terms of 317 items were investigated. CONCLUSION: GSVML was developed as a potential data exchanging format for genomic sequence variation data exchange focusing on human health applications. The international standardization of GSVML is necessary, and is currently underway. GSVML can be applied to enhance the utilization of genomic sequence variation data worldwide by providing a communicable platform between clinical and research applications.",M1
19965179,"LOOS: an extensible platform for the structural analysis of simulations.We have developed LOOS (Lightweight Object-Oriented Structure-analysis library) as an object-oriented library designed to facilitate the rapid development of tools for the structural analysis of simulations. LOOS supports the native file formats of most common simulation packages including AMBER, CHARMM, CNS, Gromacs, NAMD, Tinker, and X-PLOR. Encapsulation and polymorphism are used to simultaneously provide a stable interface to the programmer and make LOOS easily extensible. A rich atom selection <e>language</e> based on the C expression syntax is included as part of the library. LOOS enables students and casual programmer-scientists to rapidly write their own analytical tools in a compact and expressive manner resembling scripting. LOOS is written in C++ and makes extensive use of the Standard Template Library and Boost, and is freely available under the GNU General Public License (version 3) LOOS has been tested on Linux and MacOS X, but is written to be portable and should work on most Unix-based platforms.",M1
19963814,"SIMENGINE: a low-cost, high-performance platform for embedded biophysical simulations.Numerical simulations of dynamical systems are an obvious application of high-performance computing. Unfortunately, this application is underutilized because many modelers lack the technical expertise and financial resources to leverage high-performance computing hardware. Additionally, few platforms exist that can enable high-performance computing with real-time guarantees for inclusion into embedded systems--a prerequisite for working with medical devices. Here we introduce simEngine, a platform for numerical simulations of dynamical systems that reduces modelers' programming effort, delivers simulation speeds 10-100 times faster than a conventional microprocessor, and targets high-performance hardware suitable for real-time and embedded applications. This platform consists of a high-level mathematical <e>language</e> used to describe the simulation, a compiler/resource scheduler that generates the high-performance implementation of the simulation, and the high-performance hardware target. In this paper we present an overview of the platform, including a network-attached embedded computing device utilizing field-programmable gate arrays (FPGAs) suitable for real-time, high-performance computing. We go on to describe an example model implementation to demonstrate the platform's performance and describe how future development will improve system performance.",M1
19957145,"R classes and methods for SNP array data.The Bioconductor project is an  open source and open development software project for the analysis and comprehension of genomic data  (1), primarily based on the R programming <e>language</e>. Infrastructure packages, such as Biobase, are maintained by Bioconductor core developers and serve several key roles to the broader community of Bioconductor software developers and users. In particular, Biobase introduces an S4 class, the eSet, for high-dimensional assay data. Encapsulating the assay data as well as meta-data on the samples, features, and experiment in the eSet class definition ensures propagation of the relevant sample and feature meta-data throughout an analysis. Extending the eSet class promotes code reuse through inheritance as well as interoperability with other R packages and is less error-prone. Recently proposed class definitions for high-throughput SNP arrays extend the eSet class. This chapter highlights the advantages of adopting and extending Biobase class definitions through a working example of one implementation of classes for the analysis of high-throughput SNP arrays.",M1
19745358,"Representing sensor data using the HL7 CDA personal healthcare monitoring report draft.The recently published implementation guide for personal healthcare monitoring report (PHMR) defines a new format to represent measurements. The aim of the presented prototypical implementation is to check the ability of the defined format to represent health-related sensor data using a commercially available multi-sensor-device's measurements. An extensible stylesheet <e>language</e> (XSL) stylesheet has been developed to transform measured data from the multi-sensor device to a valid PHMR document. The resulting documents are validated and evaluated using standard tools for processing extensible markup language (XML) documents. While there are multiple ways to represent data gathered by multi-sensor devices in standard compliant CDA documents, the PHMR defines constraints based on the implementation guide for continuity of care documents (CCD) to support the development of new templates for sensor data and to minimize the variation between different implementations to enhance semantic interoperability. The PHMR implementation guide helps to define interoperable CDA conforming documents encoding data of health related sensors. In some parts the guide should be more restrictive to improve real-life interoperability.",M1
19698094,"p3d--Python module for structural bioinformatics.ABSTRACT: BACKGROUND: High-throughput bioinformatic analysis tools are needed to mine the large amount of structural data via knowledge based approaches. The development of such tools requires a robust interface to access the structural data in an easy way. For this the Python scripting <e>language</e> is the optimal choice since its philosophy is to write an understandable source code. RESULTS: p3d is an object oriented Python module that adds a simple yet powerful interface to the Python interpreter to process and analyse three dimensional protein structure files (PDB files). p3d's strength arises from the combination of a) very fast spatial access to the structural data due to the implementation of a binary space partitioning (BSP) tree, b) set theory and c) functions that allow to combine a and b and that use human readable language in the search queries rather than complex computer language. All these factors combined facilitate the rapid development of bioinformatic tools that can perform quick and complex analyses of protein structures. CONCLUSION: p3d is the perfect tool to quickly develop tools for structural bioinformatics using the Python scripting language.",M1
