@RELATION C0023078_C0023081

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20524572,"Endoscopic management of airway venous malformations with Nd:YAG laser.Objectives: The neodymium:yttrium-aluminum-garnet (Nd:YAG) laser is a powerful tool in treating venous malformations (VMs) involving the upper airway. If left untreated, <e>laryngeal</e> VMs can lead to life-threatening airway obstruction. We aimed to evaluate the efficacy of endoscopic management of laryngeal VMs with the Nd:YAG laser. Methods: We performed a 12-year retrospective review in a tertiary referral center. Patient records were reviewed for demographics, presenting symptoms, area of involvement, age at first Nd:YAG laser therapy, total number of treatments, time between treatments, and treatment response. Results: Seventeen patients were treated endoscopically with an Nd:YAG laser for laryngeal VMs. The mean age at first treatment was 23.0 years (range, 18 to 45 years). The majority of patients presented with obstructive sleep apnea (58.8%), and 17.5% of patients presented with acute airway obstruction or stridor. The remaining patients presented with minor symptoms, including chronic cough and voice changes. The VMs involved the supraglottis, glottis, or both in 29%, 35%, and 35% of patients, respectively. An average of 4 treatments were required per patient (median, 3.5; range, 1 to 9). The time between treatments increased with each consecutive laser therapy, starting at a mean of 3.8 months between the first and second treatments to 21.7 months between the third and fourth. A marked reduction in VM size and symptom improvement were achieved in each patient after Nd:YAG therapy. Two complications (3%) were encountered among 66 total procedures. Conclusions: Endoscopic management of VMs using an Nd:YAG laser appears to be both effective and relatively safe. Multiple treatments are often required, but increased time can elapse between consecutive therapies. Use of the Nd:YAG laser for laryngeal VMs helps avoid tracheotomy and open surgical resection.",M1
20507244,"Early <e>laryngeal</e> injury and complications because of endotracheal intubation in acutely poisoned patients: a prospective observational study.OBJECTIVE: Tracheal intubation may represent a life-saving supportive measure in many acutely poisoned patients. Although considered as a safe procedure, intubation may rapidly damage laryngeal mucosa. The incidence and nature of short-duration intubation-associated laryngeal injuries are unknown in the population of poisoned patients. METHODS: We designed a prospective clinical investigation to study intubation-related laryngeal complications in poisonings. All consecutive intubated poisoned patients admitted over a 20-month period in our toxicological intensive care unit in a teaching hospital were included in this study. Daily clinical observation and laryngeal fiberscopic evaluation were performed to assess intubation-related laryngeal complications. RESULTS: We included 266 consecutive poisoned patients who had been intubated [116M/150F; age 41 years (31-53); median (25-75% percentiles); simplified acute physiology score II 43 (32-51); intubation time 24 h (13-52)]. Intubation was mainly performed at the scene (69%) and depended on the level of coma (89%). Complications included postextubation laryngeal dyspnea (9%) requiring mandatory reintubation (2%). Laryngoscopy was performed in 209 patients (79%) within 24 h after extubation. Eighty percent of patients presented significant initial laryngeal lesions. Stepwise logistic regression showed that two variables were predictive of injuries: female gender (odds ratio: 2.6; 95% confidence interval: 1.3-5.3) and intubation time &gt; or =72 h (odds ratio: 6.4; confidence interval: 1.5-27.6). Overall, injuries were independent of age, severity of illness, coma level, vital signs, intoxicants, and intubation modalities. The most severe injuries were significantly associated with intubation time (p &lt; 0.001) and simplified acute physiology score II (p = 0.04). Within 24 h following extubation, persistent dysphonia (p &lt; 0.0001), dysphagia (p &lt; 0.0001), or pharyngeal pain (p = 0.02) were predictive of laryngeal injury. CONCLUSIONS: Despite short-duration intubation, poisoned patients are at high risk of initial laryngeal injury.",M1
20493362,"A senescence accelerated mouse model to study aging in the larynx.OBJECTIVE: Age-related changes in the larynx lead to significant voice impairment and reduced quality of life. There is a need for aged animal models that have practical generation times to study the fundamental changes and new therapeutics for the aging voice. The senescence accelerated prone mouse strain (SAMP) animals experience rapid aging without any experimental manipulation. The main objective of this study was to demonstrate the use of senescence accelerated mice to study aging in the larynx. STUDY DESIGN: Murine model. SETTING: Department of Animal Resources, Emory University. SUBJECTS AND METHODS: Larynges from five senescence accelerated prone mice, five normal aging senescence resistant mice, and five C57BL/6 mice were harvested and processed for paraffin sections. Histomorphometry was performed for assessment of collagen and hyaluronic acid distribution. In addition, frozen <e>laryngeal</e> tissue was harvested for transcriptional and translational assessment of collagen-1, using real-time polymerase chain reaction with specific primers and Western blots. Myofibroblast assessment was performed by immunostaining for the presence of alpha-smooth muscle actin. RESULTS: The deposition of collagen increased at six months of age in the SAMP vocal fold, and the level of collagen-1 mRNA increased with age. The myofibroblast protein alpha-smooth muscle actin was also found at a higher concentration in the SAMP vocal tissue. In contrast, the levels of hyaluronic acid in the vocal folds of SAMP mice decreased with age when compared to age-matched C57BL/6 mice. CONCLUSION: SAMP mice show accelerated, age-related changes in the vocal fold that were evident at as early as six months of age. The use of senescence accelerated mice offers promise as a model to study age-related laryngeal changes.",M1
20433023,"Diagnosis and management of type I posterior <e>laryngeal</e> clefts.OBJECTIVES: We review the diagnosis and management of type I posterior laryngeal clefts (PLCs). METHODS: We performed a retrospective study at a tertiary-care children's hospital of children who were diagnosed with a PLC between January 2003 and August 2008. We studied concurrent airway anomalies, comorbidities, presenting symptoms, age at the time of aspiration resolution, and rate of aspiration resolution. RESULTS: Sixty-seven children with PLCs were identified (41 boys and 26 girls). Fifty-nine had type I clefts, 6 had type II, and 2 had type III. Of the 59 type I cases, 15 (25.4%) were surgically repaired by endoscopy. Eleven of these 15 children (73.3%) have had symptomatic improvement since the surgery, and 7 of those 11 (63.6%) are tolerating thin liquids by mouth. Two of the 15 (13.3%) displayed no improvement with surgery, and 2 of the 15 (13.3%) were lost to follow-up. Forty-four of the 59 type I clefts (74.6%) were managed nonsurgically. Twenty of these 44 children (45.5%) did not present with aspiration. Twenty-four of the 44 (54.5%) presented with aspiration, and 16 of the 24 (66.7%) are now tolerating thin liquids by mouth. Seven of these 24 patients (29.2%) are still aspirating, and 1 has died. The average time to resolution of aspiration was 7.8 months for the surgical group and 13.6 months for the nonsurgical group (p = 0.19). In the surgical group, the average age at resolution of aspiration for patients who received their diagnosis at 0 to 6 months of age was 21.5 months; that for those with a diagnosis at 6 to 12 months was 27.3 months; and that for those with a diagnosis at older than 12 months was 27.3 months (p = 0.31). In the nonsurgical group, the average age at resolution of aspiration for patients who received their diagnosis at 0 to 12 months of age was 15.8 months; that for those with a diagnosis at 12 to 24 months was 27.3 months; and that for those with a diagnosis at older than 24 months was 77.3 months (p = 0.0015). CONCLUSIONS: We found that (1) the reported incidence of type I PLCs is increasing; (2) type I PLCs can often present without clinical aspiration; (3) aspiration caused by type I PLCs can be managed medically or surgically; and (4) operative intervention is advantageous for patients who have severe symptoms or who have persistent aspiration after 2 years of age.",M1
20422850,"[Endotracheal tube fire during <e>laryngeal</e> surgery: analysis of the root cause of a sentinel event]Endotracheal tube fire during laryngeal surgery is a rare complication but one that has serious consequences. Surgeons, anesthesiologists and others involved with this type of surgery should become familiar with how to manage this difficult situation, which should be considered a sentinel event requiring prompt analysis of the root cause and surrounding circumstances. Measures to improve management should be implemented and training provided in order to prevent the recurrence of a similar unfortunate event. We report a case in which a patient's airway caught fire during use of an electrocautery device. The patient died as a result of the lesions sustained. We report the results of the investigation and the protocols for prevention and response implemented in our surgical department, in the hope that the experience will be of interest to others working in similar settings.",M1
20422696,"Slow-release nanoparticle-encapsulated delivery system for <e>laryngeal</e> injection.OBJECTIVES/HYPOTHESIS: There is a need for a slow-release system for local delivery of therapeutics to the larynx. Most therapeutic substances, such as steroids or chemotherapeutic agents that are injected into the larynx are cleared rapidly. Repeated laryngeal injection of these substances at short intervals is impractical. Injectable encapsulated poly(lactide-co-glycolide) (PLGA) nanoparticles offer a potential slow-release delivery system for biologically active substances in the larynx. STUDY DESIGN: Controlled animal study. METHODS: PLGA nanoparticles were fabricated using a double emulsion method and were loaded with Texas Red-dextran (NPTR), hepatocyte growth factor (NPHGF), and bovine serum albumin (NPBSA). In vitro release of NPTR, NPBSA, and NPHGF was determined over approximately 2 weeks to assess potential duration of PLGA nanoparticle delivery. In vivo release of NPTR was assessed in a murine vocal fold injection model. The transcriptional effect of NPHGF on procollagen was measured in vitro to assess whether released growth factor retained functionality. RESULTS: In vitro release kinetics demonstrated slow release of NPTR, NPBSA, and NPHGF over 12 to 14 days. In vitro NPTR release correlated with in vivo results. In vivo presence of NPTR occurred up to 7 days compared to 1 day for Texas Red control. In addition, NPHGF ameliorated transforming growth factor-beta induced procollagen in vitro in 3T3 fibroblast cells. CONCLUSIONS: The results demonstrate the potential utility of nanoparticle encapsulation as an effective method for long-term delivery of specific drugs and biologically active substances to the larynx.",M1
20422689,"KAI1 COOH-terminal interacting tetraspanin (KITENIN) expression in early and advanced <e>laryngeal</e> cancer.OBJECTIVES/HYPOTHESIS: To investigate the expression of KAI1 COOH-terminal interacting tetraspanin (KITENIN) in patients with laryngeal cancers and to examine the correlation between its expression and various clinical and pathological variables. STUDY DESIGN: Cross-sectional study with planned data collection. METHODS: Tumor specimens were collected from 32 patients with laryngeal squamous carcinoma (collection of consecutive 32 tumor samples; 14 early stage, 18 advanced stage). Expression of KITENIN in the tissues obtained was determined by Western blot analysis and immunohistochemical staining. The patient characteristics including age, gender, tumor location, histology, stage, tumor extent, lymph node metastasis, and survival were obtained by review of the hospital records. RESULTS: KITENIN expression was significantly increased in laryngeal cancer tissues compared to adjacent normal tissue mucosa, as well as in metastatic lymph nodes compared to nonmetastatic lymph nodes. High KITENIN expression was significantly associated with advanced stage, tumor extent, and lymph node metastasis (P = .016, .016, and .005, respectively). There was no difference in the overall survival and disease-free survival between the low- and high-KITENIN expression groups among patients with laryngeal cancer. CONCLUSIONS: These results suggest that KITENIN expression may be associated with tumor progression in patients with laryngeal cancer. Further studies are needed to determine whether KITENIN expression adds prognostic value to conventional factors, such as the stage and status of metastasis, in a large series with a long period of follow-up.",M1
20403268,"[Tardive endolaryngeal oedema from blunt <e>laryngeal</e> trauma]INTRODUCTION: Mild to moderate blunt laryngeal injuries are frequent. Under the present management regimens patients are hospitalized for 24h observation due to the potential risk of developing endolaryngeal oedema. This group of patients is poorly described in the literature, and the aim of this study was to estimate the incidence of acute and especially tardive endolaryngeal oedema as well as the association between type of injury, symptoms and findings to improve existing evaluation criteria and treatment regimens. MATERIALS AND METHODS: A retrospective analysis of 130 cases exposed to mild to moderate laryngeal injury was performed. The mechanism of injury, symptoms, findings and treatment were registered. RESULTS: Strangulation was the most common type of injury which was seen in 43% of cases, while stranglehold, fall and blow were observed in 29, 14 and 14%, respectively. Dysphagia was reported by 55%, while hoarseness was observed in 17% and stridor in 5%. Fibreoptically, 33% had endolaryngeal pathology. Twenty cases received treatment, 110 were observed. Immediate intubation was performed in 2.3% of the cases. In the observation-group, more patients were exposed to self-inflicted strangulation (p = 0.01). Fall and blow accidents were more frequent in the treatment than in the non-treatment group (p = 0.03). More patients in the treatment group had dyspnoea (p &lt; 0.001), stridor (p = 0.001), hoarseness (p = 0.007) and endolaryngeal pathology (p &lt; 0.001) than in the non-treatment group. CONCLUSIONS: In general, mild to moderate blunt external laryngeal injuries seem rather harmless and should need no further treatment. Nevertheless, any injury against the paediatric larynx and injuries related to fall-accidents or genuine hangings are associated with an increased risk of a respiratory threat. No patients in this study developed tardive laryngeal oedema.",M1
20370039,"Acoustic characteristics of phonation in  wet voice  conditions.A perceptible change in phonation characteristics after a swallow has long been considered evidence that food and/or drink material has entered the <e>laryngeal</e> vestibule and is on the surface of the vocal folds as they vibrate. The current paper investigates the acoustic characteristics of phonation when liquid material is present on the vocal folds, using ex vivo porcine larynges as a model. Consistent with instrumental examinations of swallowing disorders or dysphagia in humans, three liquids of different Varibar viscosity ( thin liquid,   nectar,  and  honey ) were studied at constant volume. The presence of materials on the folds during phonation was generally found to suppress the higher frequency harmonics and generate intermittent additional frequencies in the low and high end of the acoustic spectrum. Perturbation measures showed a higher percentage of jitter and shimmer when liquid material was present on the folds during phonation, but they were unable to differentiate statistically between the three fluid conditions. The finite correlation dimension and positive Lyapunov exponent measures indicated that the presence of materials on the vocal folds excited a chaotic system. Further, these measures were able to reliably differentiate between the baseline and different types of liquid on the vocal folds.",M1
20350072,"Developing a 3D model of the <e>laryngeal</e> cartilages using HRCT data and MIMICS's segmentation software.Discussions relating to the biomechanics of the larynx are still generally controversial. The purpose of this study is to develop a 3D model of the larynx based on high-resolution computer tomography (HRCT) data identifying and visualizing anatomical landmarks and structures of the larynx. We examined four fresh cadaver larynges with HRCT. The DICOM (Digital Imaging and Communication in Medicine) data were post-processed with the software package MIMICS for three-dimensional visualization. All relevant structures of the laryngeal cartilages could be identified on HRCT and visualized in a 3D model. We conclude that 1) HRCT provides excellent data for three-dimensional visualization of the laryngeal anatomy, and 2) the combined technology of HRCT and MIMICS is useful to study the biomechanics on 3D images and for preoperative planning of laryngeal framework surgery.",M1
