@RELATION C1068388_C0752045

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19921592,"Two new dioxin derivatives from the aerial parts of <e>Lawsonia</e> alba.From the aerial parts of Lawsonia alba two new dioxin derivatives, namely 12-[2'-(1', 4'-dioxin-5', 6'-dione)-8''E-undecenyl-dodecanoate and 5-[1'-(docosa-2'E, 5'E-dienyl)]-1,4-dioxin-2,3-dione, were isolated and characterised on the basis of spectroscopic methods.",M1
19560876,"Henna (<e>Lawsonia</e> inermis) might be used to prevent mycotic infection.",M1
19281720,"Allergic contact dermatitis to pure henna.Henna is a naturally occurring brown dye made from the leaves of the tree <e>Lawsonia</e> inermis. The active ingredient of henna is lawsone (2-hydroxy-1, 4-naphthoquinone). It is traditionally used in Islamic and Hindu cultures as a hair coloring and as a dye for decorating the nails or making temporary skin tattoos. Actually, henna has a very low allergic potential. In most cases, allergic reactions not caused by henna, but by the chemical coloring additives that are added to henna mixtures. These additives include agents such as daiminotoluenes and diaminobenzenes. In this article, we report a case of allergic contact dermatitis from pure henna that is also used for the relief of rheumatic pain.",M1
18825553,"Protein glycation inhibitory activities of <e>Lawsonia</e> inermis and its active principles.The protein glycation inhibitory activity of ethanolic extract of Lawsonia inermis (henna) plant tissues was evaluated in vitro using the model system of bovine serum albumin and glucose. Protein oxidation and glycation are posttranslational modifications that are implicated in the pathological development of many age-related disease processes. This study investigated the effects of Lawsonia inermis ethanolic extract and its components, on protein damage induced by a free radical generator in in vitro assay system. We found that alcoholic extract of Lawsonia inermis can effectively protect against protein damage and showed that its action is mainly due to Lawsone. In addition, the presence of gallic acid also plays an important role in the protective activity against protein oxidation and glycation. Two known compounds, namely, Lawsone and gallic acid previously isolated from this plant were subjected to glycation bioassay for the first time. It was found that the alcoholic extract, lawsone (1) and gallic acid (2) showed significant inhibition of Advanced Glycated End Products (AGEs) formation and exhibit 77.95%, 79.10% and 66.98% inhibition at a concentration of 1500 microg/mL, 1000 microg/mL and 1000 microM respectively. Lawsonia inermis, compounds 1 and 2 were found to be glycation inhibitors with IC(50) 82.06 +/- 0.13 microg/mL, 67.42 +/- 1.46 microM and 401.7 +/- 6. 23 microM respectively. This is the first report on the glycation activity of these compounds and alcoholic extract of Lawsonia inermis.",M1
18618473,"Chemical fingerprinting of <e>Lawsonia</e> inermis L. using HPLC, HPTLC and densitometry.INTRODUCTION: Lawsonia inermis L. is a natural red colouring agent, commonly named  Henna , which is used to dye skin and hair. The aim of this study was to evaluate the quality of L. inermis that is commercially available as a raw plant material or preparation in order to guarantee good quality products. OBJECTIVE: To develop a simple protocol for the qualification of different samples labelled as L. inermis by using the HPTLC densitometry method and to identify possible adulterations with other plants. METHODOLOGY: Samples of leaves of L. inermis were extracted with methanol. Two chromatographic methods were developed to determine the chemical fingerprinting of L. inermis. The first was based on HPTLC identification followed by densitometric measurements at 337 nm. The second was based on RP-HPLC separation with gradient elution and photodiode array detection at 337 nm. Samples of Cassia obovata Collad., and Indigofera tinctoria L., were treated in the same way. RESULTS: The simplicity of the sample preparation, and the possibility of analysing several samples of herbal products simultaneously in a short time, make HPTLC the method of choice. The HPTLC method was feasible for the comprehensive quality evaluation of herbal products. From the comparison of their  fingerprint , it was possible to detect substitution of plants that are different from those declared on the label. CONCLUSION: The HPTLC may be used as a rapid method by which to control the quality of raw plant materials and formulations based on the title plant.",M1
18551903,"A short note on JA Scurlock's recent identification of the kmantu-plant with <e>Lawsonia</e> inermis L.",M1
18407319,"Lead exposure from the use of <e>Lawsonia</e> inermis (henna) in temporary paint-on-tattooing and hair dying.This study reports the evaluation of a number of spectroscopic techniques used in identifying and quantifying the presence of lead in twelve commercial and traditional henna samples. The lead levels found in henna were low with concentrations ranging from 2.29 ppm to 65.98 ppm. Henna is used as a traditional cosmetic and remedy in the Middle East, Far East, and North Africa. The very low concentrations of lead measured in these henna samples were reassuring; however, the cumulative effects of prolonged lead exposure may be of concern. Thus, the use of henna especially among children may constitute a public health risk.",M1
17604247,"In vitro hypoglycemic activity of methanolic extract of some indigenous plants.Pakistan is rich in medicinally important plants and has ancient herbal treatment methods. Present work is based on the study of six indigenous plants Eugenia jambolana, <e>Lawsonia</e> inermis, Momordica charantia, Morus alba, Nigella sativa and Trigonella foenum graecum which show the inhibitory effect of glucose utilization, and are in use as hypoglycemic agents of varying degree in traditional system of medicine. The glucose uptake activity of (methanolic extracts) of these plants was tested in vitro and glucose was estimated by glucose oxidase method. The results in three different media revealed that, hypoglycemic activity is more prominent in neutral and basic media as compared to acidic medium.",M1
17533628,"The evidence based wound healing activity of <e>Lawsonia</e> inermis Linn.The ethanol extract of Lawsonia inermis (200 mg/kg/day) was used to evaluate the wound healing activity on rats using excision, incision and dead space wound models. The animals were divided into three groups of six each in the excision model and two groups of six each in the incision model and dead space models. The topical application was made in the case of excision wound model, whereas, oral treatment was done with incision and dead space wound models. The following differences were noted in the group of experimental animals which were treated with an extract of L. inermis when compared with the control and reference standard animals: a high rate of wound contraction (p &lt; 0.001), a decrease in the period of epithelialization (p &lt; 0.001), high skin breaking strength (p &lt; 0.001), a significant increase in the granulation tissue weight (p &lt; 0.001) and hydroxyproline content (p &lt; 0.05). The extract-treated animals showed 71% reduction in the wound area when compared with controls which was 58%. Histological studies of the tissue obtained on day 10 from the extract-treated group showed increased well organized bands of collagen, more fibroblasts and few inflammatory cells when compared with the controls which showed inflammatory cells, scanty collagen fibres and fibroblasts. Enhanced wound contraction, increased skin breaking strength, hydroxyproline and histological findings suggest the use of L. inermis in the management of wound healing.",M1
17442476,"Cytotoxicity of lawsone and cytoprotective activity of antioxidants in catalase mutant Escherichia coli.Lawsone is an active naphthoquinone derivative isolated from henna (<e>Lawsonia</e> inermis L.), a widely used hair dye. Previous study on the toxicity of lawsone remains unclear since the involvement of oxidative stress and the kind of ROS (reactive oxygen species) involved have not been fully resolved yet. This present study reports the cytotoxic effects of lawsone and henna. We carried out CAT assay (a zone of inhibition test of bacterial growth and colony-forming efficiency test of transformant Escherichia coli strains that express mammalian catalase gene derived from normal catalase mice (Cs(a)) and catalase-deficient mutant mice (Cs(b))), Ames mutagenicity assay and H(2)O(2) generation assay. Lawsone generated H(2)O(2) slightly in phosphate buffer system and was not mutagenic in Ames assay using TA 98, TA 100 and TA 102, both in the absence and presence of metabolic activation. Lawsone exposure inhibited the growth of both Cs(a) and Cs(b) strains in a dose-dependent manner. Mean zone diameter for Cs(a) was 9.75+/-0.96 mm and 12.75+/-1.5 mm for Cs(b). Natural henna leaves did not show toxic effects, whereas two out of four samples of marketed henna products were shown toxicity effects. Catalase abolished zone of inhibition (ZOI) of marketed henna products, eliminated ZOI of lawsone in a dose-dependent manner and low concentration of exogenous MnSOD and Cu/ZnSOD eliminated the toxicity. Histidine and DTPA, the metal chelator; BHA and low concentration of capsaicin, the inducer of NADH-quinone reductase, effectively protected Cs(a) and Cs(b) against lawsone in this study. We suggest that lawsone cytotoxicity is probably mediated, at least in part, by the release of O(2)(-), H(2)O(2) and OH(-).",M1
