@RELATION C1548483_C0023281

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20209335,"Comparative evaluation of phenol and thimerosal as preservatives for a candidate vaccine against American cutaneous <e>leishmaniasis</e>.For decades thimerosal has been used as a preservative in the candidate vaccine for cutaneous leishmaniasis, which was developed by Mayrink et al. The use of thimerosal in humans has been banned due to its mercury content. This study addresses the standardization of phenol as a new candidate vaccine preservative. We have found that the proteolytic activity was abolished when the test was conducted using the candidate vaccine added to merthiolate (MtVac) as well as to phenol (PhVac). The Montenegro's skin test conversion rates induced by MtVac and by PhVac was 68.06% and 85.9%, respectively, and these values were statistically significant (p &lt; 0.05). The proliferative response of peripheral mononuclear blood cells shows that the stimulation index of mice immunized with both candidate vaccines was higher than the one in control animals (p &lt; 0.05). The ability of the candidate vaccines to induce protection in C57BL/10 mice against a challenge with infective Leishmania amazonensis promastigotes was tested and the mice immunized with PhVac developed smaller lesions than the mice immunized with MtVac. Electrophoresis of phenol-preserved antigen revealed a number of proteins, which were better preserved in PhVac. These results do in fact encourage the use of phenol for preserving the immunogenic and biochemical properties of the candidate vaccine for cutaneous leishmaniasis.",M1
20206667,"Treatment of canine visceral <e>leishmaniasis</e> by the vaccine Leish-111f+MPL-SE.Immunotherapy of canine visceral leishmaniasis (CVL) may provide an alternative to both marginally effective chemotherapy and undesired euthanasia of infected dogs and could have a great impact not only on animal welfare, but also on control of human disease. Therefore, we examined the potential immunotherapeutic efficacy of the subunit vaccine Leish-111f+MPL-SE, which has undergone rigorous preclinical testing and been demonstrated safe in human clinical trials. Two separate trials were performed in Salvador, Brazil, to evaluate the vaccine for therapeutic efficacy against CVL caused by natural infection: an Open Trial and a Blinded Trial. In the Open Trial 59 dogs with clinically active CVL were sequentially allocated to four groups: group 1 received Leish-111f+MPL-SE; group 2 was treated with Glucantime; group 3 received a combination of the vaccine and Glucantime; and group 4 was given no treatment. At the 6-month assessment, the 13 non-treated dogs had either died or showed no clinical improvement. In contrast, most dogs in groups 1-3 showed initial improvement (100%, 80%, and 92%, respectively). Upon evaluation for a mean of 36 months after therapy, the following cure rates were observed: 75% for group 1 dogs (exact 95% confidence interval [CI] 43-95%), 64% for group 2 dogs (exact 95% CI 31-89%), and 50% for group 3 dogs (exact 95% CI 19-81%). Therapeutic efficacy of the Leish-111f+MPL-SE vaccine was reconfirmed in a subsequent Blinded Trial. The vaccine was effective for mild cases of CVL and was compromised in dogs with severe disease. Although further studies are required to understand mechanisms of action, the Leish-111f+MPL-SE vaccine is a promising tool to control VL in both dogs and humans.",M1
20145701,"BALB/c mice vaccinated with Leishmania major ribosomal proteins extracts combined with CpG oligodeoxynucleotides become resistant to disease caused by a secondary parasite challenge.<e>Leishmaniasis</e> is an increasing public health problem and effective vaccines are not currently available. We have previously demonstrated that vaccination with ribosomal proteins extracts administered in combination of CpG oligodeoxynucleotides protects susceptible BALB/c mice against primary Leishmania major infection. Here, we evaluate the long-term immunity to secondary infection conferred by this vaccine. We show that vaccinated and infected BALB/c mice were able to control a secondary Leishmania major challenge, since no inflammation and very low number of parasites were observed in the site of reinfection. In addition, although an increment in the parasite burden was observed in the draining lymph nodes of the primary site of infection we did not detected inflammatory lesions at that site. Resistance against reinfection correlated to a predominant Th1 response against parasite antigens. Thus, cell cultures established from spleens and the draining lymph node of the secondary site of infection produced high levels of parasite specific IFN-gamma in the absence of IL-4 and IL-10 cytokine production. In addition, reinfected mice showed a high IgG2a/IgG1 ratio for anti-Leishmania antibodies. Our results suggest that ribosomal vaccine, which prevents pathology in a primary challenge, in combination with parasite persistence might be effective for long-term maintenance of immunity.",M1
20106998,"In situ immunolocalization and stage-dependent expression of a secretory serine protease in Leishmania donovani and its role as a vaccine candidate.Proteases have been found to play essential roles in many biological processes, including the pathogenesis of <e>leishmaniasis</e>. Most parasites rely on their intracellular and extracellular protease repertoire to invade and multiply in mammalian host cells. However, few studies have addressed serine proteases in Leishmania and their role in host pathogenesis. Here we report the intracellular distribution of a novel L. donovani secretory serine protease in the flagellar pocket, as determined by immunogold labeling. Flow cytometry and confocal immunofluorescence analysis revealed that the expression of the protease diminishes sequentially from virulent to attenuated strains of this species and is also highly associated with the metacyclic stage of L. donovani promastigotes. The level of internalization of parasites treated with the anti-115-kDa antibody into host macrophages was significantly reduced from that of non-antibody-treated parasites, suggesting that this serine protease probably plays a role in the infection process. In vivo studies confirmed that this serine protease is a potential vaccine candidate. Altogether, the 115-kDa serine protease might play vital roles in L. donovani pathogenesis and hence could be recognized as a potential candidate for drug design.",M1
19946351,"Production and characterization of monoclonal antibodies recognizing a common 57-kDa antigen of Leishmania species.BACKGROUND: The therapy of leishmania infection is difficult and each year 1.5 million new cases of cutaneous <e>leishmaniasis</e> and 500,000 new cases of visceral leishmaniasis are estimated, therefore, there is a need for an effective vaccine. Monoclonal antibody (mAb) is one of the suitable methods for isolation and purification of leishmania antigens. In this report, we produced several mAb against leishmania infantum antigens for antigen purification to be used as candidate vaccine. METHODS: BALB/c mice were injected with freeze-thawed promastigote twice together with Freund adjuvant. Three days before fusion, antigen in saline was injected into the tail vain and then mice were killed and the spleen lymphocytes were fused with myeloma SP2/0. RESULTS: Five mAb against promastigote form of Leishmania infantum parasite were obtained. Western-blot analysis showed that these mAb recognize a band of 57- kDa protein either in parasite lysate or on whole L. infantum, L. tropica, L. major and L. donovani. It seems that the 57 kDa-protein is the major surface leishmania antigen (gp63) that is neither stage-specific nor differentially regulated. These mAb do not recognize the recombinant gp63 antigen and seems recognizing only the native form of a gp63 isoform. The IgG1 mAb was purified by affinity column and was used to purify 57 kDa antigens from Leishmania lysate. CONCLUSION: Since these antibodies recognizing one specific protein band in 4 different strains of leishmania, they could be used for leishmania diagnostic kits and also for purification of antigen to be tested for its protective effect against leishmania infection.",M1
19933862,"Ubiquitin conjugation of open reading frame F DNA vaccine leads to enhanced cell-mediated immune response and induces protection against both antimony-susceptible and -resistant strains of Leishmania donovani.Resistance of Leishmania donovani to sodium antimony gluconate has become a critical issue in the current, prolonged epidemic in India. Hence, there is an urgent need for a vaccine that is protective against both antimony-susceptible and -resistant strains of L. donovani. The multigene LD1 locus located on chromosome 35 of Leishmania is amplified in approximately 15% of the isolates examined. The open reading frame F (ORFF), a potential vaccine candidate against visceral <e>leishmaniasis</e>, is part of the multigene LD1 locus. ORFF was expressed as a chimeric conjugate of ubiquitin to elicit an Ag-specific cell-mediated immune response. Analysis of the cellular immune responses of ubiquitin-conjugated ORFF (UBQ-ORFF) DNA-immunized, uninfected BALB/c mice demonstrated that the vaccine induced enhanced IFN-gamma-producing CD4(+) and CD8(+) T cells compared with nonubiquitinated ORFF DNA vaccine. Higher levels of IL-12 and IFN-gamma and the low levels of IL-4 and IL-10 further indicated that the immune responses with UBQ-ORFF were mediated toward the Th1 rather than Th2 type. Infection of immunized mice with either the antimony-susceptible (AG83) or -resistant (GE1F8R) L. donovani strain showed that UBQ-ORFF DNA vaccine induced higher protection when compared with ORFF DNA. UBQ-ORFF DNA-immunized and -infected mice showed a significant increase in IL-12 and IFN-gamma and significant down-regulation of IL-10. High levels of production of nitrite and superoxide, two macrophage-derived oxidants that are critical in controlling Leishmania infection, were observed in protected mice. The feasibility of using ubiquitinated-conjugated ORFF DNA vaccine as a promising immune enhancer for vaccination against both antimony-susceptible and -resistant strains of L. donovani is reported.",M1
19879995,"Safety and immunogenicity of a defined vaccine for the prevention of cutaneous <e>leishmaniasis</e>.Healthy Colombian adult volunteers with no history of leishmaniasis were evaluated for evidence of previous subclinical infection with Leishmania based on the Montenegro skin test (MST). Twelve MST-positive subjects were enrolled in an open-label, uncontrolled clinical trial (the  MST-positive trial ) and received three injections of the LEISH-F1+MPL-SE vaccine (consisting of 10 microg recombinant Leishmania polyprotein LEISH-F1 antigen [TSA+LmSTI1+LeIF]+25 microg MPL-SE adjuvant). Sixty-eight MST-negative subjects were enrolled in a randomized, double-blind, controlled trial (the  MST-negative trial ) and were randomly assigned to receive three injections of either the vaccine (n=34), 10 microg LEISH-F1 protein alone (n=17), or saline placebo (n=17). In both trials, the study injections were given subcutaneously on Days 0, 28, and 56, and subjects were followed for safety and immunological endpoints. The LEISH-F1+MPL-SE vaccine was safe and well tolerated in MST-positive and MST-negative subjects. In both trials, an IFN-gamma response to the LEISH-F1 antigen at Day 84 was observed in more than half of the vaccine recipients. In the MST-negative trial, the IFN-gamma response was significantly more frequent and of greater magnitude in vaccine recipients than in protein-alone or placebo recipients. An IgG antibody response to LEISH-F1 was observed in all vaccine recipients. In both trials, delayed-type hypersensitivity (DTH) to LEISH-F1 was observed in most of the vaccine recipients. In the MST-negative trial, DTH was significantly higher in vaccine than placebo recipients. These clinical trials of the first defined vaccine for leishmaniasis show that the LEISH-F1+MPL-SE vaccine is safe and immunogenic in healthy subjects with and without evidence of previous subclinical infection with Leishmania.",M1
19862713,"[Drug discovery and development of vaccination strategies for the treatment and prevention of cutaneous <e>leishmaniasis</e>]",M1
19818721,"Recombinant Leishmania tarentolae expressing the A2 virulence gene as a novel candidate vaccine against visceral <e>leishmaniasis</e>.Visceral leishmaniasis is the most severe form of leishmaniasis. To date, there is no effective vaccine against this disease. Many antigens have been examined so far as protein- or DNA-based vaccines, but none of them conferred complete long-term protection. The use of live attenuated vaccines has recently emerged as a promising vaccination strategy. In this study, we stably expressed the Leishmania donovani A2 antigen in Leishmania tarentolae, a non-pathogenic member of the genus Leishmania, and evaluated its protective efficacy as a live vaccine against L. infantum challenge. Our results show that a single intraperitoneal administration of the A2-recombinant L. tarentolae strain protects BALB/c mice against L. infantum challenge and that protective immunity is associated with high levels of IFN-gamma production prior and after challenge. This is accompanied by reduced levels of IL-5 production after challenge, leading to a potent Th1 immune response. In contrast, intravenous injection elicited a Th2 type response, characterized by higher levels of IL-5 and high humoral immune response, resulting in a less efficient protection. All together, these results indicate the promise of A2-expressing L. tarentolae as a safe live vaccine against visceral leishmaniasis.",M1
19786136,"Optimized subunit vaccine protects against experimental <e>leishmaniasis</e>.Development of a protective subunit vaccine against Leishmania spp. depends on antigens and adjuvants that induce appropriate immune responses. We evaluated a second generation polyprotein antigen (Leish-110f) in different adjuvant formulations for immunogenicity and protective efficacy against Leishmania spp. challenges. Vaccine-induced protection was associated with antibody and T cell responses to Leish-110f. CD4 T cells were the source of IFN-gamma, TNF, and IL-2 double- and triple-positive populations. This study establishes the immunogenicity and protective efficacy of the improved Leish-110f subunit vaccine antigen adjuvanted with natural (MPL-SE) or synthetic (EM005) Toll-like receptor 4 agonists.",M1
