@RELATION C0024131_C0024141_C0024138

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2, M3}

@DATA
20043060,"Bacillus Calmette-Guérin vaccine- induced <e>lupus</e> vulgaris in a child.Lupus vulgaris (LV) is a rare form of cutaneous mycobacterial infection in children. Most cases follow hematogenous or lymphatic seeding, and more rarely from exposure to bacillus Calmette- Guérin (BCG) vaccine. We report a child that received BCG vaccination and developed LV 2 months later.",M1
19936348,"18F-FDG-PET/CT findings in a patient with tuberculosis Hodgkin's disease and <e>lupus</e> vulgaris.",M1
19928663,"[<e>Lupus</e> vulgaris as a complication of pulmonary tuberculosis--case report]Tuberculosis is a contagious disease induced by Mycobacterium species, acid-fast bacilli. These are mostly human type--Mycobacterium tuberculosis, less often cattle type--mycobacterium bovis or other: mycobacterium avium, kansasii, marinom, scrofulaceum, heamophilium, gordonae. The infection can affect all organs, but pulmonary tuberculosis is the most common form. The importance of tuberculosis is definitely rising in the context of massive population migrations in regions affected by its higher incidence, increased HIV infections and AIDS development. Cutaneous tuberculosis is a particular tuberculosis form with differentiated clinical picture. Non-typicalness of skin changes and oligobacilleous course of extrapulmonary tuberculosis forms are repeatedly causing difficulties in adequate diagnosis and early treatment. In differential diagnostics of cutaneous tuberculosis one must take leishmaniasis, actinomycosis, leprosy, syphilis and deep mycosis (among others) into consideration. The study is presenting a case of lupus vulgaris as a complication of past pulmonary tuberculosis. In bacteriological diagnostics of skin changes bioptates, no tuberculosis mycobacteria were found. The disease was diagnosed based on specific granulation presence in histopathology test, tuberculin hypersensivity, bacilli DNA presence in polymerase chain reaction (PCR) test and skin changes regression after anti-mycobacterium treatment. According to authors of the study, the described case confirms the usefulness of PCR nucleonic acids amplification test in cutaneous tuberculosis diagnosis.",M1
19919809,"<e>Lupus</e> vulgaris occurring in a locus minoris resistentiae.BACKGROUND: The pathogenesis of lupus vulgaris, a form of cutaneous tuberculosis, is not always clear, especially in patients who do not have coexistent extracutaneous tuberculosis and in patients with single lesions. OBJECTIVES: To report a case of lupus vulgaris in a locus minoris resistentiae (a site of reduced resistance) and to use a unique set of clinical circumstances and laboratory tests to reconstruct the pathogenesis of the lesion and the response to treatment. CONCLUSION: Lupus vulgaris can occur in a locus minoris resistentiae; local trauma and possibly other factors, such as increased temperature, topical corticosteroids, and the virulence of the infecting strain, may facilitate the growth of Mycobacterium tuberculosis present at a locus minoris resistentiae as a result of a silent bacillemia.",M1
19805990,"Longstanding <e>lupus</e> vulgaris with basal cell carcinoma.",M1
19456796,"<e>Lupus</e> vulgaris: 30 years of experience from eastern Turkey.",M1
19284455,"Case of <e>lupus</e> vulgaris diagnosed 50 years after onset.Cutaneous tuberculosis is an infrequent form of extrapulmonary tuberculosis, but is a symptom that can lead to diagnosis of tuberculosis. We describe a case of lupus vulgaris in a 79-year-old woman who had a 50-year history of a slowly growing plaque on her right cheek. She visited many hospitals without resolution and the plaque gradually enlarged. Recently, she was misdiagnosed with eczema and prescribed topical steroids that had no effect, and she subsequently visited our outpatient clinic. A diagnosis of lupus vulgaris was made based on histopathology, culture and polymerase chain reaction, and isoniazid, rifampicin and ethambutol were administered as antituberculosis treatment. Although the incidence of cutaneous tuberculosis has decreased significantly in developed countries, knowledge and awareness of the disease are still of importance for proper diagnosis and treatment.",M1
19236428,"Mycobacterium bovis caprae: a rare agent of <e>lupus</e> vulgaris.",M1
19200190,"Atypical forms of <e>lupus</e> vulgaris - a case series.Atypical presentations of cutaneous tuberculosis are not so uncommon and are frequently overlooked in clinical practice, leading to late diagnosis and increased morbidity. We report three cases of lupus vulgaris with atypical presentations. The cases mimicked other chronic skin lesions like actinomycosis, mycetoma, and so on. Strong clinical suspicion, histopathology, and response to antituberculous treatment led to the diagnosis and all three had excellent response to treatment. Today, when tuberculosis threatens to burst into pandemics again, early diagnosis and treatment are more important than ever for control and prevention of morbidity.",M1
19200184,"Cutaneous squamous cell carcinoma developing in <e>lupus</e> vulgaris exfoliativus persistent for 40 years.BACKGROUND: A 65-year-old man is described with a 40-year history of lupus vulgaris exfoliativus, a form of cutaneous tuberculosis that resembles psoriasis. He had been misdiagnosed as having psoriasis vulgaris for many years. A cutaneous squamous cell carcinoma developed within a plaque of lupus vulgaris exfoliativus. METHODS: A skin biopsy provided the correct diagnoses. RESULTS: The patient was successfully treated with medication for tuberculosis and had his skin cancer cured by surgical excision. CONCLUSIONS: With an increasing worldwide incidence of tuberculosis, one needs to be aware of its cutaneous forms and variants, as well as its complications, in particular skin cancer. Lupus vulgaris exfoliativus may resemble psoriasis vulgaris.",M1
19120384,"<e>Lupus</e> vulgaris due to Mycobacterium bovis bacillus Calmette-Guérin (BCG) at the site of previous BCG vaccination.",M1
