@RELATION C0206255_C0024530

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20351286,"A prospective analysis of the Ab response to Plasmodium falciparum before and after a <e>malaria</e> season by protein microarray.Abs are central to malaria immunity, which is only acquired after years of exposure to Plasmodium falciparum (Pf). Despite the enormous worldwide burden of malaria, the targets of protective Abs and the basis of their inefficient acquisition are unknown. Addressing these knowledge gaps could accelerate malaria vaccine development. To this end, we developed a protein microarray containing approximately 23% of the Pf 5,400-protein proteome and used this array to probe plasma from 220 individuals between the ages of 2-10 years and 18-25 years in Mali before and after the 6-month malaria season. Episodes of malaria were detected by passive surveillance over the 8-month study period. Ab reactivity to Pf proteins rose dramatically in children during the malaria season; however, most of this response appeared to be short-lived based on cross-sectional analysis before the malaria season, which revealed only modest incremental increases in Ab reactivity with age. Ab reactivities to 49 Pf proteins measured before the malaria season were significantly higher in 8-10-year-old children who were infected with Pf during the malaria season but did not experience malaria (n = 12) vs. those who experienced malaria (n = 29). This analysis also provided insight into patterns of Ab reactivity against Pf proteins based on the life cycle stage at which proteins are expressed, subcellular location, and other proteomic features. This approach, if validated in larger studies and in other epidemiological settings, could prove to be a useful strategy for better understanding fundamental properties of the human immune response to Pf and for identifying previously undescribed vaccine targets.",M1
20346126,"Engaging diverse communities participating in clinical trials: case examples from across Africa.BACKGROUND: In the advent of increasing international collaborative research involving participants drawn from populations with diverse cultural backgrounds, community engagement becomes very critical for the smooth conduction of the research. The African <e>Malaria</e> Network Trust (AMANET) is a pan-African non-governmental organization that sponsors and technically supports malaria vaccine trials in various African countries. CASE DESCRIPTION: AMANET sponsored phase Ib or IIb clinical trials of several malaria vaccine candidates in various Africa countries. In Burkina Faso, Mali and Tanzania trials of the merozoite surface protein 3 -- in its Long Synthetic Peptide configuration (MSP3 LSP) -- were conducted. In Mali, the apical membrane antigen 1 (AMA1) was tested, while a hybrid of glutamate rich protein (GLURP) and MSP3 (GMZ2) was tested in Gabon. AMANET recognizes the importance of engaging with the communities from which trial participants are drawn, hence community engagement was given priority in all project activities conducted in the various countries. DISCUSSION AND EVALUATION: Existing local social systems were used to engage the communities from which clinical trial participants were drawn. This article focuses on community engagement activities employed at various AMANET-supported clinical trial sites in different countries, highlighting subtle differences in the approaches used. The paper also gives some general pros and cons of community engagement. CONCLUSIONS: Community engagement enables two-way sharing of accurate information and ideas between researchers and researched communities, which helps to create an environment conducive to smooth research activities with enhanced sense of research ownership by the communities.",M1
20331863,"Heterogeneity in <e>malaria</e> exposure and vaccine response: implications for the interpretation of vaccine efficacy trials.BACKGROUND: Phase III trials of the malaria vaccine, RTS, S, are now underway across multiple sites of varying transmission intensity in Africa. Heterogeneity in exposure, vaccine response and waning of efficacy may bias estimates of vaccine efficacy. METHODS: Theoretical arguments are used to identify the expected effects of a) heterogeneity in exposure to infectious bites; b) heterogeneity in individual's response to the vaccine; and c) waning efficacy on measures of vaccine efficacy from clinical trials for an infection-blocking vaccine. RESULTS: Heterogeneity in exposure and vaccine response leads to a smaller proportion of trial participants becoming infected than one would expect in a homogeneous setting. This causes estimates of vaccine efficacy from clinical trials to be underestimated if transmission heterogeneity is ignored, and overestimated if heterogeneity in vaccine response is ignored. Waning of vaccine efficacy can bias estimates of vaccine efficacy in both directions. CONCLUSIONS: Failure to account for heterogeneities in exposure and response, and waning of efficacy in clinical trials can lead to biased estimates of malaria vaccine efficacy. Appropriate methods to reduce these biases need to be used to ensure accurate interpretation and comparability between trial sites of results from the upcoming Phase III clinical trials of RTS, S.",M1
20298576,"Antibodies against multiple merozoite surface antigens of the human <e>malaria</e> parasite Plasmodium falciparum inhibit parasite maturation and red blood cell invasion.BACKGROUND: Plasmodium falciparum merozoites expose at their surface a large protein complex, which is composed of fragments of merozoite surface protein 1 (MSP-1; called MSP-183, MSP-130, MSP-138, and MSP-142) plus associated processing products of MSP-6 and MSP-7. During erythrocyte invasion this complex, as well as an integral membrane protein called apical membrane antigen-1 (AMA-1), is shed from the parasite surface following specific proteolysis. Components of the MSP-1/6/7 complex and AMA-1 are presently under development as malaria vaccines. METHODS: The specificities and effects of antibodies directed against MSP-1, MSP-6, MSP-7 on the growth of blood stage parasites were studied using ELISA and the pLDH-assay. To understand the mode of action of these antibodies, their effects on processing of MSP-1 and AMA-1 on the surface of merozoites were investigated. RESULTS: Antibodies targeting epitopes located throughout the MSP-1/6/7 complex interfere with shedding of MSP-1, and as a consequence prevent erythrocyte invasion. Antibodies targeting the MSP-1/6/7 complex have no effect on the processing and shedding of AMA-1 and, similarly, antibodies blocking the shedding of AMA-1 do not affect cleavage of MSP-1, suggesting completely independent functions of these proteins during invasion. Furthermore, some epitopes, although eliciting highly inhibitory antibodies, are only poorly recognized by the immune system when presented in the structural context of the intact antigen. CONCLUSIONS: The findings reported provide further support for the development of vaccines based on MSP-1/6/7 and AMA-1, which would possibly include a combination of these antigens.",M1
20236549,"Solution structure of a Plasmodium falciparum AMA-1/MSP 1 chimeric protein vaccine candidate (PfCP-2.9) for <e>malaria</e>.BACKGROUND: The Plasmodium falciparum chimeric protein PfCP-2.9 is a promising asexual-stage malaria vaccine evaluated in clinical trials. This chimeric protein consists of two cysteine-rich domains: domain III of the apical membrane antigen 1 (AMA-1 [III]) and the C-terminal region of the merozoite surface protein 1 (MSP1-19). It has been reported that the fusion of these two antigens enhanced their immunogenicity and antibody-mediated inhibition of parasite growth in vitro. METHODS: The 15N-labeled and 13C/15N-labeled PfCP-2.9 was produced in Pichia pastoris for nuclear magnetic resonance (NMR) structure analysis. The chemical shift assignments of PfCP-2.9 were compared with those previously reported for the individual domains (i.e., PfAMA-1(III) or PfMSP 1-19). The two-dimensional spectra and transverse relaxation rates (R2) of the PfMSP1-19 alone were compared with that of the PfCP-2.9. RESULTS: Confident backbone assignments were obtained for 122 out of 241 residues of PfCP-2.9. The assigned residues in PfCP-2.9 were very similar to those previously reported for the individual domains. The conformation of the PfMSP1-19 in different constructs is essentially the same. Comparison of transverse relaxation rates (R2) strongly suggests no weak interaction between the domains. CONCLUSIONS: These data indicate that the fusion of AMA-1(III) and MSP1-19 as chimeric protein did not change their structures, supporting the use of the chimeric protein as a potential malaria vaccine.",M1
20231693,"Protein-DNA complex is the exclusive <e>malaria</e> parasite component that activates dendritic cells and triggers innate immune responses.Dendritic cells (DCs) play a crucial role in the development of protective immunity to malaria. However, it remains unclear how malaria parasites trigger immune responses in DCs. In this study, we purified merozoites, food vacuoles, and parasite membrane fragments released during the Plasmodium falciparum schizont burst to homogeneity and tested for the activation of bone marrow-derived DCs from wild-type and TLR2(-/-), TLR4(-/-), TLR9(-/-), and MyD88(-/-) C57BL/6J mice. The results demonstrate that a protein-DNA complex is the exclusive parasite component that activates DCs by a TLR9-dependent pathway to produce inflammatory cytokines. Complex formation with proteins is essential for the entry of parasite DNA into DCs for TLR9 recognition and, thus, proteins convert inactive DNA into a potent immunostimulatory molecule. Exogenous cationic polymers, polylysine and chitosan, can impart stimulatory activity to parasite DNA, indicating that complex formation involves ionic interactions. Merozoites and DNA-protein complex could also induce inflammatory cytokine responses in human blood DCs. Hemozoin is neither a TLR9 ligand for DCs nor functions as a carrier of DNA into cells. Additionally, although TLR9 is critical for DCs to induce the production of IFN-gamma by NK cells, this receptor is not required for NK cells to secret IFN-gamma, and cell-cell contact among myeloid DCs, plasmacytoid DCs, and NK cells is required for IFN-gamma production. Together, these results contribute substantially toward the understanding of malaria parasite-recognition mechanisms. More importantly, our finding that proteins and carbohydrate polymers are able to confer stimulatory activity to an otherwise inactive parasite DNA have important implications for the development of a vaccine against malaria.",M1
20204850,"An efficient approach to the production of vaccines against the <e>malaria</e> parasite.In malaria vaccine research, one of the major obstacles has been the difficulty of expressing recombinant malarial proteins and it is mainly due to the lack of an efficient methodology for the synthesis of sufficient quantity of quality proteins. We demonstrate that the wheat germ cell-free protein synthesis system can be applied for the successful production of leading malaria vaccine candidate antigens and, thus, prove that it may be a key tool for malaria vaccine research.",M1
20194590,"Immunization with VAR2CSA-DBL5 recombinant protein elicits broadly cross-reactive antibodies to placental Plasmodium falciparum-infected erythrocytes.Pregnancy-associated <e>malaria</e> is a severe clinical syndrome associated with the sequestration of Plasmodium falciparum-infected erythrocytes in the placenta. Placental binding is mediated by VAR2CSA, a member of the large and diverse P. falciparum erythrocyte membrane 1 (PfEMP1) protein family. To better understand if conserved regions in VAR2CSA can be targeted by antibodies, we immunized rabbits with VAR2CSA-DBL1 and -DBL5 recombinant proteins produced in Pichia pastoris and developed a panel of seven chondroitin sulfate A (CSA)-binding parasites from diverse geographic origins. Overall, no two parasites in the panel expressed the same VAR2CSA sequence. The DBL1 domains averaged 80% amino acid identity (range, 72 to 89%), and the DBL5 domains averaged 86% amino acid identity (range, 83 to 99%), similar to a broader sampling of VAR2CSA sequences from around the world. Whereas antibodies generated against the VAR2CSA-DBL1 recombinant protein had only limited breadth and reacted with three or four parasites in the panel, immunization with DBL5 recombinant proteins elicited broadly cross-reactive antibodies against all or most parasites in the panel, as well as to fresh clinical isolates from pregnant women. These findings demonstrate that the major PfEMP1 variant expressed by placental isolates exposes strain-transcendent epitopes that can be targeted by vaccination and may have application for pregnancy malaria vaccine development.",M1
20188680,"Adenovectors induce functional antibodies capable of potent inhibition of blood stage <e>malaria</e> parasite growth.An effective malaria vaccine remains a global health priority. Recombinant adenoviruses are a promising vaccine platform, and Plasmodium falciparum apical membrane antigen 1 (AMA1) and merozoite surface protein 1-42 (MSP1(42)) are leading blood stage vaccine candidates. We evaluated the importance of surface antigen localization and glycosylation on the immunogenicity of adenovector delivered AMA1 and MSP1(42) and assessed the ability of these vaccines to induce functional antibody responses capable of inhibiting parasite growth in vitro. Adenovector delivery induced unprecedented levels of biologically active antibodies in rabbits as indicated by the parasite growth inhibition assay. These responses were as potent as published results using any other vaccine system, including recombinant protein in adjuvant. The cell surface associated and glycosylated forms of AMA1 and MSP1(42) elicited 99% and 60% inhibition of parasite growth, respectively. Antigens that were expressed at the cell surface and glycosylated were much better than intracellular antigens at inducing antibody responses. Good T cell responses were observed for all forms of AMA1 and MSP1(42). Antigen-specific antibody responses, but typically not T cell responses, were boosted by a second administration of adenovector. These data highlight the importance of rational vaccine design and support the advancement of adenovector delivery technology for a malaria vaccine.",M1
20188676,"Helminth infection impairs the immunogenicity of a Plasmodium falciparum DNA vaccine, but not irradiated sporozoites, in mice.Development of an effective vaccine against <e>malaria</e> remains a priority. However, a significant number of individuals living in tropical areas are also likely to be co-infected with helminths, which are known to adversely affect immune responses to a number of different existing vaccines. Here we compare the response to two prototype malaria vaccines: a transmission blocking DNA vaccine based on Pfs25, and a pre-erythrocytic malaria vaccine based on irradiated sporozoites in mice infected with the intestinal nematode Heligmosomoides polygyrus. Following primary immunization with Pfs25 DNA vaccine, levels of total IgG, as well as IgG1, IgG2a, IgG2b (all P=0.0002), and IgG3 (P=0.03) Pfs25 antibodies were significantly lower in H. polygyrus-infected mice versus worm-free controls. Similar results were observed even after two additional boosts, while clearance of worms with anthelmintic treatment 3 weeks prior to primary immunization significantly reversed the inhibitory effect of helminth infection. In contrast, helminth infection had no inhibitory effect on immunization with irradiated sporozoites. Mean anti-CSP antibody responses were similar between H. polygyrus-infected and worm-free control mice following immunization with a single dose (65,000 sporozoites) of live radiation attenuated (irradiated) Plasmodium yoelii sporozoites (17X, non-lethal strain), and protection upon sporozoite challenge was equivalent between groups. These results indicate that helminth infection may adversely affect certain anti-malarial vaccine strategies, and highlight the importance of these interactions for malaria vaccine development.",M1
